study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,delta_c13
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,45,50,1.63,0.0256,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.75
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,50,55.00000000000001,0.89,0.018600000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.82
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,55.00000000000001,60,1.16,0.0489,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.42
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,60,65,0.99,0.032,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.59
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,65,70,1.23,0.031400000000000004,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.49
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,70,75,1.91,0.013000000000000001,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.26
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,80,85,2.51,0.0194,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.79
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,85,90,2.59,0.0276,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.9
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,90,95,1.7,0.0175,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.68
Kusumaningtyas_et_al_2018,Berau,B4,single set of methods,95,100,1.23,0.0159,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.66
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,0,5,0.46,0.1259,NA,NA,becquerelsPerKilogram,5.48,2.85,14.44,2.63,becquerelsPerKilogram,8.96,1.1,becquerelsPerKilogram,-28.32
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,10,15,0.64,0.10310000000000001,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.7
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,15,20,0.95,0.0971,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.68
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,20,25,0.98,0.10220000000000001,NA,NA,becquerelsPerKilogram,4.56,1.57,16.02,1.43,becquerelsPerKilogram,11.46,0.64,becquerelsPerKilogram,-27.79
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,25,30,1.18,0.1069,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.64
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,35,40,0.96,0.138,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.45
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,40,45,0.81,0.0998,NA,NA,becquerelsPerKilogram,8.1,2.19,21.06,1.73,becquerelsPerKilogram,12.96,1.33,becquerelsPerKilogram,-27.41
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,45,50,0.89,0.1137,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.29
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,50,55.00000000000001,1.3,0.11449999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.53
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,55.00000000000001,60,0.83,0.11019999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.59
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,60,65,0.84,0.09910000000000001,NA,NA,becquerelsPerKilogram,4.01,1.77,15.87,1.62,becquerelsPerKilogram,11.86,0.71,becquerelsPerKilogram,-27.44
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,65,70,1.32,0.11199999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.72
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,70,75,0.97,0.1026,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.44
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,75,80,1.23,0.09759999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.51
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,80,85,0.69,0.1052,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.22
Kusumaningtyas_et_al_2018,Berau,B2,single set of methods,85,90,0.3,0.0943,NA,NA,becquerelsPerKilogram,13.78,4.19,20.37,3.96,becquerelsPerKilogram,6.59,1.38,becquerelsPerKilogram,-27.47
Kusumaningtyas_et_al_2018,Kongsi_Island,K1,single set of methods,0,5,1.01,0.0121,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.5
Kusumaningtyas_et_al_2018,Kongsi_Island,K1,single set of methods,5,10,1.22,0.0148,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.87
Kusumaningtyas_et_al_2018,Kongsi_Island,K1,single set of methods,10,15,1,0.0149,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.39
Kusumaningtyas_et_al_2018,Kongsi_Island,K1,single set of methods,15,20,1.42,0.006,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-23.5
Kusumaningtyas_et_al_2018,Kongsi_Island,K1,single set of methods,20,25,1.45,0.0054,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-22.53
Kusumaningtyas_et_al_2018,Kongsi_Island,K1,single set of methods,25,30,1.19,0.006999999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-24.53
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,0,5,1.23,0.0039000000000000003,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-22.07
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,5,10,1.36,0.0052,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-22.93
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,10,15,1.65,0.0052,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-22.61
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,15,20,1.68,0.0051,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-23.38
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,20,25,1.53,0.0089,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-24.9
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,25,30,1.52,0.0078000000000000005,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-24.61
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,30,35,1.82,0.008100000000000001,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-24.44
Kusumaningtyas_et_al_2018,Kongsi_Island,K2,single set of methods,35,40,1.02,0.0102,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.57
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,0,5,0.58,0.0227,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.46
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,5,10,0.82,0.0218,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.97
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,10,15,0.69,0.0184,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.55
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,15,20,1,0.019299999999999998,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.43
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,20,25,0.94,0.013500000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.15
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,25,30,0.96,0.0139,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.26
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,30,35,0.91,0.0118,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.79
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,35,40,1,0.0123,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.36
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,40,45,0.87,0.0147,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.28
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,45,50,0.88,0.0209,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.05
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,50,55.00000000000001,0.98,0.0139,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.32
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,55.00000000000001,60,0.9,0.0137,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.24
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,60,65,0.98,0.0138,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.07
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,65,70,0.9,0.0113,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.94
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,70,75,0.87,0.0132,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.36
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,75,80,0.96,0.0126,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.42
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,80,85,0.86,0.011699999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.01
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,85,90,1.02,0.0097,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.39
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,90,95,0.87,0.0102,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.59
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C26,single set of methods,95,100,1.06,0.010700000000000001,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.84
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,0,5,0.45,0.024,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.71
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,5,10,0.77,0.0363,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.39
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,10,15,0.66,0.019299999999999998,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.63
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,15,20,0.74,0.020099999999999996,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.56
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,20,25,0.81,0.0203,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.61
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,25,30,0.77,0.0192,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.51
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,30,35,0.93,0.0131,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.14
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,35,40,0.91,0.0097,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.41
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,40,45,0.91,0.0098,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.52
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,45,50,1.1,0.0098,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.24
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,50,55.00000000000001,0.99,0.012,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.47
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,55.00000000000001,60,0.84,0.012,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.34
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,60,65,0.55,0.0212,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.49
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,65,70,0.82,0.0146,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.74
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,70,75,0.85,0.012,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.23
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,75,80,0.86,0.0102,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.81
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,80,85,0.86,0.0208,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.23
