"[Abbreviations: ID, identification; cm, centimeter; dpm/g, disintegrations per minute per gram]",,,
Core ID,"Depth
 (cm)","Total Pb-210 
(dpm/g)","Total Pb-210 Error 
(+/- dpm/g)"
16CCT03-GB231M,12-13,0.46,0.023
16CCT03-GB231M,13-14,0.41,0.018
16CCT03-GB231M,13-14a,0.39,0.017
16CCT03-GB231M,14-15,0.34,0.016
16CCT03-GB231M,15-16,0.37,0.017
16CCT03-GB231M,16-17,0.35,0.016
16CCT03-GB231M,17-18,0.31,0.014
16CCT03-GB231M,18-19,0.33,0.016
16CCT03-GB231M,18-19a,0.33,0.016
16CCT03-GB231M,19-20,0.31,0.014
16CCT03-GB231M,20-21,0.28,0.014
16CCT03-GB231M,21-22,0.28,0.014
16CCT03-GB231M,22-23,0.26,0.013
16CCT03-GB231M,23-24,0.26,0.013
16CCT03-GB231M,23-24a,0.26,0.014
16CCT03-GB231M,24-25,0.26,0.013
16CCT03-GB231M,25-26,0.26,0.013
16CCT03-GB231M,26-27,0.29,0.014
16CCT03-GB231M,27-28,0.22,0.011
16CCT03-GB231M,28-29,0.27,0.013
16CCT03-GB231M,28-29a,0.27,0.013
16CCT03-GB231M,29-30,0.28,0.013
16CCT03-GB231M,30-31,0.27,0.013
16CCT03-GB231M,31-32,0.257,0.013
16CCT03-GB231M,32-33,0.268,0.014
16CCT03-GB231M,33-34,0.279,0.014
16CCT03-GB231M,33-34a,0.262,0.013
16CCT03-GB231M,34-35,0.258,0.012
16CCT03-GB231M,35-36,0.266,0.013
16CCT03-GB231M,36-37,0.276,0.013
16CCT03-GB231M,37-38,0.315,0.015
16CCT03-GB231M,37-38a,0.299,0.014
16CCT03-GB231M,38-39,0.315,0.015
16CCT03-GB231M,39-40,0.284,0.014
16CCT03-GB231M,40-41,0.261,0.013
16CCT03-GB231M,41-42,0.273,0.014
16CCT03-GB231M,41-42a,0.228,0.011
16CCT03-GB231M,42-43,0.277,0.013
,,,
16CCT03-GB232M(A),0-1,1.26,0.040
16CCT03-GB232M(A),1-2,1.13,0.035
16CCT03-GB232M(A),2-3,1.35,0.041
16CCT03-GB232M(A),3-4,1.37,0.042
16CCT03-GB232M(A),4-5,1.34,0.044
16CCT03-GB232M(A),5-6,1.55,0.046
16CCT03-GB232M(A),5-6a,1.59,0.048
16CCT03-GB232M(A),6-7,1.53,0.046
16CCT03-GB232M(A),7-8,1.70,0.048
16CCT03-GB232M(A),8-9,1.63,0.047
16CCT03-GB232M(A),9-10,1.50,0.043
16CCT03-GB232M(A),10-11,1.41,0.042
16CCT03-GB232M(A),10-11a,1.37,0.041
16CCT03-GB232M(A),11-12,1.36,0.041
16CCT03-GB232M(A),12-13,1.26,0.040
16CCT03-GB232M(A),13-14,1.17,0.038
16CCT03-GB232M(A),13-14a,1.15,0.040
16CCT03-GB232M(A),14-15,0.96,0.033
16CCT03-GB232M(A),15-16,0.90,0.029
16CCT03-GB232M(A),16-17,0.78,0.026
16CCT03-GB232M(A),17-18,0.78,0.027
16CCT03-GB232M(A),17-18a,0.75,0.026
16CCT03-GB232M(A),18-19,0.65,0.024
16CCT03-GB232M(A),19-20,0.71,0.025
16CCT03-GB232M(A),20-21,0.61,0.023
16CCT03-GB232M(A),21-22,0.63,0.024
16CCT03-GB232M(A),21-22a,0.61,0.024
16CCT03-GB232M(A),22-23,0.62,0.025
16CCT03-GB232M(A),23-24,0.54,0.022
16CCT03-GB232M(A),24-25,0.50,0.021
16CCT03-GB232M(A),25-26,0.42,0.019
16CCT03-GB232M(A),26-27,0.34,0.016
16CCT03-GB232M(A),26-27a,0.35,0.016
16CCT03-GB232M(A),27-28,0.35,0.016
16CCT03-GB232M(A),28-29,0.36,0.016
16CCT03-GB232M(A),29-30,0.32,0.016
,,,
16CCT03-GB232M(B),0-1,1.18,0.036
16CCT03-GB232M(B),1-2,1.30,0.038
16CCT03-GB232M(B),2-3,1.32,0.040
16CCT03-GB232M(B),2-3a,1.31,0.041
16CCT03-GB232M(B),3-4,1.40,0.043
16CCT03-GB232M(B),4-5,1.46,0.044
16CCT03-GB232M(B),5-6,1.52,0.044
16CCT03-GB232M(B),6-7,1.54,0.045
16CCT03-GB232M(B),7-8,1.49,0.04
16CCT03-GB232M(B),8-9,1.41,0.043
16CCT03-GB232M(B),9-10,1.46,0.043
16CCT03-GB232M(B),9-10a,1.43,0.042
16CCT03-GB232M(B),10-11,1.37,0.045
16CCT03-GB232M(B),11-12,1.40,0.045
16CCT03-GB232M(B),12-13,1.34,0.044
16CCT03-GB232M(B),13-14,1.35,0.04
16CCT03-GB232M(B),14-15,1.48,0.052
16CCT03-GB232M(B),14-15a,1.48,0.046
16CCT03-GB232M(B),15-16,1.32,0.039
16CCT03-GB232M(B),16-17,1.15,0.036
16CCT03-GB232M(B),17-18,1.19,0.037
16CCT03-GB232M(B),18-19,0.98,0.032
16CCT03-GB232M(B),19-20,0.66,0.028
16CCT03-GB232M(B),20-21,0.48,0.020
16CCT03-GB232M(B),21-22,0.41,0.017
16CCT03-GB232M(B),21-22a,0.42,0.018
16CCT03-GB232M(B),22-23,0.36,0.02
16CCT03-GB232M(B),23-24,0.41,0.018
,,,
166CCT03-GB233M,0-1,1.44,0.041
166CCT03-GB233M,1-2,1.75,0.047
166CCT03-GB233M,2-3,2.12,0.057
166CCT03-GB233M,3-4,1.54,0.044
166CCT03-GB233M,3-4a,1.60,0.046
166CCT03-GB233M,4-5,1.49,0.043
166CCT03-GB233M,5-6,1.48,0.044
166CCT03-GB233M,6-7,1.64,0.051
166CCT03-GB233M,7-8,1.60,0.046
166CCT03-GB233M,8-9,1.65,0.050
166CCT03-GB233M,8-9a,1.57,0.046
166CCT03-GB233M,9-10,1.63,0.046
166CCT03-GB233M,10-11,1.64,0.046
166CCT03-GB233M,11-12,1.68,0.049
166CCT03-GB233M,12-13,1.59,0.048
166CCT03-GB233M,13-14,1.44,0.044
166CCT03-GB233M,14-15,1.41,0.042
166CCT03-GB233M,15-16,1.40,0.043
166CCT03-GB233M,15-16a,1.35,0.041
166CCT03-GB233M,16-17,1.37,0.043
166CCT03-GB233M,17-18,1.40,0.041
166CCT03-GB233M,18-19,1.28,0.040
166CCT03-GB233M,18-19a,1.27,0.040
166CCT03-GB233M,19-20,1.47,0.044
166CCT03-GB233M,20-21,1.50,0.046
166CCT03-GB233M,21-22,1.26,0.040
166CCT03-GB233M,21-22a,1.30,0.041
166CCT03-GB233M,22-23,1.21,0.039
166CCT03-GB233M,23-24,1.13,0.037
166CCT03-GB233M,24-25.5,1.04,0.036
,,,
16CCT03-GB234M ,0-1,0.93,0.031
16CCT03-GB234M ,1-2,1.33,0.038
16CCT03-GB234M ,2-3,1.43,0.043
16CCT03-GB234M ,3-4,1.21,0.037
16CCT03-GB234M ,3-4a,1.17,0.036
16CCT03-GB234M ,4-5,0.92,0.031
16CCT03-GB234M ,5-6,0.87,0.029
16CCT03-GB234M ,6-7,0.89,0.029
16CCT03-GB234M ,6-7a,0.88,0.029
16CCT03-GB234M ,7-8,0.90,0.032
16CCT03-GB234M ,8-9,1.06,0.033
16CCT03-GB234M ,9-10,1.11,0.034
16CCT03-GB234M ,10-11,1.20,0.037
16CCT03-GB234M ,10-11a,1.17,0.036
16CCT03-GB234M ,11-12,1.16,0.036
16CCT03-GB234M ,12-13,1.14,0.036
16CCT03-GB234M ,13-14,1.13,0.036
16CCT03-GB234M ,14-15,1.00,0.033
16CCT03-GB234M ,15-16,0.94,0.032
16CCT03-GB234M ,16-17,0.91,0.032
16CCT03-GB234M ,17-18,0.92,0.030
16CCT03-GB234M ,18-19,0.95,0.034
16CCT03-GB234M ,18-19a,0.97,0.032
16CCT03-GB234M ,19-20,0.96,0.031
16CCT03-GB234M ,21-22,0.84,0.029
16CCT03-GB234M ,23-24,0.66,0.024
16CCT03-GB234M ,23-24a,0.59,0.023
16CCT03-GB234M ,25-26,0.64,0.024
16CCT03-GB234M ,27-28,0.81,0.028
16CCT03-GB234M ,29-30,0.77,0.028
,,,
16CCT03-GB235M,0-1,0.79,0.026
16CCT03-GB235M,1-2,0.71,0.025
16CCT03-GB235M,2-3,0.70,0.027
16CCT03-GB235M,2-3a,0.68,0.024
16CCT03-GB235M,3-4,0.65,0.023
16CCT03-GB235M,4-5,0.87,0.028
16CCT03-GB235M,5-6,0.93,0.030
16CCT03-GB235M,6-7,1.01,0.032
16CCT03-GB235M,7-8,1.02,0.034
16CCT03-GB235M,8-9,1.06,0.034
16CCT03-GB235M,8-9a,1.00,0.032
16CCT03-GB235M,9-10,0.98,0.032
16CCT03-GB235M,10-11,0.99,0.032
16CCT03-GB235M,11-12,0.97,0.031
16CCT03-GB235M,12-13,0.97,0.033
16CCT03-GB235M,12-13a,0.94,0.033
16CCT03-GB235M,13-14,0.94,0.031
16CCT03-GB235M,14-15,0.87,0.030
16CCT03-GB235M,15-16,0.78,0.028
16CCT03-GB235M,16-17,0.68,0.026
16CCT03-GB235M,16-17a,0.69,0.026
16CCT03-GB235M,17-18,0.61,0.023
16CCT03-GB235M,18-18.5,0.63,0.024
,,,
16CCT03-GB236M,0-1,0.41,0.017
16CCT03-GB236M,1-2,0.72,0.025
16CCT03-GB236M,2-3,0.87,0.029
16CCT03-GB236M,2-3a,0.90,0.030
16CCT03-GB236M,3-4,1.01,0.034
16CCT03-GB236M,4-5,1.00,0.035
16CCT03-GB236M,5-6,1.06,0.034
16CCT03-GB236M,6-7,1.06,0.039
16CCT03-GB236M,7-8,1.13,0.035
16CCT03-GB236M,7-8a,1.10,0.038
16CCT03-GB236M,8-9,1.01,0.032
16CCT03-GB236M,9-10,1.04,0.032
16CCT03-GB236M,10-11,0.97,0.031
16CCT03-GB236M,11-12,1.02,0.037
16CCT03-GB236M,12-13,0.88,0.030
16CCT03-GB236M,12-13a,0.90,0.030
16CCT03-GB236M,13-14,0.79,0.027
16CCT03-GB236M,14-15,0.88,0.031
16CCT03-GB236M,15-16,0.82,0.028
16CCT03-GB236M,16-17,0.75,0.027
16CCT03-GB236M,17-18,0.69,0.027
16CCT03-GB236M,17-18a,0.70,0.026
16CCT03-GB236M,18-19,0.63,0.023
16CCT03-GB236M,19-20,0.63,0.024
16CCT03-GB236M,21-22,0.60,0.025
16CCT03-GB236M,23-24,0.68,0.026
16CCT03-GB236M,25-26,0.38,0.017
16CCT03-GB236M,27-28,0.36,0.017
16CCT03-GB236M,27-28a,0.32,0.015
16CCT03-GB236M,29-30,0.41,0.020
,,,
16CCT03-GB237M,0-1,1.18,0.038
16CCT03-GB237M,1-2,1.34,0.040
16CCT03-GB237M,1-2a,1.33,0.038
16CCT03-GB237M,2-3,1.57,0.046
16CCT03-GB237M,3-4,1.48,0.044
16CCT03-GB237M,4-5,1.32,0.044
16CCT03-GB237M,5-6,1.25,0.038
16CCT03-GB237M,6-7,1.18,0.036
16CCT03-GB237M,7-8,1.02,0.039
16CCT03-GB237M,7-8a,1.03,0.034
16CCT03-GB237M,8-9,0.99,0.032
16CCT03-GB237M,9-10,0.92,0.030
16CCT03-GB237M,10-11,1.04,0.040
16CCT03-GB237M,11-12,0.99,0.033
16CCT03-GB237M,12-13,1.01,0.033
16CCT03-GB237M,12-13a,1.00,0.034
16CCT03-GB237M,13-14,0.99,0.032
16CCT03-GB237M,14-15,0.97,0.032
16CCT03-GB237M,15-16,0.97,0.032
16CCT03-GB237M,16-17,1.02,0.035
16CCT03-GB237M,17-18,0.95,0.032
16CCT03-GB237M,17-18a,0.97,0.031
16CCT03-GB237M,18-19,0.99,0.032
16CCT03-GB237M,19-20,0.98,0.035
16CCT03-GB237M,21-22,1.03,0.035
16CCT03-GB237M,21-22a,1.00,0.035
16CCT03-GB237M,23-24,1.08,0.035
16CCT03-GB237M,25-26,1.10,0.034
16CCT03-GB237M,27-28,1.02,0.034
16CCT03-GB237M,29-30,0.97,0.033
,,,
16CCT03-GB238M,0-1,1.40,0.042
16CCT03-GB238M,1-2,1.13,0.035
16CCT03-GB238M,2-3,1.28,0.038
16CCT03-GB238M,3-4,1.37,0.043
16CCT03-GB238M,3-4a,1.43,0.043
16CCT03-GB238M,4-5,1.41,0.042
16CCT03-GB238M,5-6,1.45,0.043
16CCT03-GB238M,6-7,1.46,0.044
16CCT03-GB238M,7-8,1.27,0.040
16CCT03-GB238M,8-9,1.14,0.036
16CCT03-GB238M,8-9a,1.11,0.035
16CCT03-GB238M,9-10,1.04,0.033
16CCT03-GB238M,10-11,0.97,0.031
16CCT03-GB238M,11-12,0.89,0.034
16CCT03-GB238M,12-13,0.91,0.031
16CCT03-GB238M,13-14,0.89,0.030
16CCT03-GB238M,13-14a,0.87,0.030
16CCT03-GB238M,14-15,0.90,0.030
16CCT03-GB238M,15-16,0.88,0.031
16CCT03-GB238M,16-17,0.77,0.033
16CCT03-GB238M,17-18,0.75,0.026
16CCT03-GB238M,18-19,0.69,0.024
16CCT03-GB238M,18-19a,0.69,0.025
16CCT03-GB238M,19-20,0.62,0.023
16CCT03-GB238M,21-22,0.44,0.018
16CCT03-GB238M,23-24,0.36,0.016
16CCT03-GB238M,25-26,0.33,0.015
16CCT03-GB238M,27-28,0.27,0.013
16CCT03-GB238M,27-28a,0.26,0.013
16CCT03-GB238M,29-30,0.25,0.013
,,,
16CCT03-GB239M,0-1,0.75,0.025
16CCT03-GB239M,1-2,0.95,0.030
16CCT03-GB239M,2-3,1.14,0.036
16CCT03-GB239M,2-3a,1.15,0.037
16CCT03-GB239M,3-4,0.98,0.033
16CCT03-GB239M,4-5,1.01,0.032
16CCT03-GB239M,5-6,1.08,0.035
16CCT03-GB239M,6-7,1.06,0.035
16CCT03-GB239M,7-8,0.97,0.032
16CCT03-GB239M,8-9,0.86,0.030
16CCT03-GB239M,8-9a,0.89,0.030
16CCT03-GB239M,9-10,0.85,0.029
16CCT03-GB239M,10-11,0.88,0.029
16CCT03-GB239M,11-12,0.82,0.028
16CCT03-GB239M,11-12a,0.81,0.030
16CCT03-GB239M,12-13,0.76,0.027
16CCT03-GB239M,13-14,0.76,0.027
16CCT03-GB239M,14-15,0.66,0.025
16CCT03-GB239M,15-16,0.58,0.022
16CCT03-GB239M,16-17,0.48,0.021
16CCT03-GB239M,17-18,0.51,0.021
16CCT03-GB239M,17-18a,0.47,0.019
16CCT03-GB239M,18-19,0.49,0.019
16CCT03-GB239M,19-20,0.49,0.020
16CCT03-GB239M,21-22,0.54,0.023
16CCT03-GB239M,23-24,0.43,0.017
16CCT03-GB239M,25-26,0.46,0.019
16CCT03-GB239M,25-26a,0.47,0.019
16CCT03-GB239M,27-28,0.38,0.017
16CCT03-GB239M,29-30,0.33,0.016
,,,
16CCT03-GB240M,0-1,2.68,0.068
16CCT03-GB240M,1-2,1.58,0.045
16CCT03-GB240M,2-3,1.84,0.052
16CCT03-GB240M,3-4,2.08,0.055
16CCT03-GB240M,4-5,1.96,0.056
16CCT03-GB240M,4-5a,1.98,0.057
16CCT03-GB240M,5-6,1.29,0.042
16CCT03-GB240M,6-7,1.44,0.044
16CCT03-GB240M,7-8,1.55,0.046
16CCT03-GB240M,8-9,1.30,0.040
16CCT03-GB240M,8-9a,1.28,0.038
16CCT03-GB240M,9-10,1.09,0.034
16CCT03-GB240M,10-11,1.08,0.034
16CCT03-GB240M,11-12,1.14,0.036
16CCT03-GB240M,12-13,1.24,0.039
16CCT03-GB240M,13-14,1.23,0.040
16CCT03-GB240M,14-15,1.10,0.037
16CCT03-GB240M,15-16,1.05,0.033
16CCT03-GB240M,15-16a,1.11,0.034
16CCT03-GB240M,16-17,0.98,0.031
16CCT03-GB240M,17-18,0.86,0.029
16CCT03-GB240M,18-19,0.76,0.026
16CCT03-GB240M,18-19a,0.79,0.028
16CCT03-GB240M,19-20,0.70,0.025
16CCT03-GB240M,20-21,0.69,0.026
16CCT03-GB240M,21-22,0.55,0.025
,,,
16CCT03-GB244M,0-1,0.65,0.024
16CCT03-GB244M,1-2,0.74,0.026
16CCT03-GB244M,2-3,0.88,0.031
16CCT03-GB244M,3-4,0.81,0.028
16CCT03-GB244M,3-4a,0.81,0.030
16CCT03-GB244M,4-5,0.69,0.024
16CCT03-GB244M,5-6,0.74,0.026
16CCT03-GB244M,6-7,0.83,0.030
16CCT03-GB244M,7-8,0.68,0.025
16CCT03-GB244M,8-9,0.75,0.027
16CCT03-GB244M,9-10,0.67,0.027
16CCT03-GB244M,10-11,0.63,0.023
16CCT03-GB244M,10-11a,0.63,0.024
16CCT03-GB244M,11-12,0.71,0.025
16CCT03-GB244M,12-13,0.94,0.032
16CCT03-GB244M,13-14,0.85,0.029
16CCT03-GB244M,14-15,0.74,0.026
16CCT03-GB244M,15-16,0.63,0.024
16CCT03-GB244M,15-16a,0.60,0.023
16CCT03-GB244M,16-17,0.57,0.022
16CCT03-GB244M,17-18,0.40,0.017
16CCT03-GB244M,18-19,0.37,0.017
16CCT03-GB244M,19-20,0.34,0.015
16CCT03-GB244M,20-21,0.35,0.016
16CCT03-GB244M,21-22,0.34,0.015
16CCT03-GB244M,21-22a,0.35,0.015
16CCT03-GB244M,22-23,0.34,0.015
16CCT03-GB244M,23-24,0.30,0.014
16CCT03-GB244M,25-26,0.21,0.011
16CCT03-GB244M,27-28,0.21,0.011
,,,
16CCT03-GB245M,0-1,1.52,0.045
16CCT03-GB245M,1-2,1.63,0.048
16CCT03-GB245M,2-3,1.83,0.051
16CCT03-GB245M,2-3a,1.87,0.054
16CCT03-GB245M,3-4,1.88,0.053
16CCT03-GB245M,4-5,1.88,0.054
16CCT03-GB245M,5-6,2.01,0.057
16CCT03-GB245M,6-7,2.06,0.063
16CCT03-GB245M,7-8,2.19,0.058
16CCT03-GB245M,8-9,2.32,0.064
16CCT03-GB245M,9-10,2.15,0.058
16CCT03-GB245M,9-10a,2.20,0.069
16CCT03-GB245M,10-11,2.11,0.058
16CCT03-GB245M,11-12,2.08,0.057
16CCT03-GB245M,12-13,2.14,0.060
16CCT03-GB245M,13-14,2.04,0.056
16CCT03-GB245M,14-15,1.90,0.059
16CCT03-GB245M,15-16,1.88,0.052
16CCT03-GB245M,15-16a,1.87,0.061
16CCT03-GB245M,16-17,1.78,0.058
16CCT03-GB245M,17-18,1.42,0.044
16CCT03-GB245M,18-19,1.35,0.041
16CCT03-GB245M,19-20,1.30,0.045
16CCT03-GB245M,20-21,1.21,0.038
16CCT03-GB245M,20-21a,1.16,0.038
16CCT03-GB245M,21-22,1.19,0.039
16CCT03-GB245M,22-23,0.96,0.032
16CCT03-GB245M,23-24,0.75,0.027
16CCT03-GB245M,24-25,0.59,0.022
16CCT03-GB245M,25-26,0.58,0.022
,,,
16CCT03-GB254M,0-1,0.57,0.021
16CCT03-GB254M,1-2,0.50,0.019
16CCT03-GB254M,1-2a,0.50,0.019
16CCT03-GB254M,2-3,0.61,0.023
16CCT03-GB254M,3-4,0.83,0.028
16CCT03-GB254M,4-5,0.88,0.029
16CCT03-GB254M,5-6,0.76,0.027
16CCT03-GB254M,6-7,0.72,0.026
16CCT03-GB254M,7-8,0.75,0.027
16CCT03-GB254M,7-8a,0.77,0.029
16CCT03-GB254M,8-9,0.89,0.031
16CCT03-GB254M,9-10,0.87,0.030
16CCT03-GB254M,10-11,0.78,0.027
16CCT03-GB254M,11-12,0.71,0.025
16CCT03-GB254M,12-13,0.67,0.024
16CCT03-GB254M,12-13a,0.67,0.024
16CCT03-GB254M,13-14,0.63,0.023
16CCT03-GB254M,14-15,0.62,0.023
16CCT03-GB254M,15-16,0.53,0.021
16CCT03-GB254M,16-17,0.53,0.022
16CCT03-GB254M,16-17a,0.54,0.026
16CCT03-GB254M,17-18,0.52,0.020
16CCT03-GB254M,18-19,0.48,0.019
16CCT03-GB254M,19-20,0.40,0.017
16CCT03-GB254M,21-22,0.38,0.017
16CCT03-GB254M,23-24,0.28,0.014
16CCT03-GB254M,23-24a,0.28,0.015
16CCT03-GB254M,25-26,0.25,0.013
16CCT03-GB254M,27-28,0.29,0.014
16CCT03-GB254M,29-30,0.25,0.013
a = replicate analysis,,,
