Saltmarsh_ID,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture
Belhaven,2018,56.00388108,-2.60157871,NT6258279156,362582,679156,Gouge,0-10,0.39,NA,NA,Not Sandy
Belhaven,2018,56.00373111,-2.6013844,NT6259479140,362594,679140,Gouge,0-10,0.29,NA,NA,Not Sandy
Belhaven,2018,56.00373111,-2.6013844,NT6259479140,362594,679140,Gouge,0-10,0.8,NA,NA,Not Sandy
Belhaven,2018,56.00355049,-2.60121371,NT6260579119,362605,679119,Gouge,0-10,0.27,NA,NA,Not Sandy
Belhaven,2018,56.00337505,-2.60114122,NT6260979100,362609,679100,Gouge,0-10,0.32,NA,NA,Not Sandy
Belhaven,2018,56.00305859,-2.60098691,NT6261879065,362618,679065,Gouge,0-10,0.36,NA,NA,Not Sandy
Belhaven,2018,56.00305859,-2.60098691,NT6261879065,362618,679065,Gouge,0-10,0.55,NA,NA,Not Sandy
Belhaven,2018,56.00283584,-2.600737,NT6263479040,362634,679040,Gouge,0-10,0.18,NA,NA,Not Sandy
Belhaven,2018,56.00265462,-2.60056717,NT6264479019,362644,679019,Gouge,0-10,0.21,NA,NA,Not Sandy
Belhaven,2018,56.00265462,-2.60056717,NT6264479019,362644,679019,Gouge,0-10,0.51,NA,NA,Not Sandy
Belhaven,2018,56.00241896,-2.60026555,NT6266378993,362663,678993,Gouge,0-10,0.3,NA,NA,Not Sandy
Belhaven,2018,56.009254,-2.572521,NT6439979739,364399,679739,Syringe,0-10,NA,0.6,NA,Sandy
Belhaven,2018,56.008256,-2.57163,NT6445479628,364454,679628,Syringe,0-10,NA,0.39,NA,Sandy
Belhaven,2018,56.008142,-2.569925,NT6456079614,364560,679614,Syringe,0-10,NA,0.69,NA,Sandy
Belhaven,2018,56.006219,-2.5683,NT6466079399,364660,679399,Syringe,0-10,NA,0.45,NA,Sandy
Belhaven,2018,56.005111,-2.566979,NT6474179275,364741,679275,Syringe,0-10,NA,1.32,NA,Sandy
Belhaven,2018,56.004328,-2.565323,NT6484479187,364844,679187,Syringe,0-10,NA,0.77,NA,Sandy
Belhaven,2018,56.003884,-2.562017,NT6504979136,365049,679136,Syringe,0-10,NA,0.47,NA,Sandy
Belhaven,2018,56.001625,-2.598591,NT6276678904,362766,678904,Syringe,0-10,NA,0.96,NA,Sandy
Belhaven,2018,56.001909,-2.600013,NT6267878936,362678,678936,Syringe,0-10,NA,6.05,NA,Not Sandy
Belhaven,2018,56.00177,-2.600683,NT6263678921,362636,678921,Syringe,0-10,NA,6.95,NA,Not Sandy
Belhaven,2018,56.001546,-2.600974,NT6261878896,362618,678896,Syringe,0-10,NA,6.54,NA,Not Sandy
Belhaven,2018,56.001444,-2.601098,NT6261078885,362610,678885,Syringe,0-10,NA,7.31,NA,Not Sandy
Bogside Flats,2019,55.618858,-4.6842816,NS3105939411,231059,639411,Syringe,0-10,0.42,16.47,27.43,Not Sandy
Bogside Flats,2019,55.618861,-4.6847677,NS3102839412,231028,639412,Syringe,0-10,0.57,14.79,22.97,Not Sandy
Bogside Flats,2019,55.618862,-4.6841062,NS3107039411,231070,639411,Syringe,0-10,0.36,17.43,35.21,Not Sandy
Bogside Flats,2019,55.618877,-4.6850279,NS3101239415,231012,639415,Syringe,0-10,0.55,16.29,24.43,Not Sandy
Bogside Flats,2019,55.618855,-4.6844995,NS3104539411,231045,639411,Syringe,0-10,0.46,13.05,25.1,Not Sandy
Burgh (Solway),2019,54.923122,-3.0853725,NY3053559254,330535,559254,Syringe,0-10,0.73,10.53,19.53,Not Sandy
Burgh (Solway),2019,54.925459,-3.0863717,NY3047559515,330475,559515,Syringe,0-10,0.42,26.15,42.25,Not Sandy
Burgh (Solway),2019,54.927685,-3.0907387,NY3019959767,330199,559767,Syringe,0-10,0.45,16.33,31.83,Not Sandy
Burgh (Solway),2019,54.930157,-3.0906028,NY3021260042,330212,560042,Syringe,0-10,0.67,10.11,19.48,Not Sandy
Burgh (Solway),2019,54.932706,-3.0919828,NY3012860327,330128,560327,Syringe,0-10,1.17,2.21,3.65,Sandy
Caerlaverock East,2019,54.971146,-3.4762266,NY0559965056,305599,565056,Syringe,0-10,0.62,11.43,20.33,Not Sandy
Caerlaverock East,2019,54.972158,-3.475811,NY0562865168,305628,565168,Syringe,0-10,0.73,5.63,7.31,Sandy
Caerlaverock East,2019,54.96999,-3.4752625,NY0565864926,305658,564926,Syringe,0-10,0.43,10.74,24.24,Not Sandy
Caerlaverock East,2019,54.971778,-3.476781,NY0556565127,305565,565127,Syringe,0-10,0.44,12.87,25.94,Not Sandy
Caerlaverock East,2019,54.969268,-3.472549,NY0583064842,305830,564842,Syringe,0-10,1.2,1.06,3.14,Sandy
Carthagena Bank,2019,56.38500278,-3.194788889,NO2632522054,326325,722054,Syringe,0-10,0.68,3.32,11.4,Not Sandy
Carthagena Bank,2019,56.38565556,-3.197808333,NO2613922130,326139,722130,Syringe,0-10,0.69,8.85,16.76,Not Sandy
Carthagena Bank,2019,56.38466389,-3.193727778,NO2638922015,326389,722015,Syringe,0-10,0.52,7.01,13.58,Not Sandy
Carthagena Bank,2019,56.38430833,-3.192663889,NO2645421975,326454,721975,Syringe,0-10,0.71,5.12,8.96,Not Sandy
Carthagena Bank,2019,56.385475,-3.196341667,NO2623022109,326230,722109,Syringe,0-10,0.73,6.73,12.24,Not Sandy
Cromarty Firth,2018,57.583122,-4.421933,NH5529557371,255295,857371,Syringe,0-10,NA,8.48,NA,Not Sandy
Cromarty Firth,2018,57.582956,-4.421605,NH5531457352,255314,857352,Syringe,0-10,NA,6.61,NA,Not Sandy
Cromarty Firth,2018,57.582968,-4.421197,NH5533857352,255338,857352,Syringe,0-10,NA,4.99,NA,Not Sandy
Cromarty Firth,2018,57.582881,-4.421546,NH5531757343,255317,857343,Syringe,0-10,NA,11.01,NA,Not Sandy
Cromarty Firth,2018,57.582711,-4.421818,NH5530057325,255300,857325,Syringe,0-10,NA,11.2,NA,Not Sandy
Cromarty Firth,2018,57.582326,-4.420624,NH5537057279,255370,857279,Syringe,0-10,NA,7.95,NA,Not Sandy
Culbin,2019,57.604498,-3.813008,NH9175958614,291759,858614,Syringe,0-10,0.95,4.75,1.83,Sandy
Culbin,2019,57.604805,-3.813414,NH9173658649,291736,858649,Syringe,0-10,1.12,5.03,2.29,Sandy
Culbin,2019,57.605182,-3.813997,NH9170258692,291702,858692,Syringe,0-10,0.84,8.24,2.57,Sandy
Culbin,2019,57.605542,-3.814571,NH9166958732,291669,858732,Syringe,0-10,0.85,5.82,3.12,Sandy
Culbin,2019,57.605918,-3.815145,NH9163658775,291636,858775,Syringe,0-10,0.63,11.11,25.64,Not Sandy
Culbin Bar,2019,57.615522,-3.7923312,NH9302759808,293027,859808,Syringe,0-10,0.24,15.98,45.78,Not Sandy
Culbin Bar,2019,57.614853,-3.7913608,NH9308359732,293083,859732,Syringe,0-10,0.64,10.5,20.19,Not Sandy
Culbin Bar,2019,57.61715,-3.7953414,NH9285259994,292852,859994,Syringe,0-10,1.02,2.95,5.11,Sandy
Culbin Bar,2019,57.61652,-3.7941718,NH9292059922,292920,859922,Syringe,0-10,0.64,5.97,12.6,Not Sandy
Culbin Bar,2019,57.616072,-3.7934968,NH9295959871,292959,859871,Syringe,0-10,0.82,5.9,8.69,Sandy
Drynoch,2019,57.298505,-6.3152145,NG4015631345,140156,831345,Syringe,0-10,0.39,9.86,26.34,Not Sandy
Drynoch,2019,57.298596,-6.3156904,NG4012831357,140128,831357,Syringe,0-10,0.44,17.1,20.68,Not Sandy
Drynoch,2019,57.298464,-6.3140467,NG4022631336,140226,831336,Syringe,0-10,0.39,10.28,27.83,Not Sandy
Drynoch,2019,57.298486,-6.3144481,NG4020231340,140202,831340,Syringe,0-10,0.39,11.82,25.83,Not Sandy
Drynoch,2019,57.298518,-6.3148339,NG4017931345,140179,831345,Syringe,0-10,0.43,13.55,29.01,Not Sandy
Dumbuck,2019,55.93367778,-4.542894444,NS4124774101,241247,674101,Syringe,0-10,1.49,2.83,2.14,Sandy
Dumbuck,2019,55.93369167,-4.542925,NS4124574103,241245,674103,Syringe,0-10,1.38,3.28,2.25,Sandy
Dumbuck,2019,55.93360833,-4.542911111,NS4124674093,241246,674093,Syringe,0-10,1.52,2.02,1.94,Sandy
Dumbuck,2019,55.93364444,-4.5429,NS4124674097,241246,674097,Syringe,0-10,1.36,3.74,1.93,Sandy
Dumbuck,2019,55.93366111,-4.542886111,NS4124774099,241247,674099,Syringe,0-10,1.28,3.53,1.99,Sandy
Eilean Dubh,2019,58.510132,-4.691772,NC4328261139,243282,961139,Syringe,0-10,0.64,7.45,8.68,Not Sandy
Eilean Dubh,2019,58.510253,-4.691964,NC4327161153,243271,961153,Syringe,0-10,0.9,5.33,9.67,Not Sandy
Eilean Dubh,2019,58.510343,-4.69217,NC4325961164,243259,961164,Syringe,0-10,0.54,11.75,26.94,Not Sandy
Eilean Dubh,2019,58.51055,-4.692405,NC4324761187,243247,961187,Syringe,0-10,0.4,9.77,33.26,Not Sandy
Eilean Dubh,2019,58.510673,-4.692606,NC4323661202,243236,961202,Syringe,0-10,0.74,5.93,16.78,Not Sandy
Findhorn Bay,2018,57.635415,-3.616523,NJ0358161758,303581,861758,Syringe,0-10,NA,14.62,NA,Not Sandy
Findhorn Bay,2018,57.635225,-3.616319,NJ0359361737,303593,861737,Syringe,0-10,NA,19.7,NA,Not Sandy
Findhorn Bay,2018,57.634782,-3.61636,NJ0358961688,303589,861688,Syringe,0-10,NA,15.79,NA,Not Sandy
Findhorn Bay,2018,57.634553,-3.616469,NJ0358261662,303582,861662,Syringe,0-10,NA,3.45,NA,Not Sandy
Findhorn Bay,2018,57.635451,-3.614665,NJ0369261760,303692,861760,Syringe,0-10,NA,14.62,NA,Not Sandy
Findhorn Bay,2018,57.635398,-3.614507,NJ0370161754,303701,861754,Syringe,0-10,NA,15.4,NA,Not Sandy
Findhorn Bay,2018,57.635303,-3.614329,NJ0371261743,303712,861743,Syringe,0-10,NA,16.01,NA,Not Sandy
Findhorn Bay,2018,57.635228,-3.61417,NJ0372161734,303721,861734,Syringe,0-10,NA,3.81,NA,Not Sandy
Findhorn Bay,2018,57.635248,-3.61721,NJ0354061741,303540,861741,Syringe,0-10,NA,22.3,NA,Not Sandy
Findhorn Bay,2018,57.634967,-3.617328,NJ0353261710,303532,861710,Syringe,0-10,NA,19.42,NA,Not Sandy
Findhorn Bay,2018,57.634806,-3.61736,NJ0353061692,303530,861692,Syringe,0-10,NA,26.89,NA,Not Sandy
Findhorn Bay,2019,57.639062,-3.5779237,NJ0589562110,305895,862110,Syringe,0-10,0.3,15.7,53.61,Not Sandy
Findhorn Bay,2019,57.638868,-3.5810581,NJ0570762093,305707,862093,Syringe,0-10,0.26,12.35,40.73,Not Sandy
Findhorn Bay,2019,57.638765,-3.5822328,NJ0563762083,305637,862083,Syringe,0-10,1.1,8.28,12.32,Sandy
Findhorn Bay,2019,57.638919,-3.579966,NJ0577362097,305773,862097,Syringe,0-10,0.26,26.52,47.48,Not Sandy
Findhorn Bay,2019,57.638995,-3.5788018,NJ0584262104,305842,862104,Syringe,0-10,0.56,14.22,27.77,Not Sandy
Glenelg,2019,57.216956,-5.6236562,NG8130619843,181306,819843,Syringe,0-10,0.28,24.07,48.35,Not Sandy
Glenelg,2019,57.217342,-5.622733,NG8136419883,181364,819883,Syringe,0-10,0.38,17.74,35.49,Not Sandy
Glenelg,2019,57.217181,-5.6230154,NG8134619866,181346,819866,Syringe,0-10,0.43,21.34,44.28,Not Sandy
Glenelg,2019,57.217092,-5.623305,NG8132819857,181328,819857,Syringe,0-10,0.32,23.31,45.35,Not Sandy
Gullane Sands,2018,56.015818,-2.855555,NT4676080652,346760,680652,Syringe,0-10,NA,3.1,NA,Not Sandy
Gullane Sands,2018,56.015793,-2.85542,NT4676980649,346769,680649,Syringe,0-10,NA,9.15,NA,Not Sandy
Gullane Sands,2018,56.016147,-2.855473,NT4676680689,346766,680689,Syringe,0-10,NA,13.78,NA,Not Sandy
Gullane Sands,2018,56.016238,-2.855291,NT4677780699,346777,680699,Syringe,0-10,NA,21.53,NA,Not Sandy
Gullane Sands,2018,56.015943,-2.855933,NT4673780666,346737,680666,Syringe,0-10,NA,3.43,NA,Not Sandy
Gullane Sands,2018,56.016167,-2.855758,NT4674880691,346748,680691,Syringe,0-10,NA,28.38,NA,Not Sandy
Gullane Sands,2018,56.016346,-2.855712,NT4675180711,346751,680711,Syringe,0-10,NA,23.22,NA,Not Sandy
Gullane Sands,2018,56.016299,-2.85667,NT4669180706,346691,680706,Syringe,0-10,NA,4.51,NA,Not Sandy
Gullane Sands,2018,56.016508,-2.856638,NT4669480730,346694,680730,Syringe,0-10,NA,12.62,NA,Not Sandy
Gullane Sands,2018,56.016674,-2.856335,NT4671380748,346713,680748,Syringe,0-10,NA,30.08,NA,Not Sandy
Harrapool,2019,57.239115,-5.8831049,NG6579123171,165791,823171,Syringe,0-10,0.19,15.7,53.29,Not Sandy
Harrapool,2019,57.240159,-5.8842264,NG6573023291,165730,823291,Syringe,0-10,0.18,20.14,54.52,Not Sandy
Harrapool,2019,57.239296,-5.8833396,NG6577823192,165778,823192,Syringe,0-10,0.29,12.64,21.52,Not Sandy
Harrapool,2019,57.239548,-5.8836149,NG6576323221,165763,823221,Syringe,0-10,0.54,11.51,15.31,Not Sandy
Harrapool,2019,57.239751,-5.8837688,NG6575523244,165755,823244,Syringe,0-10,0.31,14.91,36.36,Not Sandy
Inverbroom,2019,57.81650922,-5.071992389,NH1762184912,217621,884912,Syringe,0-10,0.34,11.47,33.72,Not Sandy
Inverbroom,2019,57.817041,-5.0725049,NH1759384972,217593,884972,Syringe,0-10,0.43,7.51,18.3,Not Sandy
Inverbroom,2019,57.81628417,-5.071705806,NH1763784886,217637,884886,Syringe,0-10,0.16,17.88,66.21,Not Sandy
Inverbroom,2019,57.81674192,-5.07223175,NH1760884938,217608,884938,Syringe,0-10,0.24,12.56,40.8,Not Sandy
Inverbroom,2019,57.81719206,-5.0727725,NH1757884990,217578,884990,Syringe,0-10,0.27,11.8,34.15,Not Sandy
Isleornsay,2019,57.144861,-5.8038413,NG6998512418,169985,812418,Syringe,0-10,0.17,26.66,61.77,Not Sandy
Isleornsay,2019,57.145603,-5.8030905,NG7003512498,170035,812498,Syringe,0-10,0.26,18.7,56.89,Not Sandy
Isleornsay,2019,57.14515,-5.8035235,NG7000612449,170006,812449,Syringe,0-10,0.29,16.25,28.5,Not Sandy
Isleornsay,2019,57.145874,-5.8027544,NG7005712527,170057,812527,Syringe,0-10,0.42,15.29,27.43,Not Sandy
Isleornsay,2019,57.146282,-5.8023497,NG7008412571,170084,812571,Syringe,0-10,0.19,24.6,59.19,Not Sandy
Killilan,2019,57.31668611,-5.443497222,NG9274030373,192740,830373,Syringe,0-10,0.55,10.98,11.47,Sandy
Killilan,2019,57.31704444,-5.442875,NG9277930411,192779,830411,Syringe,0-10,0.81,9.39,8.04,Sandy
Killilan,2019,57.31790833,-5.441713889,NG9285430503,192854,830503,Syringe,0-10,0.47,15.03,40.08,Not Sandy
Killilan,2019,57.31830278,-5.441125,NG9289230545,192892,830545,Syringe,0-10,0.29,15.41,42.3,Not Sandy
Killilan,2019,57.31750833,-5.442341667,NG9281430460,192814,830460,Syringe,0-10,0.26,14.43,34.02,Not Sandy
Kinloch,2019,57.176314,-5.8043616,NG7014915918,170149,815918,Syringe,0-10,0.2,11.85,36.27,Not Sandy
Kinloch,2019,57.177169,-5.8052442,NG7010116016,170101,816016,Syringe,0-10,0.17,25.67,74.36,Not Sandy
Kinloch,2019,57.175744,-5.8035911,NG7019215852,170192,815852,Syringe,0-10,0.96,2.06,7.01,Sandy
Kinloch,2019,57.176108,-5.8040424,NG7016715894,170167,815894,Syringe,0-10,0.42,6.93,22.96,Not Sandy
Kinloch,2019,57.176549,-5.8046341,NG7013415945,170134,815945,Syringe,0-10,0.26,14.14,51.08,Not Sandy
Kirkconnell,2019,54.9873,-3.5804,NX9897266999,298972,566999,Syringe,0-10,0.71,9.52,11.3,Not Sandy
Kirkconnell,2019,54.9879,-3.5766,NX9921667060,299216,567060,Syringe,0-10,1.27,6.13,3.07,Not Sandy
Kirkconnell,2019,54.9878,-3.5789,NX9906967053,299069,567053,Syringe,0-10,0.72,6.97,11.59,Not Sandy
Kirkconnell,2019,54.9876,-3.5787,NX9908167030,299081,567030,Syringe,0-10,0.77,5.64,11.11,Not Sandy
Kirkconnell,2019,54.988,-3.5767,NX9921067072,299210,567072,Syringe,0-10,1.11,3.46,4.84,Not Sandy
Kirkton,2019,57.281682,-5.6016026,NG8301826972,183018,826972,Syringe,0-10,0.22,15.67,50.44,Not Sandy
Kirkton,2019,57.280372,-5.6005781,NG8307226823,183072,826823,Syringe,0-10,0.2,24.88,53.5,Not Sandy
Kirkton,2019,57.281435,-5.6014457,NG8302626944,183026,826944,Syringe,0-10,0.19,24.96,55.33,Not Sandy
Kirkton,2019,57.28118,-5.6012381,NG8303726915,183037,826915,Syringe,0-10,0.2,20.07,47.38,Not Sandy
Kirkton,2019,57.280891,-5.6009775,NG8305126882,183051,826882,Syringe,0-10,0.2,19.63,58.37,Not Sandy
Kyle of Tongue,2018,58.4487,-4.47943,NC5539653826,255396,953826,Syringe,0-10,NA,33.24,NA,Not Sandy
Kyle of Tongue,2018,58.44865,-4.47987,NC5537053821,255370,953821,Syringe,0-10,NA,25.72,NA,Not Sandy
Kyle of Tongue,2018,58.44875,-4.4796,NC5538753832,255387,953832,Syringe,0-10,NA,20.43,NA,Not Sandy
Kyle of Tongue,2018,58.44866,-4.48003,NC5536153823,255361,953823,Syringe,0-10,NA,13.94,NA,Not Sandy
Kyle of Tongue,2018,58.44867,-4.48025,NC5534853824,255348,953824,Syringe,0-10,NA,11.82,NA,Not Sandy
Kyle of Tongue,2018,58.44894,-4.47994,NC5536853854,255368,953854,Syringe,0-10,NA,8.64,NA,Not Sandy
Kyle of Tongue,2018,58.44884,-4.4803,NC5534653843,255346,953843,Syringe,0-10,NA,8.15,NA,Not Sandy
Kyle of Tongue,2018,58.44877,-4.48072,NC5532153837,255321,953837,Syringe,0-10,NA,7.95,NA,Not Sandy
Kyle of Tongue,2018,58.44894,-4.48001,NC5536353854,255363,953854,Syringe,0-10,NA,5.75,NA,Not Sandy
Kyle of Tongue,2018,58.44899,-4.48035,NC5534453860,255344,953860,Syringe,0-10,NA,3.76,NA,Not Sandy
Kyle of Tongue,2018,58.44899,-4.48072,NC5532253861,255322,953861,Syringe,0-10,NA,2,NA,Not Sandy
Kyleakin,2019,57.269642,-5.7415352,NG7451526088,174515,826088,Syringe,0-10,0.11,22.72,NA,Not Sandy
Kyleakin,2019,57.269996,-5.7408244,NG7456026125,174560,826125,Syringe,0-10,0.26,18.81,50.1,Not Sandy
Kyleakin,2019,57.269692,-5.7413743,NG7452526093,174525,826093,Syringe,0-10,0.13,30.75,65.59,Not Sandy
Kyleakin,2019,57.269788,-5.7411849,NG7453726103,174537,826103,Syringe,0-10,0.26,26.22,58.91,Not Sandy
Kyleakin,2019,57.269864,-5.7410433,NG7454626111,174546,826111,Syringe,0-10,0.23,20.58,54.22,Not Sandy
Little Loch Broom,2019,57.8438,-5.222164,NH0884988363,208849,888363,Syringe,0-10,0.79,11.78,26.27,Not Sandy
Little Loch Broom,2019,57.843852,-5.221158,NH0890988366,208909,888366,Syringe,0-10,0.87,5.38,7.73,Not Sandy
Little Loch Broom,2019,57.843852,-5.2199,NH0898488362,208984,888362,Syringe,0-10,0.48,12.36,34.7,Not Sandy
Little Loch Broom,2019,57.843979,-5.218968,NH0904088374,209040,888374,Syringe,0-10,0.24,12.77,39.28,Not Sandy
Little Loch Broom,2019,57.844098,-5.217945,NH0910188384,209101,888384,Syringe,0-10,0.32,23.63,68.31,Not Sandy
Little Loch Broom,2018,57.843268,-5.223241,NH0878288307,208782,888307,Syringe,0-10,NA,3.72,NA,Not Sandy
Little Loch Broom,2018,57.843286,-5.222963,NH0879988308,208799,888308,Syringe,0-10,NA,6.2,NA,Not Sandy
Little Loch Broom,2018,57.843205,-5.222443,NH0882988298,208829,888298,Syringe,0-10,NA,21.19,NA,Not Sandy
Little Loch Broom,2018,57.842961,-5.221586,NH0887988268,208879,888268,Syringe,0-10,NA,14.66,NA,Not Sandy
Little Loch Broom,2018,57.842828,-5.22112,NH0890688252,208906,888252,Syringe,0-10,NA,16.81,NA,Not Sandy
Little Loch Broom,2018,57.842709,-5.220807,NH0892488238,208924,888238,Syringe,0-10,NA,17.91,NA,Not Sandy
Little Loch Broom,2018,57.842423,-5.220174,NH0896088204,208960,888204,Syringe,0-10,NA,39.48,NA,Not Sandy
Little Loch Broom,2018,57.844503,-5.221006,NH0892188438,208921,888438,Syringe,0-10,NA,9.16,NA,Not Sandy
Little Loch Broom,2018,57.844423,-5.220238,NH0896788427,208967,888427,Syringe,0-10,NA,22.59,NA,Not Sandy
Little Loch Broom,2018,57.844312,-5.218622,NH0906288410,209062,888410,Syringe,0-10,NA,17.12,NA,Not Sandy
