study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Radabaugh_et_al_2017,Borrichia,frutescens,1,20.2,cm,0.407,Radabaugh et al. 2017,0.32,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,20.5,cm,0.407,Radabaugh et al. 2017,0.34,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,19.4,cm,0.407,Radabaugh et al. 2017,0.28,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,19.4,cm,0.407,Radabaugh et al. 2017,0.33,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,18.6,cm,0.407,Radabaugh et al. 2017,0.33,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,18.5,cm,0.407,Radabaugh et al. 2017,0.36,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,18.1,cm,0.407,Radabaugh et al. 2017,0.27,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,19,cm,0.407,Radabaugh et al. 2017,0.32,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,16,cm,0.407,Radabaugh et al. 2017,0.31,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,18,cm,0.407,Radabaugh et al. 2017,0.39,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,16.3,cm,0.407,Radabaugh et al. 2017,0.29,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,18.3,cm,0.407,Radabaugh et al. 2017,0.32,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,18.5,cm,0.407,Radabaugh et al. 2017,0.32,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,17,cm,0.407,Radabaugh et al. 2017,0.27,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,15.6,cm,0.407,Radabaugh et al. 2017,0.24,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,16.2,cm,0.407,Radabaugh et al. 2017,0.25,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,16.2,cm,0.407,Radabaugh et al. 2017,0.23,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,14.4,cm,0.407,Radabaugh et al. 2017,0.16,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,15,cm,0.407,Radabaugh et al. 2017,0.25,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,103.5,cm,0.407,Radabaugh et al. 2017,22.397,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,97.2,cm,0.407,Radabaugh et al. 2017,12.278,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,120.2,cm,0.407,Radabaugh et al. 2017,22.516,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,40,cm,0.407,Radabaugh et al. 2017,0.973,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,61.2,cm,0.407,Radabaugh et al. 2017,3.161,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,93.5,cm,0.407,Radabaugh et al. 2017,14.62,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,59.2,cm,0.407,Radabaugh et al. 2017,2.97,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,61,cm,0.407,Radabaugh et al. 2017,3.15,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,105.4,cm,0.407,Radabaugh et al. 2017,13.648,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,43.8,cm,0.407,Radabaugh et al. 2017,1.297,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,100,cm,0.407,Radabaugh et al. 2017,11.795,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,103.2,cm,0.407,Radabaugh et al. 2017,11.975,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,44.8,cm,0.407,Radabaugh et al. 2017,1.42,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,99.8,cm,0.407,Radabaugh et al. 2017,9.292,g,yes
Radabaugh_et_al_2017,Borrichia,frutescens,1,100,cm,0.407,Radabaugh et al. 2017,8.84,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,13.8,cm,0.234,Radabaugh et al. 2017,0.54,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,10.9,cm,0.234,Radabaugh et al. 2017,0.37,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,15.1,cm,0.234,Radabaugh et al. 2017,0.29,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,11.2,cm,0.234,Radabaugh et al. 2017,0.36,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,13,cm,0.234,Radabaugh et al. 2017,0.32,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,15.2,cm,0.234,Radabaugh et al. 2017,0.39,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,16,cm,0.234,Radabaugh et al. 2017,0.45,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,15.4,cm,0.234,Radabaugh et al. 2017,0.33,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,12.3,cm,0.234,Radabaugh et al. 2017,0.23,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,10.3,cm,0.234,Radabaugh et al. 2017,0.14,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,5.6,cm,0.234,Radabaugh et al. 2017,0.42,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,15,cm,0.234,Radabaugh et al. 2017,0.32,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,16.5,cm,0.234,Radabaugh et al. 2017,0.47,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,16.4,cm,0.234,Radabaugh et al. 2017,0.38,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,13.7,cm,0.234,Radabaugh et al. 2017,0.12,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,20.9,cm,0.234,Radabaugh et al. 2017,0.52,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,20.4,cm,0.234,Radabaugh et al. 2017,0.68,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,4,cm,0.234,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,19.8,cm,0.234,Radabaugh et al. 2017,0.3,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,19.3,cm,0.234,Radabaugh et al. 2017,0.59,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,20.3,cm,0.234,Radabaugh et al. 2017,0.62,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,21.5,cm,0.234,Radabaugh et al. 2017,0.76,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,23,cm,0.234,Radabaugh et al. 2017,0.82,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,18.6,cm,0.234,Radabaugh et al. 2017,0.94,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,22.3,cm,0.234,Radabaugh et al. 2017,0.9,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,25.8,cm,0.234,Radabaugh et al. 2017,1.67,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,27.3,cm,0.234,Radabaugh et al. 2017,1.35,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,29.4,cm,0.234,Radabaugh et al. 2017,1.81,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,20.7,cm,0.234,Radabaugh et al. 2017,0.62,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,50.3,cm,0.234,Radabaugh et al. 2017,2.37,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,10,cm,0.234,Radabaugh et al. 2017,0.5,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,11,cm,0.234,Radabaugh et al. 2017,0.27,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,9.6,cm,0.234,Radabaugh et al. 2017,0.15,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,3.4,cm,0.234,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,8.5,cm,0.234,Radabaugh et al. 2017,0.17,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,7.6,cm,0.234,Radabaugh et al. 2017,0.11,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,8.4,cm,0.234,Radabaugh et al. 2017,0.09,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,6.3,cm,0.234,Radabaugh et al. 2017,0.12,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,8.3,cm,0.234,Radabaugh et al. 2017,0.19,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,15.7,cm,0.234,Radabaugh et al. 2017,0.38,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,10.1,cm,0.234,Radabaugh et al. 2017,0.16,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,10,cm,0.234,Radabaugh et al. 2017,0.21,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,10.3,cm,0.234,Radabaugh et al. 2017,0.13,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,22.1,cm,0.234,Radabaugh et al. 2017,1.57,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,5.5,cm,0.234,Radabaugh et al. 2017,0.03,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,21.2,cm,0.234,Radabaugh et al. 2017,1.19,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,20,cm,0.234,Radabaugh et al. 2017,0.96,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,3,cm,0.234,Radabaugh et al. 2017,0.02,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,7,cm,0.234,Radabaugh et al. 2017,0.13,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,8.3,cm,0.234,Radabaugh et al. 2017,0.1,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,8.9,cm,0.234,Radabaugh et al. 2017,0.69,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,22,cm,0.234,Radabaugh et al. 2017,2.03,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,23.9,cm,0.234,Radabaugh et al. 2017,4.93,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,21.2,cm,0.234,Radabaugh et al. 2017,1.04,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,14.5,cm,0.234,Radabaugh et al. 2017,1.12,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,13.7,cm,0.234,Radabaugh et al. 2017,0.85,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,8,cm,0.234,Radabaugh et al. 2017,0.11,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,6.7,cm,0.234,Radabaugh et al. 2017,0.13,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,3.2,cm,0.234,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,7.1,cm,0.234,Radabaugh et al. 2017,0.21,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,5,cm,0.234,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,16.3,cm,0.234,Radabaugh et al. 2017,0.36,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,12,cm,0.234,Radabaugh et al. 2017,0.84,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,14.8,cm,0.234,Radabaugh et al. 2017,1.49,g,yes
Radabaugh_et_al_2017,Batis,maritima,1,11,cm,0.234,Radabaugh et al. 2017,1.45,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,30.7,cm,0.457,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,13.2,cm,0.457,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,14.9,cm,0.457,Radabaugh et al. 2017,0.11,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,25.4,cm,0.457,Radabaugh et al. 2017,0.14,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,22.1,cm,0.457,Radabaugh et al. 2017,0.12,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,10.2,cm,0.457,Radabaugh et al. 2017,0.03,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,25.5,cm,0.457,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,19.3,cm,0.457,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,12,cm,0.457,Radabaugh et al. 2017,0.02,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,22.2,cm,0.457,Radabaugh et al. 2017,0.14,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,7.1,cm,0.457,Radabaugh et al. 2017,0.02,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,20.3,cm,0.457,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,12,cm,0.457,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,19.6,cm,0.457,Radabaugh et al. 2017,0.09,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,10,cm,0.457,Radabaugh et al. 2017,0.03,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,22.5,cm,0.457,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,8.7,cm,0.457,Radabaugh et al. 2017,0.02,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,24.9,cm,0.457,Radabaugh et al. 2017,0.03,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,12.6,cm,0.457,Radabaugh et al. 2017,0.04,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,18.1,cm,0.457,Radabaugh et al. 2017,0.1,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,12.6,cm,0.457,Radabaugh et al. 2017,0.03,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,22.2,cm,0.457,Radabaugh et al. 2017,0.05,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,11,cm,0.457,Radabaugh et al. 2017,0.06,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,19.9,cm,0.457,Radabaugh et al. 2017,0.09,g,yes
Radabaugh_et_al_2017,Sporobolus,virginicus,1,9.9,cm,0.457,Radabaugh et al. 2017,0.03,g,yes
