study_id,site_id,core_id,year,month,day,latitude,longitude,position_accuracy,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Rovai_et_al_2022,PA2,S0L2MG2,2012,10,18,-0.637209,-47.561023,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA2,S0L2MG3,2012,10,18,-0.637209,-47.561023,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA3,S0L3MG1,2012,10,18,-0.700967,-47.11727,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA3,S0L3MG2,2012,10,18,-0.700967,-47.11727,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,PA3,S0L3MG3,2012,10,18,-0.700967,-47.11727,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG1,N10L1MG1,2013,6,25,9.590426,-82.59787,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG1,N10L1MG2,2013,6,25,9.590426,-82.59787,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG1,N10L1MG3,2013,6,25,9.590426,-82.59787,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG2,N10L2MG1,2013,6,25,9.588138,-82.59752,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG2,N10L2MG2,2013,6,25,9.588138,-82.59752,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG2,N10L2MG3,2013,6,25,9.588138,-82.59752,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG3,N10L3MG1,2013,6,25,9.588788,-82.59588,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG3,N10L3MG2,2013,6,25,9.588788,-82.59588,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,LG3,N10L3MG3,2013,6,25,9.588788,-82.59588,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN1,N11L1MG1,2013,6,29,9.824509,-84.914033,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN1,N11L1MG2,2013,6,29,9.824509,-84.914033,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN1,N11L1MG3,2013,6,29,9.824509,-84.914033,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN2,N11L2MG1,2013,6,29,9.826671,-84.917696,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN2,N11L2MG2,2013,6,29,9.826671,-84.917696,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN2,N11L2MG3,2013,6,29,9.826671,-84.917696,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN3,N11L3MG1,2013,6,29,9.827158,-84.920191,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN3,N11L3MG2,2013,6,29,9.827158,-84.920191,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GN3,N11L3MG3,2013,6,29,9.827158,-84.920191,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SB1,SB-C1,2014,9,13,26.47816,-82.150279,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SB1,SB-C2,2014,9,13,26.47816,-82.150279,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SB1,SB-C3,2014,9,13,26.47816,-82.150279,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,RB12,RB1-C1,2014,9,14,26.020741,-81.734164,10,handheld,estuarine,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Rovai_et_al_2022,RB12,RB1-C2,2014,9,14,26.020741,-81.734164,10,handheld,estuarine,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Rovai_et_al_2022,RB12,RB1-C3,2014,9,14,26.020741,-81.734164,10,handheld,estuarine,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Rovai_et_al_2022,RB23,RB2-C1,2014,9,14,25.927605,-81.652519,10,handheld,estuarine,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Rovai_et_al_2022,RB23,RB2-C2,2014,9,14,25.927605,-81.652519,10,handheld,estuarine,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Rovai_et_al_2022,RB23,RB2-C3,2014,9,14,25.927605,-81.652519,10,handheld,estuarine,field observation,forested,field observation,mangrove,mid,field observation,core depth limited by length of corer
Rovai_et_al_2022,SRS61,SRS6-C1,2014,9,15,25.364747,-81.07154,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SRS61,SRS6-C2,2014,9,15,25.364747,-81.07154,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SRS61,SRS6-C3,2014,9,15,25.364747,-81.07154,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,NR2,NR-C1,2014,9,15,25.299336,-80.955321,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,NR2,NR-C2,2014,9,15,25.299336,-80.955321,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,NR2,NR-C3,2014,9,15,25.299336,-80.955321,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CB3,CB-C1,2014,9,15,25.182819,-80.905646,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CB3,CB-C2,2014,9,15,25.182819,-80.905646,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CB3,CB-C3,2014,9,15,25.182819,-80.905646,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TS71,TS7-C1,2014,9,16,25.204705,-80.642399,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TS71,TS7-C2,2014,9,16,25.204705,-80.642399,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TS71,TS7-C3,2014,9,16,25.204705,-80.642399,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TS82,TS8-C1,2014,9,16,25.214869,-80.531304,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TS82,TS8-C2,2014,9,16,25.214869,-80.531304,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TS82,TS8-C3,2014,9,16,25.214869,-80.531304,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TC3,TC-C1,2014,9,16,25.202916,-80.456374,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TC3,TC-C2,2014,9,16,25.202916,-80.456374,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,TC3,TC-C3,2014,9,16,25.202916,-80.456374,10,handheld,estuarine,field observation,scrub shrub,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP1,S13L1MG1,2015,7,21,-13.493223,-38.911237,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP1,S13L1MG2,2015,7,21,-13.493223,-38.911237,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP1,S13L1MG3,2015,7,21,-13.493223,-38.911237,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP2,S13L2MG1,2015,7,22,-13.454386,-38.89258,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP2,S13L2MG2,2015,7,22,-13.454386,-38.89258,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP2,S13L2MG3,2015,7,22,-13.454386,-38.89258,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP3,S13L3MG1,2015,7,23,-13.473796,-38.906864,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP3,S13L3MG2,2015,7,23,-13.473796,-38.906864,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,GP3,S13L3MG3,2015,7,23,-13.473796,-38.906864,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP1,S23L1MG1,2015,8,25,-24.691084,-47.513154,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP1,S23L1MG2,2015,8,25,-24.691084,-47.513154,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP1,S23L1MG3,2015,8,25,-24.691084,-47.513154,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP2,S23L2MG1,2015,8,26,-25.018879,-47.917862,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP2,S23L2MG2,2015,8,26,-25.018879,-47.917862,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP2,S23L2MG3,2015,8,26,-25.018879,-47.917862,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP3,S23L3MG1,2015,8,27,-25.230937,-48.022265,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP3,S23L3MG2,2015,8,27,-25.230937,-48.022265,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,SP3,S23L3MG3,2015,8,27,-25.230937,-48.022265,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES1,N13L1MG1,2015,10,NA,13.189806,-88.331444,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES1,N13L1MG2,2015,10,NA,13.189806,-88.331444,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES1,N13L1MG3,2015,10,NA,13.189806,-88.331444,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES2,N13L2MG1,2015,10,NA,13.256417,-88.788167,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES2,N13L2MG2,2015,10,NA,13.256417,-88.788167,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES2,N13L2MG3,2015,10,NA,13.256417,-88.788167,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES3,N13L3MG1,2015,10,NA,13.219111,-88.460333,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES3,N13L3MG2,2015,10,NA,13.219111,-88.460333,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,ES3,N13L3MG3,2015,10,NA,13.219111,-88.460333,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ1,CQ1-C1,2014,8,NA,8.307105,-82.281247,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ1,CQ1-C2,2014,8,NA,8.307105,-82.281247,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ1,CQ1-C3,2014,8,NA,8.307105,-82.281247,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ2,CQ2-C1,2014,8,NA,8.276765,-82.34989,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ2,CQ2-C2,2014,8,NA,8.276765,-82.34989,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ2,CQ2-C3,2014,8,NA,8.276765,-82.34989,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ3,CQ3-C1,2014,8,NA,8.317855,-82.440367,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ3,CQ3-C2,2014,8,NA,8.317855,-82.440367,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
Rovai_et_al_2022,CQ3,CQ3-C3,2014,8,NA,8.317855,-82.440367,10,handheld,estuarine,field observation,forested,field observation,mangrove,low,field observation,core depth limited by length of corer
