BlueCarbonID,CMA,Location,Park,NearbyPark,North,East,Site,Habitat,Replicate,Depth_cm,Dry_weight_g,Height_cm,Volume_cm3,DBD_g_cm3,TC_mg_g,OC_mg_g,IC_mg_g,TN_mg_g,Percent_C,mg_Corg_cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1415,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265417,144.497017,5,MG,2,28_30,23.46,2,39.27,0.60,40.18,39.27,,3.34,3.93,23.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1416,C,BAH,Lake Connewarre Wildlife Reserve,,-38.264917,144.494917,3,SG,3,0_2,47.43,2,39.27,1.21,29.63,4.88,25.82,0.44,0.49,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1417,C,BAH,Lake Connewarre Wildlife Reserve,,-38.264917,144.494917,3,SG,3,14_16,64.39,2,39.27,1.64,31.89,4.01,33.28,0.42,0.40,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1418,C,BAH,Lake Connewarre Wildlife Reserve,,-38.264917,144.494917,3,SG,3,28_30,56.16,2,39.27,1.43,40.68,8.60,36.47,0.97,0.86,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1596,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265283,144.495983,2,SG,2,0_2,42.91,2,39.27,1.09,41.92,9.42,31.18,0.84,0.94,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1597,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265283,144.495983,2,SG,2,14_16,22.81,2,39.27,0.58,22.24,17.01,5.58,1.00,1.70,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1598,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265283,144.495983,2,SG,2,28_30,23.60,2,39.27,0.60,21.73,15.42,6.25,1.04,1.54,9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1605,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265400,144.496783,1,SG,1,0_2,49.28,2,39.27,1.25,49.38,4.12,53.93,0.48,0.41,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1606,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265400,144.496783,1,SG,1,14_16,60.48,2,39.27,1.54,48.81,5.62,44.65,0.45,0.56,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1607,C,BAH,Lake Connewarre Wildlife Reserve,,-38.265400,144.496783,1,SG,1,28_30,61.19,2,39.27,1.56,59.14,3.92,61.52,0.29,0.39,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1419,C,BAR,Lake Connewarre Wildlife Reserve,,-38.257933,144.483417,4,MG,1,0_2,56.62,2,39.27,1.44,36.74,9.30,26.40,1.03,0.93,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1420,C,BAR,Lake Connewarre Wildlife Reserve,,-38.257933,144.483417,4,MG,1,14_16,53.74,2,39.27,1.37,36.21,5.18,32.94,0.55,0.52,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1421,C,BAR,Lake Connewarre Wildlife Reserve,,-38.257933,144.483417,4,MG,1,28_30,57.18,2,39.27,1.46,61.04,3.14,59.92,0.33,0.31,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1442,C,BAR,Lake Connewarre Wildlife Reserve,,-38.258933,144.484867,1,SG,1,0_2,42.92,2,39.27,1.09,56.89,12.12,50.61,1.26,1.21,13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1443,C,BAR,Lake Connewarre Wildlife Reserve,,-38.258933,144.484867,1,SG,1,14_16,54.29,2,39.27,1.38,75.23,2.16,72.54,0.46,0.22,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1444,C,BAR,Lake Connewarre Wildlife Reserve,,-38.258933,144.484867,1,SG,1,28_30,50.05,2,39.27,1.27,56.62,6.97,46.59,0.65,0.70,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1445,C,BAR,Lake Connewarre Wildlife Reserve,,-38.258417,144.483967,2,SG,2,0_2,36.48,2,39.27,0.93,45.92,6.51,44.65,0.81,0.65,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1446,C,BAR,Lake Connewarre Wildlife Reserve,,-38.258417,144.483967,2,SG,2,14_16,44.17,2,39.27,1.12,54.85,12.88,31.89,1.27,1.29,14.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1447,C,BAR,Lake Connewarre Wildlife Reserve,,-38.258417,144.483967,2,SG,2,28_30,57.53,2,39.27,1.46,39.26,11.59,21.05,0.97,1.16,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1701,C,BAR,Lake Connewarre Wildlife Reserve,,-38.259300,144.486667,5,MG,2,0_2,13.82,2,39.27,0.35,62.41,51.10,14.52,4.38,5.11,17.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1702,C,BAR,Lake Connewarre Wildlife Reserve,,-38.259300,144.486667,5,MG,2,14_16,28.74,2,39.27,0.73,26.00,16.79,11.82,1.87,1.68,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1703,C,BAR,Lake Connewarre Wildlife Reserve,,-38.259300,144.486667,5,MG,2,28_30,27.32,2,39.27,0.70,21.31,18.91,,1.74,1.89,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1704,C,BAR,Lake Connewarre Wildlife Reserve,,-38.259583,144.487050,6,MG,3,0_2,14.29,2,39.27,0.36,56.92,54.82,,4.59,5.48,19.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1705,C,BAR,Lake Connewarre Wildlife Reserve,,-38.259583,144.487050,6,MG,3,14_16,22.01,2,39.27,0.56,28.86,27.80,,2.59,2.78,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1706,C,BAR,Lake Connewarre Wildlife Reserve,,-38.259583,144.487050,6,MG,3,28_30,24.76,2,39.27,0.63,22.84,20.01,,1.89,2.00,12.61,,,,,,,,,,,,,,,,,,,,,,to,t1,,,,,,,
BlueC0989,EG,BEM,Cape Conran Coastal Park,,-37.761233,148.970600,1,SG,1,0_2,50.13,2,39.27,1.28,1.06,1.45,,0.17,0.15,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0990,EG,BEM,Cape Conran Coastal Park,,-37.761233,148.970600,1,SG,1,14_16,59.38,2,39.27,1.51,0.53,1.10,,0.17,0.11,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0991,EG,BEM,Cape Conran Coastal Park,,-37.761283,148.970117,2,SG,2,0_2,57.59,2,39.27,1.47,0.45,0.89,,0.12,0.09,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0992,EG,BEM,Cape Conran Coastal Park,,-37.761283,148.970117,2,SG,2,14_16,47.97,2,39.27,1.22,2.71,2.99,,0.31,0.30,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0993,EG,BEM,Cape Conran Coastal Park,,-37.762067,148.968017,3,SG,3,0_2,52.96,2,39.27,1.35,2.59,2.65,,0.29,0.27,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0994,EG,BEM,Cape Conran Coastal Park,,-37.762067,148.968017,3,SG,3,14_16,49.62,2,39.27,1.26,4.77,4.82,,0.47,0.48,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1410,C,BRE,Breamlea Flor and Fauna Reserve,,-38.294967,144.386183,2,SM,2,0_2,29.83,2,39.27,0.76,58.34,62.11,,5.57,6.21,47.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1411,C,BRE,Breamlea Flor and Fauna Reserve,,-38.294967,144.386183,2,SM,2,14_16,73.32,2,39.27,1.87,4.02,5.00,,0.64,0.50,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1412,C,BRE,Breamlea Flor and Fauna Reserve,,-38.294967,144.386183,2,SM,2,28_30,52.96,2,39.27,1.35,5.65,6.23,,0.85,0.62,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1611,C,BRE,Breamlea Flor and Fauna Reserve,,-38.295767,144.386050,1,SM,1,0_2,30.92,2,39.27,0.79,63.26,39.29,27.03,3.65,3.93,30.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1612,C,BRE,Breamlea Flor and Fauna Reserve,,-38.295767,144.386050,1,SM,1,14_16,47.66,2,39.27,1.21,13.14,12.30,,1.46,1.23,14.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1613,C,BRE,Breamlea Flor and Fauna Reserve,,-38.295767,144.386050,1,SM,1,28_30,55.62,2,39.27,1.42,9.64,8.69,,0.89,0.87,12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1692,C,BRE,Breamlea Flor and Fauna Reserve,,-38.294467,144.386267,3,SM,3,0_2,33.18,2,39.27,0.84,36.89,39.55,,3.49,3.96,33.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1693,C,BRE,Breamlea Flor and Fauna Reserve,,-38.294467,144.386267,3,SM,3,14_16,48.00,2,39.27,1.22,6.39,7.36,,0.85,0.74,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1694,C,BRE,Breamlea Flor and Fauna Reserve,,-38.294467,144.386267,3,SM,3,28_30,74.34,2,39.27,1.89,8.13,7.01,,0.65,0.70,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1428,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286483,144.400717,3,SM,3,0_2,5.53,2,39.27,0.14,296.86,317.25,,18.82,31.72,44.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1429,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286483,144.400717,3,SM,3,14_16,27.69,2,39.27,0.71,127.49,132.01,,7.49,13.20,93.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1429,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286483,144.400717,3,SM,3,28_30,,2,39.27,,,,,,,12.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1430,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286700,144.400167,2,SM,2,0_2,7.89,2,39.27,0.20,315.30,335.52,,20.50,33.55,67.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1431,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286700,144.400167,2,SM,2,14_16,22.61,2,39.27,0.58,40.16,39.09,,3.20,3.91,22.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1432,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286700,144.400167,2,SM,2,28_30,33.67,2,39.27,0.86,74.34,72.75,,5.11,7.28,62.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1569,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286833,144.399483,1,SM,1,0_2,8.56,2,39.27,0.22,326.75,337.48,,18.93,33.75,73.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1570,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286833,144.399483,1,SM,1,14_16,43.80,2,39.27,1.12,24.73,23.14,,2.48,2.31,25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1571,C,BRM,Breamlea Flor and Fauna Reserve,,-38.286833,144.399483,1,SM,1,28_30,61.67,2,39.27,1.57,22.24,3.04,23.44,0.57,0.30,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0995,PPW,CHU,Churchill Island MNP,,-38.509300,145.344450,4,MG,1,0_2,30.86,2,39.27,0.79,13.41,13.63,,1.08,1.36,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0996,PPW,CHU,Churchill Island MNP,,-38.509300,145.344450,4,MG,1,14_16,28.65,2,39.27,0.73,26.90,22.44,,1.75,2.24,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0997,PPW,CHU,Churchill Island MNP,,-38.509300,145.344450,4,MG,1,28_30,31.28,2,39.27,0.80,38.79,38.80,,2.91,3.88,30.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0998,PPW,CHU,Churchill Island MNP,,-38.509733,145.344683,5,MG,2,0_2,21.73,2,39.27,0.55,19.36,15.54,,1.32,1.55,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC0999,PPW,CHU,Churchill Island MNP,,-38.509733,145.344683,5,MG,2,14_16,25.09,2,39.27,0.64,53.38,53.73,,3.58,5.37,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1000,PPW,CHU,Churchill Island MNP,,-38.509733,145.344683,5,MG,2,28_30,15.06,2,39.27,0.38,76.64,65.89,,3.02,6.59,25.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1001,PPW,CHU,Churchill Island MNP,,-38.509767,145.344717,6,MG,3,0_2,21.78,2,39.27,0.55,40.79,42.26,,3.13,4.23,23.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1002,PPW,CHU,Churchill Island MNP,,-38.509767,145.344717,6,MG,3,14_16,17.04,2,39.27,0.43,64.35,68.28,,4.34,6.83,29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1003,PPW,CHU,Churchill Island MNP,,-38.509767,145.344717,6,MG,3,28_30,12.83,2,39.27,0.33,86.16,74.93,,3.33,7.49,24.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1004,PPW,CHU,Churchill Island MNP,,-38.509300,145.344450,7,SG,1,0_2,26.38,2,39.27,0.67,17.09,13.36,5.41,1.16,1.34,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1005,PPW,CHU,Churchill Island MNP,,-38.509300,145.344450,7,SG,1,14_16,21.45,2,39.27,0.55,23.22,20.27,,1.48,2.03,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1006,PPW,CHU,Churchill Island MNP,,-38.509300,145.344450,7,SG,1,28_30,25.15,2,39.27,0.64,22.85,18.06,,1.01,1.81,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1007,PPW,CHU,Churchill Island MNP,,-38.509467,145.344367,8,SG,2,0_2,25.43,2,39.27,0.65,15.88,15.02,,1.39,1.50,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1008,PPW,CHU,Churchill Island MNP,,-38.509467,145.344367,8,SG,2,14_16,24.13,2,39.27,0.61,18.52,17.79,,1.84,1.78,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1009,PPW,CHU,Churchill Island MNP,,-38.509467,145.344367,8,SG,2,28_30,23.10,2,39.27,0.59,21.26,18.36,,1.53,1.84,10.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1010,PPW,CHU,Churchill Island MNP,,-38.510000,145.345117,3,SM,3,0_2,26.36,2,39.27,0.67,37.09,39.29,,3.03,3.93,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1011,PPW,CHU,Churchill Island MNP,,-38.510000,145.345117,3,SM,3,14_16,22.25,2,39.27,0.57,32.95,33.36,,2.83,3.34,18.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1012,PPW,CHU,Churchill Island MNP,,-38.510000,145.345117,3,SM,3,28_30,18.65,2,39.27,0.47,46.42,44.50,,3.10,4.45,21.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1194,PPW,CHU,Churchill Island MNP,,-38.509833,145.344717,1,SM,1,0_2,16.44,2,39.27,0.42,87.83,92.72,,7.33,9.27,38.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1195,PPW,CHU,Churchill Island MNP,,-38.509833,145.344717,1,SM,1,14_16,17.08,2,39.27,0.43,54.57,56.98,,4.97,5.70,24.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1196,PPW,CHU,Churchill Island MNP,,-38.509833,145.344717,1,SM,1,28_30,18.60,2,39.27,0.47,47.64,49.68,,4.32,4.97,23.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1309,PPW,CHU,Churchill Island MNP,,-38.509917,145.344900,2,SM,2,0_2,13.78,2,39.27,0.35,70.76,71.10,,6.40,7.11,24.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1310,PPW,CHU,Churchill Island MNP,,-38.509917,145.344900,2,SM,2,14_16,21.73,2,39.27,0.55,45.33,45.12,,3.81,4.51,24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1311,PPW,CHU,Churchill Island MNP,,-38.509917,145.344900,2,SM,2,28_30,18.99,2,39.27,0.48,44.81,45.47,,3.94,4.55,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1425,PPW,CHU,Churchill Island MNP,,-38.509317,145.344383,9,SG,3,0_2,28.55,2,39.27,0.73,19.67,18.22,,1.57,1.82,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1426,PPW,CHU,Churchill Island MNP,,-38.509317,145.344383,9,SG,3,14_16,19.21,2,39.27,0.49,19.91,18.35,,1.87,1.83,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1427,PPW,CHU,Churchill Island MNP,,-38.509317,145.344383,9,SG,3,28_30,24.82,2,39.27,0.63,22.51,19.43,,1.74,1.94,12.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1398,C,CON,Lake Connewarre Wildlife Reserve,,-38.251317,144.438117,1,SM,1,0_2,28.04,2,39.27,0.71,69.01,73.69,,6.26,7.37,52.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1399,C,CON,Lake Connewarre Wildlife Reserve,,-38.251317,144.438117,1,SM,1,14_16,67.41,2,39.27,1.72,4.67,3.28,0.78,0.42,0.33,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1400,C,CON,Lake Connewarre Wildlife Reserve,,-38.251317,144.438117,1,SM,1,28_30,53.77,2,39.27,1.37,46.15,1.41,56.08,0.35,0.14,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1422,C,CON,Lake Connewarre Wildlife Reserve,,-38.250933,144.437667,2,SM,2,0_2,23.57,2,39.27,0.60,69.59,72.99,,6.31,7.30,43.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1423,C,CON,Lake Connewarre Wildlife Reserve,,-38.250933,144.437667,2,SM,2,14_16,64.78,2,39.27,1.65,23.02,0.49,26.92,0.24,0.05,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1424,C,CON,Lake Connewarre Wildlife Reserve,,-38.250933,144.437667,2,SM,2,28_30,62.96,2,39.27,1.60,38.22,0.89,37.90,0.74,0.09,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1690,C,CON,Lake Connewarre Wildlife Reserve,,-38.250150,144.436867,3,SM,3,0_2,9.30,2,39.27,0.24,228.95,238.76,,15.19,23.88,56.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1691,C,CON,Lake Connewarre Wildlife Reserve,,-38.250150,144.436867,3,SM,3,14_16,52.65,2,39.27,1.34,22.47,21.05,,2.35,2.10,28.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1691,C,CON,Lake Connewarre Wildlife Reserve,,-38.250150,144.436867,3,SM,3,28_30,,2,39.27,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1013,EG,DOU,Croajingolong National Park,,-37.525967,149.697250,1,SM,1,0_2,7.95,2,39.27,0.20,220.01,223.20,,14.40,22.32,45.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1014,EG,DOU,Croajingolong National Park,,-37.525967,149.697250,1,SM,1,14_16,19.92,2,39.27,0.51,72.88,76.87,,5.35,7.69,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1015,EG,DOU,Croajingolong National Park,,-37.525967,149.697250,1,SM,1,28_30,56.54,2,39.27,1.44,9.39,9.60,,0.71,0.96,13.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1016,EG,DOU,Croajingolong National Park,,-37.525917,149.697050,2,SM,2,0_2,7.79,2,39.27,0.20,192.90,197.29,,12.21,19.73,39.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1017,EG,DOU,Croajingolong National Park,,-37.525917,149.697050,2,SM,2,14_16,35.07,2,39.27,0.89,23.74,27.52,,2.04,2.75,24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
