core_id,depth_max,dry_bulk_density,percent_carbon,total_pb210_activity,total_pb210_sd,ra226_activity,ra226_activity_sd,excess_pb210_activity,excess_pb210_activity_sd
Core SG11,38,0.827,,,,,,,
Core SG11,40,0.981,2.55,,,,,,
Core SG12,2,0.673,3.05,,,,,,
Core SG12,4,0.654,3.14,,,,,,
Core SG12,6,0.456,7.14,,,,,,
Core SG12,8,0.2,17.63,,,,,,
Core SG12,10,0.199,19.86,,,,,,
Core SG12,12,0.35,,,,,,,
Core SG12,14,0.498,7.64,,,,,,
Core SG12,16,0.562,,,,,,,
Core SG12,18,0.676,4.28,,,,,,
Core SG12,20,0.813,4.74,,,,,,
Core SG12,22,0.79,2.66,,,,,,
Core SG12,24,0.93,,,,,,,
Core SG12,26,0.874,2.08,,,,,,
Core SG12,28,0.774,,,,,,,
Core SG12,30,0.963,2.11,,,,,,
Core AS7,2,0.194,23.35,6.63,0.62,0.37,0.12,6.26,
Core AS7,4,0.289,15.18,4.67,0.57,0.41,0.12,4.26,
Core AS7,6,0.26,16.51,4.15,0.45,0.62,0.09,3.54,
Core AS7,8,0.322,12.89,2.7,0.34,0.69,0.07,2.01,
Core AS7,10,0.292,16.71,2.77,0.27,0.58,0.05,2.19,
Core AS7,12,0.263,,2.67,0.31,0.62,0.06,2.05,
Core AS7,14,0.349,11.64,2.23,0.26,0.7,0.05,1.53,
Core AS7,16,0.387,,1.45,0.24,0.65,0.05,0.8,
Core AS7,18,0.355,9.68,1.64,0.23,0.88,0.05,0.76,
Core AS7,20,0.352,,1.34,0.25,0.77,0.05,0.57,
Core AS7,22,0.392,10.39,0.99,0.23,0.82,0.05,0.17,
Core AS7,24,0.534,,1.12,0.19,0.99,0.04,0.13,
Core AS7,26,0.66,,1,0.23,1.02,0.05,-0.02,
Core AS7,28,0.502,5.72,1.1,0.22,1.01,0.05,0.09,
Core AS7,30,0.562,,1.14,0.22,1.1,0.05,0.05,
Core AS7,32,0.606,,1.2,0.24,1.11,0.05,0.09,
Core AS7,34,0.604,5.22,,,,,,
Core AS7,36,0.759,,,,,,,
Core AS7,38,1.014,,,,,,,
Core AS7,40,0.756,3.45,,,,,,
Core AS7,42,0.754,,,,,,,
Core AS7,44,0.741,,,,,,,
Core AS7,46,0.716,2.32,,,,,,
Core AS8,2,0.055,16.73,7.3,0.4,0.65,0.05,6.66,0.41
Core AS8,4,0.149,17,7.03,0.45,0.67,0.06,6.36,0.45
Core AS8,6,0.254,11.94,5.66,0.43,0.81,0.06,4.85,0.44
Core AS8,8,0.261,11.05,4.24,0.29,0.92,0.04,3.32,0.29
Core AS8,10,0.216,11.39,3.72,0.38,0.78,0.06,2.94,0.39
Core AS8,12,0.212,,3.12,0.37,0.64,0.06,2.48,0.38
Core AS8,14,0.241,13.46,2.98,0.32,0.75,0.05,2.23,0.33
Core AS8,16,0.259,,2.94,0.29,0.76,0.05,2.17,0.3
Core AS8,18,0.263,10.4,3.02,0.27,0.7,0.04,2.32,0.27
Core AS8,20,0.246,,2.57,0.23,0.69,0.04,1.87,0.23
Core AS8,22,0.283,9.27,1.92,0.22,0.74,0.04,1.18,0.22
Core AS8,24,0.302,,1.69,0.24,0.83,0.04,0.87,0.24
Core AS8,26,0.299,,1.51,0.25,0.82,0.04,0.69,0.25
Core AS8,28,0.281,9.81,1.91,0.3,0.87,0.05,1.04,0.31
Core AS8,30,0.259,,0.89,0.33,0.8,0.06,0.09,0.34
Core AS8,32,0.413,,0.97,0.26,0.96,0.06,0,0.27
Core AS8,34,0.358,7.95,1.44,0.29,0.98,0.07,0.46,0.3
Core AS8,36,0.268,,1.59,0.3,0.81,0.07,0.78,0.31
Core AS8,38,0.393,,1.08,0.19,1.05,0.04,0.04,0.19
Core AS8,40,0.441,5.59,0.85,0.2,1.19,0.05,-0.34,0.21
Core AS8,42,0.389,,1.02,0.22,1.01,0.05,0,0.23
Core AS8,44,0.394,,0.94,0.3,0.99,0.06,-0.05,0.3
Core AS8,46,0.361,8.11,1.15,0.32,0.95,0.07,0.21,0.33
Core AS8,48,0.423,,,,,,,
Core AS8,50,0.431,,1.27,0.22,1.02,0.04,0.25,0.22
Core AS9,2,0.234,15.72,5.77,0.47,0.88,0.07,4.89,0.48
Core AS9,4,0.299,13.38,4.43,0.34,0.9,0.04,3.53,0.34
Core AS9,6,0.35,9.16,3.84,0.34,0.86,0.05,2.98,0.34
Core AS9,8,0.288,8.51,3.2,0.25,0.93,0.04,2.27,0.26
Core AS9,10,0.295,7.91,2.31,0.29,0.8,0.05,1.51,0.29
Core AS9,12,0.297,,2.29,0.24,0.93,0.04,1.36,0.24
Core AS9,14,0.274,9.09,2.44,0.25,0.95,0.04,1.49,0.25
Core AS9,16,0.298,,2.33,0.22,0.84,0.04,1.49,0.22
Core AS9,18,0.301,8.57,1.61,0.21,0.74,0.04,0.87,0.21
Core AS9,20,0.265,,1.43,0.2,0.72,0.04,0.7,0.21
Core AS9,22,0.279,8.51,1.27,0.16,0.83,0.03,0.43,0.16
Core AS9,24,0.383,,1.13,0.2,0.87,0.04,0.25,0.2
Core AS9,26,0.345,,1.13,0.2,0.91,0.04,0.22,0.2
Core AS9,28,0.324,8.48,1.13,0.19,0.95,0.04,0.18,0.19
Core AS9,30,0.437,,1.17,0.18,0.97,0.04,0.2,0.19
Core AS9,32,0.417,,1.34,0.18,0.96,0.04,0.38,0.18
Core AS9,34,0.413,7.81,1.09,0.16,1.08,0.04,0.01,0.16
Core AS9,36,0.488,,0.95,0.16,0.99,0.04,-0.04,0.16
Core AS9,38,0.427,,,,,,,
Core AS9,40,0.453,8.15,,,,,,
Core AS9,42,0.398,,,,,,,
Core AS9,44,0.378,,,,,,,
Core AS9,46,0.346,6.67,,,,,,
Core AS9,48,0.397,,,,,,,
Core AS9,50,0.409,,,,,,,
Core AS9,52,0.431,5.01,,,,,,
Core AS14,2,0.174,23.68,6.15,0.39,0.48,0.06,5.68,0.4
Core AS14,4,0.159,20.92,8.44,0.47,0.58,0.06,7.86,0.47
Core AS14,6,0.236,17.92,6.66,0.47,0.67,0.08,5.98,0.48
Core AS14,8,0.904,12.27,3.76,0.36,0.65,0.06,3.11,0.36
Core AS14,10,0.189,13.64,3.96,0.36,0.74,0.06,3.22,0.37
Core AS14,12,0.196,13.81,3.74,0.3,0.71,0.04,3.03,0.3
Core AS14,14,0.226,12.5,3.31,0.3,0.7,0.04,2.61,0.3
Core AS14,16,0.358,9.25,2.26,0.23,0.91,0.04,1.35,0.23
Core AS14,18,0.333,8.56,2.19,0.21,0.9,0.04,1.29,0.22
Core AS14,20,0.376,7.84,1.68,0.24,0.84,0.05,0.84,0.25
Core AS14,22,0.458,6.92,1.5,0.22,0.9,0.05,0.6,0.22
Core AS14,24,0.44,5.42,1.2,0.19,0.98,0.03,0.22,0.19
Core AS14,26,0.606,4.75,1.71,0.21,1.03,0.04,0.68,0.22
Core AS14,28,0.679,4.44,1.15,0.15,0.98,0.04,0.16,0.16
Core AS14,30,0.547,6.09,1.02,0.15,1.01,0.04,0.01,0.15
Core AS14,32,0.828,4.13,1.05,0.2,1.02,0.04,0.03,0.2
Core AS14,34,0.708,3.9,0.95,0.17,1.08,0.03,-0.13,0.18
Core AS14,36,0.916,3.14,1.07,0.18,1.13,0.04,-0.06,0.19
Core AS14,38,1.03,2.08,1.01,0.19,1.17,0.04,-0.15,0.2
Core AS14,40,0.772,2.17,0.94,0.14,1.17,0.03,-0.23,0.15
Core AS14,42,0.967,2.35,1.21,0.17,1.18,0.03,0.03,0.17
Core AS14,44,1.022,1.87,0.91,0.13,1.1,0.04,-0.19,0.14
Core AS14,46,0.799,2.09,,,,,,
Core AS14,48,1.025,1.64,,,,,,
Core AS14,50,1.026,1.36,,,,,,
Core AS14,52,1.038,2.03,,,,,,
Core AS14,54,0.801,2.36,,,,,,
Core AS15,2,0.182,24.1,10.36,0.53,0.43,0.06,9.93,0.53
Core AS15,4,0.196,21.26,9.02,0.49,0.56,0.05,8.46,0.5
Core AS15,6,0.2,22.76,6.98,0.48,0.65,0.06,6.33,0.48
Core AS15,8,0.167,19.4,5.71,0.39,0.66,0.05,5.05,0.4
Core AS15,10,0.212,17.46,4.95,0.38,0.69,0.05,4.26,0.39
Core AS15,12,0.185,13.3,4.22,0.29,0.81,0.04,3.42,0.29
Core AS15,14,0.276,11.18,2.81,0.25,0.75,0.04,2.06,0.25
Core AS15,16,0.384,7.45,3.18,0.26,0.84,0.04,2.34,0.26
Core AS15,18,0.249,8.93,2.11,0.24,0.84,0.04,1.27,0.24
Core AS15,20,0.309,8.23,1.75,0.22,0.81,0.04,0.94,0.23
Core AS15,22,0.344,7.48,1.66,0.19,0.83,0.04,0.83,0.19
Core AS15,24,0.418,6.02,1.78,0.2,0.96,0.03,0.82,0.2
Core AS15,26,0.458,3.78,1.39,0.15,1.03,0.04,0.36,0.15
Core AS15,28,0.57,5.36,1.44,0.19,1.06,0.04,0.38,0.19
Core AS15,30,0.673,4.01,0.9,0.15,1.13,0.04,-0.23,0.16
Core AS15,32,0.63,4.18,1.13,0.18,1.07,0.03,0.06,0.18
Core AS15,34,0.622,6.24,0.99,0.14,1,0.04,-0.01,0.14
Core AS15,36,0.484,8.58,1.38,0.17,1.06,0.03,0.32,0.17
Core AS15,38,0.535,6.13,0.5,0.14,1.06,0.04,-0.55,0.14
Core AS15,40,0.675,4.25,1.07,0.23,1.18,0.04,-0.12,0.23
Core AS15,42,0.594,4.31,0.84,0.15,1.16,0.04,-0.32,0.16
Core AS15,44,0.723,3.35,,,,,,
Core AS15,46,0.61,3.91,,,,,,
Core AS15,48,0.718,2.77,,,,,,
Core AS15,50,0.853,2.84,,,,,,
Core AS15,52,0.576,3.26,,,,,,
Core AS15,54,0.655,2.31,,,,,,
Core AS15,56,0.612,2.24,,,,,,
Core AS16,2,0.152,22.76,7.47,0.52,0.57,0.09,6.9,0.53
Core AS16,4,0.173,27.7,9.79,0.57,0.44,0.06,9.35,0.57
Core AS16,6,0.199,21.71,5.23,0.5,0.49,0.09,4.74,0.5
Core AS16,8,0.205,19.24,3.38,0.36,0.53,0.07,2.86,0.37
Core AS16,10,0.164,24.62,3.15,0.31,0.49,0.06,2.66,0.31
Core AS16,12,0.153,26.28,2.93,0.34,0.4,0.07,2.53,0.35
Core AS16,14,0.211,19.94,2.15,0.32,0.55,0.07,1.59,0.32
Core AS16,16,0.154,19.86,2.12,0.34,0.66,0.07,1.46,0.35
Core AS16,18,0.147,22.24,1.63,0.23,0.55,0.04,1.08,0.23
Core AS16,20,0.202,20.32,1.17,0.31,0.81,0.07,0.35,0.32
Core AS16,22,0.196,14.21,1.54,0.2,0.69,0.04,0.85,0.21
Core AS16,24,0.275,9.4,1.26,0.2,0.81,0.04,0.44,0.21
Core AS16,26,0.432,6.81,1,0.17,1.12,0.05,-0.12,0.17
Core AS16,28,0.517,5.5,0.93,0.19,1.01,0.04,-0.07,0.2
Core AS16,30,0.502,7.91,0.89,0.15,0.92,0.04,-0.03,0.15
Core AS16,32,0.394,11.63,1.19,0.22,0.97,0.05,0.22,0.22
Core AS16,34,0.309,12,1,0.17,0.87,0.04,0.13,0.18
Core AS16,36,0.441,8.48,1.34,0.21,0.94,0.05,0.4,0.22
Core AS16,38,0.402,6.35,0.97,0.15,1.04,0.04,-0.07,0.15
Core AS16,40,0.472,4.8,0.98,0.17,1.15,0.04,-0.17,0.18
Core AS16,42,0.473,5.87,,,,,,
Core AS16,44,0.516,4.94,,,,,,
Core AS16,46,0.505,4.99,,,,,,
Core AS16,48,0.366,5.29,,,,,,
Core AS16,50,0.376,5.97,,,,,,
