"ID","SUBPID","SAMP","MIND","MAXD","INTD","AREA","VOL","DWT","BD","C","N","C_CONT","N_CONT","CNR"
42,7,6,185.00,200.00,15.00,,,,1.27,0.74,0.04,14.05,0.74,19.06
43,8,1,0.00,15.00,15.00,,,,0.26,2.21,0.17,8.54,0.64,13.37
44,8,2,15.00,30.00,15.00,,,,0.29,2.00,0.15,8.59,0.63,13.69
45,8,3,30.00,45.00,15.00,,,,0.28,2.72,0.15,11.27,0.60,18.72
46,8,4,45.00,110.00,65.00,,,,0.47,1.58,0.07,47.73,2.13,22.42
47,8,5,110.00,185.00,75.00,,,,0.60,0.60,0.04,27.19,1.58,17.16
48,8,6,185.00,200.00,15.00,,,,0.60,0.31,0.02,2.78,0.21,13.34
49,9,1,0.00,15.00,15.00,,,,0.41,2.10,0.14,12.82,0.85,15.07
50,9,2,15.00,30.00,15.00,,,,0.40,2.78,0.12,16.85,0.76,22.25
51,9,3,30.00,45.00,15.00,,,,0.44,3.04,0.13,20.10,0.83,24.11
52,9,4,45.00,110.00,65.00,,,,0.60,2.48,0.08,96.26,3.10,31.04
53,9,5,110.00,185.00,75.00,,,,1.27,1.26,0.05,120.05,4.58,26.21
54,9,6,185.00,200.00,15.00,,,,2.21,0.72,0.03,23.86,0.93,25.75
55,10,1,0.00,15.00,15.00,,,,0.79,1.31,0.12,15.41,1.42,10.88
56,10,2,15.00,30.00,15.00,,,,0.72,1.50,0.12,16.14,1.30,12.40
57,10,3,30.00,45.00,15.00,,,,0.74,1.19,0.11,13.13,1.16,11.31
58,10,4,45.00,110.00,65.00,,,,0.77,1.27,0.10,63.66,5.12,12.44
59,10,5,110.00,185.00,75.00,,,,0.85,1.10,0.07,70.25,4.46,15.74
60,10,6,185.00,200.00,15.00,,,,0.89,0.73,0.06,9.84,0.79,12.53
61,11,1,0.00,15.00,15.00,,,,0.74,1.57,0.14,17.38,1.51,11.52
62,11,2,15.00,30.00,15.00,,,,0.79,1.40,0.12,16.55,1.39,11.89
63,11,3,30.00,45.00,15.00,,,,0.77,1.14,0.09,13.19,1.05,12.58
64,11,4,45.00,110.00,65.00,,,,0.64,2.57,0.11,107.88,4.77,22.62
65,11,5,110.00,185.00,75.00,,,,0.80,1.78,0.06,106.93,3.88,27.59
66,11,6,185.00,200.00,15.00,,,,0.93,1.04,0.06,14.54,0.80,18.24
67,12,1,0.00,15.00,15.00,,,,0.80,2.18,0.14,26.24,1.69,15.54
68,12,2,15.00,30.00,15.00,,,,0.81,2.13,0.13,25.97,1.59,16.36
69,12,3,30.00,45.00,15.00,,,,0.88,2.60,0.15,34.41,1.93,17.79
70,12,4,45.00,110.00,65.00,,,,0.88,2.54,0.14,146.14,7.81,18.71
71,12,5,110.00,185.00,75.00,,,,0.77,1.79,0.10,103.38,6.06,17.06
72,12,6,185.00,200.00,15.00,,,,0.79,1.86,0.10,22.19,1.25,17.72
73,13,1,0.00,15.00,15.00,,,,0.56,2.00,0.17,16.95,1.46,11.59
74,13,2,15.00,30.00,15.00,,,,0.46,1.84,0.15,12.57,1.04,12.06
75,13,3,30.00,45.00,15.00,,,,0.64,1.76,0.14,16.82,1.31,12.87
76,13,4,45.00,110.00,65.00,,,,0.70,1.65,0.12,74.71,5.30,14.08
77,13,5,110.00,185.00,75.00,,,,0.58,2.38,0.11,103.69,4.77,21.74
78,13,6,185.00,200.00,15.00,,,,0.75,1.43,0.08,16.12,0.88,18.41
79,14,1,0.00,15.00,15.00,,,,0.66,1.72,0.15,17.02,1.44,11.79
80,14,2,15.00,30.00,15.00,,,,0.76,1.34,0.13,15.19,1.49,10.22
81,14,3,30.00,45.00,15.00,,,,0.78,1.38,0.12,16.11,1.39,11.63
82,14,4,45.00,110.00,65.00,,,,0.66,1.31,0.11,56.30,4.54,12.40
83,14,5,110.00,185.00,75.00,,,,0.74,1.87,0.12,104.26,6.46,16.14
84,14,6,185.00,200.00,15.00,,,,0.91,3.88,0.16,53.16,2.21,24.07
85,15,1,0.00,15.00,15.00,,,,0.60,1.35,0.10,12.14,0.86,14.18
86,15,2,15.00,30.00,15.00,,,,0.81,2.42,0.15,29.34,1.80,16.31
87,15,3,30.00,45.00,15.00,,,,0.75,2.37,0.13,26.59,1.46,18.21
88,15,4,45.00,110.00,65.00,,,,0.93,3.01,0.13,182.18,7.71,23.63
89,15,5,110.00,185.00,75.00,,,,0.71,2.85,0.11,152.14,5.93,25.66
90,15,6,185.00,200.00,15.00,,,,0.82,3.16,0.12,38.98,1.53,25.45
91,16,1,0.00,15.00,15.00,,,,0.81,2.71,0.12,32.97,1.43,23.02
92,16,2,15.00,30.00,15.00,,,,0.85,2.02,0.16,25.71,2.04,12.60
93,16,3,30.00,45.00,15.00,,,,0.75,1.57,0.14,17.80,1.59,11.18
94,16,4,45.00,110.00,65.00,,,,0.75,1.45,0.13,70.09,6.26,11.19
95,16,5,110.00,185.00,75.00,,,,1.00,1.58,0.11,118.77,8.50,13.98
96,16,6,185.00,200.00,15.00,,,,1.08,2.55,0.12,41.20,1.99,20.67
97,17,1,0.00,15.00,15.00,,,,0.64,1.72,0.10,16.61,0.93,17.77
98,17,2,15.00,30.00,15.00,,,,0.68,2.22,0.18,22.49,1.87,12.01
99,17,3,30.00,45.00,15.00,,,,0.70,2.05,0.16,21.51,1.70,12.67
100,17,4,45.00,110.00,65.00,,,,0.65,2.13,0.16,89.68,6.62,13.55
101,17,5,110.00,185.00,75.00,,,,0.66,2.54,0.15,125.88,7.25,17.37
102,17,6,185.00,200.00,15.00,,,,0.69,3.57,0.18,37.16,1.88,19.80
103,18,1,0.00,15.00,15.00,,,,1.30,2.93,0.15,57.08,2.85,20.01
104,18,2,15.00,30.00,15.00,,,,1.28,1.56,0.09,30.02,1.74,17.29
105,18,3,30.00,45.00,15.00,,,,1.36,0.86,0.05,17.54,1.03,17.02
106,18,4,45.00,110.00,65.00,,,,1.48,0.68,0.05,65.22,4.40,14.81
107,18,5,110.00,185.00,75.00,,,,,0.84,0.05,,,
108,18,6,185.00,200.00,15.00,,,,,0.94,0.04,,,
109,19,1,0.00,15.00,15.00,,,,0.66,2.66,0.16,26.35,1.63,16.19
110,19,2,15.00,30.00,15.00,,,,0.65,2.27,0.14,22.11,1.34,16.54
111,19,3,30.00,45.00,15.00,,,,0.75,2.08,0.12,23.50,1.34,17.49
112,19,4,45.00,110.00,65.00,,,,0.66,3.37,0.15,145.66,6.61,22.05
113,19,5,110.00,185.00,75.00,,,,0.57,3.78,0.12,162.07,5.23,31.01
114,19,6,185.00,200.00,15.00,,,,1.00,2.00,0.07,30.07,1.09,27.71
115,20,1,0.00,15.00,15.00,,,,0.67,3.60,0.18,36.18,1.85,19.59
116,20,2,15.00,30.00,15.00,,,,0.77,3.50,0.13,40.48,1.53,26.48
117,20,3,30.00,45.00,15.00,,,,0.95,2.97,0.10,42.10,1.39,30.34
118,20,4,45.00,110.00,65.00,,,,0.99,2.54,0.09,163.69,5.83,28.09
119,20,5,110.00,185.00,75.00,,,,1.08,1.33,0.07,107.93,5.86,18.40
120,20,6,185.00,200.00,15.00,,,,1.02,1.04,0.06,15.93,0.92,17.24
121,21,1,0.00,15.00,15.00,,,,0.75,2.64,0.16,29.56,1.75,16.94
122,21,2,15.00,30.00,15.00,,,,0.73,3.17,0.14,34.71,1.54,22.50
123,21,3,30.00,45.00,15.00,,,,0.73,3.98,0.16,43.63,1.71,25.48
124,21,4,45.00,110.00,65.00,,,,0.84,2.39,0.11,129.93,5.85,22.21
125,21,5,110.00,185.00,75.00,,,,1.01,1.75,0.09,132.79,6.58,20.19
126,21,6,185.00,200.00,15.00,,,,0.98,1.49,0.08,21.84,1.17,18.68
127,22,1,0.00,15.00,15.00,,,,0.78,2.63,0.18,30.83,2.05,15.04
128,22,2,15.00,30.00,15.00,,,,0.92,2.94,0.14,40.58,1.87,21.69
129,22,3,30.00,45.00,15.00,,,,0.92,4.08,0.13,56.35,1.74,32.38
130,22,4,45.00,110.00,65.00,,,,1.12,1.77,0.08,129.42,5.79,22.34
131,22,5,110.00,185.00,75.00,,,,1.04,1.45,0.07,113.24,5.29,21.41
132,22,6,185.00,200.00,15.00,,,,0.97,1.31,0.07,19.02,1.00,19.04
133,23,1,0.00,15.00,15.00,,,,,,,,,
134,23,2,15.00,30.00,15.00,,,,,,,,,
135,23,3,30.00,45.00,15.00,,,,,,,,,
136,23,4,45.00,110.00,65.00,,,,,,,,,
137,23,5,110.00,185.00,75.00,,,,,,,,,
138,23,6,185.00,200.00,15.00,,,,,,,,,
139,24,1,0.00,15.00,15.00,,,,0.85,1.52,0.11,19.22,1.41,13.58
140,24,2,15.00,30.00,15.00,,,,0.83,1.26,0.10,15.66,1.20,13.08
141,24,3,30.00,45.00,15.00,,,,0.76,1.34,0.10,15.38,1.09,14.05
142,24,4,45.00,110.00,65.00,,,,0.75,2.70,0.13,131.42,6.45,20.39
143,24,5,110.00,185.00,75.00,,,,1.38,2.28,0.06,236.58,6.00,39.42
144,24,6,185.00,200.00,15.00,,,,,,,,,
145,25,1,0.00,15.00,15.00,,,,0.72,2.07,0.14,22.23,1.51,14.72
146,25,2,15.00,30.00,15.00,,,,0.73,1.60,0.12,17.51,1.34,13.05
147,25,3,30.00,45.00,15.00,,,,0.71,1.67,0.12,17.63,1.30,13.54
148,25,4,45.00,110.00,65.00,,,,0.76,1.57,0.10,78.03,4.71,16.56
149,25,5,110.00,185.00,75.00,,,,0.89,2.07,0.10,138.78,6.68,20.77
150,25,6,185.00,200.00,15.00,,,,0.69,2.26,0.10,23.42,1.08,21.62
151,26,1,0.00,15.00,15.00,,,,0.89,2.20,0.14,29.22,1.92,15.25
152,26,2,15.00,30.00,15.00,,,,1.00,2.01,0.13,30.06,1.91,15.72
153,26,3,30.00,45.00,15.00,,,,0.81,1.73,0.13,21.10,1.54,13.72
154,26,4,45.00,110.00,65.00,,,,1.13,1.65,0.12,120.79,8.50,14.21
155,26,5,110.00,185.00,75.00,,,,0.85,2.70,0.12,171.38,7.90,21.70
156,26,6,185.00,200.00,15.00,,,,0.80,2.87,0.12,34.40,1.47,23.41
157,27,1,0.00,15.00,15.00,,,,0.84,2.85,0.16,36.05,2.07,17.41
158,27,2,15.00,30.00,15.00,,,,0.91,1.70,0.12,23.28,1.62,14.41
159,27,3,30.00,45.00,15.00,,,,1.08,1.31,0.10,21.22,1.65,12.89
160,27,4,45.00,110.00,65.00,,,,1.01,1.11,0.08,73.40,5.26,13.95
161,27,5,110.00,185.00,75.00,,,,0.96,2.08,0.10,150.10,7.03,21.35
162,27,6,185.00,200.00,15.00,,,,1.01,1.66,0.07,25.14,1.00,25.08
163,28,1,0.00,15.00,15.00,,,,0.59,4.18,0.19,37.09,1.65,22.45
164,28,2,15.00,30.00,15.00,,,,0.77,2.54,0.12,29.38,1.43,20.61
165,28,3,30.00,45.00,15.00,,,,0.70,3.59,0.15,38.00,1.55,24.47
166,28,4,45.00,110.00,65.00,,,,0.80,2.82,0.11,146.47,5.49,26.66
167,28,5,110.00,185.00,75.00,,,,0.80,3.08,0.11,183.93,6.85,26.86
168,28,6,185.00,200.00,15.00,,,,0.93,1.80,0.08,24.97,1.07,23.31
169,29,1,0.00,15.00,15.00,,,,0.66,2.59,0.14,25.49,1.42,17.96
170,29,2,15.00,30.00,15.00,,,,0.89,1.60,0.09,21.33,1.19,17.86
171,29,3,30.00,45.00,15.00,,,,0.91,1.96,0.10,26.84,1.33,20.12
172,29,4,45.00,110.00,65.00,,,,1.26,2.20,0.08,180.98,6.60,27.43
173,29,5,110.00,185.00,75.00,,,,,,,,,
174,29,6,185.00,200.00,15.00,,,,,,,,,
175,30,1,0.00,15.00,15.00,,,,1.24,1.39,0.05,25.76,0.92,27.91
176,30,2,15.00,30.00,15.00,,,,1.29,1.24,0.05,24.16,1.02,23.71
177,30,3,30.00,45.00,15.00,,,,1.36,1.07,0.04,21.77,0.78,27.92
178,30,4,45.00,110.00,65.00,,,,1.52,0.80,0.03,78.32,3.30,23.74
179,30,5,110.00,185.00,75.00,,,,,,,,,
180,30,6,185.00,200.00,15.00,,,,,,,,,
181,31,1,0.00,15.00,15.00,,,,0.80,2.32,0.15,27.74,1.84,15.10
182,31,2,15.00,30.00,15.00,,,,0.80,2.78,0.15,33.27,1.84,18.05
183,31,3,30.00,45.00,15.00,,,,0.68,4.19,0.17,42.87,1.79,23.96
184,31,4,45.00,110.00,65.00,,,,0.58,4.07,0.16,153.61,6.22,24.69
185,31,5,110.00,185.00,75.00,,,,0.86,2.74,0.11,176.26,6.90,25.56
186,31,6,185.00,200.00,15.00,,,,0.72,2.67,0.10,28.84,1.10,26.27
187,32,1,0.00,15.00,15.00,,,,0.73,2.83,0.17,30.96,1.82,17.04
188,32,2,15.00,30.00,15.00,,,,0.68,3.18,0.19,32.23,1.88,17.18
189,32,3,30.00,45.00,15.00,,,,0.71,3.25,0.16,34.50,1.72,20.02
190,32,4,45.00,110.00,65.00,,,,0.68,2.97,0.14,131.98,6.17,21.37
191,32,5,110.00,185.00,75.00,,,,0.75,2.05,0.10,115.47,5.70,20.27
192,32,6,185.00,200.00,15.00,,,,0.73,2.23,0.11,24.34,1.18,20.68
193,33,1,0.00,15.00,15.00,,,,0.92,2.36,0.18,32.53,2.44,13.31
194,33,2,15.00,30.00,15.00,,,,0.90,1.88,0.15,25.39,2.00,12.66
195,33,3,30.00,45.00,15.00,,,,0.85,1.99,0.15,25.24,1.87,13.51
196,33,4,45.00,110.00,65.00,,,,0.87,1.54,0.12,87.27,6.80,12.83
197,33,5,110.00,185.00,75.00,,,,0.90,1.67,0.11,112.67,7.60,14.83
198,33,6,185.00,200.00,15.00,,,,0.90,1.46,0.09,19.84,1.27,15.63
199,34,1,0.00,15.00,15.00,,,,0.81,2.76,0.16,33.67,1.89,17.79
200,34,2,15.00,30.00,15.00,,,,1.03,2.77,0.12,42.60,1.92,22.15
201,34,3,30.00,45.00,15.00,,,,0.86,,0.13,,1.74,
202,34,4,45.00,110.00,65.00,,,,0.94,3.00,0.11,183.84,6.80,27.04
203,34,5,110.00,185.00,75.00,,,,1.00,2.39,0.08,179.03,5.76,31.06
204,34,6,185.00,200.00,15.00,,,,0.94,1.88,0.07,26.58,1.02,26.14
205,35,1,0.00,15.00,15.00,,,,0.50,3.05,0.18,22.72,1.38,16.51
206,35,2,15.00,30.00,15.00,,,,0.67,3.55,0.21,35.74,2.09,17.06
207,35,3,30.00,45.00,15.00,,,,0.63,4.01,0.20,37.97,1.94,19.60
208,35,4,45.00,110.00,65.00,,,,0.73,3.06,0.16,144.45,7.72,18.70
209,35,5,110.00,185.00,75.00,,,,0.85,1.98,0.13,126.69,8.33,15.22
210,35,6,185.00,200.00,15.00,,,,0.67,1.80,0.11,18.06,1.15,15.68
211,36,1,0.00,15.00,15.00,,,,0.65,3.02,0.20,29.22,1.90,15.42
212,36,2,15.00,30.00,15.00,,,,0.77,2.52,0.17,29.29,1.92,15.22
213,36,3,30.00,45.00,15.00,,,,0.71,2.33,0.15,24.61,1.59,15.51
214,36,4,45.00,110.00,65.00,,,,0.74,4.30,0.14,206.20,6.75,30.56
215,36,5,110.00,185.00,75.00,,,,0.92,2.34,0.09,161.56,5.88,27.45
216,36,6,185.00,200.00,15.00,,,,0.96,1.46,0.07,21.00,1.07,19.63
217,37,1,0.00,15.00,15.00,,,,0.73,2.06,0.16,22.53,1.76,12.81
218,37,2,15.00,30.00,15.00,,,,0.73,1.74,0.14,19.02,1.53,12.42
219,37,3,30.00,45.00,15.00,,,,0.73,1.87,0.14,20.59,1.49,13.79
220,37,4,45.00,110.00,65.00,,,,0.68,1.57,0.13,69.83,6.00,11.65
221,37,5,110.00,185.00,75.00,,,,0.83,1.65,0.12,102.46,7.41,13.84
222,37,6,185.00,200.00,15.00,,,,0.82,2.42,0.12,29.60,1.44,20.54
223,38,1,0.00,15.00,15.00,,,,0.66,2.85,0.17,28.28,1.70,16.63
224,38,2,15.00,30.00,15.00,,,,0.69,3.43,0.18,35.59,1.83,19.49
225,38,3,30.00,45.00,15.00,,,,0.79,2.93,0.15,34.75,1.76,19.71
226,38,4,45.00,110.00,65.00,,,,0.77,3.57,0.11,178.14,5.30,33.59
227,38,5,110.00,185.00,75.00,,,,0.97,2.02,0.09,147.38,6.73,21.89
228,38,6,185.00,200.00,15.00,,,,0.94,1.37,0.08,19.25,1.13,17.06
229,39,1,0.00,15.00,15.00,,,,0.70,2.23,0.18,23.37,1.88,12.41
230,39,2,15.00,30.00,15.00,,,,0.69,1.98,0.15,20.59,1.56,13.19
231,39,3,30.00,45.00,15.00,,,,0.75,1.76,0.13,19.90,1.46,13.67
232,39,4,45.00,110.00,65.00,,,,0.76,3.30,0.15,163.82,7.35,22.28
233,39,5,110.00,185.00,75.00,,,,0.98,2.28,0.10,167.51,7.58,22.09
234,39,6,185.00,200.00,15.00,,,,0.99,1.42,0.08,21.00,1.13,18.62
235,40,1,0.00,15.00,15.00,,,,0.66,3.33,0.20,32.74,2.02,16.23
236,40,2,15.00,30.00,15.00,,,,0.74,2.91,0.19,32.31,2.12,15.23
237,40,3,30.00,45.00,15.00,,,,0.65,3.17,0.18,30.65,1.76,17.40
238,40,4,45.00,110.00,65.00,,,,0.66,2.91,0.14,125.64,6.26,20.06
239,40,5,110.00,185.00,75.00,,,,0.80,2.40,0.11,144.84,6.58,22.01
240,40,6,185.00,200.00,15.00,,,,0.95,2.14,0.08,30.40,1.11,27.40
241,41,1,0.00,15.00,15.00,,,,0.95,1.81,0.12,25.74,1.71,15.07
242,41,2,15.00,30.00,15.00,,,,0.90,1.38,0.09,18.58,1.26,14.72
243,41,3,30.00,45.00,15.00,,,,0.77,1.69,0.10,19.51,1.18,16.59
244,41,4,45.00,110.00,65.00,,,,0.88,1.82,0.10,103.79,5.89,17.63
245,41,5,110.00,185.00,75.00,,,,0.89,2.01,0.12,134.19,7.67,17.49
246,41,6,185.00,200.00,15.00,,,,0.87,1.76,0.10,23.04,1.36,16.89
247,42,1,0.00,15.00,15.00,,,,0.63,1.80,0.14,17.16,1.36,12.60
248,42,2,15.00,30.00,15.00,,,,0.69,1.86,0.12,19.32,1.30,14.89
249,42,3,30.00,45.00,15.00,,,,0.71,1.92,0.11,20.35,1.16,17.58
250,42,4,45.00,110.00,65.00,,,,0.72,1.56,0.09,72.54,4.29,16.92
251,42,5,110.00,185.00,75.00,,,,0.83,1.74,0.11,107.74,6.57,16.40
252,42,6,185.00,200.00,15.00,,,,0.79,1.73,0.10,20.44,1.23,16.61
253,43,1,0.00,15.00,15.00,,,,0.50,2.45,0.16,18.43,1.24,14.86
254,43,2,15.00,30.00,15.00,,,,0.55,2.18,0.16,17.82,1.28,13.96
255,43,3,30.00,45.00,15.00,,,,0.60,2.19,0.12,19.68,1.03,19.08
256,43,4,45.00,110.00,65.00,,,,0.67,2.24,0.12,96.93,4.98,19.48
257,43,5,110.00,185.00,75.00,,,,0.66,2.56,0.13,125.87,6.35,19.82
258,43,6,185.00,200.00,15.00,,,,0.55,2.97,0.14,24.44,1.15,21.21
259,44,1,0.00,15.00,15.00,,,,0.86,1.81,0.13,23.27,1.71,13.59
260,44,2,15.00,30.00,15.00,,,,0.97,1.49,0.11,21.64,1.63,13.29
261,44,3,30.00,45.00,15.00,,,,0.91,1.53,0.11,20.92,1.48,14.16
262,44,4,45.00,110.00,65.00,,,,0.95,1.47,0.10,90.36,6.15,14.69
263,44,5,110.00,185.00,75.00,,,,0.94,1.44,0.10,101.42,7.11,14.26
264,44,6,185.00,200.00,15.00,,,,0.82,1.70,0.10,20.95,1.28,16.35
265,45,1,0.00,15.00,15.00,,,,0.63,2.68,0.17,25.13,1.59,15.85
266,45,2,15.00,30.00,15.00,,,,0.65,2.24,0.13,21.95,1.26,17.47
267,45,3,30.00,45.00,15.00,,,,0.70,2.64,0.13,27.69,1.36,20.29
268,45,4,45.00,110.00,65.00,,,,0.73,3.59,0.14,169.92,6.39,26.59
269,45,5,110.00,185.00,75.00,,,,1.14,1.65,0.07,140.89,5.64,24.97
270,45,6,185.00,200.00,15.00,,,,1.06,1.44,0.05,22.96,0.85,27.11
271,46,1,0.00,15.00,15.00,,,,0.76,3.22,0.20,36.66,2.26,16.19
272,46,2,15.00,30.00,15.00,,,,0.77,1.78,0.11,20.71,1.31,15.77
273,46,3,30.00,45.00,15.00,,,,0.74,3.01,0.15,33.61,1.70,19.82
274,46,4,45.00,110.00,65.00,,,,1.04,3.08,0.08,208.74,5.55,37.60
275,46,5,110.00,185.00,75.00,,,,1.73,1.16,0.04,151.19,5.84,25.89
276,46,6,185.00,200.00,15.00,,,,1.80,0.87,0.04,23.51,1.05,22.38
277,47,1,0.00,15.00,15.00,,,,0.89,1.69,0.13,22.60,1.68,13.44
278,47,2,15.00,30.00,15.00,,,,1.00,1.45,0.09,21.87,1.41,15.47
279,47,3,30.00,45.00,15.00,,,,0.87,1.94,0.11,25.34,1.49,16.98
280,47,4,45.00,110.00,65.00,,,,0.79,2.13,0.13,109.59,6.63,16.52
281,47,5,110.00,185.00,75.00,,,,0.98,1.85,0.10,136.04,7.71,17.64
282,47,6,185.00,200.00,15.00,,,,0.94,1.79,0.09,25.35,1.33,19.09
283,48,1,0.00,15.00,15.00,,,,0.72,1.86,0.14,20.03,1.45,13.81
284,48,2,15.00,30.00,15.00,,,,0.76,1.85,0.13,21.12,1.44,14.66
285,48,3,30.00,45.00,15.00,,,,0.66,1.94,0.13,19.18,1.25,15.36
286,48,4,45.00,110.00,65.00,,,,0.69,1.73,0.11,77.12,5.08,15.19
287,48,5,110.00,185.00,75.00,,,,0.87,1.70,0.10,111.07,6.32,17.58
288,48,6,185.00,200.00,15.00,,,,0.88,1.44,0.08,18.92,1.08,17.51
289,49,1,0.00,15.00,15.00,,,,0.98,2.42,0.15,35.70,2.17,16.44
290,49,2,15.00,30.00,15.00,,,,0.98,1.93,0.12,28.30,1.74,16.25
291,49,3,30.00,45.00,15.00,,,,0.90,2.65,0.13,35.75,1.79,19.95
292,49,4,45.00,110.00,65.00,,,,1.07,4.30,0.11,300.35,7.47,40.22
293,49,5,110.00,185.00,75.00,,,,1.24,1.81,0.08,167.84,7.69,21.82
294,49,6,185.00,200.00,15.00,,,,1.44,0.96,0.05,20.63,1.17,17.69
