Site,Status,ID,Date,Lat,Lon,Depth_mid,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,Age,Age_e,VAR,MAR,CAR,Year,LOI
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,8.5,137.7,0.1997,4.6372,0.2685,0.7228,0.0703,3.9144,0.2775,0,0,0,0,    ,   ,25.8,3,2.7,535,,1990.1,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,9.5,136.7,0.2115,4.8112,0.1775,0.903,0.0543,3.9082,0.1856,0,0,0,0,15.48,0.65,30.3,3.4,2.2,472,73,1985.6,45.0855
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,10.5,135.7,0.2527,4.104,0.1498,0.7442,0.0445,3.3598,0.1563,0,0,0,0,    ,   ,35.7,4,1.9,471,,1980.2,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,11.5,134.7,0.2886,3.1373,0.1327,0.7633,0.0427,2.3741,0.1394,0,0,0,0,14.99,0.61,40.8,4.7,2,566,85,1975.1,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,12.5,133.7,0.3824,3.1332,0.1244,0.6984,0.039,2.4348,0.1304,0,0,0,0,    ,   ,49.3,6.1,1.2,447,,1966.6,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,13.5,132.7,0.26,3.6702,0.1516,1.0095,0.0513,2.6606,0.16,0,0,0,0,13.01,0.57,57.6,7.9,1.2,315,41,1958.3,27.7918
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,14.5,131.7,0.4394,2.1028,0.0961,0.6967,0.0303,1.4062,0.1008,0,0,0,0,    ,   ,67.3,10.7,1,451,,1948.6,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,15.5,130.7,0.8241,1.1639,0.0569,0.5721,0.0199,0.5918,0.0603,0,0,0,0,4.12,0.19,77.9,14.9,0.9,782,32,1938,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,16.5,129.7,0.8452,0.857,0.0584,0.4765,0.0179,0.3805,0.061,0,0,0,0,1.31,0.07,87.4,20.1,1.1,889,12,1928.5,4.1994
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,17.5,128.7,1.0948,1.0511,0.0569,0.6255,0.0188,0.4256,0.0599,0,0,0,0,1.31,0.07,   ,   ,  ,,6,   ,     
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,18.5,127.7,1.1345,0.8684,0.05,0.6789,0.0203,0.1896,0.054,0,0,0,0,1.14,0.05,   ,   ,  ,,,   ,2.627
E.G. Simmons,Young Mangrove,EGSB,10/21/2015,27.742156,-82.4676,19.5,126.7,1.0145,1.0224,0.0991,0.7736,0.0313,0.2488,0.1039,0,0,0,0,1.19,0.05,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,0.5,-23.8,0.1931,6.6583,0.2151,2.6099,0.0861,4.0484,0.2317,0,0,9.11,1.83,18,0.78,3.6,1,2.8,541,97,2012.3,32.6776
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,1.5,-24.8,0.3149,5.4242,0.1611,2.5967,0.0626,2.8275,0.1728,0,0,0,0,    ,   ,6,1.1,4.1,1291,,2009.9,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,2.5,-25.8,0.3061,6.1265,0.1666,3.3826,0.0704,2.744,0.1809,0,0,0,0,19.01,0.78,8.5,1.1,4.1,1247,237,2007.4,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,3.5,-26.8,0.4257,6.4293,0.1697,3.9645,0.071,2.4648,0.184,0,0,0,0,    ,   ,11.4,1.2,3.4,1452,,2004.5,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,4.5,-27.8,0.3814,5.6415,0.167,3.3901,0.0651,2.2515,0.1792,0.111,0.02,0,0,13.59,0.64,14,1.3,3.8,1440,195,2001.9,24.466
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,5.5,-28.8,0.3298,5.9664,0.2452,3.2738,0.1021,2.6925,0.2656,0.125,0.03,0,0,    ,   ,17.8,1.4,2.7,887,,1998.1,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,6.5,-29.8,0.3909,5.7717,0.2147,3.2061,0.093,2.5656,0.234,0.147,0.03,0,0,15.46,0.81,21.9,1.6,2.4,944,146,1994,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,7.5,-30.8,0.3557,5.0709,0.211,2.9557,0.0848,2.1153,0.2274,0.318,0.03,0,0,    ,   ,25.8,1.8,2.5,903,,1990.1,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,8.5,-31.8,0.3061,5.1331,0.2567,3.5182,0.114,1.6148,0.2808,0.425,0.05,0,0,15.88,0.82,28.9,2,3.3,1001,159,1987,29.2028
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,9.5,-32.8,0.2725,5.2447,0.2764,3.4369,0.1217,1.8078,0.302,0.449,0.05,0,0,    ,   ,32.7,2.3,2.7,724,,1983.2,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,10.5,-33.8,0.2878,4.6943,0.154,2.7325,0.0659,1.9618,0.1675,0.363,0.03,0,0,16.11,0.82,37.4,2.6,2.1,610,98,1978.5,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,11.5,-34.8,0.3338,5.1535,0.1474,3.4309,0.0662,1.7226,0.1616,0.184,0.02,0,0,    ,   ,42.3,3,2,678,,1973.6,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,12.5,-35.8,0.3083,3.9626,0.1419,2.4737,0.0591,1.4889,0.1537,0.192,0.02,0,0,18.91,0.83,47.2,3.5,2.1,633,119,1968.7,37.1456
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,13.5,-36.8,0.3459,4.6428,0.1555,3.2089,0.0693,1.4338,0.1703,0,0,0,0,    ,   ,52.7,4.2,1.8,625,,1963.2,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,14.5,-37.8,0.3865,4.516,0.1522,3.8756,0.0678,0.6404,0.1666,0.089,0.02,0,0,12.24,0.57,55.5,4.6,3.6,1385,169,1960.4,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,15.5,-38.8,0.4436,5.1481,0.1493,3.9623,0.0685,1.1858,0.1643,0.099,0.02,0,0,    ,   ,62.1,5.6,1.5,671,,1953.8,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,16.5,-39.8,0.4699,4.2825,0.1285,3.2747,0.0596,1.0078,0.1416,0,0,0,0,11.92,0.54,68.9,7,1.5,691,82,1947,25.6994
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,17.5,-40.8,0.4833,2.1199,0.0615,1.5291,0.0304,0.5908,0.0686,0,0,0,0,    ,   ,74.2,8.2,1.9,918,,1941.7,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,18.5,-41.8,0.4068,3.1277,0.097,2.1159,0.0609,1.0118,0.1145,0,0,0,0,11.44,0.61,84.2,11.3,1,406,46,1931.7,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,19.5,-42.8,0.4682,3.4245,0.1062,2.8474,0.0584,0.5771,0.1211,0,0,0,0,    ,   ,92.4,14.6,1.2,575,,1923.5,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,20.5,-43.8,0.5045,4.094,0.174,3.7403,0.0808,0.3537,0.1918,0,0,0,0,6.48,0.34,98.3,17.7,1.7,850,55,1917.6,11.9149
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,21.5,-44.8,0.6304,4.172,0.1481,3.8965,0.0729,0.2755,0.1651,0,0,0,0,    ,   ,104.9,21.9,1.5,960,,1911,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,22.5,-45.8,0.6751,4.6079,0.1723,4.5869,0.0725,0.0211,0.187,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,23.5,-46.8,0.7004,5.1512,0.1829,4.6157,0.0775,0.5355,0.1986,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,24.5,-47.8,0.7549,5.4615,0.1617,5.0523,0.0707,0.4092,0.1765,0,0,0,0,4.44,0.25,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,25.5,-48.8,0.7571,4.4797,0.1062,4.2585,0.0447,0.2212,0.1152,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,26.5,-49.8,0.9131,5.374,0.1816,5.3787,0.0785,-0.0047,0.1979,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,27.5,-50.8,0.8683,4.1372,0.1481,3.9749,0.0715,0.1623,0.1645,0,0,0,0,3.23,0.17,   ,   ,  ,,,   ,5.6573
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,28.5,-51.8,0.9702,5.1926,0.1667,5.4821,0.0702,-0.2895,0.1809,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,29.5,-52.8,1.0125,4.8231,0.1997,4.6999,0.0686,0.1232,0.2111,0,0,0,0,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,30.5,-53.8,1.0228,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,2.28,0.13,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,31.5,-54.8,1.1296,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,32.5,-55.8,1.0611,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,33.5,-56.8,1.1949,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,2.06,0.12,   ,   ,  ,,,   ,4.3122
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,34.5,-57.8,1.1459,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,35.5,-58.8,1.1171,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,36.5,-59.8,1.3592,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.64,0.1,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,37.5,-60.8,1.14,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,38.5,-61.8,1.2693,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,  ,,,   ,     
Holly House,Mangrove,HHMA,10/21/2015,27.580827,-82.563715,39.5,-62.8,1.3243,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.43,0.09,   ,   ,  ,,,   ,2.9223
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,0.5,-23.8,0.1222,5.8814,0.3305,2.1898,0.1279,3.6915,0.3544,0,0,4.32,1.86,23.79,0.86,2.7,0.9,3.7,455,108,2013.2,44.2296
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,1.5,-24.8,0.366,4.9587,0.1741,1.9593,0.0609,2.9994,0.1844,0,0,0,0,    ,   ,5.3,1,3.9,1412,,2010.6,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,2.5,-25.8,0.4244,4.9114,0.1798,2.5277,0.0693,2.3838,0.1926,0,0,0,0,13.28,0.56,7.4,1,4.7,1985,263,2008.5,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,3.5,-26.8,0.4303,4.6603,0.1962,2.6835,0.0786,1.9768,0.2114,0,0,0,0,    ,   ,9.4,1.1,4.9,2114,,2006.4,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,4.5,-27.8,0.3359,6.5304,0.2442,4.7558,0.1113,1.7746,0.2684,0,0,0,0,18.19,0.79,11.1,1.1,6.2,2080,378,2004.8,26.4958
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,5.5,-28.8,0.3379,5.9048,0.1518,3.8254,0.0715,2.0795,0.1678,0.157,0.02,0,0,    ,   ,13,1.2,5.1,1739,,2002.9,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,6.5,-29.8,0.3607,5.7049,0.1495,3.1394,0.0634,2.5655,0.1624,0.262,0.02,0,0,17.95,0.84,15.9,1.3,3.5,1259,226,2000,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,7.5,-30.8,0.3762,5.2351,0.1571,3.6204,0.0677,1.6146,0.171,0.422,0.03,0,0,    ,   ,18,1.3,4.7,1773,,1997.9,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,8.5,-31.8,0.3612,5.8773,0.1851,3.7766,0.0763,2.1007,0.2002,0.356,0.03,0,0,16.34,0.86,20.9,1.4,3.5,1256,205,1995,21.9512
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,9.5,-32.8,0.3033,4.7353,0.1899,2.861,0.0732,1.8743,0.2035,0.343,0.03,0,0,    ,   ,23.5,1.5,3.7,1132,,1992.3,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,10.5,-33.8,0.2439,5.3562,0.3401,3.4098,0.1401,1.9464,0.3679,0.476,0.06,0,0,19.03,1.02,26.3,1.7,3.7,899,171,1989.6,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,11.5,-34.8,0.2625,4.9275,0.2715,2.8033,0.1203,2.1242,0.2969,0.007,0,0,0,    ,   ,29.7,1.9,2.9,773,,1986.2,     
Holly House,Mangrove,HHMB,10/21/2015,27.580827,-82.563715,12.5,-35.8,0.2934,5.5238,0.2729,3.0536,0.1163,2.4701,0.2966,0.197,0.04,0,0,18.39,0.91,34.3,2.2,2.1,628,115,1981.6,28.6066
