study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit
Gundersen_et_al_2024,BN,BN3,single set of methods,8,10,0.37,0.47,NA,NA,NA,108.91,8.98,128.91,3.36,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,10,12,0.34,NA,5.67,3,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,12,14,0.4,NA,NA,NA,NA,125.29,9.23,145.29,3.97,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,14,16,0.43,NA,NA,0,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,16,18,0.47,NA,NA,NA,NA,132.87,9.21,152.87,3.92,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,20,22,0.44,NA,1.5,6.17,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,24,26,0.43,NA,NA,NA,NA,92.18,8.95,112.18,3.28,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,28,30,0.47,0.47,NA,NA,NA,95.81,8.95,115.81,3.27,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN3,single set of methods,30,32,0.46,NA,6.67,5.33,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,34,36,0.49,NA,0.83,7.67,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,40,42,0.42,NA,5.67,5.33,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,48,50,0.32,0.47,2,4,becquerelPerKilogram,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,0,2,1.47,0.03,NA,NA,NA,3.32,0.58,7.32,0.29,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,2,4,2.32,NA,NA,NA,NA,5.21,0.75,9.21,0.56,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,4,6,2.04,NA,NA,NA,NA,0.11,0.63,4.11,0.38,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,6,8,1.09,NA,NA,NA,NA,0.03,0.6,4.03,0.34,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,8,10,1.16,0.25,NA,NA,NA,0.15,0.68,4.15,0.46,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,12,14,0.91,NA,NA,NA,NA,0,0.76,3.91,0.57,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,16,18,1.02,NA,NA,NA,NA,0,0.9,3.35,0.75,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,20,22,0.65,NA,NA,NA,NA,0,0.77,3.99,0.59,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,24,26,0.57,NA,NA,NA,NA,1.01,0.91,5.01,0.76,becquerelPerKilogram
Gundersen_et_al_2024,BN,BN4,single set of methods,28,30,1.53,0.23,NA,NA,NA,0.08,0.74,4.08,0.55,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,0,1,NA,0.09,NA,NA,NA,42.28,1.89,55.95,1.6,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,2,3,NA,NA,NA,NA,NA,34.69,1.77,48.36,1.47,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,4,5,NA,NA,NA,NA,NA,29.39,1.72,43.06,1.4,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,6,7,NA,NA,NA,NA,NA,8.69,1.52,22.35,1.14,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,8,9,NA,0.05,NA,NA,NA,7.78,1.44,21.44,1.03,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,12,13,NA,NA,NA,NA,NA,0.74,1.48,14.4,1.09,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,16,17,NA,NA,NA,NA,NA,1.02,1.54,14.68,1.17,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,20,21,NA,NA,NA,NA,NA,0.06,1.59,13.73,1.23,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,24,25,NA,NA,NA,NA,NA,0,1.87,12.02,1.59,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH1,single set of methods,28,29,NA,0.01,NA,NA,NA,0.01,2.16,13.67,1.92,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,0,2,0.38,0.08,NA,NA,NA,49.04,4.08,65.04,2.58,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,2,4,0.63,NA,NA,NA,NA,29.45,3.78,45.45,2.07,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,4,6,0.65,NA,NA,NA,NA,14.02,3.69,30.02,1.89,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,6,8,0.85,NA,NA,NA,NA,10.05,3.63,26.05,1.77,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,8,10,0.99,0.03,NA,NA,NA,0.8,3.53,16.8,1.55,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,12,14,1.16,NA,NA,NA,NA,0,3.62,13.18,1.75,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,16,18,1.64,NA,NA,NA,NA,0,3.8,12.1,2.09,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,20,22,1.58,NA,NA,NA,NA,4.28,3.64,20.28,1.8,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,24,26,1.66,NA,NA,NA,NA,0,3.71,14.94,1.93,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH2,single set of methods,28,30,1.63,0.01,NA,NA,NA,2.48,3.48,18.48,1.44,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,0,2,0.09,0.3,NA,NA,NA,94.45,4.97,111.45,2.95,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,2,4,0.1,NA,NA,NA,NA,54.93,4.54,71.93,2.15,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,4,6,0.1,NA,NA,NA,NA,52.14,4.48,69.14,2.01,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,6,8,0.11,NA,NA,NA,NA,45.64,4.51,62.64,2.08,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,8,10,0.12,0.28,NA,NA,NA,0,4.59,13.01,2.25,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,12,14,0.15,NA,NA,NA,NA,6.13,4.5,23.13,2.05,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,16,18,0.18,NA,NA,NA,NA,0,4.45,15.08,1.94,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,20,22,0.17,NA,NA,NA,NA,0,4.2,16.2,1.27,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,24,26,0.16,NA,NA,NA,NA,3.66,4.13,20.66,1.03,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH3,single set of methods,28,30,0.14,0.29,NA,NA,NA,0,4.08,14.13,0.82,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,0,2,0.52,0.3,NA,NA,NA,0,4.17,4.09,0.25,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,4,6,0.5,NA,NA,NA,NA,0,4.19,4.94,0.43,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,6,8,0.46,NA,NA,NA,NA,0,4.2,10.02,0.55,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,8,10,0.49,0.28,NA,NA,NA,3.04,4.22,14.04,0.67,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,12,14,0.57,NA,NA,NA,NA,6.41,4.27,17.41,0.91,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,16,18,0.63,NA,NA,NA,NA,0.15,4.22,11.15,0.66,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,20,22,0.98,NA,NA,NA,NA,0.82,4.22,11.82,0.67,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,24,26,1.11,NA,NA,NA,NA,2,4.29,13,1.02,becquerelPerKilogram
Gundersen_et_al_2024,PH,PH4,single set of methods,28,30,1.08,0.29,NA,NA,NA,1.31,4.38,12.31,1.34,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,0,2,0.47,0.06,NA,NA,NA,10.7,2.78,25.7,1.51,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,2,4,0.6,NA,NA,NA,NA,8.27,2.94,23.27,1.8,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,4,6,0.65,NA,NA,NA,NA,2.04,2.77,17.04,1.48,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,6,8,0.67,NA,NA,NA,NA,2.2,2.75,17.2,1.45,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,8,10,0.79,0.04,NA,NA,NA,3.18,2.8,18.18,1.54,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,10,12,0.92,NA,NA,NA,NA,1.49,2.8,16.49,1.54,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,12,14,0.97,NA,NA,NA,NA,2.67,2.68,17.67,1.33,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,14,16,1.18,NA,NA,NA,NA,0,2.62,14.31,1.2,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,16,18,1.2,NA,NA,NA,NA,0.27,2.52,15.27,0.95,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,18,20,1.3,0.01,NA,NA,NA,0,2.54,13.44,1,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,20,22,1.42,NA,NA,NA,NA,0,2.57,13.3,1.08,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,22,24,1.45,NA,NA,NA,NA,0,2.5,12.25,0.91,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,24,26,1.61,NA,NA,NA,NA,0,2.48,13.81,0.85,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,26,28,1.55,NA,NA,NA,NA,0,2.44,10.57,0.72,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,28,30,1.66,0,NA,NA,NA,0,2.53,11.54,0.97,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,30,32,1.6,NA,NA,NA,NA,0,2.71,12.92,1.39,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,32,34,1.66,NA,NA,NA,NA,0.58,3.22,15.58,2.22,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,34,36,1.62,NA,NA,NA,NA,0,2.95,14.91,1.8,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,36,38,1.55,NA,NA,NA,NA,0,2.99,13.37,1.88,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,38,40,1.68,0,NA,NA,NA,0.1,2.95,15.1,1.81,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,40,42,1.66,NA,NA,NA,NA,1.56,3.03,16.56,1.93,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,42,44,1.61,NA,NA,NA,NA,0,2.68,12.54,1.32,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,44,46,1.62,NA,NA,NA,NA,0.18,2.84,15.18,1.62,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,46,48,1.63,NA,NA,NA,NA,2.02,2.9,17.02,1.73,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH1,single set of methods,48,50,1.5,0,NA,NA,NA,4.43,3.25,19.43,2.26,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,0,2,0.11,0.42,NA,NA,NA,80.07,3.21,88.74,3.1,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,2,4,0.09,NA,NA,NA,NA,57.74,3.01,66.41,2.89,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,4,6,0.1,NA,NA,NA,NA,68.58,2.89,77.24,2.77,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,6,8,0.1,NA,NA,NA,NA,68.47,3.14,77.14,3.03,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,8,10,0.13,0.31,NA,NA,NA,64.97,2.57,73.63,2.43,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,10,12,0.13,NA,NA,NA,NA,49.83,2.88,58.49,2.76,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,12,14,0.28,NA,NA,NA,NA,27.69,1.96,36.36,1.78,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,14,16,0.3,NA,NA,NA,NA,20.61,2.11,29.28,1.94,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,16,18,0.22,NA,NA,NA,NA,12.54,1.63,21.21,1.4,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,18,20,0.3,0.65,NA,NA,NA,4.17,1.33,12.84,1.04,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,20,22,0.33,NA,NA,NA,NA,0,1.38,8.63,1.1,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,22,24,0.39,NA,NA,NA,NA,0,1.23,8.17,0.91,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,24,26,0.42,NA,NA,NA,NA,0.09,1.32,8.75,1.03,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,26,28,0.48,NA,NA,NA,NA,0,1.56,8.17,1.32,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,28,30,0.47,0.14,NA,NA,NA,1.04,1.2,9.71,0.86,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,30,32,0.49,NA,NA,NA,NA,0,1.47,8.05,1.21,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,32,34,0.58,NA,NA,NA,NA,0,1.42,8.26,1.15,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,34,36,0.56,NA,NA,NA,NA,0.31,1.11,8.98,0.74,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,36,38,0.63,NA,NA,NA,NA,0,1.19,7.15,0.85,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,38,40,0.75,0.06,NA,NA,NA,0.64,1.18,9.3,0.84,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,40,42,0.8,NA,NA,NA,NA,0,1.14,8.43,0.78,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,42,44,0.97,NA,NA,NA,NA,0,1.22,7.3,0.89,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,44,46,1.09,NA,NA,NA,NA,0.96,1.3,9.63,1,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,46,48,1.09,NA,NA,NA,NA,1.61,1.32,10.28,1.03,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH2,single set of methods,48,50,1.01,0.03,NA,NA,NA,0.66,1.41,9.33,1.14,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,0,2,0.05,0.4,NA,NA,NA,136.74,4.55,148.41,4.23,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,2,4,0.08,NA,NA,NA,NA,78.8,3.53,90.47,3.11,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,4,6,0.08,NA,NA,NA,NA,49.12,2.81,60.79,2.26,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,6,8,0.07,NA,NA,NA,NA,43.81,2.7,55.47,2.12,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,8,10,0.08,0.42,NA,NA,NA,18.63,2.47,30.3,1.83,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,12,14,0.1,NA,NA,NA,NA,4.92,2.01,16.58,1.13,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,16,18,0.11,NA,NA,NA,NA,2.38,1.94,14.05,0.99,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,20,22,0.13,NA,NA,NA,NA,6.14,2.36,17.81,1.67,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,24,26,0.13,NA,NA,NA,NA,0,2,10.28,1.11,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,28,30,0.13,0.4,NA,NA,NA,1.8,1.91,13.46,0.93,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,0,2,0.11,0.25,NA,NA,NA,10.41,1.35,17.91,1.25,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,2,4,0.11,NA,NA,NA,NA,5.09,1.68,12.59,1.61,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,4,6,0.12,NA,NA,NA,NA,3,1.26,10.5,1.16,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,6,8,0.12,NA,NA,NA,NA,1.51,1.73,9.01,1.66,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,8,10,0.13,0.29,NA,NA,NA,1.87,1.43,9.37,1.34,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,12,14,0.1,NA,NA,NA,NA,0.13,1.47,7.63,1.38,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,16,18,0.11,NA,NA,NA,NA,0.28,1.45,7.78,1.36,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,20,22,0.12,NA,NA,NA,NA,0.35,1.17,7.85,1.06,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,24,26,0.13,NA,NA,NA,NA,0.23,1.36,7.73,1.26,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH4,single set of methods,28,30,0.09,0.37,NA,NA,NA,0,1.06,6.73,0.94,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,0,2,0.11,0.51,NA,NA,NA,77.9,4.56,99.57,4.25,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,2,4,0.14,NA,NA,NA,NA,68.91,4.23,90.57,3.89,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,4,6,0.15,NA,NA,NA,NA,59.26,6.45,80.93,6.23,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,6,8,0.16,NA,NA,NA,NA,34.56,2.8,56.22,2.25,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,8,10,0.19,0.58,NA,NA,NA,18.37,2.39,40.04,1.71,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,12,14,0.17,NA,NA,NA,NA,14.02,2.22,35.68,1.47,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,24,26,0.21,NA,NA,NA,NA,6.62,1.97,28.29,1.06,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP1,single set of methods,28,30,0.2,0.05,NA,NA,NA,0.02,1.94,21.69,1,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,0,2,0.05,0.5,NA,NA,NA,85.58,4.51,93.58,4.19,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,2,4,0.07,NA,NA,NA,NA,44.9,3.51,52.9,3.08,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,4,6,0.1,NA,NA,NA,NA,36.45,3.24,44.45,2.78,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,6,8,0.09,NA,NA,NA,NA,36.96,3.45,44.96,3.02,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,8,10,0.12,0.48,NA,NA,NA,30.38,3.55,38.38,3.13,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,12,14,0.15,NA,NA,NA,NA,8.8,2.32,16.8,1.61,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,16,18,0.16,NA,NA,NA,NA,10.1,2.16,18.1,1.37,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,20,22,0.19,NA,NA,NA,NA,3.2,3.04,11.2,2.54,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,24,26,0.19,NA,NA,NA,NA,0,2.31,7.98,1.6,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP2,single set of methods,28,30,0.21,0.46,NA,NA,NA,0.07,2.19,8.07,1.42,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,0,2,0.13,0.23,NA,NA,NA,101.4,5.94,125.24,3.21,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,2,4,0.2,NA,NA,NA,NA,82.33,5.7,106.17,2.74,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,4,6,0.21,NA,NA,NA,NA,113.86,6.13,137.7,3.54,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,6,8,0.15,NA,NA,NA,NA,118.75,6.2,142.58,3.67,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,8,10,0.18,0.22,NA,NA,NA,109.77,6.1,133.6,3.49,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,12,14,0.16,NA,NA,NA,NA,84.75,5.95,108.58,3.23,becquerelPerKilogram
