"study_id","site_id","core_id","species_code","family","genus","species"
"sanborn_and_coxson_2020","BC14-28","396","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC14-28","396","LatPal",NA,"Lathyrus","palustris"
"sanborn_and_coxson_2020","BC14-28","396","LupNoo",NA,"Lupinus","nootkatensis"
"sanborn_and_coxson_2020","BC14-28","396","MaiDil",NA,"Maianthemum","dilatatum"
"sanborn_and_coxson_2020","BC14-28","396","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC14-28","396","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC14-28","396","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC14-29","397","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC14-29","397","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-29","397","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC14-29","397","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC14-29","397","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC14-29","397","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC14-29","397","SteHum",NA,"Stellaria","humifusa"
"sanborn_and_coxson_2020","BC14-29","397","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC14-30","398","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-31","399","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC14-31","399","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC14-31","399","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC14-31","399","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC14-31","399","JunArc",NA,"Juncus","arcticus"
"sanborn_and_coxson_2020","BC14-31","399","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC14-31","399","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-08","400","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-08","400","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-08","400","BroPac",NA,"Bromus","pacificus"
"sanborn_and_coxson_2020","BC17-08","400","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-08","400","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-08","400","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC17-08","400","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC17-08","400","MaiDil",NA,"Maianthemum","dilatatum"
"sanborn_and_coxson_2020","BC17-08","400","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-08","400","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-08","400","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-08","400","SciMic","Cyperaceae","Scirpus","microcarpus"
"sanborn_and_coxson_2020","BC17-08","400","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-08","400","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-09","401","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-09","401","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-09","401","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-09","401","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC17-09","401","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC17-09","401","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC17-09","401","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-09","401","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-09","401","SciMic","Cyperaceae","Scirpus","microcarpus"
"sanborn_and_coxson_2020","BC17-09","401","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-10","402","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-11","403","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-11","403","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-11","403","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-11","403","LigHul",NA,"Ligusticum","hultenii"
"sanborn_and_coxson_2020","BC17-11","403","MaiDil",NA,"Maianthemum","dilatatum"
"sanborn_and_coxson_2020","BC17-11","403","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-11","403","SciMic","Cyperaceae","Scirpus","microcarpus"
"sanborn_and_coxson_2020","BC17-11","403","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-12","404","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-12","404","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-12","404","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-12","404","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-12","404","SteHum",NA,"Stellaria","humifusa"
"sanborn_and_coxson_2020","BC17-12","404","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-13","405","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-14","406","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-15","407","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-15","407","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-15","407","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-15","407","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-15","407","SteHum",NA,"Stellaria","humifusa"
"sanborn_and_coxson_2020","BC17-15","407","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-16","408","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-16","408","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-16","408","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-16","408","ConGme",NA,"Conioselinum","gmelinii"
"sanborn_and_coxson_2020","BC17-16","408","GalTri",NA,"Galium","trifidum"
"sanborn_and_coxson_2020","BC17-16","408","LatPal",NA,"Lathyrus","palustris"
"sanborn_and_coxson_2020","BC17-16","408","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-16","408","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-16","408","TriArc",NA,"Trientalis","arctica"
"sanborn_and_coxson_2020","BC17-17","409","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-17","409","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-17","409","BroPac",NA,"Bromus","pacificus"
"sanborn_and_coxson_2020","BC17-17","409","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-17","409","CarPlu",NA,"Carex","pluriflora"
"sanborn_and_coxson_2020","BC17-17","409","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-17","409","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC17-17","409","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC17-17","409","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC17-17","409","LigHul",NA,"Ligusticum","hultenii"
"sanborn_and_coxson_2020","BC17-17","409","MaiDil",NA,"Maianthemum","dilatatum"
"sanborn_and_coxson_2020","BC17-17","409","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-17","409","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-17","409","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-17","409","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-18","410","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-18","410","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-18","410","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-18","410","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC17-18","410","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-18","410","SteHum",NA,"Stellaria","humifusa"
"sanborn_and_coxson_2020","BC17-18","410","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-19","411","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-20","412","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-20","412","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-20","412","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-20","412","CarPlu",NA,"Carex","pluriflora"
"sanborn_and_coxson_2020","BC17-20","412","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-20","412","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC17-20","412","GalTri",NA,"Galium","trifidum"
"sanborn_and_coxson_2020","BC17-20","412","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC17-20","412","LatPal",NA,"Lathyrus","palustris"
"sanborn_and_coxson_2020","BC17-20","412","LigHul",NA,"Ligusticum","hultenii"
"sanborn_and_coxson_2020","BC17-20","412","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-20","412","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-20","412","RumOcc",NA,"Rumex","occidentalis"
"sanborn_and_coxson_2020","BC17-20","412","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-20","412","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-21","413","AchMill",NA,"Achillea","millefolium"
"sanborn_and_coxson_2020","BC17-21","413","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-21","413","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-21","413","BroPac",NA,"Bromus","pacificus"
"sanborn_and_coxson_2020","BC17-21","413","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-21","413","CarPlu",NA,"Carex","pluriflora"
"sanborn_and_coxson_2020","BC17-21","413","ConGme",NA,"Conioselinum","gmelinii"
"sanborn_and_coxson_2020","BC17-21","413","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-21","413","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC17-21","413","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC17-21","413","LatPal",NA,"Lathyrus","palustris"
"sanborn_and_coxson_2020","BC17-21","413","LigHul",NA,"Ligusticum","hultenii"
"sanborn_and_coxson_2020","BC17-21","413","LupNoo",NA,"Lupinus","nootkatensis"
"sanborn_and_coxson_2020","BC17-21","413","MaiDil",NA,"Maianthemum","dilatatum"
"sanborn_and_coxson_2020","BC17-21","413","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-21","413","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-21","413","RumOcc",NA,"Rumex","occidentalis"
"sanborn_and_coxson_2020","BC17-21","413","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-21","413","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-22","414","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-22","414","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-22","414","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-22","414","CarPlu",NA,"Carex","pluriflora"
"sanborn_and_coxson_2020","BC17-22","414","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC17-22","414","LatPal",NA,"Lathyrus","palustris"
"sanborn_and_coxson_2020","BC17-22","414","LigHul",NA,"Ligusticum","hultenii"
"sanborn_and_coxson_2020","BC17-22","414","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-22","414","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-22","414","RumOcc",NA,"Rumex","occidentalis"
"sanborn_and_coxson_2020","BC17-22","414","SciMic","Cyperaceae","Scirpus","microcarpus"
"sanborn_and_coxson_2020","BC17-22","414","SteHum",NA,"Stellaria","humifusa"
"sanborn_and_coxson_2020","BC17-22","414","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-22","414","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-23","415","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-23","415","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-23","415","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-23","415","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC17-23","415","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC17-23","415","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-23","415","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-23","415","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-24","416","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-24","416","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-24","416","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-24","416","FesRub",NA,"Festuca","rubra"
"sanborn_and_coxson_2020","BC17-24","416","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC17-24","416","LatPal",NA,"Lathyrus","palustris"
"sanborn_and_coxson_2020","BC17-24","416","LupNoo",NA,"Lupinus","nootkatensis"
"sanborn_and_coxson_2020","BC17-24","416","OenSar","Apiaceae","Oenanthe","sarmentosa"
"sanborn_and_coxson_2020","BC17-24","416","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-24","416","PlaMar",NA,"Plantago","maritima"
"sanborn_and_coxson_2020","BC17-24","416","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-24","416","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-25","417","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-25","417","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-25","417","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-25","417","FriCam",NA,"Fritillaria","camschatcensis"
"sanborn_and_coxson_2020","BC17-25","417","GlaMar",NA,"Glaux","maritima"
"sanborn_and_coxson_2020","BC17-25","417","SteHum",NA,"Stellaria","humifusa"
"sanborn_and_coxson_2020","BC17-25","417","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-26","418","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-27","419","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-27","419","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-27","419","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-28","420","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-28","420","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-28","420","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-28","420","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC17-28","420","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-28","420","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-29","421","AchMill",NA,"Achillea","millefolium"
"sanborn_and_coxson_2020","BC17-29","421","AngLuc",NA,"Angelica","lucida"
"sanborn_and_coxson_2020","BC17-29","421","PotAns","Rosaceae","Potentilla","anserina"
"sanborn_and_coxson_2020","BC17-29","421","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-29","421","ConGme",NA,"Conioselinum","gmelinii"
"sanborn_and_coxson_2020","BC17-29","421","DesCes","Poaceae","Deschampsia","cespitosa"
"sanborn_and_coxson_2020","BC17-29","421","FriCam",NA,"Fritillaria","camschatcensis"
"sanborn_and_coxson_2020","BC17-29","421","HorBra",NA,"Hordeum","brachyantherum"
"sanborn_and_coxson_2020","BC17-29","421","LigHul",NA,"Ligusticum","hultenii"
"sanborn_and_coxson_2020","BC17-29","421","MaiDil",NA,"Maianthemum","dilatatum"
"sanborn_and_coxson_2020","BC17-29","421","PlaMac",NA,"Plantago","macrocarpa"
"sanborn_and_coxson_2020","BC17-29","421","SymSub","Asteraceae","Symphyotrichum","subspicatum"
"sanborn_and_coxson_2020","BC17-29","421","TriMar","Juncaginaceae","Triglochin","maritima"
"sanborn_and_coxson_2020","BC17-30","422","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-31","423","CarLyn","Cyperaceae","Carex","lyngbyei"
"sanborn_and_coxson_2020","BC17-31","423","DesCes","Poaceae","Deschampsia","cespitosa"
