"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)","Averaged 
Sample Runs","Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
Standard Deviation 
(µm)","Skewness
(µm)","Skewness 
Standard Deviation
(µm)","Kurtosis
(µm)","Kurtosis
Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)"
14CCT01-GB36M,10-11,Sandy Mud,N=8,36.57,1.32,3.628,0.081,-0.616,0.003,1.467,0.071,4.774,0.052,1.859,0.032,0.616,0.003,1.467,0.071,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.29,0.18,58.08,1.18,109.08,0.46,45.7,1.0,54.3,1.0,0.0,0.0,0.0,5.4,40.3,25.0,8.8,5.2,4.3,3.9,7.1
14CCT01-GB36M,11-12,Sandy Mud,N=8,19.94,4.30,4.637,0.110,-0.407,0.062,0.936,0.101,5.683,0.314,2.213,0.035,0.407,0.062,0.936,0.101,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.72,0.27,31.25,8.34,95.59,13.33,25.0,6.2,75.0,6.2,0.1,0.5,0.4,4.3,19.8,24.6,14.3,9.5,8.1,7.0,11.6
14CCT01-GB36M,12-13,Sandy Mud,N=8,21.11,3.37,4.492,0.172,-0.490,0.099,0.899,0.058,5.584,0.232,2.166,0.055,0.490,0.099,0.899,0.058,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.79,0.20,35.62,8.64,91.85,3.01,27.8,4.9,72.2,4.9,0.0,0.0,0.0,3.7,24.2,25.1,12.2,9.1,8.0,6.8,11.0
14CCT01-GB36M,13-14,Muddy Sand,N=8,56.49,2.04,2.349,0.070,-0.495,0.015,2.483,0.041,4.147,0.052,1.231,0.043,0.495,0.015,2.483,0.041,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,13.45,2.36,63.39,1.14,102.35,0.89,51.3,1.7,48.7,1.7,0.0,0.0,0.0,3.8,47.5,32.6,5.4,2.5,2.1,1.9,4.2
14CCT01-GB36M,14-15,Sandy Mud,N=8,33.71,1.60,3.708,0.055,-0.618,0.010,1.448,0.068,4.892,0.069,1.890,0.021,0.618,0.010,1.448,0.068,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.08,0.20,55.61,1.33,104.53,3.16,42.1,1.6,57.9,1.6,0.0,0.0,0.0,5.3,36.8,28.2,7.9,5.4,4.8,4.3,7.2
14CCT01-GB36M,15-16,Sandy Mud,N=8,21.79,0.11,5.172,0.019,-0.469,0.001,0.800,0.003,5.520,0.007,2.371,0.005,0.469,0.001,0.800,0.003,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.56,0.01,37.71,0.13,114.93,0.13,35.7,0.0,64.3,0.0,0.0,0.0,0.0,7.5,28.1,17.9,10.1,8.5,8.2,7.3,12.3
14CCT01-GB36M,16-17,Sandy Mud,N=8,22.74,1.83,5.606,0.158,-0.418,0.030,0.805,0.056,5.463,0.117,2.486,0.040,0.418,0.030,0.805,0.056,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Platykurtic,1.56,0.11,38.68,2.54,135.01,15.62,38.6,1.6,61.4,1.6,0.3,1.2,0.9,9.0,27.2,15.2,9.6,8.3,8.3,7.5,12.5
14CCT01-GB36M,17-18,Muddy Sand,N=8,34.56,1.83,4.558,0.043,-0.629,0.020,1.051,0.050,4.857,0.076,2.188,0.014,0.629,0.020,1.051,0.050,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.36,0.09,65.38,4.33,134.43,3.03,51.7,2.5,48.3,2.5,0.0,0.0,0.1,13.3,38.3,14.8,8.1,6.1,5.6,4.9,8.7
14CCT01-GB36M,18-19,Muddy Sand,N=8,83.24,0.25,2.296,0.038,-0.487,0.005,2.477,0.015,3.587,0.004,1.199,0.024,0.487,0.005,2.477,0.015,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,22.75,1.12,92.93,0.39,150.78,1.68,76.8,0.2,23.2,0.2,0.0,0.0,0.0,22.1,54.8,11.4,3.3,1.9,1.7,1.5,3.3
14CCT01-GB36M,19-20,Muddy Sand,N=8,83.98,2.27,2.248,0.056,-0.473,0.013,2.408,0.017,3.574,0.039,1.168,0.036,0.473,0.013,2.408,0.017,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,26.55,2.77,92.71,1.62,150.35,2.00,76.8,1.2,23.2,1.2,0.0,0.0,0.0,22.0,54.8,12.2,3.1,1.7,1.5,1.4,3.3
14CCT01-GB36M,20-21,Muddy Sand,N=8,79.64,2.08,2.443,0.020,-0.482,0.029,2.405,0.010,3.651,0.038,1.288,0.012,0.482,0.029,2.405,0.010,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,19.92,1.35,89.88,1.21,152.68,6.21,73.9,0.9,26.1,0.9,0.1,0.5,0.3,20.3,52.7,13.6,3.5,1.9,1.8,1.6,3.7
14CCT01-GB36M,21-22,Muddy Sand,N=8,74.71,2.21,2.729,0.218,-0.471,0.058,2.454,0.104,3.743,0.043,1.444,0.114,0.471,0.058,2.454,0.104,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,12.96,2.37,86.83,1.16,155.98,10.42,71.1,1.5,28.9,1.5,0.3,1.3,0.9,18.2,50.5,14.3,3.8,2.4,2.2,2.1,4.1
14CCT01-GB36M,22-23,Muddy Sand,N=8,37.21,1.18,3.801,0.064,-0.653,0.003,1.659,0.079,4.749,0.046,1.926,0.024,0.653,0.003,1.659,0.079,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.00,0.10,63.13,0.79,114.31,1.08,50.7,0.8,49.3,0.8,0.0,0.0,0.0,6.6,44.0,23.1,6.1,4.3,4.3,4.0,7.5
14CCT01-GB36M,23-24,Sandy Mud,N=8,34.41,1.11,3.905,0.020,-0.646,0.001,1.486,0.053,4.862,0.047,1.965,0.008,0.646,0.001,1.486,0.053,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,2.79,0.07,59.90,1.41,111.02,2.68,47.3,1.5,52.7,1.5,0.0,0.0,0.0,6.0,41.2,24.5,6.7,4.7,4.7,4.4,7.8
14CCT01-GB36M,24-25,Muddy Sand,N=8,43.32,3.32,3.319,0.171,-0.622,0.014,1.983,0.138,4.533,0.111,1.729,0.075,0.622,0.014,1.983,0.138,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,4.19,0.47,64.36,1.32,113.66,1.26,52.1,1.5,47.9,1.5,0.0,0.0,0.0,6.6,45.6,24.8,5.8,3.9,3.8,3.5,6.2
14CCT01-GB36M,25-26,Muddy Sand,N=8,47.30,0.65,2.986,0.038,-0.626,0.003,2.272,0.025,4.402,0.020,1.578,0.018,0.626,0.003,2.272,0.025,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.12,0.15,65.43,0.17,108.21,0.17,53.7,0.2,46.3,0.2,0.0,0.0,0.0,4.7,48.9,25.4,5.3,3.6,3.3,3.1,5.7
14CCT01-GB36M,26-27,Muddy Sand,N=8,70.98,0.13,2.079,0.037,-0.439,0.006,2.649,0.005,3.816,0.003,1.055,0.026,0.439,0.006,2.649,0.005,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,27.39,1.83,75.49,0.23,117.19,1.41,68.0,0.1,32.0,0.1,0.0,0.0,0.0,7.2,60.7,21.3,2.9,1.6,1.5,1.4,3.4
14CCT01-GB36M,27-28,Muddy Sand,N=8,50.43,1.38,2.829,0.058,-0.582,0.009,2.186,0.038,4.310,0.040,1.500,0.030,0.582,0.009,2.186,0.038,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.36,0.43,65.18,0.53,110.55,0.49,53.2,0.6,46.8,0.6,0.0,0.0,0.0,5.3,47.9,26.4,5.8,3.6,3.1,2.8,5.2
14CCT01-GB36M,28-29,Sandy Mud,N=8,35.77,0.83,3.677,0.031,-0.570,0.002,1.493,0.021,4.805,0.033,1.878,0.012,0.570,0.002,1.493,0.021,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.44,0.10,55.20,0.75,113.08,1.25,42.8,0.8,57.2,0.8,0.0,0.0,0.0,6.8,35.9,28.0,8.5,5.4,4.7,3.9,6.8
14CCT01-GB36M,29-30,Sandy Mud,N=8,31.77,1.06,3.994,0.023,-0.578,0.007,1.258,0.032,4.977,0.048,1.998,0.008,0.578,0.007,1.258,0.032,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,2.73,0.08,52.48,1.82,111.34,2.03,40.7,1.8,59.3,1.8,0.0,0.0,0.0,6.3,34.4,26.7,8.9,5.9,5.4,4.5,7.9
14CCT01-GB36M,30-31,Sandy Mud,N=8,31.81,0.58,4.100,0.110,-0.580,0.012,1.257,0.055,4.974,0.026,2.035,0.039,0.580,0.012,1.257,0.055,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.61,0.12,53.46,0.74,114.39,2.52,42.0,0.2,58.0,0.2,0.0,0.0,0.0,7.2,34.8,25.7,8.6,5.7,5.3,4.6,8.1
14CCT01-GB36M,31-32,Sandy Mud,N=8,35.24,1.90,5.072,0.118,-0.501,0.036,1.372,0.063,4.829,0.078,2.342,0.034,0.501,0.036,1.372,0.063,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.24,0.39,62.51,0.67,158.51,4.68,50.0,0.5,50.0,0.5,0.4,2.3,2.9,10.5,33.9,19.5,7.2,4.9,4.9,4.3,9.2
14CCT01-GB36M,32-33,Sandy Mud,N=8,29.39,2.07,6.212,0.100,-0.485,0.051,0.985,0.038,5.092,0.102,2.635,0.023,0.485,0.051,0.985,0.038,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.58,0.20,58.84,0.94,188.76,29.78,47.9,0.6,52.1,0.6,0.6,2.4,3.9,11.0,29.9,16.4,6.8,5.2,6.1,5.7,12.0
14CCT01-GB36M,33-34,Sandy Mud,N=8,32.83,0.53,4.142,0.109,-0.552,0.008,1.267,0.017,4.929,0.024,2.050,0.038,0.552,0.008,1.267,0.017,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.64,0.14,53.50,0.49,120.72,3.57,42.6,0.5,57.4,0.5,0.0,0.1,0.4,8.3,33.7,24.9,9.2,5.8,5.1,4.4,8.1
14CCT01-GB36M,34-35,Sandy Mud,N=8,34.96,3.16,4.101,0.107,-0.581,0.021,1.297,0.110,4.844,0.131,2.035,0.037,0.581,0.021,1.297,0.110,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.78,0.24,57.91,4.92,123.35,3.98,46.4,3.9,53.6,3.9,0.0,0.0,0.0,9.6,36.7,22.6,8.4,5.5,5.0,4.3,7.9
14CCT01-GB36M,35-36,Muddy Sand,N=8,44.62,3.78,3.563,0.147,-0.602,0.001,1.580,0.102,4.491,0.122,1.832,0.060,0.602,0.001,1.580,0.102,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.98,0.51,67.40,3.34,127.70,3.25,53.9,2.7,46.1,2.7,0.0,0.0,0.0,10.9,43.0,20.2,7.7,4.6,3.7,3.4,6.6
14CCT01-GB36M,36-37,Sandy Mud,N=8,28.71,3.79,4.344,0.252,-0.563,0.022,1.069,0.128,5.135,0.191,2.116,0.084,0.563,0.022,1.069,0.128,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.26,0.37,49.21,5.33,111.66,3.89,39.6,4.2,60.4,4.2,0.0,0.0,0.0,6.4,33.2,23.7,9.8,6.5,6.0,5.3,9.2
14CCT01-GB36M,37-38,Sandy Mud,N=8,24.40,0.06,4.410,0.003,-0.530,0.001,0.962,0.001,5.357,0.004,2.141,0.001,0.530,0.001,0.962,0.001,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.97,0.00,41.46,0.09,101.62,0.24,31.8,0.2,68.2,0.2,0.0,0.0,0.0,4.6,27.2,26.7,11.0,7.7,7.1,5.8,9.9
14CCT01-GB36M,38-39,Sandy Mud,N=8,24.54,1.48,4.421,0.011,-0.525,0.001,0.971,0.036,5.351,0.087,2.144,0.004,0.525,0.001,0.971,0.036,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.99,0.11,41.56,2.22,102.67,5.65,31.9,2.2,68.1,2.2,0.0,0.0,0.0,5.1,26.8,26.8,11.0,7.6,7.1,5.8,9.9
14CCT01-GB36M,39-40,Sandy Mud,N=8,24.45,0.06,4.533,0.068,-0.517,0.011,0.961,0.012,5.354,0.004,2.180,0.022,0.517,0.011,0.961,0.012,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.91,0.06,41.56,0.87,105.72,1.23,32.8,1.0,67.2,1.0,0.0,0.0,0.0,5.8,27.0,25.7,11.0,7.6,7.0,5.8,10.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14CCT01-GB53M(A),0-1,Sandy Mud,N=8,36.51,2.18,3.464,0.085,-0.542,0.015,1.311,0.018,4.778,0.086,1.792,0.036,0.542,0.015,1.311,0.018,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.98,0.42,52.55,3.06,107.87,2.29,41.9,2.3,58.1,2.3,0.0,0.0,0.0,5.0,36.9,24.7,12.4,6.6,4.4,3.6,6.4
14CCT01-GB53M(A),1-2,Sandy Mud,N=8,37.98,0.53,3.440,0.042,-0.558,0.010,1.394,0.015,4.719,0.020,1.782,0.018,0.558,0.010,1.394,0.015,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.99,0.13,54.92,0.93,109.71,0.64,43.7,0.6,56.3,0.6,0.0,0.0,0.0,5.4,38.3,24.7,11.7,5.8,4.1,3.5,6.4
14CCT01-GB53M(A),2-3,Muddy Sand,N=8,51.03,5.28,3.051,0.233,-0.608,0.010,1.768,0.207,4.300,0.150,1.605,0.110,0.608,0.010,1.768,0.207,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.69,1.86,70.54,3.23,120.91,1.68,57.6,3.4,42.4,3.4,0.0,0.0,0.0,8.5,49.1,19.5,7.7,4.1,3.1,2.7,5.2
14CCT01-GB53M(A),3-4,Sandy Mud,N=8,37.62,1.61,3.570,0.064,-0.568,0.029,1.349,0.057,4.734,0.062,1.836,0.026,0.568,0.029,1.349,0.057,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.70,0.12,56.35,3.11,112.96,0.11,45.1,2.3,54.9,2.3,0.0,0.0,0.0,6.4,38.7,23.0,11.3,6.1,4.3,3.7,6.6
14CCT01-GB53M(A),4-5,Sandy Mud,N=8,34.67,2.10,3.667,0.120,-0.552,0.006,1.297,0.038,4.853,0.087,1.874,0.047,0.552,0.006,1.297,0.038,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.37,0.40,52.15,2.31,109.09,1.77,41.6,1.8,58.4,1.8,0.0,0.0,0.0,5.7,35.9,24.4,12.0,6.4,4.6,3.9,7.1
14CCT01-GB53M(A),5-6,Muddy Sand,N=8,48.34,2.70,2.915,0.083,-0.587,0.005,1.914,0.071,4.373,0.081,1.543,0.041,0.587,0.005,1.914,0.071,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,6.54,0.83,64.37,2.12,110.79,2.22,52.1,2.4,47.9,2.4,0.0,0.0,0.0,5.6,46.4,25.2,7.7,4.1,3.0,2.7,5.1
14CCT01-GB53M(A),6-7,Sandy Mud,N=8,37.06,0.57,3.531,0.040,-0.609,0.000,1.422,0.026,4.754,0.022,1.820,0.016,0.609,0.000,1.422,0.026,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.63,0.11,57.70,0.41,107.90,0.15,45.4,0.4,54.6,0.4,0.0,0.0,0.0,5.1,40.3,24.7,9.5,5.7,4.4,3.8,6.6
14CCT01-GB53M(A),7-8,Sandy Mud,N=8,42.96,1.42,3.218,0.057,-0.620,0.009,1.833,0.010,4.542,0.048,1.686,0.025,0.620,0.009,1.833,0.010,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,4.43,0.38,62.22,0.82,108.39,1.87,49.7,0.9,50.3,0.9,0.0,0.0,0.0,4.8,44.9,25.8,7.3,4.3,3.4,3.2,6.3
14CCT01-GB53M(A),8-9,Sandy Mud,N=8,31.58,2.20,4.223,0.386,-0.500,0.057,1.363,0.210,4.989,0.100,2.072,0.127,0.500,0.057,1.363,0.210,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.62,0.07,50.17,4.42,115.38,13.54,39.4,3.4,60.6,3.4,0.6,1.2,0.6,5.1,31.9,25.6,11.2,6.4,4.9,4.3,8.2
14CCT01-GB53M(A),9-10,Sandy Mud,N=8,28.66,0.85,4.039,0.141,-0.520,0.038,1.304,0.022,5.125,0.043,2.013,0.050,0.520,0.038,1.304,0.022,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.45,0.07,45.48,0.73,104.12,8.91,32.9,1.7,67.1,1.7,0.4,0.7,0.4,4.8,26.5,30.6,11.7,6.7,5.1,4.5,8.5
14CCT01-GB53M(A),10-11,Sandy Mud,N=8,24.72,1.10,4.148,0.103,-0.513,0.009,1.146,0.046,5.339,0.065,2.052,0.036,0.513,0.009,1.146,0.046,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.11,0.14,39.84,1.07,94.76,2.40,28.0,1.0,72.0,1.0,0.1,0.1,0.1,4.6,23.1,30.3,13.6,7.7,5.9,5.0,9.5
14CCT01-GB53M(A),11-12,Sandy Mud,N=8,31.30,5.04,4.624,0.369,-0.447,0.103,1.428,0.268,5.017,0.234,2.205,0.116,0.447,0.103,1.428,0.268,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.50,0.38,49.98,4.95,146.11,46.60,38.0,5.4,62.0,5.4,0.7,2.6,1.6,5.4,27.7,27.1,10.4,6.2,5.1,4.6,8.5
14CCT01-GB53M(A),12-13,Sandy Mud,N=8,39.11,2.32,3.607,0.206,-0.579,0.032,1.588,0.046,4.679,0.086,1.849,0.082,0.579,0.032,1.588,0.046,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.62,0.48,59.09,2.81,115.09,3.77,46.7,2.7,53.3,2.7,0.1,0.7,0.4,6.2,39.3,24.9,9.0,5.0,3.9,3.4,7.1
14CCT01-GB53M(A),13-14,Sandy Mud,N=8,30.05,1.96,3.968,0.043,-0.532,0.024,1.215,0.051,5.059,0.094,1.988,0.016,0.532,0.024,1.215,0.051,Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,2.59,0.14,46.90,3.77,106.00,3.21,37.3,3.0,62.7,3.0,0.0,0.0,0.1,5.4,31.8,25.4,12.6,6.9,5.2,4.4,8.3
14CCT01-GB53M(A),14-15,Muddy Sand,N=8,42.22,3.09,3.534,0.224,-0.617,0.018,1.843,0.144,4.570,0.106,1.818,0.091,0.617,0.018,1.843,0.144,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,3.52,0.57,63.57,1.53,115.29,3.79,51.2,1.6,48.8,1.6,0.0,0.3,0.2,6.7,44.0,23.6,7.2,4.1,3.3,2.9,7.6
14CCT01-GB53M(A),15-16,Sandy Mud,N=8,23.90,2.61,4.977,0.312,-0.405,0.058,0.990,0.089,5.395,0.158,2.312,0.091,0.405,0.058,0.990,0.089,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.82,0.12,37.49,2.83,131.48,32.39,32.3,3.1,67.7,3.1,0.0,0.9,2.0,6.4,23.1,22.3,12.4,9.2,7.2,5.9,10.7
14CCT01-GB53M(A),16-17,Sandy Mud,N=8,39.40,3.96,5.121,0.061,-0.386,0.024,1.757,0.166,4.673,0.145,2.356,0.017,0.386,0.024,1.757,0.166,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Very Leptokurtic,2.54,0.28,60.74,3.07,213.46,36.52,48.6,2.5,51.4,2.5,1.4,3.9,3.4,7.6,32.3,21.7,8.6,5.0,3.9,3.3,8.8
