Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Burke et al 2022,Rogerstown Esturay,3,Saltmarsh,53.50344,-6.17039,estimated from GE,Ireland,2021,0.075,0.125,LOI,3.89,0.46,9.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,3,Saltmarsh,53.50344,-6.17039,estimated from GE,Ireland,2021,0.2,0.25,LOI,4.34,0.51,10.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,3,Saltmarsh,53.50344,-6.17039,estimated from GE,Ireland,2021,0.375,0.425,LOI,2.84,0.65,6.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,3,Saltmarsh,53.50344,-6.17039,estimated from GE,Ireland,2021,0.625,0.675,LOI,1.22,1.11,3,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,4,Saltmarsh,53.50336,-6.16983,estimated from GE,Ireland,2021,0,0.05,LOI,20.84,0.29,41.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,4,Saltmarsh,53.50336,-6.16983,estimated from GE,Ireland,2021,0.075,0.125,LOI,13.81,0.43,29.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,4,Saltmarsh,53.50336,-6.16983,estimated from GE,Ireland,2021,0.2,0.25,LOI,3.71,0.68,8.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,4,Saltmarsh,53.50336,-6.16983,estimated from GE,Ireland,2021,0.3,0.33,LOI,1.47,1.07,3.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,5,Saltmarsh,53.50412,-6.17127,estimated from GE,Ireland,2021,0,0.05,LOI,5.53,0.35,12.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,5,Saltmarsh,53.50412,-6.17127,estimated from GE,Ireland,2021,0.075,0.125,LOI,4.61,0.42,10.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,5,Saltmarsh,53.50412,-6.17127,estimated from GE,Ireland,2021,0.2,0.25,LOI,4.25,0.52,10,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,5,Saltmarsh,53.50412,-6.17127,estimated from GE,Ireland,2021,0.375,0.425,LOI,1.47,0.85,3.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,5,Saltmarsh,53.50412,-6.17127,estimated from GE,Ireland,2021,0.725,0.775,LOI,3.10,0.50,7.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,6,Saltmarsh,53.50426,-6.17122,estimated from GE,Ireland,2021,0,0.05,LOI,26.38,0.23,50.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,6,Saltmarsh,53.50426,-6.17122,estimated from GE,Ireland,2021,0.075,0.125,LOI,25.60,0.26,49,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,6,Saltmarsh,53.50426,-6.17122,estimated from GE,Ireland,2021,0.2,0.25,LOI,1.98,1.07,4.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,6,Saltmarsh,53.50426,-6.17122,estimated from GE,Ireland,2021,0.375,0.425,LOI,1.56,0.92,3.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,6,Saltmarsh,53.50426,-6.17122,estimated from GE,Ireland,2021,0.515,0.565,LOI,0.56,1.19,1.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,7,Saltmarsh,53.50329,-6.17128,estimated from GE,Ireland,2021,0,0.05,LOI,17.29,0.18,35.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,7,Saltmarsh,53.50329,-6.17128,estimated from GE,Ireland,2021,0.075,0.125,LOI,12.84,0.25,27.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,7,Saltmarsh,53.50329,-6.17128,estimated from GE,Ireland,2021,0.2,0.25,LOI,9.91,0.34,21.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,7,Saltmarsh,53.50329,-6.17128,estimated from GE,Ireland,2021,0.375,0.425,LOI,3.10,0.83,7.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,7,Saltmarsh,53.50329,-6.17128,estimated from GE,Ireland,2021,0.595,0.645,LOI,2.58,0.69,6.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,8,Saltmarsh,53.50373,-6.17172,estimated from GE,Ireland,2021,0,0.05,LOI,13.48,0.34,28.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,8,Saltmarsh,53.50373,-6.17172,estimated from GE,Ireland,2021,0.075,0.125,LOI,10.32,0.45,22.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,8,Saltmarsh,53.50373,-6.17172,estimated from GE,Ireland,2021,0.2,0.25,LOI,1.47,1.14,3.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,8,Saltmarsh,53.50373,-6.17172,estimated from GE,Ireland,2021,0.375,0.425,LOI,0.89,1.03,2.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Rogerstown Esturay,8,Saltmarsh,53.50373,-6.17172,estimated from GE,Ireland,2021,0.675,0.725,LOI,0.89,1.45,2.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,1,Saltmarsh,53.46835,-6.13241,estimated from GE,Ireland,2021,0,0.05,LOI,15.58,0.13,32.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,1,Saltmarsh,53.46835,-6.13241,estimated from GE,Ireland,2021,0.075,0.125,LOI,4.98,0.32,11.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,1,Saltmarsh,53.46835,-6.13241,estimated from GE,Ireland,2021,0.2,0.25,LOI,0.65,1.21,1.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,1,Saltmarsh,53.46835,-6.13241,estimated from GE,Ireland,2021,0.375,0.425,LOI,0.32,0.83,0.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,1,Saltmarsh,53.46835,-6.13241,estimated from GE,Ireland,2021,0.5,0.55,LOI,0.16,0.57,0.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,2,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0,0.05,LOI,8.80,0.11,19.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,2,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0.075,0.125,LOI,9.40,0.24,20.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,2,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0.2,0.25,LOI,1.31,0.57,3.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,2,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0.375,0.425,LOI,0.24,0.99,0.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,2,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0.5,0.55,LOI,0.16,0.68,0.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,3,Saltmarsh,53.46811,-6.13278,estimated from GE,Ireland,2021,0,0.05,LOI,19.88,0.29,39.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,3,Saltmarsh,53.46811,-6.13278,estimated from GE,Ireland,2021,0.075,0.125,LOI,5.90,0.63,13.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,3,Saltmarsh,53.46811,-6.13278,estimated from GE,Ireland,2021,0.2,0.25,LOI,0.56,1.12,1.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,3,Saltmarsh,53.46811,-6.13278,estimated from GE,Ireland,2021,0.3,0.34,LOI,0.24,0.62,0.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,4,Saltmarsh,53.46809,-6.13217,estimated from GE,Ireland,2021,0,0.05,LOI,7.33,0.29,16.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,4,Saltmarsh,53.46809,-6.13217,estimated from GE,Ireland,2021,0.075,0.125,LOI,7.33,0.34,16.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,4,Saltmarsh,53.46809,-6.13217,estimated from GE,Ireland,2021,0.2,0.25,LOI,0.73,1.02,1.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,4,Saltmarsh,53.46809,-6.13217,estimated from GE,Ireland,2021,0.355,0.405,LOI,0.24,1.10,0.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,5,Saltmarsh,53.46812,-6.13175,estimated from GE,Ireland,2021,0,0.05,LOI,5.44,0.29,12.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,5,Saltmarsh,53.46812,-6.13175,estimated from GE,Ireland,2021,0.075,0.125,LOI,3.98,0.33,9.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,5,Saltmarsh,53.46812,-6.13175,estimated from GE,Ireland,2021,0.16,0.21,LOI,4.61,0.33,10.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,6,Saltmarsh,53.46787,-6.13339,estimated from GE,Ireland,2021,0,0.05,LOI,8.01,0.30,18,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,6,Saltmarsh,53.46787,-6.13339,estimated from GE,Ireland,2021,0.075,0.125,LOI,7.52,0.22,17,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,6,Saltmarsh,53.46787,-6.13339,estimated from GE,Ireland,2021,0.2,0.25,LOI,1.89,0.76,4.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,6,Saltmarsh,53.46787,-6.13339,estimated from GE,Ireland,2021,0.375,0.425,LOI,0.24,0.90,0.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,6,Saltmarsh,53.46787,-6.13339,estimated from GE,Ireland,2021,0.725,0.775,LOI,0.40,0.83,1,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,7,Saltmarsh,53.46784,-6.13271,estimated from GE,Ireland,2021,0,0.05,LOI,27.30,0.24,51.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,7,Saltmarsh,53.46784,-6.13271,estimated from GE,Ireland,2021,0.075,0.125,LOI,8.80,0.62,19.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,7,Saltmarsh,53.46784,-6.13271,estimated from GE,Ireland,2021,0.175,0.225,LOI,2.06,0.68,5,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,8,Saltmarsh,53.46772,-6.13221,estimated from GE,Ireland,2021,0,0.05,LOI,14.47,0.19,30.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,8,Saltmarsh,53.46772,-6.13221,estimated from GE,Ireland,2021,0.075,0.125,LOI,8.11,0.35,18.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,8,Saltmarsh,53.46772,-6.13221,estimated from GE,Ireland,2021,0.2,0.25,LOI,3.80,0.75,9,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,8,Saltmarsh,53.46772,-6.13221,estimated from GE,Ireland,2021,0.31,0.36,LOI,0.24,0.88,0.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,9,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0,0.05,LOI,5.72,0.30,13.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,9,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0.075,0.125,LOI,4.52,0.32,10.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,9,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0.2,0.25,LOI,6.75,0.25,15.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,9,Saltmarsh,53.46835,-6.13311,estimated from GE,Ireland,2021,0.355,0.405,LOI,0.48,0.94,1.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,10,Saltmarsh,53.46712,-6.13344,estimated from GE,Ireland,2021,0,0.05,LOI,14.69,0.17,30.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,10,Saltmarsh,53.46712,-6.13344,estimated from GE,Ireland,2021,0.075,0.125,LOI,1.14,0.93,2.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Malahide Estuary,10,Saltmarsh,53.46712,-6.13344,estimated from GE,Ireland,2021,0.17,0.23,LOI,0.48,1.02,1.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,1,Saltmarsh,53.41474,-6.12899,estimated from GE,Ireland,2020,0,0.05,LOI,13.27,0.21,28.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,1,Saltmarsh,53.41474,-6.12899,estimated from GE,Ireland,2020,0.075,0.125,LOI,10.42,0.21,22.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,1,Saltmarsh,53.41474,-6.12899,estimated from GE,Ireland,2020,0.2,0.25,LOI,1.06,1.07,2.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,1,Saltmarsh,53.41474,-6.12899,estimated from GE,Ireland,2020,0.375,0.425,LOI,0.81,1.06,2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,1,Saltmarsh,53.41474,-6.12899,estimated from GE,Ireland,2020,0.53,0.58,LOI,0.32,1.27,0.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,2,Saltmarsh,53.41535,-6.12868,estimated from GE,Ireland,2020,0,0.05,LOI,5.07,0.32,11.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,2,Saltmarsh,53.41535,-6.12868,estimated from GE,Ireland,2020,0.075,0.125,LOI,5.72,0.29,13.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,2,Saltmarsh,53.41535,-6.12868,estimated from GE,Ireland,2020,0.2,0.25,LOI,5.72,0.29,13.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,2,Saltmarsh,53.41535,-6.12868,estimated from GE,Ireland,2020,0.375,0.425,LOI,5.44,0.25,12.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,2,Saltmarsh,53.41535,-6.12868,estimated from GE,Ireland,2020,0.5,0.54,LOI,4.34,0.35,10.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,3,Saltmarsh,53.41561,-6.12858,estimated from GE,Ireland,2020,0,0.05,LOI,22.69,0.22,44.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,3,Saltmarsh,53.41561,-6.12858,estimated from GE,Ireland,2020,0.075,0.125,LOI,14.58,0.34,30.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,3,Saltmarsh,53.41561,-6.12858,estimated from GE,Ireland,2020,0.2,0.25,LOI,1.64,1.21,4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,3,Saltmarsh,53.41561,-6.12858,estimated from GE,Ireland,2020,0.375,0.425,LOI,1.64,0.92,4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,3,Saltmarsh,53.41561,-6.12858,estimated from GE,Ireland,2020,0.535,0.585,LOI,0.65,1.05,1.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,4,Saltmarsh,53.41601,-6.12928,estimated from GE,Ireland,2020,0,0.05,LOI,3.80,0.32,9,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,4,Saltmarsh,53.41601,-6.12928,estimated from GE,Ireland,2020,0.075,0.125,LOI,5.44,0.29,12.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,4,Saltmarsh,53.41601,-6.12928,estimated from GE,Ireland,2020,0.2,0.25,LOI,3.45,0.42,8.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,4,Saltmarsh,53.41601,-6.12928,estimated from GE,Ireland,2020,0.375,0.425,LOI,4.16,0.46,9.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,4,Saltmarsh,53.41601,-6.12928,estimated from GE,Ireland,2020,0.655,0.705,LOI,0.48,1.29,1.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,5,Saltmarsh,53.4165,-6.12925,estimated from GE,Ireland,2020,0,0.05,LOI,9.50,0.37,21,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,5,Saltmarsh,53.4165,-6.12925,estimated from GE,Ireland,2020,0.075,0.125,LOI,7.81,0.39,17.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,5,Saltmarsh,53.4165,-6.12925,estimated from GE,Ireland,2020,0.2,0.25,LOI,1.14,1.06,2.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,5,Saltmarsh,53.4165,-6.12925,estimated from GE,Ireland,2020,0.375,0.425,LOI,1.22,1.18,3,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,5,Saltmarsh,53.4165,-6.12925,estimated from GE,Ireland,2020,0.53,0.58,LOI,2.06,1.02,5,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,6,Saltmarsh,53.41713,-6.12963,estimated from GE,Ireland,2020,0,0.05,LOI,4.34,0.37,10.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,6,Saltmarsh,53.41713,-6.12963,estimated from GE,Ireland,2020,0.075,0.125,LOI,4.79,0.34,11.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,6,Saltmarsh,53.41713,-6.12963,estimated from GE,Ireland,2020,0.2,0.25,LOI,3.98,0.41,9.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,6,Saltmarsh,53.41713,-6.12963,estimated from GE,Ireland,2020,0.375,0.425,LOI,3.18,0.58,7.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,6,Saltmarsh,53.41713,-6.12963,estimated from GE,Ireland,2020,0.725,0.775,LOI,0.65,1.26,1.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,7,Saltmarsh,53.41788,-6.1297,estimated from GE,Ireland,2020,0,0.05,LOI,9.30,0.16,20.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,7,Saltmarsh,53.41788,-6.1297,estimated from GE,Ireland,2020,0.075,0.125,LOI,6.94,0.25,15.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,7,Saltmarsh,53.41788,-6.1297,estimated from GE,Ireland,2020,0.2,0.25,LOI,5.62,0.28,13,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,7,Saltmarsh,53.41788,-6.1297,estimated from GE,Ireland,2020,0.375,0.425,LOI,0.73,0.97,1.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,7,Saltmarsh,53.41788,-6.1297,estimated from GE,Ireland,2020,0.655,0.705,LOI,0.24,0.76,0.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,8,Saltmarsh,53.41857,-6.13012,estimated from GE,Ireland,2020,0,0.05,LOI,28.62,0.06,53.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,8,Saltmarsh,53.41857,-6.13012,estimated from GE,Ireland,2020,0.075,0.125,LOI,24.45,0.10,47.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,8,Saltmarsh,53.41857,-6.13012,estimated from GE,Ireland,2020,0.2,0.25,LOI,17.87,0.19,36.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,8,Saltmarsh,53.41857,-6.13012,estimated from GE,Ireland,2020,0.375,0.425,LOI,6.85,0.29,15.6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,8,Saltmarsh,53.41857,-6.13012,estimated from GE,Ireland,2020,0.65,0.7,LOI,0.56,1.50,1.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,9,Saltmarsh,53.41725,-6.12897,estimated from GE,Ireland,2020,0,0.05,LOI,26.12,0.19,49.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,9,Saltmarsh,53.41725,-6.12897,estimated from GE,Ireland,2020,0.075,0.125,LOI,18.69,0.18,37.8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,9,Saltmarsh,53.41725,-6.12897,estimated from GE,Ireland,2020,0.2,0.25,LOI,11.25,0.19,24.4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,9,Saltmarsh,53.41725,-6.12897,estimated from GE,Ireland,2020,0.375,0.425,LOI,4.34,0.49,10.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,Baldoyle Estuary,9,Saltmarsh,53.41725,-6.12897,estimated from GE,Ireland,2020,0.595,0.645,LOI,2.15,1.10,5.2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),1,Saltmarsh,53.37286,-6.15256,direct from dataset,Ireland,2019,0,0.05,LOI,6.09,0.35,14,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),1,Saltmarsh,53.37286,-6.15256,direct from dataset,Ireland,2019,0.05,0.12,LOI,2.49,0.57,6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),1,Saltmarsh,53.37286,-6.15256,direct from dataset,Ireland,2019,0.2,0.35,LOI,0.81,0.93,2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),1,Saltmarsh,53.37286,-6.15256,direct from dataset,Ireland,2019,0.35,0.54,LOI,0.00,0.58,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),2,Saltmarsh,53.37253,-6.15221,direct from dataset,Ireland,2019,0,0.06,LOI,6.09,0.35,14,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),2,Saltmarsh,53.37253,-6.15221,direct from dataset,Ireland,2019,0.06,0.15,LOI,3.36,0.54,8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),2,Saltmarsh,53.37253,-6.15221,direct from dataset,Ireland,2019,0.15,0.25,LOI,2.49,0.46,6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),2,Saltmarsh,53.37253,-6.15221,direct from dataset,Ireland,2019,0.25,0.35,LOI,3.36,0.53,8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),3,Saltmarsh,53.37209,-6.15151,direct from dataset,Ireland,2019,0,0.05,LOI,13.16,0.17,28,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),3,Saltmarsh,53.37209,-6.15151,direct from dataset,Ireland,2019,0.05,0.14,LOI,10.01,0.24,22,(0.4*%LOI)+0.0025*(%LOI^2)
