study_id,core_id,site_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,CD_reported,Ocstock_reported,carbon_density,fraction_carbon_type,DBD_measured_or_modeled,OC_measured_or_modeled,CD_measured_or_modeled,carbon_profile_notes
Alongi_et_al_2004,M0270,DMA04 M2/5,90,92,0.7586844240321834,NA,0.03667,NA,NA,0.027820957829260164,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Alongi_et_al_2004,M0270,DMA04 M2/5,100,102,0.744867818850296,NA,0.03888,NA,NA,0.028960460796899505,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lovelock_et_al_2010,M0277,CEL10 Site 2,0,5,0.8967714850039656,NA,0.021110000000000004,NA,NA,0.018930846048433717,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lovelock_et_al_2010,M0285,CEL10 Site 10,0,5,0.7753244123006456,NA,0.03418,NA,NA,0.02650058841243607,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lovelock_et_al_2010,M0286,CEL10 Site 11,0,5,0.6811277748604655,NA,0.05067,NA,NA,0.03451274435217979,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lovelock_et_al_2010,M0287,CEL10 Site 12,0,5,0.6615709166421536,NA,0.054770000000000006,NA,NA,0.03623423910449076,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lovelock_et_al_2010,M0295,CEL10 Site 20,0,5,0.8192393753325855,NA,0.02849,NA,NA,0.023340129803225362,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Lovelock_et_al_2010,M0298,CEL10 Site 23,0,5,0.819585459331237,NA,0.028450000000000003,NA,NA,0.023317206317973696,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0312,RAM16 CG1.6,0,60,0.64,NA,0.040999999999999995,NA,NA,0.026239999999999996,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0314,RAM16 KVPF1.1,0,60,0.7,NA,0.039,NA,NA,0.027299999999999998,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0315,RAM16 KVPF1.6,0,60,0.55,NA,0.068,NA,NA,0.0374,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0316,RAM16 KVPF2.1,0,60,0.82,NA,0.075,NA,NA,0.06149999999999999,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0317,RAM16 KVPF2.6,0,60,0.72,NA,0.03,NA,NA,0.021599999999999998,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0318,RAM16 KVPF3.1,0,60,0.96,NA,0.017,NA,NA,0.01632,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0319,RAM16 KVPF3.6,0,60,0.73,NA,0.026000000000000002,NA,NA,0.01898,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0320,RAM16 U1B0,0,60,0.3,NA,0.151,NA,NA,0.0453,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0321,RAM16 U1B375,0,60,0.3,NA,0.19899999999999998,NA,NA,0.05969999999999999,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0322,RAM16 U2B0,0,60,0.18,NA,0.23600000000000002,NA,NA,0.042480000000000004,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0323,RAM16 U2B375,0,60,0.26,NA,0.34600000000000003,NA,NA,0.08996000000000001,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0324,RAM16 U3B0,0,60,0.35,NA,0.098,NA,NA,0.0343,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0325,RAM16 U3B375,0,60,0.28,NA,0.21600000000000003,NA,NA,0.06048000000000001,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0326,RAM16 D1B0,0,60,0.24,NA,0.153,NA,NA,0.036719999999999996,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0327,RAM16 D1B375,0,60,0.29,NA,0.19699999999999998,NA,NA,0.05712999999999999,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0328,RAM16 D3B0,0,60,0.21,NA,0.254,NA,NA,0.05334,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0329,RAM16 D2B0,0,60,0.56,NA,0.127,NA,NA,0.07112,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,M0330,RAM16 D2B375,0,60,0.34,NA,0.177,NA,NA,0.060180000000000004,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0331,MJO12 Robinson Preserve,0,10,0.406666667,0.190666667,0.08165947914,NA,NA,0.033208188210819826,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0331,MJO12 Robinson Preserve,10,30,0.6,0.094333333,0.04804789543,NA,NA,0.028828737258,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0332,MJO12 Emerson Point,0,10,0.3,0.231666667,0.16896662710000002,NA,NA,0.05068998813,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0332,MJO12 Emerson Point,10,30,0.633333333,0.09300000000000001,0.04630385558,NA,NA,0.02932577518523205,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0333,MJO12 East Cockroach Bay,0,10,0.193333333,0.393333333,0.16468973159999997,NA,NA,0.03184001472110342,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0333,MJO12 East Cockroach Bay,10,30,0.33,0.19,0.07787532012,NA,NA,0.025698855639599998,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0334,MJO12 South Cockroach Bay,0,10,0.146666667,0.543666667,0.2012357839,NA,NA,0.02951458170574526,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0334,MJO12 South Cockroach Bay,10,30,0.2,0.48699999999999993,0.2020728175,NA,NA,0.0404145635,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0335,MJO12 Little Cockroach Bay,0,10,0.17,0.49200000000000005,0.211087265,NA,NA,0.03588483505,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0335,MJO12 Little Cockroach Bay,10,30,0.186666667,0.329666667,0.1633750884,NA,NA,0.030496683222458364,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0336,MJO12 Bishop Harbor,0,10,0.346666667,0.195333333,0.116425972,NA,NA,0.04036100366547532,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0336,MJO12 Bishop Harbor,10,30,0.613333333,0.087333333,0.04869788647,NA,NA,0.029868037018700708,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0337,MJO12 Wolf Branch,0,10,0.26,0.266333333,0.14009857180000002,NA,NA,0.036425628668000004,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0337,MJO12 Wolf Branch,10,30,0.543333333,0.171,0.08608137129000001,NA,NA,0.04677087837220621,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0338,MJO12 Apollo Beach,0,10,0.443333333,0.125,0.06730012576,NA,NA,0.029836389064499955,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0338,MJO12 Apollo Beach,10,30,0.76,0.057333333,0.03329393705,NA,NA,0.025303392158,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0339,MJO12 Bullfrog Creek,0,10,0.21,0.3426666669999999,0.1463415925,NA,NA,0.030731734425,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,M0339,MJO12 Bullfrog Creek,10,30,0.32,0.191333333,0.09151843549000001,NA,NA,0.029285899356800003,total carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,M0340,DAM16 SC Basin,0,2,0.07,NA,0.28963,NA,NA,0.020274100000000003,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,M0340,DAM16 SC Basin,2,4,0.111,NA,0.2619,NA,NA,0.029070900000000004,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,M0340,DAM16 SC Basin,4,6,0.105,NA,0.24674,NA,NA,0.0259077,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,M0340,DAM16 SC Basin,6,8,0.133,NA,0.2213,NA,NA,0.0294329,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,M0340,DAM16 SC Basin,8,10,0.205,NA,0.17265,NA,NA,0.035393249999999994,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,M0340,DAM16 SC Basin,10,12,0.566,NA,0.07592,NA,NA,0.04297072,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,M0340,DAM16 SC Basin,12,14.000000000000002,0.756,NA,0.03031,NA,NA,0.02291436,organic carbon,measured,measured,modeled,"uses OC data if reported, otherwise used 0.5*LOI data"
