"","study_id","site_id","site_description","country","vegetation_class","vegetation_notes","landscape_position","Dominant species"
"23","Osland_et_al_2012","MJO12_Wolf_Branch","Tampa Bay","USA","forested","mangrove","outer",NA
"24","Osland_et_al_2012","MJO12_Apollo Beach","Tampa Bay","USA","forested","mangrove","outer",NA
"25","Osland_et_al_2012","MJO12_Bullfrog_Creek","Tampa Bay","USA","forested","mangrove","outer",NA
"26","Marchio_et_al_2016","DAM16_SC_Basin","Naples Bay","USA","forested","mangrove","back/central",NA
"27","Marchio_et_al_2016","DAM16_HA_Basin","Naples Bay","USA","forested","mangrove","central",NA
"28","Marchio_et_al_2016","DAM16_SC_Fringe","Naples Bay","USA","forested","mangrove","outer",NA
"29","Marchio_et_al_2016","DAM16_HA_Fringe","Naples Bay","USA","forested","mangrove","outer",NA
"30","Marchio_et_al_2016","DAM16_SC_Riverine","Naples Bay","USA","forested","mangrove","outer",NA
"31","Marchio_et_al_2016","DAM16_HA_Riverine","Naples Bay","USA","forested","mangrove","outer",NA
"32","Marchio_et_al_2016","DAM16_SC_Dwarf","Naples Bay","USA","forested","mangrove","back",NA
"33","Breithaupt_et_al_2014","JLB16_SH3-1","Shark River, Everglades National Park, Florida","USA","forested","mangrove","outer","Rhizophora mangle, Avicennia germinans, Laguncularia racemosa"
"34","Breithaupt_et_al_2014","JLB16_SH3-3","Shark River, Everglades National Park, Florida","USA","forested","mangrove","outer","Rhizophora mangle, Avicennia germinans, Laguncularia racemosa"
"35","Breithaupt_et_al_2014","JLB16_SH3-5","Shark River, Everglades National Park, Florida","USA","forested","mangrove","central/outer","Rhizophora mangle, Avicennia germinans, Laguncularia racemosa"
"36","Breithaupt_et_al_2014","JLB16_SH3-7","Shark River, Everglades National Park, Florida","USA","forested","mangrove","central","Rhizophora mangle, Avicennia germinans, Laguncularia racemosa"
"37","Breithaupt_et_al_2014","JLB16_SH3-8/SH3-9","Shark River, Everglades National Park, Florida","USA","forested","mangrove","central","Rhizophora mangle, Avicennia germinans, Laguncularia racemosa"
"38","Smoak_et_al_2013","JMS13_SH4","Harney River, Everglades National Park, Florida","USA","forested","mangrove","outer","Rhizophora mangle, Avicennia germinans, Laguncularia racemosa"
"39","Yando_et_al_2016","ESY16_Port_Aransas","Port Aransas, Texas","USA","forested","mangrove","unknown","Avicennia germinans"
"40","Yando_et_al_2016","ESY16_Port_Fourchon","Port Fourchon, Louisiana","USA","forested","mangrove","unknown","Avicennia germinans"
"41","Yando_et_al_2016","ESY16_Cedar_Key","Cedar Key, Florida","USA","forested","mangrove","unknown","Avicennia germinans"
"42","Callaway_et_al_1997","JCC97_Black_mangroves","North Key Largo, Florida","USA","forested","mangrove","unknown","Avicennia germinans"
"43","Chmura_et_al_2003","GLC03CL_Rookery_Bay_1","Rookery Bay, Florida","USA","forested","mangrove","unknown",NA
"44","Chmura_et_al_2003","GLC03CL_Rookery_Bay_2","Rookery Bay, Florida","USA","forested","mangrove","unknown",NA
"45","Cahoon_and_Lynch_1997","DRC97_Fringe","Rookery Bay, Florida","USA","forested","mangrove","outer","Rhizophora mangle"
"46","Cahoon_and_Lynch_1997","DRC97_Basin","Rookery Bay, Florida","USA","forested","mangrove","central","Rhizophora mangle, Avicennia germinans, Laguncularia racemosa"
"47","Cahoon_and_Lynch_1997","DRC97_Exposed_island","Rookery Bay, Florida","USA","forested","mangrove","outer","Rhizophora mangle"
"48","Cahoon_and_Lynch_1997","DRC97_Sheltered_island","Rookery Bay, Florida","USA","forested","mangrove","unknown","Rhizophora mangle"
