study_id,site_id,plot_id,year,month,day,latitude,longitude,position_method,max_soil_depth_reporting,habitat,plot_notes,ecosystem_type,protection_status,protection_notes,ecosystem_health,salinity,plant_count,dominant_species,plot_soil_carbon_total,plot_soil_carbon_100cm,plot_plant_carbon,salinity_class,salinity_method,vegetation_class,plot_shape,coordinates_obscured_flag,field_or_manipulation_code,plant_plot_detail_present,soil_core_present
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_1_1,2021,9,6,18.325519,-88.118299,handheld,101,mangrove,"dwarf mangrove about 2m, sandy soil, mostly Rh but occasional La, some bottom wood and no surface water",lagoon,National Legislation,NA,healthy,25,16,Laguncularia racemosa,177.2826926,114.083982,22.21919638,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_1_2,2021,9,6,18.325277,-88.118274,handheld,110,mangrove,"all red mangrove, low canopy, 3 in of water",lagoon,National Legislation,NA,healthy,25,34,Rhizophora mangle,206.5444664,184.8350459,16.65597796,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_1_3,2021,9,6,18.325055,-88.118284,handheld,65,mangrove,"red mangrove, dwarf, 5 in standing water light in color",lagoon,National Legislation,NA,healthy,25,38,Rhizophora mangle,8.543402163,5.80194828,23.44502048,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_1_4,2021,9,6,18.324835,-88.118279,handheld,41,mangrove,"dwarf red mangrove, 6 in standing water (murky), sank 6 cores and were all short",lagoon,National Legislation,NA,healthy,25,34,Rhizophora mangle,66.83740604,52.05992446,9.403159498,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_1_5,2021,9,6,18.324621,-88.118217,handheld,129,mangrove,"patchy dwarf red mangrove, 6 in standing water",lagoon,National Legislation,NA,healthy,25,24,Rhizophora mangle,191.1620135,28.25707074,7.284153242,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_1_6,2021,9,6,18.324404,-88.118227,handheld,125,mangrove,"dwarf patchy red mangrove, 6 in standing water",lagoon,National Legislation,NA,healthy,NA,16,Rhizophora mangle,131.4822102,26.40920246,2.564126274,NA,NA,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_2_1,2021,9,6,18.339157,-88.106667,handheld,60,mangrove,"high tide, dwarf red & black mid, ankle deep water, algae on surface of sediments around 3-4mm",lagoon,National Legislation,NA,healthy,25,52,Avicennia germinans,21.45931507,16.25432263,21.0994354,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_2_2,2021,9,6,18.339243,-88.106869,handheld,58,mangrove,"denser red mangrove, lots of saplings, ankle deep water",lagoon,National Legislation,NA,healthy,20,71,Rhizophora mangle,113.7750741,103.0592666,72.69871608,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_2_3,2021,9,6,18.339325,-88.107092,handheld,52,mangrove,"mix of red and black, less dense area (sparse), ankle deep water",lagoon,National Legislation,NA,healthy,20,8,Avicennia germinans,57.53490851,47.99558463,5.732714215,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_2_4,2021,9,6,18.339418,-88.107297,handheld,68,mangrove,"sparse red and black mangrove, ankle deep water, algae on surface sediments",lagoon,National Legislation,NA,healthy,25,17,Rhizophora mangle,44.42118248,34.64157125,10.21249392,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_2_5,2021,9,6,18.339505,-88.107522,handheld,45,mangrove,"sparse red and black mangrove, ankle deep water, lots of curved roots on red (hurricane?)",lagoon,National Legislation,NA,healthy,23,49,Avicennia germinans,37.14029469,28.54746425,9.56804667,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Shipstern Lagoon,Shipstern Lagoon_2_6,2021,9,6,18.339577,-88.107774,handheld,47,mangrove,"very sparse mangrove, red (60%) and black (40%) mix",lagoon,National Legislation,NA,healthy,23,14,Avicennia germinans,48.78607846,39.00303691,7.337491305,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_1_1,2021,9,7,18.341585,-88.38512,handheld,224,mangrove,"forest mix of palms/marsh shrubs/mangroves, muddy with small pockests of water",riverine,National Legislation,NA,disturbed,8,4,Rhizophora mangle,638.2624003,99.49767285,16.39747963,mesohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_1_2,2021,9,7,18.341424,-88.384933,handheld,232,mangrove,"sparse red mangrove, bromeliad and shrubs, standing water 6 in",riverine,National Legislation,NA,disturbed,11,1,Rhizophora mangle,938.022128,172.7734705,0.33027604,mesohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_1_3,2021,9,7,18.341285,-88.384764,handheld,156,mangrove,"elevated, mostly palms and coconuts, no mangroves",riverine,National Legislation,NA,disturbed,12,0,Rhizophora mangle,245.8653103,103.9724719,0,mesohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_1_4,2021,9,7,18.341197,-88.384567,handheld,58,mangrove,"open canopy, mostly palm, no standing water, lots of palm leaves on the ground",riverine,National Legislation,NA,disturbed,15,0,Rhizophora mangle,62.64816624,62.64816624,0,mesohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_1_5,2021,9,7,18.340982,-88.384435,handheld,278,mangrove,"mix mangroves white and red, giant roots, lots of vines, open canopy, dense understory",riverine,National Legislation,NA,disturbed,15,9,Rhizophora mangle,779.142706,328.3495514,39.95836056,mesohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_1_6,2021,9,7,18.340789,-88.384322,handheld,178,mangrove,"mix red and white mangroves, dense understory, lots of roots, lots of vines, open canopy, trees a bit short but still tall, pockets of standing water 3 in",riverine,National Legislation,NA,disturbed,15,10,Rhizophora mangle,609.1769247,523.2417992,26.61558424,mesohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_2_1,2021,9,7,18.337675,-88.392519,handheld,272,mangrove,"15m from water's edge, large red mangroves at riverside ~25m height, thick understory, 6 in standing water, thick leaf litter",riverine,National Legislation,NA,disturbed,5,9,Rhizophora mangle,1243.893288,461.4623209,79.68582168,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_2_2,2021,9,7,18.341508,-88.387317,handheld,255,mangrove,"moved down river 20-30 m to find more mangroves, 75 cm core = rich peat",riverine,National Legislation,NA,disturbed,3,11,Rhizophora mangle,1057.939447,460.9797037,222.1096527,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,New River,New River_2_3,2021,9,7,18.34228,-88.385284,handheld,150,mangrove,"15m from edge, huge red mangroves, water over 50% dense red mangrove root, 10cm standing water",riverine,National Legislation,NA,disturbed,3,13,Rhizophora mangle,573.1606145,392.0104306,371.2857515,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_1_1,2021,9,9,16.936095,-88.244356,handheld,194,mangrove,"sparse canopy of black mangrove, low to medium stature, number of dead or dying trees, standing water approx 6 in, water is warm",lagoon,Protected,Gra Gra Lagoon National Park,degraded,35,46,Avicennia germinans,401.8541838,193.2253293,101.9920722,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_1_2,2021,9,9,16.936059,-88.244569,handheld,133,mangrove,"sparse mostly dead black mangrove, some with 25% leaf coverage, sediments covered with algae ~3mm",lagoon,Protected,Gra Gra Lagoon National Park,degraded,33,39,Avicennia germinans,245.1610362,167.8541025,65.71729421,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_1_3,2021,9,9,16.935988,-88.244787,handheld,185,mangrove,"sparse mangrove, healthier than previous site, mostly living tree 50% leaf cover, soil firm under foot, algae covering 3mm",lagoon,Protected,Gra Gra Lagoon National Park,degraded,30,38,Avicennia germinans,525.6626182,247.8192375,55.86852928,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_1_4,2021,9,9,16.935951,-88.245024,handheld,193,mangrove,"emerging from area of mostly dead trees, semi sparse, healthy looking mangroves, 20-25ft tall, firm under foot, water depth 3in, lots of saplings",lagoon,Protected,Gra Gra Lagoon National Park,degraded,34,53,Avicennia germinans,410.4189281,246.8578154,120.5015424,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_1_5,2021,9,9,16.935931,-88.245217,handheld,210,mangrove,"in the edge of degraded mangrove stand (healthy to the right degraded to the left), black mangrove 20-25ft tall, most 10ft, on degraded side the dead were ~15ft tall",lagoon,Protected,Gra Gra Lagoon National Park,degraded,34,58,Avicennia germinans,530.4190797,380.3354459,92.37011601,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_1_6,2021,9,9,16.935956,-88.245422,handheld,238,mangrove,"degraded black mangroves on the right, just beyond the plot, healthy in plot. Mix of red and black 30-45ft tall, no signs of stress",lagoon,Protected,Gra Gra Lagoon National Park,degraded,35,47,Avicennia germinans,594.2380596,304.1728641,76.61714956,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_2_1,2021,9,9,16.938988,-88.242735,handheld,215,mangrove,"** transect was every 20m instead of 25** dwarf mangroves, very dense, standing water to 6in depth",lagoon,Protected,Gra Gra Lagoon National Park,degraded,33,26,Rhizophora mangle,1155.69013,629.1142549,48.27951019,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_2_2,2021,9,9,16.93908,-88.242891,handheld,69,mangrove,"dense dwarf mangroves, 6in standing water",lagoon,Protected,Gra Gra Lagoon National Park,degraded,34,38,Rhizophora mangle,297.2817785,297.2817785,30.91590356,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_2_3,2021,9,9,16.939103,-88.243067,handheld,207,mangrove,"dense dwarf mangroves, 6in standing water, large dead trees",lagoon,Protected,Gra Gra Lagoon National Park,degraded,30,30,Rhizophora mangle,1073.631187,629.466484,39.79233608,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_2_4,2021,9,9,16.939055,-88.243254,handheld,49,mangrove,"shorter mangroves, 6 in standing water",lagoon,Protected,Gra Gra Lagoon National Park,degraded,30,31,Rhizophora mangle,259.2509579,259.2509579,64.381193,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_2_5,2021,9,9,16.939034,-88.243414,handheld,144.5,mangrove,"dense dwarf mangroves 1.5m, 6in standing water, some dead wood",lagoon,Protected,Gra Gra Lagoon National Park,degraded,32,26,Rhizophora mangle,937.7163539,712.5115389,41.16016585,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Gra Gra Lagoon,Gra Gra Lagoon_2_6,2021,9,9,16.939019,-88.243595,handheld,113,mangrove,"2-3m tall red mangroves, not as dense as last plot (bird)",lagoon,Protected,Gra Gra Lagoon National Park,degraded,31,22,Rhizophora mangle,814.401722,742.0118688,23.73289529,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_1_1,2021,9,10,16.643723,-88.164621,handheld,174,mangrove,"*All of both transects were full of trash* just beyond red mangroves into a huge mature ancient tree 15m tall, low lying non-mangrove vegetation",caye,Protected,South Water Caye Marine Reserve,disturbed,35,27,Avicennia germinans,878.5478676,574.9539348,302.4687957,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_1_2,2021,9,10,16.643679,-88.164457,handheld,136,mangrove,"white mangrove, above 10 in water, microplastic, chopped trees with chainsaw",caye,Protected,South Water Caye Marine Reserve,disturbed,35,29,Avicennia germinans,821.5240556,645.1962651,148.0191597,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_1_3,2021,9,10,16.643613,-88.164178,handheld,140,mangrove,"white mangroves, undergrowth, water 6in deep, lots of microplastics",caye,Protected,South Water Caye Marine Reserve,disturbed,28,49,Avicennia germinans,1018.726974,773.3607006,222.7122395,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_1_4,2021,9,10,16.643556,-88.164014,handheld,140,mangrove,"white mangroves 15m tall, some chopped wood, vegetation at the soil, water 6 in, soil firm",caye,Protected,South Water Caye Marine Reserve,disturbed,28,67,Avicennia germinans,686.5102527,567.1369562,229.6746474,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_1_5,2021,9,10,16.643416,-88.163693,handheld,145,mangrove,"white mangrove dwarf, soil vegetation, lots of trash, standing water 7 in",caye,Protected,South Water Caye Marine Reserve,disturbed,27,35,Avicennia germinans,824.9454619,599.4934701,162.779756,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_1_6,2021,9,10,16.643939,-88.164345,handheld,106,mangrove,"*located 25m to the north of P2* black mangrove, 15-20m tall, pile of dead wood, lots of cut mangroves, water 8 in deep",caye,Protected,South Water Caye Marine Reserve,disturbed,30,56,Avicennia germinans,617.9097357,612.55187,130.4699884,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_2_1,2021,9,10,16.644835,-88.16455,handheld,100,mangrove,"mix of red and black (60%black), sparse, standing water 3 in, fringing red mangroves to shoreline - did seagrass coring here",caye,Protected,South Water Caye Marine Reserve,disturbed,33,18,Avicennia germinans,581.0333022,581.0333022,90.40580643,mixoeuhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_2_2,2021,9,10,16.644791,-88.164332,handheld,79.5,mangrove,"denser mangroves, moslty black about 15-20ft tall, standing water",caye,Protected,South Water Caye Marine Reserve,disturbed,30,41,Laguncularia racemosa,553.2128267,553.2128267,139.5032103,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_2_3,2021,9,10,16.644709,-88.164128,handheld,70,mangrove,"tall black mangroves, some red mixed in, standing water 4 in",caye,Protected,South Water Caye Marine Reserve,disturbed,21,29,Laguncularia racemosa,477.0792628,477.0792628,210.6972512,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_2_4,2021,9,10,16.644587,-88.163938,handheld,90,mangrove,"many thin white mangroves with some ery large 30ft tall black mangrove trees, standing water, some red mixed in",caye,Protected,South Water Caye Marine Reserve,disturbed,28,53,Laguncularia racemosa,662.4725916,662.4725916,211.4316294,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_2_5,2021,9,10,16.644532,-88.163719,handheld,88,mangrove,"end of caye facing orcean, sparse black mangrove with fringing red to the edge, standing water, black trees very large, disturbed area",caye,Protected,South Water Caye Marine Reserve,disturbed,28,8,Avicennia germinans,530.2835,530.2835,32.67927662,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Channel Caye,Channel Caye_2_6,2021,9,10,16.644742,-88.163687,handheld,101,mangrove,"*located to the north of P5* black mangroves, mix of medium to small white trees, few red, standing water deeper than previous sites, pnuematophores at top",caye,Protected,South Water Caye Marine Reserve,disturbed,30,39,Laguncularia racemosa,604.8946146,604.8946146,124.8655341,polyhaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_1_1,2021,9,12,16.50698,-88.402406,handheld,110,mangrove,"massively disturbed site, filled up by dredging material, mostly red mangrove dwarf, water 2 in deep, couple bottonwood",riverine,National Legislation,NA,healthy,5,7,Rhizophora mangle,326.0861546,326.0861546,2.626544611,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_1_2,2021,9,12,16.506978,-88.402658,handheld,110,mangrove,"red mangroves, standing water at 3 in, taller trees about 5m, open canopy, dense roots, oxygen stress and leaves eaten by insects",riverine,National Legislation,NA,healthy,5,23,Rhizophora mangle,283.5076338,283.5076338,41.59142576,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_1_3,2021,9,12,16.506934,-88.402866,handheld,257,mangrove,"red mangroves, open canopy, shorter trees, dense roots, standing water 6 in, creek on west edge (cannot go further)",riverine,National Legislation,NA,healthy,5,19,Rhizophora mangle,967.3726863,282.0184116,37.11015247,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_1_4,2021,9,12,16.507177,-88.402589,handheld,110,mangrove,"*moved 25m north for a second 3-plot transect* dwarf red mangrove, standing water 2 in deep, some buttonwood, very muddy open water",riverine,National Legislation,NA,healthy,3,8,"Rhizophora mangle, Avicennia germinans",432.5855778,413.8773527,2.787692318,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_1_5,2021,9,12,16.507134,-88.402815,handheld,164,mangrove,"dwarf red, standing water about 8 in, open canopy",riverine,National Legislation,NA,healthy,5,28,Rhizophora mangle,562.724119,342.4653483,31.93389684,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_1_6,2021,9,12,16.507176,-88.402977,handheld,287,mangrove,"dwarf red, open canopy, 1.5ft standing water, trees very unhealthy",riverine,National Legislation,NA,healthy,5,29,Rhizophora mangle,1173.305016,249.2741921,62.29283242,oligohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_2_1,2021,9,12,16.510383,-88.424776,handheld,84,mangrove,"narrow fringe of medium mangrove, dwarf mangrove, mangrove savannah",riverine,National legislation,NA,healthy,16,22,Laguncularia racemosa,298.3747044,298.3747044,9.334643898,mesohaline,measurement,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_2_2,2021,9,12,16.510577,-88.424687,handheld,121,mangrove,"dwarf red with sparse white - other flora present (juncus, cuscuta)",riverine,National legislation,NA,healthy,NA,48,Rhizophora mangle,429.6363883,344.6654802,24.17498487,NA,NA,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_2_3,2021,9,12,16.51077,-88.424582,handheld,69,mangrove,"dwarf red with sparse white - other flora present (juncus, cuscuta)",riverine,National legislation,NA,healthy,NA,46,Rhizophora mangle,271.2109439,271.2109439,24.33740261,NA,NA,forested,circular,not obscured,field,TRUE,TRUE
Morrissette_et_al_2023,Big Creek,Big Creek_2_4,2021,9,12,16.510987,-88.424456,handheld,172,mangrove,"medium sized mangroves, epiphytes, less juncus present",riverine,National legislation,NA,healthy,NA,42,Rhizophora mangle,618.0643894,473.1480729,42.79176643,NA,NA,forested,circular,not obscured,field,TRUE,TRUE
