study_id,site_id,method_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,40,45,0.1868,0.629222,0.29702
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,45,50,0.18,0.626801,0.332201
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,116,121,0.6726,0.127003,0.003096
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,176,181,0.5384,0.132435,0.13910999999999998
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_2_mangrove,217,222,0.6662,0.111632,0
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,0,5,0.2392,0.536092,0.274439
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,5,10,0.1904,0.603422,0.291041
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,10,15,0.2306,0.6406499999999999,0.313458
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,15,20,0.2349,0.679479,0.34082
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,20,25,0.1661,0.7097580000000001,0.35701
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,25,30,0.2933,0.738359,0.37853000000000003
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,30,35,0.2038,0.66467,0.3917
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,35,40,0.1787,0.623047,0.3075
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,40,45,0.2077,0.563236,0.26709
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,45,50,0.1668,0.531858,0.260464
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_3_mangrove,72.5,77.5,0.4344,0.149266,0.056019
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,0,5,0.2216,0.569664,0.283256
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,5,10,0.2069,0.616567,0.309593
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,10,15,0.1989,0.620943,0.13836700000000002
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,15,20,0.2161,0.685068,0.34609
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,20,25,0.2001,0.6723480000000001,0.33305
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,25,30,0.2077,0.6145499999999999,0.29814
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,30,35,0.1711,0.605102,0.280037
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,35,40,0.1943,0.5537019999999999,0.25697
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,40,45,0.2015,0.604259,0.29078499999999996
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,45,50,0.2097,0.6456810000000001,0.318686
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_4_mangrove,72.5,77.5,0.7407,0.097545,0.029704
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,0,5,0.2397,0.45690800000000004,0.197181
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,5,10,0.1816,0.541555,0.25531
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,10,15,0.18,0.627778,0.293779
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,15,20,0.1974,0.624848,0.311768
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,20,25,0.2013,0.6415909999999999,0.298316
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,25,30,0.2098,0.626013,0.316943
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,30,35,0.183,0.631882,0.296987
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,35,40,0.1788,0.587082,0.275063
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,40,45,0.1892,0.545303,0.253542
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,45,50,0.2133,0.39777500000000005,0.185868
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_5_mangrove,72.5,77.5,0.7618,0.097232,0.02904
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,0,5,0.1884,0.601391,0.27450399999999997
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,5,10,0.1677,0.568997,0.26868
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,10,15,0.2014,0.651846,0.310562
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,15,20,0.2303,0.706563,0.34572400000000003
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,20,25,0.2019,0.6691330000000001,0.337671
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,25,30,0.2104,0.6890850000000001,0.33393700000000004
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,30,35,0.2211,0.695841,0.33467199999999997
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,35,40,0.223,0.55503,0.266658
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,40,45,0.1516,0.539236,0.250855
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,45,50,0.1828,0.594298,0.28202
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,64,69,0.7086,0.096206,0.028864
Morrissette_et_al_2023,Hicks Caye,single set of methods,Hicks Caye_1_6_mangrove,119,124,0.8848,0.077352,0.021165
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,0,5,0.1187,0.6802079999999999,0.32648000000000005
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,5,10,0.1909,0.679546,0.327422
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,10,15,0.1848,0.686199,0.32228
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,15,20,0.1888,0.670346,0.31394
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,20,25,0.1847,0.653255,0.32569699999999996
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,25,30,0.1729,0.591935,0.294222
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,30,35,0.1585,0.5929679999999999,0.28703
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,35,40,0.1904,0.5050330000000001,0.272036
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,40,45,0.2602,0.404719,0.064156
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,45,50,0.3249,0.281205,0.11431100000000001
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,66,71,0.4559,0.167113,0.06256
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,122,127,0.9316,0.055397,0.020110000000000003
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_1_mangrove,163,168,0.6693,0.102487,0.03673
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,0,5,0.1414,0.696787,0.347024
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,5,10,0.1841,0.6938219999999999,0.33021999999999996
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,10,15,0.2411,0.682474,0.32198
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,15,20,0.1803,0.6457609999999999,0.319249
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,20,25,0.2051,0.6369060000000001,0.30635
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,25,30,0.1781,0.619792,0.20707
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,30,35,0.1751,0.607962,0.244555
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,35,40,0.2117,0.615471,0.332948
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,40,45,0.1579,0.588695,0.378551
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,45,50,0.147,0.528227,0.267043
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,66,71,0.5077,0.11740199999999999,0.04335
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,122.5,127.5,0.9175,0.067266,0.02236
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_2_mangrove,167,172,1.1569,0.048173,0.01721
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,0,5,0.169,0.689516,0.34095
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,5,10,0.1567,0.630867,0.29952
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,10,15,0.1877,0.6178009999999999,0.29771000000000003
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,15,20,0.208,0.608067,0.29291
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,20,25,0.1716,0.612017,0.29923500000000003
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,25,30,0.1726,0.6224649999999999,0.305112
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,30,35,0.2162,0.628186,0.306758
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,35,40,0.2082,0.6332439999999999,0.312714
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,40,45,0.209,0.6260600000000001,0.296972
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,45,50,0.2084,0.634557,0.29996
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,72.5,77.5,0.1547,0.514468,0.22751000000000002
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,122.5,127.5,0.7953,0.074654,0.02673
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_3_mangrove,172.5,177.5,1.0764,0.059239,0.01794
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,0,5,0.1978,0.705851,0.334939
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,5,10,0.2249,0.685218,0.33874099999999996
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,10,15,0.1826,0.645,0.318257
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,15,20,0.1502,0.5796370000000001,0.27858
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,20,25,0.1805,0.602655,0.28418
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,25,30,0.2032,0.608754,0.299948
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,30,35,0.2317,0.646556,0.31376000000000004
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,35,40,0.2017,0.6465900000000001,0.317388
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,40,45,0.1717,0.620923,0.304386
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,45,50,0.2333,0.642605,0.276522
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,72.5,77.5,0.1524,0.54765,0.24547
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,122.5,127.5,0.8337,0.077912,0.0262
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_4_mangrove,172.5,177.5,0.838,0.064432,0.023409
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,0,5,0.1825,0.72289,0.35555
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,5,10,0.204,0.702663,0.346093
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,10,15,0.199,0.665699,0.324241
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,15,20,0.251,0.6606740000000001,0.32540199999999997
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,20,25,0.1991,0.63359,0.32335099999999994
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,25,30,0.248,0.627744,0.281987
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,30,35,0.2158,0.631787,0.308984
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,35,40,0.1887,0.639612,0.306938
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,40,45,0.2208,0.644898,0.317191
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,45,50,0.1679,0.620426,0.303777
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,72.5,77.5,0.2276,0.5499839999999999,0.26643
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,122.5,127.5,0.9472,0.072446,0.023799999999999998
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_5_mangrove,172.5,177.5,1.0353,0.055033000000000006,0.01664
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,0,5,0.1758,0.896809,0.34403
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,5,10,0.2429,0.678401,0.338301
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,10,15,0.219,0.688573,0.3417
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,15,20,0.2103,0.6756350000000001,0.341938
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,20,25,0.2299,0.6957460000000001,0.347897
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,25,30,0.2345,0.684587,0.341406
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,30,35,0.1779,0.635496,0.31214200000000003
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,35,40,0.1777,0.641345,0.313008
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,40,45,0.177,0.6232489999999999,0.307047
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,45,50,0.1854,0.619008,0.288283
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,72.5,77.5,0.1674,0.403395,0.18072
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_1_6_mangrove,122.5,127.5,0.9145,0.068504,0.02149
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,0,5,0.1979,0.42864800000000003,0.17702
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,5,10,0.1957,0.33542099999999997,0.13534000000000002
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,10,15,0.3386,0.272745,0.10371000000000001
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,15,20,0.3134,0.291918,0.11087
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,20,25,0.3977,0.2668,0.10189
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,25,30,0.3725,0.272426,0.11016999999999999
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,30,35,0.3093,0.272931,0.10733000000000001
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,35,40,0.3794,0.241417,0.09625
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,40,45,0.4032,0.201147,0.07913
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,45,50,0.4571,0.18594999999999998,0.07214999999999999
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,72,77,0.949,0.14581,0.052779999999999994
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,125,130,0.5529,0.057241,0.014570000000000001
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_1_mangrove,172.5,177.5,0.9291,0.047933,0.00999
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,0,5,0.1554,0.634482,0.313166
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,5,10,0.2073,0.534895,0.20724900000000002
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,10,15,0.2618,0.404833,0.17010999999999998
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,15,20,0.3018,0.34623600000000004,0.15132
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,20,25,0.33,0.313438,0.13314
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,25,30,0.3258,0.292821,0.12237999999999999
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,30,35,0.5428,0.141525,0.05229
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,35,40,0.6246,0.103689,0.03398
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,40,45,0.5517,0.132242,0.047880000000000006
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,45,50,0.5024,0.150854,0.059640000000000006
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,72.5,77.5,0.3593,0.223336,0.08557000000000001
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,115,120,0.8273,0.058559,0.01734
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_2_mangrove,162.5,167.5,0.94,0.046924,0.01546
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,0,5,0.1724,0.710925,0.33311100000000005
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,5,10,0.1649,0.644474,0.30557
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,10,15,0.1371,0.548896,0.369038
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,15,20,0.1465,0.600471,0.27758700000000003
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,20,25,0.1232,0.5768070000000001,0.25947600000000004
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,25,30,0.3674,0.226178,0.08590999999999999
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,30,35,0.369,0.22177499999999997,0.08102999999999999
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,35,40,0.5573,0.136943,0.049640000000000004
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,40,45,0.6667,0.105511,0.03453
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,45,50,0.8291,0.07456299999999999,0.02318
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,72,77,0.8406,0.10313499999999999,0.03325
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,115,120,0.6847,0.06665,0.01877
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_3_mangrove,177,182,0.963,0.049363000000000004,0.012582
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,0,5,0.155,0.688921,0.341113
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,5,10,0.1331,0.6410469999999999,0.284353
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,10,15,0.1448,0.5903459999999999,0.27438300000000004
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,15,20,0.1492,0.551687,0.248131
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,20,25,0.1486,0.508873,0.232663
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,25,30,0.1552,0.543347,0.252556
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,30,35,0.1576,0.579906,0.25392499999999996
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,35,40,0.1718,0.552631,0.259181
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,40,45,0.1779,0.5142289999999999,0.252308
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,45,50,0.1902,0.472132,0.241058
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,72.5,77.5,0.6392,0.171049,0.06559999999999999
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_4_mangrove,113,118,0.7316,0.084357,0.02817
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,5,10,0.1586,0.68316,0.31306
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,15,20,0.1491,0.627413,0.305017
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,20,25,0.1806,0.6475920000000001,0.288671
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,25,30,0.1708,0.666964,0.324739
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,30,35,0.18,0.657149,0.310006
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,35,40,0.1878,0.6803,0.31638
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,40,45,0.1886,0.646992,0.30696999999999997
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,45,50,0.1826,0.640021,0.29621
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,72.5,77.5,0.1462,0.552207,0.25865
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,92.5,97.5,0.4815,0.083231,0.02995
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,112.5,117.5,0.1529,0.505406,0.23373999999999998
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,122,127,0.1392,0.44402,0.19914
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_5_mangrove,172.5,177.5,0.633,0.434034,0.02757
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,0,5,0.1183,0.6539780000000001,0.3204
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,5,10,0.1589,0.66826700000000006,0.30987
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,10,15,0.2032,0.834405,0.33770000000000006
