No,Site,Sub-Plot,Site Plot,Latitude_original,lat_deg,lat_min,Latitude,Longitude_original,Long_deg,Long_min,Longitude
63,Salina,1,Salina 1,S00 37.952,0,37.952,-0.632533333,W046 38.224,46,38.224,-46.63706667
64,Salina,2,Salina 2,S00 37.964,0,37.964,-0.632733333,W046 38.232,46,38.232,-46.6372
65,Salina,3,Salina 3,S00 37.972,0,37.972,-0.632866667,W046 38.241,46,38.241,-46.63735
66,Salina,4,Salina 4,S00 37.984,0,37.984,-0.633066667,W046 38.250,46,38.25,-46.6375
67,Salina,5,Salina 5,S00 37.991,0,37.991,-0.633183333,W046 38.256,46,38.256,-46.6376
68,Salina,6,Salina 6,S00 38.007,0,38.007,-0.63345,W046 38.269,46,38.269,-46.63781667
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
