study_id,site_id,plot_id,latitude,longitude,field_or_manipulation_code,land_use_class,land_use_status,habitat
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,13.202544595221848,-88.32814867984379,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_3,13.202544595221848,-88.32814867984379,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_2,13.202544595221848,-88.32814867984379,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_1,13.202544595221848,-88.32814867984379,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,13.249280282257898,-88.77701022951307,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,13.249280282257898,-88.77701022951307,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_4,13.249280282257898,-88.77701022951307,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_3,13.249280282257898,-88.77701022951307,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_2,13.249280282257898,-88.77701022951307,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,13.249280282257898,-88.77701022951307,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,13.253780866694573,-88.78627945640167,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,13.253780866694573,-88.78627945640167,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_4,13.253780866694573,-88.78627945640167,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_3,13.253780866694573,-88.78627945640167,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_2,13.253780866694573,-88.78627945640167,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_1,13.253780866694573,-88.78627945640167,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_6,13.216425037256803,-88.45847120700725,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_5,13.216425037256803,-88.45847120700725,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_4,13.216425037256803,-88.45847120700725,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_3,13.216425037256803,-88.45847120700725,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_2,13.216425037256803,-88.45847120700725,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_1,13.216425037256803,-88.45847120700725,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_6,13.222649375363313,-88.45282895239485,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_5,13.222649375363313,-88.45282895239485,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_4,13.222649375363313,-88.45282895239485,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_3,13.222649375363313,-88.45282895239485,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_2,13.222649375363313,-88.45282895239485,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Mapaches-El_Chile,Los_Mapaches-El_Chile_24_1,13.222649375363313,-88.45282895239485,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_6,13.192148089259586,-88.39708878488749,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_5,13.192148089259586,-88.39708878488749,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_4,13.192148089259586,-88.39708878488749,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_3,13.192148089259586,-88.39708878488749,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_2,13.192148089259586,-88.39708878488749,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_1,13.192148089259586,-88.39708878488749,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_6,13.25777524858816,-88.5611707304826,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_5,13.25777524858816,-88.5611707304826,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_4,13.25777524858816,-88.5611707304826,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_3,13.25777524858816,-88.5611707304826,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_2,13.25777524858816,-88.5611707304826,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_1,13.25777524858816,-88.5611707304826,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_6,13.240579840183145,-88.56947923249115,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_5,13.240579840183145,-88.56947923249115,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_4,13.240579840183145,-88.56947923249115,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_3,13.240579840183145,-88.56947923249115,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_2,13.240579840183145,-88.56947923249115,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_27_1,13.240579840183145,-88.56947923249115,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_6,13.25838852729372,-88.81947537256227,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_5,13.25838852729372,-88.81947537256227,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_4,13.25838852729372,-88.81947537256227,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_3,13.25838852729372,-88.81947537256227,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_2,13.25838852729372,-88.81947537256227,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Lempa,Desembocadura_Río_Lempa_1_1,13.25838852729372,-88.81947537256227,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_6,13.26988873318014,-88.829697438107,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_5,13.26988873318014,-88.829697438107,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_4,13.26988873318014,-88.829697438107,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_3,13.26988873318014,-88.829697438107,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_2,13.26988873318014,-88.829697438107,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Curbinera,La_Curbinera_2_1,13.26988873318014,-88.829697438107,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_6,13.290139029224513,-88.85941098322873,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_5,13.290139029224513,-88.85941098322873,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_4,13.290139029224513,-88.85941098322873,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_3,13.290139029224513,-88.85941098322873,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_2,13.290139029224513,-88.85941098322873,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Rajado,El_Rajado_3_1,13.290139029224513,-88.85941098322873,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_(El_Chuflar)_4_6,NA,NA,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_(El_Chuflar)_4_5,NA,NA,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_(El_Chuflar)_4_4,NA,NA,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_(El_Chuflar)_4_3,NA,NA,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_(El_Chuflar)_4_2,NA,NA,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,Santa_Cruz_El_Chuflar,Santa_Cruz_(El_Chuflar)_4_1,NA,NA,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_6,13.296972558697199,-88.87336361287223,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_5,13.296972558697199,-88.87336361287223,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_4,13.296972558697199,-88.87336361287223,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_3,13.296972558697199,-88.87336361287223,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_2,13.296972558697199,-88.87336361287223,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Santo_Domingo,Santo_Domingo_5_1,13.296972558697199,-88.87336361287223,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_6,13.306055966759251,-88.8811135458455,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_5,13.306055966759251,-88.8811135458455,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_4,13.306055966759251,-88.8811135458455,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_3,13.306055966759251,-88.8811135458455,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_2,13.306055966759251,-88.8811135458455,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Espino,El_Espino_6_1,13.306055966759251,-88.8811135458455,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_6,13.334139958571113,-88.94430740618901,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_5,13.334139958571113,-88.94430740618901,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_4,13.334139958571113,-88.94430740618901,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_3,13.334139958571113,-88.94430740618901,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_2,13.334139958571113,-88.94430740618901,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Herradura,La_Herradura_7_1,13.334139958571113,-88.94430740618901,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Plan_de_la_Ceiba,El_Plan_de_la_Ceiba_8_6,13.286222168279906,-88.82980837402025,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Plan_de_la_Ceiba,El_Plan_de_la_Ceiba_8_5,13.286222168279906,-88.82980837402025,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Plan_de_la_Ceiba,El_Plan_de_la_Ceiba_8_4,13.286222168279906,-88.82980837402025,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Plan_de_la_Ceiba,El_Plan_de_la_Ceiba_8_3,13.286222168279906,-88.82980837402025,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Plan_de_la_Ceiba,El_Plan_de_la_Ceiba_8_2,13.286222168279906,-88.82980837402025,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Plan_de_la_Ceiba,El_Plan_de_la_Ceiba_8_1,13.286222168279906,-88.82980837402025,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,San_Antonio_Los_Blancos,San_Antonio_Los_Blancos_12_1,13.32530666005413,-88.95555744426943,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,San_Antonio_Los_Blancos,San_Antonio_Los_Blancos_12_2,13.32530666005413,-88.95555744426943,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,San_Antonio_Los_Blancos,San_Antonio_Los_Blancos_12_3,13.32530666005413,-88.95555744426943,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,San_Antonio_Los_Blancos,San_Antonio_Los_Blancos_12_4,13.32530666005413,-88.95555744426943,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,Punta_de_La_Barrita,Punta_de_La_Barrita_13_3,13.270388924217926,-88.85333616230449,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,Punta_de_La_Barrita,Punta_de_La_Barrita_13_4,13.270388924217926,-88.85333616230449,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,Punta_de_La_Barrita,Punta_de_La_Barrita_13_5,13.270388924217926,-88.85333616230449,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,Punta_de_La_Barrita,Punta_de_La_Barrita_13_6,13.270388924217926,-88.85333616230449,field,low disturbance,NA,marsh
Cifuentes_et_al_2024_ElSalvador,San_Sebastián_El_Chingo,San_Sebastián_El_Chingo_16_3,13.342278442231411,-88.89086322384209,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,San_Sebastián_El_Chingo,San_Sebastián_El_Chingo_16_4,13.342278442231411,-88.89086322384209,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,San_Sebastián_El_Chingo,San_Sebastián_El_Chingo_16_5,13.342278442231411,-88.89086322384209,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,San_Sebastián_El_Chingo,San_Sebastián_El_Chingo_16_6,13.342278442231411,-88.89086322384209,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Cañón_del_Bagre,El_Canón_del_Bagre_17_1,13.25972,-88.82673,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Cañón_del_Bagre,El_Canón_del_Bagre_17_3,13.25972,-88.82673,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Cañón_del_Bagre,El_Canón_del_Bagre_17_4,13.25972,-88.82673,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Cañón_del_Bagre,El_Canón_del_Bagre_17_5,13.25972,-88.82673,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Cañón_del_Bagre,El_Canón_del_Bagre_17_6,13.25972,-88.82673,field,restored,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Desembocadura_Río_Jalponga_Isla_El_Ranchón,Desembocadura_Río_Jalponga_(Isla_EL_Ranchón)_18_4,13.3442,-88.92136,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Matocho,El_Matocho_23_1,13.280111192559334,-88.85316944551337,field,cattle farm,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Matocho,El_Matocho_23_4,13.280111192559334,-88.85316944551337,field,cattle farm,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Aguacate,El_Aguacate_24_1,13.282388987693379,-88.8590027250846,field,farmed,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Aguacate,El_Aguacate_24_2,13.282388987693379,-88.8590027250846,field,farmed,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Aguacate,El_Aguacate_24_5,13.282388987693379,-88.8590027250846,field,farmed,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Aguacate,El_Aguacate_24_6,13.282388987693379,-88.8590027250846,field,farmed,NA,NA
Cifuentes_et_al_2024_ElSalvador,Boca_de_los_muchachos,Boca_de_los_muchachos_28_6,13.23563143034985,-88.44975400848834,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Boca_de_los_muchachos,Boca_de_los_muchachos_28_5,13.23563143034985,-88.44975400848834,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Boca_de_los_muchachos,Boca_de_los_muchachos_28_4,13.23563143034985,-88.44975400848834,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Boca_de_los_muchachos,Boca_de_los_muchachos_28_3,13.23563143034985,-88.44975400848834,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Boca_de_los_muchachos,Boca_de_los_muchachos_28_2,13.23563143034985,-88.44975400848834,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Boca_de_los_muchachos,Boca_de_los_muchachos_28_1,13.23563143034985,-88.44975400848834,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Lagartos,Los_Lagartos_29_6,13.248302088580042,-88.47361351395355,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Lagartos,Los_Lagartos_29_5,13.248302088580042,-88.47361351395355,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Lagartos,Los_Lagartos_29_4,13.248302088580042,-88.47361351395355,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Lagartos,Los_Lagartos_29_3,13.248302088580042,-88.47361351395355,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Lagartos,Los_Lagartos_29_2,13.248302088580042,-88.47361351395355,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Los_Lagartos,Los_Lagartos_29_1,13.248302088580042,-88.47361351395355,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Las_Tijeras,Las_Tijeras_30_6,13.232139550634036,-88.46898100236308,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Las_Tijeras,Las_Tijeras_30_5,13.232139550634036,-88.46898100236308,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Las_Tijeras,Las_Tijeras_30_4,13.232139550634036,-88.46898100236308,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Las_Tijeras,Las_Tijeras_30_3,13.232139550634036,-88.46898100236308,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Las_Tijeras,Las_Tijeras_30_2,13.232139550634036,-88.46898100236308,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,Las_Tijeras,Las_Tijeras_30_1,13.232139550634036,-88.46898100236308,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_6,13.28188504173968,-88.6942832189012,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_5,13.28188504173968,-88.6942832189012,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_4,13.28188504173968,-88.6942832189012,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_3,13.28188504173968,-88.6942832189012,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_2,13.28188504173968,-88.6942832189012,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_1,13.28188504173968,-88.6942832189012,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Cruz-Puerto_Parada,La_Cruz-Puerto_Parada_32_6,13.241326497528085,-88.44597614158431,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Cruz-Puerto_Parada,La_Cruz-Puerto_Parada_32_5,13.241326497528085,-88.44597614158431,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Cruz-Puerto_Parada,La_Cruz-Puerto_Parada_32_4,13.241326497528085,-88.44597614158431,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Cruz-Puerto_Parada,La_Cruz-Puerto_Parada_32_3,13.241326497528085,-88.44597614158431,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Cruz-Puerto_Parada,La_Cruz-Puerto_Parada_32_2,13.241326497528085,-88.44597614158431,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,La_Cruz-Puerto_Parada,La_Cruz-Puerto_Parada_32_1,13.241326497528085,-88.44597614158431,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Cocal,El_Cocal_9_6,13.35022,-89.00817,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Cocal,El_Cocal_9_5,13.35022,-89.00817,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Cocal,El_Cocal_9_4,13.35022,-89.00817,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Cocal,El_Cocal_9_3,13.35022,-89.00817,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Cocal,El_Cocal_9_2,13.35022,-89.00817,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Cocal,El_Cocal_9_1,13.35022,-89.00817,field,NA,NA,NA
Cifuentes_et_al_2024_ElSalvador,El_Resedo_Ánimas_abajo,El_Resedo_(Ánimas_abajo)_10_6,13.33200026326848,-88.84689134895433,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Resedo_Ánimas_abajo,El_Resedo_(Ánimas_abajo)_10_5,13.33200026326848,-88.84689134895433,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Resedo_Ánimas_abajo,El_Resedo_(Ánimas_abajo)_10_4,13.33200026326848,-88.84689134895433,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Resedo_Ánimas_abajo,El_Resedo_(Ánimas_abajo)_10_3,13.33200026326848,-88.84689134895433,field,low disturbance,NA,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Resedo_Ánimas_abajo,El_Resedo_(Ánimas_abajo)_10_2,13.33200026326848,-88.84689134895433,field,low disturbance,NA,mangrove
