study_id,site_id,plot_id,transect,subtransect_id,debris_transect_length,debris_diameter,debris_class,habitat
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,24.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,20.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,7.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,19.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,17.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,21,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,28.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,26.4,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,13.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_2,7,d,12,11.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,a,12,9.7,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,a,12,10.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,a,12,24.3,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,a,12,9.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,12,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,10.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,5,6.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,12,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,10.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,5,6.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,11.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,5,7.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,9.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,8.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,5,4.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,8.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,10.4,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,10,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,19.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,5,7.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,37.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,b,12,10.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,c,12,25,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,c,12,28.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,c,5,5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,c,12,17,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,c,12,22.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,c,12,15.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,c,12,12.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,d,12,11.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,d,12,11,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,d,5,3,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_3,7,d,12,16.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,a,12,11.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,a,12,12.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,b,5,6.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,b,12,17.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,b,12,11.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,b,12,23.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,c,12,26.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,c,12,7.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,d,12,10.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_4,7,d,5,7.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,a,12,7.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,a,12,15,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,b,5,7.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,b,12,7.6,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,b,12,10.4,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,b,12,16,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,c,12,11,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,c,12,12.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,c,12,11.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,c,12,16.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,d,5,4.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Llorón,El_Llorón_7_6,7,d,5,7.5,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,9,a,12,9.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,9,a,5,7.51,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,9,a,12,9,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_6,9,b,12,10.65,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_5,9,a,12,7.79,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_5,9,b,12,9.7,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_4,9,a,12,10.99,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_2,9,a,12,9.7,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Jobal,El_Jobal_9_2,9,b,5,6.17,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_6,18,a,12,22,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_6,18,a,5,5.2,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_5,18,a,5,7.5,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_5,18,a,12,8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_5,18,b,12,8.6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_3,18,a,12,10,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_3,18,b,5,5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_3,18,b,12,9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_2,18,a,12,17,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Arco_del_Espino,Arco_del_Espino_18_1,18,a,12,17.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,19,a,5,6.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,19,a,5,5.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,19,a,12,7.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,19,a,12,12.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,19,c,12,11.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,19,c,12,11,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_6,19,d,12,34,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,19,a,5,5.1,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,19,c,12,10.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,19,d,5,5.9,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,19,d,5,4,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_5,19,d,5,4.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,19,a,5,6,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,19,c,12,10.9,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,19,c,12,14.8,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,19,c,12,12.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_4,19,c,12,17,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_3,19,a,5,4.1,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_2,19,a,12,7.9,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_2,19,a,12,11,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_1,19,a,5,3.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_1,19,b,12,14.7,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_1,19,c,12,12.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Samuria,Samuria_19_1,19,d,12,40,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,a,12,11,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,b,12,7.6,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,c,5,7.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,c,12,8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,d,5,4.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,d,5,3.9,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,d,5,3.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,d,12,9.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,d,5,4.8,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_4,20,d,5,4.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_1,20,a,12,14.1,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_1,20,a,5,5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_1,20,a,5,3.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Piedra_Marcada,Piedra_Marcada_20_1,20,c,5,6,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,a,12,16.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,a,12,7.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,a,12,33.1,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,b,5,5.2,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,b,12,8.5,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,c,12,9.5,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,c,12,14.6,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,c,5,6.5,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,c,5,7.2,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,c,5,6,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,d,12,11.9,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,d,12,10,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,d,5,7.5,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_6,21,d,12,30,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,21,a,12,17.2,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,21,a,12,16.7,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,21,a,5,6,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,21,b,5,7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_5,21,c,12,38.1,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_4,21,a,12,19.6,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_3,21,a,12,11.3,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_3,21,b,12,9.1,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_3,21,c,5,6.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,21,a,12,15.7,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,21,b,12,12,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,21,c,12,11.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,21,c,12,21.8,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_21_1,21,c,5,6.8,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,5,4.97,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,12,7.85,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,5,4.1,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,5,2.96,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,5,3.99,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,5,5.55,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,5,2.95,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,12,15.3,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,5,5.52,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,a,12,15,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,b,12,33.1,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,b,12,17,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,b,12,7.64,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,b,5,4.64,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,b,5,3.18,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,c,5,5.01,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_6,22,d,5,3.58,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,22,a,12,17.31,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,22,a,12,29.4,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,22,b,12,15.31,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,22,c,12,13.47,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,22,c,12,13.3,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_5,22,d,12,18,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_4,22,a,12,20.5,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_4,22,a,12,30.7,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_3,22,a,12,8.8,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_3,22,b,12,60,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_2,22,a,5,6.99,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Montecristo,Montecristo_22_2,22,b,12,19.1,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_6,23,a,5,3.8,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Bordo_del_Chile,Bordo_del_Chile_23_5,23,a,5,4.2,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_3,25,a,5,4.56,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_1,25,a,12,13.45,rotten,mangrove
Cifuentes_et_al_2024_ElSalvador,Rincón_Grande,Rincón_Grande_25_1,25,b,5,5.86,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_4,26,a,5,6.9,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,Isla_Tortuga,Isla_Tortuga_26_4,26,b,5,7.3,intermediate,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_6,31,a,5,5.2,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_6,31,b,5,5.34,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_3,31,a,5,3.65,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_3,31,b,5,4.9,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_3,31,b,5,5.82,sound,mangrove
Cifuentes_et_al_2024_ElSalvador,El_Zamorancito,El_Zamorancito_31_3,31,b,5,3.47,sound,mangrove
