"study_id","bibliography_id","publication_type","bibtype","title","volume","issn","url","doi","number","journal","publisher","author","year","month","pages"
"Anisfeld_et_al_1999","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Azevedo_2015_unpublished","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Beasy_and_Ellison_2013","Beasy_and_Ellison_2013_article","associated source","Article","Comparison of Three Methods for the Quantification of Sediment Organic Carbon in Salt Marshes of the Rubicon Estuary, Tasmania, Australia","5","1916-9671","http://dx.doi.org/10.5539/ijb.v5n4p1","10.5539/ijb.v5n4p1","4","International Journal of Biology","Canadian Center of Science and Education","Kim M. Beasy and Joanna C. Ellison","2013","jul",NA
"Beasy_and_Ellison_2013","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Bryant_and_Chabreck_1998","Bryant_and_Chabreck_1998_article","associated source","Article","Effects of Impoundment on Vertical Accretion of Coastal Marsh","21","0160-8347","http://dx.doi.org/10.2307/1352840","10.2307/1352840","3","Estuaries","Springer Science and Business Media LLC","John C. Bryant and Robert H. Chabreck","1998","sep","416"
"Bryant_and_Chabreck_1998","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Bulmer_et_al_2020","Bulmer_et_al_2020_article","associated source","Article","Blue Carbon Stocks and Cross-Habitat Subsidies","7","2296-7745","http://dx.doi.org/10.3389/fmars.2020.00380","10.3389/fmars.2020.00380",NA,"Frontiers in Marine Science","Frontiers Media SA","Richard Hugh Bulmer and Fabrice Stephenson and Hannah F. E. Jones and Michael Townsend and Jenny R. Hillman and Luitgard Schwendenmann and Carolyn J. Lundquist","2020","jun",NA
"Bulmer_et_al_2020","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Bunzel_et_al_2019","Bunzel_et_al_2019_data","primary dataset","Misc","(Table A1) Organic carbon measurements for sediment sequences TB13-1, GeoHH-GIE, GeoHH-FK and GeoHH-KWK",NA,NA,"https://doi.pangaea.de/10.1594/PANGAEA.905218","10.1594/PANGAEA.905218",NA,NA,"PANGAEA","Dorothea Bunzel and Yvonne Milker and Katharina Müller-Navarra and Helge Wolfgang Arz and Jana Friedrich and Niko Lahajnar and Gerhard Schmiedl","2019",NA,NA
"Bunzel_et_al_2019","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Burke_et_al_2022","Burke_et_al_2022_article","associated source","Article","Dublin’s saltmarshes contain climate-relevant carbon pools","9","2296-7745","http://dx.doi.org/10.3389/fmars.2022.976457","10.3389/fmars.2022.976457",NA,"Frontiers in Marine Science","Frontiers Media SA","Shannon A. Burke and Jane Manahan and Elke Eichelmann and Grace M. Cott","2022","dec",NA
