"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","depth_interval_notes","delta_c13"
"Adame_et_al_2015","La Encrucijada","Encrucijada 2","single set of methods",0,15,0.3,NA,0.0917,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 2","single set of methods",15,30,0.3,NA,0.124,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 2","single set of methods",30,50,0.2,NA,0.2768,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 2","single set of methods",50,100,0.54,NA,0.0446,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 3","single set of methods",0,15,0.1,NA,0.1456,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 3","single set of methods",15,30,0.6,NA,0.023,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 3","single set of methods",30,50,0.62,NA,0.0475,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 3","single set of methods",50,100,0.7,NA,0.0317,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 4","single set of methods",0,15,0.14,NA,0.223,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 4","single set of methods",15,30,0.61,NA,0.0166,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 4","single set of methods",30,50,0.7,NA,0.050199999999999995,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 4","single set of methods",50,100,0.4,NA,0.0617,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 5","single set of methods",0,15,0.12,NA,0.2777,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 5","single set of methods",15,30,0.33,NA,0.0727,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 5","single set of methods",30,50,0.59,NA,0.1598,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 5","single set of methods",50,100,0.61,NA,0.0634,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 6","single set of methods",0,15,0.32,NA,0.1278,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 6","single set of methods",15,30,0.63,NA,0.0435,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 6","single set of methods",30,50,0.52,NA,0.115,NA,NA
"Adame_et_al_2015","La Encrucijada","Encrucijada 6","single set of methods",50,100,0.49,NA,0.0229,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 1","single set of methods",0,10,1.23,NA,0.01,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 1","single set of methods",15,30,1.21,NA,0.013999999999999999,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 1","single set of methods",30,50,1.08,NA,0.006999999999999999,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 1","single set of methods",50,100,1.23,NA,0.005,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 2","single set of methods",0,15,0.71,NA,0.012,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 2","single set of methods",15,30,1.34,NA,0.013999999999999999,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 2","single set of methods",30,50,1.2,NA,0.008,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 2","single set of methods",50,100,1.47,NA,0.006,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 3","single set of methods",0,15,1.2,NA,0.016,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 3","single set of methods",15,30,1.18,NA,0.015,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 3","single set of methods",80,100,1.11,NA,0.006,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 4","single set of methods",0,15,1.31,NA,0.012,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 4","single set of methods",15,30,1.56,NA,0.01,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 4","single set of methods",30,50,1.43,NA,0.005,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 4","single set of methods",80,100,1.25,NA,0.006,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 5","single set of methods",0,15,0.57,NA,0.046,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 5","single set of methods",15,30,1.27,NA,0.043,NA,NA
"Adame_et_al_2020","Insulator Creek","Plot 5","single set of methods",30,50,1.47,NA,0.006,NA,NA
"Adame_et_al_2021","Arco","Arco 10m","single set of methods",0,15,0.52,NA,0.15560000000000002,NA,NA
"Adame_et_al_2021","Arco","Arco 10m","single set of methods",15,30,0.64,NA,0.109,NA,NA
"Adame_et_al_2021","Arco","Arco 10m","single set of methods",30,50,0.96,NA,0.0834,NA,NA
"Adame_et_al_2021","Arco","Arco 10m","single set of methods",50,100,1.27,NA,0.026000000000000002,NA,NA
"Adame_et_al_2021","Arco","Arco 30m","single set of methods",0,15,0.52,NA,0.145,NA,NA
"Adame_et_al_2021","Arco","Arco 30m","single set of methods",15,30,0.88,NA,0.0467,NA,NA
"Adame_et_al_2021","Arco","Arco 30m","single set of methods",30,50,1.12,NA,0.11199999999999999,NA,NA
"Adame_et_al_2021","Arco","Arco 30m","single set of methods",50,100,1.32,NA,0.0748,NA,NA
"Adame_et_al_2021","Arco","Arco 50m","single set of methods",0,15,0.35,NA,0.0655,NA,NA
"Adame_et_al_2021","Arco","Arco 50m","single set of methods",15,30,0.57,NA,0.036699999999999997,NA,NA
"Adame_et_al_2021","Arco","Arco 50m","single set of methods",30,50,1.02,NA,0.023700000000000002,NA,NA
"Adame_et_al_2021","Arco","Arco 50m","single set of methods",50,100,1.53,NA,0.011200000000000002,NA,NA
"Adame_et_al_2021","Arco","Arco 70m","single set of methods",0,15,0.5,NA,0.032400000000000005,NA,NA
"Adame_et_al_2021","Arco","Arco 70m","single set of methods",15,30,0.7,NA,0.026000000000000002,NA,NA
"Adame_et_al_2021","Arco","Arco 70m","single set of methods",30,50,1.29,NA,0.0125,NA,NA
"Adame_et_al_2021","Arco","Arco 70m","single set of methods",50,100,1.94,NA,0.008199999999999999,NA,NA
"Adame_et_al_2021","Arco","Arco 90m","single set of methods",0,15,0.79,NA,0.0401,NA,NA
"Adame_et_al_2021","Arco","Arco 90m","single set of methods",15,30,0.87,NA,0.0168,NA,NA
"Adame_et_al_2021","Arco","Arco 90m","single set of methods",30,50,1.12,NA,0.011200000000000002,NA,NA
"Adame_et_al_2021","Arco","Arco 90m","single set of methods",50,100,2.32,NA,0.0134,NA,NA
"Adame_et_al_2021","Chapala","Chapala 10m","single set of methods",0,15,0.29,NA,0.1026,NA,NA
"Adame_et_al_2021","Chapala","Chapala 10m","single set of methods",15,30,0.49,NA,0.06269999999999999,NA,NA
"Adame_et_al_2021","Chapala","Chapala 10m","single set of methods",30,50,0.82,NA,0.0275,NA,NA
"Adame_et_al_2021","Chapala","Chapala 10m","single set of methods",50,100,0.87,NA,0.0256,NA,NA
"Adame_et_al_2021","Chapala","Chapala 30m","single set of methods",0,15,0.35,NA,0.08689999999999999,NA,NA
"Adame_et_al_2021","Chapala","Chapala 30m","single set of methods",15,30,0.5,NA,0.0753,NA,NA
"Adame_et_al_2021","Chapala","Chapala 30m","single set of methods",30,50,0.82,NA,0.0282,NA,NA
"Adame_et_al_2021","Chapala","Chapala 30m","single set of methods",50,100,1.02,NA,0.0225,NA,NA
"Adame_et_al_2021","Chapala","Chapala 50m","single set of methods",0,15,0.36,NA,0.0848,NA,NA
"Adame_et_al_2021","Chapala","Chapala 50m","single set of methods",15,30,0.42,NA,0.0622,NA,NA
"Adame_et_al_2021","Chapala","Chapala 50m","single set of methods",30,50,0.6,NA,0.0304,NA,NA
"Adame_et_al_2021","Chapala","Chapala 50m","single set of methods",50,100,0.7,NA,0.0479,NA,NA
"Adame_et_al_2021","Chapala","Chapala 70m","single set of methods",0,15,0.26,NA,0.1195,NA,NA
"Adame_et_al_2021","Chapala","Chapala 70m","single set of methods",15,30,0.25,NA,0.09380000000000001,NA,NA
"Adame_et_al_2021","Chapala","Chapala 70m","single set of methods",30,50,0.67,NA,0.0649,NA,NA
"Adame_et_al_2021","Chapala","Chapala 70m","single set of methods",50,100,1.34,NA,0.0066,NA,NA
"Adame_et_al_2021","Chapala","Chapala 90m","single set of methods",0,15,0.23,NA,0.1533,NA,NA
"Adame_et_al_2021","Chapala","Chapala 90m","single set of methods",15,30,0.53,NA,0.0484,NA,NA
"Adame_et_al_2021","Chapala","Chapala 90m","single set of methods",30,50,0.61,NA,0.1399,NA,NA
"Adame_et_al_2021","Chapala","Chapala 90m","single set of methods",50,100,0.79,NA,0.0394,NA,NA
"Adame_et_al_2021","Kenton","Kenton 10m","single set of methods",0,15,0.52,NA,0.0643,NA,NA
"Adame_et_al_2021","Kenton","Kenton 10m","single set of methods",15,30,0.64,NA,0.030899999999999997,NA,NA
"Adame_et_al_2021","Kenton","Kenton 10m","single set of methods",30,50,0.96,NA,0.038599999999999995,NA,NA
"Adame_et_al_2021","Kenton","Kenton 10m","single set of methods",50,100,1.27,NA,0.004699999999999999,NA,NA
"Adame_et_al_2021","Kenton","Kenton 30m","single set of methods",0,15,0.52,NA,0.0382,NA,NA
"Adame_et_al_2021","Kenton","Kenton 30m","single set of methods",15,30,0.88,NA,0.0241,NA,NA
"Adame_et_al_2021","Kenton","Kenton 30m","single set of methods",30,50,1.12,NA,0.0248,NA,NA
"Adame_et_al_2021","Kenton","Kenton 30m","single set of methods",50,100,1.32,NA,0.006999999999999999,NA,NA
"Adame_et_al_2021","Kenton","Kenton 50m","single set of methods",0,15,0.35,NA,0.0696,NA,NA
"Adame_et_al_2021","Kenton","Kenton 50m","single set of methods",15,30,0.57,NA,0.0338,NA,NA
"Adame_et_al_2021","Kenton","Kenton 50m","single set of methods",30,50,1.02,NA,0.025099999999999997,NA,NA
"Adame_et_al_2021","Kenton","Kenton 50m","single set of methods",50,100,1.53,NA,0.0058,NA,NA
"Adame_et_al_2021","Kenton","Kenton 70m","single set of methods",0,15,0.5,NA,0.0392,NA,NA
"Adame_et_al_2021","Kenton","Kenton 70m","single set of methods",15,30,0.7,NA,0.0302,NA,NA
"Adame_et_al_2021","Kenton","Kenton 70m","single set of methods",30,50,1.29,NA,0.0084,NA,NA
"Adame_et_al_2021","Kenton","Kenton 70m","single set of methods",50,100,1.94,NA,0.0015,NA,NA
"Adame_et_al_2021","Kenton","Kenton 90m","single set of methods",0,15,0.79,NA,0.0356,NA,NA
"Adame_et_al_2021","Kenton","Kenton 90m","single set of methods",15,30,0.87,NA,0.022400000000000003,NA,NA
"Adame_et_al_2021","Kenton","Kenton 90m","single set of methods",30,50,1.12,NA,0.0213,NA,NA
"Adame_et_al_2021","Kenton","Kenton 90m","single set of methods",50,100,2.32,NA,0.0022,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",0,2,0.1854628,NA,0.18527629999999998,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",2,4,0.1802257,NA,0.1771356,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",4,6,0.1509458,NA,0.1851739,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",6,8,0.1866879,NA,0.1552048,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",8,10,0.2103301,NA,0.1357391,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",10,14.000000000000002,0.1929933,NA,0.12436180000000001,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",14.000000000000002,16,0.2069974,NA,0.1356236,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",16,18,0.1776304,NA,0.14607900000000001,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",18,20,0.1819792,NA,0.1993912,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",20,24,0.2200611,NA,0.17345649999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_BF1_rest","ANF99_BF1_rest","single set of methods",24,26,0.347295,NA,0.1192202,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",0,2,0.1937046,NA,0.1391763,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",2,4,0.2058111,NA,0.1237471,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",4,6,0.2324455,NA,0.12126239999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",6,10,0.2082325,NA,0.1106915,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",10,12,0.251816,NA,0.11548870000000001,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",12,14.000000000000002,0.2566586,NA,0.1049178,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",14.000000000000002,16,0.2445521,NA,0.09839003,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",16,20,0.1937046,NA,0.12097469999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_BF2_rest","ANF99_BF2_rest","single set of methods",20,22,0.1815981,NA,0.1702416,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",0,2,0.2331731,NA,0.1252423,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",2,4,0.3197115,NA,0.1252946,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",4,6,0.3076923,NA,0.10835279999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",6,8,0.3293269,NA,0.07443876,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",8,10,0.34375,NA,0.09631944,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",10,12,0.3269231,NA,0.080195,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",12,14.000000000000002,0.2836539,NA,0.07377399,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",14.000000000000002,16,0.3774039,NA,0.06169265,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",16,18,0.4038461,NA,0.05526947,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",18,20,0.4182692,NA,0.07149416,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",20,22,0.3629808,NA,0.08287369,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",22,26,0.3461539,NA,0.09020792999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_ET1_ref","ANF99_ET1_ref","single set of methods",26,30,0.3774039,NA,0.06762762,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",0,2,0.2536159,NA,0.1580645,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",2,4,0.4252175,NA,0.1612903,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",4,6,0.3407119,NA,0.166129,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",6,7.000000000000001,0.4616417,NA,0.1612903,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",7.000000000000001,8,0.3023098,NA,0.16290320000000003,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",8,10,0.3724686,NA,0.18709679999999998,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",10,12,0.2590711,NA,0.19354839999999998,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",12,14.000000000000002,0.2132943,NA,0.1846774,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",14.000000000000002,16,0.1868586,NA,0.2145161,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",16,18,0.2014679,NA,0.23548390000000002,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",18,20,0.2402434,NA,0.2274194,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",20,22,0.254882,NA,0.2193548,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",22,24,0.33958,NA,0.2016129,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",24,28.000000000000004,0.3179927,NA,0.1798387,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",28.000000000000004,30,0.2336097,NA,0.19193549999999998,NA,NA
"Anisfeld_et_al_1999","ANF99_ET2_ref","ANF99_ET2_ref","single set of methods",30,32,0.2506695,NA,0.1887097,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",0,2,0.2729161,NA,0.1394,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",2,4,0.2196421,NA,0.1759,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",4,6,0.2775194,NA,0.1451,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",6,7.000000000000001,0.2484349,NA,0.16140000000000002,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",7.000000000000001,9,0.2241871,NA,0.13949999999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",9,10,0.2434173,NA,0.129,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",10,12,0.3351167,NA,0.1047,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",12,14.000000000000002,0.3036284,NA,0.1137,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",14.000000000000002,15,0.3180277,NA,0.1105,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",15,17,0.4097154,NA,0.08779999999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",17,19,0.2284229,NA,0.09519999999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",19,21,0.4456671,NA,0.07980000000000001,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",24,26,0.4139862,NA,0.10099999999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",26,27,0.370409,NA,0.0978,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",27,28.000000000000004,0.3485708,NA,0.0857,NA,NA
"Anisfeld_et_al_1999","ANF99_HD1_ref","ANF99_HD1_ref","single set of methods",28.000000000000004,30,0.3291598,NA,0.0906,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",0,2,0.2554217,NA,0.1560322,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",2,4,0.2746988,NA,0.2155496,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",4,6,0.2048193,NA,0.1873995,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",6,8,0.286747,NA,0.1536193,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",8,10,0.1975904,NA,0.1504021,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",10,12,0.2409639,NA,0.1319035,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",12,14.000000000000002,0.3036145,NA,0.1150134,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",14.000000000000002,18,0.2506024,NA,0.1142091,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",18,20,0.2963856,NA,0.09088471000000001,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",20,22,0.286747,NA,0.1101877,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",22,24,0.3012048,NA,0.10616619999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",24,26,0.3855421,NA,0.09731903000000001,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",26,28.000000000000004,0.3084337,NA,0.1142091,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",28.000000000000004,30,0.3180723,NA,0.1142091,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",30,34,0.3879518,NA,0.08364611999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",34,36,0.2578313,NA,0.10375329999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",36,38,0.2722892,NA,0.09410188,NA,NA
"Anisfeld_et_al_1999","ANF99_HD2_ref","ANF99_HD2_ref","single set of methods",38,40,0.2819277,NA,0.08766756,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",0,2,0.3195122,NA,0.1265885,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",2,4,0.2829268,NA,0.15931689999999998,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",4,6,0.2878049,NA,0.1274861,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",6,8,0.2219512,NA,0.13407460000000002,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",8,10,0.2243902,NA,0.10551119999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",10,12,0.2414634,NA,0.09248125,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",12,14.000000000000002,0.2682927,NA,0.07863167,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",14.000000000000002,16,0.4829268,NA,0.06478431999999999,NA,NA
"Anisfeld_et_al_1999","ANF99_HD3_ref","ANF99_HD3_ref","single set of methods",16,18,0.3536585,NA,0.07219020999999999,NA,NA
