study_id,fraction_carbon_type,carbon_profile_notes
Duncan_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Dung_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Dutta_et_al_2013,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Eid_and_Shaltout_2016_Egypt,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Eid_et_al_2016_Saudi_Arabia,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Ezcurra_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Ferreira_et_al_2007,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Frith_et_al_1976,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Frusher_et_al_1994,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Fujimoto_et_al_1999,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Gevana_and_Pampolina_2009,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Giani_et_al_1996,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Gillis_et_al_2017,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Gleason_and_Ewel_2002,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Gomes_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Gonneea_et_al_2004,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
He_et_al_2002,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Howe_et_al_2009,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Hu_et_al_2010,unknown,"uses OC data if reported, otherwise used 0.5*LOI data"
Jennerjahn_and_Ittekkot_1997,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Jennerjahn_and_Ittekkot_2002,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Jones_et_al_2016,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Kao_et_al_2002,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Kauffman_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Kauffmann_et_al_2011,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Kauffmann_et_al_2014,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Kazungu_1996,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Kelleway_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Keuskamp_et_al_2013,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Khan_et_al_2007,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Kristensen_et_al_1992,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Kristensen_et_al_2000,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Lacerda_et_al_1995,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Lallier-Verges_et_al_1998,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Lang'at_et_al_2014,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Lee_and_Baker_1972,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Leopold_et_al_2013,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Liu_2005,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Liu_et_al_2008,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Liu_et_al_2014,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Livesley_and_Andrusiak_2012,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Loi_and_Ni_2015,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Lovelock_et_al_2010,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Lunstrem_and_Chen_2014,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
MacKenzie_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Mao_et_al_2011,unknown,"uses OC data if reported, otherwise used 0.5*LOI data"
Mao_et_al_2012,unknown,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchand_et_al_2003,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchand_et_al_2004,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
"Marchand_et_al_2004,_Marchand_et_al_2003",organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Marchio_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Matsui_1998,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
McFadden_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Mckee_et_al_2002,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Mfilinge_et_al_2002,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Middelburg_et_al_1996,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Moreno_and_Calderon_2011,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Murdiyarso_et_al_2015,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
MX_edaf_puntos,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
MX_perfilv12,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
Naidoo_1980,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Naidoo_and_Raiman_1982,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Nam_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
NCSS,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
Nsombo_et_al_2016,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Osland_et_al_2012,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Otero_et_al_2009,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Owers_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Pazi_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Penha-Lopes_et_al_2009,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Phang_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
RadamBrasil,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
Ranjan_2010,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Ren_et_al_2008,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
"S._Gress_Unpublished,_Gress_et_al_2016",total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sahu_et_al_2016,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Saintilan_et_al_2013,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sanders_et_al_2008,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sanders_et_al_2010_ECSS,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sanders_et_al_2010_EES,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sanders_et_al_2012_MER,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sanders_et_al_2014,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sanders_et_al_2015,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sanders_et_al_2016_JGR_Biogeoscience,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Sitoe_et_al_2014,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Smoak_et_al_2013,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Stringer_et_al_2015,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Szczygielski_et_al_2015,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Tam_and_Wong_1998,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Thimdee_et_al_2003,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Thompson_et_al_2014,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Tue_et_al_2014,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Twilley_et_al_1997,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Upkong_1997,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Vasconcelos_et_al_2014,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Wang_et_al_2013,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
WISE,NA,"uses OC data if reported, otherwise used 0.5*LOI data"
Woodroffe_1985,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Wooller_et_al_2003,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Xia_et_al_2015,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Xu_et_al_2012,unknown,"uses OC data if reported, otherwise used 0.5*LOI data"
Yando_et_al_2016,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Yang_et_al_2013,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Yuan_et_al_2014,total carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
Zhang_and_Lin_1998,"NA","uses OC data if reported, otherwise used 0.5*LOI data"
Zhang_et_al_2012,organic carbon,"uses OC data if reported, otherwise used 0.5*LOI data"
