study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,age,age_se
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,10,11,0.656,NA,0.0608,0,0,disintegrationsPerMinutePerGram,0.7938,0.0664,1.0008,0.0639,disintegrationsPerMinutePerGram,0.2071,0.0181,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1980.7,4.4
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,11,12,0.3053,NA,NA,0,0,disintegrationsPerMinutePerGram,1.5342,0.1263,1.8971,0.1208,disintegrationsPerMinutePerGram,0.3629,0.0368,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1976.3,5.1
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,12,13,0.6779,0.164744,0.1013,0,0,disintegrationsPerMinutePerGram,0.5714,0.0567,0.7916,0.0541,disintegrationsPerMinutePerGram,0.2202,0.0172,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1972.1,5.8
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,13,14,0.4631,NA,NA,0,0,disintegrationsPerMinutePerGram,0.5893,0.0747,0.7823,0.0718,disintegrationsPerMinutePerGram,0.1929,0.0206,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1968.8,6.4
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,14,15,0.6966,NA,0.058899999999999994,0,0,disintegrationsPerMinutePerGram,0.7934,0.0712,0.9514,0.0685,disintegrationsPerMinutePerGram,0.158,0.0193,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1960.7,8.3
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,15,16,0.6939,NA,NA,0,0,disintegrationsPerMinutePerGram,0.5024,0.0622,0.6984,0.06,disintegrationsPerMinutePerGram,0.196,0.0163,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1954.4,10.1
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,16,17,0.8481,0.065883,0.035,0,0,disintegrationsPerMinutePerGram,0.3894,0.0473,0.5583,0.0449,disintegrationsPerMinutePerGram,0.1689,0.0147,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1947,12.8
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,17,18,0.849,NA,NA,0,0,disintegrationsPerMinutePerGram,0.3977,0.0491,0.595,0.0471,disintegrationsPerMinutePerGram,0.1973,0.014,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1937,17.6
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,18,19,0.8291,NA,0.0301,0,0,disintegrationsPerMinutePerGram,0.2848,0.0491,0.4649,0.047,disintegrationsPerMinutePerGram,0.1802,0.0144,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1927.6,23.7
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,19,20,0.7339,NA,NA,0,0,disintegrationsPerMinutePerGram,0.1866,0.0563,0.3483,0.0536,disintegrationsPerMinutePerGram,0.1617,0.0173,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1920.5,29.7
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,20,21,1.0143,0.050233,0.0315,0,0,disintegrationsPerMinutePerGram,0.2553,0.0344,0.425,0.0331,disintegrationsPerMinutePerGram,0.1697,0.0095,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,21,22,0.9573,NA,NA,0,0,disintegrationsPerMinutePerGram,0.1179,0.0294,0.2726,0.0278,disintegrationsPerMinutePerGram,0.1547,0.0096,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,22,23,0.9071,NA,0.018000000000000002,0,0,disintegrationsPerMinutePerGram,0.078,0.0326,0.2681,0.0308,disintegrationsPerMinutePerGram,0.1901,0.0107,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,Fort de Soto,FL_FDS,pvc_and_hammer,23,24,0.9254,NA,NA,0,0,disintegrationsPerMinutePerGram,0.1235,0.0417,0.3084,0.0398,disintegrationsPerMinutePerGram,0.185,0.0124,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,0,1,0.0742,0.725481,0.35100000000000003,0,0,disintegrationsPerMinutePerGram,7.3658,0.5193,8.9149,0.4912,disintegrationsPerMinutePerGram,1.5491,0.1685,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2014.2,1.4
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,1,2,0.1072,NA,NA,0,0,disintegrationsPerMinutePerGram,8.4329,0.4826,9.812,0.4651,disintegrationsPerMinutePerGram,1.3791,0.1287,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2012.1,1.5
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,2,3,0.1117,NA,0.3348,0,0,disintegrationsPerMinutePerGram,6.9944,0.4211,8.4471,0.4038,disintegrationsPerMinutePerGram,1.4527,0.1194,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2010.1,1.6
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,3,4,0.1237,NA,NA,0,0,disintegrationsPerMinutePerGram,8.8235,0.5202,10.1143,0.5047,disintegrationsPerMinutePerGram,1.2908,0.126,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2007.1,1.7
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,4,5,0.1105,0.660388,0.3246,0,0,disintegrationsPerMinutePerGram,8.5832,0.4964,9.7929,0.4799,disintegrationsPerMinutePerGram,1.2098,0.127,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2004.2,1.9
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,5,6,0.1291,NA,NA,0,0,disintegrationsPerMinutePerGram,6.4536,0.4355,7.5838,0.4148,disintegrationsPerMinutePerGram,1.1301,0.1325,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2001.5,2
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,6,7,0.1243,NA,0.3178,0,0,disintegrationsPerMinutePerGram,7.1428,0.4639,8.6589,0.4433,disintegrationsPerMinutePerGram,1.5161,0.1366,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1998.3,2.2
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,7,8,0.14,NA,NA,0,0,disintegrationsPerMinutePerGram,7.2874,0.4511,8.7095,0.4303,disintegrationsPerMinutePerGram,1.4222,0.1354,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1994.2,2.5
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,8,9,0.1678,0.461542,0.262,0,0,disintegrationsPerMinutePerGram,5.0533,0.3736,5.9559,0.3585,disintegrationsPerMinutePerGram,0.9025,0.105,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1990.3,2.8
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,9,10,0.1797,NA,NA,0,0,disintegrationsPerMinutePerGram,5.7893,0.3905,6.6541,0.3786,disintegrationsPerMinutePerGram,0.8648,0.0954,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1984.8,3.3
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,10,11,0.1977,NA,0.2057,0,0,disintegrationsPerMinutePerGram,4.1743,0.2807,4.9922,0.2686,disintegrationsPerMinutePerGram,0.8179,0.0815,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1979.7,3.8
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,11,12,0.1428,NA,NA,0,0,disintegrationsPerMinutePerGram,5.4619,0.3635,6.3259,0.3511,disintegrationsPerMinutePerGram,0.864,0.0943,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1973.9,4.6
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,12,13,0.1474,0.430931,0.2225,0,0,disintegrationsPerMinutePerGram,4.3106,0.2609,5.2835,0.2494,disintegrationsPerMinutePerGram,0.9729,0.0766,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1968.3,5.5
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,13,14,0.205,NA,NA,0,0,disintegrationsPerMinutePerGram,2.9565,0.1846,3.8977,0.1746,disintegrationsPerMinutePerGram,0.9412,0.0599,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1961.8,6.7
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,14,15,0.1918,NA,NA,0,0,disintegrationsPerMinutePerGram,2.1982,0.1719,2.8037,0.1626,disintegrationsPerMinutePerGram,0.6055,0.0558,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1956.4,7.9
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,15,16,0.2496,0.244986,0.1632,0,0,disintegrationsPerMinutePerGram,1.8927,0.1352,2.5862,0.1278,disintegrationsPerMinutePerGram,0.6936,0.0442,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1949,9.9
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,16,17,0.5833,NA,0.0454,0,0,disintegrationsPerMinutePerGram,0.8539,0.0836,1.4463,0.0788,disintegrationsPerMinutePerGram,0.5924,0.0278,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,17,18,0.8093,0.048487,0.0174,0,0,disintegrationsPerMinutePerGram,0.4837,0.0575,1.0859,0.0532,disintegrationsPerMinutePerGram,0.6022,0.0217,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,18,19,0.9021,NA,0.0108,0,0,disintegrationsPerMinutePerGram,0.4698,0.0562,1.1047,0.0525,disintegrationsPerMinutePerGram,0.635,0.0201,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,19,20,1.1253,0.024717,0.0078000000000000005,0,0,disintegrationsPerMinutePerGram,0.2753,0.0581,1.0636,0.0544,disintegrationsPerMinutePerGram,0.7883,0.0204,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSA,pvc_and_hammer,20,21,0.8139,NA,0.0113,0,0,disintegrationsPerMinutePerGram,0.2516,0.0706,1.1431,0.0655,disintegrationsPerMinutePerGram,0.8915,0.0264,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,0,1,0.0244,NA,NA,0,0,disintegrationsPerMinutePerGram,6.1719,0.9151,8.6265,0.867,disintegrationsPerMinutePerGram,2.4546,0.2928,disintegrationsPerMinutePerGram,NA,18.4,3.07,disintegrationsPerMinutePerGram,2013.7,1.7
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,1,2,0.1405,0.501165,0.23870000000000002,0,0,disintegrationsPerMinutePerGram,6.6745,0.4453,8.2217,0.43,disintegrationsPerMinutePerGram,1.5472,0.1159,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2011.4,1.8
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,2,3,0.1379,NA,NA,0,0,disintegrationsPerMinutePerGram,7.1968,0.4118,8.6114,0.3944,disintegrationsPerMinutePerGram,1.4147,0.1184,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2008.7,1.9
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,3,4,0.13,NA,0.2905,0,0,disintegrationsPerMinutePerGram,8.0726,0.477,9.4759,0.4539,disintegrationsPerMinutePerGram,1.4033,0.1465,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2005.5,2
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,4,5,0.1248,NA,NA,0,0,disintegrationsPerMinutePerGram,5.9842,0.4246,7.4482,0.4022,disintegrationsPerMinutePerGram,1.464,0.136,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2003.1,2.1
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,5,6,0.1844,0.530093,0.2713,0,0,disintegrationsPerMinutePerGram,4.1422,0.2709,5.015,0.2588,disintegrationsPerMinutePerGram,0.8728,0.0803,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2000.4,2.3
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,6,7,0.236,NA,NA,0,0,disintegrationsPerMinutePerGram,3.3573,0.239,4.2196,0.2283,disintegrationsPerMinutePerGram,0.86240000000000006,0.0706,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1997.4,2.5
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,7,8,0.2561,NA,0.1691,0,0,disintegrationsPerMinutePerGram,3.3225,0.2563,3.9876,0.246,disintegrationsPerMinutePerGram,0.6651,0.0717,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1993.8,2.7
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,8,9,0.1997,NA,NA,0,0,disintegrationsPerMinutePerGram,3.9144,0.2775,4.6372,0.2685,disintegrationsPerMinutePerGram,0.7228,0.0703,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1990.1,3
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,9,10,0.2115,0.450855,0.1548,0,0,disintegrationsPerMinutePerGram,3.9082,0.1856,4.8112,0.1775,disintegrationsPerMinutePerGram,0.903,0.0543,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1985.6,3.4
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,10,11,0.2527,NA,NA,0,0,disintegrationsPerMinutePerGram,3.3598,0.1563,4.104,0.1498,disintegrationsPerMinutePerGram,0.7442,0.0445,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1980.2,4
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,11,12,0.2886,NA,0.1499,0,0,disintegrationsPerMinutePerGram,2.3741,0.1394,3.1373,0.1327,disintegrationsPerMinutePerGram,0.7633,0.0427,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1975.1,4.7
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,12,13,0.3824,NA,NA,0,0,disintegrationsPerMinutePerGram,2.4348,0.1304,3.1332,0.1244,disintegrationsPerMinutePerGram,0.6984,0.039,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1966.6,6.1
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,13,14,0.26,0.277918,0.1301,0,0,disintegrationsPerMinutePerGram,2.6606,0.16,3.6702,0.1516,disintegrationsPerMinutePerGram,1.0095,0.0513,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1958.3,7.9
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,14,15,0.4394,NA,NA,0,0,disintegrationsPerMinutePerGram,1.4062,0.1008,2.1028,0.0961,disintegrationsPerMinutePerGram,0.6967,0.0303,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1948.6,10.7
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,15,16,0.8241,NA,0.0412,0,0,disintegrationsPerMinutePerGram,0.5918,0.0603,1.1639,0.0569,disintegrationsPerMinutePerGram,0.5721,0.0199,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1938,14.9
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,16,17,0.8452,0.041994,0.0131,0,0,disintegrationsPerMinutePerGram,0.3805,0.061,0.857,0.0584,disintegrationsPerMinutePerGram,0.4765,0.0179,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1928.5,20.1
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,17,18,1.0948,NA,0.0131,0,0,disintegrationsPerMinutePerGram,0.4256,0.0599,1.0511,0.0569,disintegrationsPerMinutePerGram,0.6255,0.0188,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,18,19,1.1345,0.026269999999999998,0.011399999999999999,0,0,disintegrationsPerMinutePerGram,0.1896,0.054,0.8684,0.05,disintegrationsPerMinutePerGram,0.6789,0.0203,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,E.G. Simmons,FL_EGSB,pvc_and_hammer,19,20,1.0145,NA,0.011899999999999999,0,0,disintegrationsPerMinutePerGram,0.2488,0.1039,1.0224,0.0991,disintegrationsPerMinutePerGram,0.7736,0.0313,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,NA,NA
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,0,1,0.1931,0.32677599999999996,0.18,0,0,disintegrationsPerMinutePerGram,4.0484,0.2317,6.6583,0.2151,disintegrationsPerMinutePerGram,2.6099,0.0861,disintegrationsPerMinutePerGram,NA,9.11,1.83,disintegrationsPerMinutePerGram,2012.3,1
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,1,2,0.3149,NA,NA,0,0,disintegrationsPerMinutePerGram,2.8275,0.1728,5.4242,0.1611,disintegrationsPerMinutePerGram,2.5967,0.0626,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2009.9,1.1
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,2,3,0.3061,NA,0.19010000000000002,0,0,disintegrationsPerMinutePerGram,2.744,0.1809,6.1265,0.1666,disintegrationsPerMinutePerGram,3.3826,0.0704,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2007.4,1.1
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,3,4,0.4257,NA,NA,0,0,disintegrationsPerMinutePerGram,2.4648,0.184,6.4293,0.1697,disintegrationsPerMinutePerGram,3.9645,0.071,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2004.5,1.2
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,4,5,0.3814,0.24466000000000002,0.1359,0.111,0.02,disintegrationsPerMinutePerGram,2.2515,0.1792,5.6415,0.167,disintegrationsPerMinutePerGram,3.3901,0.0651,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,2001.9,1.3
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,5,6,0.3298,NA,NA,0.125,0.03,disintegrationsPerMinutePerGram,2.6925,0.2656,5.9664,0.2452,disintegrationsPerMinutePerGram,3.2738,0.1021,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1998.1,1.4
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,6,7,0.3909,NA,0.15460000000000002,0.147,0.03,disintegrationsPerMinutePerGram,2.5656,0.234,5.7717,0.2147,disintegrationsPerMinutePerGram,3.2061,0.093,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1994,1.6
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,7,8,0.3557,NA,NA,0.318,0.03,disintegrationsPerMinutePerGram,2.1153,0.2274,5.0709,0.211,disintegrationsPerMinutePerGram,2.9557,0.0848,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1990.1,1.8
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,8,9,0.3061,0.292028,0.1588,0.425,0.05,disintegrationsPerMinutePerGram,1.6148,0.2808,5.1331,0.2567,disintegrationsPerMinutePerGram,3.5182,0.114,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1987,2
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,9,10,0.2725,NA,NA,0.449,0.05,disintegrationsPerMinutePerGram,1.8078,0.302,5.2447,0.2764,disintegrationsPerMinutePerGram,3.4369,0.1217,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1983.2,2.3
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,10,11,0.2878,NA,0.1611,0.363,0.03,disintegrationsPerMinutePerGram,1.9618,0.1675,4.6943,0.154,disintegrationsPerMinutePerGram,2.7325,0.0659,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1978.5,2.6
Okeefe-Suttles_et_al_2021_FL,Holly House,FL_HHMA,pvc_and_hammer,11,12,0.3338,NA,NA,0.184,0.02,disintegrationsPerMinutePerGram,1.7226,0.1616,5.1535,0.1474,disintegrationsPerMinutePerGram,3.4309,0.0662,disintegrationsPerMinutePerGram,NA,0,0,disintegrationsPerMinutePerGram,1973.6,3
