study_id,location_description,allometric_eq_formula,genus,species,alive_or_dead,above_or_belowground,output_unit,height_max,height_min,input_parameter,output_parameter,source
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.5464ln(ht) - 6.3900,Schinus,virginica,alive,aboveground,g,19.5,4.9,individual stems separated from prostrate stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b = 0.0007(ht) - 8  10-5,Schinus,terebinthifolia,alive,aboveground,g,7.5,3.5,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b = 0.0031(ht) - 0.0358,Schinus,scoparium,alive,aboveground,g,98,11.8,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.5429ln(ht) - 6.3607,Schinus,tabernaemontani,alive,aboveground,g,260.1,17.3,individual stem; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.0325 ln(ht) - 7.1049,Schinus,dulcis,alive,aboveground,g,74.5,12,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.1760ln(ht) - 4.1677,Schinus,portulacastrum,alive,aboveground,g,94.2,5.9,individual stems separated from prostrate stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b = 0.0041(ht) - 0.0773,Schinus,angustifolia,alive,aboveground,g,152,6,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.2920ln(ht) - 4.9600,Schinus,sempervirens,alive,aboveground,g,120,15.6,whole plant; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.9492ln(ht) - 7.6267,Schinus,alterniflora,alive,aboveground,g,82,17,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.928 ln(ht) - 7.8901,Schinus,bakeri,alive,aboveground,g,89,21,individual stem; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.1380ln(ht) - 8.8881,Schinus,patens,alive,aboveground,g,51.2,15.5,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.2473ln(ht) - 6.4324,Schinus,virginicus,alive,aboveground,g,32.3,4.8,individual stem; ht = height (cm),NA,Radabaugh et al. 2017
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.3682 ln(ht) - 7.8355,Schinus,linearis,alive,aboveground,g,91,12,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.4639 ln(ht) - 6.5292,Triglochin,striata,alive,aboveground,g,23,4,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 2.0156ln(ht) - 9.4211,Typha,species,alive,aboveground,g,190.5,25,individual stem; ht = height (cm),NA,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b) = 1.6325 ln(ht) - 6.9224,Vigna,luteola,alive,aboveground,g,202,16,whole plant; ht = height (cm),NA,Dontis et al. 2020
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=0.403*(d_130)^1.934,Avicennia,germinans,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,tree,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=0.362*(d_130)^1.93,Laguncularia,racemosa,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,tree,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=0.722*(d_130)^1.731,Rhizophora,mangle,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,tree,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b)=2.134+(0.895*ln(d_30)^2 ) +(0.184*ln(CRWNV)),Avicennia,germinans,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,shrub,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b)=1.095+(0.659*ln(d_30)^ 2 ) )+(0.304*ln(CRWNV)),Laguncularia,racemosa,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,shrub,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",ln(b)=2.528+(1.129*ln(d_30)^2 ) )+(0.156*ln(CRWNV)),Rhizophora,mangle,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,shrub,Radabaugh et al 2023
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=-0.309*(d_b )+0.2(d_b )^2,Lycium,carolinianum,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,NA,Butzler and Davis 2006
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=0.16155*(d_130 )^2.310647,Schinus,terebinthifolia,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,NA,Aguaron and McPherson 2012 (general broadleaf equation)
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=0.16155*(d_130 )^2.310647,Avicennia,glabra,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,NA,Aguaron and McPherson 2012 (general broadleaf equation)
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=10097.06*((d_130) /100)^2.33,Conocarpus,erectus,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,NA,Abohassan et al. 2010
Radabaugh_et_al_2023,"Tampa Bay, Florida, USA",b=(-0.4993+0.1086*(ht))* ((n_130-)/1000); b=(-85.950+0.7593*(ht))*((n_130+)/1000),Avicennia,danaeifolium,alive,aboveground,kg,NA,NA,b=biomass (kg); d_130 = diameter at 130 cm (cm); d_30 = diameter at 30 cm (cm); CRWNV = crown volume (cm3); ht = height (cm); d_b = basal diameter (mm); n_130+ = leaves > 130cm; n_130- = leaves < 130cm,NA,Sharpe 2010*
