study_id,site_id,core_id,code_type,species_code
Beers_et_al_2023,China_Poot,CP-6,Genus,Leymus sp.
Beers_et_al_2023,China_Poot,CP-6,Genus,Potentilla sp.
Beers_et_al_2023,China_Poot,CP-6,Genus,Musa sp.
Beers_et_al_2023,China_Poot,CP-7,Genus species,Triglochin maritima
Beers_et_al_2023,China_Poot,CP-8,Genus species,Puccinellia phryganodes
Beers_et_al_2023,China_Poot,CP-8,Genus,Musa sp.
Beers_et_al_2023,China_Poot,CP-8,Genus,Euphorbia sp.
Beers_et_al_2023,China_Poot,CP-9,Genus,Leymus sp.
Beers_et_al_2023,China_Poot,CP-9,Genus,Musa sp.
Beers_et_al_2023,China_Poot,CP-9,Genus species,Puccinellia phryganodes
Beers_et_al_2023,Coon_Island,CI-1,Genus species,Salicornia pacifica
Beers_et_al_2023,Coon_Island,CI-2,Genus species,Salicornia pacifica
Beers_et_al_2023,Coon_Island,CI-3,Genus species,Salicornia pacifica
Beers_et_al_2023,Coon_Island,CI-4,Genus species,Salicornia pacifica
Beers_et_al_2023,Coon_Island,CI-5,Genus species,Salicornia pacifica
Beers_et_al_2023,Coon_Island,CI-5,Genus species,Schoenoplectus americanus
Beers_et_al_2023,Coon_Island,CI-6,Genus species,Salicornia pacifica
Beers_et_al_2023,GCREW,GC-1,Genus species,Spartina patens
Beers_et_al_2023,Indian_River_Lagoon,IRL-1,Genus species,Rhizophora mangle
Beers_et_al_2023,Indian_River_Lagoon,IRL-2,Genus species,Rhizophora mangle
Beers_et_al_2023,Indian_River_Lagoon,IRL-3,Genus species,Rhizophora mangle
Beers_et_al_2023,Indian_River_Lagoon,IRL-4,Genus species,Avicennia germinans
Beers_et_al_2023,Indian_River_Lagoon,IRL-4,Genus species,Laguncularia racemosa
Beers_et_al_2023,Indian_River_Lagoon,IRL-5,Genus species,Avicennia germinans
Beers_et_al_2023,Indian_River_Lagoon,IRL-5,Genus species,Laguncularia racemosa
Beers_et_al_2023,Indian_River_Lagoon,IRL-6,Genus species,Avicennia germinans
Beers_et_al_2023,Indian_River_Lagoon,IRL-6,Genus species,Laguncularia racemosa
Beers_et_al_2023,Indian_River_Lagoon,IRL-S-1,Genus species,Thalassia testudinum
Beers_et_al_2023,Indian_River_Lagoon,IRL-S-2,Genus species,Thalassia testudinum
Beers_et_al_2023,Indian_River_Lagoon,IRL-S-3,Genus species,Thalassia testudinum
Beers_et_al_2023,Isla Cristobal,CR-F-1,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla Cristobal,CR-F-2,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla Cristobal,CR-F-3,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla Cristobal,CR-D-4,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla Cristobal,CR-D-5,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla Cristobal,CR-D-6,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Colon,STRI-1,Genus species,Thalassia testudinum
Beers_et_al_2023,Isla_Colon,STRI-2,Genus species,Thalassia testudinum
Beers_et_al_2023,Isla_Colon,STRI-3,Genus species,Thalassia testudinum
Beers_et_al_2023,Isla_Popa,PO-F-1,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Popa,PO-F-2,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Popa,PO-F-3,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Popa,PO-D-4,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Popa,PO-D-5,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Popa,PO-D-6,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Popa,PO-D-7,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Popa,PO-S-1,Genus species,Thalassia testudinum
Beers_et_al_2023,Isla_Popa,PO-S-2,Genus species,Thalassia testudinum
Beers_et_al_2023,Isla_Popa,PO-S-3,Genus species,Thalassia testudinum
Beers_et_al_2023,Isla_Solarte,SOL-F-1,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Solarte,SOL-F-2,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Solarte,SOL-F-3,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Solarte,SOL-D-4,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Solarte,SOL-D-5,Genus species,Rhizophora mangle
Beers_et_al_2023,Isla_Solarte,SOL-D-6,Genus species,Rhizophora mangle
Beers_et_al_2023,Pt_Molate,PM-1,Genus species,Zostera marina
Beers_et_al_2023,Pt_Molate,PM-2,Genus species,Zostera marina
Beers_et_al_2023,Pt_Molate,PM-3,Genus species,Zostera marina
Beers_et_al_2023,Rush_Ranch,RR-1,Genus species,Typha domingensis
Beers_et_al_2023,Rush_Ranch,RR-2,Genus species,Salicornia pacifica
Beers_et_al_2023,Rush_Ranch,RR-2,Genus species,Jaumea carnosa
Beers_et_al_2023,Rush_Ranch,RR-2,Genus species,Distichlis spicata
Beers_et_al_2023,Rush_Ranch,RR-2,Genus species,Juncus balticus
Beers_et_al_2023,Rush_Ranch,RR-2,Genus species,Triglochin maritima
Beers_et_al_2023,Rush_Ranch,RR-3,Genus species,Schoenoplectus acutus
Beers_et_al_2023,Rush_Ranch,RR-3,Genus species,Schoenoplectus americanus
Beers_et_al_2023,Rush_Ranch,RR-4,Genus species,Juncus balticus
Beers_et_al_2023,Rush_Ranch,RR-4,Genus species,Potentilla anserina
Beers_et_al_2023,Rush_Ranch,RR-4,Genus species,Distichlis spicata
Beers_et_al_2023,Rush_Ranch,RR-4,Genus species,Atriplex triangularis
Beers_et_al_2023,Rush_Ranch,RR-5,Genus species,Schoenoplectus americanus
Beers_et_al_2023,Rush_Ranch,RR-6,Genus species,Salicornia pacifica
Beers_et_al_2023,Twin_Cays,TC-FA-1,Genus species,Rhizophora mangle
Beers_et_al_2023,Twin_Cays,TC-FB-2,Genus species,Rhizophora mangle
Beers_et_al_2023,Twin_Cays,TC-FC-3,Genus species,Rhizophora mangle
Beers_et_al_2023,Twin_Cays,TC-DA-4,Genus species,Rhizophora mangle
Beers_et_al_2023,Twin_Cays,TC-DB-5,Genus species,Rhizophora mangle
Beers_et_al_2023,Twin_Cays,TC-DC-6,Genus species,Rhizophora mangle
Beers_et_al_2023,Twin_Cays,TC-DD-7,Genus species,Rhizophora mangle
Beers_et_al_2023,Twin_Cays,TC-1,Genus species,Thalassia testudinum
Beers_et_al_2023,Twin_Cays,TC-2,Genus species,Thalassia testudinum
Beers_et_al_2023,Twin_Cays,TC-3,Genus species,Thalassia testudinum
Beers_et_al_2023,Twin_Cays,TC-4,Genus species,Thalassia testudinum
Beers_et_al_2023,Twin_Cays,TC-5,Genus species,Thalassia testudinum
Beers_et_al_2023,Wachapreague,VA-1,Genus species,Spartina alterniflora
Beers_et_al_2023,Wachapreague,VA-2,Genus species,Spartina alterniflora
Beers_et_al_2023,Wachapreague,VA-3,Genus species,Salicornia pacifica
Beers_et_al_2023,Wachapreague,VA-3,Genus species,Distichlis spicata
Beers_et_al_2023,Wachapreague,VA-4,Genus species,Spartina alterniflora
Beers_et_al_2023,Wachapreague,VA-5,Genus species,Spartina alterniflora
Beers_et_al_2023,Wachapreague,VA-6,Genus species,Spartina alterniflora
