"[Abbreviations: ID, identification; cm, centimeter; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment; --, no reported value]",,,,,
Sample ID,"Water Content (g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk Density (g/cm^3)","Loss On Ignition (g-OM/g-dry)",
14CCT01-GB53M(A),12-Nov,0.74,0.88,0.31,0.255
14CCT01-GB53M(A),13-Dec,0.64,0.81,0.42,0.164
14CCT01-GB53M(A),13-14,0.62,0.8,0.46,0.132
14CCT01-GB53M(A),14-15,0.66,0.83,0.38,0.17
14CCT01-GB53M(A),14-15a,,,,0.166
14CCT01-GB53M(A),15-16,0.65,0.82,0.45,0.158
14CCT01-GB53M(A),16-17,0.68,0.84,0.36,0.186
14CCT01-GB53M(A),17-18,0.68,0.84,0.37,0.184
14CCT01-GB53M(A),18-19,0.66,0.83,0.41,0.167
14CCT01-GB53M(A),19-20,0.68,0.84,0.35,0.178
14CCT01-GB53M(A),20-21,0.66,0.83,0.43,0.18
14CCT01-GB53M(A),21-22,0.58,0.78,0.53,0.136
14CCT01-GB53M(A),22-23,0.57,0.77,0.52,0.11
14CCT01-GB53M(A),23-24,0.56,0.76,0.54,0.104
14CCT01-GB53M(A),24-25,0.49,0.71,0.65,0.072
14CCT01-GB53M(A),25-26,0.47,0.69,0.74,0.062
14CCT01-GB53M(A),25-26a,,,,0.06
14CCT01-GB53M(A),26-27,0.54,0.74,0.62,0.091
14CCT01-GB53M(A),27-28,0.63,0.81,0.44,0.181
14CCT01-GB53M(A),28-29,0.59,0.78,0.55,0.15
14CCT01-GB53M(A),29-30,0.59,0.79,0.5,0.151
14CCT01-GB53M(A),30-31,0.5,0.72,0.69,0.107
14CCT01-GB53M(A),30-31a,,,,0.094
14CCT01-GB53M(A),31-32,0.47,0.69,0.78,0.076
14CCT01-GB53M(A),32-33,0.48,0.7,0.73,0.073
14CCT01-GB53M(A),33-34,0.51,0.72,0.64,0.087
14CCT01-GB53M(A),34-35,0.52,0.73,0.65,0.091
14CCT01-GB53M(A),35-36,0.46,0.68,0.76,0.068
14CCT01-GB53M(A),35-36a,,,,0.085
14CCT01-GB53M(A),36-37,0.52,0.73,0.65,0.115
14CCT01-GB53M(A),37-38,0.52,0.73,0.66,0.111
14CCT01-GB53M(A),38-39,0.44,0.67,0.78,0.071
14CCT01-GB53M(A),39-40,0.41,0.64,0.87,0.06
14CCT01-GB53M(A),39-40a,,,,0.059
14CCT01-GB53M(A),40-41,0.49,0.71,0.69,0.096
14CCT01-GB53M(A),41-42,0.55,0.75,0.59,0.117
14CCT01-GB53M(A),42-43,0.53,0.74,0.61,0.096
14CCT01-GB53M(A),43-44,0.51,0.72,0.64,0.088
14CCT01-GB53M(A),44-45,0.51,0.72,0.65,0.097
14CCT01-GB53M(A),45-46,0.49,0.71,0.72,0.087
14CCT01-GB53M(A),45-46a,,,,0.094
14CCT01-GB53M(A),46-47,0.52,0.73,0.65,0.104
14CCT01-GB53M(A),47-48,0.56,0.76,0.58,0.117
14CCT01-GB53M(A),48-49,0.54,0.74,0.62,0.089
14CCT01-GB53M(A),49-50,0.51,0.73,0.67,0.081
14CCT01-GB53M(A),50-51,0.52,0.73,0.63,0.086
14CCT01-GB53M(A),51-52,0.54,0.75,0.6,0.089
14CCT01-GB53M(A),51-52a,,,,0.09
14CCT01-GB53M(A),52-53,0.5,0.71,0.68,0.071
14CCT01-GB53M(A),53-54,0.48,0.69,0.73,0.067
14CCT01-GB53M(A),54-55,0.49,0.7,0.7,0.072
14CCT01-GB53M(A),55-56,0.48,0.7,0.69,0.074
14CCT01-GB53M(A),55-56a,,,,0.072
14CCT01-GB53M(A),56-57,0.51,0.72,0.67,0.082
14CCT01-GB53M(A),57-58,0.51,0.72,0.65,0.081
14CCT01-GB53M(A),58-59,0.53,0.74,0.63,0.087
14CCT01-GB53M(A),59-60,0.52,0.73,0.64,0.086
14CCT01-GB53M(A),60-61,0.55,0.76,0.61,0.104
14CCT01-GB53M(A),61-62,0.54,0.74,0.6,0.094
14CCT01-GB53M(A),61-62a,,,,0.094
14CCT01-GB53M(A),62-63,0.52,0.73,0.61,0.09
14CCT01-GB53M(A),63-64,0.53,0.74,0.6,0.099
14CCT01-GB53M(A),64-65,0.53,0.73,0.62,0.1
14CCT01-GB53M(A),65-66,0.53,0.74,0.61,0.106
14CCT01-GB53M(A),66-67,0.51,0.72,0.69,0.101
14CCT01-GB53M(A),66-67a,,,,0.102
,,,,,
,,,,,
14CCT01-GB53M(B),0-1,0.65,0.82,0.4,0.211
14CCT01-GB53M(B),2-Jan,0.45,0.67,0.61,0.104
14CCT01-GB53M(B),3-Feb,0.39,0.61,0.87,0.061
14CCT01-GB53M(B),2-3a,,,,0.059
14CCT01-GB53M(B),4-Mar,0.6,0.79,0.48,0.155
14CCT01-GB53M(B),5-Apr,0.63,0.81,0.43,0.177
14CCT01-GB53M(B),6-May,0.69,0.85,0.35,0.245
14CCT01-GB53M(B),7-Jun,0.75,0.88,0.25,0.451
14CCT01-GB53M(B),8-Jul,0.72,0.86,0.31,0.32
14CCT01-GB53M(B),9-Aug,0.63,0.81,0.42,0.22
14CCT01-GB53M(B),10-Sep,0.67,0.84,0.37,0.23
14CCT01-GB53M(B),11-Oct,0.65,0.82,0.39,0.186
14CCT01-GB53M(B),12-Nov,0.62,0.8,0.45,0.16
14CCT01-GB53M(B),11-12a,,,,0.164
14CCT01-GB53M(B),13-Dec,0.68,0.84,0.35,0.214
14CCT01-GB53M(B),13-14,0.69,0.85,0.32,0.214
14CCT01-GB53M(B),14-15,0.66,0.83,0.36,0.19
14CCT01-GB53M(B),15-16,0.61,0.8,0.46,0.149
14CCT01-GB53M(B),16-17,0.45,0.68,0.76,0.067
14CCT01-GB53M(B),17-18,0.45,0.67,0.79,0.084
14CCT01-GB53M(B),18-19,0.57,0.77,0.52,0.14
14CCT01-GB53M(B),19-20,0.52,0.73,0.64,0.107
14CCT01-GB53M(B),20-21,0.52,0.73,0.64,0.095
14CCT01-GB53M(B),21-22,0.56,0.76,0.54,0.118
14CCT01-GB53M(B),22-23,0.5,0.72,0.65,0.092
14CCT01-GB53M(B),22-23a,,,,0.085
14CCT01-GB53M(B),23-24,0.49,0.7,0.71,0.072
14CCT01-GB53M(B),24-25,0.5,0.71,0.67,0.091
14CCT01-GB53M(B),25-26,0.5,0.71,0.65,0.089
14CCT01-GB53M(B),26-27,0.5,0.71,0.67,0.079
14CCT01-GB53M(B),27-28,0.47,0.69,0.73,0.075
14CCT01-GB53M(B),27-28a,,,,0.074
14CCT01-GB53M(B),28-29,0.52,0.73,0.64,0.107
14CCT01-GB53M(B),29-30,0.55,0.76,0.55,0.107
14CCT01-GB53M(B),30-31,0.57,0.77,0.55,0.112
14CCT01-GB53M(B),31-32,0.57,0.77,0.53,0.117
14CCT01-GB53M(B),32-33,0.55,0.75,0.57,0.108
14CCT01-GB53M(B),33-34,0.51,0.72,0.64,0.105
14CCT01-GB53M(B),34-35.2,0.51,0.72,0.62,0.097
14CCT01-GB53M(B),34-35.2a,,,,0.101
,,,,,
,,,,,
14CCT01-GB60M,0-1,0.74,0.88,0.28,0.258
14CCT01-GB60M,2-Jan,0.63,0.81,0.44,0.136
14CCT01-GB60M,3-Feb,0.61,0.8,0.48,0.131
14CCT01-GB60M,2-3a,,,,0.123
14CCT01-GB60M,4-Mar,0.63,0.81,0.43,0.154
14CCT01-GB60M,5-Apr,0.69,0.85,0.35,0.213
14CCT01-GB60M,6-May,0.76,0.89,0.25,0.35
14CCT01-GB60M,7-Jun,0.74,0.88,0.28,0.27
14CCT01-GB60M,8-Jul,0.65,0.82,0.42,0.171
14CCT01-GB60M,9-Aug,0.66,0.83,0.39,0.193
14CCT01-GB60M,8-9a,,,,0.203
14CCT01-GB60M,10-Sep,0.74,0.88,0.28,0.274
14CCT01-GB60M,11-Oct,0.79,0.9,0.21,0.389
14CCT01-GB60M,12-Nov,0.75,0.88,0.27,0.286
14CCT01-GB60M,13-Dec,0.69,0.85,0.35,0.204
14CCT01-GB60M,13-14,0.76,0.89,0.25,0.287
14CCT01-GB60M,14-15,0.79,0.9,0.21,0.325
14CCT01-GB60M,15-16,0.71,0.86,0.31,0.196
14CCT01-GB60M,16-17,0.72,0.86,0.31,0.193
14CCT01-GB60M,17-18,0.74,0.88,0.27,0.26
14CCT01-GB60M,18-19,0.57,0.77,0.55,0.115
14CCT01-GB60M,18-19a,,,,0.11
14CCT01-GB60M,19-20,0.56,0.76,0.58,0.104
14CCT01-GB60M,20-21,0.66,0.83,0.39,0.137
14CCT01-GB60M,21-22,0.58,0.78,0.53,0.093
14CCT01-GB60M,22-23,0.57,0.77,0.57,0.107
14CCT01-GB60M,23-24,0.63,0.81,0.45,0.116
14CCT01-GB60M,24-25,0.62,0.8,0.46,0.124
14CCT01-GB60M,24-25a,,,,0.114
14CCT01-GB60M,25-26,0.6,0.79,0.49,0.107
14CCT01-GB60M,26-27,0.58,0.78,0.5,0.099
14CCT01-GB60M,27-28,0.56,0.76,0.57,0.096
14CCT01-GB60M,28-29,0.62,0.8,0.47,0.124
14CCT01-GB60M,29-30,0.64,0.82,0.42,0.16
14CCT01-GB60M,30-31,0.64,0.82,0.44,0.138
14CCT01-GB60M,31-32,0.65,0.83,0.42,0.159
14CCT01-GB60M,32-33,0.59,0.78,0.52,0.111
14CCT01-GB60M,33-34,0.6,0.79,0.52,0.091
14CCT01-GB60M,33-34a,,,,0.089
14CCT01-GB60M,34-35,0.56,0.76,0.58,0.089
14CCT01-GB60M,35-36,0.54,0.75,0.6,0.079
14CCT01-GB60M,36-37,0.6,0.79,0.5,0.113
14CCT01-GB60M,37-38,0.61,0.8,0.48,0.123
14CCT01-GB60M,38-39,0.58,0.78,0.53,0.114
14CCT01-GB60M,39-40,0.59,0.78,0.51,0.123
14CCT01-GB60M,39-40a,,,,0.115
14CCT01-GB60M,40-41,0.63,0.81,0.43,0.151
14CCT01-GB60M,41-42,0.65,0.82,0.4,0.148
14CCT01-GB60M,42-43,0.66,0.83,0.4,0.155
14CCT01-GB60M,43-44,0.69,0.84,0.37,0.168
14CCT01-GB60M,44-45,0.65,0.82,0.42,0.138
14CCT01-GB60M,45-46,0.62,0.81,0.44,0.131
14CCT01-GB60M,46-47,0.58,0.77,0.55,0.102
14CCT01-GB60M,47-48,0.67,0.83,0.39,0.158
14CCT01-GB60M,48-49,0.69,0.85,0.35,0.212
14CCT01-GB60M,49-50,0.67,0.84,0.37,0.185
14CCT01-GB60M,50-51,0.6,0.79,0.49,0.118
14CCT01-GB60M,51-52,0.6,0.79,0.52,0.115
14CCT01-GB60M,51-52a,,,,0.114
14CCT01-GB60M,52-53,0.59,0.79,0.51,0.131
14CCT01-GB60M,53-54,0.6,0.79,0.49,0.129
14CCT01-GB60M,54-55,0.64,0.82,0.44,0.168
14CCT01-GB60M,55-56,0.66,0.83,0.42,0.164
14CCT01-GB60M,56-57,0.62,0.8,0.47,0.123
14CCT01-GB60M,57-58,0.62,0.8,0.48,0.118
14CCT01-GB60M,58-59,0.58,0.77,0.55,0.113
14CCT01-GB60M,59-60,0.51,0.72,0.66,0.083
14CCT01-GB60M,60-61,0.54,0.75,0.63,0.099
14CCT01-GB60M,60-61a,,,,0.096
14CCT01-GB60M,61-62,0.53,0.74,0.63,0.112
,,,,,
,,,,,
14CCT01-GB64M,0-1,0.58,0.78,0.48,0.141
14CCT01-GB64M,0-1a,,,,0.141
14CCT01-GB64M,2-Jan,0.54,0.74,0.57,0.104
14CCT01-GB64M,3-Feb,0.54,0.75,0.55,0.11
14CCT01-GB64M,2-3a,,,,0.109
14CCT01-GB64M,4-Mar,0.59,0.78,0.47,0.135
14CCT01-GB64M,5-Apr,0.59,0.78,0.45,0.13
14CCT01-GB64M,6-May,0.64,0.82,0.39,0.164
14CCT01-GB64M,7-Jun,0.65,0.83,0.42,0.174
14CCT01-GB64M,8-Jul,0.69,0.85,0.33,0.202
14CCT01-GB64M,9-Aug,0.73,0.87,0.29,0.251
14CCT01-GB64M,10-Sep,0.68,0.84,0.35,0.172
14CCT01-GB64M,11-Oct,0.64,0.81,0.42,0.142
14CCT01-GB64M,12-Nov,0.64,0.82,0.42,0.134
14CCT01-GB64M,11-12a,,,,0.135
14CCT01-GB64M,13-Dec,0.69,0.85,0.33,0.177
14CCT01-GB64M,13-14,0.68,0.84,0.34,0.167
14CCT01-GB64M,14-15,0.69,0.85,0.33,0.206
14CCT01-GB64M,15-16,0.61,0.79,0.48,0.125
14CCT01-GB64M,16-17,0.56,0.76,0.53,0.105
14CCT01-GB64M,16-17a,,,,0.101
14CCT01-GB64M,17-18,0.48,0.7,0.73,0.083
14CCT01-GB64M,18-19,0.48,0.7,0.69,0.084
14CCT01-GB64M,19-20,0.54,0.75,0.58,0.09
14CCT01-GB64M,20-21,0.37,0.59,0.97,0.042
14CCT01-GB64M,20-21a,,,,0.038
14CCT01-GB64M,21-22,0.54,0.74,0.59,0.079
14CCT01-GB64M,22-23,0.63,0.81,0.42,0.133
14CCT01-GB64M,23-24,0.62,0.8,0.45,0.118
14CCT01-GB64M,24-25,0.63,0.81,0.42,0.137
14CCT01-GB64M,25-26,0.62,0.8,0.44,0.148
14CCT01-GB64M,26-27,0.59,0.78,0.48,0.126
14CCT01-GB64M,27-28,0.5,0.71,0.66,0.1
14CCT01-GB64M,27-28a,,,,0.087
14CCT01-GB64M,28-29,0.54,0.74,0.6,0.111
14CCT01-GB64M,29-30,0.54,0.75,0.6,0.104
14CCT01-GB64M,30-31,0.57,0.77,0.54,0.127
14CCT01-GB64M,31-32,0.6,0.79,0.46,0.17
14CCT01-GB64M,32-33,0.54,0.74,0.61,0.137
14CCT01-GB64M,32-33a,,,,0.139
14CCT01-GB64M,33-34,0.54,0.75,0.56,0.139
14CCT01-GB64M,34-35,0.49,0.7,0.7,0.093
14CCT01-GB64M,35-36,0.49,0.71,0.72,0.082
14CCT01-GB64M,36-37,0.5,0.72,0.67,0.088
14CCT01-GB64M,37-38,0.53,0.74,0.63,0.091
14CCT01-GB64M,38-39,0.53,0.74,0.62,0.093
14CCT01-GB64M,39-40,0.55,0.75,0.58,0.103
14CCT01-GB64M,40-41,0.54,0.75,0.59,0.097
14CCT01-GB64M,41-42,0.51,0.72,0.66,0.083
14CCT01-GB64M,41-42a,,,,0.083
14CCT01-GB64M,42-43,0.5,0.71,0.68,0.08
14CCT01-GB64M,43-44,0.48,0.7,0.69,0.077
14CCT01-GB64M,44-45,0.47,0.69,0.7,0.075
14CCT01-GB64M,45-46,0.47,0.69,0.69,0.072
14CCT01-GB64M,45-46a,,,,0.071
14CCT01-GB64M,46-47,0.52,0.73,0.61,0.085
14CCT01-GB64M,47-48,0.61,0.79,0.48,0.135
14CCT01-GB64M,48-49,0.67,0.83,0.37,0.178
14CCT01-GB64M,49-50,0.6,0.79,0.5,0.128
14CCT01-GB64M,50-51,0.56,0.76,0.57,0.112
14CCT01-GB64M,50-51a,,,,0.112
14CCT01-GB64M,51-52,0.55,0.75,0.6,0.108
14CCT01-GB64M,52-53,0.57,0.77,0.52,0.113
14CCT01-GB64M,53-54,0.6,0.79,0.47,0.134
14CCT01-GB64M,54-55,0.57,0.77,0.56,0.118
14CCT01-GB64M,55-56,0.58,0.77,0.53,0.128
14CCT01-GB64M,56-57,0.59,0.78,0.51,0.127
14CCT01-GB64M,56-57a,,,,0.123
14CCT01-GB64M,57-58,0.56,0.76,0.55,0.109
14CCT01-GB64M,58-59,0.49,0.71,0.65,0.076
14CCT01-GB64M,59-60,0.48,0.69,0.73,0.074
14CCT01-GB64M,60-61,0.5,0.71,0.67,0.08
14CCT01-GB64M,60-61a,,,,0.082
14CCT01-GB64M,61-62,0.51,0.72,0.64,0.091
14CCT01-GB64M,61-62a,,,,0.089
14CCT01-GB64M,62-63,0.52,0.73,0.64,0.086
14CCT01-GB64M,63-64,0.53,0.74,0.59,0.093
14CCT01-GB64M,64-65,0.56,0.76,0.55,0.116
14CCT01-GB64M,65-66,0.59,0.78,0.47,0.126
14CCT01-GB64M,66-67,0.53,0.74,0.61,0.093
14CCT01-GB64M,67-68,0.5,0.71,0.64,0.079
14CCT01-GB64M,68-69,0.49,0.71,0.68,0.078
14CCT01-GB64M,68-69a,,,,0.078
14CCT01-GB64M,69-70,0.47,0.69,0.7,0.075
14CCT01-GB64M,70-70.4,0.45,0.68,0.76,0.07
,,,,,
,,,,,
14CCT01-GB36D,0-1,0.64,0.82,0.39,0.187
14CCT01-GB36D,2-Jan,0.63,0.81,0.43,0.167
14CCT01-GB36D,3-Feb,0.66,0.83,0.39,0.197
14CCT01-GB36D,4-Mar,0.63,0.81,0.42,0.178
14CCT01-GB36D,5-Apr,0.65,0.82,0.38,0.214
14CCT01-GB36D,6-May,0.6,0.79,0.43,0.321
14CCT01-GB36D,5-6a,,,,0.228
