study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Radabaugh_et_al_2023,Ipomoea,sagittata,1,75,cm,0.411,Radabaugh et al. 2017,0.215,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,89.5,cm,0.411,Radabaugh et al. 2017,0.311,g,yes
Radabaugh_et_al_2023,Ipomoea,sagittata,1,62,cm,0.411,Radabaugh et al. 2017,0.179,g,yes
Radabaugh_et_al_2023,Typha,species,1,65,cm,0.411,Radabaugh et al. 2017,0.696,g,yes
Radabaugh_et_al_2023,Typha,species,1,101,cm,0.411,Radabaugh et al. 2017,0.615,g,yes
Radabaugh_et_al_2023,Typha,species,1,115,cm,0.411,Radabaugh et al. 2017,1,g,yes
Radabaugh_et_al_2023,Typha,species,1,120.5,cm,0.411,Radabaugh et al. 2017,1.58,g,yes
Radabaugh_et_al_2023,Typha,species,1,68,cm,0.411,Radabaugh et al. 2017,0.599,g,yes
Radabaugh_et_al_2023,Typha,species,1,139,cm,0.411,Radabaugh et al. 2017,1.51,g,yes
Radabaugh_et_al_2023,Typha,species,1,154,cm,0.411,Radabaugh et al. 2017,2.004,g,yes
Radabaugh_et_al_2023,Typha,species,1,146,cm,0.411,Radabaugh et al. 2017,2.031,g,yes
Radabaugh_et_al_2023,Typha,species,1,151,cm,0.411,Radabaugh et al. 2017,1.891,g,yes
Radabaugh_et_al_2023,Typha,species,1,100.5,cm,0.411,Radabaugh et al. 2017,0.877,g,yes
Radabaugh_et_al_2023,Typha,species,1,127.5,cm,0.411,Radabaugh et al. 2017,1.218,g,yes
Radabaugh_et_al_2023,Typha,species,1,58.5,cm,0.411,Radabaugh et al. 2017,0.341,g,yes
Radabaugh_et_al_2023,Typha,species,1,145,cm,0.411,Radabaugh et al. 2017,1.736,g,yes
Radabaugh_et_al_2023,Typha,species,1,25,cm,0.411,Radabaugh et al. 2017,0.063,g,yes
Radabaugh_et_al_2023,Typha,species,1,146,cm,0.411,Radabaugh et al. 2017,1.632,g,yes
Radabaugh_et_al_2023,Typha,species,1,96,cm,0.411,Radabaugh et al. 2017,1.09,g,yes
Radabaugh_et_al_2023,Typha,species,1,62,cm,0.411,Radabaugh et al. 2017,0.331,g,yes
Radabaugh_et_al_2023,Typha,species,1,109.5,cm,0.411,Radabaugh et al. 2017,0.97,g,yes
Radabaugh_et_al_2023,Typha,species,1,144,cm,0.411,Radabaugh et al. 2017,1.908,g,yes
Radabaugh_et_al_2023,Typha,species,1,87,cm,0.411,Radabaugh et al. 2017,0.946,g,yes
Radabaugh_et_al_2023,Typha,species,1,85.5,cm,0.411,Radabaugh et al. 2017,0.736,g,yes
Radabaugh_et_al_2023,Typha,species,1,90,cm,0.411,Radabaugh et al. 2017,0.607,g,yes
Radabaugh_et_al_2023,Typha,species,1,28,cm,0.411,Radabaugh et al. 2017,0.073,g,yes
Radabaugh_et_al_2023,Typha,species,1,113.5,cm,0.411,Radabaugh et al. 2017,1.009,g,yes
Radabaugh_et_al_2023,Typha,species,1,114,cm,0.411,Radabaugh et al. 2017,0.766,g,yes
Radabaugh_et_al_2023,Typha,species,1,98,cm,0.411,Radabaugh et al. 2017,0.566,g,yes
Radabaugh_et_al_2023,Typha,species,1,119.5,cm,0.411,Radabaugh et al. 2017,0.966,g,yes
Radabaugh_et_al_2023,Typha,species,1,120,cm,0.411,Radabaugh et al. 2017,1.001,g,yes
Radabaugh_et_al_2023,Typha,species,1,99,cm,0.411,Radabaugh et al. 2017,0.696,g,yes
Radabaugh_et_al_2023,Typha,species,1,56,cm,0.411,Radabaugh et al. 2017,0.271,g,yes
Radabaugh_et_al_2023,Typha,species,1,29.5,cm,0.411,Radabaugh et al. 2017,0.071,g,yes
Radabaugh_et_al_2023,Typha,species,1,100,cm,0.411,Radabaugh et al. 2017,0.7,g,yes
Radabaugh_et_al_2023,Typha,species,1,146.5,cm,0.411,Radabaugh et al. 2017,2.229,g,yes
Radabaugh_et_al_2023,Typha,species,1,168,cm,0.411,Radabaugh et al. 2017,3.028,g,yes
Radabaugh_et_al_2023,Typha,species,1,186,cm,0.411,Radabaugh et al. 2017,3.843,g,yes
Radabaugh_et_al_2023,Typha,species,1,146,cm,0.411,Radabaugh et al. 2017,2.117,g,yes
Radabaugh_et_al_2023,Typha,species,1,175,cm,0.411,Radabaugh et al. 2017,3.676,g,yes
Radabaugh_et_al_2023,Typha,species,1,50,cm,0.411,Radabaugh et al. 2017,0.259,g,yes
Radabaugh_et_al_2023,Typha,species,1,106.5,cm,0.411,Radabaugh et al. 2017,0.993,g,yes
Radabaugh_et_al_2023,Typha,species,1,190.5,cm,0.411,Radabaugh et al. 2017,3.693,g,yes
Radabaugh_et_al_2023,Typha,species,1,117,cm,0.411,Radabaugh et al. 2017,1.209,g,yes
Radabaugh_et_al_2023,Typha,species,1,157.5,cm,0.411,Radabaugh et al. 2017,2.41,g,yes
Radabaugh_et_al_2023,Typha,species,1,179,cm,0.411,Radabaugh et al. 2017,2.63,g,yes
Radabaugh_et_al_2023,Typha,species,1,68.5,cm,0.411,Radabaugh et al. 2017,0.327,g,yes
Radabaugh_et_al_2023,Typha,species,1,96,cm,0.411,Radabaugh et al. 2017,0.916,g,yes
Radabaugh_et_al_2023,Typha,species,1,148,cm,0.411,Radabaugh et al. 2017,1.791,g,yes
Radabaugh_et_al_2023,Typha,species,1,172.5,cm,0.411,Radabaugh et al. 2017,2.702,g,yes
Radabaugh_et_al_2023,Typha,species,1,142,cm,0.411,Radabaugh et al. 2017,2.003,g,yes
Radabaugh_et_al_2023,Typha,species,1,30.5,cm,0.411,Radabaugh et al. 2017,0.056,g,yes
Radabaugh_et_al_2023,Typha,species,1,156,cm,0.411,Radabaugh et al. 2017,1.986,g,yes
Radabaugh_et_al_2023,Typha,species,1,155,cm,0.411,Radabaugh et al. 2017,1.935,g,yes
Radabaugh_et_al_2023,Typha,species,1,72,cm,0.411,Radabaugh et al. 2017,0.449,g,yes
Radabaugh_et_al_2023,Typha,species,1,42,cm,0.411,Radabaugh et al. 2017,0.119,g,yes
Radabaugh_et_al_2023,Typha,species,1,118,cm,0.411,Radabaugh et al. 2017,1.07,g,yes
Radabaugh_et_al_2023,Typha,species,1,132.5,cm,0.411,Radabaugh et al. 2017,1.467,g,yes
Radabaugh_et_al_2023,Typha,species,1,157,cm,0.411,Radabaugh et al. 2017,2.1,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,54,cm,0.411,Radabaugh et al. 2017,3.9728,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,66,cm,0.411,Radabaugh et al. 2017,4.0194,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,57,cm,0.411,Radabaugh et al. 2017,2.2877,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,51.5,cm,0.411,Radabaugh et al. 2017,1.9329,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,40.5,cm,0.411,Radabaugh et al. 2017,3.2919,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,46,cm,0.411,Radabaugh et al. 2017,1.6447,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,33.5,cm,0.411,Radabaugh et al. 2017,0.735,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,34,cm,0.411,Radabaugh et al. 2017,0.5383,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,43.5,cm,0.411,Radabaugh et al. 2017,1.1008,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,50.5,cm,0.411,Radabaugh et al. 2017,1.5129,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,54.5,cm,0.411,Radabaugh et al. 2017,3.3177,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,43,cm,0.411,Radabaugh et al. 2017,0.9571,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,55.5,cm,0.411,Radabaugh et al. 2017,2.3773,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,41.5,cm,0.411,Radabaugh et al. 2017,1.7629,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,51.5,cm,0.411,Radabaugh et al. 2017,1.2005,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,36,cm,0.411,Radabaugh et al. 2017,0.6217,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,46,cm,0.411,Radabaugh et al. 2017,1.6533,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,39.5,cm,0.411,Radabaugh et al. 2017,1.533,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,63,cm,0.411,Radabaugh et al. 2017,3.2604,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,80,cm,0.411,Radabaugh et al. 2017,3.1195,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,84.5,cm,0.411,Radabaugh et al. 2017,7.8519,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,63.5,cm,0.411,Radabaugh et al. 2017,1.4181,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,53,cm,0.411,Radabaugh et al. 2017,1.7318,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,68,cm,0.411,Radabaugh et al. 2017,2.4332,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,60,cm,0.411,Radabaugh et al. 2017,2.2303,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,51,cm,0.411,Radabaugh et al. 2017,1.6087,g,yes
Radabaugh_et_al_2023,Pluchea,baccharis,1,47,cm,0.411,Radabaugh et al. 2017,1.5662,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,11,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.164,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,7.3,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.173,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,7,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.153,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,6.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.181,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,11.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.132,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,9.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.097,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,8,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.072,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,11.2,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.113,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12.2,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.123,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,5.1,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.125,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,13.7,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.119,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,10.2,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.146,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,11.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.107,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,9.6,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.076,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12.7,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.105,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,11.8,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.101,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,15.4,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.153,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,13.8,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.138,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,15.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.151,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,10.6,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.11,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12.6,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.113,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.122,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,10.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.135,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,6.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.167,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,11.4,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.12,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,9.7,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.094,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,8.4,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.077,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,8.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.225,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,15.4,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.169,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,14.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.147,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,16.3,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.144,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,15.3,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.138,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.099,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,14.2,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.13,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,13.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.141,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,13.6,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.152,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,14,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.15,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,17.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.195,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,7.7,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.072,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,15.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.125,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,6.3,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.06,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,10.1,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.106,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,4,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.033,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.137,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,14.2,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.12,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,10,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.212,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,8.1,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.182,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,9.2,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.111,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,7.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.055,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12.4,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.139,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,13.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.137,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,8.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.077,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,13.6,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.137,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,10.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.12,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,8.9,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.099,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,9.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.087,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,14.6,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.123,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,8.5,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.096,g,yes
Radabaugh_et_al_2023,Laguncularia,racemosa,1,12.4,cm,0.444,"Ewe et al. 2006, Bouillon et al. 2008",0.133,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,70.1,cm,0.411,Radabaugh et al. 2017,1.308,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,61,cm,0.411,Radabaugh et al. 2017,0.863,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,68.6,cm,0.411,Radabaugh et al. 2017,1.301,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,35,cm,0.411,Radabaugh et al. 2017,0.234,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,65,cm,0.411,Radabaugh et al. 2017,1.176,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,76,cm,0.411,Radabaugh et al. 2017,0.499,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,79,cm,0.411,Radabaugh et al. 2017,1.75,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,73,cm,0.411,Radabaugh et al. 2017,0.958,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,54.6,cm,0.411,Radabaugh et al. 2017,0.3,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,49.4,cm,0.411,Radabaugh et al. 2017,1.084,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,94.4,cm,0.411,Radabaugh et al. 2017,1.724,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,101.5,cm,0.411,Radabaugh et al. 2017,1.648,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,66.2,cm,0.411,Radabaugh et al. 2017,1.415,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,110,cm,0.411,Radabaugh et al. 2017,7.209,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,44,cm,0.411,Radabaugh et al. 2017,0.412,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,81.1,cm,0.411,Radabaugh et al. 2017,2.633,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,110.8,cm,0.411,Radabaugh et al. 2017,4.832,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,88,cm,0.411,Radabaugh et al. 2017,2.672,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,94.5,cm,0.411,Radabaugh et al. 2017,3.336,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,126,cm,0.411,Radabaugh et al. 2017,7.08,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,61.2,cm,0.411,Radabaugh et al. 2017,2.012,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,43.1,cm,0.411,Radabaugh et al. 2017,0.361,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,71.8,cm,0.411,Radabaugh et al. 2017,1.259,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,28.3,cm,0.411,Radabaugh et al. 2017,0.24,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,111.5,cm,0.411,Radabaugh et al. 2017,8.533,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,118.6,cm,0.411,Radabaugh et al. 2017,7.05,g,yes
Radabaugh_et_al_2023,Colocasia,esculenta,1,109.1,cm,0.411,Radabaugh et al. 2017,5.005,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,181,cm,0.411,Radabaugh et al. 2017,15.475,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,120.2,cm,0.411,Radabaugh et al. 2017,16.872,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,125.6,cm,0.411,Radabaugh et al. 2017,2.832,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,126,cm,0.411,Radabaugh et al. 2017,13.074,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,92.1,cm,0.411,Radabaugh et al. 2017,6.183,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,136.8,cm,0.411,Radabaugh et al. 2017,26.381,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,120.7,cm,0.411,Radabaugh et al. 2017,12.369,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,165.6,cm,0.411,Radabaugh et al. 2017,22.645,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,145.4,cm,0.411,Radabaugh et al. 2017,26.151,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,94.1,cm,0.411,Radabaugh et al. 2017,2.265,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,148.2,cm,0.411,Radabaugh et al. 2017,9.687,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,123,cm,0.411,Radabaugh et al. 2017,4.58,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,152,cm,0.411,Radabaugh et al. 2017,12.249,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,95,cm,0.411,Radabaugh et al. 2017,5.677,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,98.1,cm,0.411,Radabaugh et al. 2017,7.401,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,128,cm,0.411,Radabaugh et al. 2017,5.005,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,129.4,cm,0.411,Radabaugh et al. 2017,12.196,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,124.5,cm,0.411,Radabaugh et al. 2017,7.845,g,yes
Radabaugh_et_al_2023,Persicaria,setacea,1,110.8,cm,0.411,Radabaugh et al. 2017,4.044,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,206.6,cm,0.411,Radabaugh et al. 2017,5.784,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,260.1,cm,0.411,Radabaugh et al. 2017,13.532,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,214.5,cm,0.411,Radabaugh et al. 2017,8.759,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,215,cm,0.411,Radabaugh et al. 2017,7.831,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,216.8,cm,0.411,Radabaugh et al. 2017,6.689,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,212,cm,0.411,Radabaugh et al. 2017,8.07,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,95.8,cm,0.411,Radabaugh et al. 2017,2.322,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,104.5,cm,0.411,Radabaugh et al. 2017,5.166,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,96.2,cm,0.411,Radabaugh et al. 2017,1.282,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,85,cm,0.411,Radabaugh et al. 2017,1.66,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,17.3,cm,0.411,Radabaugh et al. 2017,0.259,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,44.4,cm,0.411,Radabaugh et al. 2017,0.525,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,44.6,cm,0.411,Radabaugh et al. 2017,0.66,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,29.5,cm,0.411,Radabaugh et al. 2017,0.314,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,49.2,cm,0.411,Radabaugh et al. 2017,0.655,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,41,cm,0.411,Radabaugh et al. 2017,0.518,g,yes
Radabaugh_et_al_2023,Schoenoplectus,tabernaemontani,1,70.3,cm,0.411,Radabaugh et al. 2017,0.772,g,yes
