No ID,Site ID,Data collection date (dd/mm/yyyy),Plot,Sub-plot,Latitude,Longitude,Species name (scientific),Species name (local),DBH (cm),Status (live/1/2/3),notes,wood density (g/cm3),volume (cm3),Wood Mass AG (kg),Total AGB (kg),BG root mass (kg),Sub-plot area (ha),AGB (Mg/ha),BGB (Mg/ha),AGC (MgC/ha),BGC (MgC/ha),Basal area per ha (m2),AGB summed per plot (Mg/ha),BGB summed per plot (Mg/ha),AGC summed per plot (MgC/ha),BGC summed per plot (MgC/ha),Basal area (m2/ha) summed per plot,source for density,source for allometry
11,KAT,5/08/2015,South,KSP1,,,,asam-asam ,10,,,,,,44.31,11.43,0.04,1.108,0.286,0.554,0.143,0.008,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
12,KAT,5/08/2015,South,KSP1,,,,darah-darah,13.2,,,,,,89.03,21.37,0.04,2.226,0.534,1.113,0.267,0.014,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
13,KAT,5/08/2015,South,KSP1,,,,ketiau,11.3,,,,,,60.25,15.06,0.04,1.506,0.376,0.753,0.188,0.010,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
14,KAT,5/08/2015,South,KSP1,,,,asam-asam ,26,,,,,,489.07,98.33,0.04,12.227,2.458,6.113,1.229,0.053,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
15,KAT,5/08/2015,South,KSP1,,,,terantang,8,,,,,,25.29,6.92,0.04,0.632,0.173,0.316,0.086,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
16,KAT,5/08/2015,South,KSP1,,,,kajalaki,7.1,,,,,,18.74,5.29,0.04,0.468,0.132,0.234,0.066,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
17,KAT,5/08/2015,South,KSP1,,,,darah-darah,6.5,,,,,,15.01,4.33,0.04,0.375,0.108,0.188,0.054,0.003,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
18,KAT,5/08/2015,South,KSP1,,,,gula-gula,11.3,Dead tree,,,,,60.25,15.06,0.04,1.506,0.376,0.753,0.188,0.010,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
19,KAT,5/08/2015,South,KSP1,,,,tatumbu,5.2,,,,,,8.57,2.62,0.04,0.214,0.066,0.107,0.033,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
20,KAT,5/08/2015,South,KSP1,,,,kajalaki,10.8,,,,,,53.77,13.60,0.04,1.344,0.340,0.672,0.170,0.009,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
21,KAT,5/08/2015,South,KSP1,,,,asam-asam,21,Dead tree,,,,,285.94,60.79,0.04,7.149,1.520,3.574,0.760,0.035,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
22,KAT,5/08/2015,South,KSP1,,,,darah-darah,6.9,,,,,,17.44,4.96,0.04,0.436,0.124,0.218,0.062,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
23,KAT,5/08/2015,South,KSP1,,,,darah-darah,23.9,,,,,,395.78,81.35,0.04,9.894,2.034,4.947,1.017,0.045,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
24,KAT,5/08/2015,South,KSP1,,,,gula-gula,38.3,,,,,,1294.55,235.26,0.04,32.364,5.881,16.182,2.941,0.115,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
25,KAT,5/08/2015,South,KSP1,,,,tatumbu,14.1,,,,,,105.08,24.79,0.04,2.627,0.620,1.314,0.310,0.016,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
26,KAT,5/08/2015,South,KSP1,,,,ketiau,6.2,,,,,,13.33,3.90,0.04,0.333,0.097,0.167,0.049,0.003,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
27,KAT,5/08/2015,South,KSP1,,,,bentan,9.2,,,,,,35.94,9.48,0.04,0.898,0.237,0.449,0.118,0.007,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
28,KAT,5/08/2015,South,KSP1,,,,bentan,7,,,,,,18.08,5.12,0.04,0.452,0.128,0.226,0.064,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
29,KAT,5/08/2015,South,KSP1,,,,bentan,6.3,Dead tree,,,,,13.88,4.04,0.04,0.347,0.101,0.173,0.050,0.003,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
30,KAT,5/08/2015,South,KSP1,,,,ketiau,5.4,,,,,,9.42,2.85,0.04,0.235,0.071,0.118,0.036,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
31,KAT,5/08/2015,South,KSP1,,,,darah-darah,9,,,,,,34.01,9.02,0.04,0.850,0.225,0.425,0.113,0.006,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
32,KAT,5/08/2015,South,KSP1,,,,meranti,58.4,,,,,,3737.10,608.33,0.04,93.427,15.208,46.714,7.604,0.268,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
33,KAT,5/08/2015,South,KSP1,,,,kacapuri,6,,,,,,12.28,3.62,0.04,0.307,0.090,0.153,0.045,0.003,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
34,KAT,5/08/2015,South,KSP1,,,,kajalaki,18,,,,,,194.11,42.96,0.04,4.853,1.074,2.426,0.537,0.025,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
35,KAT,5/08/2015,South,KSP1,,,,asam-asam,7.4,,,,,,20.79,5.80,0.04,0.520,0.145,0.260,0.073,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
36,KAT,5/08/2015,South,KSP1,,,,gula-gula,26.5,,,,,,513.05,102.64,0.04,12.826,2.566,6.413,1.283,0.055,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
37,KAT,5/08/2015,South,KSP1,,,,asam-asam,11.6,,,,,,64.35,15.97,0.04,1.609,0.399,0.804,0.200,0.011,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
38,KAT,5/08/2015,South,KSP1,,,,ketiau,9,,,,,,34.01,9.02,0.04,0.850,0.225,0.425,0.113,0.006,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
39,KAT,5/08/2015,South,KSP1,,,,tatumbu,8,,,,,,25.29,6.92,0.04,0.632,0.173,0.316,0.086,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
40,KAT,5/08/2015,South,KSP1,,,,meranti,10.7,,,,,,52.53,13.32,0.04,1.313,0.333,0.657,0.166,0.009,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
41,KAT,5/08/2015,South,KSP1,,,,gula-gula,31.7,,,,,,804.82,153.66,0.04,20.121,3.842,10.060,1.921,0.079,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
42,KAT,5/08/2015,South,KSP1,,,,kajalaki,13.5,,,,,,94.20,22.47,0.04,2.355,0.562,1.178,0.281,0.014,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
43,KAT,5/08/2015,South,KSP1,,,,terantang,39,,,,,,1354.83,245.05,0.04,33.871,6.126,16.935,3.063,0.119,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
44,KAT,5/08/2015,South,KSP1,,,,kajalaki,8.3,,,,,,27.74,7.52,0.04,0.694,0.188,0.347,0.094,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
45,KAT,5/08/2015,South,KSP1,,,,ketiau,6.7,,,,,,16.20,4.64,0.04,0.405,0.116,0.202,0.058,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
46,KAT,5/08/2015,South,KSP1,,,,darah-darah,10.1,,,,,,45.44,11.69,0.04,1.136,0.292,0.568,0.146,0.008,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
47,KAT,5/08/2015,South,KSP1,,,,gula-gula,15.1,Dead tree,,,,,124.83,28.92,0.04,3.121,0.723,1.560,0.362,0.018,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
