"[Abbreviations: ID, indentification; cm, centimeter; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment; --, no data]",,,,,
Sample/Core ID,"Depth
 (cm)","Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)"
16CCT03-GB230M,12-13,0.28,0.50,1.31,0.030
16CCT03-GB230M,13-14,0.29,0.51,1.28,0.030
16CCT03-GB230M,14-15,0.30,0.51,1.27,0.029
16CCT03-GB230M,15-16,0.30,0.52,1.25,0.028
16CCT03-GB230M,15-16a,,,,0.030
16CCT03-GB230M,16-17,0.31,0.53,1.24,0.027
16CCT03-GB230M,17-18,0.30,0.51,1.27,0.029
16CCT03-GB230M,18-19,0.31,0.53,1.23,0.030
16CCT03-GB230M,19-20,0.32,0.54,1.19,0.032
16CCT03-GB230M,20-21,0.31,0.53,1.22,0.031
16CCT03-GB230M,20-21a,,,,0.034
16CCT03-GB230M,21-22,0.30,0.52,1.25,0.032
16CCT03-GB230M,22-23,0.31,0.52,1.24,0.034
16CCT03-GB230M,23-24,0.30,0.52,1.25,0.034
16CCT03-GB230M,23-24a,,,,0.036
16CCT03-GB230M,24-25,0.31,0.53,1.21,0.035
16CCT03-GB230M,25-26,0.31,0.53,1.21,0.036
16CCT03-GB230M,26-27,0.32,0.54,1.21,0.033
16CCT03-GB230M,27-28,0.33,0.55,1.18,0.034
16CCT03-GB230M,27-28a,,,,0.033
16CCT03-GB230M,28-29,0.34,0.56,1.13,0.036
16CCT03-GB230M,29-30,0.33,0.56,1.15,0.039
16CCT03-GB230M,30-31,0.35,0.57,1.12,0.037
16CCT03-GB230M,31-32,0.33,0.55,1.16,0.037
16CCT03-GB230M,32-33,0.31,0.53,1.22,0.041
16CCT03-GB230M,33-34,0.29,0.51,1.27,0.043
16CCT03-GB230M,33-34a,,,,0.042
16CCT03-GB230M,34-35,0.31,0.53,1.22,0.048
16CCT03-GB230M,35-36,0.28,0.50,1.30,0.046
16CCT03-GB230M,36-37,0.26,0.47,1.37,0.044
16CCT03-GB230M,37-38,0.26,0.46,1.39,0.044
16CCT03-GB230M,38-39,0.26,0.46,1.38,0.043
16CCT03-GB230M,38-39a,,,,0.042
16CCT03-GB230M,39-40,0.25,0.45,1.43,0.045
16CCT03-GB230M,40-41,0.23,0.43,1.47,0.041
16CCT03-GB230M,41-42,0.23,0.42,1.50,0.038
16CCT03-GB230M,42-43,0.22,0.42,1.50,0.038
16CCT03-GB230M,43-44,0.23,0.42,1.50,0.036
16CCT03-GB230M,43-44a,,,,0.037
16CCT03-GB230M,44-45,0.23,0.43,1.49,0.037
16CCT03-GB230M,45-45.5,0.25,0.45,1.43,0.037
,,,,,
,,,,,
16CCT03-GB231M,0-1,0.24,0.44,1.37,0.008
16CCT03-GB231M,0-1a,0.23,0.43,1.38,
16CCT03-GB231M,1-2,0.25,0.45,1.38,0.012
16CCT03-GB231M,1-2a,0.24,0.44,1.36,
16CCT03-GB231M,2-3,0.28,0.49,1.29,0.013
16CCT03-GB231M,2-3a,0.25,0.46,1.33,
16CCT03-GB231M,3-4,0.28,0.50,1.25,0.017
16CCT03-GB231M,3-4a,0.27,0.48,1.26,
16CCT03-GB231M,4-5,0.26,0.46,1.36,0.016
16CCT03-GB231M,4-5a,0.25,0.46,1.41,
16CCT03-GB231M,5-6,0.26,0.47,1.20,0.019
16CCT03-GB231M,6-7,0.25,0.45,1.35,0.017
16CCT03-GB231M,6-7a,,,,0.016
16CCT03-GB231M,7-8,0.23,0.43,1.32,0.016
16CCT03-GB231M,8-9,0.24,0.44,1.24,0.018
16CCT03-GB231M,9-10,0.22,0.42,1.40,0.017
16CCT03-GB231M,10-11,0.25,0.45,1.24,0.022
16CCT03-GB231M,10-11a,,,,0.022
16CCT03-GB231M,11-12,0.24,0.44,1.36,0.019
16CCT03-GB231M,12-13,0.23,0.43,1.35,0.018
16CCT03-GB231M,13-14,0.22,0.42,1.29,0.019
16CCT03-GB231M,14-15,0.25,0.45,1.29,0.020
16CCT03-GB231M,15-16,0.25,0.46,1.12,0.023
16CCT03-GB231M,15-16a,,,,0.022
16CCT03-GB231M,16-17,0.27,0.48,1.18,0.025
16CCT03-GB231M,17-18,0.28,0.49,1.15,0.024
16CCT03-GB231M,18-19,0.28,0.49,1.19,0.024
16CCT03-GB231M,18-19a,,,,0.024
16CCT03-GB231M,19-20,0.29,0.50,1.06,0.024
16CCT03-GB231M,20-21,0.28,0.50,1.17,0.025
16CCT03-GB231M,21-22,0.28,0.49,1.22,0.022
16CCT03-GB231M,22-23,0.27,0.48,1.19,0.024
16CCT03-GB231M,23-24,0.25,0.46,1.29,0.023
16CCT03-GB231M,23-24a,,,,0.023
16CCT03-GB231M,24-25,0.27,0.48,1.26,0.025
16CCT03-GB231M,25-26,0.27,0.48,1.18,0.027
16CCT03-GB231M,26-27,0.27,0.48,1.25,0.028
16CCT03-GB231M,26-27a,,,,0.027
16CCT03-GB231M,27-28,0.27,0.48,1.20,0.029
16CCT03-GB231M,28-29,0.27,0.48,1.25,0.030
16CCT03-GB231M,29-30,0.27,0.48,1.20,0.030
16CCT03-GB231M,30-31,0.27,0.48,1.19,0.031
16CCT03-GB231M,31-32,0.27,0.48,1.26,0.030
16CCT03-GB231M,32-33,0.27,0.49,1.17,0.031
16CCT03-GB231M,33-34,0.28,0.49,1.23,0.031
16CCT03-GB231M,33-34a,,,,0.030
16CCT03-GB231M,34-35,0.29,0.50,1.18,0.031
16CCT03-GB231M,35-36,0.29,0.51,1.15,0.032
16CCT03-GB231M,36-37,0.30,0.52,1.12,0.033
16CCT03-GB231M,36-37a,,,,0.032
16CCT03-GB231M,37-38,0.31,0.53,1.09,0.034
16CCT03-GB231M,38-39,0.31,0.53,1.11,0.036
16CCT03-GB231M,39-40,0.30,0.52,1.13,0.034
16CCT03-GB231M,40-41,0.29,0.50,1.21,0.032
16CCT03-GB231M,40-41a,,,,0.033
16CCT03-GB231M,41-42,0.27,0.48,1.21,0.032
16CCT03-GB231M,42-43,0.27,0.48,1.39,0.035
,,,,,
,,,,,
16CCT03-GB232M(A),0-1,0.46,0.68,0.72,0.031
16CCT03-GB232M(A),1-2,0.36,0.58,1.02,0.023
16CCT03-GB232M(A),2-3,0.38,0.60,0.87,0.027
16CCT03-GB232M(A),3-4,0.37,0.59,0.99,0.030
16CCT03-GB232M(A),4-5,0.35,0.58,1.02,0.031
16CCT03-GB232M(A),4-5a,,,,0.030
16CCT03-GB232M(A),5-6,0.34,0.56,1.02,0.034
16CCT03-GB232M(A),6-7,0.33,0.55,1.06,0.034
16CCT03-GB232M(A),7-8,0.33,0.55,1.07,0.035
16CCT03-GB232M(A),8-9,0.32,0.54,1.12,0.035
16CCT03-GB232M(A),8-9a,,,,0.033
16CCT03-GB232M(A),9-10,0.31,0.52,1.05,0.034
16CCT03-GB232M(A),10-11,0.30,0.52,1.09,0.031
16CCT03-GB232M(A),11-12,0.30,0.51,1.17,0.033
16CCT03-GB232M(A),12-13,0.30,0.51,1.17,0.032
16CCT03-GB232M(A),12-13a,,,,0.030
16CCT03-GB232M(A),13-14,0.29,0.51,1.15,0.031
16CCT03-GB232M(A),14-15,0.29,0.50,1.18,0.030
16CCT03-GB232M(A),15-16,0.29,0.51,1.15,0.031
16CCT03-GB232M(A),16-17,0.29,0.51,1.18,0.031
16CCT03-GB232M(A),17-18,0.29,0.51,1.17,0.031
16CCT03-GB232M(A),18-19,0.29,0.51,1.18,0.030
16CCT03-GB232M(A),19-20,0.29,0.51,1.17,0.029
16CCT03-GB232M(A),19-20a,,,,0.027
16CCT03-GB232M(A),20-21,0.28,0.49,1.15,0.028
16CCT03-GB232M(A),21-22,0.28,0.49,1.18,0.026
16CCT03-GB232M(A),22-23,0.28,0.50,1.22,0.026
16CCT03-GB232M(A),23-24,0.28,0.49,1.12,0.025
16CCT03-GB232M(A),23-24a,,,,0.025
16CCT03-GB232M(A),24-25,0.28,0.49,1.21,0.024
16CCT03-GB232M(A),25-26,0.28,0.49,1.22,0.025
16CCT03-GB232M(A),26-27,0.28,0.49,1.23,0.026
16CCT03-GB232M(A),27-28,0.29,0.51,1.20,0.028
16CCT03-GB232M(A),27-28a,,,,0.028
16CCT03-GB232M(A),28-29,0.30,0.51,1.19,0.030
16CCT03-GB232M(A),29-30,0.29,0.51,1.18,0.032
,,,,,
,,,,,
16CCT03-GB232M(B),0-1,0.39,0.62,0.92,0.025
16CCT03-GB232M(B),1-2,0.36,0.59,1.01,0.026
16CCT03-GB232M(B),2-3,0.34,0.56,1.07,0.028
16CCT03-GB232M(B),2-3a,,,,0.027
16CCT03-GB232M(B),3-4,0.33,0.56,1.08,0.031
16CCT03-GB232M(B),4-5,0.33,0.55,1.09,0.032
16CCT03-GB232M(B),5-6,0.32,0.54,1.10,0.034
16CCT03-GB232M(B),6-7,0.31,0.53,1.08,0.034
16CCT03-GB232M(B),7-8,0.30,0.52,1.16,0.033
16CCT03-GB232M(B),7-8a,,,,0.033
16CCT03-GB232M(B),8-9,0.30,0.52,1.12,0.033
16CCT03-GB232M(B),9-10,0.30,0.52,1.08,0.034
16CCT03-GB232M(B),10-11,0.30,0.52,1.16,0.031
16CCT03-GB232M(B),11-12,0.31,0.53,1.18,0.033
16CCT03-GB232M(B),11-12a,,,,0.033
16CCT03-GB232M(B),12-13,0.30,0.52,1.17,0.033
16CCT03-GB232M(B),13-14,0.31,0.52,1.13,0.034
16CCT03-GB232M(B),14-15,0.32,0.54,1.09,0.036
16CCT03-GB232M(B),15-16,0.32,0.54,1.11,0.033
16CCT03-GB232M(B),16-17,0.31,0.52,1.15,0.030
16CCT03-GB232M(B),16-17a,,,,0.029
16CCT03-GB232M(B),17-18,0.30,0.52,1.17,0.027
16CCT03-GB232M(B),18-19,0.30,0.51,1.20,0.028
16CCT03-GB232M(B),19-20,0.30,0.51,1.16,0.028
16CCT03-GB232M(B),20-21,0.28,0.49,1.27,0.025
16CCT03-GB232M(B),20-21a,,,,0.025
16CCT03-GB232M(B),21-22,0.28,0.49,1.24,0.026
16CCT03-GB232M(B),22-23,0.26,0.46,1.35,0.024
16CCT03-GB232M(B),23-24,0.27,0.48,1.19,0.027
,,,,,
,,,,,
16CCT03-GB233M,0-1,0.46,0.68,0.79,0.031
16CCT03-GB233M,1-2,0.47,0.69,0.75,0.036
16CCT03-GB233M,2-3,0.48,0.70,0.71,0.040
16CCT03-GB233M,3-4,0.40,0.63,0.92,0.031
16CCT03-GB233M,4-5,0.36,0.59,1.02,0.029
16CCT03-GB233M,4-5a,,,,0.030
16CCT03-GB233M,5-6,0.34,0.56,1.10,0.032
16CCT03-GB233M,6-7,0.32,0.54,1.10,0.032
16CCT03-GB233M,7-8,0.33,0.55,1.09,0.032
16CCT03-GB233M,8-9,0.32,0.54,1.07,0.033
16CCT03-GB233M,9-10,0.34,0.56,1.09,0.034
16CCT03-GB233M,10-11,0.34,0.56,1.06,0.035
16CCT03-GB233M,10-11a,,,,0.034
16CCT03-GB233M,11-12,0.35,0.57,1.02,0.038
16CCT03-GB233M,12-13,0.34,0.56,1.05,0.035
16CCT03-GB233M,13-14,0.33,0.55,1.07,0.033
16CCT03-GB233M,14-15,0.32,0.54,1.11,0.031
16CCT03-GB233M,15-16,0.33,0.55,1.08,0.031
16CCT03-GB233M,16-17,0.33,0.55,1.10,0.031
16CCT03-GB233M,16-17a,,,,0.031
16CCT03-GB233M,17-18,0.34,0.56,1.07,0.032
16CCT03-GB233M,18-19,0.33,0.55,1.09,0.030
16CCT03-GB233M,19-20,0.35,0.57,1.06,0.034
16CCT03-GB233M,20-21,0.35,0.58,1.04,0.036
16CCT03-GB233M,20-21a,,,,0.036
16CCT03-GB233M,21-22,0.37,0.59,0.97,0.038
16CCT03-GB233M,22-23,0.39,0.62,0.93,0.044
16CCT03-GB233M,22-23a,,,,0.044
16CCT03-GB233M,23-24,0.40,0.63,0.90,0.045
16CCT03-GB233M,24-25.5,0.39,0.61,0.90,0.046
,,,,,
,,,,,
16CCT03-GB234M,0-1,0.37,0.60,0.97,0.022
16CCT03-GB234M,1-2,0.40,0.63,0.93,0.029
16CCT03-GB234M,1-2a,,,,0.027
16CCT03-GB234M,2-3,0.39,0.61,0.90,0.030
16CCT03-GB234M,3-4,0.33,0.55,1.06,0.024
16CCT03-GB234M,4-5,0.29,0.51,1.23,0.019
16CCT03-GB234M,5-6,0.25,0.46,1.34,0.019
16CCT03-GB234M,6-7,0.27,0.48,1.31,0.019
16CCT03-GB234M,6-7a,,,,0.018
16CCT03-GB234M,7-8,0.26,0.47,1.34,0.021
16CCT03-GB234M,8-9,0.29,0.51,1.22,0.025
16CCT03-GB234M,9-10,0.29,0.50,1.20,0.026
16CCT03-GB234M,10-11,0.30,0.51,1.21,0.026
16CCT03-GB234M,11-12,0.29,0.51,1.21,0.027
16CCT03-GB234M,12-13,0.30,0.52,1.19,0.027
16CCT03-GB234M,12-13a,,,,0.026
16CCT03-GB234M,13-14,0.29,0.51,1.21,0.026
16CCT03-GB234M,14-15,0.29,0.51,1.23,0.024
16CCT03-GB234M,15-16,0.29,0.51,1.22,0.022
16CCT03-GB234M,16-17,0.31,0.53,1.19,0.023
16CCT03-GB234M,17-18,0.32,0.54,1.15,0.024
16CCT03-GB234M,18-19,0.28,0.49,1.26,0.025
16CCT03-GB234M,18-19a,,,,0.025
16CCT03-GB234M,19-20,0.31,0.53,1.18,0.026
16CCT03-GB234M,20-21,0.30,0.52,1.17,0.025
16CCT03-GB234M,21-22,0.31,0.53,1.17,0.024
16CCT03-GB234M,22-23,0.29,0.50,1.24,0.021
16CCT03-GB234M,22-23a,,,,0.021
16CCT03-GB234M,23-24,0.29,0.50,1.23,0.020
16CCT03-GB234M,24-25,0.27,0.48,1.34,0.019
16CCT03-GB234M,25-26,0.30,0.51,1.19,0.024
16CCT03-GB234M,26-27,0.31,0.53,1.18,0.027
16CCT03-GB234M,27-28,0.31,0.53,1.18,0.027
16CCT03-GB234M,28-29,0.31,0.53,1.16,0.028
16CCT03-GB234M,28-29a,,,,0.026
16CCT03-GB234M,29-30,0.31,0.53,1.17,0.027
16CCT03-GB234M,30-31,0.33,0.55,1.12,0.029
16CCT03-GB234M,31-32,0.34,0.56,1.09,0.029
16CCT03-GB234M,31-32a,,,,0.028
16CCT03-GB234M,32-33,0.35,0.57,1.05,0.030
16CCT03-GB234M,33-34,0.34,0.56,1.10,0.029
16CCT03-GB234M,34-35,0.30,0.52,1.24,0.024
16CCT03-GB234M,35-36,0.32,0.54,1.15,0.028
16CCT03-GB234M,35-36a,,,,0.028
16CCT03-GB234M,36-37,0.36,0.59,1.05,0.033
16CCT03-GB234M,37-38,0.38,0.61,0.97,0.034
16CCT03-GB234M,38-39,0.34,0.56,1.07,0.030
16CCT03-GB234M,39-40,0.34,0.57,1.03,0.029
16CCT03-GB234M,40-41,0.37,0.59,1.01,0.033
16CCT03-GB234M,41-42,0.36,0.58,1.03,0.032
16CCT03-GB234M,42-43,0.32,0.54,1.13,0.033
16CCT03-GB234M,42-43a,,,,0.032
16CCT03-GB234M,43-44,0.37,0.59,0.98,0.036
16CCT03-GB234M,44-45,0.35,0.57,1.08,0.036
16CCT03-GB234M,45-46,0.38,0.60,0.97,0.039
16CCT03-GB234M,46-47,0.34,0.56,1.07,0.033
16CCT03-GB234M,47-48,0.37,0.59,1.00,--
16CCT03-GB234M,48-49,0.36,0.58,1.02,0.035
16CCT03-GB234M,48-49a,,,,0.034
16CCT03-GB234M,49-50,0.36,0.59,1.01,0.036
16CCT03-GB234M,50-51,0.37,0.59,0.99,0.037
16CCT03-GB234M,51-52,0.36,0.59,1.01,0.033
16CCT03-GB234M,52-53,0.37,0.59,0.99,0.036
16CCT03-GB234M,52-53a,,,,0.037
16CCT03-GB234M,53-54,0.38,0.60,0.97,0.038
16CCT03-GB234M,54-55,0.39,0.61,0.94,0.040
16CCT03-GB234M,55-56,0.41,0.64,0.89,0.043
16CCT03-GB234M,56-57,0.41,0.63,0.88,0.044
16CCT03-GB234M,57-58,0.40,0.63,0.91,0.040
16CCT03-GB234M,57-58a,,,,0.040
16CCT03-GB234M,58-59,0.38,0.60,0.96,0.037
16CCT03-GB234M,59-60,0.38,0.61,0.97,0.038
16CCT03-GB234M,60-61,0.38,0.61,0.96,0.041
16CCT03-GB234M,61-62,0.38,0.61,0.94,0.045
16CCT03-GB234M,62-63,0.38,0.60,0.95,0.040
16CCT03-GB234M,62-63a,,,,0.041
16CCT03-GB234M,63-64,0.35,0.57,1.05,0.038
16CCT03-GB234M,64-65,0.33,0.55,1.10,0.033
16CCT03-GB234M,65-66,0.34,0.56,1.07,0.033
16CCT03-GB234M,66-67,0.34,0.56,1.07,0.032
16CCT03-GB234M,67-68,0.34,0.56,1.08,0.032
16CCT03-GB234M,68-69,0.33,0.56,1.08,0.032
16CCT03-GB234M,68-69a,,,,0.032
16CCT03-GB234M,69-70,0.33,0.55,1.09,0.033
16CCT03-GB234M,70-71,0.35,0.57,1.04,0.034
16CCT03-GB234M,71-72,0.34,0.56,1.08,0.032
16CCT03-GB234M,72-73,0.31,0.53,1.14,0.030
16CCT03-GB234M,72-73a,,,,0.031
16CCT03-GB234M,73-74,0.34,0.56,1.06,0.032
16CCT03-GB234M,74-75,0.34,0.57,1.06,0.032
16CCT03-GB234M,75-76,0.36,0.59,1.01,0.034
16CCT03-GB234M,76-77,0.33,0.56,1.08,0.032
16CCT03-GB234M,76-77a,,,,0.032
16CCT03-GB234M,77-78,0.30,0.51,1.19,0.032
16CCT03-GB234M,78-79,0.31,0.53,1.14,0.031
16CCT03-GB234M,79-80,0.30,0.52,1.15,0.031
16CCT03-GB234M,80-81,0.29,0.51,1.20,0.031
16CCT03-GB234M,81-82,0.28,0.49,1.24,0.029
16CCT03-GB234M,81-82a,,,,0.027
16CCT03-GB234M,82-83,0.25,0.46,1.33,0.027
16CCT03-GB234M,83-83.5,0.24,0.44,1.37,0.026
,,,,,
,,,,,
16CCT03-GB235M,0-1,0.35,0.57,1.03,0.020
16CCT03-GB235M,1-2,0.29,0.51,1.20,0.018
16CCT03-GB235M,2-3,0.28,0.49,1.27,0.017
16CCT03-GB235M,3-4,0.28,0.49,1.26,0.017
16CCT03-GB235M,3-4a,,,,0.017
16CCT03-GB235M,4-5,0.30,0.51,1.22,0.021
16CCT03-GB235M,5-6,0.30,0.52,1.18,0.023
16CCT03-GB235M,6-7,0.30,0.52,1.19,0.025
16CCT03-GB235M,7-8,0.29,0.51,1.22,0.026
16CCT03-GB235M,8-9,0.28,0.49,1.24,0.026
16CCT03-GB235M,8-9a,,,,0.026
16CCT03-GB235M,9-10,0.28,0.49,1.26,0.026
16CCT03-GB235M,10-11,0.28,0.50,1.23,0.027
16CCT03-GB235M,11-12,0.29,0.50,1.18,0.027
16CCT03-GB235M,12-13,0.29,0.50,1.22,0.028
16CCT03-GB235M,12-13a,,,,0.027
16CCT03-GB235M,13-14,0.29,0.50,1.20,0.028
16CCT03-GB235M,14-15,0.28,0.49,1.25,0.027
16CCT03-GB235M,15-16,0.27,0.48,1.26,0.025
16CCT03-GB235M,16-17,0.26,0.47,1.30,0.023
16CCT03-GB235M,16-17a,,,,0.023
16CCT03-GB235M,17-18,0.25,0.46,1.32,0.022
16CCT03-GB235M,18-18.5,0.25,0.46,1.33,0.021
,,,,,
,,,,,
16CCT03-GB236M,0-1,0.26,0.46,1.33,0.011
16CCT03-GB236M,1-2,0.27,0.48,1.29,0.016
16CCT03-GB236M,1-2a,,,,0.017
16CCT03-GB236M,2-3,0.30,0.51,1.15,0.021
16CCT03-GB236M,3-4,0.30,0.52,1.17,0.023
16CCT03-GB236M,4-5,0.30,0.51,1.19,0.024
16CCT03-GB236M,5-6,0.29,0.50,1.21,0.025
16CCT03-GB236M,6-7,0.28,0.50,1.23,0.025
16CCT03-GB236M,7-8,0.29,0.50,1.20,0.026
16CCT03-GB236M,7-8a,,,,0.026
16CCT03-GB236M,8-9,0.28,0.49,1.24,0.025
16CCT03-GB236M,9-10,0.28,0.50,1.21,0.027
16CCT03-GB236M,10-11,0.27,0.49,1.26,0.026
16CCT03-GB236M,11-12,0.27,0.48,1.27,0.025
16CCT03-GB236M,12-13,0.26,0.47,1.30,0.023
16CCT03-GB236M,12-13a,,,,0.022
16CCT03-GB236M,13-14,0.26,0.47,1.27,0.023
16CCT03-GB236M,14-15,0.27,0.48,1.27,0.025
16CCT03-GB236M,15-16,0.29,0.50,1.20,0.028
16CCT03-GB236M,16-17,0.29,0.51,1.22,0.026
16CCT03-GB236M,17-18,0.27,0.48,1.24,0.024
16CCT03-GB236M,17-18a,,,,0.023
16CCT03-GB236M,18-19,0.27,0.48,1.28,0.022
16CCT03-GB236M,19-20,0.27,0.48,1.28,0.022
16CCT03-GB236M,20-21,0.26,0.47,1.30,0.022
16CCT03-GB236M,20-21a,,,,0.022
16CCT03-GB236M,21-22,0.27,0.48,1.28,0.023
16CCT03-GB236M,22-23,0.28,0.49,1.26,0.024
16CCT03-GB236M,23-24,0.22,0.42,1.32,0.026
16CCT03-GB236M,24-25,0.26,0.46,1.32,0.024
16CCT03-GB236M,25-26,0.24,0.44,1.33,0.020
16CCT03-GB236M,26-27,0.21,0.39,1.50,0.018
