Site ID,Depth Interval Code,Bulk Density,Loss on Ignition,Percent TC,137Cs,137Cs error
5,15,0.106,0.507,23.2,0.575,0.171
5,16,0.116,0.501,22.9,0.625,0.160
5,17,0.105,0.562,25.8,1.085,0.172
5,18,0.117,0.511,23.4,0.906,0.158
5,19,0.112,0.552,25.3,0.935,0.167
5,20,0.107,0.617,28.4,1.586,0.183
5,21,0.114,0.528,24.2,5.276,0.545
5,22,0.115,0.518,23.7,3.369,0.184
5,23,0.133,0.448,20.4,2.502,0.295
5,24,0.170,0.323,14.5,0.000,0.000
5,25,0.169,0.316,14.2,1.175,0.111
6,1,0.097,0.450,20.5,2.745,0.243
6,2,0.175,0.358,16.2,2.336,0.188
6,3,0.217,0.298,13.4,2.727,0.147
6,4,0.217,0.297,13.3,2.664,0.168
6,5,0.228,0.291,13.1,2.561,0.160
6,6,0.234,0.274,12.3,2.235,0.111
6,7,0.249,0.280,12.5,2.177,0.102
6,8,0.244,0.300,13.5,2.532,0.143
6,9,0.260,0.292,13.1,2.395,0.139
6,10,0.250,0.275,12.3,2.575,0.132
6,11,0.228,0.321,14.5,2.770,0.151
6,12,0.185,0.403,18.3,4.633,0.198
6,13,0.135,0.540,24.8,10.742,0.309
6,14,0.193,0.356,16.1,8.473,0.219
6,15,0.235,0.271,12.1,4.949,0.121
6,16,0.214,0.344,15.5,3.330,0.124
6,17,0.197,0.358,16.2,4.162,0.136
6,18,0.202,0.364,16.5,2.033,0.156
6,19,0.197,0.375,17.0,3.897,0.137
6,20,0.233,0.288,12.9,1.914,0.138
6,21,0.265,0.219,9.7,0.437,0.115
7,1,0.046,0.747,34.5,0.647,0.711
7,2,0.066,0.572,26.3,1.092,0.443
7,3,0.098,0.433,19.7,1.527,0.302
7,4,0.147,0.339,15.3,1.867,0.217
7,5,0.139,0.355,16.0,0.903,0.225
7,6,0.134,0.776,35.8,1.378,0.170
7,7,0.225,0.277,12.4,0.880,0.102
7,8,0.138,0.907,42.0,0.905,0.233
7,9,0.099,0.672,30.9,1.277,0.213
7,10,0.080,0.685,31.6,0.799,0.268
7,11,0.066,0.814,37.6,0.430,0.437
7,12,0.071,0.800,37.0,1.513,0.296
7,13,0.071,0.811,37.5,1.601,0.426
7,14,0.069,0.776,35.8,1.758,0.318
7,15,0.058,0.708,32.6,1.806,0.381
7,16,0.049,0.744,34.4,2.190,0.437
7,17,0.052,0.749,34.6,2.132,0.427
7,18,0.058,0.777,35.9,1.818,0.490
7,19,0.066,0.665,30.6,4.990,0.357
7,20,0.145,0.289,13.0,4.875,0.181
7,21,0.121,0.426,19.4,7.098,0.219
7,22,0.123,0.474,21.6,6.100,0.230
7,23,0.118,0.442,20.1,3.678,0.281
7,24,0.184,0.425,19.4,1.597,0.189
7,25,0.195,0.400,18.2,0.853,0.174
8,1,0.068,0.603,27.7,1.650,0.424
8,2,0.142,0.527,24.2,0.364,0.233
8,3,0.146,0.583,26.8,0.632,0.214
8,4,0.172,0.344,15.6,0.891,0.193
8,5,0.322,0.189,8.3,0.471,0.102
8,6,0.480,0.090,3.6,0.374,0.070
8,7,0.146,0.409,18.6,1.883,0.161
8,8,0.115,0.422,19.2,2.143,0.220
8,9,0.109,0.405,18.4,1.741,0.212
8,10,0.113,0.414,18.9,2.321,0.289
8,11,0.115,0.427,19.4,2.770,0.276
8,12,0.165,0.277,12.4,3.341,0.222
8,13,0.296,0.154,6.6,2.963,0.123
8,14,0.231,0.232,10.3,4.439,0.120
8,15,0.131,0.403,18.3,5.688,0.294
8,16,0.138,0.281,12.6,4.492,0.257
8,17,0.171,0.315,14.2,1.641,0.208
8,18,0.179,0.303,13.6,1.262,0.176
8,19,0.187,0.300,13.5,0.786,0.159
8,20,0.175,0.290,13.0,0.420,0.173
8,21,0.180,0.263,11.7,0.506,0.168
8,22,0.183,0.281,12.6,0.684,0.169
8,23,0.187,0.298,13.4,0.225,0.182
8,24,0.200,0.301,13.5,.,.
8,25,0.214,0.301,13.5,.,.
9,1,0.078,0.520,23.8,0.571,0.144
9,2,0.177,0.185,8.1,0.349,0.067
9,3,0.324,0.124,5.2,0.120,0.042
9,4,0.146,0.340,15.4,0.609,0.110
9,5,0.141,0.430,19.6,0.515,0.113
9,6,0.137,0.409,18.6,0.675,0.127
9,7,0.150,0.449,20.5,0.562,0.117
9,8,0.123,0.423,19.3,0.866,0.133
9,9,0.126,0.435,19.8,1.356,0.145
9,10,0.121,0.433,19.7,1.590,0.141
9,11,0.115,0.431,19.7,1.930,0.164
9,12,0.117,0.432,19.7,1.620,0.154
9,13,0.149,0.386,17.5,2.077,0.136
9,14,0.272,0.171,7.4,1.793,0.063
9,15,0.479,0.088,3.5,1.346,0.040
9,16,0.241,0.166,7.2,2.735,0.098
9,17,0.125,0.391,17.7,4.013,0.181
9,18,0.157,0.356,16.1,1.967,0.123
9,19,0.130,0.371,16.8,1.390,0.128
9,20,0.143,0.343,15.5,0.662,0.117
9,21,0.154,0.282,12.6,0.266,0.100
9,22,0.182,0.258,11.5,0.226,0.101
9,23,0.189,0.260,11.6,0.363,0.073
9,24,0.278,0.171,7.4,0.777,0.185
9,25,0.273,0.169,7.3,0.620,0.159
10,1,0.194,0.300,13.5,0.462,0.106
10,2,0.267,0.255,11.4,.,.
10,3,0.377,0.319,14.4,0.297,0.079
10,4,0.482,0.107,4.4,.,.
10,5,0.231,0.378,17.1,0.361,0.125
10,6,0.254,0.263,11.7,.,.
10,7,0.224,0.258,11.5,0.489,0.126
10,8,0.210,0.232,10.3,.,.
10,9,0.212,0.228,10.1,0.858,0.107
10,10,0.189,0.229,10.2,.,.
10,11,0.225,0.254,11.3,0.358,0.101
10,12,0.240,0.254,11.3,0.000,0.000
10,13,0.253,0.253,11.3,0.412,0.154
10,14,0.264,0.241,10.7,.,.
10,15,0.236,0.233,10.3,0.844,0.243
10,16,0.223,0.228,10.1,0.000,0.000
10,17,0.243,0.246,11.0,0.870,0.150
10,18,0.254,0.260,11.6,1.843,0.365
10,19,0.246,0.258,11.5,1.557,0.118
10,20,0.255,0.234,10.4,2.438,0.457
10,21,0.191,0.322,14.5,2.369,0.162
10,22,0.175,0.338,15.3,3.435,0.547
10,23,0.162,0.376,17.1,0.905,0.171
10,24,0.183,0.331,14.9,.,.
10,25,0.200,0.290,13.0,0.467,0.117
11,1,0.258,0.208,9.1,0.105,0.121
11,2,0.312,0.192,8.4,0.184,0.080
11,3,0.780,0.041,1.3,0.000,0.052
11,4,0.734,0.049,1.7,.,.
11,5,0.338,0.207,9.1,0.344,0.085
11,6,0.310,0.236,10.5,.,.
11,7,0.276,0.251,11.2,0.241,0.106
11,8,0.246,0.240,10.6,.,.
11,9,0.278,0.242,10.8,0.348,0.119
11,10,0.247,0.243,10.8,.,.
11,11,0.242,0.258,11.5,0.811,0.137
11,12,0.260,0.245,10.9,.,.
11,13,0.263,0.231,10.3,0.259,0.121
11,14,0.269,0.230,10.2,1.157,0.104
11,15,0.372,0.165,7.2,1.298,0.078
11,16,0.259,0.217,9.6,1.816,0.114
11,17,0.231,0.262,11.7,2.265,0.123
11,18,0.257,0.254,11.3,1.456,0.106
11,19,0.259,0.227,10.1,1.228,0.096
11,20,0.112,0.218,9.6,0.837,0.223
11,21,0.238,0.179,7.8,0.935,0.105
11,22,0.260,0.212,9.3,0.490,0.105
11,23,0.248,0.218,9.6,0.693,0.105
11,24,0.283,0.208,9.2,0.297,0.085
11,25,0.279,0.211,9.3,0.324,0.092
12,1,0.106,0.492,22.5,1.005,0.392
12,2,0.125,0.540,24.8,1.954,0.377
12,3,0.104,0.587,27.0,2.534,0.436
12,4,0.092,0.618,28.4,2.656,0.513
12,5,0.096,0.546,25.1,5.865,0.523
12,6,0.102,0.591,27.1,3.255,0.454
12,7,0.103,0.716,33.0,0.986,0.329
12,8,0.099,0.733,33.8,.,.
12,9,0.100,0.724,33.4,2.193,0.471
12,10,0.096,0.737,34.0,.,.
12,11,0.102,0.727,33.5,1.439,0.444
12,12,0.109,0.739,34.1,.,.
12,13,0.108,0.740,34.2,1.455,0.452
12,14,0.113,0.724,33.4,.,.
12,15,0.117,0.688,31.7,1.034,0.434
12,16,0.123,0.665,30.6,.,.
12,17,0.142,0.544,24.9,1.420,0.328
12,18,0.139,0.520,23.8,2.058,0.391
12,19,0.081,0.736,34.0,11.862,0.593
12,20,0.081,0.695,32.0,9.182,0.644
12,21,0.111,0.569,26.1,6.291,0.434
12,22,0.132,0.529,24.3,1.750,0.389
12,23,0.133,0.502,23.0,0.854,0.280
12,24,0.140,0.457,20.8,.,.
13,1,0.091,0.581,26.7,1.211,0.185
13,2,0.066,0.601,27.6,.,.
13,3,0.065,0.707,32.6,0.685,0.255
13,4,0.055,0.781,36.1,.,.
13,5,0.054,0.817,37.7,0.267,0.309
13,6,0.051,0.848,39.2,.,.
13,7,0.050,0.829,38.3,1.309,0.247
13,8,0.045,0.886,41.0,0.815,0.334
13,9,0.058,0.732,33.8,2.286,0.248
13,10,0.090,0.503,23.0,4.026,0.214
13,11,0.103,0.424,19.3,4.339,0.208
13,12,0.073,0.640,29.4,3.966,0.256
13,13,0.057,0.818,37.8,1.979,0.312
13,14,0.060,0.735,33.9,.,.
13,15,0.072,0.544,24.9,1.322,0.247
13,16,0.136,0.309,13.9,0.000,0.000
13,17,0.175,0.271,12.1,1.396,0.118
13,18,0.164,0.299,13.4,.,.
13,19,0.108,0.510,23.4,0.659,0.146
13,20,0.087,0.677,31.2,0.000,0.000
13,21,0.071,0.812,37.5,0.000,0.212
13,22,0.068,0.856,39.6,.,.
13,23,0.072,0.864,40.0,0.195,0.201
13,24,0.070,0.860,39.8,.,.
14,1,0.104,0.432,19.7,1.039,0.596
14,2,0.141,0.407,18.5,.,.
14,3,0.128,0.442,20.2,0.642,0.705
14,4,0.116,0.508,23.2,.,.
14,5,0.107,0.536,24.6,1.007,0.410
14,6,0.101,0.523,23.9,.,.
14,7,0.093,0.548,25.1,0.800,0.484
14,8,0.080,0.585,26.9,.,.
14,9,0.077,0.554,25.4,2.028,0.557
14,10,0.075,0.555,25.4,.,.
14,11,0.093,0.528,24.2,1.484,0.520
14,12,0.093,0.526,24.1,2.054,0.511
14,13,0.089,0.477,21.8,2.267,0.502
14,14,0.093,0.449,20.5,3.039,0.505
14,15,0.116,0.382,17.3,3.625,0.424
14,16,0.120,0.362,16.4,4.498,0.451
14,17,0.102,0.406,18.5,5.348,0.459
14,18,0.119,0.340,15.4,5.148,0.438
14,19,0.111,0.415,18.9,3.758,0.546
14,20,0.102,0.473,21.6,3.438,0.472
14,21,0.123,0.377,17.1,2.586,0.431
14,22,0.100,0.460,21.0,5.600,0.467
14,23,0.091,0.480,22.0,3.040,0.554
14,24,0.071,0.567,26.0,0.772,0.714
14,25,0.079,0.503,23.0,1.494,0.578
15,1,0.099,0.302,13.6,0.246,0.161
15,2,0.143,0.335,15.1,0.260,0.117
15,3,0.326,0.144,6.2,0.152,0.053
15,4,0.239,0.264,11.8,0.156,0.068
15,5,0.180,0.292,13.1,0.062,0.095
15,6,0.152,0.289,13.0,0.201,0.099
15,7,0.170,0.287,12.9,0.129,0.097
15,8,0.141,0.280,12.5,0.375,0.111
15,9,0.123,0.382,17.3,0.463,0.131
15,10,0.104,0.399,18.2,0.413,0.150
15,11,0.123,0.444,20.2,0.342,0.118
15,12,0.154,0.353,16.0,0.273,0.098
15,13,0.150,0.363,16.5,0.179,0.113
15,14,0.149,0.447,20.4,0.100,0.114
15,15,0.169,0.419,19.1,0.358,0.103
15,16,0.146,0.375,17.0,0.472,0.113
15,17,0.160,0.384,17.4,0.407,0.112
15,18,0.146,0.318,14.3,0.722,0.112
15,19,0.175,0.256,11.4,0.565,0.101
15,20,0.266,0.246,10.9,0.693,0.072
15,21,0.306,0.168,7.3,1.078,0.069
15,22,0.285,0.186,8.1,1.922,0.085
15,23,0.193,0.284,12.7,2.115,0.117
15,24,0.186,0.257,11.4,0.837,0.091
16,1,0.217,0.253,11.3,0.017,0.258
16,2,0.345,0.150,6.4,.,.
16,3,0.374,0.172,7.5,0.048,0.122
16,4,0.194,0.370,16.8,.,.
16,5,0.194,0.336,15.2,0.902,0.232
16,6,0.194,0.258,11.5,.,.
16,7,0.198,0.280,12.5,0.540,0.246
16,8,0.142,0.383,17.4,.,.
16,9,0.175,0.325,14.7,0.275,0.281
16,10,0.175,0.315,14.2,.,.
16,11,0.189,0.290,13.0,0.648,0.237
16,12,0.188,0.336,15.2,.,.
16,13,0.183,0.323,14.6,0.810,0.268
16,14,0.171,0.341,15.4,.,.
16,15,0.175,0.316,14.2,0.999,0.257
16,16,0.159,0.290,13.0,1.342,0.308
16,17,0.232,0.230,10.2,1.677,0.208
16,18,0.461,0.085,3.4,0.909,0.137
16,19,0.250,0.289,13.0,1.617,0.189
16,20,0.177,0.268,12.0,2.267,0.260
16,21,0.190,0.258,11.5,1.269,0.280
16,22,0.225,0.262,11.7,.,.
16,23,0.242,0.186,8.1,0.742,0.218
16,24,0.160,0.253,11.3,.,.
16,25,0.229,0.229,10.1,0.257,0.205
17,1,0.546,0.073,2.8,0.123,0.047
17,2,0.738,0.039,1.2,.,.
17,3,0.324,0.131,5.6,0.133,0.080
17,4,0.301,0.213,9.4,.,.
17,5,0.258,0.253,11.3,0.127,0.097
17,6,0.255,0.236,10.5,.,.
17,7,0.246,0.313,14.1,0.294,0.098
17,8,0.268,0.252,11.3,.,.
17,9,0.247,0.223,9.9,0.484,0.096
17,10,0.211,0.253,11.3,.,.
17,11,0.229,0.243,10.8,0.396,0.108
17,12,0.251,0.209,9.2,.,.
17,13,0.218,0.248,11.0,0.433,0.105
17,14,0.208,0.247,11.0,.,.
17,15,0.216,0.249,11.1,0.806,0.112
17,16,0.234,0.201,8.9,0.754,0.113
17,17,0.324,0.126,5.3,0.732,0.089
17,18,0.289,0.150,6.4,1.457,0.094
17,19,0.213,0.204,9.0,1.671,0.127
17,20,0.222,0.210,9.3,1.292,0.125
17,21,0.178,0.256,11.4,0.906,0.148
17,22,0.224,0.209,9.2,0.590,0.112
17,23,0.188,0.245,10.9,0.646,0.121
17,24,0.209,0.223,9.9,0.423,0.122
17,25,0.234,0.230,10.2,0.275,0.107
18,1,0.123,0.269,14.9,4.450,0.278
18,2,0.132,0.367,13.5,6.381,0.334
18,3,0.119,0.368,16.3,6.792,0.314
18,4,0.095,0.276,12.9,5.074,0.255
18,5,0.113,0.331,16.9,4.153,0.249
18,6,0.148,0.346,16.1,7.136,0.378
18,7,0.116,0.406,19.2,7.682,0.344
18,8,0.103,0.439,20.5,6.056,0.367
18,9,0.123,0.335,20.8,6.601,0.353
18,10,0.183,0.269,18.3,9.300,0.401
18,11,0.065,0.490,22.2,11.678,0.536
18,12,0.070,0.557,28.8,9.670,0.700
18,13,0.065,0.613,28.7,10.597,0.554
18,14,0.065,0.659,33.9,14.150,0.730
18,15,0.034,0.715,35.5,13.231,0.612
18,16,0.087,0.470,17.8,3.349,0.252
18,17,0.077,0.393,28.2,3.673,0.460
18,18,0.073,0.547,24.9,4.490,0.563
18,19,0.073,0.715,35.4,4.627,0.498
18,20,0.066,0.636,34.0,0.589,0.565
18,21,0.058,0.641,31.4,3.751,0.415
18,22,0.036,0.500,23.5,2.056,0.456
19,1,0.050,0.236,7.6,.,.
19,2,0.132,0.219,6.8,0.152,0.088
19,3,0.124,0.177,1.9,0.281,0.081
19,4,0.117,0.150,3.4,.,.
19,5,0.182,0.167,6.8,.,.
19,6,0.115,0.183,7.2,0.265,0.068
19,7,0.013,0.179,3.5,0.142,0.085
19,8,0.123,0.303,6.7,.,.
19,9,0.099,0.239,3.0,.,.
19,10,0.072,0.224,8.4,0.283,0.093
19,11,0.038,0.455,18.3,0.533,0.140
19,12,0.075,0.470,24.0,0.762,0.147
19,13,0.074,0.478,22.5,0.813,0.161
19,14,0.038,0.584,20.1,1.946,0.215
19,15,0.030,0.568,21.4,2.032,0.253
19,16,0.050,0.288,11.8,.,.
19,17,0.166,0.116,7.1,2.075,0.126
19,18,0.197,0.064,1.7,1.324,0.111
19,19,0.053,0.504,20.4,4.155,0.220
19,20,0.036,0.519,20.1,4.199,0.322
19,21,0.056,0.428,20.7,1.984,0.281
19,22,0.035,0.384,18.4,2.633,0.235
19,23,0.073,0.107,10.4,1.205,0.169
19,24,0.058,0.364,14.6,0.514,0.156
19,25,0.080,0.345,13.7,0.731,0.116
19,26,0.056,0.396,17.1,0.325,0.096
19,27,0.066,0.276,10.1,.,.
20,1,0.059,0.637,24.8,0.570,0.098
20,2,0.044,0.800,28.0,0.504,0.098
20,3,0.044,0.670,24.7,0.541,0.109
20,4,0.066,0.486,25.6,0.464,0.089
20,5,0.056,0.484,26.9,0.910,0.089
20,6,0.109,0.410,22.3,0.689,0.101
20,7,0.077,0.362,18.0,0.731,0.097
20,8,0.039,0.536,22.3,0.513,0.113
20,9,0.058,0.571,27.5,0.838,0.117
20,10,0.045,0.653,30.5,0.949,0.147
20,11,0.052,0.626,29.9,0.837,0.120
20,12,0.048,0.764,28.6,1.277,0.172
20,13,0.036,0.698,34.0,1.514,0.191
20,14,0.046,0.715,33.9,1.885,0.214
20,15,0.042,0.723,34.1,3.122,0.210
20,16,0.077,0.364,17.0,4.918,0.196
20,17,0.067,0.442,18.9,5.380,0.190
20,18,0.032,0.629,29.0,12.495,0.346
20,19,0.028,0.738,27.5,8.928,0.320
20,20,0.062,0.581,26.9,3.997,0.243
20,21,0.031,0.712,31.3,4.840,0.255
20,22,0.041,0.705,28.6,3.007,0.233
20,23,0.050,0.658,27.5,1.883,0.199
20,24,0.050,0.521,21.5,1.196,0.136
20,25,0.048,0.549,20.3,0.933,0.120
20,26,0.062,0.347,15.4,0.009,0.002
21,1,0.106,0.294,11.9,0.203,0.054
21,2,0.155,0.159,5.8,0.101,0.043
21,3,0.278,0.068,1.8,.,.
21,4,0.150,0.192,7.9,0.271,0.056
21,5,0.177,0.148,5.7,0.187,0.042
21,6,0.095,0.317,11.9,0.329,0.070
21,7,0.111,0.227,9.3,0.256,0.058
21,8,0.139,0.124,4.5,0.333,0.065
21,9,0.134,0.156,5.6,0.319,0.057
21,10,0.089,0.380,18.5,0.572,0.078
21,11,0.067,0.510,21.2,0.386,0.079
21,12,0.062,0.567,31.8,0.368,0.093
21,13,0.047,0.525,29.6,1.130,0.137
21,14,0.072,0.491,24.8,1.275,0.115
21,15,0.097,0.392,20.6,1.656,0.117
21,16,0.265,0.105,3.7,1.326,0.067
21,17,0.303,0.066,2.1,1.202,0.077
21,18,0.115,0.292,13.3,3.314,0.118
21,19,0.210,0.156,4.5,1.504,0.072
21,20,0.256,0.109,3.0,0.805,0.061
21,21,0.182,0.139,3.6,0.676,0.060
21,22,0.239,0.112,2.5,0.752,0.059
22,1,0.071,0.257,14.2,4.204,0.223
22,2,0.082,0.325,15.2,9.878,0.383
22,3,0.099,0.245,11.7,5.593,0.285
22,4,0.148,0.152,5.6,4.304,0.244
22,5,0.156,0.106,5.3,3.888,0.228
22,6,0.088,0.272,16.6,7.492,0.389
22,7,0.090,0.394,22.1,7.260,0.406
22,8,0.065,0.430,20.9,9.174,0.450
22,9,0.057,0.485,20.4,8.776,0.455
22,10,0.073,0.518,24.3,10.470,0.573
22,11,0.035,0.602,29.3,9.696,0.475
22,12,0.049,0.510,25.0,9.797,0.491
22,13,0.047,0.478,23.8,6.308,0.374
22,14,0.169,0.125,8.7,1.608,0.129
22,15,0.230,0.075,5.1,1.174,0.104
22,16,0.051,0.469,26.9,3.556,0.247
22,17,0.044,0.536,27.8,5.596,0.381
22,18,0.047,0.464,22.4,3.092,0.253
22,19,0.086,0.296,11.0,2.676,0.203
22,20,0.093,0.249,10.5,1.715,0.131
22,21,0.119,0.249,11.4,1.114,0.107
22,22,0.191,0.195,9.0,1.297,0.110
22,23,0.122,0.226,9.9,1.695,0.143
22,24,0.089,0.251,12.7,2.640,0.197
22,25,0.074,0.255,10.5,1.888,0.153
22,26,0.132,0.191,7.8,2.637,0.191
22,27,0.106,0.225,11.2,1.461,0.117
22,28,0.088,0.238,12.6,2.119,0.147
22,29,0.123,0.146,5.4,1.751,0.146
23,1,0.169,0.232,11.1,0.105,0.041
23,2,0.149,0.071,3.2,0.049,0.031
23,3,0.110,0.171,11.0,.,.
23,4,0.154,0.185,10.3,0.044,0.032
23,5,0.132,0.203,11.9,0.211,0.040
23,6,0.320,0.085,3.4,.,.
23,7,0.145,0.101,4.3,0.072,0.028
23,8,0.174,0.082,3.3,0.055,0.027
23,9,0.209,0.093,3.1,0.060,0.027
23,10,0.117,0.263,7.1,0.175,0.055
23,11,0.059,0.350,20.8,0.339,0.069
23,12,0.068,0.486,26.0,0.076,0.052
23,13,0.053,0.480,25.2,0.441,0.085
23,14,0.068,0.417,19.0,0.447,0.073
23,15,0.050,0.522,26.5,0.439,0.067
23,16,0.040,0.553,28.6,0.457,0.110
23,17,0.049,0.500,25.0,0.282,0.076
23,18,0.047,0.420,19.8,0.876,0.070
23,19,0.060,0.519,27.3,1.094,0.079
23,20,0.055,0.463,22.5,1.401,0.084
23,21,0.102,0.199,12.7,1.677,0.081
23,22,0.137,0.182,7.4,1.042,0.058
23,23,0.170,0.145,5.6,2.703,0.127
23,24,0.046,0.437,22.1,3.587,0.117
23,25,0.043,0.457,23.6,1.217,0.090
23,26,0.032,0.536,25.6,0.614,0.057
23,27,0.061,0.309,15.8,0.496,0.055
24,1,0.275,0.101,3.3,0.203,0.052
24,2,0.188,0.108,3.2,0.044,0.024
24,3,0.096,0.139,3.9,0.161,0.058
24,4,0.170,0.141,5.6,0.146,0.056
24,5,0.204,0.101,4.8,0.177,0.054
24,6,0.135,0.125,5.1,0.239,0.065
24,7,0.148,0.137,5.3,0.242,0.066
24,8,0.143,0.156,5.9,0.291,0.068
24,9,0.149,0.152,6.2,0.060,0.064
24,10,0.222,0.123,5.1,.,.
24,11,0.214,0.108,3.2,.,.
24,12,0.167,0.192,5.6,0.144,0.066
24,13,0.161,0.147,6.9,.,.
24,14,0.137,0.157,8.1,0.153,0.031
24,15,0.226,0.092,4.2,.,.
24,16,0.115,0.142,5.3,0.346,0.084
24,17,0.161,0.160,5.7,0.188,0.070
24,18,0.175,0.161,7.4,0.061,0.075
24,19,0.164,0.163,5.8,0.298,0.055
24,20,0.143,0.163,6.1,0.184,0.047
24,21,0.201,0.161,7.0,0.697,0.062
