Site,Ecosystem,Emirate,plot,depth (cm),section length (cm),total core length (cm), % loss on ignition (LOI), % total carbon (TC),% inorganic carbon (IC),% organic carbon (OC),% nitrogen (N),proportion TC,proportion IC,proportion OC,proportion N,dry bulk density (g/cm3),TC density (g/cm3),IC density (g/cm3),OC density (g/cm3),TC (g/cm2),IC (g/cm2),OC (g/cm2),TC (g/m2),IC    (g/m2),OC (g/m2),TC (Mg/ha),IC  (Mg/ha),OC (Mg/ha),notes,,
Al Aryam,salt marsh,Abu Dhabi,1,50-110,60,,4.631,8.85,7.76,1.09,0.056,0.088,0.078,0.011,0.00056,1.115,0.099,0.086,0.012,5.917,5.187,0.730,59172.6,51874.0,7298.6,591.73,518.74,72.99,,,
Al Aryam,salt marsh,Abu Dhabi,2,0-15,15,85,7.722,10.13,8.37,1.77,0.076,0.101,0.084,0.018,0.00076,1.109,0.112,0.093,0.020,1.685,1.391,0.294,16853.0,13914.0,2939.0,168.53,139.14,29.39,,,
Al Aryam,salt marsh,Abu Dhabi,2,15-30,15,,6.767,11.00,8.81,2.19,0.084,0.110,0.088,0.022,0.00084,1.176,0.129,0.104,0.026,1.942,1.556,0.386,19415.8,15556.0,3859.8,194.16,155.56,38.60,,,
Al Aryam,salt marsh,Abu Dhabi,2,30-50,20,,5.074,10.83,8.97,1.86,0.067,0.108,0.090,0.019,0.00067,1.332,0.144,0.119,0.025,2.887,2.390,0.497,28866.0,23899.2,4966.7,288.66,238.99,49.67,,,
Al Aryam,salt marsh,Abu Dhabi,2,50-85,35,,4.141,10.67,8.83,1.84,0.044,0.107,0.088,0.018,0.00044,1.387,0.148,0.123,0.025,5.180,4.288,0.892,51802.5,42884.1,8918.5,518.03,428.84,89.18,,,
Al Aryam,salt marsh,Abu Dhabi,3,0-15,15,100,8.867,10.34,7.53,2.81,0.079,0.103,0.075,0.028,0.00079,1.292,0.134,0.097,0.036,2.003,1.459,0.544,20026.6,14585.1,5441.6,200.27,145.85,54.42,,,
Al Aryam,salt marsh,Abu Dhabi,3,15-30,15,,5.146,10.32,8.70,1.62,0.069,0.103,0.087,0.016,0.00069,1.361,0.140,0.118,0.022,2.107,1.776,0.331,21069.7,17761.8,3307.9,210.70,177.62,33.08,,,
Al Aryam,salt marsh,Abu Dhabi,3,30-50,20,,4.638,10.04,8.64,1.40,0.060,0.100,0.086,0.014,0.00060,1.432,0.144,0.124,0.020,2.874,2.474,0.400,28742.0,24744.4,3997.6,287.42,247.44,39.98,,,
Al Aryam,salt marsh,Abu Dhabi,3,50-100,50,,4.219,9.93,9.27,0.66,0.051,0.099,0.093,0.007,0.00051,1.188,0.118,0.110,0.008,5.899,5.509,0.390,58994.3,55092.0,3902.4,589.94,550.92,39.02,,,
Al Aryam,salt marsh,Abu Dhabi,4,0-15,15,200,4.496,10.88,10.01,0.88,0.078,0.109,0.100,0.009,0.00078,1.162,0.126,0.116,0.010,1.897,1.744,0.153,18969.6,17443.3,1526.3,189.70,174.43,15.26,,,
Al Aryam,salt marsh,Abu Dhabi,4,15-30,15,,5.561,10.69,9.70,0.99,0.075,0.107,0.097,0.010,0.00075,1.358,0.145,0.132,0.013,2.178,1.977,0.201,21784.2,19771.7,2012.5,217.84,197.72,20.12,,,
Al Aryam,salt marsh,Abu Dhabi,4,30-62,32,,6.382,10.22,8.74,1.48,0.071,0.102,0.087,0.015,0.00071,1.306,0.133,0.114,0.019,4.270,3.651,0.619,42701.8,36512.5,6189.3,427.02,365.12,61.89,,,
Al Aryam,salt marsh,Abu Dhabi,4,62-67,5,,17.919,8.11,1.38,6.73,0.319,0.081,0.014,0.067,0.00319,0.687,0.056,0.009,0.046,0.278,0.047,0.231,2784.4,473.1,2311.3,27.84,4.73,23.11,,,
Al Aryam,salt marsh,Abu Dhabi,4,67-74,7,,19.802,12.75,3.57,9.18,0.394,0.127,0.036,0.092,0.00394,0.505,0.064,0.018,0.046,0.451,0.126,0.325,4506.3,1261.0,3245.4,45.06,12.61,32.45,,,
Al Aryam,salt marsh,Abu Dhabi,4,80-85,26,,6.058,10.31,8.45,1.87,0.112,0.103,0.084,0.019,0.00112,0.945,0.097,0.080,0.018,2.533,2.075,0.458,25333.2,20751.1,4582.1,253.33,207.51,45.82,,,
Al Aryam,salt marsh,Abu Dhabi,4,100-200,100,,4.472,11.03,10.16,0.87,0.082,0.110,0.102,0.009,0.00082,1.245,0.137,0.126,0.011,13.736,12.648,1.088,137359.6,126483.0,10876.7,1373.60,1264.83,108.77,,,
Al Aryam,salt marsh,Abu Dhabi,5,0-15,15,180,6.304,10.38,9.15,1.23,0.097,0.104,0.092,0.012,0.00097,1.136,0.118,0.104,0.014,1.769,1.560,0.209,17686.9,15595.1,2091.8,176.87,155.95,20.92,,,
Al Aryam,salt marsh,Abu Dhabi,5,15-30,15,,6.120,10.56,9.12,1.44,0.081,0.106,0.091,0.014,0.00081,1.220,0.129,0.111,0.018,1.934,1.670,0.264,19338.6,16701.6,2637.0,193.39,167.02,26.37,,,
Al Aryam,salt marsh,Abu Dhabi,5,30-48,18,,5.901,10.07,9.05,1.02,0.070,0.101,0.091,0.010,0.00070,1.229,0.124,0.111,0.013,2.228,2.002,0.226,22276.7,20017.6,2259.1,222.77,200.18,22.59,,,
Al Aryam,salt marsh,Abu Dhabi,5,48-50,2,,10.037,5.94,3.46,2.48,0.105,0.059,0.035,0.025,0.00105,1.140,0.068,0.039,0.028,0.135,0.079,0.057,1353.9,788.8,565.1,13.54,7.89,5.65,,,
Al Aryam,salt marsh,Abu Dhabi,5,50-100,50,,3.573,10.30,9.47,0.83,0.068,0.103,0.095,0.008,0.00068,1.286,0.132,0.122,0.011,6.623,6.089,0.533,66225.6,60894.5,5331.1,662.26,608.95,53.31,,,
Al Aryam,salt marsh,Abu Dhabi,5,100-180,80,,5.990,10.87,9.49,1.38,0.109,0.109,0.095,0.014,0.00109,1.086,0.118,0.103,0.015,9.449,8.250,1.199,94493.6,82501.6,11992.0,944.94,825.02,119.92,,,
Al Aryam,salt marsh,Abu Dhabi,6,0-15,15,81,6.594,10.56,9.14,1.42,0.092,0.106,0.091,0.014,0.00092,1.135,0.120,0.104,0.016,1.798,1.556,0.242,17979.5,15559.4,2420.1,179.80,155.59,24.20,,,
Al Aryam,salt marsh,Abu Dhabi,6,15-30,15,,6.175,10.27,8.99,1.28,0.081,0.103,0.090,0.013,0.00081,1.346,0.138,0.121,0.017,2.075,1.817,0.259,20751.3,18165.8,2585.6,207.51,181.66,25.86,,,
Al Aryam,salt marsh,Abu Dhabi,6,30-50,20,,5.818,10.26,9.08,1.18,0.072,0.103,0.091,0.012,0.00072,1.373,0.141,0.125,0.016,2.817,2.494,0.324,28171.8,24936.3,3235.5,281.72,249.36,32.35,,,
Al Aryam,salt marsh,Abu Dhabi,6,50-81,31,,3.813,10.58,9.56,1.02,0.066,0.106,0.096,0.010,0.00066,1.493,0.158,0.143,0.015,4.896,4.423,0.473,48960.9,44226.4,4734.6,489.61,442.26,47.35,,,
Eastern Mangrove,salt marsh,Abu Dhabi,1,0-15,15,85,4.861,11.14,9.78,1.37,0.110,0.111,0.098,0.014,0.00110,1.098,0.122,0.107,0.015,1.835,1.610,0.225,18352.3,16103.3,2249.0,183.52,161.03,22.49,,,
Eastern Mangrove,salt marsh,Abu Dhabi,1,15-30,15,,3.585,10.60,10.09,0.51,0.077,0.106,0.101,0.005,0.00077,1.348,0.143,0.136,0.007,2.143,2.039,0.104,21430.9,20393.2,1037.7,214.31,203.93,10.38,,,
Eastern Mangrove,salt marsh,Abu Dhabi,1,30-50,20,,3.200,10.26,9.53,0.73,0.057,0.103,0.095,0.007,0.00057,1.360,0.140,0.130,0.010,2.791,2.592,0.199,27914.7,25924.6,1990.0,279.15,259.25,19.90,,,
Eastern Mangrove,salt marsh,Abu Dhabi,1,50-85,35,,2.329,10.84,10.52,0.32,0.000,0.108,0.105,0.003,0.00000,1.470,0.159,0.155,0.005,5.575,5.412,0.163,55745.7,54115.2,1630.5,557.46,541.15,16.30,,,
Eastern Mangrove,salt marsh,Abu Dhabi,2,0-15,15,144,4.734,11.04,9.67,1.37,0.120,0.110,0.097,0.014,0.00120,0.966,0.107,0.093,0.013,1.601,1.402,0.199,16007.9,14018.3,1989.6,160.08,140.18,19.90,,,
Eastern Mangrove,salt marsh,Abu Dhabi,2,15-30,15,,3.466,10.66,9.92,0.74,0.076,0.107,0.099,0.007,0.00076,1.266,0.135,0.126,0.009,2.023,1.883,0.140,20234.5,18834.5,1400.1,202.35,188.34,14.00,,,
Eastern Mangrove,salt marsh,Abu Dhabi,2,30-50,20,,2.666,10.23,10.02,0.21,0.053,0.102,0.100,0.002,0.00053,1.398,0.143,0.140,0.003,2.860,2.802,0.059,28603.0,28016.7,586.3,286.03,280.17,5.86,,,
Eastern Mangrove,salt marsh,Abu Dhabi,2,50-100,50,,2.369,10.83,10.45,0.37,0.047,0.108,0.105,0.004,0.00047,1.454,0.157,0.152,0.005,7.873,7.602,0.271,78730.5,76023.5,2707.0,787.30,760.23,27.07,,,
Eastern Mangrove,salt marsh,Abu Dhabi,2,100-144,44,,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.499,0.162,0.157,0.006,7.141,6.895,0.246,71405.2,68950.1,2455.1,714.05,689.50,24.55,using C and N data from section above since sample is missing; BD are similar,,
Eastern Mangrove,salt marsh,Abu Dhabi,3,0-15,15,75,4.631,10.90,9.69,1.21,0.114,0.109,0.097,0.012,0.00114,1.127,0.123,0.109,0.014,1.843,1.638,0.205,18433.6,16383.9,2049.7,184.34,163.84,20.50,,,
Eastern Mangrove,salt marsh,Abu Dhabi,3,15-30,15,,3.482,10.52,9.81,0.71,0.072,0.105,0.098,0.007,0.00072,1.298,0.136,0.127,0.009,2.047,1.909,0.139,20474.3,19085.9,1388.4,204.74,190.86,13.88,,,
Eastern Mangrove,salt marsh,Abu Dhabi,3,30-50,20,,2.665,10.38,9.92,0.45,0.051,0.104,0.099,0.005,0.00051,1.439,0.149,0.143,0.007,2.985,2.855,0.130,29849.5,28547.1,1302.4,298.50,285.47,13.02,,,
Eastern Mangrove,salt marsh,Abu Dhabi,3,50-75,25,,2.351,10.60,10.06,0.55,0.040,0.106,0.101,0.005,0.00040,1.591,0.169,0.160,0.009,4.219,4.001,0.218,42190.9,40008.9,2181.9,421.91,400.09,21.82,,,
Eastern Mangrove,salt marsh,Abu Dhabi,4,0-15,15,185,3.948,10.77,9.93,0.83,0.083,0.108,0.099,0.008,0.00083,1.046,0.113,0.104,0.009,1.689,1.558,0.131,16886.5,15577.5,1309.0,168.86,155.78,13.09,,,
Eastern Mangrove,salt marsh,Abu Dhabi,4,15-30,15,,4.524,10.98,9.85,1.13,0.116,0.110,0.098,0.011,0.00116,1.222,0.134,0.120,0.014,2.012,1.805,0.207,20120.5,18050.8,2069.7,201.21,180.51,20.70,,,
Eastern Mangrove,salt marsh,Abu Dhabi,4,30-50,20,,3.550,10.10,9.50,0.60,0.069,0.101,0.095,0.006,0.00069,1.313,0.133,0.125,0.008,2.653,2.494,0.159,26525.0,24939.2,1585.8,265.25,249.39,15.86,,,
Eastern Mangrove,salt marsh,Abu Dhabi,4,50-100,50,,2.730,11.05,10.55,0.50,0.060,0.111,0.106,0.005,0.00060,1.485,0.164,0.157,0.007,8.204,7.834,0.370,82042.7,78342.2,3700.6,820.43,783.42,37.01,,,
Eastern Mangrove,salt marsh,Abu Dhabi,4,100-185,85,,2.553,10.61,10.19,0.42,0.038,0.106,0.102,0.004,0.00038,1.611,0.171,0.164,0.007,14.530,13.950,0.579,145297.8,139502.9,5794.9,1452.98,1395.03,57.95,,,
Eastern Mangrove,salt marsh,Abu Dhabi,5,0-15,15,194,4.915,11.28,9.97,1.32,0.119,0.113,0.100,0.013,0.00119,1.165,0.131,0.116,0.015,1.972,1.742,0.230,19724.2,17422.4,2301.9,197.24,174.22,23.02,,,
Eastern Mangrove,salt marsh,Abu Dhabi,5,15-30,15,,3.799,10.78,10.11,0.67,0.074,0.108,0.101,0.007,0.00074,1.317,0.142,0.133,0.009,2.129,1.997,0.132,21293.6,19968.9,1324.7,212.94,199.69,13.25,,,
Eastern Mangrove,salt marsh,Abu Dhabi,5,30-50,20,,4.485,10.23,9.33,0.90,0.092,0.102,0.093,0.009,0.00092,1.217,0.125,0.114,0.011,2.491,2.271,0.220,24909.7,22713.1,2196.7,249.10,227.13,21.97,,,
Eastern Mangrove,salt marsh,Abu Dhabi,5,50-100,50,,2.895,11.05,10.51,0.54,0.073,0.111,0.105,0.005,0.00073,1.272,0.141,0.134,0.007,7.027,6.682,0.345,70273.3,66824.9,3448.4,702.73,668.25,34.48,,,
Eastern Mangrove,salt marsh,Abu Dhabi,5,100-194,94,,2.363,10.28,10.08,0.20,0.000,0.103,0.101,0.002,0.00000,1.451,0.149,0.146,0.003,14.018,13.751,0.267,140176.1,137507.9,2668.2,1401.76,1375.08,26.68,,,
Eastern Mangrove,salt marsh,Abu Dhabi,6,0-15,15,162,3.903,10.76,9.90,0.86,0.088,0.108,0.099,0.009,0.00088,1.266,0.136,0.125,0.011,2.044,1.880,0.164,20437.5,18799.3,1638.2,204.37,187.99,16.38,,,
Eastern Mangrove,salt marsh,Abu Dhabi,6,15-30,15,,3.841,10.74,9.74,1.00,0.078,0.107,0.097,0.010,0.00078,1.205,0.129,0.117,0.012,1.942,1.762,0.181,19422.4,17615.4,1807.1,194.22,176.15,18.07,,,
Eastern Mangrove,salt marsh,Abu Dhabi,6,30-50,20,,2.864,10.24,9.64,0.59,0.059,0.102,0.096,0.006,0.00059,1.408,0.144,0.136,0.008,2.882,2.715,0.167,28820.3,27152.7,1667.7,288.20,271.53,16.68,,,
Eastern Mangrove,salt marsh,Abu Dhabi,6,50-100,50,,2.260,10.27,9.91,0.37,0.000,0.103,0.099,0.004,0.00000,1.417,0.146,0.140,0.005,7.275,7.017,0.259,72754.4,70167.9,2586.5,727.54,701.68,25.87,,,
Eastern Mangrove,salt marsh,Abu Dhabi,6,100-162,62,,2.830,11.05,10.69,0.36,0.068,0.111,0.107,0.004,0.00068,1.552,0.172,0.166,0.006,10.635,10.288,0.348,106352.7,102877.2,3475.4,1063.53,1028.77,34.75,,,
Jubail Is.,salt marsh,Abu Dhabi,1,0-15,15,62,2.987,10.67,10.09,0.58,0.059,0.107,0.101,0.006,0.00059,1.342,0.143,0.135,0.008,2.147,2.030,0.117,21471.5,20301.5,1169.9,214.71,203.02,11.70,,,
Jubail Is.,salt marsh,Abu Dhabi,1,15-30,15,,2.799,10.55,10.29,0.26,0.051,0.105,0.103,0.003,0.00051,1.466,0.155,0.151,0.004,2.319,2.262,0.058,23194.1,22618.1,576.0,231.94,226.18,5.76,,,
Jubail Is.,salt marsh,Abu Dhabi,1,30-62,32,,3.714,9.46,9.34,0.12,0.074,0.095,0.093,0.001,0.00074,1.231,0.116,0.115,0.001,3.728,3.682,0.046,37275.1,36818.4,456.8,372.75,368.18,4.57,,,
Jubail Is.,salt marsh,Abu Dhabi,2,0-15,15,36,3.701,10.36,9.75,0.62,0.065,0.104,0.097,0.006,0.00065,1.274,0.132,0.124,0.008,1.980,1.863,0.118,19802.5,18626.3,1176.3,198.03,186.26,11.76,,,
Jubail Is.,salt marsh,Abu Dhabi,2,15-36,21,,3.740,10.37,9.43,0.94,0.083,0.104,0.094,0.009,0.00083,1.158,0.120,0.109,0.011,2.520,2.293,0.227,25202.2,22928.7,2273.5,252.02,229.29,22.73,,,
Jubail Is.,salt marsh,Abu Dhabi,3,0-15,15,49,3.129,10.68,9.83,0.86,0.056,0.107,0.098,0.009,0.00056,1.426,0.152,0.140,0.012,2.285,2.101,0.184,22850.5,21014.9,1835.6,228.51,210.15,18.36,,,
Jubail Is.,salt marsh,Abu Dhabi,3,15-30,15,,2.995,10.66,9.99,0.67,0.000,0.107,0.100,0.007,0.00000,1.439,0.153,0.144,0.010,2.300,2.156,0.145,23001.4,21555.1,1446.3,230.01,215.55,14.46,,,
Jubail Is.,salt marsh,Abu Dhabi,3,30-49,19,,2.721,10.51,9.94,0.58,0.049,0.105,0.099,0.006,0.00049,1.040,0.109,0.103,0.006,2.077,1.963,0.114,20774.0,19633.5,1140.4,207.74,196.34,11.40,,,
Jubail Is.,salt marsh,Abu Dhabi,4,0-15,15,30,3.760,9.84,9.37,0.47,0.067,0.098,0.094,0.005,0.00067,1.192,0.117,0.112,0.006,1.759,1.675,0.084,17589.9,16746.0,843.9,175.90,167.46,8.44,,,
Jubail Is.,salt marsh,Abu Dhabi,4,15-30,15,,3.339,9.09,8.57,0.52,0.053,0.091,0.086,0.005,0.00053,1.378,0.125,0.118,0.007,1.879,1.771,0.108,18787.4,17707.7,1079.8,187.87,177.08,10.80,,,
Jubail Is.,salt marsh,Abu Dhabi,5,0-15,15,30,3.325,9.62,9.06,0.56,0.065,0.096,0.091,0.006,0.00065,1.347,0.130,0.122,0.008,1.944,1.831,0.113,19440.1,18313.7,1126.4,194.40,183.14,11.26,,,
Jubail Is.,salt marsh,Abu Dhabi,5,15-30,15,,3.112,10.09,8.96,1.13,0.065,0.101,0.090,0.011,0.00065,1.509,0.152,0.135,0.017,2.285,2.028,0.256,22847.7,20283.6,2564.1,228.48,202.84,25.64,,,
Jubail Is.,salt marsh,Abu Dhabi,6,0-15,15,29,3.254,9.94,9.44,0.50,0.059,0.099,0.094,0.005,0.00059,1.625,0.161,0.153,0.008,2.422,2.300,0.121,24216.0,23002.0,1214.0,242.16,230.02,12.14,,,
Jubail Is.,salt marsh,Abu Dhabi,6,15-29,14,,2.915,9.66,9.31,0.35,0.050,0.097,0.093,0.004,0.00050,1.636,0.158,0.152,0.006,2.213,2.133,0.080,22134.0,21330.8,803.2,221.34,213.31,8.03,,,
Jubail Is. East,salt marsh,Abu Dhabi,1,0-15,15,48,3.654,10.73,9.74,0.98,0.083,0.107,0.097,0.010,0.00083,1.155,0.124,0.113,0.011,1.858,1.688,0.171,18584.2,16878.2,1706.0,185.84,168.78,17.06,,,
Jubail Is. East,salt marsh,Abu Dhabi,1,15-30,15,,4.246,10.29,8.50,1.79,0.064,0.103,0.085,0.018,0.00064,1.293,0.133,0.110,0.023,1.996,1.649,0.347,19962.3,16493.9,3468.4,199.62,164.94,34.68,,,
Jubail Is. East,salt marsh,Abu Dhabi,1,30-48,18,,4.262,10.46,9.55,0.91,0.073,0.105,0.096,0.009,0.00073,1.195,0.125,0.114,0.011,2.251,2.056,0.195,22514.0,20560.2,1953.8,225.14,205.60,19.54,,,
Jubail Is. East,salt marsh,Abu Dhabi,2,0-15,15,42,4.289,10.52,9.65,0.87,0.066,0.105,0.097,0.009,0.00066,1.142,0.120,0.110,0.010,1.802,1.653,0.149,18021.0,16532.9,1488.1,180.21,165.33,14.88,,,
Jubail Is. East,salt marsh,Abu Dhabi,2,15-42,27,,3.984,10.24,9.39,0.84,0.064,0.102,0.094,0.008,0.00064,1.172,0.120,0.110,0.010,3.240,2.973,0.266,32396.8,29734.7,2662.0,323.97,297.35,26.62,,,
Jubail Is. East,salt marsh,Abu Dhabi,3,0-15,15,56,6.257,9.90,8.69,1.21,0.066,0.099,0.087,0.012,0.00066,1.204,0.119,0.105,0.015,1.788,1.569,0.219,17880.2,15695.0,2185.3,178.80,156.95,21.85,,,
Jubail Is. East,salt marsh,Abu Dhabi,3,15-30,15,,3.256,10.40,9.89,0.51,0.000,0.104,0.099,0.005,0.00000,1.158,0.120,0.115,0.006,1.807,1.718,0.089,18068.8,17179.2,889.6,180.69,171.79,8.90,,,
Jubail Is. East,salt marsh,Abu Dhabi,3,30-56,26,,3.416,10.56,9.49,1.07,0.073,0.106,0.095,0.011,0.00073,1.028,0.109,0.098,0.011,2.823,2.537,0.286,28227.4,25368.7,2858.7,282.27,253.69,28.59,,,
Jubail Is. East,salt marsh,Abu Dhabi,4,0-15,15,54,5.621,10.23,9.03,1.20,0.088,0.102,0.090,0.012,0.00088,1.195,0.122,0.108,0.014,1.832,1.618,0.215,18324.0,16175.9,2148.1,183.24,161.76,21.48,,,
Jubail Is. East,salt marsh,Abu Dhabi,4,15-30,15,,4.478,10.08,8.95,1.12,0.070,0.101,0.090,0.011,0.00070,1.102,0.111,0.099,0.012,1.666,1.480,0.186,16659.2,14801.4,1857.9,166.59,148.01,18.58,,,
Jubail Is. East,salt marsh,Abu Dhabi,4,30-54,24,,3.438,10.63,8.83,1.79,0.062,0.106,0.088,0.018,0.00062,1.279,0.136,0.113,0.023,3.261,2.710,0.551,32612.6,27104.5,5508.0,326.13,271.05,55.08,,,
Jubail Is. East,salt marsh,Abu Dhabi,5,0-15,15,53,6.111,10.37,8.38,1.99,0.080,0.104,0.084,0.020,0.00080,1.082,0.112,0.091,0.021,1.683,1.361,0.322,16829.8,13606.8,3223.0,168.30,136.07,32.23,,,
