Source,Site,Core,Habitat_type,Latitude,Longitude,Elevation,accuracy_flag,Country,Year_collected,U_depth_m,U_deco_depth_m,L_depth_m,L_deco_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.64,0.85,0.66,0.87,Elemental analyser,0.3699536,1.487405536,1.353965184,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN5A,Saltmarsh,52.73329027,-4.02174295,1.663,direct from dataset,UK,2017,0.9,1.12,0.92,1.14,Elemental analyser,0.2242405,1.680317639,1.237911025,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.04,0.07,0.06,0.1,Elemental analyser,0.08011935,1.188332944,0.454641613,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.08,0.13,0.1,0.16,Elemental analyser,0.1877939,1.096799922,0.867507886,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.1,0.16,0.12,0.19,Elemental analyser,0.3861831,1.258569417,1.443057722,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.14,0.22,0.16,0.24,Elemental analyser,0.1455159,1.324120307,0.890782339,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.24,0.35,0.26,0.37,Elemental analyser,0.0631995,1.326108243,0.706713781,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.3,0.42,0.32,0.45,Elemental analyser,1.8086968,1.407437148,1.478226129,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.34,0.47,0.36,0.49,Elemental analyser,0.1073898,1.643417799,0.587774295,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.4,0.54,0.42,0.56,Elemental analyser,0.0558702,1.624486197,0.317082838,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.54,0.69,0.56,0.71,Elemental analyser,0.090132,1.544924434,0.632411067,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.8,0.96,0.82,0.98,Elemental analyser,1.9850366,1.779530737,0.465296627,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,0.94,1.11,0.96,1.13,Elemental analyser,0.8713525,1.858899825,0.435988902,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN9A,Saltmarsh,52.73235591,-4.021983183,1.857,direct from dataset,UK,2017,1.06,1.23,1.08,1.25,Elemental analyser,0.1618029,1.700582839,0.924855491,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.04,0.057336187,0.06,0.08,Elemental analyser,1.9689734,1.287516942,0.914876691,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.12,0.164081516,0.14,0.19,Elemental analyser,0.1022492,1.380851153,0.619195046,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.18,0.239213545,0.2,0.26,Elemental analyser,1.1880152,1.04924618,4.396039604,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.28,0.357605221,0.3,0.38,Elemental analyser,0.1867642,1.545572431,1.099332548,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.36,0.447845817,0.38,0.47,Elemental analyser,0.200386,1.847800575,1.579155152,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.58,0.683736909,0.6,0.7,Elemental analyser,2.2860131,1.792659998,1.484375,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.74,0.849061057,0.76,0.87,Elemental analyser,0.31735905,1.857469276,1.084034966,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.76,0.869517665,0.78,0.89,Elemental analyser,0.2267266,1.907412459,1.51338766,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.8,0.910328262,0.82,0.93,Elemental analyser,0.558138,1.930535432,2.061454687,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,0.84,0.951019008,0.86,0.97,Elemental analyser,1.9600715,2.152910524,1.461295419,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,1,1.112900853,1.02,1.13,Elemental analyser,1.8287192,1.560758922,1.399144967,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,1.02,1.133062243,1.04,1.15,Elemental analyser,0.188233,2.017826225,1.437451437,NA
Pagès et al (in preparation),Mawddach estuary,CURIAN11A,Saltmarsh,52.72994324,-4.0276499,2.022,direct from dataset,UK,2017,1.06,1.173348752,1.08,1.19,Elemental analyser,0.8588353,1.725507099,1.06888361,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0,0,0.02,0.03,Elemental analyser,2.1840506,1.025630624,8.10166799,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.04,0.05636788,0.06,0.08,Elemental analyser,2.3746124,1.017106822,4.673998429,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.08,0.110614383,0.1,0.14,Elemental analyser,2.2376362,0.984906867,7.360308285,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.14,0.188220445,0.16,0.21,Elemental analyser,2.3730783,1.064590454,6.01387818,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.22,0.286118599,0.24,0.31,Elemental analyser,2.6256038,0.914381879,5.527244218,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.32,0.401904512,0.34,0.42,Elemental analyser,1.22661,1.097048011,5.114296784,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.44,0.534273834,0.46,0.56,Elemental analyser,1.2834997,1.543038635,3.814713896,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.62,0.724728255,0.64,0.75,Elemental analyser,0.3925245,1.808795655,1.314263626,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.66,0.766211914,0.68,0.79,Elemental analyser,0.2472745,1.916819218,0.655611261,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,0.98,1.09247713,1,1.11,Elemental analyser,0.0405333,1.854879786,NA,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,1.04,1.153003497,1.06,1.17,Elemental analyser,0.1856562,1.972845762,0.854368932,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW2A,Saltmarsh,52.52370238,-4.03783766,1.703,direct from dataset,UK,2017,1.08,1.193291874,1.1,1.21,Elemental analyser,0.0778547,1.97730393,0.194174757,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.02,0.034009086,0.04,0.06603958,Elemental analyser,2.0035335,0.730508224,4.938271605,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.06,0.097078691,0.08,0.127208116,Elemental analyser,2.5118653,0.69839719,5.693950178,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.12,0.185031583,0.14,0.212857528,Elemental analyser,1.6282936,0.811058051,4.268529298,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.18,0.266627854,0.2,0.292674142,Elemental analyser,1.9077225,0.761950833,4.972592013,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.26,0.367984363,0.28,0.392270751,Elemental analyser,2.0678979,0.721122096,5.500982318,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.34,0.46312461,0.36,0.486163355,Elemental analyser,1.969357,0.88414115,5.175159236,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.44,0.576012224,0.46,0.597988955,Elemental analyser,0.63878405,1.463118499,2.704094871,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.58,0.726861532,0.6,0.747944218,Elemental analyser,0.1696252,1.927146601,1.035856574,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.72,0.872803863,0.74,0.893396866,Elemental analyser,0.2153403,1.960875535,0.899139953,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.76,0.913941002,0.78,0.934440299,Elemental analyser,0.0888405,1.495401219,0.42503864,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,0.94,1.097205804,0.96,1.117436062,Elemental analyser,0.0730366,1.969267936,0.517104216,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW6A,Saltmarsh,52.52463905,-4.037516057,1.597,direct from dataset,UK,2017,1.1,1.258595692,1.12,1.278711415,Elemental analyser,0.0534433,1.654816814,0.50623053,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.02,0.031584433,0.04,0.061970525,Elemental analyser,0.1105655,1.345955429,0.738150738,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.14,0.203316764,0.16,0.22982109,Elemental analyser,0.0683865,1.619918634,0.787091696,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.24,0.331310519,0.26,0.355714318,Elemental analyser,0.1878019,1.837887992,1.183898974,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.28,0.379787675,0.3,0.403555386,Elemental analyser,1.187944,1.232228916,3.695060288,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.36,0.473245506,0.38,0.4960034,Elemental analyser,0.6218336,1.389374161,2.691107644,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.42,0.540913897,0.44,0.563096389,Elemental analyser,0.1935171,1.732782433,1.378782076,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.54,0.671784725,0.56,0.693151519,Elemental analyser,0.1639348,1.925685963,1.513975155,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.68,0.819448579,0.7,0.840240311,Elemental analyser,0.2528527,1.985433723,NA,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.72,0.860972635,0.74,0.881650009,Elemental analyser,0.4274407,2.068933992,1.083172147,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.92,1.065861802,0.94,1.086172314,Elemental analyser,0.1619736,2.165585445,0.964506173,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,0.96,1.106459526,0.98,1.126725188,Elemental analyser,0.1034579,2.239477939,0.552050473,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW7A,Saltmarsh,52.52585409,-4.038168944,1.573,direct from dataset,UK,2017,1.16,1.308377026,1.18,1.328498806,Elemental analyser,0.0764358,2.197864421,0.270165959,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.04,0.049514196,0.06,0.073716091,Elemental analyser,0.0485748,1.701489075,0.826657638,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.1,0.121264453,0.12,0.144650067,Elemental analyser,0.0555935,1.660180826,0.633914422,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.2,0.235998362,0.22,0.258360426,Elemental analyser,0.0673181,1.471678792,0.741029641,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.22,0.258360426,0.24,0.280558399,Elemental analyser,0.5905977,1.832057997,2.510621862,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.32,0.367925818,0.34,0.389459292,Elemental analyser,0.7018756,1.390303191,2.409162717,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.4,0.453449626,0.42,0.474599366,Elemental analyser,0.3051251,1.621331685,1.906274821,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.5,0.558453196,0.52,0.579255342,Elemental analyser,0.1568535,1.920832293,1.089494163,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.6,0.661944068,0.62,0.682503707,Elemental analyser,0.1783977,1.733878298,1.149881047,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.62,0.682503707,0.64,0.703024467,Elemental analyser,0.0723745,1.685489819,1.067615658,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.68,0.743959972,0.7,0.764379567,Elemental analyser,0.2306624,1.663160768,1.360279829,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,0.74,0.805133336,0.76,0.825471419,Elemental analyser,0.3673063,1.589367742,2.472952087,NA
Pagès et al (in preparation),Dyfi estuary,DYFIW12A,Saltmarsh,52.52562476,-4.043852095,1.844,direct from dataset,UK,2017,1.04,1.108347303,1.06,1.128462114,Elemental analyser,0.7157726,1.629865364,2.19210841,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0,0,0.02,0.024720156,Elemental analyser,5.0019121,0.448459164,12.37274863,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.04,0.049255089,0.06,0.073474983,Elemental analyser,4.252928,0.653616891,11.07212476,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.1,0.121055681,0.12,0.144455799,Elemental analyser,4.6225154,0.764317027,11.33980583,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.14,0.167619713,0.16,0.190563834,Elemental analyser,2.771815,1.151145067,5.928237129,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.2,0.235852707,0.22,0.258224889,Elemental analyser,1.8115711,1.410477406,0.88,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.22,0.258224889,0.24,0.280432277,Elemental analyser,1.7961756,1.650550578,6.073500967,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.26,0.302486321,0.28,0.324397671,Elemental analyser,0.1851496,1.681075393,0.941176471,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.32,0.367831257,0.34,0.3893713,Elemental analyser,0.8721679,1.783427674,1.123160341,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.5,0.558403732,0.52,0.579209314,Elemental analyser,0.1057327,1.782199241,0.742767787,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.68,0.743934098,0.7,0.76435549,Elemental analyser,0.044986,2.089361852,0.588004704,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,0.82,0.886335531,0.84,0.906590099,Elemental analyser,0.8141379,1.720212528,0.66045066,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH3A,Saltmarsh,52.89633261,-4.117269514,1.811,direct from dataset,UK,2017,1,1.06808315,1.02,1.088216312,Elemental analyser,0.8244494,1.775547184,0.861393892,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.02,0.030694797,0.04,0.060874742,Elemental analyser,1.39909965,0.760288025,4.496410652,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.06,0.09025324,0.08,0.118893388,Elemental analyser,2.1442071,0.816549921,5.1171875,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.12,0.17418657,0.14,0.200942493,Elemental analyser,1.282854,0.862391315,5.27962456,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.2,0.278183178,0.22,0.303049895,Elemental analyser,2.1968611,0.994658179,6.387225549,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.32,0.422205049,0.34,0.445180571,Elemental analyser,0.9706747,1.358137484,2.90247678,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.36,0.467921837,0.38,0.490447288,Elemental analyser,0.2658268,1.555033213,1.899961225,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.4,0.512773915,0.42,0.534917371,Elemental analyser,0.7195245,1.482289387,3.090766823,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.48,0.600387335,0.5,0.621931402,Elemental analyser,0.8140075,1.567010808,1.65811291,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.68,0.811361962,0.7,0.832042017,Elemental analyser,1.9607862,1.882995999,0,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.94,1.077025204,0.96,1.097259404,Elemental analyser,1.2669578,1.474559133,3.76984127,NA
