Type,Site,Latitude_N,Longitude_E,accuracy_flag,Dominant_halophyte_species-genera,Age_status,Sampling_date_year-month-date,SOC_percent,SOC_accuracy,DBD_g_cm3,DBD_accuracy,SOC_stock_MgC_ha,SOCD_accuracy,Source,Ref_number,Reference_detail
Mangrove,"Han River Estuary, Guangdong",23.4637,116.8784,estimated from map,K. obovata,11 (Restored),201611,3.3,reported,0.45,reported,79.5,sampled to 1m,He et al 2018,8,"8. He, Z., Peng, Y., Guan, D., Hu, Z., Chen, Y., & Lee, S. Y. (2018). Appearance can be deceptive: shrubby native mangrove species contributes more to soil carbon sequestration than fast-growing exotic species. Plant and Soil, 432, 425-436."
Mangrove,"Han River Estuary, Guangdong",23.4625,116.8793,estimated from map,S. apetala,11 (Restored),201611,0.96,reported,0.89,reported,147,sampled to 1m,He et al 2018,8,"8. He, Z., Peng, Y., Guan, D., Hu, Z., Chen, Y., & Lee, S. Y. (2018). Appearance can be deceptive: shrubby native mangrove species contributes more to soil carbon sequestration than fast-growing exotic species. Plant and Soil, 432, 425-436."
Mangrove,"Chaozhou, Guangdong",nd,nd,no location,S. apetala,8 (Restored),2014-2015,nd,NA,nd,NA,143.5,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Shantou, Guangdong",nd,nd,no location,S. apetala,15 (Restored),2014-2015,nd,NA,nd,NA,321.2,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Huizhou, Guangdong",nd,nd,no location,S. apetala,8 (Restored),2014-2015,nd,NA,nd,NA,574.7,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Shenzhen, Guangdong",nd,nd,no location,S. apetala,20 (Restored),2014-2015,nd,NA,nd,NA,253.7,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Shenzhen, Guangdong",22.5248,114.0102,estimated from map,S. apetala,6 (Restored),201208,0.1,reported,0.92,reported,48.8,sampled to 1m,Lunstrum et al 2014,10,"10. Lunstrum, A., & Chen, L. (2014). Soil carbon stocks and accumulation in young mangrove forests.Soil Biology & Biochemistry, 75, 223-232."
Mangrove,"Shenzhen, Guangdong",22.5248,114.0102,estimated from map,K. obovata,6 (Restored),201208,0.86,reported,0.81,reported,43.6,sampled to 1m,Lunstrum et al 2014,10,"10. Lunstrum, A., & Chen, L. (2014). Soil carbon stocks and accumulation in young mangrove forests.Soil Biology & Biochemistry, 75, 223-232."
Mangrove,"Shenzhen, Guangdong",22.5248,114.0102,estimated from map,S. apetala,20,201208,0.87,reported,0.82,reported,48,sampled to 1m,Lunstrum et al 2014,10,"10. Lunstrum, A., & Chen, L. (2014). Soil carbon stocks and accumulation in young mangrove forests.Soil Biology & Biochemistry, 75, 223-232."
Mangrove,"Shenzhen, Guangdong",22.5248,114.0102,estimated from map,K. obovata,70,201208,3.03,reported,0.96,reported,152.6,sampled to 1m,Lunstrum et al 2014,10,"10. Lunstrum, A., & Chen, L. (2014). Soil carbon stocks and accumulation in young mangrove forests.Soil Biology & Biochemistry, 75, 223-232."
Mangrove,"Shenzhen, Guangdong",22.5167,113.9833,exact,K. obovata + A. corniculatum + Sonneratia caseolares,nd,2007summer,1.67,reported,0.99,reported,161.9,sampled to 1m,Mao et al 2014,11,"11. Mao, Z., Lai, D., Zhao, Z., & Yang, X. (2014). Effect of invasion plants (Mikania micrantha H.B.K.) on carbon stock of mangrove ecosystem in Shenzhen Bay. Ecology and Environmental Sciences, 75, 223-232. (in Chinese)."
Mangrove,"Guangzhou, Guangdong",nd,nd,no location,S. apetala,15 (Restored),2014-2015,nd,NA,nd,NA,237.6,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Sanmin Island, Guangdong",22.6539,113.55,exact,S. apetala,Restored,201112,1.84,extrapolated,1.1,estimated from SOC,183.2,extrapolated to 1m,Wu et al 2014,12,"12. Wu, Q., Leung, J. Y., Tam, N. F., Chen, S., Mai, B., Zhou, X., ... & Geng, X. (2014). Biological risk and pollution history of polycyclic aromatic hydrocarbons (PAHs) in Nansha mangrove, South China.. Marine Pollution Bulletin, 85, 92-98."
Mangrove,"Zhongshan, Guangdong",nd,nd,no location,S. apetala,15 (Restored),2014-2015,nd,NA,nd,NA,264.8,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Cuiheng Wetland Park (Zhongshan), Guangdong",nd,nd,no location,S. apetala,"13 (Restored, high tidal zone)",201806,1.89,reported,1.19,reported,173.1,sampled to 1m,Xu et al 2020,13,"13. Xu, Y., Jiang, Z., Wu, F., Yang, Q., & Liao, B. (2020). Soil organic carbon distribution and its correlation with soil physical and chemical indexes of Sonneratia apetala plantation at Cuiheng Wetland. Forest Research, 33, 62-68. (in Chinese)."
Mangrove,"Cuiheng Wetland Park (Zhongshan), Guangdong",nd,nd,no location,S. apetala,"13 (Restored, Middle tidal zone)",201806,1.19,reported,0.99,reported,134.9,sampled to 1m,Xu et al 2020,13,"13. Xu, Y., Jiang, Z., Wu, F., Yang, Q., & Liao, B. (2020). Soil organic carbon distribution and its correlation with soil physical and chemical indexes of Sonneratia apetala plantation at Cuiheng Wetland. Forest Research, 33, 62-68. (in Chinese)."
Mangrove,"Zhuhai, Guangdong",nd,nd,no location,S. apetala,15 (Restored),2014-2015,nd,NA,nd,NA,288.6,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,S. apetala+A. corniculatum ,Restored,201801,nd,NA,nd,NA,154.9,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location, Bruguiera gymnorrhiza,Restored,201801,nd,NA,nd,NA,196.7,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,K. obovata,Restored,201801,nd,NA,nd,NA,190.5,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,A. corniculatum ,Restored,201801,nd,NA,nd,NA,155.9,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,S. apetala,Restored,201801,nd,NA,nd,NA,196.7,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,S. apetala+A. ilicifolius,"S. apetala (Restored), A. ilicifolius (Nature)",201801,nd,NA,nd,NA,182.9,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,S. apetala+ B. gymnorrhiza,5 (Restored),201801,nd,NA,nd,NA,204.1,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,S. apetala+ B. gymnorrhiza,Restored,201801,nd,NA,nd,NA,185.8,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,S. apetala+A. ilicifolius+Acrostichum aureum,"S. apetala (Restored), A. ilicifolius+A. aureum (Nature)",201801,nd,NA,nd,NA,234.1,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,S. apetala+A. aureum,"S. apetala (Restored), A. aureum (Nature)",201801,nd,NA,nd,NA,216.9,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,A. ilicifolius,Nature,201801,nd,NA,nd,NA,165.3,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",nd,nd,no location,A. aureum,Nature,201801,nd,NA,nd,NA,190.9,sampled to 1m,Hu et al 2019b,14,"14. Hu, Y., Zhu, N., Liao, B., You, Y., & Tang, H. (2019). Carbon density and carbon fixation rate of mangroves of different restoration types in Qi’ao island. Journal of Central South University of Forestry & Technology, 39, 101-107. (in Chinese)."
Mangrove,"Qi' ao Island, Guangdong",22.4282,113.6179,estimated from map,S. apetala,4 (Restored),201607,nd,NA,nd,NA,90.6,sampled to 1m,Yu et al 2020,15,"15. Yu, C., Feng, J., Liu, K., Wang, G., Zhu, Y., Chen, H., & Guan, D. (2020). Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China. Science of the Total Environment, 717, 137142.  "
Mangrove,"Qi' ao Island, Guangdong",22.4286,113.6229,estimated from map,S. apetala,9 (Restored),201607,nd,NA,nd,NA,90.9,sampled to 1m,Yu et al 2020,15,"15. Yu, C., Feng, J., Liu, K., Wang, G., Zhu, Y., Chen, H., & Guan, D. (2020). Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China. Science of the Total Environment, 717, 137142.  "
Mangrove,"Qi' ao Island, Guangdong",22.4298,113.6275,estimated from map,S. apetala,15 (Restored),201607,nd,NA,nd,NA,110.1,sampled to 1m,Yu et al 2020,15,"15. Yu, C., Feng, J., Liu, K., Wang, G., Zhu, Y., Chen, H., & Guan, D. (2020). Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China. Science of the Total Environment, 717, 137142.  "
Mangrove,"Qi' ao Island, Guangdong",22.4241,113.6339,estimated from map,K. obovata,40 (Natural),201607,nd,NA,nd,NA,162,sampled to 1m,Yu et al 2020,15,"15. Yu, C., Feng, J., Liu, K., Wang, G., Zhu, Y., Chen, H., & Guan, D. (2020). Changes of ecosystem carbon stock following the plantation of exotic mangrove Sonneratia apetala in Qi'ao Island, China. Science of the Total Environment, 717, 137142.  "
Mangrove,"Jiangmen, Guangdong",nd,nd,,S. apetala,nd,2014-2015,nd,NA,nd,NA,197.6,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Maoming, Guangdong",nd,nd,,S. apetala,nd,2014-2015,nd,NA,nd,NA,183.5,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Zhanjiang, Guangdong",nd,nd,,S. apetala,15 (Restored),2014-2015,nd,NA,nd,NA,226.4,sampled to 1m,Hu et al 2019a,9,"9. Hu, Y., Xu, Y., Xue, C., Luo, Y., Liao, B., & Zhu, N. (2019). Studies on carbon storages of Sonneratia apetala forest vegetation and soil in Guangdong Province. Journal of South China Agricultural University, 40, 95-103.  (in Chinese) "
Mangrove,"Leizhou Peninsula, Guangdong",nd,nd,,S. apetala,5,201512,nd,NA,nd,NA,68.8,sampled to 1m,Gao et al 2017,16,"16. Gao, T., Guan W., Mao, J., Jiang Z., & Liao B. (2017). Carbon storage and influence factors of major mangrove communities in Fucheng, Leizhou Peninsula, Guangdong Province. Ecology and Environmental Sciences, 26, 985-990. (in Chinese). "
Mangrove,"Leizhou Peninsula, Guangdong",nd,nd,,S. apetala,13,201512,nd,NA,nd,NA,75.1,sampled to 1m,Gao et al 2017,16,"16. Gao, T., Guan W., Mao, J., Jiang Z., & Liao B. (2017). Carbon storage and influence factors of major mangrove communities in Fucheng, Leizhou Peninsula, Guangdong Province. Ecology and Environmental Sciences, 26, 985-990. (in Chinese). "
Mangrove,"Leizhou Peninsula, Guangdong",nd,nd,,S. apetala,20,201512,nd,NA,nd,NA,89.9,sampled to 1m,Gao et al 2017,16,"16. Gao, T., Guan W., Mao, J., Jiang Z., & Liao B. (2017). Carbon storage and influence factors of major mangrove communities in Fucheng, Leizhou Peninsula, Guangdong Province. Ecology and Environmental Sciences, 26, 985-990. (in Chinese). "
Mangrove,"Leizhou Peninsula, Guangdong",nd,nd,,K. obovata,20,201512,nd,NA,nd,NA,76.6,sampled to 1m,Gao et al 2017,16,"16. Gao, T., Guan W., Mao, J., Jiang Z., & Liao B. (2017). Carbon storage and influence factors of major mangrove communities in Fucheng, Leizhou Peninsula, Guangdong Province. Ecology and Environmental Sciences, 26, 985-990. (in Chinese). "
Mangrove,"Leizhou Peninsula, Guangdong",nd,nd,,K. obovata,40,201512,nd,NA,nd,NA,93.7,sampled to 1m,Gao et al 2017,16,"16. Gao, T., Guan W., Mao, J., Jiang Z., & Liao B. (2017). Carbon storage and influence factors of major mangrove communities in Fucheng, Leizhou Peninsula, Guangdong Province. Ecology and Environmental Sciences, 26, 985-990. (in Chinese). "
Mangrove,"Leizhou Peninsula, Guangdong",nd,nd,,K. obovata,70,201512,nd,NA,nd,NA,115.5,sampled to 1m,Gao et al 2017,16,"16. Gao, T., Guan W., Mao, J., Jiang Z., & Liao B. (2017). Carbon storage and influence factors of major mangrove communities in Fucheng, Leizhou Peninsula, Guangdong Province. Ecology and Environmental Sciences, 26, 985-990. (in Chinese). "
Mangrove,"Leizhou Peninsula, Guangdong",20.937,110.1669,estimated from map,A. marina+ A. corniculatum+ K. obovata,nd,201503,1.11,reported,0.89,reported,89.8,sampled to 1m,Feng et al 2019,17,"17. Feng, J., Cui, X., Zhou, J., Wang, L., Zhu, X., & Lin, G. (2019). Effects of exotic and native mangrove forests plantation on soil organic carbon, nitrogen, and phosphorus contents and pools in Leizhou, China. Catena, 180, 1-7."
Mangrove,"Leizhou Peninsula, Guangdong",20.9382,110.1675,estimated from map,S. apetala,17,201503,1.26,reported,0.77,reported,83.6,sampled to 1m,Feng et al 2019,17,"17. Feng, J., Cui, X., Zhou, J., Wang, L., Zhu, X., & Lin, G. (2019). Effects of exotic and native mangrove forests plantation on soil organic carbon, nitrogen, and phosphorus contents and pools in Leizhou, China. Catena, 180, 1-7."
Mangrove,"Yingluo Bay, Guangodng",21.5654,109.76,estimated from map,A. corniculatum+ B. gymnorrhiza,nd,201107-201108,1.61,extrapolated,0.8,extrapolated to 1m,109.9,extrapolated to 1m,Zhu et al 2016,18,"18. Zhu, Y., Zhao, F., Guo, J., Wu, G., & Lin, G.  (2016). Below-ground organic carbon distribution and burial characteristics of the Gaoqiao mangrove area in Zhanjiang, Guangdong, Southern China. Acta Ecologica Sinica, 36, 7841-7849. (in Chinese). "
Mangrove,"Yingluo Bay, Guangodng",21.5609,109.7582,estimated from map,A. corniculatum+ B. gymnorrhiza,nd,201107-201108,2.23,extrapolated,0.8,extrapolated to 1m,170.7,extrapolated to 1m,Zhu et al 2016,18,"18. Zhu, Y., Zhao, F., Guo, J., Wu, G., & Lin, G.  (2016). Below-ground organic carbon distribution and burial characteristics of the Gaoqiao mangrove area in Zhanjiang, Guangdong, Southern China. Acta Ecologica Sinica, 36, 7841-7849. (in Chinese). "
Mangrove,"Yingluo Bay, Guangodng",21.5553,109.7572,estimated from map,A. marina+ A. corniculatum,nd,201107-201108,0.35,extrapolated,1.15,extrapolated to 1m,37.8,extrapolated to 1m,Zhu et al 2016,18,"18. Zhu, Y., Zhao, F., Guo, J., Wu, G., & Lin, G.  (2016). Below-ground organic carbon distribution and burial characteristics of the Gaoqiao mangrove area in Zhanjiang, Guangdong, Southern China. Acta Ecologica Sinica, 36, 7841-7849. (in Chinese). "
Mangrove,"Yingluo Bay, Guangodng",21.5302,109.79,estimated from map,A. marina,nd,201107-201108,0.6,extrapolated,1.15,extrapolated to 1m,58.9,extrapolated to 1m,Zhu et al 2016,18,"18. Zhu, Y., Zhao, F., Guo, J., Wu, G., & Lin, G.  (2016). Below-ground organic carbon distribution and burial characteristics of the Gaoqiao mangrove area in Zhanjiang, Guangdong, Southern China. Acta Ecologica Sinica, 36, 7841-7849. (in Chinese). "
Mangrove,"Yingluo Bay, Guangodng",21.5261,109.7882,estimated from map,A. marina+R. stylosa,nd,201107-201108,1.88,extrapolated,0.87,extrapolated to 1m,158.6,extrapolated to 1m,Zhu et al 2016,18,"18. Zhu, Y., Zhao, F., Guo, J., Wu, G., & Lin, G.  (2016). Below-ground organic carbon distribution and burial characteristics of the Gaoqiao mangrove area in Zhanjiang, Guangdong, Southern China. Acta Ecologica Sinica, 36, 7841-7849. (in Chinese). "
Mangrove,"Yingluo Bay, Guangodng",21.5191,109.786,estimated from map,A. marina,nd,201107-201108,0.56,extrapolated,1.2,extrapolated to 1m,63.5,extrapolated to 1m,Zhu et al 2016,18,"18. Zhu, Y., Zhao, F., Guo, J., Wu, G., & Lin, G.  (2016). Below-ground organic carbon distribution and burial characteristics of the Gaoqiao mangrove area in Zhanjiang, Guangdong, Southern China. Acta Ecologica Sinica, 36, 7841-7849. (in Chinese). "
Mangrove,"Yingluo Bay, Guangdong",21.5674,109.7584,exact,B. gymnorrhiza,nd,nd,3.05,reported,0.89,reported,236.8,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Yingluo Bay, Guangdong",21.5464,109.7706,exact,R. stylosa,nd,nd,4.08,reported,0.81,reported,286.5,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Yingluo Bay, Guangdong",21.5651,109.7595,exact,K. obovata,nd,nd,2.97,reported,0.88,reported,241.2,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
