"","Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"32","JBK14 Alta 3","M0007",0.5,1,0.75,0.38,14.79,0.056
"33","JBK14 Alta 3","M0007",1,1.2,1.1,0.54,6.61,0.036
"34","JBK14 Balsa Alta","M0008",0,0.15,0.075,0.2,21.59,0.043
"35","JBK14 Balsa Alta","M0008",0.15,0.3,0.225,0.22,16.17,0.036
"36","JBK14 Balsa Alta","M0008",0.3,0.5,0.4,0.48,10.22,0.049
"37","JBK14 Balsa Alta","M0008",0.5,1,0.75,0.8,3.85,0.031
"38","JBK14 Balsa Alta","M0008",1,2.11,1.555,0.95,2.77,0.026
"39","JBK14 Tapion Alto","M0009",0,0.15,0.075,0.24,14.61,0.035
"40","JBK14 Tapion Alto","M0009",0.15,0.3,0.225,0.26,14.9,0.039
"41","JBK14 Tapion Alto","M0009",0.3,0.5,0.4,0.54,8.54,0.046
"42","JBK14 Tapion Alto","M0009",0.5,1,0.75,0.23,10.39,0.024
"43","JBK14 Tapion Alto","M0009",1,1.79,1.395,1.06,1.62,0.017
"44","JBK14 Guinea Media","M0010",0,0.15,0.075,0.18,26.33,0.047
"45","JBK14 Guinea Media","M0010",0.15,0.3,0.225,0.22,24.8,0.055
"46","JBK14 Guinea Media","M0010",0.3,0.5,0.4,0.23,23.37,0.054
"47","JBK14 Guinea Media","M0010",0.5,1,0.75,0.26,20.04,0.052
"48","JBK14 Guinea Media","M0010",1,2.45,1.725,0.45,9.56,0.043
"49","JBK14 Laguna Media","M0011",0,0.15,0.075,0.1,27.11,0.027
"50","JBK14 Laguna Media","M0011",0.15,0.3,0.225,0.26,20.47,0.053
"51","JBK14 Laguna Media","M0011",0.3,0.5,0.4,0.29,15.17,0.044
"52","JBK14 Laguna Media","M0011",0.5,1,0.75,0.39,11.79,0.046
"53","JBK14 Laguna Media","M0011",1,2.39,1.695,0.82,7.12,0.058
"54","JBK14 Mediana Sur","M0012",0,0.15,0.075,0.25,25.42,0.064
"55","JBK14 Mediana Sur","M0012",0.15,0.3,0.225,0.22,25.86,0.057
"56","JBK14 Mediana Sur","M0012",0.3,0.5,0.4,0.23,23.98,0.055
"57","JBK14 Mediana Sur","M0012",0.5,1,0.75,0.26,19.43,0.051
"58","JBK14 Mediana Sur","M0012",1,2.22,1.61,0.46,8.69,0.04
"59","JBK14 Bajo Final","M0013",0,0.15,0.075,0.29,16.46,0.048
"60","JBK14 Bajo Final","M0013",0.15,0.3,0.225,0.34,14.2,0.048
"61","JBK14 Bajo Final","M0013",0.3,0.5,0.4,0.28,16.3,0.046
"62","JBK14 Bajo Final","M0013",0.5,1,0.75,0.32,14.41,0.046
"63","JBK14 Bajo Final","M0013",1,2.5,1.75,0.26,16.09,0.042
"64","JBK14 Granja Bajo","M0014",0,0.15,0.075,0.28,16.49,0.046
"65","JBK14 Granja Bajo","M0014",0.15,0.3,0.225,0.27,15.72,0.042
"66","JBK14 Granja Bajo","M0014",0.3,0.5,0.4,0.34,10.69,0.036
"67","JBK14 Granja Bajo","M0014",0.5,1,0.75,0.38,14.29,0.054
"68","JBK14 Morro Bajo","M0015",0,0.15,0.075,0.36,12.92,0.047
"69","JBK14 Morro Bajo","M0015",0.15,0.3,0.225,0.24,17.09,0.041
"70","JBK14 Morro Bajo","M0015",0.3,0.5,0.4,0.27,15.7,0.042
"71","JBK14 Morro Bajo","M0015",0.5,1,0.75,0.25,15.22,0.038
"72","JBK14 Morro Bajo","M0015",1,2.27,1.635,0.19,19.89,0.038
"73","DCD11 G1","M1379",0,3,1.5,0.92,1.69,0.016
"74","DCD11 G2","M1434",0,3,1.5,0.92,1.74,0.016
"75","DMA99 HM1","M0016",0,0.35,0.175,0.39,13.8,0.053
"76","DMA99 HM2","M0017",0,0.58,0.29,0.54,8.6,0.046
"77","RC99 S1","M0018",0,0.02,0.01,0.15,33.46,0.051
"78","RC99 S1","M0018",0.02,0.04,0.03,0.39,32.44,0.125
"79","RC99 S1","M0018",0.04,0.06,0.05,0.33,32.67,0.108
"80","RC99 S1","M0018",0.06,0.08,0.07,0.33,31.67,0.106
"81","RC99 S1","M0018",0.08,0.1,0.09,0.37,33.08,0.121
"82","RC99 S1","M0018",0.1,0.12,0.11,0.15,33.47,0.051
"83","RC99 S1","M0018",0.12,0.14,0.13,0.14,37.25,0.051
"84","RC99 S1","M0018",0.14,0.16,0.15,0.14,37.84,0.051
"85","RC99 S1","M0018",0.16,0.18,0.17,0.12,42.09,0.052
"86","RC99 S1","M0018",0.18,0.2,0.19,0.14,36.85,0.051
"87","RC99 S1","M0018",0.2,0.22,0.21,0.14,36.53,0.051
"88","RC99 S1","M0018",0.22,0.24,0.23,0.15,34.15,0.051
"89","RC99 S1","M0018",0.24,0.26,0.25,0.15,34.62,0.051
"90","RC99 S1","M0018",0.26,0.28,0.27,0.15,34.82,0.051
"91","RC99 S1","M0018",0.28,0.3,0.29,0.15,34.05,0.051
"92","RC99 S1","M0018",0.3,0.32,0.31,0.15,35.11,0.051
"93","RC99 S1","M0018",0.32,0.34,0.33,0.15,35.29,0.051
"94","RC99 S1","M0018",0.34,0.36,0.35,0.14,36.69,0.051
"95","RC99 S1","M0018",0.36,0.38,0.37,0.14,36.21,0.051
"96","RC99 S1","M0018",0.38,0.4,0.39,0.14,37.41,0.051
"97","RC99 S1","M0018",0.4,0.42,0.41,0.14,36.06,0.051
"98","RC99 S1","M0018",0.42,0.44,0.43,0.15,34.71,0.051
"99","RC99 S1","M0018",0.44,0.46,0.45,0.14,36.38,0.051
"100","RC99 S1","M0018",0.46,0.48,0.47,0.14,37.18,0.051
"101","RC99 S1","M0018",0.48,0.5,0.49,0.33,31.62,0.103
"102","RC99 S1","M0018",0.5,0.52,0.51,0.33,33.56,0.111
"103","RC99 S1","M0018",0.52,0.54,0.53,0.41,32.64,0.134
"104","RC99 S1","M0018",0.54,0.56,0.55,0.34,30.29,0.102
"105","RC99 S1","M0018",0.56,0.58,0.57,0.35,28.36,0.098
"106","RC99 S3","M0019",0,0.02,0.01,0.22,29.96,0.067
"107","RC99 S3","M0019",0.02,0.04,0.03,0.17,25.48,0.044
"108","RC99 S3","M0019",0.04,0.06,0.05,0.17,23.67,0.04
"109","RC99 S3","M0019",0.06,0.08,0.07,0.2,23.85,0.047
"110","RC99 S3","M0019",0.08,0.1,0.09,0.18,24.01,0.043
"111","RC99 S3","M0019",0.1,0.12,0.11,0.22,25.49,0.057
"112","RC99 S3","M0019",0.12,0.14,0.13,0.18,26.07,0.047
"113","RC99 S3","M0019",0.14,0.16,0.15,0.21,26.62,0.057
"114","RC99 S3","M0019",0.16,0.18,0.17,0.17,26.4,0.044
"115","RC99 S3","M0019",0.18,0.2,0.19,0.25,27.05,0.067
"116","RC99 S3","M0019",0.2,0.22,0.21,0.18,27.97,0.05
"117","RC99 S3","M0019",0.22,0.24,0.23,0.21,26.41,0.056
"118","RC99 S3","M0019",0.24,0.26,0.25,0.25,26.85,0.067
"119","RC99 S3","M0019",0.26,0.28,0.27,0.23,27.09,0.063
"120","RC99 S3","M0019",0.28,0.3,0.29,0.23,27.99,0.064
"121","RC99 S3","M0019",0.3,0.32,0.31,0.23,26.9,0.061
"122","RC99 S3","M0019",0.32,0.34,0.33,0.23,27.93,0.065
"123","RC99 S3","M0019",0.34,0.36,0.35,0.24,28.76,0.068
"124","RC99 S3","M0019",0.36,0.38,0.37,0.24,28.49,0.068
"125","RC99 S3","M0019",0.38,0.4,0.39,0.23,28.69,0.065
"126","RC99 S3","M0019",0.4,0.42,0.41,0.25,28.78,0.073
"127","RC99 S3","M0019",0.42,0.44,0.43,0.23,28.62,0.067
"128","RC99 S3","M0019",0.44,0.46,0.45,0.23,28.81,0.065
"129","RC99 S3","M0019",0.46,0.48,0.47,0.24,28.71,0.069
"130","RC99 S3","M0019",0.48,0.5,0.49,0.27,27.85,0.076
"131","RC99 S3","M0019",0.5,0.52,0.51,0.24,29.13,0.069
"132","RC99 S3","M0019",0.52,0.54,0.53,0.25,29.13,0.073
"133","RC99 S3","M0019",0.54,0.56,0.55,0.25,29.52,0.073
"134","RC99 S3","M0019",0.56,0.58,0.57,0.22,27.56,0.061
"135","RC99 S3","M0019",0.58,0.6,0.59,0.18,28.45,0.051
"136","RC99 S4","M0020",0,0.02,0.01,0.13,18.23,0.023
"137","RC99 S4","M0020",0.02,0.04,0.03,0.15,17.45,0.027
"138","RC99 S4","M0020",0.04,0.06,0.05,0.16,18.19,0.028
"139","RC99 S4","M0020",0.06,0.08,0.07,0.14,19.53,0.028
"140","RC99 S4","M0020",0.08,0.1,0.09,0.14,19.82,0.028
"141","RC99 S4","M0020",0.1,0.12,0.11,0.16,19.34,0.031
"142","RC99 S4","M0020",0.12,0.14,0.13,0.18,19.16,0.035
"143","RC99 S4","M0020",0.14,0.16,0.15,0.18,19.22,0.035
"144","RC99 S4","M0020",0.16,0.18,0.17,0.18,19.47,0.035
"145","RC99 S4","M0020",0.18,0.2,0.19,0.21,19.34,0.041
"146","RC99 S4","M0020",0.2,0.22,0.21,0.2,19.5,0.039
"147","RC99 S4","M0020",0.22,0.24,0.23,0.19,19.9,0.037
"148","RC99 S4","M0020",0.24,0.26,0.25,0.22,20,0.043
"149","RC99 S4","M0020",0.26,0.28,0.27,0.18,20.28,0.037
"150","RC99 S4","M0020",0.28,0.3,0.29,0.2,20.68,0.042
"151","RC99 S4","M0020",0.3,0.32,0.31,0.21,20.38,0.044
"152","RC99 S4","M0020",0.32,0.34,0.33,0.2,19.81,0.04
"153","RC99 S4","M0020",0.34,0.36,0.35,0.21,19.47,0.042
"154","RC99 S4","M0020",0.36,0.38,0.37,0.22,19.6,0.044
"155","RC99 S4","M0020",0.38,0.4,0.39,0.22,20.9,0.045
"156","RC99 S4","M0020",0.4,0.42,0.41,0.22,19.65,0.043
"157","RC99 S4","M0020",0.42,0.44,0.43,0.2,18.51,0.038
"158","RC99 S4","M0020",0.44,0.46,0.45,0.2,17.53,0.034
"159","RC99 S4","M0020",0.46,0.48,0.47,0.2,16.16,0.032
"160","RC99 S4","M0020",0.48,0.5,0.49,0.21,16.64,0.035
"161","RC99 S4","M0020",0.5,0.52,0.51,0.18,16.76,0.031
"162","RC99 S4","M0020",0.52,0.54,0.53,0.22,17.11,0.037
"163","RC99 S4","M0020",0.54,0.56,0.55,0.24,17.41,0.041
"164","RC99 S4","M0020",0.56,0.58,0.57,0.2,15.71,0.032
"165","RC99 S4","M0020",0.58,0.6,0.59,0.12,15.64,0.019
"166","RC99 S6","M0021",0,0.02,0.01,0.51,9.25,0.048
"167","RC99 S6","M0021",0.02,0.04,0.03,0.51,9.34,0.048
"168","RC99 S6","M0021",0.04,0.06,0.05,0.51,9.51,0.048
"169","RC99 S6","M0021",0.06,0.08,0.07,0.48,10.39,0.05
"170","RC99 S6","M0021",0.08,0.1,0.09,0.46,10.97,0.051
"171","RC99 S6","M0021",0.1,0.12,0.11,0.46,10.87,0.05
"172","RC99 S6","M0021",0.12,0.14,0.13,0.47,10.68,0.05
"173","RC99 S6","M0021",0.14,0.16,0.15,0.48,10.23,0.049
"174","RC99 S6","M0021",0.16,0.18,0.17,0.5,9.65,0.048
"175","RC99 S6","M0021",0.18,0.2,0.19,0.49,10.1,0.049
"176","RC99 S6","M0021",0.2,0.22,0.21,0.5,9.76,0.049
"177","RC99 S6","M0021",0.22,0.24,0.23,0.49,9.85,0.049
"178","RC99 S6","M0021",0.24,0.26,0.25,0.5,9.57,0.048
"179","RC99 S6","M0021",0.26,0.28,0.27,0.52,9.09,0.047
"180","RC99 S6","M0021",0.28,0.3,0.29,0.54,8.44,0.046
"181","RC99 S6","M0021",0.3,0.32,0.31,0.56,8.02,0.045
"182","RC99 S6","M0021",0.32,0.34,0.33,0.57,7.73,0.044
"183","RC99 S6","M0021",0.34,0.36,0.35,0.57,7.76,0.044
"184","RC99 S6","M0021",0.36,0.38,0.37,0.56,7.83,0.044
"185","RC99 S6","M0021",0.38,0.4,0.39,0.57,7.7,0.044
"186","RC99 S6","M0021",0.4,0.42,0.41,0.56,7.86,0.044
"187","RC99 S6","M0021",0.42,0.44,0.43,0.57,7.6,0.044
"188","RC99 S6","M0021",0.44,0.46,0.45,0.58,7.45,0.043
"189","RC99 S6","M0021",0.46,0.48,0.47,0.57,7.64,0.044
"190","RC99 S6","M0021",0.48,0.5,0.49,0.57,7.77,0.044
"191","RC99 S6","M0021",0.5,0.52,0.51,0.56,8.04,0.045
"192","RC99 S6","M0021",0.52,0.54,0.53,0.55,8.13,0.045
"193","RC99 S6","M0021",0.54,0.56,0.55,0.56,7.94,0.044
"194","RC99 S6","M0021",0.56,0.58,0.57,0.58,7.49,0.043
"195","RC99 S6","M0021",0.58,0.6,0.59,0.56,7.95,0.044
"196","DMA96 Low","M0022",0,0.2,0.1,0.61,6.23,0.038
"197","DMA96 Med","M0023",0,0.2,0.1,0.56,12.53,0.07
"198","DMA96 High","M0024",0,0.2,0.1,0.6,12.63,0.076
"199","DMA96 Creek Bank","M0025",0,0.2,0.1,0.68,4.5,0.031
"200","DMA00 PH1","M0026",0,0.06685,0.033,0.9,2.11,0.019
"201","DMA00 PH1","M0026",0.06685,0.12671,0.097,0.96,1.7,0.016
"202","DMA00 PH1","M0026",0.12671,0.15705,0.142,0.89,2.19,0.019
"203","DMA00 PH1","M0026",0.15705,0.1851,0.171,0.95,1.72,0.016
"204","DMA00 PH1","M0026",0.1851,0.22422,0.205,0.84,2.64,0.022
"205","DMA00 PH1","M0026",0.22422,0.24439,0.234,0.93,1.9,0.018
"206","DMA00 PH1","M0026",0.24439,0.30384,0.274,0.86,2.41,0.021
"207","DMA00 PH1","M0026",0.30384,0.36312,0.333,0.88,2.21,0.02
"208","DMA00 PH1","M0026",0.36312,0.38298,0.373,0.75,3.78,0.028
"209","DMA00 PH1","M0026",0.38298,0.42583,0.404,0.9,2.06,0.019
"210","DMA00 PH1","M0026",0.42583,0.50498,0.465,1.01,1.42,0.014
"211","DMA00 PH1","M0026",0.50498,0.55752,0.531,0.96,1.7,0.016
"212","DMA00 PH1","M0026",0.55752,0.58924,0.573,1.01,1.42,0.014
"213","DMA00 PH1","M0026",0.58924,0.60925,0.599,1.05,1.25,0.013
"214","DMA00 PH1","M0026",0.60925,0.68943,0.649,0.98,1.57,0.015
"215","DMA00 PH2","M0027",0,0.00497,0.002,1,1.48,0.015
"216","DMA00 PH2","M0027",0.00497,0.07646,0.041,0.81,2.9,0.024
"217","DMA00 PH2","M0027",0.07646,0.14519,0.111,0.81,3,0.024
"218","DMA00 PH2","M0027",0.14519,0.21432,0.18,0.85,2.5,0.021
"219","DMA00 PH2","M0027",0.21432,0.28386,0.249,0.91,2,0.018
"220","DMA00 PH2","M0027",0.28386,0.35224,0.318,0.81,2.91,0.024
"221","DMA00 PH2","M0027",0.35224,0.42316,0.388,0.82,2.81,0.023
"222","DMA00 PH2","M0027",0.42316,0.49725,0.46,0.86,2.41,0.021
"223","DMA00 PH2","M0027",0.49725,0.55711,0.527,1.02,1.4,0.014
"224","DMA00 PH2","M0027",0.55711,0.68903,0.623,0.93,1.9,0.018
"225","DMA00 PH2","M0027",0.68903,0.82095,0.755,1.04,1.3,0.014
"226","DMA00 D1","M0028",0,0.0514,0.026,0.63,6.1,0.039
"227","DMA00 D1","M0028",0.0514,0.10236,0.077,0.58,7.3,0.043
"228","DMA00 D1","M0028",0.10236,0.15387,0.128,0.62,6.39,0.04
"229","DMA00 D1","M0028",0.15387,0.20111,0.177,0.64,6.01,0.038
"230","DMA00 D1","M0028",0.20111,0.25076,0.226,0.66,5.42,0.036
"231","DMA00 D1","M0028",0.25076,0.30097,0.276,0.64,5.91,0.038
"232","DMA00 D1","M0028",0.30097,0.35136,0.326,0.71,4.5,0.032
"233","DMA00 D1","M0028",0.35136,0.4024,0.377,0.74,3.92,0.029
"234","DMA00 D1","M0028",0.4024,0.45279,0.428,0.72,4.3,0.031
"235","DMA00 D1","M0028",0.45279,0.50225,0.478,0.69,4.9,0.034
"236","DMA00 D1","M0028",0.50225,0.55636,0.529,0.74,4.01,0.03
"237","DMA00 D1","M0028",0.55636,0.60535,0.581,0.76,3.61,0.028
"238","DMA00 D1","M0028",0.60535,0.65558,0.63,0.82,2.82,0.023
"239","DMA00 D1","M0028",0.65558,0.70865,0.682,0.82,2.79,0.023
"240","DMA00 D1","M0028",0.70865,0.76062,0.735,0.9,2.11,0.019
"241","DMA00 D1","M0028",0.76062,0.78725,0.774,0.86,2.4,0.021
"242","DMA00 D1","M0028",0.78725,0.80924,0.798,0.87,2.3,0.02
"243","DMA00 D1","M0028",0.80924,0.83051,0.82,0.98,1.56,0.015
"244","DMA00 D1","M0028",0.83051,0.85178,0.841,0.91,2,0.018
"245","DMA00 D2","M0029",0,0.06041,0.03,1.04,1.29,0.013
"246","DMA00 D2","M0029",0.06041,0.10886,0.085,1,1.49,0.015
"247","DMA00 D2","M0029",0.10886,0.15638,0.133,1.02,1.38,0.014
"248","DMA00 D2","M0029",0.15638,0.20529,0.181,0.96,1.7,0.016
"249","DMA00 D2","M0029",0.20529,0.25503,0.23,0.98,1.6,0.016
"250","DMA00 D2","M0029",0.25503,0.30672,0.281,1.09,1.1,0.012
"251","DMA00 D2","M0029",0.30672,0.35545,0.331,1.04,1.3,0.013
"252","DMA00 D2","M0029",0.35545,0.40519,0.38,1.18,0.82,0.01
"253","DMA00 D2","M0029",0.40519,0.45594,0.431,1.18,0.8,0.009
"254","DMA00 D2","M0029",0.45594,0.50624,0.481,1.15,0.89,0.01
"255","DMA00 D2","M0029",0.50624,0.56034,0.533,1.15,0.9,0.01
"256","DMA00 D2","M0029",0.56034,0.60946,0.585,1.09,1.1,0.012
"257","DMA00 D2","M0029",0.60946,0.65995,0.635,1.22,0.71,0.009
"258","DMA00 D2","M0029",0.65995,0.71256,0.686,1.26,0.6,0.008
"259","DMA00 D2","M0029",0.71256,0.75924,0.736,1.26,0.61,0.008
"260","DMA00 D2","M0029",0.75924,0.7906,0.775,1.23,0.69,0.008
"261","DMA00 D2","M0029",0.7906,0.8126,0.802,1.17,0.84,0.01
"262","DMA00 D2","M0029",0.8126,0.83107,0.822,1.14,0.92,0.011
"263","DMA00 D2","M0029",0.83107,0.91162,0.871,1.09,1.09,0.012
"264","DMA00 D2","M0029",0.91162,0.96109,0.936,1.26,0.61,0.008
"265","DMA00 D2","M0029",0.96109,1,0.981,1.21,0.74,0.009
"266","DMA00 MB1","M0030",0,0.05804,0.029,0.51,9.31,0.048
"267","DMA00 MB1","M0030",0.05804,0.10831,0.083,0.59,7.2,0.042
"268","DMA00 MB1","M0030",0.10831,0.15466,0.131,0.68,5.19,0.035
"269","DMA00 MB1","M0030",0.15466,0.20769,0.181,0.54,8.42,0.046
"270","DMA00 MB1","M0030",0.20769,0.25729,0.232,0.59,7.21,0.042
"271","DMA00 MB1","M0030",0.25729,0.30491,0.281,0.56,7.82,0.044
"272","DMA00 MB1","M0030",0.30491,0.35458,0.33,0.51,9.23,0.047
"273","DMA00 MB1","M0030",0.35458,0.40386,0.379,0.52,9.04,0.047
"274","DMA00 MB1","M0030",0.40386,0.45375,0.429,0.48,10.22,0.049
"275","DMA00 MB1","M0030",0.45375,0.5028,0.478,0.6,6.93,0.041
"276","DMA00 MB1","M0030",0.5028,0.55247,0.528,0.59,7.14,0.042
"277","DMA00 MB1","M0030",0.55247,0.60274,0.578,0.57,7.54,0.043
"278","DMA00 MB1","M0030",0.60274,0.65307,0.628,0.63,6.14,0.039
"279","DMA00 MB1","M0030",0.65307,0.68529,0.669,0.57,7.67,0.044
"280","DMA00 MB1","M0030",0.68529,0.72723,0.706,0.73,4.13,0.03
"281","DMA00 MB1","M0030",0.72723,0.75333,0.74,0.71,4.44,0.032
"282","DMA00 MB1","M0030",0.75333,0.78727,0.77,0.47,10.55,0.05
"283","DMA00 MB1","M0030",0.78727,0.82121,0.804,0.73,4.14,0.03
"284","DMA00 BR1","M0031",0,0.05739,0.029,0.69,4.89,0.034
"285","DMA00 BR1","M0031",0.05739,0.10849,0.083,0.71,4.59,0.032
"286","DMA00 BR1","M0031",0.10849,0.1592,0.134,0.73,4.09,0.03
"287","DMA00 BR1","M0031",0.1592,0.20843,0.184,0.76,3.6,0.027
"288","DMA00 BR1","M0031",0.20843,0.30565,0.257,0.7,4.7,0.033
"289","DMA00 BR1","M0031",0.30565,0.35653,0.331,0.62,6.33,0.039
"290","DMA00 BR1","M0031",0.35653,0.40509,0.381,0.72,4.31,0.031
"291","DMA00 BR1","M0031",0.40509,0.45293,0.429,0.62,6.32,0.039
"292","DMA00 BR1","M0031",0.45293,0.48653,0.47,0.64,6.02,0.038
"293","DMA00 BR1","M0031",0.48653,0.52013,0.503,1.41,0.31,0.004
"294","NM98 T00","M0032",0,0.05,0.025,0.49,9.88,0.049
"295","NM98 T01","M0033",0,0.05,0.025,0.54,8.43,0.046
"296","NM98 T02","M0034",0,0.05,0.025,0.54,8.35,0.046
"297","NM98 T03","M0035",0,0.05,0.025,0.61,6.7,0.041
"298","NM98 T04","M0036",0,0.05,0.025,0.64,5.98,0.038
"299","NM98 T05","M0037",0,0.05,0.025,0.69,4.97,0.034
"300","NM98 T06","M0038",0,0.05,0.025,0.66,5.59,0.037
"301","NM98 T07","M0039",0,0.05,0.025,0.61,6.72,0.041
"302","NM98 T08","M0040",0,0.05,0.025,0.7,4.6,0.032
"303","NM98 T09","M0041",0,0.05,0.025,0.76,3.61,0.028
"304","NM98 T10","M0042",0,0.05,0.025,0.67,5.31,0.036
"305","NM98 T11","M0043",0,0.05,0.025,0.86,2.42,0.021
"306","NM98 T12","M0044",0,0.05,0.025,0.83,2.74,0.023
"307","NM98 T13","M0045",0,0.05,0.025,1.23,0.69,0.008
"308","NM98 T14","M0046",0,0.05,0.025,0.91,1.98,0.018
"309","NM98 T15","M0047",0,0.05,0.025,1.01,1.44,0.015
"310","NM98 T16","M0048",0,0.05,0.025,0.81,3,0.024
"311","NM98 T17","M0049",0,0.05,0.025,0.82,2.82,0.023
"312","NM98 T18","M0050",0,0.05,0.025,1.07,1.17,0.013
"313","NM98 T19","M0051",0,0.05,0.025,1.08,1.12,0.012
"314","NM98 T20","M0052",0,0.05,0.025,1.06,1.21,0.013
"315","NM98 P01S01","M0053",0,0.5,0.25,1.62,0,0.063
"316","NM98 P01S03","M0054",0,0.5,0.25,1.62,0,0.051
"317","NM98 P02S01","M0055",0,0.5,0.25,1.62,0,0.076
"318","NM98 P02SO3","M0056",0,0.5,0.25,1.62,0,0.05
"319","NM98 P03S01","M0057",0,0.4,0.2,1.62,0,0.046
"320","NM98 P03S02","M0058",0,0.5,0.25,1.62,0,0.059
"321","NM98 P03S03","M0059",0,0.5,0.25,1.62,0,0.056
"322","NM98 P04S01","M0060",0,0.5,0.25,1.62,0,0.058
"323","NM98 P04S02","M0061",0,0.5,0.25,1.62,0,0.073
"324","NM98 P04S03","M0062",0,0.5,0.25,1.62,0,0.062
"325","NM98 P05S01","M0063",0,0.5,0.25,1.62,0,0.053
"326","NM98 P05S02","M0064",0,0.5,0.25,1.62,0,0.069
"327","NM98 P05S03","M0065",0,0.5,0.25,1.62,0,0.064
"328","NM98 P06S01","M0066",0,0.4,0.2,1.62,0,0.063
"329","NM98 P06S02","M0067",0,0.5,0.25,1.62,0,0.053
"330","NM98 P06S03","M0068",0,0.5,0.25,1.62,0,0.073
"331","KLM02 Fringe","M0069",0,0.2,0.1,0.16,32.2,0.052
"332","KLM02 Transition","M0070",0,0.2,0.1,0.16,31.4,0.052
"333","KLM02 Dwarf","M0071",0,0.2,0.1,0.18,29.3,0.052
"334","MW03 D11","M0072",0,0.02,0.01,0.14,36.2,0.051
"335","MW03 D14","M0073",0,0.02,0.01,0.18,29.4,0.052
"336","MW03 E5","M0074",0,0.02,0.01,0.17,30.9,0.052
"337","MW03 E9","M0075",0,0.02,0.01,0.15,33.3,0.051
"338","MW03 G12","M0076",0,0.02,0.01,0.16,32.5,0.052
"339","MW03 H13","M0077",0,0.02,0.01,0.16,32.7,0.052
"340","MW03 I13","M0078",0,0.02,0.01,0.15,35.3,0.051
"341","MW03 MOW1","M0079",0,0.02,0.01,0.15,34.7,0.051
"342","LDL95 Rhizophora","M0080",0,0.05,0.025,0.82,2.8,0.023
"343","LDL95 Rhizophora","M0080",0,0.1,0.05,0.83,2.7,0.022
"344","LDL95 Rhizophora","M0080",0,0.15,0.075,0.83,2.7,0.022
"345","LDL95 Avicennia","M0081",0,0.05,0.025,0.63,6.1,0.039
"346","LDL95 Avicennia","M0081",0,0.1,0.05,0.75,3.8,0.029
"347","LDL95 Avicennia","M0081",0,0.15,0.075,0.75,3.8,0.029
"348","JI97 Itacuruca","M0082",0,0.01,0.005,0.78,3.4,0.026
"349","JI97 Paraiba do Sul","M0083",0,0.01,0.005,0.69,4.82,0.033
"350","DMA05 JJ1","M0084",0,0.023333333,0.012,0.96,1.67,0.016
"351","DMA05 JJ1","M0084",0.023333333,0.042666667,0.033,0.96,1.7,0.016
"352","DMA05 JJ1","M0084",0.042666667,0.063333333,0.053,0.89,2.15,0.019
