"[Abbreviations: ID, identification; mg, milligrams; ?, delta; N, nitrogen; C, carbon; VPDB, Vienna Pee Dee Belemnite; %, percent]"										
Sample ID	Lab ID	Date Analyzed	Sample Preparation	Sample Weight (mg)	 ?15NAIR	 ?13CVPDB	%N	%C	C:N	Comments
14CCT01-GB56S		8/13/2015	"fumigated in silver, doubled in tin"	21.7	2.5	-26.3	0.72	12.2	17	
14CCT01-GB57S		8/13/2015	"fumigated in silver, doubled in tin"	50.3	5.5	-22.9	0.17	2.5	14.5	
14CCT01-GB64S		8/13/2015	"fumigated in silver, doubled in tin"	23.1	3.9	-25.3	0.55	8.5	15.6	
										
14CCT01-GB40G	15-7593	4/8/2015	single tin	40.6	2.6	-25.4	0.13	1.8	13.3	
14CCT01-GB44G	15-7594	4/8/2015	single tin	32	3.4	-26.1	0.14	1.9	13.1	
14CCT01-GB46G	15-7595	4/8/2015	single tin	26.5	2.9	-25.4	0.19	2.5	13	
14CCT01-GB47G	15-7596	4/8/2015	single tin	39.1	4	-22.2	0.16	2.3	13.7	
14CCT01-GB48G	15-7597	4/8/2015	single tin	38.6	3.6	-17.8	0.15	2.8	18.2	
14CCT01-GB51G	15-7598	4/8/2015	single tin	48.3	3.2	-24.5	0.14	1.8	12.7	
14CCT01-GB52G	15-7599	4/8/2015	single tin	31.3	3.6	-24.3	0.15	1.8	11.9	
14CCT01-GB58G	15-7600	4/8/2015	single tin	34.5	4.5	-23.7	0.13	1.6	12.4	
14CCT01-GB59G	15-7601	4/8/2015	single tin	72.9	5.8	-22.9	0.04	0.4	10.8	
14CCT01-GB61G	15-7602	4/8/2015	single tin	41.4	5.4	-23.4	0.11	1.1	10.1	
14CCT01-GB62G	15-7603	4/8/2015	single tin	72.2	6.3	-23	0.05	0.5	9.7	
14CCT01-GB63G	15-7604	4/8/2015	single tin	71.4	6.7	-22.6	0.06	0.5	8.7	
14CCT01-GB65G	15-7605	4/8/2015	single tin	72.3	8.9		0.03	0.2	7.3	C peak to small
14CCT01-GB30S	15-7614	4/8/2015	single tin	11.3	4.7	-26.8	0.93	18.1	19.4	
14CCT01-GB33S	15-7615	4/8/2015	single tin	71.6			0.01	0.1	14.1	N and C peaks too small
14CCT01-GB38S	15-7616	4/8/2015	single tin	72.6		-22.9	0.02	0.4	14.6	N peak too small
14CCT01-GB39S	15-7617	4/8/2015	single tin	10.3	4.1	-23.8	0.71	10.1	14.3	
14CCT01-GB42S	15-7618	4/8/2015	single tin	28.2	3.2	-17.9	0.19	2.9	15.2	
14CCT01-GB49S	15-7619	4/8/2015	single tin	7.5	3.4	-27.5	1.19	21.4	18	
14CCT01-GB50S	15-7620	4/8/2015	single tin	11.8	3.8	-26.4	0.7	13.1	18.2	
14CCT01-GB53S	15-7621	4/8/2015	single tin	13.8	2.2	-26.8	0.4	7.3	17.8	
										
14CCT01-GB54S	15-7622	4/11/2015	single tin	12.3	1.3	-26.9	0.57	9.7	16.9	
14CCT01-GB55S	15-7623	4/11/2015	single tin	11.6	1.2	-27.2	0.78	13.8	17.7	
14CCT01-GB56S	15-7624	4/11/2015	single tin	16.7	0.6	-27.4	0.46	7.5	16.5	
14CCT01-GB57S	15-7625	4/11/2015	single tin	29.4	5.8	-22.9	0.17	2.4	14.3	
14CCT01-GB64S	15-7626	4/11/2015	single tin	12.4	3	-25.9	0.59	9.1	15.5	
14CCT01-GB40G-2	15-7636	4/11/2015	"fumigated in silver, doubled in tin"	35.8	2.7	-25.2	0.12	1.6	13.4	
14CCT01-GB52G-2	15-7637	4/11/2015	"fumigated in silver, doubled in tin"	43.8	4.3	-24.3	0.14	2	14	
14CCT01-GB64S-2	15-7639	4/11/2015	"fumigated in silver, doubled in tin"	13.4	4.1	-25.6	0.52	7.7	14.9	
14CCT01-GB40G-3	15-7641	4/11/2015	single tin	37.5	3.4	-24.9	0.13	1.7	13.6	
14CCT01-GB52G-3	15-7642	4/11/2015	single tin	41	4.2	-24.1	0.15	1.8	12.1	
14CCT01-GB64S-3	15-7644	4/11/2015	single tin	13.1	4.3	-25.8	0.55	8.5	15.5	
										
										
"[Abbreviations: n, number; ?, delta; N, nitrogen; C, carbon; PDB, Pee Dee Belemnite; %, percent]"										
Quality Control										
Reference Material 1: CN2										
	Date Analyzed	Known  ?15NAIR	Known ?13CPDB							
average (n=3)	4/2/2015	-4.5	-28.3							
average (n=3)	4/8/2015	-4.5	-28.3							
average (n=3)	4/11/2015	-4.5	-28.3							
average (n=3)	8/13/2015	-4.5	-28.3							
										
Reference Material 2: YGA										
	Date Analyzed	Known   ?15NAIR	Known ?13CPDB							
average (n=3)	4/2/2015	31.8	31							
average (n=3)	4/8/2015	31.8	31							
average (n=3)	4/11/2015	31.8	31							
average (n=3)	8/13/2015	31.8	31							
										
										
Quality Assurance										
Reference Material 3: LOS										
	Date Analyzed	Known  ?15NAIR	Normalized  ?15NAIR	Known ?13CPDB	Normalized ?13CPDB					
average (n=4)	4/2/2015	7.86	8.02	-26.8	-27.2					
standard deviation	4/2/2015	0.2	0.6	0.2	0.2					
average (n=4)	4/8/2015	7.86	8.68	-26.8	-26.8					
standard deviation	4/8/2015	0.2	0.4	0.2	0.1					
average (n=4)	4/11/2015	7.86	8.38	-26.8	-26.9					
standard deviation	4/11/2015	0.2	0.1	0.2	0.2					
average (n=4)	8/13/2015	7.86	7.86	-26.7	-26.7					
standard deviation	8/13/2015	0.2	0.1	0.2	0.1					
										
Weight Percent Statistics	Date Analyzed	Known Wt %N	Measured Wt %N	Known Wt %C	Measured Wt %C					
Reference Material 3: LOS	4/2/2015	0.13	0.13	1.55	1.58					
standard deviation	4/2/2015		0.071		0.05					
Reference Material 3: LOS	4/8/2015	0.13	0.14	1.55	1.62					
standard deviation	4/8/2015		0.003		0.03					
Reference Material 3: LOS	4/11/2015	0.13	0.13	1.55	1.55					
standard deviation	4/11/2015		0.002		0.03					
Reference Material 3: LOS	8/13/2015	0.13	0.13	1.55	1.55					
standard deviation	8/13/2015		0.003		0.02					
