"study_id","site_id","plot_id","year","land_use_class","latitude","longitude","position_method","position_notes","plot_basal_density","AGC_trees","BGC_trees","total_C_trees","AGC_saplings","BGC_saplings","total_C_saplings","debris_carbon","understory_carbon","soil_carbon_50cm","soil_carbon_100cm","soil_carbon_300cm","AGC_total","root_carbon","BGC_50cm","BGC_100cm","BGC_300cm","TEC_50cm","TEC_100cm","TEC_300cm"
"Cifuentes_et_al_2023_Panama","Boca Ternero",5,2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cifuentes_et_al_2023_Panama","Boca Ternero",6,2014,"agro-industrial deforestation",8.34034,-82.3915,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cifuentes_et_al_2023_Panama","Boca del Río",1,2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",32.03235,50.90898,78.82016,129.72915,19.34866,9.06301,28.41167,5.01647,0.05488,166.40255,381.76115,1346.62128,75.32899,87.88318,254.28573,469.64433,1434.50445,329.61472,544.97332,1509.83344
"Cifuentes_et_al_2023_Panama","Boca del Río",2,2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",9.05867,35.71295,17.25573,52.96868,5.27261,1.71282,6.98542,13.66292,0.21243,179.38512,401.79911,1282.98272,54.86091,18.96855,198.35367,420.76766,1301.95127,253.21457,475.62856,1356.81217
"Cifuentes_et_al_2023_Panama","Boca del Río",3,2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",8.09235,16.38033,15.38653,31.76686,17.70848,9.73394,27.44242,16.93859,0.07966,182.22611,365.94015,1062.35587,51.10705,25.12047,207.34658,391.06062,1087.47635,258.45363,442.16767,1138.5834
"Cifuentes_et_al_2023_Panama","Boca del Río",4,2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",2.37735,8.81792,4.26177,13.0797,NA,NA,NA,8.19394,0.18588,192.23782,369.64225,1281.54166,17.19774,4.26177,196.49959,373.90403,1285.80344,213.69734,391.10177,1303.00118
"Cifuentes_et_al_2023_Panama","Boca del Río",5,2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",23.1051,29.33673,53.03078,82.36751,NA,NA,NA,25.30876,0.20358,178.5573,401.04331,1024.27421,54.84907,53.03078,231.58808,454.07409,1077.30499,286.43715,508.92316,1132.15406
"Cifuentes_et_al_2023_Panama","Boca del Río",6,2014,"firewood extraction",8.33622,-82.4348,"handheld","coordinates are site-level resolution",23.61918,52.86321,52.40091,105.26412,NA,NA,NA,3.77831,0.12392,215.28337,336.90911,1153.12582,56.76544,52.40091,267.68428,389.31003,1205.52673,324.44972,446.07547,1262.29217
"Cifuentes_et_al_2023_Panama","Calle Larga",1,2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,146.5122,396.34765,NA,5.8691700000000004,NA,146.5122,396.34765,NA,152.38138,402.21682,NA
"Cifuentes_et_al_2023_Panama","Calle Larga",2,2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,89.5676,396.34765,NA,5.8691700000000004,NA,89.5676,396.34765,NA,95.43677,402.21682,NA
"Cifuentes_et_al_2023_Panama","Calle Larga",3,2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,113.94343,396.34765,NA,5.8691700000000004,NA,113.94343,396.34765,NA,119.81261,402.21682,NA
"Cifuentes_et_al_2023_Panama","Calle Larga",4,2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,107.46389,396.34765,NA,5.8691700000000004,NA,107.46389,396.34765,NA,113.33307,402.21682,NA
"Cifuentes_et_al_2023_Panama","Calle Larga",5,2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cifuentes_et_al_2023_Panama","Calle Larga",6,2014,"agro-industrial deforestation",8.34655,-82.4068,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cifuentes_et_al_2023_Panama","El Represo",1,2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",11.35291,21.19331,25.26783,46.46114,NA,NA,NA,92.78035,0.03541,201.5037,371.98145,900.67014,114.00907,25.26783,226.77153,397.24928,925.93797,340.7806,511.25834,1039.94704
"Cifuentes_et_al_2023_Panama","El Represo",2,2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",17.77041,29.20014,43.82901,73.02915,NA,NA,NA,133.46667,0.10976,237.33098,472.88657,1217.23298,162.77657,43.82901,281.15999,516.71558,1261.06199,443.93656,679.49215,1423.83856
"Cifuentes_et_al_2023_Panama","El Represo",3,2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",12.83469,23.35161,28.93947,52.29107,7.3141,3.13173,10.44583,42.18259,0.45142,275.22992,549.48771,1296.90288,73.29972,32.0712,307.30112,581.55891,1328.97408,380.60084,654.85863,1402.2738
"Cifuentes_et_al_2023_Panama","El Represo",4,2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",37.87372,52.44601,93.88,146.326,3.62533,1.2731,4.89842,155.69856,0.21243,196.51819,398.37728,1324.93629,211.98232,95.15309,291.67128,493.53037,1420.08938,503.6536,705.5127,1632.07171
"Cifuentes_et_al_2023_Panama","El Represo",5,2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",31.20408,40.26845,79.82893,120.09737,7.3141,3.13173,10.44583,92.02068,0.0832,209.39717,369.19676,1226.65598,139.68643,82.96066,292.35784,452.15742,1309.61664,432.04426,591.84385,1449.30307
"Cifuentes_et_al_2023_Panama","El Represo",6,2014,"bark extraction",8.30401,-82.3656,"handheld","coordinates are site-level resolution",41.9949,66.51408,105.99242,172.50649,NA,NA,NA,60.52094,0.18057,179.20878,291.18125,1020.44448,127.21558,105.99242,285.20119,397.17367,1126.43689,412.41677,524.38925,1253.65247
"Cifuentes_et_al_2023_Panama","El Río",1,2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",18.41026,68.21991,37.82032,106.04023,NA,NA,NA,83.68108,0.07671,154.20922,366.46366,1066.26046,151.9777,37.82032,192.02953,404.28398,1104.08078,344.00724,556.26168,1256.05848
"Cifuentes_et_al_2023_Panama","El Río",2,2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",15.28571,84.66024,31.74954,116.40979,11.82733,6.13845,17.96578,37.53806,0.06019,190.72779,348.2304,988.44596,134.08582,37.88799,228.61579,386.1184,1026.33395,362.7016,520.20421,1160.41977
"Cifuentes_et_al_2023_Panama","El Río",3,2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",48.59311,80.99077,122.71264,203.70341,NA,NA,NA,50.61031,0.18659,196.79112,384.84468,1096.25741,131.78767,122.71264,319.50376,507.55732,1218.97006,451.29143,639.34499,1350.75772
"Cifuentes_et_al_2023_Panama","El Río",4,2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",34.65816,59.03557,85.06414,144.09971,NA,NA,NA,64.13075,0.04679,167.04513,341.61559,970.02561,123.21311,85.06414,252.10927,426.67973,1055.08975,375.32239,549.89285,1178.30287
"Cifuentes_et_al_2023_Panama","El Río",5,2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",16.52551,60.81191,34.26567,95.07758,7.3141,3.13173,10.44583,95.40354,0.01416,221.64941,416.9369,1060.18039,163.54371,37.3974,259.04681,454.3343,1097.57779,422.59052,617.87801,1261.1215
"Cifuentes_et_al_2023_Panama","El Río",6,2014,"bark extraction",8.33466,-82.4212,"handheld","coordinates are site-level resolution",42.19898,64.39471,114.15882,178.55353,37.68748,16.96092,54.6484,36.98001,NA,168.67664,343.30177,1607.14937,139.0622,131.11974,299.79637,474.42151,1738.26911,438.85857,613.48371,1877.33131
"Cifuentes_et_al_2023_Panama","Isla Mono",1,2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",17.80184,30.81167,41.65493,72.4666,NA,NA,NA,9.11172,0.3275,124.43676,234.97974,669.22713,40.25089,41.65493,166.0917,276.63467,710.88206,206.34258,316.88556,751.13295
"Cifuentes_et_al_2023_Panama","Isla Mono",2,2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",28.82413,43.45054,69.3252,112.77574,21.11807,10.06612,31.18419,11.64302,0.23013,118.37565,227.87228,688.95913,76.44177,79.39132,197.76697,307.2636,768.35045,274.20874,383.70537,844.79222
"Cifuentes_et_al_2023_Panama","Isla Mono",3,2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",24.56122,39.73359,60.50361,100.2372,NA,NA,NA,10.94636,0.27439,141.85547,249.01591,761.97854,50.95435,60.50361,202.35908,309.51952,822.48215,253.31343,360.47387,873.4365
"Cifuentes_et_al_2023_Panama","Isla Mono",4,2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",55.73867,85.41726,144.69416,230.11142,NA,NA,NA,14.59763,0.30095,158.70598,278.91414,853.36035,100.31583,144.69416,303.40014,423.6083,998.05451,403.71597,523.92413,1098.37034
"Cifuentes_et_al_2023_Panama","Isla Mono",5,2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",22.45796,33.59793,59.79903,93.396960000000007,NA,NA,NA,12.28631,0.26554,171.26488,345.42953,967.99655,46.14978,59.79903,231.06391,405.22857,1027.79558,277.21369,451.37835,1073.94536
"Cifuentes_et_al_2023_Panama","Isla Mono",6,2014,"no disturbance",8.28891,-82.3313,"handheld","coordinates are site-level resolution",6.18878,11.39191,13.72264,25.11455,NA,NA,NA,4.26062,0.37176,170.97297,333.05016,842.43054,16.02428,13.72264,184.69561,346.7728,856.15318,200.71989,362.79709,872.17746
"Cifuentes_et_al_2023_Panama","La Yeguada",1,2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,301.82895,523.17342,NA,5.8691700000000004,NA,301.82895,523.17342,NA,307.69812,529.04259,NA
"Cifuentes_et_al_2023_Panama","La Yeguada",2,2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,313.69055,546.77555,NA,5.8691700000000004,NA,313.69055,546.77555,NA,319.55973,552.64472,NA
"Cifuentes_et_al_2023_Panama","La Yeguada",3,2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,370.99284,611.96622,NA,5.8691700000000004,NA,370.99284,611.96622,NA,376.86201,617.83539,NA
"Cifuentes_et_al_2023_Panama","La Yeguada",4,2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,5.8691700000000004,296.7786,467.841,NA,5.8691700000000004,NA,296.7786,467.841,NA,302.64777,473.71018,NA
"Cifuentes_et_al_2023_Panama","La Yeguada",5,2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cifuentes_et_al_2023_Panama","La Yeguada",6,2014,"agro-industrial deforestation",8.37388,-82.4498,"handheld","coordinates are site-level resolution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cifuentes_et_al_2023_Panama","Las Matita",1,2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",8.03699,15.57195,15.67232,31.24427,12.03455,5.93128,17.96584,27.43777,0.00354,151.62887,290.77892,690.24948,55.04781,21.6036,173.23247,312.38252,711.85308,228.28028,367.43033,766.90089
"Cifuentes_et_al_2023_Panama","Las Matita",2,2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",12.56082,27.82161,23.57733,51.39895,0.01565,0.01812,0.03377,8.68818,0.02301,179.88413,339.06515,910.63456,36.54845,23.59545,203.47958,362.6606,934.23001,240.02803,399.20905,970.77847
"Cifuentes_et_al_2023_Panama","Las Matita",3,2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",8.80837,15.69092,17.27402,32.96494,15.85752,9.34537,25.20289,12.38747,0.00974,203.63466,361.46785,889.78935,43.94565,26.6194,230.25405,388.08725,916.40875,274.1997,432.03289,960.3544
"Cifuentes_et_al_2023_Panama","Las Matita",4,2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",34.07776,54.49736,84.96756,139.46492,17.70848,9.73394,27.44242,14.72959,0.00531,199.86238,318.86984,1045.39886,86.94073,94.7015,294.56388,413.57134,1140.10036,381.50461,500.51207,1227.04109
"Cifuentes_et_al_2023_Panama","Las Matita",5,2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",8.44571,13.68937,15.5848,29.27417,NA,NA,NA,15.04884,0.00177,221.4561,399.79516,797.25292,28.73997,15.5848,237.0409,415.37996,812.83772,265.78087,444.11993,841.57769
"Cifuentes_et_al_2023_Panama","Las Matita",6,2014,"firewood extraction",8.31786,-82.4404,"handheld","coordinates are site-level resolution",9.85413,17.41807,18.32512,35.74319,14.16852,6.14592,20.31444,50.39386,1.8e-4,196.30717,382.50314,1175.16521,81.98062,24.47104,220.77822,406.97418,1199.63626,302.75884,488.95481,1281.61688
"Cifuentes_et_al_2023_Panama","Limones",1,2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",15.53755,29.09254,34.18778,63.28033,NA,NA,NA,32.79533,0.12392,111.85765,228.6414,672.24996,62.0118,34.18778,146.04543,262.82918,706.43774,208.05723,324.84098,768.44954
"Cifuentes_et_al_2023_Panama","Limones",2,2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",4.43367,9.3461,8.83753,18.18363,15.75317,9.92816,25.68133,28.88933,0.03541,156.32193,321.86532,839.13171,54.02401,18.76569,175.08762,340.63101,857.8974,229.11163,394.65502,911.92141
"Cifuentes_et_al_2023_Panama","Limones",3,2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",10.53189,21.96163,21.47067,43.4323,9.15876,5.69451,14.85327,9.6161,0.07081,150.62717,287.63357,980.6749,40.8073,27.16518,177.79236,314.79875,1007.84009,218.59965,355.60605,1048.64738
"Cifuentes_et_al_2023_Panama","Limones",4,2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",15.22087,77.41759,33.02229,110.43988,NA,NA,NA,15.1671,0,157.77629,324.89746,973.22679,92.58468,33.02229,190.79858,357.91975,1006.24908,283.38326,450.50443,1098.83376
"Cifuentes_et_al_2023_Panama","Limones",5,2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",6.66327,44.25284,16.18795,60.44079,NA,NA,NA,14.19527,0,146.12081,285.22279,867.3674,58.44811,16.18795,162.30876,301.41074,883.55535,220.75687,359.85885,942.00346
"Cifuentes_et_al_2023_Panama","Limones",6,2014,"no disturbance",8.27676,-82.3499,"handheld","coordinates are site-level resolution",21.94878,167.32616,56.07752,223.40368,NA,NA,NA,10.94155,0,131.69251,320.48426,0,178.2677,56.07752,187.77003,376.56178,56.07752,366.03773,554.82949,234.34523
"Cifuentes_et_al_2023_Panama","Los Algarrobos",1,2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",6.55638,24.64345,11.88423,36.52768,28.95043,14.40113,43.35156,40.55674,0.12392,159.03979,378.99227,1124.33882,94.27455,26.28535,185.32514,405.27762,1150.62418,279.59969,499.55217,1244.89872
"Cifuentes_et_al_2023_Panama","Los Algarrobos",2,2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",8.93959,27.92151,16.96096,44.88247,32.32173,13.89615,46.21788,18.01821,0.38061,234.30348,453.07406,1103.42131,78.64205,30.85711,265.16059,483.93117,1134.27842,343.80264,562.57322,1212.92047
"Cifuentes_et_al_2023_Panama","Los Algarrobos",3,2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",36.39796,61.49214,89.34973,150.84187,19.89269,10.28046,30.17315,6.3977,0.06727,201.71655,384.86387,1034.47807,87.8498,99.63019,301.34674,484.49406,1134.10826,389.19654,572.34386,1221.95806
"Cifuentes_et_al_2023_Panama","Los Algarrobos",4,2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",6.7602,23.19998,11.91798,35.11795,NA,NA,NA,14.78195,0.25669,188.76869,338.95116,672.32945,38.23861,11.91798,200.68667,350.86914,684.24743,238.92529,389.10776,722.48605
"Cifuentes_et_al_2023_Panama","Los Algarrobos",5,2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",9.20408,22.02458,18.26355,40.28813,NA,NA,NA,11.0094,0.12392,183.74258,455.92179,1091.07304,33.1579,18.26355,202.00613,474.18534,1109.33659,235.16403,507.34324,1142.49449
"Cifuentes_et_al_2023_Panama","Los Algarrobos",6,2014,"firewood extraction",8.30017,-82.4285,"handheld","coordinates are site-level resolution",4.84694,9.79027,10.23927,20.02954,40.47741,18.18954,58.66694,8.1268,0.20358,166.19558,369.12259,832.5602,58.59806,28.4288,194.62438,397.55139,860.98901,253.22245,456.14946,919.58707
"Cifuentes_et_al_2023_Panama","Resbaloso",1,2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",3.08673,3.99773,6.31191,10.30964,12.03455,5.93128,17.96584,10.05519,0.58419,193.06648,371.46683,1036.83217,26.67166,12.24319,205.30967,383.71002,1049.07536,231.98133,410.38168,1075.74702
"Cifuentes_et_al_2023_Panama","Resbaloso",2,2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",5.20964,12.39272,9.24563,21.63836,NA,NA,NA,NA,0.15932,169.26175,349.79737,1091.70551,12.55205,9.24563,178.50738,359.043,1100.95114,191.05943,371.59505,1113.50319
"Cifuentes_et_al_2023_Panama","Resbaloso",3,2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",19.5102,31.91135,46.31758,78.22893,NA,NA,NA,NA,0.26554,146.04388,293.87139,1036.88816,32.17689,46.31758,192.36146,340.18896,1083.20574,224.53835,372.36586,1115.38263
"Cifuentes_et_al_2023_Panama","Resbaloso",4,2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",9.8998,19.58991,21.0418,40.63171,17.70848,9.73394,27.44242,NA,0.29209,177.91914,327.3823,985.14152,37.59049,30.77574,208.69488,358.15804,1015.91726,246.28537,395.74852,1053.50774
"Cifuentes_et_al_2023_Panama","Resbaloso",5,2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",12.62245,23.44672,27.00964,50.45637,8.35549,3.09689,11.45238,NA,0.00354,137.75629,238.94335,756.59373,31.80575,30.10653,167.86282,269.04988,786.70026,199.66857,300.85563,818.50601
"Cifuentes_et_al_2023_Panama","Resbaloso",6,2014,"bark extraction",8.31768,-82.4038,"handheld","coordinates are site-level resolution",32.73041,52.82901,81.36343,134.19244,24.06609,10.60937,34.67546,NA,0.26554,167.30069,306.38699,895.1842,77.16064,91.9728,259.2735,398.35979,987.157,336.43414,475.52043,1064.31764
