"study_id","site_id","plot_id","core_id","depth_min","depth_max","percent_nitrogen","percent_carbon","dry_bulk_density","soil_carbon"
"Cifuentes_et_al_2023_Panama","Boca del Río",1,"Boca del Río_1","0","15",0.22,5.67,0.43681,37.15093
"Cifuentes_et_al_2023_Panama","Boca del Río",1,"Boca del Río_1","15","30",0.3,7.1,0.46258,49.26459
"Cifuentes_et_al_2023_Panama","Boca del Río",1,"Boca del Río_1","30","50",0.34,9.17,0.43613,79.98703
"Cifuentes_et_al_2023_Panama","Boca del Río",1,"Boca del Río_1","50","100",0.35,9.25,0.46564,215.3586
"Cifuentes_et_al_2023_Panama","Boca del Río",1,"Boca del Río_1","100","300",0.33,8.82,0.54697,964.86013
"Cifuentes_et_al_2023_Panama","Boca del Río",2,"Boca del Río_2","0","15",0.27,6.41,0.44261,42.55658
"Cifuentes_et_al_2023_Panama","Boca del Río",2,"Boca del Río_2","15","30",0.35,9.07,0.39546,53.80224
"Cifuentes_et_al_2023_Panama","Boca del Río",2,"Boca del Río_2","30","50",0.36,9.56,0.43424,83.0263
"Cifuentes_et_al_2023_Panama","Boca del Río",2,"Boca del Río_2","50","100",0.36,9.36,0.47524,222.41399
"Cifuentes_et_al_2023_Panama","Boca del Río",2,"Boca del Río_2","100","300",0.28,8.01,0.55005,881.18361
"Cifuentes_et_al_2023_Panama","Boca del Río",3,"Boca del Río_3","0","15",0.38,10,0.34741,52.11117
"Cifuentes_et_al_2023_Panama","Boca del Río",3,"Boca del Río_3","15","30",0.41,10,0.37154,55.73069
"Cifuentes_et_al_2023_Panama","Boca del Río",3,"Boca del Río_3","30","50",0.41,10.59,0.3512,74.38425
"Cifuentes_et_al_2023_Panama","Boca del Río",3,"Boca del Río_3","50","100",0.34,9.06,0.40555,183.71404
"Cifuentes_et_al_2023_Panama","Boca del Río",3,"Boca del Río_3","100","300",0.27,6.28,0.55447,696.41573
"Cifuentes_et_al_2023_Panama","Boca del Río",4,"Boca del Río_4","0","15",0.35,7.97,0.51481,61.54496
"Cifuentes_et_al_2023_Panama","Boca del Río",4,"Boca del Río_4","15","30",0.29,5.67,0.61841,52.59546
"Cifuentes_et_al_2023_Panama","Boca del Río",4,"Boca del Río_4","30","50",0.28,6.64,0.58808,78.0974
"Cifuentes_et_al_2023_Panama","Boca del Río",4,"Boca del Río_4","50","100",0.3,6.42,0.55266,177.40444
"Cifuentes_et_al_2023_Panama","Boca del Río",4,"Boca del Río_4","100","300",0.25,6.61,0.68979,911.89941
"Cifuentes_et_al_2023_Panama","Boca del Río",5,"Boca del Río_5","0","15",0.39,10.07,0.35496,53.61644
"Cifuentes_et_al_2023_Panama","Boca del Río",5,"Boca del Río_5","15","30",0.37,9.11,0.39614,54.13223
"Cifuentes_et_al_2023_Panama","Boca del Río",5,"Boca del Río_5","30","50",0.37,9.2,0.38483,70.80863
"Cifuentes_et_al_2023_Panama","Boca del Río",5,"Boca del Río_5","50","100",0.31,10.08,0.44144,222.48601
"Cifuentes_et_al_2023_Panama","Boca del Río",5,"Boca del Río_5","100","300",0.2,5.88,0.52996,623.2309
"Cifuentes_et_al_2023_Panama","Boca del Río",6,"Boca del Río_6","0","15",0.46,13.59,0.3469,70.71623
"Cifuentes_et_al_2023_Panama","Boca del Río",6,"Boca del Río_6","15","30",0.44,11.62,0.37528,65.41102
"Cifuentes_et_al_2023_Panama","Boca del Río",6,"Boca del Río_6","30","50",0.4,10.68,0.37058,79.15612
"Cifuentes_et_al_2023_Panama","Boca del Río",6,"Boca del Río_6","50","100",0.36,10.72,0.22691,121.62575
"Cifuentes_et_al_2023_Panama","Boca del Río",6,"Boca del Río_6","100","300",0.26,6.91,0.59061,816.2167
"Cifuentes_et_al_2023_Panama","Boca Ternero",1,"Boca Ternero_1","0","15",0.22,2.73,0.76498,31.3259
"Cifuentes_et_al_2023_Panama","Boca Ternero",1,"Boca Ternero_1","15","30",0.2,2.29,0.80616,27.69155
"Cifuentes_et_al_2023_Panama","Boca Ternero",1,"Boca Ternero_1","30","50",0.11,1.23,1.06411,26.17709
"Cifuentes_et_al_2023_Panama","Boca Ternero",2,"Boca Ternero_2","0","15",0.27,3.93,0.69335,40.87323
"Cifuentes_et_al_2023_Panama","Boca Ternero",2,"Boca Ternero_2","15","30",0.06,0.7,1.15379,12.11482
"Cifuentes_et_al_2023_Panama","Boca Ternero",2,"Boca Ternero_2","30","50",0.06,0.65,1.23031,15.99398
"Cifuentes_et_al_2023_Panama","Boca Ternero",2,"Boca Ternero_2","50","100",0.1,1.11,1.17392,65.15264
"Cifuentes_et_al_2023_Panama","Boca Ternero",3,"Boca Ternero_3","0","15",0.19,2.21,0.69292,22.97027
"Cifuentes_et_al_2023_Panama","Boca Ternero",3,"Boca Ternero_3","15","30",0.07,0.7,1.2242,12.8541
"Cifuentes_et_al_2023_Panama","Boca Ternero",3,"Boca Ternero_3","30","50",0.05,0.51,1.20823,12.32394
"Cifuentes_et_al_2023_Panama","Boca Ternero",4,"Boca Ternero_4","0","15",0.21,2.56,0.82942,31.84969
"Cifuentes_et_al_2023_Panama","Boca Ternero",4,"Boca Ternero_4","15","30",0.12,1.41,0.90851,19.21493
"Cifuentes_et_al_2023_Panama","Boca Ternero",4,"Boca Ternero_4","30","50",0.08,0.93,0.95621,17.785520000000002
"Cifuentes_et_al_2023_Panama","Boca Ternero",4,"Boca Ternero_4","50","100",0.05,0.48,1.05604,25.34489
"Cifuentes_et_al_2023_Panama","Resbaloso",1,"Resbaloso_1","0","15",0.31,6.54,0.6277,61.57704
"Cifuentes_et_al_2023_Panama","Resbaloso",1,"Resbaloso_1","15","30",0.32,6.94,0.55137,57.39807
"Cifuentes_et_al_2023_Panama","Resbaloso",1,"Resbaloso_1","30","50",0.31,8.05,0.46019,74.09137
"Cifuentes_et_al_2023_Panama","Resbaloso",1,"Resbaloso_1","50","100",0.33,7.76,0.45979,178.40035
"Cifuentes_et_al_2023_Panama","Resbaloso",1,"Resbaloso_1","100","300",0.19,4.35,0.76479,665.36534
"Cifuentes_et_al_2023_Panama","Resbaloso",2,"Resbaloso_2","0","15",0.26,5.17,0.5886,45.6463
"Cifuentes_et_al_2023_Panama","Resbaloso",2,"Resbaloso_2","15","30",0.29,5.67,0.56813,48.31929
"Cifuentes_et_al_2023_Panama","Resbaloso",2,"Resbaloso_2","30","50",0.31,6.29,0.59854,75.29616
"Cifuentes_et_al_2023_Panama","Resbaloso",2,"Resbaloso_2","50","100",0.26,6.25,0.57771,180.53562
"Cifuentes_et_al_2023_Panama","Resbaloso",2,"Resbaloso_2","100","300",0.22,5.4,0.68695,741.90814
"Cifuentes_et_al_2023_Panama","Resbaloso",3,"Resbaloso_3","0","15",0.26,5.54,0.53968,44.84769
"Cifuentes_et_al_2023_Panama","Resbaloso",3,"Resbaloso_3","15","30",0.29,5.66,0.50953,43.25942
"Cifuentes_et_al_2023_Panama","Resbaloso",3,"Resbaloso_3","30","50",0.27,5.14,0.56359,57.93678
"Cifuentes_et_al_2023_Panama","Resbaloso",3,"Resbaloso_3","50","100",0.25,5.46,0.54149,147.82751
"Cifuentes_et_al_2023_Panama","Resbaloso",3,"Resbaloso_3","100","300",0.23,6.31,0.58876,743.01677
"Cifuentes_et_al_2023_Panama","Resbaloso",4,"Resbaloso_4","0","15",0.25,4.72,0.67446,47.75182
"Cifuentes_et_al_2023_Panama","Resbaloso",4,"Resbaloso_4","15","30",0.28,5.84,0.54863,48.0596
"Cifuentes_et_al_2023_Panama","Resbaloso",4,"Resbaloso_4","30","50",0.29,7.52,0.54593,82.10772
"Cifuentes_et_al_2023_Panama","Resbaloso",4,"Resbaloso_4","50","100",0.27,6.02,0.49656,149.46315
"Cifuentes_et_al_2023_Panama","Resbaloso",4,"Resbaloso_4","100","300",0.23,5.56,0.59151,657.75922
"Cifuentes_et_al_2023_Panama","Resbaloso",5,"Resbaloso_5","0","15",0.23,4.27,0.69617,44.58985
"Cifuentes_et_al_2023_Panama","Resbaloso",5,"Resbaloso_5","15","30",0.22,4.06,0.5949,36.22957
"Cifuentes_et_al_2023_Panama","Resbaloso",5,"Resbaloso_5","30","50",0.24,5.22,0.54537,56.93687
"Cifuentes_et_al_2023_Panama","Resbaloso",5,"Resbaloso_5","50","100",0.21,4.32,0.46846,101.18706
"Cifuentes_et_al_2023_Panama","Resbaloso",5,"Resbaloso_5","100","300",0.23,4.78,0.54148,517.65038
"Cifuentes_et_al_2023_Panama","Resbaloso",6,"Resbaloso_6","0","15",0.33,9.5,0.43142,61.4773
"Cifuentes_et_al_2023_Panama","Resbaloso",6,"Resbaloso_6","15","30",0.35,8.98,0.31599,42.56361
"Cifuentes_et_al_2023_Panama","Resbaloso",6,"Resbaloso_6","30","50",0.31,7.68,0.41185,63.25979
"Cifuentes_et_al_2023_Panama","Resbaloso",6,"Resbaloso_6","50","100",0.31,7.43,0.37439,139.08629
"Cifuentes_et_al_2023_Panama","Resbaloso",6,"Resbaloso_6","100","300",0.23,4.96,0.59355,588.79722
"Cifuentes_et_al_2023_Panama","Limones",1,"Limones_1","0","15",0.27,7.24,0.3623,39.34577
"Cifuentes_et_al_2023_Panama","Limones",1,"Limones_1","15","30",0.26,5.61,0.41808,35.18108
"Cifuentes_et_al_2023_Panama","Limones",1,"Limones_1","30","50",0.25,5.1,0.36599,37.33079
"Cifuentes_et_al_2023_Panama","Limones",1,"Limones_1","50","100",0.22,4.66,0.50122,116.78375
"Cifuentes_et_al_2023_Panama","Limones",1,"Limones_1","100","300",0.22,4.41,0.50296,443.60856
"Cifuentes_et_al_2023_Panama","Limones",2,"Limones_2","0","15",0.32,8.98,0.3567,48.04722
"Cifuentes_et_al_2023_Panama","Limones",2,"Limones_2","15","30",0.34,10.6,0.33906,53.91007
"Cifuentes_et_al_2023_Panama","Limones",2,"Limones_2","30","50",0.25,7.18,0.37858,54.36464
"Cifuentes_et_al_2023_Panama","Limones",2,"Limones_2","50","100",0.25,6.94,0.47707,165.54339
"Cifuentes_et_al_2023_Panama","Limones",2,"Limones_2","100","300",0.23,6.51,0.39729,517.26639
"Cifuentes_et_al_2023_Panama","Limones",3,"Limones_3","0","15",0.33,9.92,0.33305,49.55858
"Cifuentes_et_al_2023_Panama","Limones",3,"Limones_3","15","30",0.34,8.91,0.32893,43.96174
"Cifuentes_et_al_2023_Panama","Limones",3,"Limones_3","30","50",0.25,6.77,0.42176,57.10686
"Cifuentes_et_al_2023_Panama","Limones",3,"Limones_3","50","100",0.26,6.45,0.42483,137.00639
"Cifuentes_et_al_2023_Panama","Limones",3,"Limones_3","100","300",0.23,7.92,0.43753,693.04134
"Cifuentes_et_al_2023_Panama","Limones",4,"Limones_4","0","15",0.32,11.24,0.30524,51.46289
"Cifuentes_et_al_2023_Panama","Limones",4,"Limones_4","15","30",0.33,11.92,0.26595,47.55246
"Cifuentes_et_al_2023_Panama","Limones",4,"Limones_4","30","50",0.25,9.08,0.32357,58.76093
"Cifuentes_et_al_2023_Panama","Limones",4,"Limones_4","50","100",0.23,9.25,0.36134,167.12117
"Cifuentes_et_al_2023_Panama","Limones",4,"Limones_4","100","300",0.21,7.07,0.45851,648.32933
"Cifuentes_et_al_2023_Panama","Limones",5,"Limones_5","0","15",0.34,13.81,0.28544,59.12857
"Cifuentes_et_al_2023_Panama","Limones",5,"Limones_5","15","30",0.32,11.49,0.24108,41.5493
"Cifuentes_et_al_2023_Panama","Limones",5,"Limones_5","30","50",0.24,7.66,0.29662,45.44294
"Cifuentes_et_al_2023_Panama","Limones",5,"Limones_5","50","100",0.25,8.28,0.336,139.10198
"Cifuentes_et_al_2023_Panama","Limones",5,"Limones_5","100","300",0.21,7.18,0.40539,582.14461
"Cifuentes_et_al_2023_Panama","Limones",6,"Limones_6","0","15",0.33,10.68,0.2932,46.97026
"Cifuentes_et_al_2023_Panama","Limones",6,"Limones_6","15","30",0.28,8.48,0.29756,37.85019
"Cifuentes_et_al_2023_Panama","Limones",6,"Limones_6","30","50",0.28,8.91,0.26303,46.87206
"Cifuentes_et_al_2023_Panama","Limones",6,"Limones_6","50","100",0.28,11.25,0.33563,188.79175
"Cifuentes_et_al_2023_Panama","Las Matita",5,"Las Matita_5","0","15",0.36,8.94,0.39073,52.39652
"Cifuentes_et_al_2023_Panama","Las Matita",5,"Las Matita_5","15","30",0.5,15.14,0.37585,85.3561
"Cifuentes_et_al_2023_Panama","Las Matita",5,"Las Matita_5","30","50",0.43,11.13,0.37603,83.70349
"Cifuentes_et_al_2023_Panama","Las Matita",5,"Las Matita_5","50","100",0.3,8.42,0.42361,178.33906
"Cifuentes_et_al_2023_Panama","Las Matita",5,"Las Matita_5","100","300",0.13,2.96,0.67138,397.45776
"Cifuentes_et_al_2023_Panama","Las Matita",6,"Las Matita_6","0","15",0.21,4.88,0.5372,39.32271
"Cifuentes_et_al_2023_Panama","Las Matita",6,"Las Matita_6","15","30",0.33,9.48,0.59586,84.73121
"Cifuentes_et_al_2023_Panama","Las Matita",6,"Las Matita_6","30","50",0.25,5.92,0.61025,72.25325
"Cifuentes_et_al_2023_Panama","Las Matita",6,"Las Matita_6","50","100",0.21,5.08,0.73305,186.19596
"Cifuentes_et_al_2023_Panama","Las Matita",6,"Las Matita_6","100","300",0.35,9.91,0.39993,792.66207
"Cifuentes_et_al_2023_Panama","Las Matita",3,"Las Matita_3","0","15",0.44,12,0.40282,72.50731
"Cifuentes_et_al_2023_Panama","Las Matita",3,"Las Matita_3","15","30",0.4,9.04,0.41145,55.79228
"Cifuentes_et_al_2023_Panama","Las Matita",3,"Las Matita_3","30","50",0.39,9,0.41853,75.33507
"Cifuentes_et_al_2023_Panama","Las Matita",3,"Las Matita_3","50","100",0.23,5.18,0.60939,157.83319
"Cifuentes_et_al_2023_Panama","Las Matita",3,"Las Matita_3","100","300",0.19,4.4,0.60037,528.3215
"Cifuentes_et_al_2023_Panama","Las Matita",4,"Las Matita_4","0","15",0.49,13.33,0.33824,67.63097
"Cifuentes_et_al_2023_Panama","Las Matita",4,"Las Matita_4","15","30",0.46,11.46,0.35325,60.72424
"Cifuentes_et_al_2023_Panama","Las Matita",4,"Las Matita_4","30","50",0.46,10.64,0.33603,71.50717
"Cifuentes_et_al_2023_Panama","Las Matita",4,"Las Matita_4","50","100",0.23,5.22,0.45597,119.00746
"Cifuentes_et_al_2023_Panama","Las Matita",4,"Las Matita_4","100","300",0.24,5.48,0.66289,726.52902
"Cifuentes_et_al_2023_Panama","Las Matita",1,"Las Matita_1","0","15",0.37,8.72,0.33956,44.41466
"Cifuentes_et_al_2023_Panama","Las Matita",1,"Las Matita_1","15","30",0.44,10.07,0.29449,44.48197
"Cifuentes_et_al_2023_Panama","Las Matita",1,"Las Matita_1","30","50",0.26,5.84,0.53709,62.73225
"Cifuentes_et_al_2023_Panama","Las Matita",1,"Las Matita_1","50","100",0.22,4.86,0.57263,139.15005
"Cifuentes_et_al_2023_Panama","Las Matita",1,"Las Matita_1","100","300",0.17,3.36,0.59445,399.47056
"Cifuentes_et_al_2023_Panama","Las Matita",2,"Las Matita_2","0","15",0.41,10.79,0.42168,68.24844
"Cifuentes_et_al_2023_Panama","Las Matita",2,"Las Matita_2","15","30",0.41,11.43,0.27573,47.27403
"Cifuentes_et_al_2023_Panama","Las Matita",2,"Las Matita_2","30","50",0.38,9.77,0.32938,64.36166
"Cifuentes_et_al_2023_Panama","Las Matita",2,"Las Matita_2","50","100",0.27,6.11,0.52105,159.18102
"Cifuentes_et_al_2023_Panama","Las Matita",2,"Las Matita_2","100","300",0.19,4.35,0.65698,571.56942
"Cifuentes_et_al_2023_Panama","Isla Mono",1,"Isla Mono_1","0","15",0.24,4.61,0.57778,39.95373
"Cifuentes_et_al_2023_Panama","Isla Mono",1,"Isla Mono_1","15","30",0.21,4.63,0.57646,40.03524
"Cifuentes_et_al_2023_Panama","Isla Mono",1,"Isla Mono_1","30","50",0.2,4.03,0.55146,44.44779
"Cifuentes_et_al_2023_Panama","Isla Mono",1,"Isla Mono_1","50","100",0.18,3.7,0.59753,110.54297
"Cifuentes_et_al_2023_Panama","Isla Mono",1,"Isla Mono_1","100","300",0.18,3.54,0.61334,434.24739
"Cifuentes_et_al_2023_Panama","Isla Mono",2,"Isla Mono_2","0","15",0.18,3.91,0.54238,31.81058
"Cifuentes_et_al_2023_Panama","Isla Mono",2,"Isla Mono_2","15","30",0.21,4.27,0.61098,39.13312
"Cifuentes_et_al_2023_Panama","Isla Mono",2,"Isla Mono_2","30","50",0.2,4.2,0.56467,47.43194
"Cifuentes_et_al_2023_Panama","Isla Mono",2,"Isla Mono_2","50","100",0.15,3.33,0.65764,109.49663
"Cifuentes_et_al_2023_Panama","Isla Mono",2,"Isla Mono_2","100","300",0.16,3.54,0.65125,461.08685
"Cifuentes_et_al_2023_Panama","Isla Mono",3,"Isla Mono_3","0","15",0.26,5.86,0.52082,45.78049
"Cifuentes_et_al_2023_Panama","Isla Mono",3,"Isla Mono_3","15","30",0.24,4.96,0.5964,44.37207
"Cifuentes_et_al_2023_Panama","Isla Mono",3,"Isla Mono_3","30","50",0.21,4.54,0.56942,51.70292
"Cifuentes_et_al_2023_Panama","Isla Mono",3,"Isla Mono_3","50","100",0.18,3.96,0.54121,107.16044
"Cifuentes_et_al_2023_Panama","Isla Mono",3,"Isla Mono_3","100","300",0.18,4.02,0.63801,512.96263
"Cifuentes_et_al_2023_Panama","Isla Mono",4,"Isla Mono_4","0","15",0.35,8.15,0.39226,47.95356
"Cifuentes_et_al_2023_Panama","Isla Mono",4,"Isla Mono_4","15","30",0.34,8.03,0.40384,48.64311
"Cifuentes_et_al_2023_Panama","Isla Mono",4,"Isla Mono_4","30","50",0.31,6.74,0.46075,62.10931
"Cifuentes_et_al_2023_Panama","Isla Mono",4,"Isla Mono_4","50","100",0.15,3.38,0.71129,120.20816
"Cifuentes_et_al_2023_Panama","Isla Mono",4,"Isla Mono_4","100","300",0.2,4.76,0.60341,574.44621
"Cifuentes_et_al_2023_Panama","Isla Mono",5,"Isla Mono_5","0","15",0.43,9.33,0.42143,58.97962
"Cifuentes_et_al_2023_Panama","Isla Mono",5,"Isla Mono_5","15","30",0.39,8.46,0.40284,51.11986
"Cifuentes_et_al_2023_Panama","Isla Mono",5,"Isla Mono_5","30","50",0.38,7.66,0.39925,61.16539
"Cifuentes_et_al_2023_Panama","Isla Mono",5,"Isla Mono_5","50","100",0.29,6.71,0.51912,174.16466
"Cifuentes_et_al_2023_Panama","Isla Mono",5,"Isla Mono_5","100","300",0.22,4.86,0.6405,622.56701
"Cifuentes_et_al_2023_Panama","Isla Mono",6,"Isla Mono_6","0","15",0.45,10.18,0.43981,67.15825
"Cifuentes_et_al_2023_Panama","Isla Mono",6,"Isla Mono_6","15","30",0.37,7.7,0.39713,45.86845
"Cifuentes_et_al_2023_Panama","Isla Mono",6,"Isla Mono_6","30","50",0.33,7.17,0.40409,57.94627
"Cifuentes_et_al_2023_Panama","Isla Mono",6,"Isla Mono_6","50","100",0.31,6.77,0.47881,162.07719
"Cifuentes_et_al_2023_Panama","Isla Mono",6,"Isla Mono_6","100","300",0.22,5.06,0.50334,509.38038
"Cifuentes_et_al_2023_Panama","Los Algarrobos",1,"Los Algarrobos_1","0","15",0.22,4.67,0.60685,42.51016
"Cifuentes_et_al_2023_Panama","Los Algarrobos",1,"Los Algarrobos_1","15","30",0.3,6.98,0.48815,51.10956
"Cifuentes_et_al_2023_Panama","Los Algarrobos",1,"Los Algarrobos_1","30","50",0.29,7.04,0.46463,65.42007
"Cifuentes_et_al_2023_Panama","Los Algarrobos",1,"Los Algarrobos_1","50","100",0.31,9.77,0.45026,219.95248
"Cifuentes_et_al_2023_Panama","Los Algarrobos",1,"Los Algarrobos_1","100","300",0.15,4.2,0.88732,745.34656
"Cifuentes_et_al_2023_Panama","Los Algarrobos",2,"Los Algarrobos_2","0","15",0.29,7.22,0.43481,47.09015
"Cifuentes_et_al_2023_Panama","Los Algarrobos",2,"Los Algarrobos_2","15","30",0.41,12.43,0.43476,81.06099
"Cifuentes_et_al_2023_Panama","Los Algarrobos",2,"Los Algarrobos_2","30","50",0.35,12.06,0.4401,106.15234
"Cifuentes_et_al_2023_Panama","Los Algarrobos",2,"Los Algarrobos_2","50","100",0.26,6.94,0.63046,218.77058
"Cifuentes_et_al_2023_Panama","Los Algarrobos",2,"Los Algarrobos_2","100","300",0.19,4.58,0.70999,650.34725
"Cifuentes_et_al_2023_Panama","Los Algarrobos",3,"Los Algarrobos_3","0","15",0.33,11.31,0.54459,92.3896
"Cifuentes_et_al_2023_Panama","Los Algarrobos",3,"Los Algarrobos_3","15","30",0.43,12.49,0.2992,56.05507
"Cifuentes_et_al_2023_Panama","Los Algarrobos",3,"Los Algarrobos_3","30","50",0.35,9.56,0.27862,53.27189
"Cifuentes_et_al_2023_Panama","Los Algarrobos",3,"Los Algarrobos_3","50","100",0.23,7.37,0.49701,183.14732
"Cifuentes_et_al_2023_Panama","Los Algarrobos",3,"Los Algarrobos_3","100","300",0.2,4.58,0.70919,649.6142
"Cifuentes_et_al_2023_Panama","Los Algarrobos",4,"Los Algarrobos_4","0","15",0.28,7.1,0.37803,40.25989
"Cifuentes_et_al_2023_Panama","Los Algarrobos",4,"Los Algarrobos_4","15","30",0.3,8.41,0.51254,64.65736
"Cifuentes_et_al_2023_Panama","Los Algarrobos",4,"Los Algarrobos_4","30","50",0.33,10.62,0.39478,83.85144
"Cifuentes_et_al_2023_Panama","Los Algarrobos",4,"Los Algarrobos_4","50","100",0.27,7.79,0.38558,150.18247
"Cifuentes_et_al_2023_Panama","Los Algarrobos",4,"Los Algarrobos_4","100","300",0.1,2.52,0.66146,333.37829
"Cifuentes_et_al_2023_Panama","Los Algarrobos",5,"Los Algarrobos_5","0","15",0.22,5.35,0.56794,45.57692
"Cifuentes_et_al_2023_Panama","Los Algarrobos",5,"Los Algarrobos_5","15","30",0.3,7.44,0.60009,66.96971
"Cifuentes_et_al_2023_Panama","Los Algarrobos",5,"Los Algarrobos_5","30","50",0.28,6.34,0.56148,71.19595
"Cifuentes_et_al_2023_Panama","Los Algarrobos",5,"Los Algarrobos_5","50","100",0.24,7.18,0.75816,272.17921
"Cifuentes_et_al_2023_Panama","Los Algarrobos",5,"Los Algarrobos_5","100","300",0.14,3.73,0.85141,635.15125
"Cifuentes_et_al_2023_Panama","Los Algarrobos",6,"Los Algarrobos_6","0","15",0.23,5.57,0.51653,43.15587
"Cifuentes_et_al_2023_Panama","Los Algarrobos",6,"Los Algarrobos_6","15","30",0.32,8.52,0.50802,64.92498
"Cifuentes_et_al_2023_Panama","Los Algarrobos",6,"Los Algarrobos_6","30","50",0.3,7.83,0.3711,58.11473
"Cifuentes_et_al_2023_Panama","Los Algarrobos",6,"Los Algarrobos_6","50","100",0.3,9.37,0.43314,202.92701
"Cifuentes_et_al_2023_Panama","Los Algarrobos",6,"Los Algarrobos_6","100","300",0.11,3.11,0.74508,463.43761
"Cifuentes_et_al_2023_Panama","La Yeguada",1,"La Yeguada_1","0","15",0.68,13.58,0.58359,118.87816
"Cifuentes_et_al_2023_Panama","La Yeguada",1,"La Yeguada_1","15","30",0.74,21.2,0.20618,65.56399
"Cifuentes_et_al_2023_Panama","La Yeguada",1,"La Yeguada_1","30","50",0.5,25.02,0.23459,117.38681
"Cifuentes_et_al_2023_Panama","La Yeguada",1,"La Yeguada_1","50","100",0.48,27.42,0.16145,221.34447
"Cifuentes_et_al_2023_Panama","La Yeguada",2,"La Yeguada_2","0","15",0.7,14.28,0.5567,119.24471
"Cifuentes_et_al_2023_Panama","La Yeguada",2,"La Yeguada_2","15","30",0.76,26.08,0.24108,94.3086
"Cifuentes_et_al_2023_Panama","La Yeguada",2,"La Yeguada_2","30","50",0.67,30.06,0.16656,100.13724
"Cifuentes_et_al_2023_Panama","La Yeguada",2,"La Yeguada_2","50","100",0.56,29.41,0.15851,233.08499
"Cifuentes_et_al_2023_Panama","La Yeguada",3,"La Yeguada_3","0","15",0.67,19.36,0.54809,159.16426
"Cifuentes_et_al_2023_Panama","La Yeguada",3,"La Yeguada_3","15","30",0.7,37.83,0.17338,98.38564
"Cifuentes_et_al_2023_Panama","La Yeguada",3,"La Yeguada_3","30","50",0.68,33.1,0.17136,113.44294
