study_id,site_id,plot_id,plot_radius,species,family,diameter,diameter_flag,alive_or_dead,decay_class,height,wood_density,carbon_conversion_factor,basal_area,basal_density,plant_aboveground_carbon,plant_belowground_carbon,plant_BGB_kg,plant_AGB_kg,plant_AGB_MgHa,plant_BGB_MgHa,plant_mass_total_MgHa,plant_total_carbon,plant_notes
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,5.2,DBH,alive,NA,NA,0.898,0.4752,0.00212,0.13796,0.38678,0.21672,7.02063,12.52965,0.81394,0.45607,1.27001,0.60351,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,7.7,DBH,alive,NA,NA,0.898,0.4752,0.00466,0.3025,0.7631,0.51807,16.78255,24.72024,1.60586,1.09021,2.69607,1.28117,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,8.3,DBH,alive,NA,NA,0.898,0.4752,0.00541,0.35148,0.86894,0.61197,19.82448,28.1489,1.82859,1.28782,3.11641,1.48092,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,8.5,DBH,alive,NA,NA,0.898,0.4752,0.00567,0.36862,0.90551,0.64519,20.90059,29.33333,1.90553,1.35773,3.26326,1.5507,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,10.2,DBH,alive,NA,NA,0.898,0.4752,0.00817,0.53082,1.24152,0.9671,31.32859,40.21834,2.61263,2.03514,4.64777,2.20862,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,10.3,DBH,alive,NA,NA,0.898,0.4752,0.00833,0.54128,1.26267,0.98827,32.01453,40.90331,2.65713,2.0797,4.73683,2.25094,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,11.4,DBH,alive,NA,NA,0.898,0.4752,0.01021,0.66306,1.50512,1.23796,40.10304,48.75728,3.16733,2.60514,5.77247,2.74308,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,11.5,DBH,alive,NA,NA,0.898,0.4752,0.01039,0.67474,1.52804,1.2622,40.88817,49.5,3.21558,2.65614,5.87172,2.79024,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,13.6,DBH,alive,NA,NA,0.898,0.4752,0.01453,0.94367,2.04279,1.83162,59.33417,66.17486,4.2988,3.85442,8.15322,3.87441,NA
Cifuentes_et_al_2023_Panama,Batipa,2,7,Rhizophora mangle,Rhizophoraceae,41.5,DBH,alive,NA,NA,0.898,0.4752,0.13527,8.78699,14.08993,21.79946,706.17978,456.43449,29.65053,45.87429,75.52482,35.88939,NA
Cifuentes_et_al_2023_Panama,Los Algarrobos,2,7,Rhizophora mangle,Rhizophoraceae,5.4,DBH,dead,3,NA,0.898,0.4752,0.00229,0.14878,0.20645,0.23566,7.63418,6.68776,0.43445,0.49593,0.93037,0.44211,NA
Cifuentes_et_al_2023_Panama,Batipa,3,7,Rhizophora mangle,Rhizophoraceae,5.5,DBH,dead,3,18,0.898,0.4752,0.00238,0.15434,0.21311,0.24546,7.95158,6.90359,0.44847,0.51654,0.96501,0.45857,NA
Cifuentes_et_al_2023_Panama,Las Matita,1,7,Rhizophora mangle,Rhizophoraceae,5.7,DBH,dead,3,NA,0.898,0.4752,0.00255,0.16577,0.2267,0.26572,8.60777,7.3439,0.47707,0.55917,1.03624,0.49242,cut for firewood
Cifuentes_et_al_2023_Panama,Limones,2,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,1,NA,0.898,0.4752,0.00283,0.18367,0.48312,0.29777,9.64593,15.65026,1.01666,0.62661,1.64327,0.78088,NA
Cifuentes_et_al_2023_Panama,Batipa,3,7,Rhizophora mangle,Rhizophoraceae,53,DBH,alive,NA,NA,0.898,0.4752,0.22062,14.33163,21.51737,37.52074,1215.46073,697.04165,45.28066,78.95779,124.23845,59.03811,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,0.52136,0.62661,1.14798,0.54552,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,16,DBH,alive,NA,NA,0.898,0.4752,0.02011,1.30612,2.70645,2.62739,85.1128,87.67361,5.69538,5.52903,11.22441,5.33384,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,16,DBH,alive,NA,NA,0.898,0.4752,0.02011,1.30612,2.70645,2.62739,85.1128,87.67361,5.69538,5.52903,11.22441,5.33384,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,18,DBH,alive,NA,NA,0.898,0.4752,0.02545,1.65306,3.31852,3.41259,110.54866,107.50135,6.98342,7.18137,14.16479,6.73111,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,19,DBH,alive,NA,NA,0.898,0.4752,0.02835,1.84184,3.6441,3.8478,124.6469,118.04828,7.66856,8.09721,15.76577,7.49189,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,23,DBH,alive,NA,NA,0.898,0.4752,0.04155,2.69898,5.07246,5.88051,190.49531,164.31911,10.67437,12.3748,23.04917,10.95297,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,28,DBH,alive,NA,NA,0.898,0.4752,0.06158,4,7.13014,9.1006,294.80805,230.97648,15.00451,19.15108,34.15559,16.23074,NA
Cifuentes_et_al_2023_Panama,Batipa,4,7,Rhizophora mangle,Rhizophoraceae,51,DBH,alive,NA,NA,0.898,0.4752,0.20428,13.27041,20.13129,34.44965,1115.97456,652.1405,42.36383,72.49505,114.85888,54.58094,NA
Cifuentes_et_al_2023_Panama,Batipa,5,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Batipa,5,7,Rhizophora mangle,Rhizophoraceae,8.6,DBH,alive,NA,NA,0.898,0.4752,0.00581,0.37735,0.92403,0.66216,21.45038,29.93326,1.9445,1.39344,3.33794,1.58619,NA
Cifuentes_et_al_2023_Panama,Batipa,5,7,Rhizophora mangle,Rhizophoraceae,10.4,DBH,alive,NA,NA,0.898,0.4752,0.00849,0.55184,1.28396,1.0097,32.70864,41.59316,2.70194,2.12479,4.82673,2.29366,NA
Cifuentes_et_al_2023_Panama,Batipa,5,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Batipa,5,7,Rhizophora mangle,Rhizophoraceae,12,DBH,alive,NA,NA,0.898,0.4752,0.01131,0.73469,1.64487,1.38727,44.93977,53.28438,3.46142,2.91934,6.38076,3.03214,NA
Cifuentes_et_al_2023_Panama,Batipa,5,7,Rhizophora mangle,Rhizophoraceae,12.4,DBH,alive,NA,NA,0.898,0.4752,0.01208,0.78449,1.74093,1.49202,48.3331,56.39624,3.66357,3.13978,6.80334,3.23295,NA
Cifuentes_et_al_2023_Panama,Batipa,5,7,Rhizophora mangle,Rhizophoraceae,20,DBH,alive,NA,NA,0.898,0.4752,0.03142,2.04082,3.98245,4.31187,139.68028,129.00903,8.38058,9.0738,17.45438,8.29432,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,18,DBH,alive,NA,NA,0.898,0.4752,0.02545,1.65306,3.31852,3.41259,110.54866,107.50135,6.98342,7.18137,14.16479,6.73111,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,32,DBH,alive,NA,NA,0.898,0.4752,0.08042,5.22449,8.98426,12.24086,396.53493,291.03942,18.90627,25.75939,44.66566,21.22512,NA
Cifuentes_et_al_2023_Panama,Batipa,6,7,Rhizophora mangle,Rhizophoraceae,37.6,DBH,alive,NA,NA,0.898,0.4752,0.11104,7.21306,11.8773,17.5104,567.23826,384.75773,24.99432,36.84848,61.8428,29.3877,NA
Cifuentes_et_al_2023_Panama,Isla Mono,1,7,Pelliciera rhizophorae,Theaceae,5.6,DBH,alive,NA,NA,0.811,0.4669,0.00246,0.16,0.42768,0.22904,7.55162,14.10058,0.91599,0.49056,1.40655,0.65672,NA
Cifuentes_et_al_2023_Panama,Isla Mono,1,7,Rhizophora mangle,Rhizophoraceae,14,DBH,alive,NA,NA,0.898,0.4752,0.01539,1,2.14791,1.95336,63.278,69.58006,4.52,4.11061,8.63062,4.10127,NA
Cifuentes_et_al_2023_Panama,Isla Mono,1,7,Rhizophora mangle,Rhizophoraceae,29,DBH,alive,NA,NA,0.898,0.4752,0.06605,4.29082,7.57667,9.8379,318.69266,245.44158,15.94418,20.70266,36.64684,17.41458,NA
Cifuentes_et_al_2023_Panama,Isla Mono,1,7,Rhizophora mangle,Rhizophoraceae,29.2,DBH,alive,NA,NA,0.898,0.4752,0.06697,4.3502,7.66735,9.98916,323.59249,248.37902,16.135,21.02096,37.15596,17.65651,NA
Cifuentes_et_al_2023_Panama,Isla Mono,1,7,Rhizophora mangle,Rhizophoraceae,39.6,DBH,alive,NA,NA,0.898,0.4752,0.12316,8.00082,12.99206,19.64546,636.40241,420.86961,27.3402,41.34147,68.68166,32.63752,NA
Cifuentes_et_al_2023_Panama,Isla Mono,2,7,Rhizophora mangle,Rhizophoraceae,6.8,DBH,alive,NA,NA,0.898,0.4752,0.00363,0.23592,0.61538,0.39314,12.73557,19.93472,1.29498,0.82732,2.1223,1.00852,NA
Cifuentes_et_al_2023_Panama,Isla Mono,2,7,Rhizophora mangle,Rhizophoraceae,10,DBH,alive,NA,NA,0.898,0.4752,0.00785,0.5102,1.19969,0.92551,29.98116,38.86308,2.52459,1.94761,4.4722,2.12519,NA
Cifuentes_et_al_2023_Panama,Isla Mono,2,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Los Algarrobos,1,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,0.52136,0.62661,1.14798,0.54552,NA
Cifuentes_et_al_2023_Panama,Los Algarrobos,1,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,0.52136,0.62661,1.14798,0.54552,NA
Cifuentes_et_al_2023_Panama,Isla Mono,2,7,Rhizophora mangle,Rhizophoraceae,34,DBH,alive,NA,NA,0.898,0.4752,0.09079,5.89796,9.97833,14.00432,453.66126,323.24157,20.99816,29.47038,50.46854,23.98265,NA
Cifuentes_et_al_2023_Panama,Isla Mono,2,7,Rhizophora mangle,Rhizophoraceae,47.3,DBH,alive,NA,NA,0.898,0.4752,0.17572,11.41474,17.67064,29.14545,944.14834,572.42927,37.18569,61.33301,98.5187,46.81609,NA
Cifuentes_et_al_2023_Panama,Isla Mono,3,7,Rhizophora mangle,Rhizophoraceae,37,DBH,alive,NA,NA,0.898,0.4752,0.10752,6.98469,11.55114,16.89611,547.33892,374.1919,24.30796,35.55579,59.86375,28.44725,NA
Cifuentes_et_al_2023_Panama,Isla Mono,3,7,Rhizophora mangle,Rhizophoraceae,41,DBH,alive,NA,NA,0.898,0.4752,0.13203,8.57653,13.79738,21.22067,687.43029,446.95732,29.03488,44.6563,73.69118,35.01805,NA
Cifuentes_et_al_2023_Panama,Isla Mono,3,7,Rhizophora mangle,Rhizophoraceae,42,DBH,alive,NA,NA,0.898,0.4752,0.13854,9,14.38508,22.38682,725.2069,465.9955,30.27163,47.11031,77.38194,36.7719,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Pelliciera rhizophorae,Theaceae,6,DBH,alive,NA,NA,0.811,0.4669,0.00283,0.18367,0.50679,0.26695,8.80154,16.70885,1.08543,0.57176,1.65719,0.77374,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,7.3,DBH,alive,NA,NA,0.898,0.4752,0.00419,0.27189,0.69579,0.46021,14.9082,22.53975,1.46421,0.96845,2.43266,1.156,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,8.2,DBH,alive,NA,NA,0.898,0.4752,0.00528,0.34306,0.8509,0.59572,19.29813,27.56443,1.79062,1.25363,3.04425,1.44663,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,13,DBH,alive,NA,NA,0.898,0.4752,0.01327,0.86224,1.88931,1.65704,53.67879,61.20306,3.97582,3.48704,7.46286,3.54635,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,29.5,DBH,alive,NA,NA,0.898,0.4752,0.06835,4.44005,7.80422,10.21842,331.01935,252.81283,16.42303,21.50341,37.92644,18.02264,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,54,DBH,alive,NA,NA,0.898,0.4752,0.22902,14.87755,22.22497,39.11048,1266.95926,719.96402,46.76973,82.3032,129.07292,61.33545,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,58,DBH,alive,NA,NA,0.898,0.4752,0.26421,17.16327,25.15136,45.83414,1484.76817,814.76254,52.92795,96.45232,149.38028,70.98551,NA
Cifuentes_et_al_2023_Panama,Isla Mono,4,7,Rhizophora mangle,Rhizophoraceae,58,DBH,alive,NA,NA,0.898,0.4752,0.26421,17.16327,25.15136,45.83414,1484.76817,814.76254,52.92795,96.45232,149.38028,70.98551,NA
Cifuentes_et_al_2023_Panama,Isla Mono,5,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Isla Mono,5,7,Rhizophora mangle,Rhizophoraceae,7.4,DBH,alive,NA,NA,0.898,0.4752,0.0043,0.27939,0.71237,0.47432,15.36537,23.07689,1.4991,0.99815,2.49726,1.1867,NA
Cifuentes_et_al_2023_Panama,Isla Mono,5,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Isla Mono,5,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Isla Mono,5,7,Rhizophora mangle,Rhizophoraceae,64,DBH,alive,NA,NA,0.898,0.4752,0.3217,20.89796,29.82395,57.02936,1847.43023,966.12814,62.76084,120.01129,182.77213,86.85332,NA
Cifuentes_et_al_2023_Panama,Isla Mono,6,7,Rhizophora mangle,Rhizophoraceae,22,DBH,alive,NA,NA,0.898,0.4752,0.03801,2.46939,4.69679,5.32792,172.59446,152.14962,9.88382,11.21194,21.09577,10.02471,NA
Cifuentes_et_al_2023_Panama,Isla Mono,6,7,Rhizophora mangle,Rhizophoraceae,27,DBH,alive,NA,NA,0.898,0.4752,0.05726,3.71939,6.69512,8.39473,271.94186,216.88418,14.08906,17.66567,31.75473,15.08985,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Los Algarrobos,1,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,0.52136,0.62661,1.14798,0.54552,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,9.4,DBH,alive,NA,NA,0.898,0.4752,0.00694,0.45082,1.07783,0.80672,26.13318,34.91576,2.26817,1.69764,3.96581,1.88455,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,15,DBH,alive,NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,5.09337,4.79099,9.88436,4.69705,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,15,DBH,alive,NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,5.09337,4.79099,9.88436,4.69705,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,20,DBH,alive,NA,NA,0.898,0.4752,0.03142,2.04082,3.98245,4.31187,139.68028,129.00903,8.38058,9.0738,17.45438,8.29432,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,26,DBH,alive,NA,NA,0.898,0.4752,0.05309,3.44898,6.27172,7.72004,250.08597,203.16835,13.19806,16.24589,29.44395,13.99176,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,35,DBH,alive,NA,NA,0.898,0.4752,0.09621,6.25,10.49179,14.93517,483.81526,339.87481,22.07868,31.42922,53.5079,25.42695,NA
Cifuentes_et_al_2023_Panama,Los Algarrobos,1,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,0.52136,0.62661,1.14798,0.54552,NA
Cifuentes_et_al_2023_Panama,Limones,2,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Limones,2,7,Rhizophora mangle,Rhizophoraceae,12,DBH,alive,NA,NA,0.898,0.4752,0.01131,0.73469,1.64487,1.38727,44.93977,53.28438,3.46142,2.91934,6.38076,3.03214,NA
Cifuentes_et_al_2023_Panama,Limones,2,7,Rhizophora mangle,Rhizophoraceae,15,DBH,alive,NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,5.09337,4.79099,9.88436,4.69705,NA
Cifuentes_et_al_2023_Panama,Limones,2,7,Rhizophora mangle,Rhizophoraceae,20,DBH,alive,NA,NA,0.898,0.4752,0.03142,2.04082,3.98245,4.31187,139.68028,129.00903,8.38058,9.0738,17.45438,8.29432,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Pelliciera rhizophorae,Theaceae,9.5,DBH,alive,NA,NA,0.811,0.4669,0.00709,0.46046,1.56954,0.74044,24.41233,51.74813,3.36162,1.58585,4.94747,2.30998,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,13,DBH,alive,NA,NA,0.898,0.4752,0.01327,0.86224,1.88931,1.65704,53.67879,61.20306,3.97582,3.48704,7.46286,3.54635,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,14,DBH,alive,NA,NA,0.898,0.4752,0.01539,1,2.14791,1.95336,63.278,69.58006,4.52,4.11061,8.63062,4.10127,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,17,DBH,alive,NA,NA,0.898,0.4752,0.0227,1.47449,3.0059,3.00591,97.37447,97.37428,6.32555,6.32556,12.65111,6.01181,NA
Cifuentes_et_al_2023_Panama,El Represo,2,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,1,NA,0.898,0.4752,0.00283,0.18367,0.48312,0.29777,9.64593,15.65026,1.01666,0.62661,1.64327,0.78088,NA
Cifuentes_et_al_2023_Panama,Limones,3,7,Rhizophora mangle,Rhizophoraceae,26,DBH,alive,NA,NA,0.898,0.4752,0.05309,3.44898,6.27172,7.72004,250.08597,203.16835,13.19806,16.24589,29.44395,13.99176,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,5.3,DBH,alive,NA,NA,0.811,0.4669,0.00221,0.14332,0.3735,0.20269,6.68275,12.3144,0.79996,0.43412,1.23408,0.57619,NA
