study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,marker_date,marker_type,fraction_nitrogen
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,4,6,NA,0.531441928742847,0.10898018901498702,0.023506,NA,NA,0.002115
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,6,8,NA,0.7560148918312893,0.0783253921919433,0.013267,NA,NA,0.0013750000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,8,10,NA,0.6604631149239586,0.0784585617542727,0.012049,NA,NA,0.0011740000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,10,12,NA,1.1130792878853033,0.06877356796552352,0.007391,NA,NA,0.001061
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,10,10,h-1996-1,NA,NA,NA,1996,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,12,14,NA,0.8046741301830007,0.06981301086104585,0.008409999999999999,NA,NA,0.001153
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,14,16,NA,0.9182734007177945,0.06671032401343892,0.007077,NA,NA,0.0011409999999999999
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,16,18,NA,0.9351588826831272,0.06671794590040842,0.008175,NA,NA,0.00911
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,18,20,NA,0.9232277384837799,0.06944513436987705,0.007733,NA,NA,0.022458999999999996
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,20,22,NA,0.7448857882900428,0.07384660378738041,0.009466,NA,NA,0.041975
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-1,22,24,NA,0.8684868847482011,0.071159391544482,0.008529,NA,NA,0.056241000000000006
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,0,2,NA,0.41869837875272,0.14077587667287836,0.034512999999999995,NA,NA,0.091571
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,2,4,NA,0.5539053824504444,0.10817670117599745,0.025675,NA,NA,0.080128
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,4,6,NA,0.5111588257219374,0.10180256472296172,0.024009,NA,NA,0.001698
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,6,8,NA,0.7917104375773582,0.0804484508749338,0.011918,NA,NA,9.91e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,8,10,NA,0.9695834781737411,0.08020824953166848,0.010605,NA,NA,9.41e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,8,8,h-1996-2,NA,NA,NA,1996,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,10,12,NA,0.8813795304451535,0.07993349718085865,0.007882,NA,NA,7.570000000000001e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,12,14,NA,0.9730568825985874,0.07822427212453145,0.007149,NA,NA,6.76e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,14,16,NA,1.1039142366642882,0.0785130357931948,0.008768,NA,NA,7.82e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,16,18,NA,0.9209352915633813,0.0750337990085625,0.0067020000000000005,NA,NA,6.6e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,18,20,NA,1.1500552568079863,0.07556236885308286,0.006997,NA,NA,6.140000000000001e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-2,20,22,NA,1.1286590855509324,0.07578550240474624,0.006329,NA,NA,5.78e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,0,2,NA,0.3840638001764222,0.09796666881153077,0.023275,NA,NA,0.002078
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,2,4,NA,0.552263409449608,0.09195900101053844,0.024365,NA,NA,0.002107
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,4,6,NA,0.9407968495927301,0.08341608738828196,0.010964,NA,NA,0.0011690000000000001
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,6,8,NA,0.9433845358892406,0.06839010287286142,0.008586,NA,NA,0.001052
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,6,6,h-1996-3,NA,NA,NA,1996,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,8,10,NA,1.0140051631271398,0.06743245306060155,0.006026,NA,NA,7.88e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,10,12,NA,0.8653213502610115,0.06218514438489432,0.005353,NA,NA,7.7e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,12,14,NA,0.9037908830863783,0.06736832554552478,0.00621,NA,NA,8.39e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,14,16,NA,0.9080821163712567,0.07225185147739069,0.008008,NA,NA,9.49e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,16,18,NA,0.8277264838226289,0.07840309227795882,0.007257,NA,NA,8.6e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,18,20,NA,0.8621242393699599,0.07683004089155097,0.007357,NA,NA,9.01e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,20,22,NA,0.8493326381653665,0.0781738085702844,0.007684,NA,NA,9.36e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-3,22,24,NA,0.8945926766413077,0.07667069003621041,0.018486,NA,NA,0.001593
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,0,2,NA,0.5507303750420961,0.0894474027723099,0.023527999999999997,NA,NA,0.001989
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,2,4,NA,0.8365631404434768,0.0966429298067141,0.031685,NA,NA,0.002255
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,4,6,NA,0.9556851240137761,0.08656483743798042,0.013791,NA,NA,0.001387
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,6,8,NA,1.0038233517017607,0.06437825241780673,0.007457,NA,NA,9.12e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,6,6,h-1996-4,NA,NA,NA,1996,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,8,10,NA,1.0007478099655784,0.06344385589420441,0.007826,NA,NA,9.88e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,10,12,NA,0.9555051385117614,0.0666376365887843,0.008245,NA,NA,9.88e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,12,14,NA,0.9336353211967743,0.06961675227182919,0.008465,NA,NA,9.87e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,14,16,NA,1.0897648500936188,0.06249213681051071,0.007477,NA,NA,9.63e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,16,18,NA,0.9663611061595995,0.05773703653030542,0.00625,NA,NA,7.85e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,18,20,NA,1.0342756355865048,0.05772871118304141,0.0061790000000000005,NA,NA,7.88e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-4,20,22,NA,1.1006792340886018,0.056570931244560425,0.004662,NA,NA,6.78e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,0,2,NA,0.5234420468243485,0.12223117756593757,0.035403,NA,NA,0.002663
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,2,4,NA,0.7731387756457819,0.10118942471883652,0.016327,NA,NA,0.0015459999999999998
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,4,6,NA,0.8620579289218492,0.08590178120718266,0.020198999999999998,NA,NA,0.358513
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,6,8,NA,0.9424104038300907,0.06047766431089546,0.016706000000000002,NA,NA,0.001442
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,8,10,NA,0.9890676981769362,0.062445145748912335,0.007403999999999999,NA,NA,9.36e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,8,8,h-1996-5,NA,NA,NA,1996,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,10,12,NA,0.9634844957677494,0.06349275048690774,0.008069,NA,NA,9.16e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,12,14,NA,0.8975955926486068,0.06818217922445151,0.007168,NA,NA,9.05e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,14,16,NA,0.8964446327278283,0.06515777542140477,0.007862000000000001,NA,NA,9.5e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,16,18,NA,1.1992844492494112,0.06619674076141961,0.007292,NA,NA,8.61e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,18,20,NA,1.1677348853304543,0.06606043778055457,0.0066679999999999994,NA,NA,8.169999999999999e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-5,20,22,NA,1.2232525186010441,0.06386064739271724,0.005945000000000001,NA,NA,7.47e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,0,2,NA,0.4791403522056262,0.10704655123474292,0.026078999999999998,NA,NA,0.002263
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,2,4,NA,0.7970800050541321,0.10693809335902121,0.024066,NA,NA,0.002077
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,4,6,NA,0.9273895085128232,0.07966186809507886,0.018113999999999998,NA,NA,0.0015079999999999998
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,4,4,h-1996-6,NA,NA,NA,1996,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,6,8,NA,0.8583887507930569,0.07490254736651251,0.011453,NA,NA,0.0012920000000000002
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,8,10,NA,0.8835109377058548,0.06864566929133861,0.010109,NA,NA,0.001126
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,10,12,NA,0.8745858671541927,0.06737678586524633,0.008316,NA,NA,9.79e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,12,14,NA,0.8637677911909893,0.06400794777178553,0.011087,NA,NA,0.001211
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,14,16,NA,0.9774191627921558,0.059867405841001385,0.010544,NA,NA,0.001166
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,16,18,NA,0.8430994560429604,0.05991269552564564,0.008060000000000001,NA,NA,9.46e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,18,20,NA,0.9400484888211952,0.07013464206793767,0.007438,NA,NA,9.31e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,20,22,NA,0.8607127741173176,0.05796401930671347,0.006059999999999999,NA,NA,8.110000000000001e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,1996-6,22,24,NA,1.0898943133494539,0.057126591998305366,0.0068379999999999995,NA,NA,9.07e-4
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,0,2,NA,0.36690360349748796,0.17367713212447242,0.037608,NA,NA,0.002299
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,2,4,NA,0.4358206837470195,0.1188299817184642,0.018938,NA,NA,0.001095
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,4,6,NA,0.6484546085351489,0.10781704524354764,0.033947,NA,NA,0.002345
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,6,8,NA,0.7368243323840131,0.07389358968679409,0.020812,NA,NA,0.001535
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,6,6,h-C1-1,NA,NA,NA,2002,dredge horizon,NA
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,8,10,NA,0.672774754789846,0.07281108475307316,0.018327,NA,NA,0.001475
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,10,12,NA,0.6814708964135068,0.0725471570090923,0.015042,NA,NA,0.001386
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,12,14,NA,0.6441823210925879,0.07208654401244935,0.012538,NA,NA,0.001132
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,14,16,NA,0.6146820657842902,0.07148220887245854,0.012846,NA,NA,0.001177
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,16,18,NA,0.6898070670331379,0.07041286435722528,0.013122,NA,NA,0.001207
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,18,20,NA,0.6465868642466974,0.070750670983094,0.016434,NA,NA,0.001434
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-1,20,22,NA,0.6483740887053001,0.06931329411183078,0.013641,NA,NA,0.001246
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-2,0,2,NA,0.22773849757563186,0.26427734047898166,0.08534000000000001,NA,NA,0.006891
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-2,2,4,NA,0.32567902943514093,0.14849802242343016,0.064401,NA,NA,0.0042899999999999995
Abbott_et_al_2019,Sabine_National_Wildlife_Refuge,C1-2,4,6,NA,0.5825104467092473,0.07544197444425002,0.019986999999999998,NA,NA,0.0014860000000000001
