study_id,study_type,bibliography_id,doi,author,title,journal,year,volume,number
Pazi_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Sahu_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Saintilan_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Sanders_et_al_2008,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Sanders_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Smoak_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Stringer_et_al_2015,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Tam_and_Wong_1998,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Thompson_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Tue_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Twilley_et_al_1997,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Vasconcelos_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Wang_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Woodroffe_1985,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Wooller_et_al_2003,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Xia_et_al_2015,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Xu_et_al_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Yando_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Yang_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Zhang_et_al_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Breithaupt_et_al_2014,article,Breithaupt_et_al_2014,NA,,,,,,
Donato_et_al_2011,article,Donato_et_al_2011,10.1038/ngeo1123,,,,,,
Alongi_et_al_1999,article,Alongi_et_al_1999,10.1006/ecss.1998.0465,,,,,,
Chen_and_Twilley_1999,article,Chen_and_Twilley_1999,10.1007/bf00993000,,,,,,
Alongi_1996,article,Alongi_1996,10.1357/0022240963213475,,,,,,
Alongi_et_al_2000,article,Alongi_et_al_2000,10.1016/s0304-3770(00)00110-8,,,,,,
Matsui_1998,article,Matsui_1998,10.1023/a:1009959909208,"Matsui, Naohiro","Estimated stocks of organic carbon in mangrove roots and sediments in Hinchinbrook Channel, Australia",Mangroves and Salt Marshes,1998,4,2
Wooller_et_al_2003,article,Wooller_et_al_2003,10.1023/a:1026339517242,"Wooller, Matthew and Smallwood, Barbara and Jacobson, Myrna and Fogel, Marilyn",Carbon and nitrogen stable isotopic variation in Laguncularia racemosa (L.)(white mangrove) from Florida and Belize: implications for trophic level studies,Hydrobiologia,2003,499,
Lacerda_et_al_1995,article,Lacerda_et_al_1995,10.1006/ecss.1995.0048,,,,,,
Jennerjahn_and_Ittekkot_2002,article,Jennerjahn_and_Ittekkot_2002,10.1007/s00114-001-0283-x,,,,,,
Alongi_et_al_2005,article,Alongi_et_al_2005,10.1016/j.ecss.2005.01.004,,,,,,
Twilley_et_al_1997,article,Twilley_et_al_1997,10.1007/s004420050214,,,,,,
Marchand_et_al_2004,article,Marchand_et_al_2004,10.1016/j.margeo.2004.04.015,,,,,,
Marchand_et_al_2003,article,Marchand_et_al_2003,10.1016/s0272-7714(02)00134-8,,,,,,
Lallier-Verges_et_al_1998,article,Lallier-Verges_et_al_1998,10.1016/s0146-6380(98)00179-x,,,,,,
Bouillon_et_al_2003,article,Bouillon_et_al_2003,10.1023/a:1025411506526,"Bouillon, Steven and Dahdouh-Guebas, Farid and Rao, AVVS and Koedam, Nico and Dehairs, Frank",Sources of organic carbon in mangrove sediments: variability and possible ecological implications,Hydrobiologia,2003,495,
Adame_et_al_2013,article,Adame_et_al_2013,10.1371/journal.pone.0056569,,,,,,
Andreetta_et_al_2014,article,Andreetta_et_al_2014,10.1016/j.seares.2013.08.010,,,,,,
Chen_et_al_2012,article,Chen_et_al_2012,10.1016/j.soilbio.2012.01.029,,,,,,
Chen_et_al_2014,article,Chen_et_al_2014,10.1016/j.scitotenv.2014.03.140,,,,,,
Dutta_et_al_2013,article,Dutta_et_al_2013,10.1016/j.atmosenv.2013.05.050,,,,,,
Gleason_and_Ewel_2002,article,Gleason_and_Ewel_2002,10.1111/j.1744-7429.2002.tb00530.x,,,,,,
Chanda_et_al_2013,article,Chanda_et_al_2013,10.1007/s12665-013-2962-2,,,,,,
Chen_et_al_2010,article,Chen_et_al_2010,10.1016/j.scitotenv.2010.03.007,,,,,,
Chen_et_al_2016,article,Chen_et_al_2016,10.5194/bg-2015-662,,,,,,
Allen_et_al_2007,article,Allen_et_al_2007,10.1016/j.soilbio.2006.09.013,,,,,,
Leopold_et_al_2013,article,Leopold_et_al_2013,10.1016/j.geoderma.2013.03.008,,,,,,
Liu_et_al_2014,article,Liu_et_al_2014,10.1016/j.jenvman.2013.11.037,,,,,,
Alongi_et_al_2000,article,Alongi_et_al_2000,10.3354/meps194087,,,,,,
Lovelock_et_al_2010,article,Lovelock_et_al_2010,10.1007/s10021-010-9329-2,,,,,,
MacKenzie_et_al_2016,article,MacKenzie_et_al_2016,10.1007/s11273-016-9481-3,,,,,,
Osland_et_al_2012,article,Osland_et_al_2012,10.1007/s10021-012-9551-1,,,,,,
Marchio_et_al_2016,article,Marchio_et_al_2016,10.3390/f7060116,,,,,,
Murdiyarso_et_al_2015,article,Murdiyarso_et_al_2015,10.1038/nclimate2734,,,,,,
Adame_et_al_2015,article,Adame_et_al_2015,10.5194/bg-12-3805-2015,,,,,,
Xia_et_al_2015,article,Xia_et_al_2015,10.1016/j.orggeochem.2015.04.003,,,,,,
Saintilan_et_al_2013,article,Saintilan_et_al_2013,10.1016/j.ecss.2013.05.010,,,,,,
McFadden_et_al_2016,article,McFadden_et_al_2016,10.1007/s11273-016-9480-4,,,,,,
Sahu_et_al_2016,article,Sahu_et_al_2016,10.18520/cs/v110/i12/2253-2260,,,,,,
Wang_et_al_2013,article,Wang_et_al_2013,10.1016/j.foreco.2013.08.045,,,,,,
Tue_et_al_2014,article,Tue_et_al_2014,10.1016/j.catena.2014.05.008,,,,,,
Livesley_and_Andrusiak_2012,article,Livesley_and_Andrusiak_2012,10.1016/j.ecss.2011.11.002,,,,,,
Ezcurra_et_al_2016,article,Ezcurra_et_al_2016,10.1073/pnas.1519774113,,,,,,
Howe_et_al_2009,article,Howe_et_al_2009,10.1016/j.ecss.2009.06.006,,,,,,
Thompson_et_al_2014,article,Thompson_et_al_2014,10.1016/j.ecoser.2014.03.004,,,,,,
Donato_et_al_2012,article,Donato_et_al_2012,10.1016/j.jenvman.2011.12.004,,,,,,
Bulmer_et_al_2016,article,Bulmer_et_al_2016,10.3389/fmars.2016.00150,,,,,,
Gomes_et_al_2016,article,Gomes_et_al_2016,10.5935/1806-6690.20160072,,,,,,
Nsombo_et_al_2016,article,Nsombo_et_al_2016,10.5897/ajest2015.1956,,,,,,
Fujimoto_et_al_1999,article,Fujimoto_et_al_1999,10.1046/j.1440-1703.1999.00313.x,,,,,,
Ajonina_et_al_2014,incollection,Ajonina_et_al_2014,10.1007/978-3-319-06388-1_12,,,,,,
Alongi_et_al_2008,article,Alongi_et_al_2008,10.3354/meps07661,,,,,,
Dung_et_al_2016,article,Dung_et_al_2016,10.1016/j.foreco.2016.08.032,,,,,,
Andreetta_et_al_2016,article,Andreetta_et_al_2016,10.1016/j.agee.2015.10.017,,,,,,
Sanders_et_al_2008,article,Sanders_et_al_2008,10.2112/07-0872.1,,,,,,
Sanders_et_al_2014,article,Sanders_et_al_2014,10.1002/2014gl059789,,,,,,
Lang'at_et_al_2014,article,Lang'at_et_al_2014,10.1371/journal.pone.0107868,,,,,,
Gonneea_et_al_2004,article,Gonneea_et_al_2004,10.1016/j.ecss.2004.04.015,,,,,,
Yang_et_al_2013,article,Yang_et_al_2013,10.1016/j.ecss.2013.09.017,,,,,,
Mfilinge_et_al_2002,article,Mfilinge_et_al_2002,10.1007/s00468-001-0156-0,,,,,,
Smoak_et_al_2013,article,Smoak_et_al_2013,10.1016/j.catena.2012.10.009,,,,,,
Ferreira_et_al_2007,article,Ferreira_et_al_2007,10.1016/j.catena.2006.07.006,,,,,,
Alongi_et_al_2001,article,Alongi_et_al_2001,10.1016/s0025-3227(01)00195-5,,,,,,
Brunskill_et_al_2004,article,Brunskill_et_al_2004,10.1016/j.csr.2004.07.024,,,,,,
Yando_et_al_2016,article,Yando_et_al_2016,10.1111/1365-2745.12571,,,,,,
Keuskamp_et_al_2013,article,Keuskamp_et_al_2013,10.1016/j.soilbio.2012.08.007,,,,,,
Chmura_et_al_2003,article,Chmura_et_al_2003,10.1029/2002gb001917,,,,,,
Jones_et_al_2016,incollection,Jones_et_al_2016,10.1007/978-3-319-25370-1_5,,,,,,
Stringer_et_al_2015,article,Stringer_et_al_2015,10.1016/j.foreco.2015.06.027,,,,,,
Cardona_and_Botero_1998,article,Cardona_and_Botero_1998,10.1111/j.1744-7429.1998.tb00366.x,,,,,,
Cahoon_and_Lynch_1997,article,Cahoon_and_Lynch_1997,10.1023/a:1009904816246,"Cahoon, Donald R and Lynch, James C","Vertical accretion and shallow subsidence in a mangrove forest of southwestern Florida, USA",Mangroves and Salt Marshes,1997,1,3
Brunskill_et_al_2002,article,Brunskill_et_al_2002,10.1006/ecss.2001.0852,,,,,,
DelVecchia_et_al_2014,article,DelVecchia_et_al_2014,10.7717/peerj.388,,,,,,
Alongi_et_al_2004,article,Alongi_et_al_2004,10.1016/j.margeo.2004.04.016,,,,,,
Zhang_et_al_2012,article,Zhang_et_al_2012,10.1016/s1002-0160(11)60191-4,,,,,,
Dissanayake_and_Chandrasekara_2014,article,Dissanayake_and_Chandrasekara_2014,10.1155/2014/564056,,,,,,
Otero_et_al_2009,article,Otero_et_al_2009,10.1016/j.geoderma.2008.10.016,,,,,,
Tam_and_Wong_1998,article,Tam_and_Wong_1998,10.1023/a:1004925700931,"Tam, NFY and Wong, YS",Variations of soil nutrient and organic matter content in a subtropical mangrove ecosystem,"Water, Air, and Soil Pollution",1998,103,
Vasconcelos_et_al_2014,article,Vasconcelos_et_al_2014,10.18393/ejss.76445,,,,,,
Gillis_et_al_2017,article,Gillis_et_al_2017,10.1016/j.seares.2016.12.006,,,,,,
Nam_et_al_2016,article,Nam_et_al_2016,10.1007/s11273-015-9479-2,,,,,,
Bukoski_et_al_2017,article,Bukoski_et_al_2017,10.1371/journal.pone.0169096,,,,,,
Abino_et_al_2014,article,Abino_et_al_2014,NA,"Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin","Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines",Pak. J. Bot,2014,46,6
Banerjee_et_al_2012,article,Banerjee_et_al_2012,NA,"Banerjee, Kakoli and Roy Chowdhury, M and Sengupta, Kasturi and Sett, Saurov and Mitra, Abhijit",Influence of anthropogenic and natural factors on the mangrove soil of Indian Sundarbans wetland,Arch Environ Sci,2012,6,
He_et_al_2002,article,He_et_al_2002,NA,"He, Bin and Wen, Yuanguang and Yuan, Xia and Liang, Hongwen and Liu, Shirong",Studies on soil physical and chemical properties and enzyme activities of different mangrove communities in Yingluo Bay of Guangxi,Scientia Silvae Sinicae,2002,38,2
Mao_et_al_2011,article,Mao_et_al_2011,NA,"Mao, ZL and Lai, HD and Zhao, ZY and Yang, XM",Effect of invasion plants (Mikania micrantha HBK) on carbon stock of mangrove ecosystem in Shenzhen bay,Ecol Env,2011,20,12
Mao_et_al_2012,article,Mao_et_al_2012,NA,"Mao, ZL and Yang, XM and Zhao, ZY and Lai, MD and Yang, DY and Wu, CL and Xu, HL},","Preliminary study on mangrove ecosystem carbon cycle of Kandelia candel in Futian nature reserve, Shenzhen, China. Ecol",Environ. Sci,2012,21,
Liu_et_al_2008,article,Liu_et_al_2008,NA,"LIU, Mei-ling and YE, Yong and CAO, Chang-qing and TANG, Fei-long",Fractal characteristics and related affecting factors of particle size distribution in mangrove soils in Dongzhai Harbor of Hainan,Chinese Journal of Ecology,2008,9,
Xu_et_al_2012,article,Xu_et_al_2012,NA,"Xu, F. H., Zhang, J. P., Zhang, Q. M., Lin, K. Y., Lin, G. X.","Carbon storage of three natural mangrove forests in Gaoqiao, Zhanjiang",Value Engineering,2012,15,
Pazi_et_al_2016,article,Pazi_et_al_2016,NA,"PAZI, AHMAD MUSTAPHA MOHAMAD and GANDASECA, SECA and ROSLI, NORAINI and HANAFI, AHMAD and HAMZAH, ALBERT EMPAWI TINDIT and NYANGON, LAURNA","Soil pH and carbon at different depth in three zones of mangrove forest in Sarawak, Malaysia",The Malaysian Forester,2016,79,1
Middelburg_et_al_1996,article,Middelburg_et_al_1996,NA,"Middelburg, Jack J and Nieuwenhuize, Joop and Slim, Frederik J and Ohowa, Boaz","Sediment biogeochemistry in an East African mangrove forest (Gazi bay, Kenya)",Biogeochemistry,1996,34,3
Ashton_and_Macintosh_2002,article,Ashton_and_Macintosh_2002,NA,"Ashton, Elizabeth C and Macintosh, Donald J","Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia",Forest Ecology and Management,2002,166,
Woodroffe_1985,article,Woodroffe_1985,NA,"Woodroffe, Colin D","Studies of a mangrove basin, Tuff Crater, New Zealand: I. Mangrove biomass and production of detritus","Estuarine, Coastal and Shelf Science",1985,20,3
Loi_and_Ni_2015,article,Loi_and_Ni_2015,NA,"Loi, Tan and Ni, Hang","The effects of land surface elevation on belowground carbon accumulation of mangrove ecosystem at the Ong Trang sand bar, Ngoc Hien district, Ca Mau province",unknown,2015,,
Kao_et_al_2002,article,Kao_et_al_2002,NA,"Kao, Wen-Yuan and Tsai, Hung-Chieh and Shih, Chen-Ning and Tsai, Tyng-Tyng and Handley, Linda L","Nutrient contents, d13C and d15N during leaf senescence in the mangrove, Kandelia candel (L.) Druce",Botanical Bulletin of Academia Sinica,2002,43,
Callaway_et_al_1997,article,Callaway_et_al_1997,NA,"Callaway, JC and DeLaune, RD and Patrick Jr, WH",Sediment accretion rates from four coastal wetlands along the Gulf of Mexico,Journal of Coastal Research,1997,,
Naidoo_1980,article,Naidoo_1980,NA,"Naidoo, G","Mangrove soils of the Beachwood area, Durban",Journal of South African Botany,1980,,
Naidoo_and_Raiman_1982,article,Naidoo_and_Raiman_1982,NA,"Naidoo, G and Raiman, F","Some physical and chemical properties of mangrove soils at Sipingo and Mgeni, Natal",South African Journal of Botany,1982,,
Kristensen_et_al_1992,article,Kristensen_et_al_1992,NA,"Kristensen, Erik and Devol, Allan H and Ahmed, Saiyed I and Saleem, Monawwar","Preliminary study of benthic metabolism and sulfate reduction in a mangrove swamp of the Indus Delta, Pakistan",Marine Ecology Progress Series,1992,,
Kristensen_et_al_2000,article,Kristensen_et_al_2000,NA,"Kristensen, Erik and Andersen, Frede {\O} and Holmboe, Nikolaj and Holmer, Marianne and Thongtham, Nalinee","Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand",Aquatic Microbial Ecology,2000,22,2
Lee_and_Baker_1972,article,Lee_and_Baker_1972,NA,"Lee, Benny KH and Baker, Gladys E",An ecological study of the soil microfungi in a Hawaiian mangrove swamp,Pacific Science,1972,26,
