species_code,code_type,habitat,notes,recode_as
Fimbristylis castanea,Genus species,marsh,,
Forb spp,description,marsh,,Forb spp.
"Forb, dicot",description,marsh,,
Frankenia salina,Genus species,marsh,,
Fritillaria camschatcensis,Genus species,marsh,,
Galium trifidum,Genus species,marsh,,
Glaux maritima,Genus species,marsh,,
Grindelia stricta,Genus species,marsh,,
Hibiscus spp.,Genus,marsh,,
Hordeum brachyantherum,Genus species,marsh,,
Hypericum mutilum,Genus species,marsh,,
Impatiens capensis,Genus species,marsh,,
Ipomoea sagittata,Genus species,marsh,,
Jaumea carnosa,Genus species,marsh,,
Juncus arcticus,Genus species,marsh,,
Juncus balticus,Genus species,marsh,,
Juncus canadensis,Genus species,marsh,,
Juncus coriaceus,Genus species,marsh,,
Juncus effusus,Genus species,marsh,,
Juncus roemerianus,Genus species,marsh,,
Juncus roemericanus,Genus species,marsh,,
Kosteletzkya virginica,Genus species,marsh,,
Lathyrus palustris,Genus species,marsh,,
Ligusticum hultenii,Genus species,marsh,,
Limonium carolinianum,Genus species,marsh,,
Lolium perenne,Genus species,marsh,,
Ludwigia alternifolia,Genus species,marsh,,
Ludwigia repens,Genus species,marsh,,
Ludwigia spp,Genus,marsh,,Ludwigia spp.
Lupinus nootkatensis,Genus species,marsh,,
Lycopodium obscurum,Genus species,marsh,Lycopodium is a moss I think.,
Lysichiton americanus,Genus species,marsh,,
Maianthemum dilatatum,Genus species,marsh,,
Mix,description,marsh,Refers to mixed salinity marsh in CRMS data.,
mixed,description,seagrass,"Not what mix, is but only reference is to a segrass study.",
Monanthochloe littoralis,Genus species,marsh,,
Oenanthe sarmentosa,Genus species,marsh,,
Panicum hallii,Genus species,marsh,,
Panicum hemitomon,Genus species,marsh,,
Panicum repens,Genus species,marsh,,
Panicum virgatum,Genus species,marsh,,
Paspalum praecox,Genus species,marsh,,
Paspalum vaginatum,Genus species,marsh,,
Peltandra virginica,Genus species,marsh,,
Phalaris arundinacea,Genus species,marsh,,
Phragmites australis,Genus species,marsh,,
Plantago macrocarpa,Genus species,marsh,,
Plantago maritima,Genus species,marsh,,
Pluchea foetida,Genus species,marsh,,
Poaceae spp,Family,marsh,,Poaceae spp.
Polygonum arifolium,Genus species,marsh,,
Polygonum hydropiperoides,Genus species,marsh,,
Polygonum punctatum,Genus species,marsh,,
Polygonum sagittatum,Genus species,marsh,,
Polygonum spp,Genus,marsh,Duplicate,Polygonum spp.
Polygonum spp.,Genus,marsh,Duplicate,
Potentilla anserina,Genus species,marsh,,
Potentilla anserine,Genus species,marsh,misspelling,Potentilla anserina
Potentilla sp,Genus,marsh,,Potentilla spp.
Puccinellia maritima,Genus species,marsh,,
Rhynchospora caduca,Genus species,marsh,,
Rosa californica,Genus species,marsh,,
Rosa nutkana,Genus species,marsh,,
Rosa pisocarpa,Genus species,marsh,,
Rubus sppctabilis,Genus species,marsh,misspelling,Rubus spectabilis
Rubus trivialis,Genus species,marsh,,Rubus trivialis
Rumex occidentalis,Genus species,marsh,,
Rumex salicifolius,Genus species,marsh,,
Rumex verticillatus,Genus species,marsh,,
Sabatia arenicola,Genus species,marsh,,
Saccharum giganteum,Genus species,marsh,,
Sagittaria lancifolia,Genus species,marsh,,
Sagittaria latifolia,Genus species,marsh,,
Salicornia bigelovii,Genus species,marsh,,
Salicornia depressa,Genus species,marsh,,
Salicornia pacifica,Genus species,marsh,,
Salicornia virginica,Genus species,marsh,,
Samolus valerandi,Genus species,marsh,,
Sarcocornia pacifica,Genus species,marsh,,
Sarcocornia perennis,Genus species,marsh,,
Schizachyrium scoparium,Genus species,marsh,,
Schoenoplectus acutus,Genus species,marsh,,
Schoenoplectus americanus,Genus species,marsh,,
Schoenoplectus californicus,Genus species,marsh,,
Schoenoplectus maritimus,Genus species,marsh,,
Schoenoplectus montevidensis,Genus species,marsh,,
Schoenoplectus robustus,Genus species,marsh,,
Schoenoplectus tabernaemontani,Genus species,marsh,,
Schoenoplectus tabernaemontanii,Genus species,marsh,misspelled,Schoenoplectus tabernaemontani
Scirpus acutus,Genus species,marsh,,
Scirpus americanus,Genus species,marsh,,
Scirpus micranthus,Genus species,marsh,,
Scirpus microcarpus,Genus species,marsh,,
Scirpus robustus,Genus species,marsh,,
Sesbania herbacea,Genus species,marsh,,
Sesuvium portulacastrum,Genus species,marsh,,
Smilax rotundifolia,Genus species,marsh,,
Solidago spp,Genus,marsh,,
Spartina alterniflora,Genus species,marsh,,
Spartina bakeri,Genus species,marsh,,
Spartina cynosuroides,Genus species,marsh,,
Spartina foliosa,Genus species,marsh,,
Spartina patens,Genus species,marsh,,
Spartina spp.,Genus,marsh,,
Spergularia canadensis,Genus species,marsh,,
Sporobolus alterniflorus,Genus species,marsh,,
Sporobolus virginicus,Genus species,marsh,,
Stellaria humifusa,Genus species,marsh,,
Suaeda linearis,Genus species,marsh,,
Suaeda spp,Genus,marsh,,Suaeda spp.
Symphyotrichum subspicatum,Genus species,marsh,,
Symphyotrichum subsppcatum,Genus species,marsh,misspelled,Symphyotrichum subspicatum
Symphyotrichum tenuifolium,Genus species,marsh,,
Trapa natis,Genus species,marsh,misspelling,Trapa natans
Triadenum walteri,Genus species,marsh,,
Trientalis arctica,Genus species,marsh,,
Triglochin maritima,Genus species,marsh,,
Triglochin maritimum,Genus species,marsh,,
Typa domingensis,Genus species,marsh,mispelled,Typha domingensis
Typha angustifolia,Genus species,marsh,,
Typha latifolia,Genus species,marsh,,
Typha sp,Genus,marsh,,Typha spp.
Typha spp.,Genus,marsh,,
Unidentified forb,description,marsh,,
Unidentified grass,description,marsh,,
Woodwardia areolata,Genus species,marsh,,
Zizania aquatica,Genus species,marsh,,
Zizaniopsis milaceae,Genus species,marsh,misspelled,Zizaniopsis miliacea
Zizaniopsis miliacea,Genus species,marsh,,
Brunnichia ovata,Genus species,NA,vine,
Crassostrea virginica,Genus species,NA,oyster,
Litter,description,NA,,
Nuphar advena,Genus species,NA,Maybe should be SAV or floating marsh?,
Wrack,description,NA,,
Iva frutescens,Genus species,scrub/shrub,"Says subschrub in USDA plants database, but this thing can be a full on shrub.",
Lonicera involucrata,Genus species,scrub/shrub,,
Lycium carolinianum,Genus species,scrub/shrub,,
Spiraea douglasii,Genus species,scrub/shrub,,
Toxicodendron radicans,Genus species,scrub/shrub,,
Amphibolis antarctica,Genus species,seagrass,,
Amphibolis australis,Genus species,seagrass,,
Cymodocea,Genus,seagrass,,Cymodocea spp.
Cymodocea nodosa,Genus species,seagrass,,
Cymodocea rotundata,Genus species,seagrass,,
Cymodocea serrulata,Genus species,seagrass,,
Enhalus,Genus,seagrass,,Enhalus spp.
Enhalus acoroides,Genus species,seagrass,,
Halodule,Genus,seagrass,,Halodule spp.
Halodule uninervis,Genus species,seagrass,,
Halodule wrightii,Genus species,seagrass,,
Halophila australis,Genus species,seagrass,,
Halophila decipiens,Genus species,seagrass,,
Halophila engelmanni,Genus species,seagrass,,
Halophila minor,Genus species,seagrass,,
Halophila ovalis,Genus species,seagrass,,
Halophila stipulacea,Genus species,seagrass,,
Heterozostera nigraulis,Genus species,seagrass,,
Nanozostera noltii,Genus species,seagrass,,
Posidonia australis,Genus species,seagrass,,
Posidonia oceanica,Genus species,seagrass,,
Posidonia sinuosa,Genus species,seagrass,,
Ruppia maritima,Genus species,seagrass,,
Ruppia megacarpa,Genus species,seagrass,,
submerged aquatic vegetation,description,seagrass,,
Syringodium,Genus,seagrass,,Syringodium spp.
Syringodium filiforme,Genus species,seagrass,,
Syringodium isoetifolium,Genus species,seagrass,,
Thalassia,Genus,seagrass,,Thalassia spp.
Thalassia hemprichii,Genus species,seagrass,,
Thalassia testudinum,Genus species,seagrass,,
Thalassodendron ciliatum,Genus species,seagrass,,
Thassia hemprichii,Genus species,seagrass,,
Zostera capensis,Genus species,seagrass,,
Zostera capricorni,Genus species,seagrass,,
Zostera japonica,Genus species,seagrass,,
Zostera marina,Genus species,seagrass,,
Zostera muelleri,Genus species,seagrass,,
Zostera noltii,Genus species,seagrass,,
Acer rubrum,Genus species,swamp,,
Alnus rubra,Genus species,swamp,,
Alnus serrulata,Genus species,swamp,,
Baccharis halimifolia,Genus species,swamp,,
Cornus sericea,Genus species,swamp,,
Cornus spp,Genus,swamp,,Cornus spp.
Cyrilla racemiflora,Genus species,swamp,,
Dalbergia ecastaphyllum,Genus species,swamp,,
Forestiera acuminata,Genus species,swamp,,
Fraxinus pennsylvanica,Genus species,swamp,,
Fraxinus spp,Genus,swamp,,
Ilex decidua,Genus species,swamp,,
Ilex vomitoria,Genus species,swamp,,
Liquidambar styraciflua,Genus species,swamp,,
Malus fusca,Genus species,swamp,,
Morella cerifera,Genus species,swamp,,
Nyssa aquatica,Genus species,swamp,,
Nyssa biflora,Genus species,swamp,,
Nyssa sylvatica,Genus species,swamp,,
Persea palustris,Genus species,swamp,,
Photinia spp,Genus,swamp,,Photinia spp.
Picea sitchensis,Genus species,swamp,,
Pinus elliottii,Genus species,swamp,,
Pinus rigida,Genus species,swamp,,
Prunus emarginata,Genus species,swamp,,
Quercus laurifolia,Genus species,swamp,,
Quercus nigra,Genus species,swamp,,
Rhamnus cathartica,Genus species,swamp,,
Salix hookeriana,Genus species,swamp,,
Salix lasiolepis,Genus species,swamp,,
Sambucus nigra,Genus species,swamp,,
Swamp,description,swamp,,
Taxodium distichum,Genus species,swamp,,
Thuja plicata,Genus species,swamp,,
unvegetated,description,unvegetated,,
