study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,year
Sharma_et_al_2021,Sharma_et_al_2021_preynob_data_soil,primary dataset,Misc,Dataset-Mangrove Soil Carbon-Prey Nob-2015,Sharma Sahadev and MacKenzie Richard A and Tieng Thida and Soben Kim and Tulyasuwan Natcha and Resanond Amomwan and Blate Geoffrey and Litton Creighton M. and Apwong Maybeleen,10.17528/cifor/data.00254,https://doi.org/10.17528/cifor/data.00254,2021
Bukoski_et_al_2020,Bukoski_et_al_2020_krabi_data_soil,primary dataset,Misc,Dataset-Mangrove Soil Carbon-Krabi River Estuary-2015,Bukoski Jacob J. and Elwin Angie,10.17528/cifor/data.00240,https://doi.org/10.17528/cifor/data.00240,2020
Bukoski_et_al_2020,Bukoski_et_al_2020_pak_data_soil,primary dataset,Misc,Dataset-Mangrove Soil Carbon-Pak Panang Mangrove-2015,Bukoski Jacob J.,10.17528/cifor/data.00239,https://doi.org/10.17528/cifor/data.00239,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_quilcayhuanca_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Quilcayhuanca-2014,Hribljan John and Chimner Rod and Lilleskov Erik and Planas Clarke Ana Maria,10.17528/cifor/data.00234,https://doi.org/10.17528/cifor/data.00234,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_peru_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Peru Kahuish-2014,Hribljan John and Chimner Rod and Lilleskov Erik and Planas Clarke Ana Maria,10.17528/cifor/data.00233,https://doi.org/10.17528/cifor/data.00233,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_pastoruri_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Pastoruri-2014,Hribljan John and Chimner Rod and Lilleskov Erik and Planas Clarke Ana Maria,10.17528/cifor/data.00232,https://doi.org/10.17528/cifor/data.00232,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_chingaza_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Chingaza-2014,Hribljan John and Chimner Rod and Lilleskov Erik and Planas Clarke Ana Maria,10.17528/cifor/data.00231,https://doi.org/10.17528/cifor/data.00231,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_paramo_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Paramo de Guerrero-2014,Hribljan John and Chimner Rod and Lilleskov Erik and Planas Clarke Ana Maria,10.17528/cifor/data.00230,https://doi.org/10.17528/cifor/data.00230,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_cayambe_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Cayambe Coca National Park-2013-14,Hribljan John and Suarez Esteban and Heckman Katherine and Lilleskov Erik and Chimner Rodney,10.17528/cifor/data.00229,https://doi.org/10.17528/cifor/data.00229,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_antisana_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Antisana Ecological Reserve-2013-14,Hribljan John and Suarez Esteban and Heckman Katherine and Lilleskov Erik and Chimner Rodney,10.17528/cifor/data.00228,https://doi.org/10.17528/cifor/data.00228,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_losnevados_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Los Nevados-2014,Hribljan John and Chimner Rod and Lilleskov Erik and Planas Clarke Ana Maria,10.17528/cifor/data.00227,https://doi.org/10.17528/cifor/data.00227,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_sajama_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Sajama-2012,Hribljan John and Cooper David and Sueltenfus Jeremy and Wolf Evan and Heckman Katherine and Lilleskov Erik and Chimner Rodney,10.17528/cifor/data.00226,https://doi.org/10.17528/cifor/data.00226,2020
Hribljan_et_al_2020,Hribljan_et_al_2020_tuni_data_soil,primary dataset,Misc,Dataset-Peatland soil carbon-Tuni-2012,Hribljan John and Cooper David and Sueltenfus Jeremy and Wolf Evan and Heckman Katherine and Lilleskov Erik and Chimner Rodney,10.17528/cifor/data.00225,https://doi.org/10.17528/cifor/data.00225,2020
Trettin_et_al_2020,Trettin_et_al_2020_data_soil,primary dataset,Misc,Dataset-Mangrove soil carbon-Rufiji River Delta-2016,Trettin Carl and Dai Zhaohua and Mangora Mwita and Lagomasino David and Seung Kuk Lee David and Tang Wenwu and Fatoyinbo Temilola,10.17528/cifor/data.00221,https://doi.org/10.17528/cifor/data.00221,2020
