study_id,site_id,plot_id,plot_area,plot_shape,plot_center_latitude,plot_center_longitude,elevation,year,month,day,field_or_manipulation_code,geomorphic_id,habitat,dominant_species,mean_height,plant_plot_detail_present
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_580,153.94,circular,8.040793022289,98.9446129550807,NA,2015,5,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_581,153.94,circular,8.04077490917648,98.9444496007524,NA,2015,5,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_582,153.94,circular,8.04061204530986,98.9441229094725,NA,2015,5,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_583,153.94,circular,8.04364322916019,98.9514463755976,NA,2015,5,31,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_584,153.94,circular,8.04376080496007,98.9513102299448,NA,2015,5,31,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_585,153.94,circular,8.04385123872333,98.9511287102294,NA,2015,5,31,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_586,153.94,circular,8.04393262362213,98.9509199651773,NA,2015,5,31,field,Interior,mangrove,Xylocarpus granatum,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_182,Krabi_River_Estuary_182_587,153.94,circular,8.04402305394546,98.95071121895,NA,2015,5,31,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_588,153.94,circular,8.05758208795269,98.9489670355763,NA,2015,6,1,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_589,153.94,circular,8.05774492319686,98.9490940757523,NA,2015,6,1,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_590,153.94,circular,8.05782634192896,98.9491666716353,NA,2015,6,1,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_591,153.94,circular,8.05814296224768,98.9493844504671,NA,2015,6,1,field,Interior,mangrove,Xylocarpus granatum,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_183,Krabi_River_Estuary_183_592,153.94,circular,8.05829674960013,98.9494933405704,NA,2015,6,1,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_184,Krabi_River_Estuary_184_593,153.94,circular,8.04350806130047,98.9560204129313,NA,2015,6,2,field,Coastal fringe,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_184,Krabi_River_Estuary_184_594,153.94,circular,8.04348094602861,98.9562200755042,NA,2015,6,2,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_184,Krabi_River_Estuary_184_595,153.94,circular,8.04346288100298,98.9564651142763,NA,2015,6,2,field,Interior,mangrove,Avicennia alba,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_184,Krabi_River_Estuary_184_596,153.94,circular,8.04341766966082,98.9566194015335,NA,2015,6,2,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_184,Krabi_River_Estuary_184_597,153.94,circular,8.04333629043102,98.9569098241206,NA,2015,6,2,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_598,153.94,circular,8.4487640620251,100.157240830522,NA,2015,6,22,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_599,153.94,circular,8.44867295599225,100.157467631476,NA,2015,6,22,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_600,153.94,circular,8.4485909738873,100.157667210821,NA,2015,6,22,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_601,153.94,circular,8.44858131278777,100.157876088658,NA,2015,6,22,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_185,Pak_Panang_Mangrove_185_602,153.94,circular,8.44850821282634,100.158130191709,NA,2015,6,22,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_603,153.94,circular,8.4574376938595,100.178166852875,NA,2015,6,23,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_604,153.94,circular,8.4573284888696,100.178393597086,NA,2015,6,23,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_605,153.94,circular,8.45730982744514,100.178584284173,NA,2015,6,23,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_606,153.94,circular,8.45726392619289,100.178811220576,NA,2015,6,23,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_186,Pak_Panang_Mangrove_186_607,153.94,circular,8.45719988322679,100.179056267823,NA,2015,6,23,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_608,153.94,circular,8.46658779218509,100.181800716304,NA,2015,6,24,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_609,153.94,circular,8.46655104168997,100.181991352305,NA,2015,6,24,field,Interior,mangrove,Avicennia officinalis,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_610,153.94,circular,8.46646910154924,100.182172767117,NA,2015,6,24,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_611,153.94,circular,8.46637787060173,100.182435902629,NA,2015,6,24,field,Interior,mangrove,Avicennia officinalis,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_187,Pak_Panang_Mangrove_187_612,153.94,circular,8.46626871760429,100.182644483875,NA,2015,6,24,field,Interior,mangrove,Avicennia officinalis,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_613,153.94,circular,8.40672390356849,100.16220170996,NA,2015,6,25,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_614,153.94,circular,8.40667820323469,100.162365048134,NA,2015,6,25,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_615,153.94,circular,8.40650573288374,100.162582499977,NA,2015,6,25,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_616,153.94,circular,8.40651405187579,100.162827736064,NA,2015,6,25,field,Interior,mangrove,Bruguiera sexangula,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_188,Pak_Panang_Mangrove_188_617,153.94,circular,8.40644084503405,100.163118138625,NA,2015,6,25,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_618,153.94,circular,8.4390168083375,100.174904791263,NA,2015,6,26,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_619,153.94,circular,8.43897091058229,100.175131718001,NA,2015,6,26,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_620,153.94,circular,8.43889790960695,100.175349480092,NA,2015,6,26,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_621,153.94,circular,8.43881591954767,100.175549049673,NA,2015,6,26,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_189,Pak_Panang_Mangrove_189_622,153.94,circular,8.43874300007617,100.175739563984,NA,2015,6,26,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_623,153.94,circular,8.41598541155284,100.209864650098,NA,2015,6,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_624,153.94,circular,8.415939579849,100.210064311173,NA,2015,6,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_625,153.94,circular,8.41584844747987,100.210291077424,NA,2015,6,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_626,153.94,circular,8.41580261557609,100.21049073835,NA,2015,6,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_190,Pak_Panang_Mangrove_190_627,153.94,circular,8.41577484227686,100.210699537274,NA,2015,6,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_628,153.94,circular,8.44777062633196,100.178019425723,NA,2015,6,28,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_629,153.94,circular,8.44768868904779,100.178200833392,NA,2015,6,28,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_630,153.94,circular,8.44757943011111,100.178445737726,NA,2015,6,28,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_631,153.94,circular,8.44749746532059,100.178636227918,NA,2015,6,28,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_191,Pak_Panang_Mangrove_191_632,153.94,circular,8.44743345061352,100.178872186541,NA,2015,6,28,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_633,153.94,circular,8.47559195669488,100.167821477009,NA,2015,6,29,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_634,153.94,circular,8.47549198963944,100.16798467828,NA,2015,6,29,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_635,153.94,circular,8.47544614732131,100.168193460318,NA,2015,6,29,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_636,153.94,circular,8.47540006023108,100.168483992994,NA,2015,6,29,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_192,Pak_Panang_Mangrove_192_637,153.94,circular,8.47528197884866,100.16865622277,NA,2015,6,29,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_638,153.94,circular,8.43997247181328,100.184898570168,NA,2015,6,30,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_639,153.94,circular,8.43989053201289,100.185079972529,NA,2015,6,30,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_640,153.94,circular,8.43984457353739,100.18532506279,NA,2015,6,30,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_641,153.94,circular,8.43978063797355,100.185533767712,NA,2015,6,30,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_193,Pak_Panang_Mangrove_193_642,153.94,circular,8.43969850560211,100.185778747444,NA,2015,6,30,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_194,Pak_Panang_Mangrove_194_643,153.94,circular,8.45950493582116,100.158217516623,NA,2015,6,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_194,Pak_Panang_Mangrove_194_644,153.94,circular,8.45942332924967,100.158289938048,NA,2015,6,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_194,Pak_Panang_Mangrove_194_645,153.94,circular,8.45934123843356,100.158525854653,NA,2015,6,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_194,Pak_Panang_Mangrove_194_646,153.94,circular,8.45931340840442,100.158761933303,NA,2015,6,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Pak_Panang_Mangrove_194,Pak_Panang_Mangrove_194_647,153.94,circular,8.45931262794798,100.159025342191,NA,2015,6,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
MacKenzie_et_al_2021,Catanauan_213,Catanauan_213_711,153.94,circular,13.579472,122.274917,NA,2014,7,21,field,Interior,mangrove,Rhizophora stylosa,NA,yes
MacKenzie_et_al_2021,Catanauan_214,Catanauan_214_712,153.94,circular,13.579389,122.275139,NA,2014,7,21,field,Interior,mangrove,Rhizophora stylosa,NA,yes
MacKenzie_et_al_2021,Catanauan_215,Catanauan_215_713,153.94,circular,13.57925,122.275361,NA,2014,7,21,field,Interior,mangrove,Rhizophora apiculata,NA,yes
MacKenzie_et_al_2021,Catanauan_216,Catanauan_216_714,153.94,circular,13.581361,122.268139,NA,2014,7,22,field,Interior,mangrove,Rhizophora stylosa,NA,yes
MacKenzie_et_al_2021,Catanauan_217,Catanauan_217_715,153.94,circular,13.581056,122.268556,NA,2014,7,22,field,Interior,mangrove,Rhizophora apiculata,NA,yes
MacKenzie_et_al_2021,Catanauan_218,Catanauan_218_716,153.94,circular,13.579,122.274389,NA,2014,7,23,field,Interior,mangrove,Rhizophora apiculata,NA,yes
MacKenzie_et_al_2021,Catanauan_219,Catanauan_219_717,153.94,circular,13.578944,122.274889,NA,2014,7,23,field,Interior,mangrove,Rhizophora apiculata,NA,yes
MacKenzie_et_al_2021,Catanauan_220,Catanauan_220_718,153.94,circular,13.578806,122.275167,NA,2014,7,23,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_195,Palian_River_Estuary_195_648,153.94,circular,7.38,99.5674833333333,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_195,Palian_River_Estuary_195_649,153.94,circular,7.3798,99.5677,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_195,Palian_River_Estuary_195_650,153.94,circular,7.37975,99.5678833333333,NA,2013,5,2,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_195,Palian_River_Estuary_195_651,153.94,circular,7.37963333333333,99.5680833333333,NA,2013,5,2,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_196,Palian_River_Estuary_196_652,153.94,circular,7.37728333333333,99.5691666666667,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_196,Palian_River_Estuary_196_653,153.94,circular,7.37743333333333,99.5692666666667,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_196,Palian_River_Estuary_196_654,153.94,circular,7.3776,99.56945,NA,2013,5,2,field,NA,mangrove,Sonneratia caseolaris,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_197,Palian_River_Estuary_197_655,153.94,circular,7.37733333333333,99.5662166666667,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_197,Palian_River_Estuary_197_656,153.94,circular,7.37713333333333,99.5662166666667,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_197,Palian_River_Estuary_197_657,153.94,circular,7.37696666666667,99.5661,NA,2013,5,2,field,NA,mangrove,Bruguiera gymnorrhiza,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_198,Palian_River_Estuary_198_658,153.94,circular,7.37633333333333,99.5688,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_198,Palian_River_Estuary_198_659,153.94,circular,7.37571666666667,99.56855,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_198,Palian_River_Estuary_198_660,153.94,circular,7.37578333333333,99.5685166666667,NA,2013,5,2,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_198,Palian_River_Estuary_198_661,153.94,circular,7.37556666666667,99.5684,NA,2013,5,2,field,NA,mangrove,Excoecaria agallocha,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_198,Palian_River_Estuary_198_662,153.94,circular,7.37535,99.5683166666667,NA,2013,5,2,field,NA,mangrove,Excoecaria agallocha,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_199,Palian_River_Estuary_199_663,153.94,circular,7.3727,99.57215,NA,2013,5,3,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_199,Palian_River_Estuary_199_664,153.94,circular,7.37273333333333,99.5724166666667,NA,2013,5,3,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_199,Palian_River_Estuary_199_665,153.94,circular,7.37258333333333,99.5723833333333,NA,2013,5,3,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_199,Palian_River_Estuary_199_666,153.94,circular,7.37296666666667,99.5731666666667,NA,2013,5,3,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_200,Palian_River_Estuary_200_667,153.94,circular,7.37093333333333,99.5762833333333,NA,2013,5,3,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_200,Palian_River_Estuary_200_668,153.94,circular,7.37123333333333,99.5760833333333,NA,2013,5,3,field,NA,mangrove,Bruguiera gymnorrhiza,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_200,Palian_River_Estuary_200_669,153.94,circular,7.37136666666667,99.576,NA,2013,5,3,field,NA,mangrove,Myrmecodia tuberosa,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_200,Palian_River_Estuary_200_670,153.94,circular,7.37158333333333,99.57585,NA,2013,5,3,field,NA,mangrove,Myrmecodia tuberosa,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_201,Palian_River_Estuary_201_671,153.94,circular,7.373275,99.5794874999999,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_201,Palian_River_Estuary_201_672,153.94,circular,7.3734,99.5792833333333,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_201,Palian_River_Estuary_201_673,153.94,circular,7.37356666666667,99.5791166666667,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_201,Palian_River_Estuary_201_674,153.94,circular,7.37366666666667,99.578833333333293,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_201,Palian_River_Estuary_201_675,153.94,circular,7.37375,99.5786166666667,NA,2013,5,3,field,NA,mangrove,Bruguiera gymnorrhiza,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_201,Palian_River_Estuary_201_676,153.94,circular,7.3739,99.5784666666667,NA,2013,5,3,field,NA,mangrove,Bruguiera parviflora,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_202,Palian_River_Estuary_202_677,153.94,circular,7.37431666666667,99.5850833333333,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_202,Palian_River_Estuary_202_678,153.94,circular,7.37418333333333,99.5852333333333,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_202,Palian_River_Estuary_202_679,153.94,circular,7.37408333333333,99.5854,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_202,Palian_River_Estuary_202_680,153.94,circular,7.37375,99.5862333333333,NA,2013,5,3,field,NA,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_203,Palian_River_Estuary_203_681,153.94,circular,7.3783,99.5906333333333,NA,2013,5,4,field,NA,mangrove,Heritiera littoralis,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_203,Palian_River_Estuary_203_682,153.94,circular,7.37843333333333,99.5909833333333,NA,2013,5,4,field,NA,mangrove,Xylocarpus granatum,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_203,Palian_River_Estuary_203_683,153.94,circular,7.3786,99.5913,NA,2013,5,4,field,NA,mangrove,Pongamia pinnata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_203,Palian_River_Estuary_203_684,153.94,circular,7.3787,99.5917,NA,2013,5,4,field,NA,mangrove,Ceriops tagal,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_204,Palian_River_Estuary_204_685,153.94,circular,7.3822222,99.586111111111,NA,2013,5,4,field,NA,mangrove,Sonneratia species,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_204,Palian_River_Estuary_204_686,153.94,circular,7.38161666666667,99.5869166666667,NA,2013,5,4,field,NA,mangrove,Sonneratia species,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_204,Palian_River_Estuary_204_687,153.94,circular,7.3818,99.5866666666667,NA,2013,5,4,field,NA,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Palian_River_Estuary_204,Palian_River_Estuary_204_688,153.94,circular,7.38176666666667,99.5864166666667,NA,2013,5,4,field,NA,mangrove,Rhizophora apiculata,NA,yes
