Site,Status,ID,Date,Lat,Lon,Depth,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N,Age,Age_e,VAR,MAR,CAR,Year,Year_restored
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,20.5,109.3,0.2103,3.3683,0.2971,0.3825,0.0568,2.9858,0.3025,0.7679,0.0699,0,0,31.6,1.24,-14.62,1.76,54.7,3.5,4.1,853,269,1960.8,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,21.5,108.3,0.1697,2.8235,0.2778,0.4463,0.0892,2.3771,0.2918,0,0,0,0,    ,    ,    ,    ,56.4,3.7,5.9,1004,,1959.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,22.5,107.3,0.1539,2.8618,0.3142,0.455,0.1158,2.4068,0.3349,0,0,0,0,    ,    ,    ,    ,58,3.9,6.1,942,,1957.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,23.5,106.3,0.1346,3.0155,0.4403,0.5,0,2.5155,0.4403,0,0,0,0,    ,    ,    ,    ,59.6,4.1,6.4,857,,1955.9,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,24.5,105.3,0.1684,3.7252,0.3453,0.4007,0.0883,3.3245,0.3564,0,0,0,0,19.33,0.84,-15.6,1.44,62.4,4.5,3.6,606,117,1953.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,25.5,104.3,0.1449,3.7461,0.327,0.2261,0.0959,3.5201,0.3408,0,0,0,0,    ,    ,    ,    ,65.1,4.9,3.6,525,,1950.4,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,26.5,103.3,0.1669,3.4851,0.2645,0.2406,0.0617,3.2445,0.2716,0,0,0,0,    ,    ,    ,    ,68.4,5.4,3.1,520,,1947.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,27.5,102.3,0.1559,3.091,0.361,0.492,0.1071,2.5989,0.3766,0,0,0,0,29.22,1.15,-16.67,2.2,71,5.8,3.8,592,173,1944.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,28.5,101.3,0.1373,3.784,0.4624,0.4045,0.1171,3.3795,0.477,0,0,0,0,    ,    ,    ,    ,74.3,6.5,3,415,,1941.2,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,29.5,100.3,0.1514,2.9594,0.3741,0.696,0.1007,2.2634,0.3874,0,0,0,0,    ,    ,    ,    ,77,7,3.7,565,,1938.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,31,98.8,0.1643,2.123,0.1231,0.6926,0.048,1.4305,0.1322,0,0,0,0,22.23,1.04,-16.44,1.68,81.1,8,4.9,805,179,1934.4,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,33,96.8,0.1451,3.0956,0.2442,0.6574,0.0704,2.4382,0.2542,0,0,0,0,    ,    ,    ,    ,88.4,10.1,2.7,396,,1927.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,35,94.8,0.1585,2.6554,0.1915,1.1678,0.07,1.4876,0.2038,0.2064,0.0374,0,0,    ,    ,    ,    ,94.4,12.1,3.3,527,,1921.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,37,92.8,0.1619,2.2707,0.1896,0.8809,0.068,1.3898,0.2014,0,0,0,0,17.46,0.78,-15.68,1.31,101.4,15.1,2.8,461,80,1914.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,39,90.8,0.1506,1.761,0.211,0.5969,0.076,1.164,0.2243,0,0,0,0,    ,    ,    ,    ,108.2,18.7,2.9,444,,1907.3,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,41,88.8,0.1865,0.6017,0.1684,0.571,0.0595,0.0307,0.1786,0,0,0,0,18.82,1.17,-18.99,0.98,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,43,86.8,0.2357,1.2127,0.156,0.722,0.0642,0.4907,0.1686,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,45,84.8,0.244,1.1034,0.1537,0.8433,0.0574,0.2601,0.1641,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,47,82.8,0.1747,1.1574,0.1487,0.6911,0.0622,0.4663,0.1612,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,49,80.8,0.2157,0.9804,0.1244,0.7515,0.0552,0.229,0.1361,0,0,0,0,16.83,0.76,-14.59,1.17,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,51,78.8,0.1578,1.2201,0.1847,0.8612,0.071,0.3589,0.1979,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,53,76.8,0.2419,0.8488,0.1161,0.6121,0.0493,0.2367,0.1261,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,55,74.8,0.19,0.8238,0.1756,0.5515,0.0638,0.2723,0.1869,0,0,0,0,20.18,1.13,-20.47,1.59,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,57,72.8,0.2267,0.9528,0.114,0.7503,0.0557,0.2025,0.1269,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,59,70.8,0.1921,1.2051,0.1896,0.4771,0.0691,0.7279,0.2018,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,61,68.8,0.1756,0.4095,0.1226,0.4399,0.0479,-0.0304,0.1317,0,0,0,0,23.37,1.32,-17.9,1.5,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,63,66.8,0.1606,0.7823,0.1511,0.6856,0.0686,0.0967,0.166,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,65,64.8,0.1658,0.8662,0.1406,0.7486,0.066,0.1176,0.1553,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,67,62.8,0.2049,1.1233,0.1722,0.6336,0.0648,0.4898,0.184,0,0,0,0,19.58,1,-14.86,1.33,   ,   ,  ,,,   ,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,70.5,59.3,0.3228,0.6176,0.0997,0.7757,0.0507,-0.1581,0.1119,0,0,0,0,18.62,1.02,-15.44,1.19,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,0,126,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,2015.5,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,0.5,125.5,0.1817,14.6541,0.403,0.3461,0.0731,14.308,0.4096,0,0,3.2853,0.5398,27.37,1.48,-15.28,4.62,2.3,0.8,4.4,791,216,2013.2,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,1.5,124.5,0.0957,12.3216,0.605,0.2493,0.1573,12.0723,0.6251,0,0,0,0,    ,    ,    ,    ,3.4,0.8,9.3,889,,2012.1,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,2.5,123.5,0.1652,7.5989,0.4119,0.594,0.1257,7.005,0.4306,0,0,0,0,32.5,1.38,    ,    ,4.5,0.8,9,1481,481,2011,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,3.5,122.5,0.1664,6.6293,0.364,0.5498,0.0976,6.0795,0.3768,0,0,0,0,    ,    ,    ,    ,5.5,0.9,9.9,1651,,2010,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,4.5,121.5,0.1987,6.9927,0.3329,0.4768,0.0916,6.5159,0.3452,0,0,0,0,33.11,1.22,-15.07,3.93,6.8,0.9,7.5,1485,492,2008.7,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,5.5,120.5,0.1128,8.199,0.4862,0.6624,0.1524,7.5365,0.5095,0,0,0,0,33.45,1.21,    ,    ,7.7,0.9,11,1240,,2007.8,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,6.5,119.5,0.1714,5.3366,0.2983,0.3931,0.0786,4.9435,0.3085,0,0,0,0,32.85,1.36,    ,    ,8.7,0.9,10.7,1837,603,2006.8,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,7.5,118.5,0.1509,6.5077,0.4119,0.3696,0.1035,6.1381,0.4247,0,0,0,0,    ,    ,    ,    ,9.7,0.9,9.5,1435,,2005.8,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,8.5,117.5,0.1581,10.6046,0.5578,0.5,0,10.1046,0.5578,0,0,0,0,35.16,1.29,-15.4,3.31,11.6,1,5.3,832,293,2003.9,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,9.5,116.5,0.1276,11.9206,0.5376,0.3196,0.1278,11.601,0.5526,0,0,0,0,    ,    ,    ,    ,13.5,1.1,5.4,684,,2002,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,10.5,115.5,0.1534,9.1964,0.4543,0.404,0.1124,8.7923,0.468,0,0,0,0,35.58,1.27,    ,    ,15.3,1.1,5.6,852,303,2000.2,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,11.5,114.5,0.1316,7.8487,0.4262,0.5988,0.1025,7.2499,0.4383,0,0,0,0,    ,    ,    ,    ,16.6,1.1,7.5,984,,1998.9,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,12.5,113.5,0.1604,8.463,0.424,0.4192,0.1197,8.0438,0.4406,0,0,0,0,36.48,1.1,-14.54,3.59,18.5,1.2,5.3,844,308,1997,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,13.5,112.5,0.1263,9.342,0.5801,0.5,0,8.842,0.5801,0,0,0,0,    ,    ,    ,    ,20.3,1.3,5.7,725,,1995.2,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,14.5,111.5,0.1474,7.2494,0.4495,0.5788,0.1242,6.6706,0.4663,0,0,0,0,32.78,1.31,    ,    ,21.9,1.3,6.2,912,299,1993.6,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,15.5,110.5,0.1789,6.9284,0.3388,0.2723,0.1077,6.6561,0.3555,0.4183,0.0723,0,0,31.84,1.23,-14.99,3.4,24,1.4,4.8,863,275,1991.5,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,16.5,109.5,0.1383,8.8528,0.4409,0.5703,0.0947,8.2824,0.4509,0,0,0,0,    ,    ,    ,    ,26.1,1.5,4.7,650,,1989.4,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,17.5,108.5,0.1103,12.3109,0.6476,0.4873,0.0983,11.8236,0.655,0,0,0,0,    ,    ,    ,    ,28.7,1.6,3.8,423,,1986.8,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,18.5,107.5,0.1348,11.9373,0.5825,0.5,0,11.4373,0.5825,0,0,0,0,31.19,1.09,-14.68,2.98,32.1,1.8,3,399,124,1983.4,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,19.5,106.5,0.1624,7.8393,0.4076,0.5903,0.0993,7.249,0.4196,0.8172,0.0927,0,0,    ,    ,    ,    ,34.9,1.9,3.5,571,,1980.6,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,20.5,105.5,0.1679,6.4195,0.3903,0.6893,0.1144,5.7302,0.4067,1.8042,0.1169,0,0,    ,    ,    ,    ,37.5,2.1,4,664,,1978.1,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,21.5,104.5,0.1419,5.7269,0.3917,0.551,0.1091,5.1759,0.4066,1.2315,0.1185,0,0,27.59,1.14,-15.24,2.62,39.5,2.2,4.8,684,189,1976,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,22.5,103.5,0.184,4.8989,0.3179,0.6784,0.0925,4.2205,0.3311,1.8852,0.1026,0,0,    ,    ,    ,    ,41.9,2.4,4.3,784,,1973.6,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,23.5,102.5,0.1674,5.4817,0.4172,0.5,0,4.9817,0.4172,0.4878,0.0894,0,0,    ,    ,    ,    ,44.6,2.6,3.7,613,,1970.9,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,24.5,101.5,0.1659,5.2593,0.3734,0.9628,0.1106,4.2965,0.3895,1.8602,0.109,0,0,22.65,1.24,-16.36,2.93,47.1,2.8,4,655,148,1968.4,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,25.5,100.5,0.1391,5.2993,0.4292,0.4873,0.1218,4.8119,0.4462,0.468,0.0869,0,0,    ,    ,    ,    ,49.7,3.1,3.9,541,,1965.8,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,26.5,99.5,0.1794,3.4198,0.2866,0.6363,0.0862,2.7835,0.2993,0.255,0.0595,0,0,    ,    ,    ,    ,51.8,3.3,4.8,869,,1963.7,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,27.5,98.5,0.1762,6.1353,0.3583,0.67,0.1004,5.4654,0.3721,0.3569,0.0671,0,0,25.62,1.18,-16.78,2.15,56.2,3.7,2.3,401,103,1959.3,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,28.5,97.5,0.1173,7.4875,0.5488,0.8782,0.1873,6.6093,0.5799,0,0,0,0,    ,    ,    ,    ,60.2,4.3,2.5,291,,1955.3,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,29.5,96.5,0.1313,6.5098,0.4576,0.8891,0.1515,5.6207,0.4821,0.2397,0.0886,0,0,    ,    ,    ,    ,64.6,4.9,2.3,300,,1950.9,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,31,95,0.1373,5.1173,0.2513,0.4327,0.0643,4.6847,0.2594,0,0,0,0,32.17,1.51,-21.37,1.98,74,6.6,2.1,291,94,1941.5,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,33,93,0.1475,3.6794,0.2189,0.5413,0.0711,3.1381,0.2302,0,0,0,0,    ,    ,    ,    ,83.1,8.8,2.2,326,,1932.4,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,35,91,0.1402,2.8279,0.1937,0.5188,0.0629,2.3091,0.2037,0,0,0,0,28.72,1.28,-21.5,1.41,91.4,11.4,2.4,338,97,1924.1,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,37,89,0.1741,1.9691,0.206,0.7862,0.066,1.1828,0.2163,0,0,0,0,    ,    ,    ,    ,98.1,14,3,522,,1917.5,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,39,87,0.1647,1.6964,0.2025,1.0834,0.0875,0.6129,0.2207,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,41,85,0.2268,1.3137,0.1425,0.7963,0.0567,0.5174,0.1534,0,0,0,0,26.23,1.09,-17.67,1.41,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,43,83,0.1447,1.2298,0.1663,0.6315,0.0783,0.5983,0.1838,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,45,81,0.1308,0.9954,0.1644,0.4581,0.0677,0.5373,0.1778,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,47,79,0.1668,1.4004,0.1473,0.6434,0.0527,0.757,0.1565,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,49,77,0.1949,1.2035,0.1737,0.6647,0.0624,0.5388,0.1845,0,0,0,0,21.55,1.12,-17.16,1.07,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,51,75,0.1401,0.785,0.2308,0.5679,0.1058,0.2172,0.2539,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,53,73,0.1575,1.043,0.2018,0.7553,0.0748,0.2878,0.2152,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,55,71,0.1432,1.0966,0.2078,0.9128,0.0877,0.1838,0.2256,0,0,0,0,17.61,0.8,-15.07,1.28,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,57,69,0.1479,1.385,0.1971,0.7713,0.0821,0.6137,0.2135,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,59,67,0.184,1.0088,0.1631,0.5872,0.0602,0.4216,0.1739,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,61,65,0.1531,1.0286,0.1466,0.9228,0.0654,0.1058,0.1605,0,0,0,0,18.17,1.27,-24.25,0.98,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,63,63,0.1788,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,65,61,0.1558,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,67,59,0.1789,0.5627,0.1205,0.5732,0.0488,-0.0105,0.1301,0,0,0,0,22.89,1.34,-21.75,1.2,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,69,57,0.1347,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,71,55,0.1355,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Quivett,Natural,QCNB,6/3/2015,41.747,-70.14286,73,53,0.1073,0.7732,0.1725,0.5046,0.0696,0.2686,0.186,0,0,0,0,22.86,1.04,-15.66,1.01,   ,   ,  ,,,   ,
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,0,138.3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,2015.5,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,0.5,137.8,0.1125,14.1696,0.5937,0.4585,0.1684,13.7111,0.6171,0,0,6.5373,1.1048,24.02,1.42,-15.78,5.17,1.3,0.8,7.8,878,211,2014.2,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,1.5,136.8,0.2256,17.2808,0.4251,0.8683,0.0876,16.4124,0.434,0.1529,0.0382,1.6972,0.4265,    ,    ,    ,    ,4.6,0.9,3,684,,2010.9,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,2.5,135.8,0.2281,11.7105,0.3478,0.6302,0.0739,11.0803,0.3556,0.129,0.04,0,0,28.72,1.39,-15.46,4.57,7,0.9,4.1,926,266,2008.5,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,3.5,134.8,0.2108,10.761,0.3971,0.5,0.1,10.261,0.4095,0,0,0,0,    ,    ,    ,    ,9.3,1,4.4,929,,2006.2,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,4.5,133.8,0.214,12.245,0.4114,0.8439,0.0755,11.4011,0.4183,0,0,0,0,31.43,1.27,-15.96,3.88,12.1,1.1,3.6,773,243,2003.4,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,5.5,132.8,0.182,15.1033,0.4742,0.4498,0.0985,14.6535,0.4844,0,0,0,0,    ,    ,    ,    ,15.4,1.2,3,547,,2000.1,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,6.5,131.8,0.1336,18.476,0.5765,0.6615,0.1146,17.8145,0.5877,0,0,0,0,37.22,1.62,-16.2,3.88,18.7,1.3,3,406,151,1996.8,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,7.5,130.8,0.1784,15.6163,0.4732,0.3789,0.072,15.2374,0.4786,0.1388,0.0468,0,0,    ,    ,    ,    ,22.9,1.4,2.4,422,,1992.6,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,8.5,129.8,0.1388,15.5172,0.6114,1.2827,0.176,14.2345,0.6362,0,0,0,0,34.34,1.7,-16.56,3.96,26.4,1.6,2.9,401,138,1989.1,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,9.5,128.8,0.1807,12.7727,0.4215,0.9845,0.1045,11.7882,0.4343,0,0,0,0,    ,    ,    ,    ,30.6,1.8,2.4,430,,1984.9,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,10.5,127.8,0.2273,9.2572,0.3518,0.726,0.0841,8.5312,0.3617,0,0,0,0,33.47,1.34,-15.6,3.87,35,2.1,2.3,520,174,1980.5,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,11.5,126.8,0.1351,9.3193,0.561,0.5,0.1,8.8193,0.5699,0,0,0,0,    ,    ,    ,    ,38,2.3,3.3,448,,1977.5,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,12.5,125.8,0.2519,7.3025,0.3177,1.0352,0.1012,6.2673,0.3334,0.2218,0.0472,0,0,28.31,1.35,-16.01,3.75,42.5,2.6,2.2,562,159,1973.1,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,13.5,124.8,0.2328,7.0762,0.2944,1.4203,0.1004,5.6559,0.311,0,0,0,0,    ,    ,    ,    ,46.7,2.9,2.3,543,,1968.8,2005
