study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,pb210_unit
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,40,42,0.13,0.24230000000000002,0.1223,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,42,44,0.18,0.28600000000000003,0.1306,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,44,46,0.26,0.2051,0.08,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,46,48,0.46,0.1609,0.0882,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,4,6,0.26,0.20929999999999999,0.0719,0.00,0,dpm/g,7.88,0.41,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,6,8,0.54,0.2466,0.1018,0.00,0,dpm/g,6.59,0.39,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,8,10,0.23,0.26289999999999997,0.09699999999999999,0.00,0,dpm/g,5.58,0.36,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,10,12,0.18,0.25420000000000004,0.084,0.00,0,dpm/g,7.34,0.45,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,12,14,0.2,0.2612,0.10460000000000001,0.00,0,dpm/g,5.36,0.39,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,14,16,0.16,0.2688,0.08929999999999999,0.00,0,dpm/g,6.15,0.37,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,16,18,0.23,0.3038,0.121,0.00,0,dpm/g,5.63,0.37,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,18,20,0.28,0.3034,0.1282,0.00,0,dpm/g,4.97,0.37,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,20,22,0.25,0.294,0.115,0.00,0,dpm/g,5.2,0.39,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,22,24,0.14,0.2818,0.1069,0.00,0,dpm/g,5.05,0.5,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,24,26,0.17,0.3102,0.12390000000000001,0.08,0.36,dpm/g,4.55,0.33,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,28,30,0.22,0.3122,0.1166,0.00,0,dpm/g,3.58,0.37,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,30,32,0.22,0.33140000000000003,0.1328,0.00,0,dpm/g,3.26,0.47,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,32,34,0.13,0.3267,0.11699999999999999,0.00,0,dpm/g,4.79,0.37,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,34,36,0.14,0.359,0.1344,0.00,0,dpm/g,3.94,0.38,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,36,38,0.18,0.3077,0.1107,0.00,0,dpm/g,3.9,0.47,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,38,40,0.27,0.2522,0.0935,0.00,0,dpm/g,3.07,0.37,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,40,42,0.26,0.2529,0.0946,0.00,0,dpm/g,4.42,0.39,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,42,44,0.19,0.2288,0.0908,0.00,0,dpm/g,3.51,0.34,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,44,46,0.22,0.18710000000000002,0.0732,0.00,0,dpm/g,3.79,0.36,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,46,48,0.23,0.18230000000000002,0.0704,0.00,0,dpm/g,3.3,0.36,dpm/g
Wang_et_al_2023,Black_Bank,Black_Bank,single set of methods,48,50,0.34,0.1839,0.0762,0.00,0,dpm/g,4.04,0.43,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,0,2,0.16,0.21030000000000001,0.0741,0.00,0,dpm/g,2.73,0.28,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,2,4,0.27,0.1724,0.0739,0.00,0,dpm/g,3.96,0.33,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,4,6,0.43,0.17379999999999998,0.0368,0.00,0,dpm/g,3.42,0.29,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,6,8,0.37,0.1551,0.042699999999999995,0.00,0,dpm/g,2.34,0.24,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,8,10,0.47,0.16329999999999997,0.051500000000000004,0.00,0,dpm/g,2.55,0.25,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,10,12,0.43,0.1578,0.0463,0.00,0,dpm/g,3.56,0.3,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,12,14,0.27,0.23600000000000002,0.0839,0.00,0,dpm/g,3.04,0.25,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,14,16,0.19,0.17850000000000002,0.06309999999999999,0.00,0,dpm/g,3.86,0.36,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,16,18,0.31,0.19269999999999998,0.0756,0.00,0,dpm/g,4.5,0.37,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,18,20,0.36,0.18350000000000002,0.0703,0.00,0,dpm/g,2.06,0.26,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,20,22,0.61,0.1158,0.0349,0.00,0,dpm/g,1.5,0.2,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,24,26,0.48,0.1335,0.0475,0.00,0,dpm/g,1.73,0.2,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,26,28,0.29,0.1661,0.0653,0.00,0,dpm/g,1.02,0.14,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,28,30,0.41,0.1359,0.059000000000000004,0.00,0,dpm/g,1.02,0.12,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,30,32,0.41,0.1416,0.0513,0.00,0,dpm/g,0.18,0.03,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,32,34,0.34,0.1564,0.0622,0.00,0,dpm/g,0.82,0.12,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,34,36,0.34,0.1654,0.021,0.75,0.11,dpm/g,0.67,0.1,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,36,38,0.23,0.2284,0.09359999999999999,1.03,0.15,dpm/g,0.73,0.14,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,38,40,0.35,0.2024,0.0635,0.25,0.11,dpm/g,0.84,0.14,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,40,42,0.32,0.19260000000000002,0.08259999999999999,0.19,0.08,dpm/g,0.52,0.1,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,42,44,0.51,0.17059999999999997,0.0708,0.00,0,dpm/g,0.98,0.15,dpm/g
Wang_et_al_2023,Duck_Point,Duck_Point,single set of methods,44,46,0.31,0.1996,0.0824,0.19,0.09,dpm/g,0.74,0.14,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,2,4,0.17,0.4211,0.1381,0.00,0,dpm/g,3.37,0.36,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,6,8,0.21,0.38799999999999996,0.1624,0.00,0,dpm/g,4.86,0.36,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,10,12,0.13,0.511,0.1777,0.00,0,dpm/g,5.73,0.36,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,14,16,0.2,0.4892,0.17190000000000003,0.30,0.16,dpm/g,2.92,0.38,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,18,20,0.16,0.444,0.163,0.87,0.13,dpm/g,2.09,0.28,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,22,24,0.12,0.5129,0.17920000000000003,1.80,0.23,dpm/g,0.96,0.26,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,26,28,0.22,0.5243,0.18460000000000001,0.00,0,dpm/g,1.59,0.31,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,30,32,0.21,0.48950000000000005,0.17420000000000002,0.00,0,dpm/g,0.36,0.11,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,34,36,0.26,0.4664,0.1588,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,38,40,0.16,0.4069,0.1646,0.00,0,dpm/g,1.1,0.23,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,44,46,0.25,0.3317,0.1027,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,East_High,East_High,single set of methods,48,50,0.23,0.35,0.1002,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,0,2,0.1,0.6951999999999999,0.23010000000000003,0.00,0,dpm/g,6.4,0.33,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,2,4,0.12,0.6814,0.2669,0.00,0,dpm/g,6.07,0.3,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,4,6,0.08,0.6797,0.29510000000000003,0.00,0,dpm/g,3.35,0.24,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,6,8,0.16,0.6639,0.2518,0.00,0,dpm/g,4.62,0.29,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,8,10,0.12,0.6456999999999999,0.2591,0.00,0,dpm/g,3.51,0.27,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,12,14,0.15,0.5996,0.2446,0.50,0.1,dpm/g,3.02,0.25,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,14,16,0.14,0.5036,0.28809999999999997,1.35,0.12,dpm/g,1.97,0.21,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,18,20,0.12,0.5794,0.2587,0.37,0.07,dpm/g,0.91,0.12,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,20,22,0.2,0.5471,0.2192,0.28,0.07,dpm/g,2.6,0.48,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,28,30,0.28,0.40270000000000006,0.1632,0.08,0.07,dpm/g,0,0,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,30,32,0.26,0.321,0.1678,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,32,34,0.21,0.3843,0.1444,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,34,36,0.21,0.3632,0.1663,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,36,38,0.21,0.368,0.1303,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,38,40,0.23,0.41479999999999995,0.1716,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,42,44,0.16,0.445,0.18280000000000002,0.00,0,dpm/g,0.19,0.06,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,44,46,0.18,0.39020000000000005,0.1819,0.00,0,dpm/g,0.08,0.02,dpm/g
Wang_et_al_2023,Fresh_Creek,Fresh_Creek,single set of methods,50,52,0.21,0.365,0.1461,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,0,2,0.18,0.5947,0.1818,0.00,0,dpm/g,11.38,0.71,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,2,4,0.17,0.6623,0.2506,0.00,0,dpm/g,10.51,0.85,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,4,6,0.15,0.6663,0.23800000000000002,0.00,0,dpm/g,7.01,0.73,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,6,8,0.13,0.6148,0.2357,0.00,0,dpm/g,10.64,0.89,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,8,10,0.19,0.5847,0.2443,0.00,0,dpm/g,7.85,0.7,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,12,14,0.17,0.5236,0.2332,0.00,0,dpm/g,8.86,0.8,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,14,16,0.19,0.5729,0.21530000000000002,0.00,0,dpm/g,7.64,0.85,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,16,18,0.19,0.6282,0.1866,0.00,0,dpm/g,5.77,0.53,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,18,20,0.18,0.5097,0.17600000000000002,0.19,0.1,dpm/g,4.15,0.43,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,20,22,0.15,0.5838,0.2,0.29,0.12,dpm/g,4.85,0.68,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,22,24,0.13,0.556,0.1864,1.12,0.16,dpm/g,3.21,0.53,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,24,26,0.14,0.5558,0.2183,0.99,0.19,dpm/g,2.83,0.54,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,26,28,0.14,0.5331,0.20670000000000002,1.07,0.16,dpm/g,5.18,0.63,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,28,30,0.14,0.58,0.2243,0.28,0.11,dpm/g,3.04,0.43,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,30,32,0.16,0.544,0.22460000000000002,0.12,0.08,dpm/g,2.84,0.38,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,32,34,0.2,0.5657,0.2054,0.00,0,dpm/g,2.08,0.43,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,34,36,0.13,0.5571,0.2148,0.00,0,dpm/g,2.11,0.37,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,36,38,0.18,0.4913,0.18530000000000002,0.00,0,dpm/g,2.41,0.33,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,38,40,0.16,0.42229999999999995,0.1924,0.00,0,dpm/g,0.46,0.18,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,40,42,0.27,0.3746,0.1561,0.00,0,dpm/g,1.63,0.3,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,42,44,0.21,0.3651,0.1557,0.00,0,dpm/g,0.55,0.14,dpm/g
Wang_et_al_2023,JoCo,JoCo,single set of methods,44,46,0.35,0.3958,0.16920000000000002,0.00,0,dpm/g,0.88,0.18,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,1,3,NA,NA,NA,0.00,0,dpm/g,0.8,0.09,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,3,5,NA,NA,NA,0.00,0,dpm/g,1.13,0.12,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,3,5,NA,NA,NA,0.00,0,dpm/g,0.86,0.11,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,5,7,NA,NA,NA,0.00,0,dpm/g,0.72,0.11,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,7,9,NA,NA,NA,0.00,0,dpm/g,0.72,0.1,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,9,11,NA,NA,NA,0.00,0,dpm/g,0.6,0.1,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,11,13,NA,NA,NA,0.00,0,dpm/g,0.22,0.04,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,13,15,NA,NA,NA,0.00,0,dpm/g,0.56,0.1,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,15,17,NA,NA,NA,0.00,0,dpm/g,0.26,0.06,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,17,19,NA,NA,NA,0.00,0,dpm/g,0.41,0.06,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,19,21,NA,NA,NA,0.00,0,dpm/g,0.31,0.05,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,21,23,NA,NA,NA,0.00,0,dpm/g,0.75,0.1,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,23,25,NA,NA,NA,0.00,0,dpm/g,0.6,0.08,dpm/g
Wang_et_al_2023,Little_Egg,Little_Egg,single set of methods,25,27,NA,NA,NA,0.00,0,dpm/g,0.44,0.07,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,0,2,0.16,0.46840000000000004,0.1635,0.27,0.09,dpm/g,14.45,0.68,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,2,4,0.16,0.4698,0.1812,0.00,0,dpm/g,10.2,0.73,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,10,12,0.27,0.4543,0.17989999999999998,0.27,0.1,dpm/g,6.76,0.52,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,12,14,0.17,0.4326,0.1743,0.09,0.07,dpm/g,5.99,0.41,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,14,16,0.21,0.3892,0.1729,0.12,0.11,dpm/g,4.88,0.43,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,16,18,0.19,0.3679,0.1572,0.52,0.08,dpm/g,5.44,0.35,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,18,20,0.24,0.3591,0.1431,0.39,0.09,dpm/g,5.3,0.42,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,20,22,0.39,0.3182,0.1328,0.48,0.09,dpm/g,4.95,0.37,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,22,24,0.33,0.3029,0.1245,0.59,0.08,dpm/g,4.01,0.31,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,24,26,0.19,0.3152,0.10890000000000001,0.64,0.1,dpm/g,3.88,0.33,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,26,28,0.29,0.2372,0.1386,0.32,0.08,dpm/g,3.02,0.29,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,28,30,0.48,0.2842,0.079,0.34,0.07,dpm/g,1.87,0.22,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,30,32,0.57,0.049,0.018600000000000002,0.00,0,dpm/g,1.16,0.3,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,32,34,0.33,0.2859,0.0882,0.00,0,dpm/g,0.92,0.22,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,34,36,0.22,0.35369999999999996,0.1354,0.00,0,dpm/g,1.08,0.15,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,36,38,0.24,0.3212,0.1074,0.00,0,dpm/g,1.45,0.22,dpm/g
Wang_et_al_2023,Ruffle_Bar,Ruffle_Bar,single set of methods,38,40,0.29,0.30620000000000003,0.10869999999999999,0.00,0,dpm/g,0.5,0.1,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,0,2,0.08,0.5433,0.1865,0.00,0,dpm/g,16.84,0.62,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,2,4,0.19,0.5363,0.23329999999999998,0.23,0.07,dpm/g,12.39,0.53,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,4,6,0.11,0.6121,0.27449999999999997,0.00,0,dpm/g,8,0.55,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,6,8,0.19,0.6177,0.27690000000000003,0.00,0,dpm/g,10.24,0.57,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,8,10,0.26,0.5764,0.247,0.57,0.11,dpm/g,10.18,0.58,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,10,12,0.21,0.478,0.2518,1.00,0.11,dpm/g,9.13,0.51,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,12,14,0.24,0.39880000000000004,0.1935,no data,0.16,dpm/g,3.55,0.29,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,14,16,0.29,0.354,0.1536,no data,0.16,dpm/g,3.56,0.32,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,16,18,0.27,0.341,0.1594,0.44,0.08,dpm/g,3.73,0.31,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,18,20,0.17,0.36469999999999997,0.17629999999999998,0.12,0.07,dpm/g,2.18,0.24,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,20,22,0.21,0.3189,0.13949999999999999,0.38,0.08,dpm/g,1.67,0.21,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,22,24,0.44,0.32689999999999997,0.154,0.26,0.08,dpm/g,1.47,0.24,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,24,26,0.22,0.4054,0.1654,0.00,0,dpm/g,1.52,0.25,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,26,28,0.28,0.3786,0.1634,0.00,0,dpm/g,1.06,0.21,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,28,30,0.26,0.34990000000000004,0.254,0.14,0.07,dpm/g,1.51,0.2,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,30,32,0.25,0.304,0.1495,0.25,0.07,dpm/g,1.88,0.21,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,32,34,0.19,0.33740000000000003,0.1674,0.27,0.08,dpm/g,1.05,0.2,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,34,36,0.28,0.3649,0.16829999999999998,0.00,0,dpm/g,0.2,0.07,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,36,38,0.13,0.4191,0.1931,0.00,0,dpm/g,0.41,0.12,dpm/g
Wang_et_al_2023,Spring_Creek,Spring_Creek,single set of methods,38,40,0.12,0.41969999999999996,NA,0.03,0.07,dpm/g,0.13,0.04,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,0,2,0.04,0.35359999999999997,0.1137,0.00,0,dpm/g,1.76,0.19,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,2,4,0.43,0.1401,0.0391,0.00,0,dpm/g,1.29,0.17,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,4,6,0.13,0.452,0.13970000000000002,0.00,0,dpm/g,1.61,0.23,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,6,8,0.19,0.4401,0.1586,0.00,0,dpm/g,1.24,0.18,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,8,10,0.26,0.20120000000000002,0.0894,0.00,0,dpm/g,2.35,0.29,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,10,12,0.59,0.1434,0.046900000000000004,0.00,0,dpm/g,0.3,0.04,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,12,14,0.18,0.41859999999999997,0.1501,0.73,0.2,dpm/g,0.09,0.02,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,16,18,0.19,0.4523,0.1895,0.87,0.22,dpm/g,0.47,0.1,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,18,20,0.25,0.4341,0.18719999999999998,0.50,0.16,dpm/g,0.29,0.08,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,20,22,0.19,0.38439999999999996,0.1387,0.00,0,dpm/g,1.01,0.18,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,22,24,0.25,0.42100000000000004,0.17800000000000002,0.00,0,dpm/g,0.84,0.18,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,24,26,0.21,0.4364,0.1886,0.00,0,dpm/g,0.38,0.05,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,26,28,0.22,0.4673,0.20120000000000002,0.00,0,dpm/g,0.7,0.12,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,28,30,0.13,0.4353,0.1821,0.00,0,dpm/g,0.28,0.11,dpm/g
Wang_et_al_2023,Yellow_Bar,Yellow_Bar,single set of methods,30,32,0.31,0.4224,0.2006,0.00,0,dpm/g,0,0,dpm/g
