"","Location","Site.Number","Collection.Date","Latitude","Longitude","Biomass.Core.Segment","Live.Rhizomes","Live.Roots","Detritus"
"168","NE-L",29,"14-Sep-2009",42.7409,-70.83414,"10-20",2.423,0.726,4.586
"169","NE-L",29,"14-Sep-2009",42.7409,-70.83414,"20-30",0,0.275,6.292
"170","NE-L",29,"14-Sep-2009",42.7409,-70.83414,"30-50",0,0.17,7.447
"171","NE-L",38,"14-Sep-2009",42.74125,-70.83334,"0-5",0.549,0.094,1.17
"172","NE-L",38,"14-Sep-2009",42.74125,-70.83334,"5-10",1.937,0.444,0.837
"173","NE-L",38,"14-Sep-2009",42.74125,-70.83334,"10-20",1.239,0.685,1.759
"174","NE-L",38,"14-Sep-2009",42.74125,-70.83334,"20-30",1.362,0.496,2.664
"175","NE-L",38,"14-Sep-2009",42.74125,-70.83334,"30-50",0,0.215,3.007
"176","NE-L",50,"14-Sep-2009",42.74125,-70.83334,"0-5",0.752,0.03,1.286
"177","NE-L",50,"14-Sep-2009",42.74125,-70.83334,"5-10",1.32,0.271,1.363
"178","NE-L",50,"14-Sep-2009",42.74125,-70.83334,"10-20",3.641,1.28,2.762
"179","NE-L",50,"14-Sep-2009",42.74125,-70.83334,"20-30",1.447,1.456,1.876
"180","NE-L",50,"14-Sep-2009",42.74125,-70.83334,"30-50",0.233,0.642,3.287
