Site,S,Depth (m),OC (%) (mass spec),OC% (MIR-1),OC% (MIR-2),δ13C (‰)
Sloehaven young,30,0.645,NA,1.84,2.19,
Sloehaven young,30,0.675,1.71,,,-23.9
Zuidgors old,24,0.015,3.60,5.52,6.36,-25.8
Zuidgors old,24,0.045,2.82,,,-25.4
Zuidgors old,24,0.075,3.37,,,-25.3
Zuidgors old,24,0.135,3.19,2.54,3.43,-25.2
Zuidgors old,24,0.195,2.12,,,-24.3
Zuidgors old,24,0.255,2.12,2.00,2.54,-24.4
Zuidgors old,24,0.315,2.06,,,-24.4
Zuidgors old,24,0.375,1.37,1.89,2.08,-24.2
Zuidgors old,24,0.435,1.62,,,-24.2
Zuidgors old,24,0.495,1.48,1.40,2.04,-24.2
Zuidgors old,24,0.555,NA,,,-24.2
Zuidgors old,24,0.615,1.16,1.26,1.16,-24.2
Zuidgors old,24,0.675,1.21,,,-23.9
Zuidgors young,24,0.015,5.05,5.26,5.42,-20.8
Zuidgors young,24,0.045,3.99,,,-20.9
Zuidgors young,24,0.075,3.59,,,-20.8
Zuidgors young,24,0.135,2.11,2.73,3.29,-19.4
Zuidgors young,24,0.195,2.91,,,-21.7
Zuidgors young,24,0.255,2.40,2.72,3.17,-22.4
Zuidgors young,24,0.315,2.59,,,-21.8
Zuidgors young,24,0.375,2.52,2.54,2.89,-27.3
Zuidgors young,24,0.435,2.36,,,-26.9
Zuidgors young,24,0.495,2.17,2.17,2.11,-23.5
Zuidgors young,24,0.555,2.19,,,-24.7
Zuidgors young,24,0.615,2.30,2.66,1.96,-24.7
Zuidgors young,24,0.675,2.18,,,-23.9
Hellegat old ,22,0.015,6.433778133,7.21368467,7.057570754,-25.72808161
Hellegat old ,22,0.045,6.192996281,,,-25.9210531
Hellegat old ,22,0.075,5.294345015,,,-24.50248588
Hellegat old ,22,0.105,NA,4.905919781,5.111306727,
Hellegat old ,22,0.135,5.391747547,,,-22.08642472
Hellegat old ,22,0.195,4.614478212,4.611986766,4.070508418,-23.0399717
Hellegat old ,22,0.255,3.59805594,,,-23.01850923
Hellegat old ,22,0.285,NA,4.240924668,4.356855299,
Hellegat old ,22,0.315,3.428221504,,,-22.82739102
Hellegat old ,22,0.375,3.581296294,4.030719706,3.869279044,-23.35475462
Hellegat old ,22,0.435,3.276060824,,,-23.15443822
Hellegat old ,22,0.465,NA,3.684026935,3.375132443,
Hellegat old ,22,0.495,3.226456986,,,-22.92448316
Hellegat old ,22,0.555,3.255872094,2.983040772,3.340657712,-22.07620449
Hellegat old ,22,0.615,3.41261838,,,-21.81446354
Hellegat old ,22,0.645,NA,3.20411037,3.316119476,
Hellegat old ,22,0.675,3.943512406,,,-20.13947187
Hellegat old ,22,0.735,3.215110805,2.763885969,3.282771335,-21.87793213
Hellegat old ,22,0.795,2.880305674,,,-22.60765619
Hellegat old ,22,0.855,2.466862163,,,-22.26119056
Hellegat old ,22,0.915,2.649006024,2.165702087,2.059646978,-22.36032674
Hellegat old ,22,0.975,1.418428423,,,-21.90041662
Hellegat old ,22,1.035,0.812290192,,,-24.04972992
Hellegat old ,22,1.095,0.449139987,,,-24.28479509
Hellegat old ,22,1.155,0.463063271,,,-28.60284011
Hellegat old ,22,1.215,0.350327178,,,-29.60340012
Hellegat old ,22,1.275,0.410890829,,,-26.11319332
Hellegat old ,22,1.335,0.448523859,,,-27.19142705
Hellegat young,22,0.015,4.43,3.23,3.62,-24.8
Hellegat young,22,0.045,3.63,,,-23.7
Hellegat young,22,0.075,3.07,,,-22.8
Hellegat young,22,0.105,NA,2.94,2.96,
Hellegat young,22,0.135,2.53,,,-21.5
Hellegat young,22,0.195,2.87,2.94,2.49,-20.7
Hellegat young,22,0.255,1.29,,,-21.6
Hellegat young,22,0.285,NA,1.72,1.98,
Hellegat young,22,0.315,1.20,,,-22.0
Hellegat young,22,0.375,1.44,1.79,1.48,-21.5
Hellegat young,22,0.435,1.70,,,-22.8
Hellegat young,22,0.465,NA,2.48,2.61,
Hellegat young,22,0.495,2.22,,,-21.9
Hellegat young,22,0.555,1.89,2.38,2.61,-21.7
Hellegat young,22,0.615,2.05,,,-22.8
Hellegat young,22,0.645,NA,2.20,2.34,
Hellegat young,22,0.675,2.02,,,-22.7
Hellegat young,22,0.735,2.63,2.43,2.74,-22.7
Hellegat young,22,0.795,1.01,,,-21.3
Hellegat young,22,0.855,0.43,,,-21.5
Hellegat young,22,0.915,0.61,,,-22.9
Hellegat young,22,0.975,0.47,,,-24.4
Hellegat young,22,1.035,0.51,,,-26.2
Hellegat young,22,1.035,0.38,,,-25.3
Hellegat young,22,1.095,0.26,,,-26.9
Hellegat young,22,1.155,0.42,,,-26.0
Kruispolder old,15,0.015,11.53303268,9.822276341,9.880146413,-27.04580838
Kruispolder old,15,0.045,9.981884212,,,-27.14725001
Kruispolder old,15,0.075,6.699080124,,,-27.02754889
Kruispolder old,15,0.105,NA,5.024044126,6.509107878,
Kruispolder old,15,0.135,3.202550048,,,-26.55077323
Kruispolder old,15,0.195,2.959015913,3.262142543,3.148903444,-26.20181402
Kruispolder old,15,0.255,3.751617575,,,-25.13059041
Kruispolder old,15,0.285,NA,4.382966268,3.777824647,
Kruispolder old,15,0.315,4.290846963,,,-25.04436503
Kruispolder old,15,0.375,2.896670696,3.149572645,3.798620422,-23.11190198
Kruispolder old,15,0.435,3.919015803,,,-23.55723074
Kruispolder old,15,0.465,NA,4.042776521,4.222781678,
Kruispolder old,15,0.495,4.021408528,,,-23.70939318
Kruispolder old,15,0.555,4.345817948,3.5996035,4.046550797,-22.70410663
Kruispolder old,15,0.615,3.975167623,,,-23.23363194
Kruispolder old,15,0.645,NA,3.779466484,4.122950237,
Kruispolder old,15,0.675,3.619072987,,,-23.72765267
Kruispolder old,15,0.735,3.583815209,4.09925777,4.35907975,-24.25514915
Kruispolder old,15,0.795,4.07838634,,,-22.87351415
Kruispolder old,15,0.855,3.346484607,,,-23.21334361
Kruispolder old,15,0.915,2.867559462,3.805390439,3.731814961,-23.58157673
Kruispolder old,15,0.975,3.692550744,,,-24.07661188
Kruispolder old,15,1.035,3.95086463,,,-22.20907148
Kruispolder old,15,1.095,3.935729811,,,-22.8014906
Kruispolder old,15,1.155,4.026657972,,,-22.61991008
Kruispolder old,15,1.215,3.585758503,,,-23.63534079
Kruispolder old,15,1.275,3.781571939,,,-23.87068537
Kruispolder old,15,1.335,3.493415473,,,-23.71852293
Kruispolder old,15,1.395,3.441778613,,,-24.21660133
Kruispolder old,15,1.455,3.30034794,,,-24.67308866
Kruispolder old,15,1.515,3.255195153,,,-25.24623387
Kruispolder old,15,1.575,2.090138758,,,-25.62663998
Kruispolder old,15,1.635,1.585542738,,,-27.63011217
Kruispolder old,15,1.695,1.125921931,,,-28.6161248
Kruispolder young,15,0.015,7.371894943,6.167099959,5.655925032,-27.31665753
Kruispolder young,15,0.045,3.369841979,,,-26.88451619
Kruispolder young,15,0.075,2.71650067,,,-26.70902217
Kruispolder young,15,0.105,NA,2.971094254,2.709211465,
Kruispolder young,15,0.135,2.688877437,,,-27.14725001
Kruispolder young,15,0.195,2.919228706,3.764319573,3.789417622,-26.79321872
Kruispolder young,15,0.255,3.204111678,,,-26.55787414
Kruispolder young,15,0.285,NA,3.912121276,3.117817498,
Kruispolder young,15,0.315,3.094076111,,,-26.18659778
Kruispolder young,15,0.375,3.220506247,4.943051326,4.446061271,-26.40063961
Kruispolder young,15,0.435,3.918369686,,,-26.42295677
Kruispolder young,15,0.465,NA,6.255217772,4.648367828,
Kruispolder young,15,0.495,4.1561929,,,-25.85589806
Kruispolder young,15,0.525,NA,5.419328589,4.92655992,
Kruispolder young,15,0.555,4.09077021,,,-25.56983267
Kruispolder young,15,0.585,NA,6.084912645,,
Kruispolder young,15,0.615,4.783446489,,,-24.24094732
Kruispolder young,15,0.645,NA,5.832222279,4.972070901,
Kruispolder young,15,0.675,4.734986324,,,-23.13929122
Kruispolder young,15,0.735,4.268788758,4.945125567,4.707090593,-23.66171561
Kruispolder young,15,0.795,5.10654256,,,-21.87532852
Kruispolder young,15,0.855,4.750665897,,,-22.37949342
Kruispolder young,15,0.915,4.065273831,4.509403276,4.661607402,-25.76561501
Kruispolder young,15,0.975,4.675597939,,,-23.18595437
Kruispolder young,15,1.035,4.875010151,,,-22.47687738
Kruispolder young,15,1.095,4.405952533,,,-23.56331723
Kruispolder young,15,1.155,4.270408627,,,-23.80271948
Kruispolder young,15,1.215,4.770783663,,,-22.23341747
Mariekerke old,0.5,0.015,10.09136201,7.178561872,7.066789258,-28.26410586
Mariekerke old,0.5,0.045,9.454954659,,,-28.28661944
Mariekerke old,0.5,0.075,8.946359422,,,-28.59259947
Mariekerke old,0.5,0.105,NA,8.722445721,5.986029051,
Mariekerke old,0.5,0.135,8.23818124,,,-28.41351417
Mariekerke old,0.5,0.195,9.236116757,8.995538453,7.307215862,-27.93663559
Mariekerke old,0.5,0.255,9.791033095,,,-27.80667083
Mariekerke old,0.5,0.285,NA,9.614179459,9.24027307,
Mariekerke old,0.5,0.315,7.242695921,,,-27.48431728
Mariekerke old,0.5,0.375,6.033833688,6.952528401,8.199168342,-27.41472985
Mariekerke old,0.5,0.435,6.799634316,,,-27.37174938
Mariekerke old,0.5,0.465,NA,6.392591733,5.592315825,
Mariekerke old,0.5,0.495,5.966756126,,,-26.80481647
Mariekerke old,0.5,0.555,6.732609204,5.765371161,7.721173608,-26.40571208
Mariekerke old,0.5,0.615,7.476829534,,,-26.19387975
Mariekerke old,0.5,0.645,NA,7.725385844,6.653222731,
Mariekerke old,0.5,0.675,6.530756063,,,-26.11303553
Mariekerke old,0.5,0.735,6.943606203,8.455387531,9.404733976,-26.01070107
Mariekerke old,0.5,0.795,6.933675579,,,-25.86947951
Mariekerke old,0.5,0.855,5.876904487,,,-26.31975113
Mariekerke old,0.5,0.915,7.01338001,6.267805914,6.828786077,-26.00149097
Mariekerke old,0.5,0.975,6.660282985,,,-26.14885259
Mariekerke old,0.5,1.035,7.894706597,,,-26.41901556
Mariekerke old,0.5,1.095,5.864007203,6.815304148,6.051746669,-26.03014462
Mariekerke old,0.5,1.155,6.385793942,,,-25.95851049
Mariekerke old,0.5,1.215,6.081124005,,,-26.14066583
Mariekerke old,0.5,1.275,6.349617977,5.83257478,5.937258725,-25.36292394
Mariekerke old,0.5,1.335,7.515871186,,,-25.63411026
Mariekerke old,0.5,1.395,8.043363189,,,-26.0987087
Mariekerke old,0.5,1.455,3.38514357,,,-26.16317941
Mariekerke old,0.5,1.515,2.556136584,,,-26.24402364
Mariekerke old,0.5,1.575,5.593433879,,,-26.78332624
Mariekerke old,0.5,1.765,2.780256402,,,-27.0074387
Mariekerke young,0.5,0.015,5.921157025,5.678726752,5.230527023,-28.38588387
Mariekerke young,0.5,0.045,6.207546747,,,-28.72563427
Mariekerke young,0.5,0.075,6.748539589,,,-28.47286816
Mariekerke young,0.5,0.105,NA,6.156181409,5.024523774,
Mariekerke young,0.5,0.135,5.623939468,,,-28.42477096
Mariekerke young,0.5,0.195,5.907017161,6.303917504,5.278095342,-28.61203831
Mariekerke young,0.5,0.255,4.764194915,,,-28.13107106
Mariekerke young,0.5,0.285,NA,5.744394245,4.797223795,
Mariekerke young,0.5,0.315,6.012932963,,,-28.84843562
Mariekerke young,0.5,0.375,8.235197699,5.899611718,6.293867398,-28.15417223
Mariekerke young,0.5,0.435,6.938411209,,,-27.78722728
Mariekerke young,0.5,0.465,NA,6.79033632,6.216672197,
Mariekerke young,0.5,0.495,6.536154514,,,-27.55220099
Mariekerke young,0.5,0.555,6.554262233,8.124533591,8.191914243,-27.4980338
Mariekerke young,0.5,0.615,5.56954741,,,-27.32160549
Mariekerke young,0.5,0.645,NA,6.425494977,6.360711056,
Mariekerke young,0.5,0.675,6.476367561,,,-27.29704522
Mariekerke young,0.5,0.735,6.638127177,5.774722324,6.7560837,-27.13535677
Mariekerke young,0.5,0.795,5.258856203,,,-26.89794083
Mariekerke young,0.5,0.855,6.819447259,,,-27.53176054
Mariekerke young,0.5,0.915,7.492640643,5.186572484,6.530921217,-26.87153401
Mariekerke young,0.5,0.975,7.691226432,,,-26.32691455
Mariekerke young,0.5,1.035,6.864240053,,,-27.14850211
Mariekerke young,0.5,1.095,6.700089482,7.693154682,7.23126343,-26.56944722
Mariekerke young,0.5,1.155,6.658213798,,,-26.51689221
Mariekerke young,0.5,1.215,6.642208662,,,-26.34124137
Mariekerke young,0.5,1.275,6.392839758,5.29808329,6.078142031,-25.97726433
Mariekerke young,0.5,1.335,6.487780511,,,-25.89506313
Mariekerke young,0.5,1.395,6.544177402,,,-25.66214455
Mariekerke young,0.5,1.455,6.756004252,5.996309833,5.573452808,-25.6124023
Mariekerke young,0.5,1.515,5.91824554,,,-25.9827001
Mariekerke young,0.5,1.815,5.640866007,,,-25.94110903
Grembergen old,0.4,0.015,6.818467024,6.874088288,6.752725498,-28.74081314
Grembergen old,0.4,0.045,7.178809299,,,-28.47713134
Grembergen old,0.4,0.075,6.398025354,,,-28.58748275
Grembergen old,0.4,0.105,NA,6.720919527,6.407236055,
Grembergen old,0.4,0.135,5.791413663,,,-28.11981427
Grembergen old,0.4,0.195,5.864486452,5.492062016,5.669493579,-28.3705337
Grembergen old,0.4,0.255,4.977544624,,,-27.75038687
Grembergen old,0.4,0.285,NA,5.054757547,6.06496306,
Grembergen old,0.4,0.315,6.055316387,,,-27.76573704
Grembergen old,0.4,0.375,6.231329729,4.028751256,6.187421571,-28.27945603
Grembergen old,0.4,0.435,5.261976067,,,-27.94584569
Grembergen old,0.4,0.465,NA,6.187212874,5.224677639,
Grembergen old,0.4,0.495,5.66542739,,,-27.53855454
Grembergen old,0.4,0.555,5.417787175,5.456052108,5.323005082,-27.18550066
Grembergen old,0.4,0.615,4.682069482,,,-26.99413522
Grembergen old,0.4,0.645,NA,6.86385842,4.903576373,
Grembergen old,0.4,0.675,6.339079558,,,-27.06986272
Grembergen old,0.4,0.735,6.522716448,4.773373615,7.108360366,-27.07702613
Grembergen old,0.4,0.795,4.807667613,,,-26.5162333
Grembergen old,0.4,0.855,5.558536161,,,-26.37910512
Grembergen old,0.4,0.915,6.766554606,6.874532331,6.587310837,-26.22458009
Grembergen old,0.4,0.975,7.594177682,,,-26.1375958
Grembergen old,0.4,1.035,6.199040535,,,-26.51930333
Grembergen old,0.4,1.095,7.030447824,6.511181598,5.146952972,-25.50619218
Grembergen old,0.4,1.155,6.142798221,,,-25.94009029
Grembergen old,0.4,1.215,7.517031276,,,-25.65560049
Grembergen old,0.4,1.275,9.304399744,9.249894502,9.876734384,-25.89710982
Grembergen old,0.4,1.335,9.737391157,,,-25.54712597
Grembergen old,0.4,1.395,6.413832476,,,-25.46935178
Grembergen old,0.4,1.455,8.011507668,3.598418837,4.439343328,-25.38339083
Appels young,0.3,0.015,7.170711683,5.123168556,5.714789806,-28.71117449
Appels young,0.3,0.045,5.581693822,,,-28.59977404
Appels young,0.3,0.075,5.251298225,,,-28.63247876
Appels young,0.3,0.105,NA,4.925217777,5.818562565,
Appels young,0.3,0.135,3.479860956,,,-27.85982976
Appels young,0.3,0.195,3.41000809,4.2344422,3.90862855,-27.81486077
Appels young,0.3,0.255,2.562733554,,,-27.32940009
Appels young,0.3,0.285,NA,2.914056698,4.259507651,
Appels young,0.3,0.315,2.237887945,,,-27.09637896
Appels young,0.3,0.375,2.111223268,4.509746614,5.343641733,-27.55526706
Appels young,0.3,0.435,1.287676855,,,-26.80101446
Appels young,0.3,0.465,NA,1.81224061,3.969836716,
Appels young,0.3,0.495,2.546653394,,,-27.5481129
Appels young,0.3,0.555,1.573573022,1.512228008,3.063329723,-27.9845165
Appels young,0.3,0.615,2.239632322,,,-28.09693898
Appels young,0.3,0.645,NA,2.483520018,3.765218989,
Appels young,0.3,0.675,1.353321986,,,-27.79953043
Appels young,0.3,0.735,2.452216561,2.353302157,3.664208955,-26.88993042
Appels young,0.3,0.795,2.532697442,,,-27.18733896
Appels young,0.3,0.855,2.658575216,,,-27.65031515
Appels young,0.3,0.915,2.345342362,2.081162851,3.602734825,-27.2619466
Appels young,0.3,0.975,1.725676908,,,-27.17303064
