No ID,Site ID,Data collection date (dd/mm/yyyy),Plot,Sub-plot,Latitude,Longitude,Depth interval (cm),Collected sample depth/depth range (cm),Soil organic matter depth (cm),Bag. No,Wet weight (gr),Dry weight (g),Auger volume (cm3),Bulk density (g/cm3),Carbon content (%),Nitrogen content (%),C/N ratio,Carbon density (mg/cm3),Carbon stocks (Mg/ha),Salinity (ppt),pH,Temperature (Celcius)
47,BIN,2011,Bintuni 2,4,,,15-30,,,,,,,0.79,4.95,,,158.705,58.40,,,
48,BIN,2011,Bintuni 2,4,,,30-50,,,,,,,0.73,4.46,,,164.253,65.29,,,
49,BIN,2011,Bintuni 2,4,,,50-100,,,,,,,0.57,6.30,,,91.108,180.69,,,
50,BIN,2011,Bintuni 2,4,,,100-276.7,,,,,,,0.82,3.38,,,242.563,490.53,,,
51,BIN,2011,Bintuni 2,5,,,0-15,240,,,,,,0.89,3.31,,,268.897,44.06,,,
52,BIN,2011,Bintuni 2,5,,,15-30,,,,,,,0.71,5.68,,,125.511,60.68,,,
53,BIN,2011,Bintuni 2,5,,,30-50,,,,,,,0.50,8.65,,,58.191,87.02,,,
54,BIN,2011,Bintuni 2,5,,,50-100,,,,,,,0.57,7.04,,,81.668,202.38,,,
55,BIN,2011,Bintuni 2,5,,,100-240,,,,,,,0.76,3.90,,,194.799,415.44,,,
56,BIN,2011,Bintuni 2,6,,,0-15,300,,,,,,0.74,4.31,,,171.532,47.84,,,
57,BIN,2011,Bintuni 2,6,,,15-30,,,,,,,0.75,4.34,,,171.940,48.58,,,
58,BIN,2011,Bintuni 2,6,,,30-50,,,,,,,0.69,5.26,,,130.737,72.37,,,
59,BIN,2011,Bintuni 2,6,,,50-100,,,,,,,0.65,7.63,,,85.030,247.44,,,
60,BIN,2011,Bintuni 2,6,,,100-300,,,,,,,0.58,6.24,,,93.103,724.34,,,
61,BIN,2011,Bintuni 3,1,,,0-15,262.3,,,,,,0.59,9.24,,,64.145,82.08,,,
62,BIN,2011,Bintuni 3,1,,,15-30,,,,,,,0.60,7.92,,,75.716,71.19,,,
63,BIN,2011,Bintuni 3,1,,,30-50,,,,,,,0.55,8.14,,,67.310,89.22,,,
64,BIN,2011,Bintuni 3,1,,,50-100,,,,,,,0.67,8.99,,,74.544,301.17,,,
65,BIN,2011,Bintuni 3,1,,,100-262.3,,,,,,,0.58,7.72,,,74.546,721.44,,,
66,BIN,2011,Bintuni 3,2,,,0-15,251.7,,,,,,0.85,5.36,,,157.817,67.91,,,
67,BIN,2011,Bintuni 3,2,,,15-30,,,,,,,0.78,7.07,,,109.854,82.44,,,
68,BIN,2011,Bintuni 3,2,,,30-50,,,,,,,0.69,6.08,,,112.846,83.51,,,
69,BIN,2011,Bintuni 3,2,,,50-100,,,,,,,0.70,6.12,,,114.136,213.67,,,
70,BIN,2011,Bintuni 3,2,,,100-251.7,,,,,,,0.56,9.38,,,60.030,801.75,,,
71,BIN,2011,Bintuni 3,3,,,0-15,265,,,,,,0.54,9.68,,,55.797,78.36,,,
72,BIN,2011,Bintuni 3,3,,,15-30,,,,,,,0.78,6.98,,,111.660,81.51,,,
73,BIN,2011,Bintuni 3,3,,,30-50,,,,,,,0.69,6.70,,,102.981,92.32,,,
74,BIN,2011,Bintuni 3,3,,,50-100,,,,,,,0.62,8.09,,,76.158,249.40,,,
75,BIN,2011,Bintuni 3,3,,,100-265,,,,,,,0.64,9.69,,,65.576,1015.53,,,
76,BIN,2011,Bintuni 3,4,,,0-15,258.3,,,,,,0.74,5.61,,,131.433,61.98,,,
77,BIN,2011,Bintuni 3,4,,,15-30,,,,,,,0.72,6.18,,,116.148,66.50,,,
78,BIN,2011,Bintuni 3,4,,,30-50,,,,,,,0.61,5.72,,,106.510,69.65,,,
79,BIN,2011,Bintuni 3,4,,,50-100,,,,,,,0.50,13.62,,,36.920,342.59,,,
80,BIN,2011,Bintuni 3,4,,,100-258.3,,,,,,,0.76,7.57,,,100.339,910.45,,,
81,BIN,2011,Bintuni 3,5,,,0-15,278.3,,,,,,0.72,6.23,,,115.976,67.48,,,
82,BIN,2011,Bintuni 3,5,,,15-30,,,,,,,0.65,7.48,,,86.395,72.47,,,
83,BIN,2011,Bintuni 3,5,,,30-50,,,,,,,0.55,9.79,,,56.621,108.58,,,
84,BIN,2011,Bintuni 3,5,,,50-100,,,,,,,0.54,9.46,,,56.848,254.53,,,
85,BIN,2011,Bintuni 3,5,,,100-278.3,,,,,,,0.56,7.93,,,71.033,795.45,,,
86,BIN,2011,Bintuni 3,6,,,0-15,268.3,,,,,,0.55,4.85,,,113.252,39.93,,,
87,BIN,2011,Bintuni 3,6,,,15-30,,,,,,,0.57,9.64,,,58.752,81.93,,,
88,BIN,2011,Bintuni 3,6,,,30-50,,,,,,,0.42,12.00,,,35.375,101.91,,,
89,BIN,2011,Bintuni 3,6,,,50-100,,,,,,,0.48,11.12,,,43.237,267.42,,,
90,BIN,2011,Bintuni 3,6,,,100-268.3,,,,,,,0.55,7.24,,,76.585,675.25,,,
91,BIN,2011,Bintuni 4,1,,,0-15,300,,,,,,0.48,13.18,,,36.410,94.93,,,
92,BIN,2011,Bintuni 4,1,,,15-30,,,,,,,0.51,9.31,,,54.971,71.49,,,
93,BIN,2011,Bintuni 4,1,,,30-50,,,,,,,0.49,6.83,,,71.492,66.78,,,
94,BIN,2011,Bintuni 4,1,,,50-100,,,,,,,0.78,3.37,,,232.477,131.70,,,
95,BIN,2011,Bintuni 4,1,,,100-300,,,,,,,0.64,3.91,,,163.368,500.03,,,
96,BIN,2011,Bintuni 4,2,,,0-15,268.3,,,,,,0.50,5.59,,,90.060,42.26,,,
97,BIN,2011,Bintuni 4,2,,,15-30,,,,,,,0.49,16.15,,,30.266,118.46,,,
98,BIN,2011,Bintuni 4,2,,,30-50,,,,,,,0.60,7.98,,,75.497,96.23,,,
99,BIN,2011,Bintuni 4,2,,,50-100,,,,,,,0.75,5.09,,,146.507,189.56,,,
100,BIN,2011,Bintuni 4,2,,,100-268.3,,,,,,,0.79,3.36,,,236.003,449.22,,,
101,BIN,2011,Bintuni 4,3,,,0-15,270,,,,,,0.56,7.10,,,79.021,59.67,,,
102,BIN,2011,Bintuni 4,3,,,15-30,,,,,,,0.75,6.35,,,118.277,71.47,,,
103,BIN,2011,Bintuni 4,3,,,30-50,,,,,,,0.75,5.29,,,141.409,79.26,,,
104,BIN,2011,Bintuni 4,3,,,50-100,,,,,,,0.86,3.60,,,239.204,155.09,,,
105,BIN,2011,Bintuni 4,3,,,100-270,,,,,,,0.91,2.85,,,318.853,440.28,,,
106,BIN,2011,Bintuni 4,4,,,0-15,300,,,,,,0.46,9.93,,,46.065,68.09,,,
107,BIN,2011,Bintuni 4,4,,,15-30,,,,,,,0.45,11.53,,,38.775,77.28,,,
108,BIN,2011,Bintuni 4,4,,,30-50,,,,,,,0.50,8.42,,,58.916,83.58,,,
109,BIN,2011,Bintuni 4,4,,,50-100,,,,,,,0.56,5.95,,,94.100,166.40,,,
110,BIN,2011,Bintuni 4,4,,,100-300,,,,,,,0.82,2.95,,,277.494,482.00,,,
111,BIN,2011,Bintuni 4,5,,,0-15,300,,,,,,0.43,9.27,,,45.859,59.12,,,
112,BIN,2011,Bintuni 4,5,,,15-30,,,,,,,0.48,11.15,,,43.303,80.72,,,
113,BIN,2011,Bintuni 4,5,,,30-50,,,,,,,0.52,5.67,,,91.394,58.76,,,
114,BIN,2011,Bintuni 4,5,,,50-100,,,,,,,0.79,2.66,,,296.931,105.13,,,
115,BIN,2011,Bintuni 4,5,,,100-300,,,,,,,0.69,4.40,,,156.960,607.75,,,
116,BIN,2011,Bintuni 4,6,,,0-15,300,,,,,,0.38,15.70,,,24.462,90.40,,,
117,BIN,2011,Bintuni 4,6,,,15-30,,,,,,,0.41,14.88,,,27.635,91.82,,,
118,BIN,2011,Bintuni 4,6,,,30-50,,,,,,,0.54,8.02,,,67.491,86.71,,,
119,BIN,2011,Bintuni 4,6,,,50-100,,,,,,,0.58,6.66,,,87.633,194.47,,,
120,BIN,2011,Bintuni 4,6,,,100-300,,,,,,,0.75,3.66,,,205.055,549.97,,,
121,BIN,2011,Bintuni 5,1,,,0-15,283.3,,,,,,0.86,4.53,,,189.072,58.12,,,
122,BIN,2011,Bintuni 5,1,,,15-30,,,,,,,0.64,4.66,,,137.834,44.82,,,
123,BIN,2011,Bintuni 5,1,,,30-50,,,,,,,0.45,5.49,,,81.592,49.11,,,
124,BIN,2011,Bintuni 5,1,,,50-100,,,,,,,0.79,3.44,,,229.574,135.68,,,
125,BIN,2011,Bintuni 5,1,,,100-283.3,,,,,,,1.02,2.69,,,378.550,503.35,,,
126,BIN,2011,Bintuni 5,2,,,0-15,268.3,,,,,,0.67,7.96,,,84.713,80.45,,,
127,BIN,2011,Bintuni 5,2,,,15-30,,,,,,,0.65,6.89,,,94.952,67.57,,,
128,BIN,2011,Bintuni 5,2,,,30-50,,,,,,,0.66,4.78,,,137.496,62.86,,,
129,BIN,2011,Bintuni 5,2,,,50-100,,,,,,,0.63,7.49,,,84.765,237.83,,,
130,BIN,2011,Bintuni 5,2,,,100-268.3,,,,,,,1.04,2.56,,,405.012,445.32,,,
131,BIN,2011,Bintuni 5,3,,,0-15,255,,,,,,0.47,8.09,,,58.558,57.47,,,
132,BIN,2011,Bintuni 5,3,,,15-30,,,,,,,0.68,6.33,,,106.946,64.30,,,
133,BIN,2011,Bintuni 5,3,,,30-50,,,,,,,0.80,5.15,,,156.042,82.90,,,
134,BIN,2011,Bintuni 5,3,,,50-100,,,,,,,0.95,3.10,,,305.786,147.21,,,
135,BIN,2011,Bintuni 5,3,,,100-255,,,,,,,0.96,2.63,,,366.291,393.01,,,
136,BIN,2011,Bintuni 5,4,,,0-15,275,,,,,,0.49,7.37,,,66.679,54.28,,,
137,BIN,2011,Bintuni 5,4,,,15-30,,,,,,,0.44,11.99,,,36.721,79.23,,,
138,BIN,2011,Bintuni 5,4,,,30-50,,,,,,,0.76,4.19,,,181.174,63.71,,,
139,BIN,2011,Bintuni 5,4,,,50-100,,,,,,,0.56,7.88,,,71.206,220.91,,,
140,BIN,2011,Bintuni 5,4,,,100-275,,,,,,,1.06,2.89,,,366.319,536.53,,,
141,BIN,2011,Bintuni 5,5,,,0-15,283.3,,,,,,0.60,9.69,,,62.057,87.39,,,
142,BIN,2011,Bintuni 5,5,,,15-30,,,,,,,0.51,10.18,,,50.491,104.67,,,
143,BIN,2011,Bintuni 5,5,,,30-50,,,,,,,0.52,7.72,,,67.433,80.36,,,
144,BIN,2011,Bintuni 5,5,,,50-100,,,,,,,0.59,6.65,,,89.194,197.40,,,
145,BIN,2011,Bintuni 5,5,,,100-283.3,,,,,,,1.02,2.69,,,378.550,503.35,,,
146,BIN,2011,Bintuni 5,6,,,0-15,250,,,,,,0.74,8.80,,,83.884,97.48,,,
147,BIN,2011,Bintuni 5,6,,,15-30,,,,,,,0.57,9.19,,,61.927,78.50,,,
148,BIN,2011,Bintuni 5,6,,,30-50,,,,,,,0.57,12.32,,,46.172,140.12,,,
149,BIN,2011,Bintuni 5,6,,,50-100,,,,,,,0.89,2.99,,,296.842,132.60,,,
150,BIN,2011,Bintuni 5,6,,,100-250,,,,,,,1.02,2.69,,,378.550,411.90,,,
