"study_id","core_id","species_code","code_type"
"Douglas_et_al_2022","COW-1580","Zostera marina","Genus species"
"Douglas_et_al_2022","COW-1581","Zostera marina","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1582","Avicennia germinans","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1583","Laguncularia racemosa","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1584","Rhizophora mangle","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1585","Avicennia germinans","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1586","Laguncularia racemosa","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1587","Rhizophora mangle","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1588","Avicennia germinans","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1589","Laguncularia racemosa","Genus species"
"Ochoa-Gómez_et_al_2019","NLP-1590","Rhizophora mangle","Genus species"
"Ochoa-Gómez_et_al_2019","ENP-1598","Avicennia germinans","Genus species"
"Ochoa-Gómez_et_al_2019","ENP-1599","Laguncularia racemosa","Genus species"
"Ochoa-Gómez_et_al_2019","ENP-1600","Rhizophora mangle","Genus species"
"Ochoa-Gómez_et_al_2019","ENP-1601","Avicennia germinans","Genus species"
"Ochoa-Gómez_et_al_2019","ENP-1602","Rhizophora mangle","Genus species"
"Ochoa-Gómez_et_al_2019","ENP-1603","Avicennia germinans","Genus species"
"Ochoa-Gómez_et_al_2019","ENP-1604","Rhizophora mangle","Genus species"
"ESA_et_al_2022","SDC-1673","Zostera marina","Genus species"
"ESA_et_al_2022","SDC-1674","Zostera marina","Genus species"
"ESA_et_al_2022","SDC-1675","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1676","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1677","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1678","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1679","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1680","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1681","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1682","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1683","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1684","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1685","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1686","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1687","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1688","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1689","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1690","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1691","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1692","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1693","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1694","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1695","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1696","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1703","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1704","Zostera marina","Genus species"
"ESA_et_al_2022","SDB-1705","Zostera marina","Genus species"
