study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_notes,delta_c13
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,65,67,NA,0.1602547770700637,0.7269829002028803,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,70,72,NA,0.1712838869295152,1.59268417462483,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,75,77,NA,0.1776933199978944,0.7552553752697624,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,80,82,NA,0.1684034321208612,0.7589126559714809,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,85,87,NA,0.1638869295151866,0.6960762077568609,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,90,92,NA,0.13266094646523136,0.6577087514178531,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,95,97,NA,0.11139864189082488,0.6883106735427406,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,0,2,NA,0.02623572142969942,0.6317260656883285,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,5,7,NA,0.1563299468337106,0.6958245570561278,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,10,12,NA,0.13532031373374745,0.6718316035667317,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,15,17,NA,0.12475864610201612,0.630105017502917,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,20,22,NA,0.22160972785176605,0.42889344262294904,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,25,27,NA,0.298063904827078,0.3535734799376389,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,30,32,NA,0.30432805179765227,0.34203622735790096,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,35,37,NA,0.3657777543822709,0.3218063044379924,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,40,42,NA,0.2495657209033005,0.4439928698752216,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,45,47,NA,0.22807811759751545,0.3846153846153843,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,50,52,NA,0.27861662367742274,0.4016550610556057,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,55,57,NA,0.21234931831341788,0.5305469783855289,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,60,62,NA,0.18927409590988048,0.5055498340771247,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,70,72,NA,0.15849660472706217,0.5737255390751573,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,75,77,NA,0.18332578828236035,0.5275829219710766,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,80,82,NA,0.13987892825182924,0.36474847085257694,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,85,87,NA,0.11189135126598936,0.4679452548172155,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,90,92,NA,0.132279833657946,0.4815432098765434,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,95,97,NA,0.15332736747907566,0.4128845648172498,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_12,Karboski_2020,100,102,NA,0.09612254566510502,0.5659671166956295,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,0,2,NA,0.08686424172237722,0.6089124668435002,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,5,7,NA,0.2075759330420593,0.598015336039694,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,10,12,NA,0.16632520924356478,0.6225870646766194,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,15,17,NA,0.12511659735747752,0.5261178861788622,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,20,22,NA,0.30018634521240195,0.29737875605077924,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,25,27,NA,0.4421961362320366,0.2608468374281221,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,30,32,NA,0.4437605937779649,0.2289058524173013,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,35,37,NA,0.6470558509238301,0.18021892103205592,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,40,42,NA,0.4037290098436596,0.27633030637359024,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,45,47,NA,0.29740695899352526,0.28144786829886004,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,50,52,NA,0.4981439174606518,0.26480805975334315,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,55,57,NA,0.3302563562667789,0.3717895608947792,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,60,62,NA,0.26511343896404693,0.3738121436430922,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,65,67,NA,0.23418223930094223,0.4741883444242783,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,70,72,NA,0.22439964204874452,0.6170706006322452,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,75,77,NA,0.22700215823551084,0.6859908303616921,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,80,82,NA,0.18964468073906407,0.6765220774168462,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,85,87,NA,0.17242722535137128,0.7243895024825222,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,90,92,NA,0.12068010738537664,0.7110749808722272,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,95,97,NA,0.178070221613939,0.22990886495443147,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_13,Karboski_2020,100,102,NA,0.1739200926462073,0.73672462406015,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,0,2,NA,0.00947518029162499,0.3333333333333307,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,5,7,NA,0.13770595357161658,0.3877551020408129,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,10,12,NA,0.1981365478759804,0.31944444444444553,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,15,17,NA,0.19729430962783595,0.38983050847457706,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,20,22,NA,0.16234142232984156,0.5087719298245659,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,25,27,NA,0.10801705532452492,0.5479452054794547,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,30,32,NA,0.11749223561614992,0.6086956521739144,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,35,37,NA,0.21350739590461656,0.6379310344827583,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,40,42,NA,0.15455071853450544,0.5270270270270265,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,45,47,NA,0.1861346528399221,0.5616438356164383,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,50,52,NA,0.1819234615991999,0.5599999999999999,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,55,57,NA,0.2366689477285887,0.48031496062992096,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,60,62,NA,0.15412959941043322,0.41139240506329067,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,65,67,NA,0.22950992261936096,0.3846153846153841,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,70,72,NA,0.22803600568510815,0.33812949640287676,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,75,77,NA,0.2377217455387693,0.33944954128440136,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,80,82,NA,0.29352002947833866,0.3690476190476197,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,85,87,NA,0.29731010159498866,0.31609195402298856,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,90,92,NA,0.19076696320471653,0.32051282051282004,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,95,97,NA,0.27793862188766644,0.2638036809815945,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_1,Karboski_2020,100,102,NA,0.24698636626835815,0.1780104712041884,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,0,2,NA,0.09336050955414014,0.4485609628466779,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,5,7,NA,0.13864203821656051,0.4833384286151032,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,10,12,NA,0.19553121019108277,0.4459262143482897,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,15,17,NA,0.1608127388535032,0.4475365903937337,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,20,22,NA,0.18369171974522297,0.4211824997627407,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,25,27,NA,0.16961273885350317,0.4480321915791549,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,30,32,NA,0.18548535031847135,0.49586034912718463,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,35,37,NA,0.2176,0.5196579607770243,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,40,42,NA,0.27051974522292993,0.511554192229041,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,45,47,NA,0.280540127388535,0.4742950615360666,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,50,52,NA,0.38738343949044585,0.3588601959038293,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,55,57,NA,0.564947770700637,0.2548952835007677,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,60,62,NA,0.6324535031847134,0.1459797033567532,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,65,67,NA,0.6222496815286624,0.11795566085632264,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,70,72,NA,0.4938547770700637,0.15927664753955806,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,75,77,NA,0.49668280254777064,0.17415552983268628,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,80,82,NA,0.5099210191082802,0.1360237816412935,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,85,87,NA,0.4666191082802548,0.1395434462444788,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,90,92,NA,0.5810012738853504,0.14444686886319075,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,95,97,NA,0.5012535031847134,0.17654794520548042,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_10,Karboski_2020,100,102,NA,0.2465834394904459,0.1838222530810624,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,0,2,NA,0.07345791440753803,0.2104603820858117,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,5,7,NA,0.3761730799599937,0.25052886068298724,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,10,12,NA,0.3120766436805812,0.06692615826468118,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,15,17,NA,0.3334484392272464,0.2527920962199305,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,20,22,NA,0.2324872348265515,0.29001999077348617,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,25,27,NA,0.22320366373637943,0.4095354523227378,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,30,32,NA,0.15975364531241776,0.4307248236048739,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,35,37,NA,0.17355371900826447,0.4909865617830256,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,40,42,NA,0.20155182397220617,0.5446149667255192,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,45,47,NA,0.13043112070326893,0.5131679877269228,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,50,52,NA,0.18597883876401536,0.559958016268696,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,55,57,NA,0.17103963783755333,0.5034945485043301,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,60,62,NA,0.34570300573774804,0.27073105418191645,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,65,67,NA,0.40705374532820976,0.21163166397415176,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,70,72,NA,0.19377585934621255,0.4311083894672398,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,75,77,NA,0.15980628520292678,0.4932362122788751,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,80,82,NA,0.2117534347528557,0.2345964263709184,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,85,87,NA,0.4764015370848028,0.10107705053852512,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,90,92,NA,0.39006579986313633,0.1534478700870791,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_2,Karboski_2020,95,97,NA,0.4051881876085698,0.1096345514950163,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,0,2,NA,0.134534345501812,0.257980697847072,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,5,7,NA,0.14527576825854288,0.27712952158693266,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,10,12,NA,0.1356993159846192,0.35390290100687916,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,15,17,NA,0.2925063174967114,0.3551833670228113,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,20,22,NA,0.12444451640495637,0.5268389662027835,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,25,27,NA,0.14272862940630338,0.5566021579037526,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,30,32,NA,0.18109367428925935,0.5487040133779263,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,35,37,NA,0.20856920694733108,0.521114106019769,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,40,42,NA,0.17789494177714468,0.5289429897539184,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,45,47,NA,0.2195574454843177,0.4617117117117095,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,50,52,NA,0.32136401852421537,0.2986767485822308,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Sprague_2020_3,Karboski_2020,55,57,NA,0.3816068141690423,0.190445448676566,NA,NA,NA
