study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,depth_interval_notes,method_id,cs137_unit
Piazza_et_al_2020,CRMS0135,0135_1,30,32,0.6328,0.056536,0.011505,14.6869,0.9283,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,32,34,0.2032,0.30396,0.072781,57.5369,3.8288,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,34,36,0.2175,0.26458,0.097842,37.5489,2.6616,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,36,38,0.2305,0.21128699999999995,0.075258,18.5044,3.5491,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,38,40,0.2389,0.218978,0.077095,11.969,3.2379,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,40,42,0.2609,0.207424,0.075208,9.419,2.1318,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,42,44,0.2871,0.18583300000000005,0.062692,4.6949,1.9372,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,0,2,0.2793,0.172759,0.019302,-0.4207,4.3275,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,2,4,0.7432,0.159771,0.020426,-1.3529,1.191,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,4,6,0.3069,0.220212,0.030939,2.5689,3.6558,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,6,8,0.1742,0.28057200000000004,0.064704,8.505,6.6049,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,8,10,0.1752,0.288594,0.057629,4.4569,4.9576,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,10,12,0.1514,0.34931199999999996,0.136717,3.1541,7.7801,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,12,14,0.1742,0.314739,0.086684,3.8677,6.5048,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,14,16,0.131,0.379113,0.129336,21.7777,6.3628,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,16,18,0.1714,0.353176,0.119232,11.6284,4.9621,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,18,20,0.1931,0.302318,0.091021,6.4663,6.2176,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,20,22,0.1661,0.372071,0.15135400000000002,14.4875,5.1224,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,22,24,0.2258,0.26276299999999997,0.080861,23.2014,5.5169,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,24,26,0.3836,0.132981,0.033749,15.0116,3.2799,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,26,28,0.6638,0.049676,0.009929,8.932,1.3592,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,28,30,0.1908,0.304672,0.054314,55.6662,4.864,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,30,32,0.1523,0.408293,0.141994,66.0005,5.6975,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,32,34,0.1902,0.269527,0.109301,20.5086,5.9817,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,34,36,0.2481,0.157927,0.069995,17.3103,5.0321,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,36,38,0.2931,0.16379100000000002,0.056511,7.9177,4.9557,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,38,40,0.1945,0.247916,0.100395,11.9329,7.4688,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,40,42,0.2012,0.239464,0.08731299999999999,8.6292,4.4427,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_2,42,44,0.275,0.17697,0.072341,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0135,0135_2,44,46,0.397,0.115841,0.041602,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0135,0135_2,46,48,0.4044,0.119393,0.04012699999999999,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0147,0147_1,0,2,0.2712,0.149708,0.035653,2.7816,1.2387,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,2,4,0.5328,0.15618,0.03384,3.6573,0.5325,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,4,6,0.249,0.240956,0.081938,5.8096,1.4889,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,6,8,0.2664,0.26637299999999997,0.071034,6.2874,1.3746,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,8,10,0.2798,0.270963,0.098799,5.1897,1.0139,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,10,12,0.2595,0.270661,0.061672,7.3741,1.3621,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,12,14,0.2443,0.251323,0.06681,9.4772,1.4932,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,14,16,0.2492,0.229792,0.072623,12.132,1.0335,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,16,18,0.2878,0.180163,0.05148,13.6994,1.3158,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,18,20,0.4288,0.126587,0.048974,8.7694,0.9744,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,20,22,0.4343,0.111406,0.02418,17.5977,1.0098,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,22,24,0.263,0.235406,0.073636,17.7494,1.653,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,24,26,0.2915,0.200834,0.060112,8.1466,1.3044,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,26,28,0.2881,0.232099,0.07854599999999999,7.0193,1.2702,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,28,30,0.2602,0.19079999999999997,0.063301,5.3564,1.3583,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,30,32,0.2123,0.277341,0.106905,2.0044,1.2484,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,32,34,0.1731,0.333904,0.111951,3.0617,2.0536,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,34,36,0.1965,0.300568,0.130711,0.2232,1.9714,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,36,38,0.3576,0.17215499999999995,0.046876,1.9207,0.7516,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,38,40,0.4749,0.106853,0.028001,0.9597,0.8345,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_1,40,42,0.2722,0.200183,0.069612,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0147,0147_1,42,44,0.1915,0.197421,0.098617,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0147,0147_1,44,46,0.2192,0.26796600000000004,0.111482,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0147,0147_1,46,48,0.1909,0.308373,0.180792,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0147,0147_1,48,50,0.1843,0.34675100000000003,0.167032,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0147,0147_1,50,52,0.1812,0.337174,0.179105,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0147,0147_2,0,2,0.4795,0.132411,0.050887,6.8673,2.2412,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,2,4,0.5512,0.16267700000000002,0.075961,2.9309,1.559,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,4,6,0.6306,0.13505599999999998,0.06954500000000001,3.547,1.8529,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,6,8,0.5524,0.149174,0.056527,1.356,2.1471,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,8,10,0.5553,0.130929,0.069635,4.0547,1.5785,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,10,12,0.5452,0.13122899999999998,0.054348,2.6728,2.0817,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,12,14,0.5575,0.105263,0.0632,4.1527,2.2596,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,14,16,0.6759,0.08985900000000001,0.048417,3.8227,1.8987,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,16,18,0.4904,0.16065200000000002,0.05533,14.4385,1.8048,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,18,20,0.511,0.139511,0.060695,8.121,2.4396,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,20,22,0.5277,0.133911,0.05881,1.8075,1.6772,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,22,24,0.3254,0.259954,0.096177,0.4525,3.7203,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,24,26,0.5727,0.122762,0.03848,4.9014,2.0088,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,26,28,0.9542,0.07796299999999999,0.022507,1.1402,1.2018,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,28,30,0.3574,0.266886,0.122577,-1.1139,3.1704,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,30,32,0.3633,0.24947,0.120438,-2.0579,2.4127,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0147,0147_2,32,34,0.2844,0.348352,0.158606,5.4276,3.8097,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,0,2,0.1149,0.30506900000000003,0.152088,6.2623,2.2341,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,2,4,0.2632,0.263928,0.085213,5.376,1.0355,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,4,6,0.2072,0.33264499999999997,0.080782,6.4861,1.2071,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,6,8,0.1537,0.371176,0.09609,8.6472,1.6031,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,8,10,0.1388,0.311201,0.121026,11.6431,1.8285,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,10,12,0.1788,0.327963,0.114016,3.1937,1.2733,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,12,14,0.174,0.338045,0.147597,6.4781,1.4157,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,14,16,0.1521,0.411842,0.147974,8.2441,1.6685,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,16,18,0.2026,0.298026,0.098232,11.4808,1.2715,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,18,20,0.1717,0.367133,0.09899,8.8712,1.6307,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,20,22,0.1218,0.45640300000000006,0.142075,16.15,1.9919,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,22,24,0.0993,0.5484709999999999,0.195976,18.016,2.4448,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,24,26,0.1038,0.537868,0.204263,20.6586,3.3428,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,26,28,0.0938,0.486822,0.17569700000000002,74.8613,3.9917,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,28,30,0.1282,0.452962,0.164457,73.5755,3.4343,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,30,32,0.087,0.576522,0.20118099999999997,64.6871,4.2896,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,32,34,0.1095,0.57336,0.233685,46.5274,3.7725,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,34,36,0.0981,0.6737829999999999,0.260957,9.3791,3.4106,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,36,38,0.096,0.689655,0.284588,5.7135,2.6818,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,38,40,0.0933,0.68369,0.282998,10.0759,3.3062,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,40,42,0.1276,0.529602,0.219302,-0.898,2.75,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_1,42,44,0.1578,0.468669,0.171651,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0164,0164_1,44,46,0.1522,0.511649,0.199362,NA,NA,NA,single set of methods,NA
Piazza_et_al_2020,CRMS0164,0164_2,0,2,0.1695,0.304435,0.094942,6.3918,2.2328,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,2,4,0.2378,0.293627,0.06646,3.89,1.7682,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,4,6,0.1784,0.409574,0.115576,4.7364,2.1353,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,6,8,0.1972,0.34798,0.110683,7.767,1.4068,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,8,10,0.1472,0.4218269999999999,0.15145799999999998,5.0007,2.5225,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,10,12,0.1713,0.393361,0.149996,13.8006,2.0027,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,12,14,0.1609,0.400238,0.148293,10.5546,1.7511,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,14,16,0.1472,0.434161,0.13173400000000002,11.2998,1.8615,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,16,18,0.1152,0.478882,0.16251000000000002,22.0012,3.1095,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,18,20,0.0921,0.515157,0.177264,2.4346,4.1623,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,20,22,0.0801,0.5883700000000001,0.188299,0,4.4464,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,22,24,0.0934,0.617479,0.233084,6.5946,4.1609,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,24,26,0.0878,0.620214,0.229693,14.3187,4.1795,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,26,28,0.116,0.5830259999999999,0.232756,20.3382,2.9702,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,28,30,0.1189,0.508369,0.202981,84.0624,3.0507,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,30,32,0.0948,0.625,0.238452,56.2084,4.4437,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,32,34,0.094,0.696039,0.264693,20.746,2.9989,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,34,36,0.1024,0.727859,0.256705,1.2814,3.8443,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,36,38,0.0915,0.7329380000000001,0.250919,0.3553,3.8376,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0164,0164_2,38,40,0.0935,0.7014119999999999,0.264461,11.1504,2.9322,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,0,2,0.0197,0.8417619999999999,0.397887,25.3826,29.588,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,2,4,0.0386,0.876997,0.414525,14.8529,13.9706,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,4,6,0.0653,0.907889,0.426394,3.1295,8.4322,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,6,8,0.0436,0.903654,0.431006,3.5808,12.6955,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,8,10,0.042,0.905691,0.434272,0,0,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,10,12,0.0485,0.91446,0.449684,1.8154,11.8294,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,12,14,0.0413,0.918333,0.441502,0,0,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,14,16,0.0356,0.927022,0.450279,16.0345,15.6356,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,16,18,0.0404,0.916667,0.451501,8.3626,13.7034,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,18,20,0.0404,0.900407,0.454108,22.7687,13.6331,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,20,22,0.0735,0.873578,0.440867,60.0853,7.3369,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_1,22,24,0.079,0.8367319999999999,0.42069,105.5692,7.0068,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0219,0219_2,0,2,0.0443,0.857916,0.411115,14.3481,15.8252,NA,single set of methods,becquerelsPerKilogram
