study_id,site_id,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,vegetation_class
Yamamuro_et_al_1993,Dravuni_Is._Fiji,-18.75,-18.75,178.5,178.5,seagrass
Koch_and_Madden_2001,Eastern_Grand_Bahama,26.621,26.621,-77.828,-77.828,seagrass
Pedersen_et_al_1997,Ebro_Delta,40.6,40.6,0.716666667,0.716666667,seagrass
Mateo_et_al_1997,El_Campello,38.423,38.423,-0.384,-0.384,seagrass
Kamp-Nielsen_et_al_2002,El_Nido,11.197983333333335,11.028183333333333,119.42575,119.38075,seagrass
Mellors_et_al_2002,Ellie_Pt,-16.8773,-16.8773,145.7853,145.7853,seagrass
Gacia_unpublished,Es_Cargol,39.27323333333333,39.27323333333333,3.0412666666666666,3.0412666666666666,seagrass
Calleja_et_al_2007,Es_Castell,39.15266667,39.15266667,2.9305,2.9305,seagrass
Mateo_and_Serrano_unpublished,Es_Pujols,38.728,38.728,1.4594,1.457,seagrass
Boschker_et_al_2000,Europe_1,55.171973,55.171973,10.493102,10.493102,seagrass
Boschker_et_al_2000,Europe_2,44.39,44.39,-1.09,-1.09,seagrass
Boschker_et_al_2000,Europe_3,51.36,51.36,4.06,4.06,seagrass
Gacia_et_al_2002,Fanals_point,40.41,40.41,2.52,2.52,seagrass
Fourqurean_unpublished,Florida_Bay,25.242160000000002,24.913839999999997,-80.44690833333334,-80.95220833333333,seagrass
Fourqurean_et_al_2010,Florida_Keys,25.320370324,24.407508796,-80.06149777299999,-81.899668897,seagrass
Bouillon_et_al_2004,Gazi_bay,-4.22,-4.22,39.3,39.3,seagrass
De_Troch_et_al_2006,Gazi_Bay,-4.394437,-4.661233,39.5223,39.2547,seagrass
Mellors_et_al_2002,Geoffrey_Bay,-19.16745,-19.16745,146.8602,146.8602,seagrass
Spivak_et_al_2009,Goodwin_islands,37.227998888888884,37.21121222222222,-76.38806888900001,-76.39684222100001,seagrass
Holmer_et_al_2007,Greece,37.3945,37.3945,23.58,23.58,unvegetated
Miyajima_et_al_1998,Green_Island_Great_Barrier_Reef,-16.45,-16.45,145.58,145.58,unvegetated
Al-Rousan_et_al_2005,Gulf_of_Aqaba,29.537000000000003,29.453,34.980999999999995,34.969,seagrass
Danovaro_et_al_1994,Gulf_of_Marconi,44.333,44.333,9.233,9.233,seagrass
De_Falco_et_al_2006,Gulf_of_Oristano,39.845,39.845,8.519,8.519,seagrass
Erftemeijer_and_Middelburg_1993,Gusung_Tallang,-5.07,-5.07,119.45,119.45,seagrass
Maher_and_Eyre_2010,Hastings_River,-31.25,-31.25,152.5,152.5,seagrass
Krause-Jensen_et_al_2011,Horsens_Fjord,55.82,55.82,10.14,10.14,seagrass
Mellors_et_al_2002,Horseshoe_Bay,-19.1133,-19.1133,146.8514,146.8514,seagrass
Paula_et_al_2001,Inhaca_Island,-26.02484,-26.06996,33.00546,31.970340000000004,seagrass
Mateo_et_al_1997,Ischia,40.753,40.753,13.9,13.9,seagrass
Amon_and_Herndl_1991,Ischia_Italy,40.7543,40.7543,13.8913,13.8913,seagrass
Burns_and_Swart_1992,Jimmy_Key,25.0462,25.0462,-80.6446,-80.6446,seagrass
Thimdee_et_al_2003,Khung_Krabaen_bay,12.5667,12.5667,101.9,101.9,seagrass
Carruthers_et_al_2005,Laguna_de_Chiriqui_Panama,9.007419,9.007419,-82.023899,-82.023899,seagrass
Gonneea_et_al_2004,Laguna_de_Terminos,18.6297,18.6297,-91.7997,-91.7997,seagrass
Pulich_1985,Laguna_Madre,27.52,27.52,-97.3,-97.3,seagrass
Fonseca_et_al_2011,Lake_Conjola,-35.25,-35.25,150.48333333333332,150.48333333333332,seagrass
Qu_et_al_2006,Lake_Illawara,-34.32,-34.32,150.5,150.5,unvegetated
Eyre_and_Ferguson_2002,Lake_Macquarie,-33.4,-33.4,151.35,151.35,seagrass
Krause-Jensen_et_al_2011,Limfjorden,56.88,56.88,9.07,9.07,seagrass
Krause-Jensen_et_al_2011,Little_Belt_area,55.02,55.02,10,10,seagrass
Lewis_et_al_2007,Little_Duck_Key,24.679,24.679,-81.236,-81.236,seagrass
Lewis_et_al_2007,Little_Sabine_Bay,30.335,30.335,-87.239,-87.239,seagrass
Mellors_et_al_2002,Lugger_Bay,-17.9486,-17.9486,146.1056,146.1056,seagrass
Calleja_et_al_2007,Magalluf,39.50416667,39.50416667,2.543166667,2.543166667,seagrass
Holmer_et_al_2003,Mallorca,39.96797,39.15233,3.210187,2.354383,seagrass
Danovaro_and_Fabiano_1995,Marconi_Gulf,44.3321,44.3321,9.2353,9.2353,seagrass
Mateo_et_al_1997,Medes_Islands,42.046,42.046,3.217,3.217,seagrass
Mateo_unpublished,Melieha_Bay,35.972,35.972,14.3624,14.3624,seagrass
Borg_et_al_2010,Mellieha_Bay,35.58,35.58,14.21,14.21,seagrass
Mellors_et_al_2002,Meunga_Creek,-18.2634,-18.2634,146.0358,146.0358,seagrass
Lillebo_et_al_2006,Mondego_Estuary._Portugal,40.1333,40.1333,8.8333,8.8333,seagrass
De_Iongh_et_al_1995,Nang_Bay,-3.91667,-3.91667,128.8333,128.8333,seagrass
Marba_unpublished,Nefyn,52.93,52.93,-4.57,-4.57,seagrass
Grenz_et_al_2003,Noumea_New_Caledonia,-22,-22,165,165,seagrass
Danovaro_and_Gambi_2002,NW_Marconi,44.2,44.2,9.12,9.12,seagrass
Krause-Jensen_et_al_2011,Odense_Fjord,55.58,55.58,10.53,10.53,seagrass
Lewis_et_al_2007,Ohio_Key,24.674,24.674,-81.242,-81.242,seagrass
Mateo_and_Serrano_unpublished,Oued_Tahaddart,35.5788,35.5788,-5.9897,-5.9897,seagrass
Carruthers_et_al_2005,Outer_Lagoon,9.221818,9.221818,-82.023482,-82.023482,seagrass
Kairis_and_Rybczyk_2010,Padilla_Bay,48.51479,48.51479,-122.52914,-122.52914,seagrass
Leduc_and_Probert_2011,Papanui_Inlet,-45.847435973,-45.847470977,170.71185868,170.71182652000002,unvegetated
Copertino_unpublished,Patos_Lagoon_Estuary,-31.9166652,-32.0866788,-51.9970692,-52.2389028,seagrass
Sfriso_and_Marcomini_1999,Petta_di_Po_-_Venice,45.39,45.39,12.33,12.33,seagrass
Kristensen_et_al_2000,Phuket,8.052366666666668,8.023966666666666,98.43298,98.41522,unvegetated
Fonseca_et_al_2011,Pittwater,-33.583333333333336,-33.583333333333336,151.26666666666668,151.26666666666668,seagrass
Calleja_et_al_2007,Pollença,39.8965,39.8965,2.09205,2.09205,seagrass
Mellors_et_al_2002,Port_Dennison,-20.026,-20.026,148.255,148.255,seagrass
Fonseca_et_al_2011,Port_Hacking,-34.05,-34.05,151.13333333333333,151.13333333333333,seagrass
Mateo_et_al_1997,Portlligat_I,42.294,42.294,3.289,3.289,seagrass
Serrano_unpublished,Portlligat_II,42.293,42.293,3.293,3.293,seagrass
Mateo_and_Serrano_unpublished,Portlligat_III,42.293,42.293,3.293,3.293,seagrass
Calleja_et_al_2007,Porto_Colom,39.41753333,39.41753333,2.269716667,2.269716667,seagrass
Apostolaki_unpublished,Psaromoura_Crete,35.24,35.24,25.01,25.01,seagrass
Kamp-Nielsen_et_al_2002,Puerto_Galera,13.546050000036667,13.499449999996667,120.9734,120.93860000000001,seagrass
De_Troch_et_al_2006,Pujada_Bay,6.885,6.885,126.23,126.23,seagrass
Ooi_et_al_2011,Pulau_Tinggi_Malasia,2.3146778,2.2600442000000003,104.1547526,104.08680140000001,seagrass
De_Troch_et_al_2006,Punta_Allen,19.77,19.77,-87.48,-87.48,seagrass
Borg_et_al_2010,Ramla_Bay,36.03,36.03,14.17,14.17,seagrass
Pulich_1985,Redfish_Bay,27.75,27.75,-97.23,-97.23,seagrass
Oakes_and_Connolly_2004,Redland_Bay,-27.5333,-27.5333,153.31667,153.31667,seagrass
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,40.848608999999996,40.586061,-8.646887,-8.755523,seagrass
Spruzen_et_al_2008,Robbins_Passage,-40.4,-40.4,144.5,144.5,seagrass
Holmer_et_al_2007,Rottnest,-32.00975,-32.00975,115.4928333,115.4928333,seagrass
Alongi_et_al_2008,S_Sulawesi,-4.14,-4.14,119.36,119.36,seagrass
Calleja_et_al_2007,Sa_Paret,39.14683333,39.14683333,2.931,2.931,seagrass
Mateo_unpublished,Saline_Bay,35.96,35.96,14.43,14.43,seagrass
Lewis_et_al_2007,Santa_Rosa_Sound,30.393600000000003,30.182399999999998,-87.0032,-87.10879999999999,seagrass
Mateo_and_Serrano_unpublished,Santander_Bay,43.4392,43.4392,-3.7749,-3.7749,seagrass
Lee_et_al_2005,Seungbong_Island,37.15,37.15,126.2833,126.2833,NA
Fourqurean_and_Kendrick_unpublished,Shark_Bay,-25.718145,-26.026965,114.26608599999999,113.894974,seagrass
Holmer_et_al_2007,Sicily,36.71183333,36.71183333,15.14066667,15.14066667,seagrass
Holmer_et_al_2007,Sounion,37.686743337,37.363023333,23.992316663,23.542516666999997,seagrass
Holmer_et_al_2007,Spain,38.4208,38.4208,-0.3477,-0.3477,unvegetated
Lewis_et_al_2007,St_Joseph_Bay,29.868,29.868,-85.366,-85.366,seagrass
Grady_1981,St._Andrews_Bay_Florida_USA,30.174300000000002,30.0867,-85.6105,-85.7365,seagrass
Calleja_et_al_2007,Sta_Maria_,39.15116667,39.15116667,2.948666667,2.948666667,seagrass
Mateo_et_al_1997,Tabarca_North,38.167,38.167,-0.476,-0.476,seagrass
Mateo_et_al_1997,Tabarca_South,38.162,38.162,-0.473,-0.473,seagrass
Mateo_and_Serrano_unpublished,Talamanca,38.9118,38.9118,1.4583,1.4583,seagrass
Povidisa_and_Delefosse_unpublished,Thailand,7.50765,7.50765,99.3033,99.3033,seagrass
Rigollet_et_al_2004,Thau_lagoon,43.423,43.423,3.643,3.643,seagrass
Borg_et_al_2010,Thomas_Bay,35.51,35.51,14.33,14.33,seagrass
Kamp-Nielsen_et_al_2002,Trang,7.31625,7.18325,99.57376666666666,99.38056666666667,seagrass
Krause-Jensen_et_al_2011,Vejle_Fjord,55.64,55.64,9.87,9.87,seagrass
Rigollet_et_al_2004,Venice_lagoon,45.233,45.233,12.26,12.26,seagrass
Mateo_unpublished,Villajoyosa,38.504,38.504,-0.226,-0.226,seagrass
McGlathery_et_al_2012,Virginia_Coastal_Bays,37.2750858,37.2359322,-75.807667734,-75.86603820600001,unvegetated
Maher_and_Eyre_2010,Wallis_Lake,-32.15,-32.15,152.28,152.28,seagrass
Fourqurean_and_Kendrick_unpublished,Western_Australia,-31.989966666666668,-31.989966666666668,116.91666666666667,116.91666666666667,seagrass
Borg_et_al_2010,White_Rocks,35.56,35.56,14.28,14.28,seagrass
Mellors_et_al_2002,Windy_Point,-19.784300000000002,-19.784300000000002,147.7543,147.7543,seagrass
Holmer_et_al_2007,Woodman_Point,-32.13566667,-32.13566667,115.7405,115.7405,seagrass
Larned_2003,Yaquina_Bay_Oregon,44.620625,44.598125,-123.99692166666667,-124.03386166666667,seagrass
