study_id,site_id,core_id,position_method,position_notes,habitat,latitude,longitude
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_5,NA,NA,seagrass,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_6,NA,NA,seagrass,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_7,NA,NA,seagrass,37.39,23.58
Apostolaki_unpublished,Psaromoura_Crete,Apostolaki_unpublished_8,NA,NA,seagrass,35.24,25.01
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_1,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_10,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_11,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_12,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_2,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_3,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_4,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_5,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_6,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_7,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_8,NA,NA,seagrass,40.6,0.716666667
Barron_et_al_2004,Ebro_Delta,Barron_et_al_2004_9,NA,NA,seagrass,40.6,0.716666667
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_1,NA,NA,seagrass,36.03,14.17
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_10,NA,NA,seagrass,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_11,NA,NA,seagrass,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_12,NA,NA,seagrass,35.58,14.21
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_13,NA,NA,seagrass,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_14,NA,NA,seagrass,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_15,NA,NA,seagrass,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_16,NA,NA,seagrass,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_17,NA,NA,seagrass,35.56,14.28
Borg_et_al_2010,White_Rocks,Borg_et_al_2010_18,NA,NA,seagrass,35.56,14.28
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_19,NA,NA,seagrass,35.51,14.33
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_2,NA,NA,seagrass,36.03,14.17
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_20,NA,NA,seagrass,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_21,NA,NA,seagrass,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_22,NA,NA,seagrass,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_23,NA,NA,seagrass,35.51,14.33
Borg_et_al_2010,Thomas_Bay,Borg_et_al_2010_24,NA,NA,seagrass,35.51,14.33
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_3,NA,NA,seagrass,36.03,14.17
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_4,NA,NA,seagrass,36.03,14.17
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_5,NA,NA,seagrass,36.03,14.17
Borg_et_al_2010,Ramla_Bay,Borg_et_al_2010_6,NA,NA,seagrass,36.03,14.17
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_7,NA,NA,seagrass,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_8,NA,NA,seagrass,35.58,14.21
Borg_et_al_2010,Mellieha_Bay,Borg_et_al_2010_9,NA,NA,seagrass,35.58,14.21
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_1,NA,NA,seagrass,55.171973,10.493102
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_10,NA,NA,unvegetated,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_11,NA,NA,unvegetated,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_12,NA,NA,unvegetated,44.39,-1.09
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_2,NA,NA,seagrass,55.171973,10.493102
Boschker_et_al_2000,Europe_3,Boschker_et_al_2000_3,NA,NA,seagrass,51.36,4.06
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_4,NA,NA,seagrass,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_5,NA,NA,seagrass,44.39,-1.09
Boschker_et_al_2000,Europe_2,Boschker_et_al_2000_6,NA,NA,seagrass,44.39,-1.09
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_7,NA,NA,unvegetated,55.171973,10.493102
Boschker_et_al_2000,Europe_1,Boschker_et_al_2000_8,NA,NA,unvegetated,55.171973,10.493102
Boschker_et_al_2000,Europe_3,Boschker_et_al_2000_9,NA,NA,unvegetated,51.36,4.06
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_1,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_10,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_11,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_12,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_13,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_14,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_15,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_16,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_17,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_18,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_2,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_3,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_4,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_5,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_6,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_7,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_8,NA,NA,seagrass,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_9,NA,NA,seagrass,-4.22,39.3
Burns_and_Swart_1992,Jimmy_Key,Burns_and_Swart_1992_1,NA,NA,seagrass,25.0462,-80.6446
Buzzelli_1998,Goodwin_islands,Buzzelli_1998_1,NA,NA,unvegetated,37.21261111111111,-76.39611111
Buzzelli_1998,Goodwin_islands,Buzzelli_1998_2,NA,NA,seagrass,37.21261111111111,-76.39611111
Buzzelli_1998,Goodwin_islands,Buzzelli_1998_3,NA,NA,seagrass,37.21261111111111,-76.39611111
Calleja_et_al_2007,Es_Castell,Calleja_et_al_2007_1,NA,NA,seagrass,39.15266667,2.9305
Calleja_et_al_2007,Sa_Paret,Calleja_et_al_2007_2,NA,NA,seagrass,39.14683333,2.931
Calleja_et_al_2007,Sta_Maria_,Calleja_et_al_2007_3,NA,NA,seagrass,39.15116667,2.948666667
Calleja_et_al_2007,Magalluf,Calleja_et_al_2007_4,NA,NA,seagrass,39.50416667,2.543166667
Calleja_et_al_2007,Pollença,Calleja_et_al_2007_5,NA,NA,seagrass,39.8965,2.09205
Calleja_et_al_2007,Cala_Millor,Calleja_et_al_2007_6,NA,NA,seagrass,39.60063333,2.390166667
Calleja_et_al_2007,Porto_Colom,Calleja_et_al_2007_7,NA,NA,seagrass,39.41753333,2.269716667
Carruthers_et_al_2005,Bahia_Almirante,Carruthers_et_al_2005_1,NA,NA,seagrass,9.331773,-82.319068
Carruthers_et_al_2005,Laguna_de_Chiriqui_Panama,Carruthers_et_al_2005_2,NA,NA,seagrass,9.007419,-82.023899
Carruthers_et_al_2005,Outer_Lagoon,Carruthers_et_al_2005_3,NA,NA,seagrass,9.221818,-82.023482
Copertino_unpublished,Patos_Lagoon_Estuary,Copertino_unpublished_1,NA,NA,seagrass,-32.072511,-52.110452
Copertino_unpublished,Patos_Lagoon_Estuary,Copertino_unpublished_2,NA,NA,seagrass,-31.971358,-52.186428
Copertino_unpublished,Patos_Lagoon_Estuary,Copertino_unpublished_3,NA,NA,seagrass,-32.071389,-52.21875
Copertino_unpublished,Patos_Lagoon_Estuary,Copertino_unpublished_4,NA,NA,seagrass,-32.02895,-52.129969
Copertino_unpublished,Patos_Lagoon_Estuary,Copertino_unpublished_5,NA,NA,seagrass,-31.930833,-52.017222
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_1,NA,NA,seagrass,27.344,-97.6416
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_2,NA,NA,seagrass,27.2738,-97.607
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_3,NA,NA,seagrass,27.25,-97.615
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_4,NA,NA,seagrass,27.281,-97.42
Danovaro_1996,NW_Marconi,Danovaro_1996_1,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_10,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_11,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_12,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_13,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_14,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_15,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_2,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_3,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_4,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_5,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_6,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_7,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_8,NA,NA,seagrass,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_9,NA,NA,seagrass,44.2,9.12
Danovaro_and_Fabiano_1995,Marconi_Gulf,Danovaro_and_Fabiano_1995_1,NA,NA,seagrass,44.3321,9.2353
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_1,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_10,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_11,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_12,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_13,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_2,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_3,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_4,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_5,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_6,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_7,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_8,NA,NA,seagrass,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_9,NA,NA,seagrass,44.2,9.12
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_1,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_10,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_11,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_12,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_13,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_14,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_15,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_16,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_17,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_18,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_2,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_3,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_4,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_5,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_6,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_7,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_8,NA,NA,seagrass,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_9,NA,NA,seagrass,44.333,9.233
De_Falco_et_al_2006,Gulf_of_Oristano,De_Falco_et_al_2006_1,NA,NA,seagrass,39.845,8.519
De_Falco_et_al_2006,Gulf_of_Oristano,De_Falco_et_al_2006_2,NA,NA,unvegetated,39.845,8.519
De_Falco_et_al_2006,Gulf_of_Oristano,De_Falco_et_al_2006_3,NA,NA,unvegetated,39.845,8.519
De_Iongh_et_al_1995,Nang_Bay,De_Iongh_et_al_1995_1,NA,NA,seagrass,-3.91667,128.8333
De_Iongh_et_al_1995,Nang_Bay,De_Iongh_et_al_1995_2,NA,NA,seagrass,-3.91667,128.8333
De_Iongh_et_al_1995,Nang_Bay,De_Iongh_et_al_1995_3,NA,NA,seagrass,-3.91667,128.8333
De_Troch_et_al_2006,Punta_Allen,De_Troch_et_al_2006_1,NA,NA,seagrass,19.77,-87.48
De_Troch_et_al_2006,Pujada_Bay,De_Troch_et_al_2006_2,NA,NA,seagrass,6.885,126.23
De_Troch_et_al_2006,Gazi_Bay,De_Troch_et_al_2006_3,NA,NA,seagrass,-4.639,39.277
De_Troch_et_al_2006,Gazi_Bay,De_Troch_et_al_2006_4,NA,NA,seagrass,-4.639,39.277
De_Troch_et_al_2006,Gazi_Bay,De_Troch_et_al_2006_5,NA,NA,seagrass,-4.639,39.277
Devereux_et_al_2011,Santa_Rosa_Sound,Devereux_et_al_2011_1,NA,NA,seagrass,30.2,-87.1
Erftemeijer_and_Middelburg_1993,Barrang_Lompo,Erftemeijer_and_Middelburg_1993_1,NA,NA,seagrass,-5.05,119.333
Erftemeijer_and_Middelburg_1993,Gusung_Tallang,Erftemeijer_and_Middelburg_1993_2,NA,NA,seagrass,-5.07,119.45
Eyre_and_Ferguson_2002,Lake_Macquarie,Eyre_and_Ferguson_2002_1,NA,NA,seagrass,-33.4,151.35
Eyre_and_Ferguson_2002,Lake_Macquarie,Eyre_and_Ferguson_2002_2,NA,NA,unvegetated,-33.4,151.35
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_1,NA,NA,seagrass,40.60794,-8.74647
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_10,NA,NA,unvegetated,40.712687,-8.682124
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_11,NA,NA,seagrass,40.722864,-8.690784
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_12,NA,NA,unvegetated,40.722864,-8.690784
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_13,NA,NA,unvegetated,40.72316,-8.6723
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_14,NA,NA,seagrass,40.72502,-8.65594
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_15,NA,NA,unvegetated,40.738167,-8.684889
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_16,NA,NA,seagrass,40.75454,-8.699355
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_17,NA,NA,unvegetated,40.75454,-8.699355
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_18,NA,NA,unvegetated,40.781311,-8.682981
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_19,NA,NA,seagrass,40.790744,-8.661918
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_2,NA,NA,unvegetated,40.60794,-8.74647
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_20,NA,NA,unvegetated,40.790744,-8.661918
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_21,NA,NA,seagrass,40.82673,-8.664233
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_3,NA,NA,seagrass,40.6381,-8.73714
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_4,NA,NA,unvegetated,40.6381,-8.73714
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_5,NA,NA,seagrass,40.65486,-8.6986
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_6,NA,NA,unvegetated,40.65486,-8.6986
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_7,NA,NA,seagrass,40.696148,-8.67679
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_8,NA,NA,unvegetated,40.696148,-8.67679
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_9,NA,NA,seagrass,40.712687,-8.682124
Fonseca_et_al_2011,Lake_Conjola,Fonseca_et_al_2011_1,NA,NA,seagrass,-35.25,150.48333333333332
Fonseca_et_al_2011,Lake_Conjola,Fonseca_et_al_2011_2,NA,NA,unvegetated,-35.25,150.48333333333332
Fonseca_et_al_2011,Port_Hacking,Fonseca_et_al_2011_3,NA,NA,seagrass,-34.05,151.13333333333333
Fonseca_et_al_2011,Port_Hacking,Fonseca_et_al_2011_4,NA,NA,unvegetated,-34.05,151.13333333333333
Fonseca_et_al_2011,Pittwater,Fonseca_et_al_2011_5,NA,NA,seagrass,-33.583333333333336,151.26666666666668
Fonseca_et_al_2011,Pittwater,Fonseca_et_al_2011_6,NA,NA,unvegetated,-33.583333333333336,151.26666666666668
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_1,NA,NA,seagrass,-25.78442,114.08992
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_10,NA,NA,seagrass,-25.91903,113.97392
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_11,NA,NA,seagrass,-25.89581,113.997
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_12,NA,NA,seagrass,-25.87656,114.03211
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_13,NA,NA,seagrass,-25.86883,114.07194
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_14,NA,NA,seagrass,-25.85662,114.10688
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_15,NA,NA,seagrass,-25.98638,113.9259
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_16,NA,NA,seagrass,-25.93783,113.93635
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_17,NA,NA,seagrass,-25.88895,113.93395
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_18,NA,NA,seagrass,-25.87218,113.95502
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_19,NA,NA,seagrass,-25.90625,113.95463
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_2,NA,NA,seagrass,-25.80243,114.1184
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_20,NA,NA,seagrass,-25.95167,114.00587
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_21,NA,NA,seagrass,-25.87061,114.00569
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_22,NA,NA,seagrass,-25.97889,114.09544
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_23,NA,NA,seagrass,-25.95217,114.03541
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_24,NA,NA,seagrass,-25.93385,114.06549
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_25,NA,NA,seagrass,-25.95196,114.09554
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_26,NA,NA,seagrass,-25.92518,114.1248
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_27,NA,NA,seagrass,-25.92471,114.14544
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_28,NA,NA,seagrass,-25.87136,114.15512
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_29,NA,NA,seagrass,-25.88006,114.19559
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_3,NA,NA,seagrass,-25.83033,114.1376
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_30,NA,NA,seagrass,-25.87453,114.21507
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_31,NA,NA,seagrass,-25.90684,114.20526
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_32,NA,NA,seagrass,-25.89887,114.23445
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_33,NA,NA,seagrass,-25.91652,114.23516
