study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_sd,total_pb210_activity,total_pb210_activity_sd,ra226_activity,ra226_activity_sd,pb210_unit,cs137_unit
Smith_et_al_2015,09WCC01_02,6,8,0.2782,0.265,NA,NA,2.45,0.05,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,8,10,0.1467,0.547,0.34,0.1,3.09,0.07,1.33,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,10,12,0.1293,0.5755,0.36,0.08,2.75,0.07,0.68,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,12,14,0.1251,0.5832,0.83,0.11,2.11,0.06,0.59,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,14,16,0.1762,0.4361,2.76,0.3,3.82,0.08,0.78,0.15,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,16,18,0.3857,0.1697,9.32,0.27,2.19,0.05,0.93,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,18,20,0.3567,0.18489999999999998,3.63,0.16,1.47,0.03,1.23,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,20,22,0.1977,0.4022,1.91,0.14,1.39,0.04,1.32,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,22,24,0.2242,0.3502,1.01,0.12,1.04,0.03,1,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,24,26,0.3547,0.1805,0.26,0.16,1.14,0.03,1.12,0.2,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,26,28,0.304,0.2238,0.21,0.08,1.08,0.03,1.29,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,28,30,0.2873,0.2575,NA,NA,1.05,0.03,1.2,0.19,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,30,32,0.2834,0.25,NA,NA,1,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,32,34,0.2574,0.2822,NA,NA,0.8,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,34,36,0.3795,0.18899999999999997,NA,NA,0.59,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,36,38,0.3242,0.2536,NA,NA,0.71,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,38,40,0.3238,0.2866,NA,NA,0.55,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,40,42,0.214,0.4115,NA,NA,0.7,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,42,44,0.2187,0.4285,NA,NA,1.1,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,44,46,0.4961,0.17309999999999998,NA,NA,1.09,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,0,2,0.3915,0.1466,NA,NA,3.37,0.07,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,2,4,0.3874,0.1524,NA,NA,4.45,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,4,6,0.4752,0.1209,NA,NA,4.16,0.09,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,6,8,0.603,0.0967,NA,NA,3.48,0.07,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,8,10,0.5753,0.08800000000000001,NA,NA,3.24,0.07,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,10,12,0.3148,0.2113,NA,NA,4.78,0.09,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,12,14,0.2877,0.3132,NA,NA,3.56,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,14,16,0.2648,0.2953,0.42,0.07,2.72,0.08,1.03,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,16,18,0.275,0.29109999999999997,0.57,0.14,2.25,0.05,1.37,0.17,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,18,20,0.3286,0.2084,0.67,0.09,1.95,0.04,1.26,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,20,22,0.3623,0.1759,0.88,0.08,2.14,0.05,1.52,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,22,24,0.352,0.1857,2.06,0.14,1.79,0.04,1.52,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,24,26,0.3608,0.1743,1.42,0.11,1.87,0.05,1.3,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,26,28,0.3916,0.1533,0.56,0.09,2.13,0.05,1.34,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,28,30,0.4313,0.1583,0.43,0.08,2.05,0.05,1.23,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,30,32,0.4648,0.1661,0.19,0.08,1.93,0.04,1.15,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,32,34,0.4886,0.1583,NA,NA,1.58,0.04,1.22,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,34,36,0.4532,0.1472,NA,NA,1.45,0.04,1.11,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,36,38,0.4598,0.1476,NA,NA,1.06,0.03,1.15,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,38,40,0.4441,0.1461,NA,NA,1.01,0.03,1.24,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,40,42,0.4547,0.1575,NA,NA,1.05,0.02,1.31,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,42,44,0.4812,0.1446,NA,NA,1,0.03,1.37,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_03,44,46,0.5534,0.115,NA,NA,0.92,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,0,2,0.4721,0.1003,NA,NA,3.79,0.11,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,2,4,0.4,0.1493,NA,NA,4.09,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,4,6,0.5395,0.1399,NA,NA,4.37,0.11,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,6,8,0.5419,0.0999,NA,NA,4.34,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,8,10,0.5723,0.08449999999999999,NA,NA,3.62,0.07,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,10,12,0.6031,0.0852,NA,NA,3.39,0.1,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,12,14,0.552,0.1032,NA,NA,4.68,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,14,16,0.3233,0.2377,0.31,0.07,6.49,0.11,1.41,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,16,18,0.3015,0.2702,0.35,0.07,5.65,0.13,1.27,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,18,20,0.3623,0.2682,0.38,0.05,3.81,0.09,1.46,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,20,22,0.3402,0.212,0.37,0.08,3.04,0.08,1.6,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,22,24,0.3753,0.2531,0.5,0.07,2.75,0.07,1.33,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,24,26,0.4149,0.15109999999999998,0.78,0.1,2.19,0.05,1.28,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,26,28,0.4724,0.1313,1.11,0.1,1.7,0.04,1.3,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,28,30,0.4022,0.1801,1.81,0.13,2.76,0.06,1.31,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,30,32,0.4265,0.1583,2.42,0.13,2.24,0.05,1.68,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,32,34,0.4692,0.1464,1.97,0.14,2.16,0.07,1.33,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,34,36,0.4612,0.18170000000000003,1.32,0.12,2.15,0.06,1.33,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,36,38,0.3608,0.2361,1.42,0.14,2.42,0.05,1.32,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,38,40,0.3718,0.2198,0.62,0.08,2.1,0.05,1.06,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,40,42,0.3983,0.1935,0.16,0.08,1.93,0.06,1.12,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,42,44,0.4474,0.16510000000000002,0.07,0.06,1.97,0.06,1.2,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,44,46,0.5234,0.1753,NA,NA,1.33,0.04,1.38,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,46,48,0.5172,0.12539999999999998,NA,NA,1.24,0.03,1.31,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,48,50,0.5156,0.1039,NA,NA,1.14,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,50,52,0.5236,0.12179999999999999,NA,NA,1.07,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,52,54,0.5418,0.12960000000000002,NA,NA,1.04,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_04,54,56,0.5474,0.133,NA,NA,1.16,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,0,2,0.3104,0.2345,NA,NA,4.06,0.11,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,2,4,0.4154,0.1934,NA,NA,4.11,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,4,6,0.5009,0.12269999999999999,NA,NA,3.4,0.07,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,6,8,0.5364,0.1108,NA,NA,3.23,0.06,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,8,10,0.3686,0.146,NA,NA,4.49,0.1,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,10,12,0.3168,0.1555,NA,NA,5.18,0.1,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,12,14,0.2757,0.2189,NA,NA,5.52,0.11,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,14,16,0.2978,0.2025,NA,NA,6.86,0.12,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,16,18,0.3221,0.2152,NA,NA,5.51,0.1,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,18,20,0.3591,0.2034,NA,NA,5.64,0.1,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,20,22,0.5206,0.12380000000000001,0.63,0.08,3.62,0.09,1.44,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,22,24,0.3907,0.153,0.62,0.09,4.42,0.1,1.25,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,24,26,0.4648,0.1382,0.68,0.09,3.75,0.09,1.57,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,26,28,0.4824,0.1275,1.03,0.08,4.25,0.1,1.66,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,28,30,0.5214,0.14,1.39,0.11,4.05,0.11,1.43,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,30,32,0.4938,0.1389,1.49,0.12,3.17,0.08,1.49,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,32,34,0.4532,0.1424,1.79,0.1,3.04,0.09,1.57,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,34,36,0.4431,0.1813,2,0.14,2.87,0.08,1.5,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,36,38,0.4677,0.16940000000000002,0.88,0.09,2.23,0.06,1.35,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,38,40,0.4955,0.2029,0.31,0.08,2.21,0.06,1.34,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,40,42,0.462,0.1487,0.15,0.07,1.45,0.04,1.39,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,42,44,0.4883,0.11810000000000001,NA,NA,1.19,0.03,1.3,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,44,46,0.5061,0.1216,NA,NA,0.82,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,46,48,0.4543,0.1047,NA,NA,0.91,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,48,50,0.5099,0.10210000000000001,NA,NA,0.88,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,50,52,0.5031,0.12050000000000001,NA,NA,0.84,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,52,54,0.5145,0.1118,NA,NA,1,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_05,54,56,0.5079,0.129,NA,NA,1.38,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,0,2,0.4457,0.1108,NA,NA,4.35,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,2,4,0.5571,0.1117,NA,NA,4.69,0.09,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,4,6,0.5083,0.10859999999999999,NA,NA,4.63,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,6,8,0.4902,0.0959,NA,NA,3.83,0.07,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,8,10,0.3562,0.2132,NA,NA,4.6,0.08,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,10,12,0.416,0.1888,NA,NA,4.11,0.09,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,12,14,0.4278,0.2016,0.52,0.09,3.12,0.05,1.47,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,14,16,0.4419,0.1815,0.57,0.1,3.26,0.06,1.51,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,16,18,0.4394,0.174,0.5,0.08,2.87,0.05,1.56,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,18,20,0.4884,0.17579999999999998,0.55,0.09,2.46,0.05,1.54,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,20,22,0.4832,0.15039999999999998,0.59,0.08,2.58,0.05,1.58,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,22,24,0.4818,0.1497,0.7,0.09,2.52,0.06,1.54,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,24,26,0.4481,0.1604,1.16,0.11,2.55,0.06,1.61,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,26,28,0.3825,0.19760000000000003,2.05,0.11,1.87,0.04,1.48,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,28,30,0.4321,0.22089999999999999,1.11,0.09,1.4,0.03,1.28,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,30,32,0.3399,0.2351,0.32,0.08,1.38,0.03,1.38,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,32,34,0.3891,0.19329999999999997,0.13,0.06,1.28,0.03,1.31,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,34,36,0.4163,0.1679,NA,NA,1.34,0.03,1.3,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,36,38,0.398,0.21289999999999998,NA,NA,1.17,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,38,40,0.3531,0.16399999999999998,NA,NA,1.3,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,40,42,0.414,0.1707,NA,NA,1.11,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,42,44,0.4194,0.1485,NA,NA,1.06,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,44,46,0.4111,0.15810000000000002,NA,NA,1.08,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,46,48,0.462,0.1306,NA,NA,1.06,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_06,47.625,49.625,0.4811,0.11320000000000001,NA,NA,1,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,0,2,0.3823,0.153,NA,NA,5.01,0.11,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,2,4,0.4028,0.1435,NA,NA,4.72,0.1,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
