study_id,core_id,species_code,habitat
Adame_et_al_2015,M0360,NA,mangrove
Adame_et_al_2015,M0361,NA,mangrove
AfSIS_Sentinel_Sites,M1716,NA,mangrove
AfSIS_Sentinel_Sites,M1717,NA,mangrove
AfSIS_Sentinel_Sites,M1718,NA,mangrove
AfSIS_Sentinel_Sites,M1719,NA,mangrove
AfSIS_Sentinel_Sites,M1720,NA,mangrove
AfSIS_Sentinel_Sites,M1721,NA,mangrove
AfSIS_Sentinel_Sites,M1722,NA,mangrove
AfSIS_Sentinel_Sites,M1723,NA,mangrove
AfSIS_Sentinel_Sites,M1724,NA,mangrove
AfSIS_Sentinel_Sites,M1725,NA,mangrove
AfSIS_Sentinel_Sites,M1726,NA,mangrove
AfSIS_Sentinel_Sites,M1727,NA,mangrove
AfSIS_Sentinel_Sites,M1728,NA,mangrove
AfSIS_Sentinel_Sites,M1729,NA,mangrove
AfSIS_Sentinel_Sites,M1730,NA,mangrove
AfSIS_Sentinel_Sites,M1731,NA,mangrove
AfSPDB,M1706,NA,mangrove
AfSPDB,M1711,NA,mangrove
AfSPDB,M1715,NA,mangrove
Agawin_et_al_1996,Agawin_et_al_1996_1,Thassia hemprichii,seagrass
Agawin_et_al_1996,Agawin_et_al_1996_1,Cymodocea rotundata,seagrass
Agawin_et_al_1996,Agawin_et_al_1996_1,Enhalus acoroides,seagrass
Agawin_et_al_1996,Agawin_et_al_1996_2,Thassia hemprichii,seagrass
Agawin_et_al_1996,Agawin_et_al_1996_2,Cymodocea rotundata,seagrass
Agawin_et_al_1996,Agawin_et_al_1996_2,Enhalus acoroides,seagrass
Ajonina_et_al_2014,M0533,Rhizophora racemosa,mangrove
Ajonina_et_al_2014,M0533,Avicennia germinans,mangrove
Ajonina_et_al_2014,M0534,Rhizophora racemosa,mangrove
Ajonina_et_al_2014,M0534,Avicennia germinans,mangrove
Ajonina_et_al_2014,M0535,Rhizophora racemosa,mangrove
Ajonina_et_al_2014,M0535,Avicennia germinans,mangrove
Ajonina_et_al_2014,M0536,Rhizophora racemosa,mangrove
Ajonina_et_al_2014,M0536,Avicennia germinans,mangrove
Allen_et_al_2007,M0236,NA,mangrove
Along_et_al_2000_MEPS,M0273,Rhizophora apiculata,mangrove
Along_et_al_2000_MEPS,M0274,Rhizophora apiculata,mangrove
Along_et_al_2000_MEPS,M0275,Rhizophora apiculata,mangrove
Alongi_1996,M0022,NA,mangrove
Alongi_1996,M0023,NA,mangrove
Alongi_1996,M0024,NA,mangrove
Alongi_1996,M0025,NA,mangrove
Alongi_et_al_1999,M0016,NA,mangrove
Alongi_et_al_1999,M0017,NA,mangrove
Alongi_et_al_2000,M0026,Rhizophora stylosa,mangrove
Alongi_et_al_2000,M0027,Avicennia marina,mangrove
Alongi_et_al_2000,M0028,Rhizophora stylosa,mangrove
Alongi_et_al_2000,M0029,Avicennia marina,mangrove
Alongi_et_al_2000,M0030,Rhizophora stylosa,mangrove
Alongi_et_al_2000,M0031,Avicennia marina,mangrove
Alongi_et_al_2001,M0732,Rhizophora apiculata,mangrove
Alongi_et_al_2001,M0733,Rhizophora apiculata,mangrove
Alongi_et_al_2001,M0734,Rhizophora apiculata,mangrove
Alongi_et_al_2001,M0735,Ceriops decanda,mangrove
Alongi_et_al_2004,M0270,Rhizophora apiculata,mangrove
Alongi_et_al_2004,M0271,Rhizophora apiculata,mangrove
Alongi_et_al_2004,M0272,Rhizophora apiculata,mangrove
Alongi_et_al_2005,M0084,Kandelia candel,mangrove
Alongi_et_al_2005,M0085,Kandelia candel,mangrove
Alongi_et_al_2005,M0086,Kandelia candel,mangrove
Alongi_et_al_2008,M0627,Avicennia marina,mangrove
Alongi_et_al_2008,M0628,Rhizophora stylosa,mangrove
Alongi_et_al_2008,M0629,Rhizophora stylosa,mangrove
Alongi_et_al_2008,M0630,Sonneratia caseolaris,mangrove
Alongi_et_al_2008,M0630,Sonneratia lanceolata,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_1,Enhalus acoroides,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_1,Halodule uninervis,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_1,Cymodocea rotundata,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_2,Enhalus acoroides,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_2,Halodule uninervis,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_2,Cymodocea rotundata,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_3,Enhalus acoroides,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_3,Halodule uninervis,mangrove
Alongi_et_al_2008,Alongi_et_al_2008_3,Cymodocea rotundata,mangrove
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_1,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_2,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_3,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_4,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_5,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_6,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_7,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_8,Halophila stipulacea,seagrass
Al-Rousan_et_al_2005,Al-Rousan_et_al_2005_9,Halophila stipulacea,seagrass
Amon_and_Herndl_1991,Amon_and_Herndl_1991_1,Posidonia oceanica,seagrass
Amon_and_Herndl_1991,Amon_and_Herndl_1991_2,Posidonia oceanica,seagrass
Amon_and_Herndl_1991,Amon_and_Herndl_1991_3,Posidonia oceanica,seagrass
Amon_and_Herndl_1991,Amon_and_Herndl_1991_4,Posidonia oceanica,seagrass
Andreetta_et_al_2014,M0180,Avicennia marina,mangrove
Andreetta_et_al_2014,M0181,Avicennia marina,mangrove
Andreetta_et_al_2014,M0182,Avicennia marina,mangrove
Andreetta_et_al_2014,M0183,Ceriops tagal,mangrove
Andreetta_et_al_2014,M0184,Rhizophora mucronata,mangrove
Andreetta_et_al_2016,M0636,Avicennia germinans,mangrove
Andreetta_et_al_2016,M0636,Rhizophora mangle,mangrove
Andreetta_et_al_2016,M0637,Avicennia germinans,mangrove
Andreetta_et_al_2016,M0637,Rhizophora mangle,mangrove
Apostolaki_unpublished,Apostolaki_unpublished_1,Posidonia oceanica,seagrass
Apostolaki_unpublished,Apostolaki_unpublished_2,Posidonia oceanica,seagrass
Apostolaki_unpublished,Apostolaki_unpublished_3,Posidonia oceanica,seagrass
Apostolaki_unpublished,Apostolaki_unpublished_4,Posidonia oceanica,seagrass
Apostolaki_unpublished,Apostolaki_unpublished_5,Posidonia oceanica,seagrass
Apostolaki_unpublished,Apostolaki_unpublished_6,Posidonia oceanica,seagrass
Apostolaki_unpublished,Apostolaki_unpublished_7,Posidonia oceanica,seagrass
Apostolaki_unpublished,Apostolaki_unpublished_8,Posidonia oceanica,seagrass
Ashton_and_Macintosh_2002,M0697,NA,mangrove
Ashton_and_Macintosh_2002,M0698,NA,mangrove
Ashton_and_Macintosh_2002,M0699,NA,mangrove
Ashton_and_Macintosh_2002,M0700,NA,mangrove
Ashton_and_Macintosh_2002,M0701,NA,mangrove
Ashton_and_Macintosh_2002,M0702,NA,mangrove
Ashton_and_Macintosh_2002,M0703,NA,mangrove
Ashton_and_Macintosh_2002,M0704,NA,mangrove
Ashton_and_Macintosh_2002,M0705,NA,mangrove
AU_NatSoil,M1707,NA,mangrove
AU_NatSoil,M1708,NA,mangrove
AU_NatSoil,M1709,NA,mangrove
Banerjee_et_al_2012,M0185,NA,mangrove
Banerjee_et_al_2012,M0186,NA,mangrove
Banerjee_et_al_2012,M0187,NA,mangrove
Banerjee_et_al_2012,M0188,NA,mangrove
Banerjee_et_al_2012,M0189,NA,mangrove
Banerjee_et_al_2012,M0190,NA,mangrove
Banerjee_et_al_2012,M0191,NA,mangrove
Banerjee_et_al_2012,M0192,NA,mangrove
Banerjee_et_al_2012,M0193,NA,mangrove
Banerjee_et_al_2012,M0194,NA,mangrove
Banerjee_et_al_2012,M0195,NA,mangrove
Banerjee_et_al_2012,M0196,NA,mangrove
Banerjee_et_al_2012,M0197,NA,mangrove
Banerjee_et_al_2012,M0198,NA,mangrove
Barron_et_al_2004,Barron_et_al_2004_1,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_2,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_3,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_4,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_5,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_6,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_7,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_8,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_9,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_10,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_11,Cymodocea nodosa,seagrass
Barron_et_al_2004,Barron_et_al_2004_12,Cymodocea nodosa,seagrass
Bhomia_et_al_2016_Honduras,M0490,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0491,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0491,Laguncularia racemosa,mangrove
Bhomia_et_al_2016_Honduras,M0492,Avicennia germinans,mangrove
Bhomia_et_al_2016_Honduras,M0493,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0494,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0494,Laguncularia racemosa,mangrove
Bhomia_et_al_2016_Honduras,M0495,Laguncularia racemosa,mangrove
Bhomia_et_al_2016_Honduras,M0496,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0496,Laguncularia racemosa,mangrove
Bhomia_et_al_2016_Honduras,M0496,Avicennia germinans,mangrove
Bhomia_et_al_2016_Honduras,M0497,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0497,Laguncularia racemosa,mangrove
Bhomia_et_al_2016_Honduras,M0498,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0498,Laguncularia racemosa,mangrove
Bhomia_et_al_2016_Honduras,M0499,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0500,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0501,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0502,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0503,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0504,Avicennia germinans,mangrove
Bhomia_et_al_2016_Honduras,M0505,Avicennia germinans,mangrove
Bhomia_et_al_2016_Honduras,M0506,Rhizophora mangle,mangrove
Bhomia_et_al_2016_Honduras,M0507,Rhizophora mangle,mangrove
Bhomia_et_al_2016_India,M0436,Kandelia candel,mangrove
Bhomia_et_al_2016_India,M0437,NA,mangrove
Bhomia_et_al_2016_India,M0438,NA,mangrove
Bhomia_et_al_2016_India,M0439,NA,mangrove
Bhomia_et_al_2016_India,M0440,NA,mangrove
Bhomia_et_al_2016_India,M0441,NA,mangrove
Bianchi_et_al_2012,M0199,NA,mangrove
Bianchi_et_al_2012,M0200,NA,mangrove
Bianchi_et_al_2012,M0201,NA,mangrove
Bianchi_et_al_2012,M0202,NA,mangrove
Blue_Ventures_Unpublished,M1025,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1026,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1027,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1028,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1029,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1030,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1031,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1032,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1033,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1034,NA,mangrove
Blue_Ventures_Unpublished,M1035,NA,mangrove
Blue_Ventures_Unpublished,M1036,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1037,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1038,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1039,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1040,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1041,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1042,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1043,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1044,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1045,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1046,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1047,Sonneratia alba,mangrove
Blue_Ventures_Unpublished,M1048,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1049,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1050,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1051,Ceriops tagal,mangrove
Blue_Ventures_Unpublished,M1052,Rhizophora mucronata,mangrove
Blue_Ventures_Unpublished,M1053,Rhizophora mucronata,mangrove
Blue_Ventures_Unpublished,M1054,NA,mangrove
Blue_Ventures_Unpublished,M1055,NA,mangrove
Blue_Ventures_Unpublished,M1056,NA,mangrove
Blue_Ventures_Unpublished,M1057,Xylocarpus granatum,mangrove
Blue_Ventures_Unpublished,M1058,NA,mangrove
Blue_Ventures_Unpublished,M1059,Rhizophora mucronata,mangrove
Blue_Ventures_Unpublished,M1060,NA,mangrove
Blue_Ventures_Unpublished,M1061,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1062,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1063,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1064,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1065,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1066,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1067,NA,mangrove
Blue_Ventures_Unpublished,M1068,Avicennia marina,mangrove
Blue_Ventures_Unpublished,M1069,NA,mangrove
Blue_Ventures_Unpublished,M1070,Rhizophora mucronata,mangrove
Blue_Ventures_Unpublished,M1071,Rhizophora mucronata,mangrove
Blue_Ventures_Unpublished,M1072,Rhizophora mucronata,mangrove
Blue_Ventures_Unpublished,M1073,Rhizophora mucronata,mangrove
Blue_Ventures_Unpublished,M1074,Ceriops tagal,mangrove
Borg_et_al_2010,Borg_et_al_2010_1,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_2,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_3,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_4,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_5,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_6,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_7,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_8,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_9,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_10,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_11,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_12,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_13,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_14,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_15,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_16,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_17,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_18,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_19,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_20,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_21,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_22,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_23,Posidonia oceanica,seagrass
Borg_et_al_2010,Borg_et_al_2010_24,Posidonia oceanica,seagrass
Boschker_et_al_2000,Boschker_et_al_2000_1,Zostera marina,seagrass
Boschker_et_al_2000,Boschker_et_al_2000_2,Zostera marina,seagrass
Boschker_et_al_2000,Boschker_et_al_2000_3,Zostera marina,seagrass
Boschker_et_al_2000,Boschker_et_al_2000_4,Zostera marina,seagrass
Boschker_et_al_2000,Boschker_et_al_2000_5,Zostera noltii,seagrass
Boschker_et_al_2000,Boschker_et_al_2000_6,Zostera noltii,seagrass
Bouillon_et_al_2003,M0117,NA,mangrove
Bouillon_et_al_2003,M0118,NA,mangrove
Bouillon_et_al_2003,M0119,NA,mangrove
Bouillon_et_al_2003,M0120,NA,mangrove
Bouillon_et_al_2003,M0121,NA,mangrove
Bouillon_et_al_2003,M0122,NA,mangrove
Bouillon_et_al_2003,M0123,NA,mangrove
Bouillon_et_al_2003,M0124,NA,mangrove
Bouillon_et_al_2003,M0125,NA,mangrove
Bouillon_et_al_2003,M0126,NA,mangrove
Bouillon_et_al_2003,M0127,NA,mangrove
Bouillon_et_al_2003,M0128,NA,mangrove
Bouillon_et_al_2003,M0129,NA,mangrove
Bouillon_et_al_2003,M0130,NA,mangrove
Bouillon_et_al_2003,M0131,NA,mangrove
Bouillon_et_al_2003,M0132,NA,mangrove
Bouillon_et_al_2003,M0133,NA,mangrove
Bouillon_et_al_2003,M0134,NA,mangrove
Bouillon_et_al_2003,M0135,NA,mangrove
Bouillon_et_al_2003,M0136,NA,mangrove
Bouillon_et_al_2003,M0137,NA,mangrove
Bouillon_et_al_2003,M0138,NA,mangrove
Bouillon_et_al_2003,M0139,NA,mangrove
Bouillon_et_al_2003,M0140,NA,mangrove
Bouillon_et_al_2003,M0141,NA,mangrove
Bouillon_et_al_2003,M0142,NA,mangrove
Bouillon_et_al_2003,M0143,NA,mangrove
Bouillon_et_al_2003,M0144,NA,mangrove
Bouillon_et_al_2003,M0145,NA,mangrove
Bouillon_et_al_2003,M0146,NA,mangrove
Bouillon_et_al_2003,M0147,NA,mangrove
Bouillon_et_al_2003,M0148,NA,mangrove
Bouillon_et_al_2003,M0149,NA,mangrove
Bouillon_et_al_2003,M0150,NA,mangrove
Bouillon_et_al_2003,M0151,NA,mangrove
Bouillon_et_al_2003,M0152,NA,mangrove
Bouillon_et_al_2003,M0153,NA,mangrove
Bouillon_et_al_2003,M0154,NA,mangrove
Bouillon_et_al_2003,M0155,NA,mangrove
Bouillon_et_al_2003,M0156,NA,mangrove
Bouillon_et_al_2003,M0157,NA,mangrove
Bouillon_et_al_2003,M0158,NA,mangrove
Bouillon_et_al_2003,M0159,NA,mangrove
Bouillon_et_al_2003,M0160,NA,mangrove
Bouillon_et_al_2003,M0161,NA,mangrove
Bouillon_et_al_2003,M0162,NA,mangrove
Bouillon_et_al_2003,M0163,NA,mangrove
Bouillon_et_al_2003,M0164,NA,mangrove
Bouillon_et_al_2003,M0165,NA,mangrove
Bouillon_et_al_2003,M0166,NA,mangrove
Bouillon_et_al_2003,M0167,NA,mangrove
Bouillon_et_al_2003,M0168,NA,mangrove
Bouillon_et_al_2003,M0169,NA,mangrove
Bouillon_et_al_2003,M0170,NA,mangrove
Bouillon_et_al_2003,M0171,NA,mangrove
Bouillon_et_al_2004,Bouillon_et_al_2004_1,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_2,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_3,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_4,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_5,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_6,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_7,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_8,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_9,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_10,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_11,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_12,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_13,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_14,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_15,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_16,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_17,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004,Bouillon_et_al_2004_18,Thalassodendron ciliatum,seagrass
Bouillon_et_al_2004_FEMS,M0665,Rhizophora mucronata,mangrove
Bouillon_et_al_2004_FEMS,M0666,Bruguiera gymnorrhiza,mangrove
Bouillon_et_al_2004_FEMS,M0667,Avicennia officinalis,mangrove
Bouillon_et_al_2004_FEMS,M0668,Rhizophora mucronata,mangrove
Bouillon_et_al_2004_FEMS,M0669,Excoecaria agallocha,mangrove
Bouillon_et_al_2004_FEMS,M0670,Lumnitzera racemosa,mangrove
Bouillon_et_al_2004_FEMS,M0671,Avicennia officinalis,mangrove
Bouillon_et_al_2004_FEMS,M0672,NA,mangrove
Bouillon_et_al_2004_FEMS,M0673,Avicennia officinalis,mangrove
Bouillon_et_al_2004_FEMS,M0673,Rhizophora mucronata,mangrove
Boyd_2012,BBRC1,Phragmites australis,salt_marsh
Boyd_2012,BBRC1,Distichlis spicata,salt_marsh
Boyd_2012,BBRC2,Phragmites australis,salt_marsh
