study_id,core_id,country,core_latitude,core_longitude
Livesley_and_Andrusiak_2012,M0399,Australia,-38.29682,145.204676
Howe_et_al_2009,M0442,Australia,-32.870356,151.716468
Howe_et_al_2009,M0443,Australia,-32.850608,151.702315
Kelleway_et_al_2016,M0543,Australia,-34.01758,151.150859
Kelleway_et_al_2016,M0544,Australia,-34.017388,151.151084
Kelleway_et_al_2016,M0545,Australia,-34.017179,151.150425
Kelleway_et_al_2016,M0546,Australia,-34.018197,151.152118
Kelleway_et_al_2016,M0547,Australia,-34.018014,151.152284
Kelleway_et_al_2016,M0548,Australia,-34.017396,151.15221
Kelleway_et_al_2016,M0549,Australia,-34.019499,151.149488
Kelleway_et_al_2016,M0550,Australia,-34.019265,151.147628
Kelleway_et_al_2016,M0551,Australia,-34.019882,151.15011
Kelleway_et_al_2016,M0552,Australia,-34.020201,151.152524
Kelleway_et_al_2016,M0553,Australia,-34.021042,151.151427
Kelleway_et_al_2016,M0554,Australia,-34.020932,151.151121
Kelleway_et_al_2016,M0555,Australia,-33.98323,151.009012
Kelleway_et_al_2016,M0556,Australia,-33.98335,151.008662
Kelleway_et_al_2016,M0557,Australia,-33.98309,151.008512
Kelleway_et_al_2016,M0558,Australia,-33.9848,151.008282
Kelleway_et_al_2016,M0559,Australia,-33.98443,151.008642
Kelleway_et_al_2016,M0560,Australia,-33.98416,151.008602
Kelleway_et_al_2016,M0561,Australia,-33.98414,151.009322
Kelleway_et_al_2016,M0562,Australia,-33.98405,151.009052
Kelleway_et_al_2016,M0563,Australia,-33.983964,151.008804
Kelleway_et_al_2016,M0564,Australia,-33.98453,151.010182
Kelleway_et_al_2016,M0565,Australia,-33.98449,151.009732
Kelleway_et_al_2016,M0566,Australia,-33.98402,151.009472
Sanders_et_al_2015,M0695,Australia,-27.780347,153.380732
Sanders_et_al_2015,M0696,Australia,-27.778775,153.381251
C._Sanders_Unpublished,M1075,Australia,-29.120667,153.427611
C._Sanders_Unpublished,M1077,Australia,-32.337861,152.488694
C._Sanders_Unpublished,M1078,Australia,-34.012128,151.150011
C._Sanders_Unpublished,M1079,Australia,-34.031167,151.157075
C._Sanders_Unpublished,M1080,Australia,-34.031122,151.137131
Sanders_et_al_2016_JGR_Biogeoscience,M1081,Australia,-12.519661,130.906031
Sanders_et_al_2016_JGR_Biogeoscience,M1082,Australia,-12.519636,130.905805
Sanders_et_al_2016_JGR_Biogeoscience,M1083,Australia,-12.519602,130.905585
Sanders_et_al_2016_JGR_Biogeoscience,M1084,Australia,-12.51958,130.905362
Sanders_et_al_2016_JGR_Biogeoscience,M1085,Australia,-12.519519,130.905125
Sanders_et_al_2016_JGR_Biogeoscience,M1086,Australia,-12.519453,130.904907
Sanders_et_al_2016_JGR_Biogeoscience,M1103,Australia,-32.846236,151.7673
Sanders_et_al_2016_JGR_Biogeoscience,M1104,Australia,-32.846255,151.767027
Sanders_et_al_2016_JGR_Biogeoscience,M1105,Australia,-32.846255,151.766775
Sanders_et_al_2016_JGR_Biogeoscience,M1106,Australia,-32.846257,151.766504
Sanders_et_al_2016_JGR_Biogeoscience,M1107,Australia,-32.846272,151.766233
Sanders_et_al_2016_JGR_Biogeoscience,M1108,Australia,-32.846283,151.765973
C._Sanders_Unpublished,M1109,Australia,-27.780497,153.376081
C._Sanders_Unpublished,M1110,Australia,-27.780285,153.376078
C._Sanders_Unpublished,M1111,Australia,-27.780057,153.376093
C._Sanders_Unpublished,M1112,Australia,-27.779836,153.376093
C._Sanders_Unpublished,M1113,Australia,-27.779609,153.376094
C._Sanders_Unpublished,M1114,Australia,-27.779382,153.376091
C._Sanders_Unpublished,M1115,Australia,-27.779152,153.376094
C._Sanders_Unpublished,M1116,Australia,-27.778931,153.376092
C._Sanders_Unpublished,M1117,Australia,-27.778708,153.376087
C._Sanders_Unpublished,M1118,Australia,-27.778504,153.376103
C._Sanders_Unpublished,M1119,Australia,-27.778269,153.376095
C._Sanders_Unpublished,M1120,Australia,-27.778039,153.37611
Owers_et_al_2016,M1318,Australia,-35.006626,150.668402
Owers_et_al_2016,M1319,Australia,-35.013693,150.666216
Owers_et_al_2016,M1320,Australia,-35.019153,150.66816
Frusher_et_al_1994,M1327,Australia,-18.078864,146.023005
Frusher_et_al_1994,M1328,Australia,-18.083427,146.000095
Frusher_et_al_1994,M1329,Australia,-18.101195,145.985549
Frusher_et_al_1994,M1330,Australia,-18.105466,145.963259
Frusher_et_al_1994,M1331,Australia,-18.100419,145.961916
AU_NatSoil,M1707,Australia,-17,145.77
AU_NatSoil,M1708,Australia,-17.66,146.1
Maher_and_Eyre_2010,Maher_and_Eyre_2010_1,Australia,-31.25,152.5
Maher_and_Eyre_2010,Maher_and_Eyre_2010_10,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_11,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_12,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_13,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_14,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_15,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_16,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_17,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_18,Australia,-32.15,152.28
Maher_and_Eyre_2010,Maher_and_Eyre_2010_19,Australia,-32.15,152.28
Maher_and_Eyre_2010,Maher_and_Eyre_2010_2,Australia,-31.25,152.5
Maher_and_Eyre_2010,Maher_and_Eyre_2010_20,Australia,-32.15,152.28
Maher_and_Eyre_2010,Maher_and_Eyre_2010_21,Australia,-32.15,152.28
Maher_and_Eyre_2010,Maher_and_Eyre_2010_22,Australia,-32.15,152.28
Maher_and_Eyre_2010,Maher_and_Eyre_2010_23,Australia,-32.15,152.28
Maher_and_Eyre_2010,Maher_and_Eyre_2010_24,Australia,-32.15,152.28
Maher_and_Eyre_2010,Maher_and_Eyre_2010_3,Australia,-31.25,152.5
Maher_and_Eyre_2010,Maher_and_Eyre_2010_4,Australia,-31.25,152.5
Maher_and_Eyre_2010,Maher_and_Eyre_2010_5,Australia,-31.25,152.5
Maher_and_Eyre_2010,Maher_and_Eyre_2010_6,Australia,-31.25,152.5
Maher_and_Eyre_2010,Maher_and_Eyre_2010_7,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_8,Australia,-31.39,152.47
Maher_and_Eyre_2010,Maher_and_Eyre_2010_9,Australia,-31.39,152.47
Mellors_et_al_2002,Mellors_et_al_2002_1,Australia,-16.8773,145.7853
Mellors_et_al_2002,Mellors_et_al_2002_2,Australia,-17.9486,146.1056
Mellors_et_al_2002,Mellors_et_al_2002_3,Australia,-18.2634,146.0358
Mellors_et_al_2002,Mellors_et_al_2002_7,Australia,-19.7843,147.7543
Mellors_et_al_2002,Mellors_et_al_2002_8,Australia,-20.026,148.255
Qu_et_al_2006,Qu_et_al_2006_1,Australia,-34.32,150.5
Qu_et_al_2006,Qu_et_al_2006_2,Australia,-34.32,150.5
Qu_et_al_2006,Qu_et_al_2006_3,Australia,-34.32,150.5
Qu_et_al_2006,Qu_et_al_2006_4,Australia,-34.32,150.5
Qu_et_al_2006,Qu_et_al_2006_5,Australia,-34.32,150.5
Koch_and_Madden_2001,Koch_and_Madden_2001_1,Bahamas,26.621,-77.828
Koch_and_Madden_2001,Koch_and_Madden_2001_2,Bahamas,26.621,-77.828
Donato_et_al_2011,M1379,Bangladesh,22.3,89.6
Donato_et_al_2011,M1434,Bangladesh,22.3,89.6
Ajonina_et_al_2014,M0533,Benin,6.432416667,1.92595
Ajonina_et_al_2014,M0534,Benin,6.331683333,2.0839
Ajonina_et_al_2014,M0535,Benin,6.352733333,2.2833
Ajonina_et_al_2014,M0536,Benin,6.350933333,2.290933333
Lacerda_et_al_1995,M0080,Brazil,-22.933926,-43.889642
Lacerda_et_al_1995,M0081,Brazil,-22.933926,-43.889642
Jennerjahn_and_Ittekkot_2002,M0082,Brazil,-22.933926,-43.889642
Jennerjahn_and_Ittekkot_1997,M0083,Brazil,-21.601023,-41.049465
Sanders_et_al_2010_EES,M0385,Brazil,-25.094913,-47.995086
Sanders_et_al_2010_EES,M0386,Brazil,-25.094888,-47.995183
Gomes_et_al_2016,M0525,Brazil,-14.68111111,-39.07444444
Gomes_et_al_2016,M0526,Brazil,-14.68083333,-39.075
Gomes_et_al_2016,M0527,Brazil,-14.68055556,-39.07416667
Gomes_et_al_2016,M0528,Brazil,-14.71833333,-39.07027778
Gomes_et_al_2016,M0529,Brazil,-14.75833333,-39.06222222
Sanders_et_al_2008,M0652,Brazil,-23.17091944,-44.28602778
Sanders_et_al_2010_ECSS,M0653,Brazil,-8.674178,-35.107894
Sanders_et_al_2010_ECSS,M0654,Brazil,-8.674492,-35.107394
Sanders_et_al_2014,M0655,Brazil,-23.877,-46.36049722
Sanders_et_al_2014,M0656,Brazil,-23.87723056,-46.36051944
Ferreira_et_al_2007,M0691,Brazil,-23.955556,-46.24423
Ferreira_et_al_2007,M0692,Brazil,-23.951287,-46.242704
Ferreira_et_al_2007,M0693,Brazil,-23.944459,-46.239924
Ferreira_et_al_2007,M0694,Brazil,-23.934983,-46.2311
Sanders_et_al_2012_MER,M1197,Brazil,-25.83956667,-48.60225278
Sanders_et_al_2012_MER,M1198,Brazil,-25.34311667,-48.33346389
Otero_et_al_2009,M1333,Brazil,-24.996785,-47.907329
Otero_et_al_2009,M1334,Brazil,-24.996822,-47.907276
Otero_et_al_2009,M1335,Brazil,-24.996941,-47.907039
Vasconcelos_et_al_2014,M1369,Brazil,-7.086621,-34.882555
Vasconcelos_et_al_2014,M1370,Brazil,-7.081431,-34.872431
Vasconcelos_et_al_2014,M1371,Brazil,-7.067292,-34.86505
Vasconcelos_et_al_2014,M1372,Brazil,-7.061822,-34.857701
RadamBrasil,M1733,Brazil,-15.55,-38.9833
RadamBrasil,M1734,Brazil,-2.85,-44.3333
RadamBrasil,M1741,Brazil,-3.03333,-44.6833
RadamBrasil,M1742,Brazil,-25.3167,-48.3167
Pazi_et_al_2016,M0658,Brunei,4.960799,115.213913
Pazi_et_al_2016,M0659,Brunei,4.919276,115.227187
Pazi_et_al_2016,M0660,Brunei,4.900083,115.262638
Nsombo_et_al_2016,M0540,Cameroon,4.457111111,8.902583333
Alongi_et_al_2005,M0084,China,24.393693,117.922137
Alongi_et_al_2005,M0085,China,24.402439,117.916642
Alongi_et_al_2005,M0086,China,24.403115,117.906607
Chen_et_al_2012,M0203,China,22.4928,114.032865
Chen_et_al_2012,M0204,China,22.493737,114.030087
Chen_et_al_2012,M0205,China,22.494173,114.028767
Yuan_et_al_2014,M0219,China,21.569924,109.757814
Yuan_et_al_2014,M0220,China,21.568547,109.75761
Chen_et_al_2010,M0225,China,22.521743,114.024647
Chen_et_al_2010,M0226,China,22.51979,114.023311
Chen_et_al_2010,M0227,China,22.490601,114.031925
Chen_et_al_2010,M0228,China,22.492273,114.026811
Chen_et_al_2010,M0229,China,22.452668,113.963988
Chen_et_al_2010,M0230,China,22.453587,113.96344
Chen_et_al_2010,M0231,China,22.426985,114.289616
Chen_et_al_2010,M0232,China,22.428009,114.291753
Chen_et_al_2016,M0233,China,24.39469167,117.9119167
Chen_et_al_2016,M0234,China,24.3934,117.9220778
Chen_et_al_2016,M0235,China,24.40668056,117.9412528
Liu_et_al_2014,M0239,China,21.529747,109.783918
Liu_et_al_2014,M0240,China,21.529747,109.783918
Liu_et_al_2014,M0241,China,21.529747,109.783918
Liu_et_al_2014,M0242,China,21.529747,109.783918
Liu_et_al_2014,M0243,China,21.529747,109.783918
Liu_et_al_2014,M0244,China,21.529747,109.783918
Liu_et_al_2014,M0245,China,21.529747,109.783918
Liu_et_al_2014,M0246,China,21.529747,109.783918
Liu_et_al_2014,M0247,China,21.529747,109.783918
Liu_et_al_2014,M0248,China,21.529747,109.783918
Liu_et_al_2014,M0249,China,21.529747,109.783918
Liu_et_al_2014,M0250,China,21.529747,109.783918
Liu_et_al_2014,M0251,China,21.529747,109.783918
Liu_et_al_2014,M0252,China,21.529747,109.783918
Liu_et_al_2014,M0253,China,21.529747,109.783918
Liu_et_al_2014,M0254,China,21.529747,109.783918
Liu_et_al_2014,M0255,China,21.529747,109.783918
Liu_et_al_2014,M0256,China,19.956571,110.582643
Liu_et_al_2014,M0257,China,19.956571,110.582643
Liu_et_al_2014,M0258,China,19.956571,110.582643
Liu_et_al_2014,M0259,China,19.956571,110.582643
Liu_et_al_2014,M0260,China,22.493027,114.029298
Liu_et_al_2014,M0261,China,22.493027,114.029298
Liu_et_al_2014,M0262,China,22.493027,114.029298
Liu_et_al_2014,M0263,China,19.552029,110.837921
Liu_et_al_2014,M0264,China,19.552029,110.837921
Liu_et_al_2014,M0265,China,19.552029,110.837921
Lunstrem_and_Chen_2014,M0266,China,22.525676,114.008548
Lunstrem_and_Chen_2014,M0267,China,22.525935,114.007956
Lunstrem_and_Chen_2014,M0268,China,22.525998,114.006547
Lunstrem_and_Chen_2014,M0269,China,22.527121,114.006983
Xia_et_al_2015,M0362,China,21.492697,109.762599
Xia_et_al_2015,M0363,China,21.4969,109.760594
Wang_et_al_2013,M0389,China,21.571737,109.752224
Wang_et_al_2013,M0390,China,21.565398,109.75467
Wang_et_al_2013,M0391,China,21.567974,109.76271
Wang_et_al_2013,M0392,China,21.555733,109.767865
Wang_et_al_2013,M0393,China,21.536434,109.77517
Zhang_and_Lin_1998,M0450,China,24.39,117.91
Zhang_and_Lin_1998,M0451,China,24.480737,118.037454
He_et_al_2002,M0452,China,21.4666667,109.7166667
He_et_al_2002,M0453,China,21.4666667,109.7166667
He_et_al_2002,M0454,China,21.4666667,109.7166667
He_et_al_2002,M0455,China,21.4666667,109.7166667
He_et_al_2002,M0456,China,21.4666667,109.7166667
Liu_2005,M0457,China,21.158102,110.429248
Liu_2005,M0458,China,21.158102,110.429248
Liu_2005,M0459,China,21.105199,110.305425
Liu_2005,M0460,China,21.105199,110.305425
Liu_2005,M0461,China,21.208546,110.415755
Liu_2005,M0462,China,21.052469,110.200843
Liu_et_al_2008,M0463,China,19.981578,110.592345
Liu_et_al_2008,M0464,China,19.981578,110.592345
Liu_et_al_2008,M0465,China,19.981578,110.592345
Liu_et_al_2008,M0466,China,19.981578,110.592345
Liu_et_al_2008,M0467,China,19.981578,110.592345
Liu_et_al_2008,M0468,China,19.981578,110.592345
Liu_et_al_2008,M0469,China,19.981578,110.592345
Liu_et_al_2008,M0470,China,19.981578,110.592345
Liu_et_al_2008,M0471,China,19.981578,110.592345
Liu_et_al_2008,M0472,China,19.981578,110.592345
Liu_et_al_2008,M0473,China,19.981578,110.592345
Liu_et_al_2008,M0474,China,19.981578,110.592345
Liu_et_al_2008,M0475,China,19.981578,110.592345
Liu_et_al_2008,M0476,China,19.981578,110.592345
Liu_et_al_2008,M0477,China,19.981578,110.592345
Liu_et_al_2008,M0478,China,19.981578,110.592345
Hu_et_al_2010,M0479,China,26.0294778,119.6413528
Mao_et_al_2011,M0480,China,22.5317972,113.9850889
Mao_et_al_2011,M0481,China,22.5317972,113.9850889
Mao_et_al_2012,M0482,China,22.5281944,114.0018972
Mao_et_al_2012,M0483,China,22.5284111,114.0019583
Mao_et_al_2012,M0484,China,22.5286028,114.0024444
Xu_et_al_2012,M0485,China,21.10991,110.317315
Xu_et_al_2012,M0486,China,21.10991,110.317315
Xu_et_al_2012,M0487,China,21.10991,110.317315
Ren_et_al_2008,M0508,China,20.931035,110.158446
Ren_et_al_2008,M0509,China,21.029971,110.183053
Ren_et_al_2008,M0510,China,20.963554,110.159593
Ren_et_al_2008,M0511,China,21.042902,110.191874
Ren_et_al_2008,M0512,China,20.991454,110.163392
Ren_et_al_2008,M0513,China,20.901794,110.163178
Zhang_et_al_2012,M1317,China,21.568751,109.75712
Tam_and_Wong_1998,M1337,China,22.432217,114.268921
Tam_and_Wong_1998,M1338,China,22.432182,114.268883
Tam_and_Wong_1998,M1339,China,22.432157,114.268834
Tam_and_Wong_1998,M1340,China,22.432143,114.268788
Tam_and_Wong_1998,M1341,China,22.432118,114.268748
Tam_and_Wong_1998,M1342,China,22.432101,114.268704
Tam_and_Wong_1998,M1343,China,22.432076,114.268642
Tam_and_Wong_1998,M1344,China,22.432051,114.268589
Tam_and_Wong_1998,M1345,China,22.432029,114.268551
Tam_and_Wong_1998,M1346,China,22.432004,114.268498
Tam_and_Wong_1998,M1347,China,22.43199,114.26845
Tam_and_Wong_1998,M1348,China,22.431968,114.268399
Tam_and_Wong_1998,M1349,China,22.43196,114.268378
Tam_and_Wong_1998,M1350,China,22.431932,114.268321
Tam_and_Wong_1998,M1351,China,22.431913,114.268252
Tam_and_Wong_1998,M1352,China,22.43188,114.268179
Tam_and_Wong_1998,M1353,China,22.431855,114.268112
Tam_and_Wong_1998,M1354,China,22.431827,114.268045
Tam_and_Wong_1998,M1355,China,22.431794,114.267999
Tam_and_Wong_1998,M1356,China,22.431761,114.267938
Tam_and_Wong_1998,M1357,China,22.431731,114.267877
Tam_and_Wong_1998,M1358,China,22.423235,114.271012
Tam_and_Wong_1998,M1359,China,22.423232,114.270982
Tam_and_Wong_1998,M1360,China,22.423232,114.270934
Tam_and_Wong_1998,M1361,China,22.423238,114.270889
Tam_and_Wong_1998,M1362,China,22.423235,114.270835
Tam_and_Wong_1998,M1363,China,22.423185,114.270757
Tam_and_Wong_1998,M1364,China,22.423185,114.270717
Tam_and_Wong_1998,M1365,China,22.423191,114.270659
Tam_and_Wong_1998,M1366,China,22.423191,114.270598
Tam_and_Wong_1998,M1367,China,22.423197,114.270546
Tam_and_Wong_1998,M1368,China,22.423208,114.270488
Bukoski_et_al_2017,M1566,China,21.2,101.4
Bukoski_et_al_2017,M1567,China,21.2,101.4
Bukoski_et_al_2017,M1568,China,21.2,101.4
Bukoski_et_al_2017,M1569,China,21.2,101.4
Bukoski_et_al_2017,M1570,China,21.2,101.4
Bukoski_et_al_2017,M1571,China,21.2,101.4
Cardona_and_Botero_1998,M1301,Colombia,10.962368,-74.500651
Cifuentes_Unpublished,M0736,Costa Rica,8.818258796,-83.53426988
Cifuentes_Unpublished,M0737,Costa Rica,8.814530027,-83.54374387
Cifuentes_Unpublished,M0738,Costa Rica,8.814241926,-83.55880307
Cifuentes_Unpublished,M0739,Costa Rica,8.80743436,-83.56216801
Cifuentes_Unpublished,M0740,Costa Rica,8.797127441,-83.55525307
Cifuentes_Unpublished,M0741,Costa Rica,8.802090003,-83.58087585
Cifuentes_Unpublished,M0742,Costa Rica,8.789726334,-83.61536552
Cifuentes_Unpublished,M0743,Costa Rica,8.801040216,-83.59125289
Cifuentes_Unpublished,M0744,Costa Rica,8.856647652,-83.55970798
Cifuentes_Unpublished,M0745,Costa Rica,8.855912236,-83.54906575
Cifuentes_Unpublished,M0746,Costa Rica,8.859803544,-83.56526226
Cifuentes_Unpublished,M0747,Costa Rica,8.863611019,-83.57763709
Cifuentes_Unpublished,M0748,Costa Rica,8.839257569,-83.56291533
Cifuentes_Unpublished,M0749,Costa Rica,8.849115189,-83.58110716
Cifuentes_Unpublished,M0750,Costa Rica,8.844692625,-83.57555079
Cifuentes_Unpublished,M0751,Costa Rica,8.843765687,-83.58083329
Cifuentes_Unpublished,M0752,Costa Rica,8.884906969,-83.5653801
Cifuentes_Unpublished,M0753,Costa Rica,8.876532405,-83.55656893
Cifuentes_Unpublished,M0754,Costa Rica,8.885416931,-83.56134893
Cifuentes_Unpublished,M0755,Costa Rica,8.894129795,-83.56374024
Cifuentes_Unpublished,M0756,Costa Rica,8.902283282,-83.56010908
Cifuentes_Unpublished,M0757,Costa Rica,8.891387807,-83.57363123
Cifuentes_Unpublished,M0758,Costa Rica,8.885447738,-83.57285635
Cifuentes_Unpublished,M0759,Costa Rica,8.884432917,-83.58000999
Cifuentes_Unpublished,M0760,Costa Rica,8.935316779,-83.612962
Cifuentes_Unpublished,M0762,Costa Rica,8.933538125,-83.60578451
Cifuentes_Unpublished,M0763,Costa Rica,8.932730483,-83.60741183
Cifuentes_Unpublished,M0764,Costa Rica,10.14305195,-85.07767206
Cifuentes_Unpublished,M0765,Costa Rica,10.16559049,-85.14657557
Cifuentes_Unpublished,M0766,Costa Rica,10.17507684,-85.19369366
Cifuentes_Unpublished,M0767,Costa Rica,10.25281155,-85.24883639
Cifuentes_Unpublished,M0768,Costa Rica,10.13402766,-85.24456028
Cifuentes_Unpublished,M0769,Costa Rica,9.98592079,-84.81743661
Cifuentes_Unpublished,M0771,Costa Rica,10.10631377,-85.14943931
Cifuentes_Unpublished,M0772,Costa Rica,10.10090134,-85.12775331
Cifuentes_Unpublished,M0773,Costa Rica,10.08447159,-85.20061074
Cifuentes_Unpublished,M0774,Costa Rica,10.06552778,-85.18700408
Cifuentes_Unpublished,M0775,Costa Rica,9.974631965,-85.11853433
Cifuentes_Unpublished,M0776,Costa Rica,9.963786933,-85.03916044
Cifuentes_Unpublished,M0777,Costa Rica,9.827680613,-84.92103989
WISE,M1713,Cuba,20.03333,-75.1667
AfSPDB,M1711,Dem. Rep. Congo,-5.97,12.37
WISE,M1712,Dem. Rep. Congo,-5.96972,12.36972
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_1,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_10,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_11,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_12,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_13,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_14,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_15,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_2,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_3,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_4,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_5,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_6,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_7,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_8,Denmark,56.88,9.07
Krause-Jensen_et_al_2011,Krause-Jensen_et_al_2011_9,Denmark,56.88,9.07
Kauffmann_et_al_2014,M0007,Dominican Rep.,19.7010131,-71.7086917
Twilley_et_al_1997,M0087,Ecuador,-2.448136,-79.690736
Twilley_et_al_1997,M0088,Ecuador,-2.448372,-79.690668
Twilley_et_al_1997,M0089,Ecuador,-2.435707,-79.687784
Twilley_et_al_1997,M0090,Ecuador,-2.435771,-79.687614
Twilley_et_al_1997,M0091,Ecuador,-2.428006,-79.687389
Twilley_et_al_1997,M0092,Ecuador,-2.42792,-79.687291
DelVecchia_et_al_2014,M1309,Ecuador,0.627087,-80.027614
DelVecchia_et_al_2014,M1310,Ecuador,0.564864,-80.002429
DelVecchia_et_al_2014,M1311,Ecuador,0.565026,-79.999949
DelVecchia_et_al_2014,M1312,Ecuador,0.564339,-80.001377
DelVecchia_et_al_2014,M1313,Ecuador,0.566157,-80.00109
DelVecchia_et_al_2014,M1314,Ecuador,0.565832,-80.001844
DelVecchia_et_al_2014,M1315,Ecuador,0.559662,-79.998071
DelVecchia_et_al_2014,M1316,Ecuador,0.557907,-79.999644
Cifuentes_Unpublished,M0790,El Salvador,13.18720617,-88.3295247
Cifuentes_Unpublished,M0791,El Salvador,13.19933758,-88.33668578
Cifuentes_Unpublished,M0792,El Salvador,13.20256818,-88.32809721
Cifuentes_Unpublished,M0793,El Salvador,13.2493033,-88.77695248
Cifuentes_Unpublished,M0794,El Salvador,13.25380382,-88.78622157
Cifuentes_Unpublished,M0795,El Salvador,13.23565457,-88.44970083
Cifuentes_Unpublished,M0796,El Salvador,13.24832506,-88.47356
Cifuentes_Unpublished,M0797,El Salvador,13.23216275,-88.46892756
Cifuentes_Unpublished,M0798,El Salvador,13.28190758,-88.69422661
Cifuentes_Unpublished,M0799,El Salvador,13.24134956,-88.44592302
Cifuentes_Unpublished,M0800,El Salvador,13.21644845,-88.45841791
Cifuentes_Unpublished,M0801,El Salvador,13.2226727,-88.45277574
Cifuentes_Unpublished,M0802,El Salvador,13.19217184,-88.39703635
Cifuentes_Unpublished,M0803,El Salvador,13.2577981,-88.56111599
Cifuentes_Unpublished,M0804,El Salvador,13.24060294,-88.56942438
Cifuentes_Unpublished,M0805,El Salvador,13.27179949,-88.76576539
Cifuentes_Unpublished,M0806,El Salvador,13.22738367,-88.60431432
Cifuentes_Unpublished,M0807,El Salvador,13.26990876,-88.82964245
