study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,compaction_fraction,total_pb210_activity,total_pb210_activity_se,pb210_unit,c14_age,c14_age_se,c14_material,delta_c13
Lafratta_et_al_2018,False bay,1Rs,single set of methods,25,26,0.6389609699792401,NA,0.6428404290059887,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,26,27,0.5380856557400873,0.004982333163309442,0.642470248685407,NA,NA,NA,NA,NA,NA,-12.817774931819821
Lafratta_et_al_2018,False bay,1Rs,single set of methods,27,28,0.7810893281933293,NA,0.6421278690629928,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,28,29,0.7138723042658823,0.004614954897941338,0.641810271714963,NA,NA,NA,NA,NA,NA,-14.237621405094407
Lafratta_et_al_2018,False bay,1Rs,single set of methods,29,30,0.6958566058357284,NA,0.6415148599174879,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,30,31,0.6300597886526935,0.006770105959007118,0.6412393874881371,NA,NA,NA,NA,NA,NA,-11.558525396648543
Lafratta_et_al_2018,False bay,1Rs,single set of methods,31,32,0.7061637715215471,NA,0.6409819015658568,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,32,33,0.8109380510575837,0.0037492271711129354,0.6407406962448591,NA,NA,NA,NA,NA,NA,-13.393047927023966
Lafratta_et_al_2018,False bay,1Rs,single set of methods,33,34,0.478839262797359,NA,0.640514274734041,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,34,35,0.8225455490987947,0.003847955055776723,0.64030131826742,NA,NA,NA,NA,NA,NA,-13.852138902362242
Lafratta_et_al_2018,False bay,1Rs,single set of methods,35,36,0.6130254347970058,NA,0.6401006604009957,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,36,37,0.5577186425372616,0.0044155035651697,0.6399112656378315,NA,NA,NA,NA,NA,NA,-12.478438216023529
Lafratta_et_al_2018,False bay,1Rs,single set of methods,37,38,0.6638176356603572,NA,0.6397322115542553,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,38,39,0.5436669260217659,0.004229496648335854,0.6395626737759107,NA,NA,NA,NA,NA,NA,-13.006270820040422
Lafratta_et_al_2018,False bay,1Rs,single set of methods,39,40,0.7387899230261549,NA,0.6394019132872636,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,40,41,0.7915590354235725,0.0036735141001173976,0.639249265662406,NA,NA,NA,NA,NA,NA,-13.479785694511335
Lafratta_et_al_2018,False bay,1Rs,single set of methods,41,42,0.7326742974171863,NA,0.6391041318861522,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,42,43,0.8020998545794977,0.00494940931858954,0.6389659704980283,NA,NA,NA,NA,NA,NA,-11.509676226830271
Lafratta_et_al_2018,False bay,1Rs,single set of methods,43,44,0.7699755500933007,NA,0.638834290841939,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,44,45,0.5683244783109653,0.004603702088681461,0.6387086472441174,NA,NA,NA,NA,NA,NA,-12.872073296062831
Lafratta_et_al_2018,False bay,1Rs,single set of methods,45,46,0.7346999714145734,NA,0.6385886339737668,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,46,47,0.513318387908404,0.0038159901112918815,0.6384738808663257,NA,NA,NA,NA,NA,NA,-13.310792024215774
Lafratta_et_al_2018,False bay,1Rs,single set of methods,47,48,0.5346032031507971,NA,0.6383640495098859,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,48,49,0.5703298346152975,0.012378948461480117,0.6382588299120001,NA,NA,NA,NA,NA,NA,-10.071666248838522
Lafratta_et_al_2018,False bay,1Rs,single set of methods,49,50,0.7105422343744822,NA,0.6381579375777348,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,50,51,0.7407444850978664,NA,0.6380611109409615,NA,NA,NA,NA,NA,NA,-9.9111904769790886
Lafratta_et_al_2018,False bay,1Rs,single set of methods,51,52,0.6437376596160125,NA,0.6379681091000522,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,52,53,0.6887088414196609,0.008064556260665877,0.637878709816708,NA,NA,NA,NA,NA,NA,-11.685940507657222
Lafratta_et_al_2018,False bay,1Rs,single set of methods,53,54,0.7238868951717402,NA,0.6377927077429238,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,54,55,0.6929369533440034,NA,0.637709912846312,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,55,56,0.8247642411801891,NA,0.6376301490083691,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,56,57,0.6809210696724285,NA,0.6375532527739259,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,57,58,0.6443329680224672,NA,0.6374790722330892,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,58,59,0.6135658854322146,NA,0.6374074660195882,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,59,60,0.5916146498576857,NA,0.6373383024116233,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,60,61,0.9395023173894524,0.0037550483740044784,0.6372714585231871,NA,NA,NA,NA,NA,NA,-13.935027580605372
Lafratta_et_al_2018,False bay,1Rs,single set of methods,61,62,0.6023281694045657,NA,0.6372068195754114,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,62,63,0.9036212714577356,NA,0.637144278238851,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,63,64,0.46505980336877406,NA,0.6370837340387772,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,64,65,0.5244585790093982,0.009564331812590206,0.6370250928165467,NA,NA,NA,NA,NA,NA,-10.636796542495423
Lafratta_et_al_2018,False bay,2Rs,single set of methods,1,1.5,0.5542403859136715,0.012325840209173164,1.0012014417300732,NA,NA,NA,NA,NA,NA,-15.942411458527587
Lafratta_et_al_2018,False bay,2Rs,single set of methods,2,2.5,0.7754817682300661,NA,0.8499426288725519,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,3,3.5,0.6714427491448264,0.003992921960072585,0.8091924259588931,NA,NA,NA,NA,NA,NA,-13.1
Lafratta_et_al_2018,False bay,2Rs,single set of methods,4,4.5,0.8172683976112979,NA,0.790248335539443,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,5,5.5,0.7877493808124265,0.005567140390490092,0.7793017456359106,NA,NA,NA,NA,NA,NA,-12.6
Lafratta_et_al_2018,False bay,2Rs,single set of methods,6,6.5,0.4618250415056263,NA,0.7721709586502445,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,7,7.5,0.6008595632538899,0.011047080508099818,0.7671569164675711,NA,NA,NA,NA,NA,NA,-12.105680257377973
Lafratta_et_al_2018,False bay,2Rs,single set of methods,8,8.5,0.36219895198999086,NA,0.7634389105726749,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,9,9.5,0.4163503115662258,0.01921128463259676,0.7605719501064797,NA,NA,NA,NA,NA,NA,-10.146402059376186
Lafratta_et_al_2018,False bay,2Rs,single set of methods,10,10.5,0.4183826752649492,NA,0.7582938388625592,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,11,11.5,0.38887313335510976,0.01204217112551106,0.7564400555639603,NA,NA,NA,NA,NA,NA,-10.217542986198364
Lafratta_et_al_2018,False bay,2Rs,single set of methods,12,12.5,0.22315732407495217,NA,0.7549021458093492,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,13,13.5,0.3092366909880603,0.015929386585343677,0.7536057134907017,NA,NA,NA,NA,NA,NA,-9.9181582524883609
Lafratta_et_al_2018,False bay,2Rs,single set of methods,14,14.5,0.4008091248211293,NA,0.7524980246926851,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,15,15.5,0.2605760296095241,0.0097650739660446,0.7515406583496166,NA,NA,NA,NA,NA,NA,-10.150354333088529
Lafratta_et_al_2018,False bay,2Rs,single set of methods,16,16.5,0.6522039869525279,NA,0.7507049588754441,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,17,17.5,0.7839736375306533,0.005135035893348659,0.7499691189186327,NA,NA,NA,NA,NA,NA,-10.894369859437148
Lafratta_et_al_2018,False bay,2Rs,single set of methods,18,18.5,0.45119184728237777,NA,0.7493162489228579,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,19,19.5,0.4998880394948087,0.010281993598744755,0.7487330648402835,NA,NA,NA,NA,NA,NA,-10.881524969872036
Lafratta_et_al_2018,False bay,2Rs,single set of methods,20,20.5,0.36325303339550175,NA,0.7482089747666524,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,2Rs,single set of methods,21,21.5,0.6271671848493385,0.007774069453999779,0.6532349126065006,NA,NA,NA,NA,NA,NA,-9.7225207037273691
Lafratta_et_al_2018,False bay,2Rs,single set of methods,25,26,0.8767097061737433,0.014199475217065126,0.6655148822437967,NA,NA,NA,NA,NA,NA,-9.2097131895508326
Lafratta_et_al_2018,False bay,2Rs,single set of methods,29,30,0.97294911503875,0.003612919534440529,0.6746994679180403,NA,NA,NA,NA,NA,NA,-10.208650370345591
Lafratta_et_al_2018,False bay,2Rs,single set of methods,33,34,0.9078370853868729,0.008219710403269772,0.6818280429675635,NA,NA,NA,NA,NA,NA,-9.4982291705518875
Lafratta_et_al_2018,False bay,2Rs,single set of methods,37,38,0.9484008619016013,0.005509263005063674,0.6875214850464076,NA,NA,NA,NA,NA,NA,-10.010048616300342
Lafratta_et_al_2018,False bay,2Rs,single set of methods,41,42,0.9425595928094792,0.0026232805847602853,0.6921735431013089,NA,NA,NA,NA,NA,NA,-12.436744675679108
Lafratta_et_al_2018,False bay,2Rs,single set of methods,45,46,1.0015508441426058,0.003329303115575628,0.6960459947193312,NA,NA,NA,NA,NA,NA,-11.293549504383819
Lafratta_et_al_2018,False bay,2Rs,single set of methods,49,50,0.9437818534954208,0.006586682061797697,0.6993196618718076,NA,NA,NA,NA,NA,NA,-11.034675576225332
Lafratta_et_al_2018,False bay,2Rs,single set of methods,53,54,0.8971766508576382,0.004798018036053856,0.7021234597994577,NA,NA,NA,NA,NA,NA,-10.155294675228959
Lafratta_et_al_2018,False bay,2Rs,single set of methods,57,58,1.048897456847635,0.00535601798400737,0.7045517752850653,NA,NA,NA,NA,NA,NA,-12.031636620163923
Lafratta_et_al_2018,False bay,2Rs,single set of methods,61,62,1.264364131926302,0.0066924034880697925,0.7066753012348282,NA,NA,NA,NA,NA,NA,-13.658899666721528
Lafratta_et_al_2018,False bay,2Rs,single set of methods,65,66,0.9295499779793068,0.008789893344238665,0.7085480324711213,NA,NA,NA,NA,NA,NA,-10.522856130476882
Lafratta_et_al_2018,False bay,2Rs,single set of methods,69,70,0.9297643473437962,0.00386611613778708,0.7102119210614889,NA,NA,NA,NA,NA,NA,-11.62356435936448
Lafratta_et_al_2018,False bay,2Rs,single set of methods,73,74,1.1325548052503247,0.007050885443057965,0.7117000564485387,NA,NA,NA,NA,NA,NA,-12.417509927485579
Lafratta_et_al_2018,False bay,3Rs,single set of methods,1,1.5,1.172777341388988,0.015820630906796106,1.0008006405124081,17.25444353781773,1.4471227095821062,becquerelsPerKilogram,NA,NA,NA,-14.154901111688957
Lafratta_et_al_2018,False bay,3Rs,single set of methods,2,2.5,0.735816691347836,NA,0.8785416209092911,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,3,3.5,0.8604155570419264,0.008554933141031302,0.8441668073611357,NA,NA,NA,NA,NA,NA,-13.29452800848571
Lafratta_et_al_2018,False bay,3Rs,single set of methods,4,4.5,0.8754369397134326,NA,0.8279687855767839,16.526969761629964,1.2939210478177672,becquerelsPerKilogram,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,5,5.5,0.7014817435962505,0.011754385759862724,0.8185449544889011,NA,NA,NA,NA,NA,NA,-14.536629867822818
Lafratta_et_al_2018,False bay,3Rs,single set of methods,6,6.5,0.9762869014547032,NA,0.8123806815873919,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,7,7.5,0.7021020882743751,0.0051112699026990525,0.8080341683019742,17.11468698450922,1.5742244950673256,becquerelsPerKilogram,NA,NA,NA,-13.828916431139474
Lafratta_et_al_2018,False bay,3Rs,single set of methods,8,8.5,0.7082327010650701,NA,0.8048046839632609,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,9,9.5,0.6883213949591108,0.006705178739366018,0.8023106546854945,NA,NA,NA,NA,NA,NA,-13.624832165347648
Lafratta_et_al_2018,False bay,3Rs,single set of methods,10,10.5,0.7002536118245767,NA,0.8003265332255561,12.567140190834523,0.9850282143294657,becquerelsPerKilogram,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,11,11.5,0.7023884012027382,0.0064370401671474545,0.7987104456804288,NA,NA,NA,NA,NA,NA,-13.264859970444217
Lafratta_et_al_2018,False bay,3Rs,single set of methods,12,12.5,0.5638857778645273,NA,0.7973686833449617,13.734818552797826,0.973919706654728,becquerelsPerKilogram,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,13,13.5,0.8622364068056497,0.010271597738981085,0.7962368620917756,NA,NA,NA,NA,NA,NA,-11.437308827088348
Lafratta_et_al_2018,False bay,3Rs,single set of methods,14,14.5,0.85758256596126,NA,0.7952692838600101,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,15,15.5,0.6531953193791463,0.010142355347226658,0.7944326162254918,NA,NA,NA,NA,NA,NA,-12.812916857612166
Lafratta_et_al_2018,False bay,3Rs,single set of methods,16,16.5,0.6693443731457136,NA,0.7937019748297263,11.351945671720362,1.0341699454578301,becquerelsPerKilogram,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,17,17.5,0.7481206127167892,0.009063184316847953,0.7930584064191081,NA,NA,NA,NA,NA,NA,-12.742702500913971
Lafratta_et_al_2018,False bay,3Rs,single set of methods,18,18.5,0.8691958201784592,NA,0.7924872211435592,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,19,19.5,0.8175640554299312,0.017996854149514983,0.7919768576025611,NA,NA,NA,NA,NA,NA,-12.263069219243189
Lafratta_et_al_2018,False bay,3Rs,single set of methods,20,20.5,0.7322026185064519,NA,0.7915180921247909,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,3Rs,single set of methods,21,21.5,0.5687085182214857,0.012775558778625875,0.6913102304038239,NA,NA,NA,NA,NA,NA,-9.7778765659675955
Lafratta_et_al_2018,False bay,3Rs,single set of methods,25,26,0.36079572976926577,0.010654768096842085,0.7044972285079031,8.996024148447486,0.8619163865554836,becquerelsPerKilogram,NA,NA,NA,-9.3239555839327792
Lafratta_et_al_2018,False bay,3Rs,single set of methods,29,30,0.5249027029695325,0.01504837603711795,0.7143648926605165,NA,NA,NA,NA,NA,NA,-10.031043823921657
Lafratta_et_al_2018,False bay,3Rs,single set of methods,33,34,0.7677776277350578,0.012144925869163657,0.7220263999107313,NA,NA,NA,NA,NA,NA,-9.7027175362624831
Lafratta_et_al_2018,False bay,3Rs,single set of methods,37,38,0.7393058162226704,0.010696765048101268,0.7281472195600023,NA,NA,NA,NA,NA,NA,-10.903284142341501
Lafratta_et_al_2018,False bay,3Rs,single set of methods,41,42,0.9103721400078214,0.00467295794721431,0.7331496286865355,NA,NA,NA,NA,NA,NA,-13.137287406865802
Lafratta_et_al_2018,False bay,3Rs,single set of methods,45,46,0.8386124508193773,0.005940227041310835,0.7373145039593789,NA,NA,NA,NA,NA,NA,-13.632743642158712
Lafratta_et_al_2018,False bay,3Rs,single set of methods,49,50,0.8300506896544892,0.009324634498418586,0.7408359350785815,NA,NA,NA,NA,NA,NA,-10.311901250714438
Lafratta_et_al_2018,False bay,3Rs,single set of methods,53,54,0.9425496947290056,0.005696575847454407,0.7438523410998067,NA,NA,NA,NA,NA,NA,-12.68435535943237
Lafratta_et_al_2018,False bay,3Rs,single set of methods,57,58,0.9294370649132626,0.005665511073690624,0.746465094899286,NA,NA,NA,NA,NA,NA,-11.785413806775182
Lafratta_et_al_2018,False bay,3Rs,single set of methods,61,62,0.7555270761005543,0.02188270489913412,0.748750139623489,NA,NA,NA,NA,NA,NA,-10.350469700168379
Lafratta_et_al_2018,False bay,3Rs,single set of methods,65,66,0.7293181413290184,0.008248225437361282,0.7507654920459282,NA,NA,NA,NA,NA,NA,-11.567848194470908
Lafratta_et_al_2018,False bay,3Rs,single set of methods,69,70,1.0312049860871426,0.008930346362881075,0.7525562372188138,NA,NA,NA,NA,NA,NA,-11.076347697583536
Lafratta_et_al_2018,False bay,3Rs,single set of methods,73,74,0.8644697732227443,0.0056225659322999165,0.7541579413347768,NA,NA,NA,NA,NA,NA,-11.629469176071957
Lafratta_et_al_2018,False bay,3Rs,single set of methods,77,78,0.8515900866009123,0.011780564218301209,0.755599037935978,NA,NA,NA,NA,NA,NA,-11.376983816403982
Lafratta_et_al_2018,False bay,1Rc,single set of methods,1,1.5,0.8332784245408725,0.004787331748864034,1.0010010010009986,NA,NA,NA,NA,NA,NA,-19.915445164745204
Lafratta_et_al_2018,False bay,1Rc,single set of methods,2,2.5,0.8816047467986102,NA,0.8234519104084312,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rc,single set of methods,3,3.5,0.6334483984467647,0.01212295508182657,0.7774840615767371,NA,NA,NA,NA,NA,NA,-13.533850182020405
Lafratta_et_al_2018,False bay,1Rc,single set of methods,4,4.5,0.7559007141343916,NA,0.7563724377883666,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rc,single set of methods,5,5.5,0.5172731313531937,0.011057684220759057,0.7442469709148288,NA,NA,NA,NA,NA,NA,-13.384521057211565
Lafratta_et_al_2018,False bay,1Rc,single set of methods,6,6.5,0.6523982778088884,NA,0.7363770250368192,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rc,single set of methods,7,7.5,0.4401928743554942,0.013636064891840717,0.7308567729541233,NA,NA,NA,NA,NA,NA,-11.887274070717634
Lafratta_et_al_2018,False bay,1Rc,single set of methods,8,8.5,0.4789237681394836,NA,0.7267705948617321,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rc,single set of methods,9,9.5,0.5928462634425556,0.016808922761053013,0.7236239085339382,NA,NA,NA,NA,NA,NA,-10.341569288755931
Lafratta_et_al_2018,False bay,1Rc,single set of methods,10,10.5,0.6465407545307047,NA,0.7211261105342104,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rc,single set of methods,11,11.5,0.4320683312572136,0.017263687356300003,0.7190952474341376,NA,NA,NA,NA,NA,NA,-9.9331392983847344
Lafratta_et_al_2018,False bay,1Rc,single set of methods,12,12.5,0.6686489471198489,NA,0.7174115790228855,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rc,single set of methods,13,13.5,0.45756913800450577,0.011051024406221424,0.7159930824052962,NA,NA,NA,NA,NA,NA,-11.133705904463753
