"ID","SUBPID","SAMP","MIND","MAXD","INTD","AREA","VOL","DWT","BD","C","N","C_CONT","N_CONT","CNR"
3849,488,2,15.00,30.00,15.00,19.28,96.40,40.12,0.41,10.78,,67.34,,
3850,488,3,30.00,50.00,20.00,19.28,96.40,39.90,0.41,11.21,,92.85,,
3851,488,4,50.00,86.00,50.00,19.28,96.40,76.38,0.79,2.32,,92.20,,
3852,488,5,100.00,200.00,100.00,19.28,96.40,86.07,0.89,1.45,,129.53,,
3853,489,1,0.00,15.00,15.00,19.28,96.40,37.71,0.39,9.64,,56.63,,
3854,489,2,15.00,30.00,15.00,19.28,96.40,34.31,0.35,12.12,,64.75,,
3855,489,3,30.00,50.00,20.00,19.28,96.40,41.61,0.43,11.52,,99.53,,
3856,489,4,50.00,70.00,50.00,19.28,96.40,42.34,0.43,8.71,,191.36,,
3857,489,5,100.00,200.00,100.00,19.28,96.40,86.67,0.89,1.28,,115.97,,
3858,490,1,0.00,15.00,15.00,19.28,96.40,30.42,0.31,9.90,,46.88,,
3859,490,2,15.00,30.00,15.00,19.28,96.40,37.79,0.39,5.85,,34.43,,
3860,490,3,30.00,50.00,20.00,19.28,96.40,36.08,0.37,6.09,,45.60,,
3861,490,4,50.00,100.00,50.00,19.28,96.40,43.22,0.44,3.50,,78.56,,
3862,490,5,100.00,200.00,100.00,19.28,96.40,53.86,0.55,1.52,,85.19,,
3863,491,1,0.00,15.00,15.00,19.28,96.40,10.41,0.10,28.59,,46.36,,
3864,491,2,15.00,30.00,15.00,19.28,96.40,26.17,0.27,9.90,,40.34,,
3865,491,3,30.00,50.00,20.00,19.28,96.40,38.41,0.39,6.22,,49.64,,
3866,491,4,50.00,100.00,50.00,19.28,96.40,41.35,0.42,4.42,,94.81,,
3867,491,5,100.00,200.00,100.00,19.28,96.40,49.09,0.50,1.74,,89.02,,
3868,492,1,0.00,15.00,15.00,19.28,96.40,16.35,0.16,24.24,,61.69,,
3869,492,2,15.00,30.00,15.00,19.28,96.40,40.85,0.42,6.12,,38.94,,
3870,492,3,30.00,50.00,20.00,19.28,96.40,38.49,0.39,7.78,,62.17,,
3871,492,4,50.00,100.00,50.00,19.28,96.40,37.74,0.39,5.85,,114.65,,
3872,492,5,100.00,200.00,100.00,19.28,96.40,53.61,0.55,1.66,,92.65,,
3873,493,1,0.00,15.00,15.00,19.28,96.40,17.98,0.18,19.45,,54.45,,
3874,493,2,15.00,30.00,15.00,19.28,96.40,34.08,0.35,10.11,,53.64,,
3875,493,3,30.00,50.00,20.00,19.28,96.40,38.47,0.39,5.99,,47.85,,
3876,493,4,50.00,100.00,50.00,19.28,96.40,44.21,0.45,3.58,,82.18,,
3877,493,5,100.00,200.00,100.00,19.28,96.40,49.35,0.51,1.66,,85.26,,
3878,494,1,0.00,15.00,15.00,19.28,96.40,18.78,0.19,16.83,,49.21,,
3879,494,2,15.00,30.00,15.00,19.28,96.40,37.33,0.38,7.54,,43.82,,
3880,494,3,30.00,50.00,20.00,19.28,96.40,41.76,0.43,5.00,,43.33,,
3881,494,4,50.00,100.00,50.00,19.28,96.40,39.74,0.41,4.67,,96.39,,
3882,494,5,100.00,200.00,100.00,19.28,96.40,48.12,0.49,1.92,,95.88,,
3883,495,1,0.00,15.00,15.00,19.28,96.40,47.73,0.49,4.93,,36.61,,
3884,495,2,15.00,30.00,15.00,19.28,96.40,39.48,0.40,5.37,,32.98,,
3885,495,3,30.00,50.00,20.00,19.28,96.40,29.59,0.30,7.26,,44.56,,
3886,495,4,50.00,90.00,40.00,19.28,96.40,37.74,0.39,5.54,,86.75,,
3887,495,5,90.00,150.00,60.00,19.28,96.40,48.77,0.50,2.04,,61.92,,
3888,496,1,0.00,15.00,15.00,19.28,96.40,38.43,0.39,4.96,,29.65,,
3889,496,2,15.00,30.00,15.00,19.28,96.40,34.96,0.36,4.81,,26.16,,
3890,496,3,30.00,50.00,20.00,19.28,96.40,47.13,0.48,4.35,,42.53,,
3891,496,4,50.00,90.00,40.00,19.28,96.40,45.14,0.46,4.65,,87.09,,
3892,496,5,90.00,190.00,100.00,19.28,96.40,53.96,0.55,1.83,,102.43,,
3893,497,1,0.00,15.00,15.00,19.28,96.40,39.99,0.41,4.20,,26.13,,
3894,497,2,15.00,30.00,15.00,19.28,96.40,41.67,0.43,7.27,,47.13,,
3895,497,3,30.00,50.00,20.00,19.28,96.40,34.35,0.35,6.62,,47.17,,
3896,497,4,50.00,70.00,20.00,19.28,96.40,41.21,0.42,5.85,,50.01,,
3897,497,5,70.00,120.00,50.00,19.28,96.40,42.02,0.43,2.93,,63.85,,
3898,498,1,0.00,15.00,15.00,19.28,96.40,45.89,0.47,5.04,,36.01,,
3899,498,2,15.00,30.00,15.00,19.28,96.40,34.20,0.35,6.15,,32.75,,
3900,498,3,30.00,50.00,20.00,19.28,96.40,32.61,0.33,5.42,,36.69,,
3901,498,4,50.00,90.00,40.00,19.28,96.40,39.12,0.40,5.25,,85.38,,
3902,498,5,90.00,180.00,90.00,19.28,96.40,47.05,0.48,2.43,,107.15,,
3903,499,1,0.00,15.00,15.00,19.28,96.40,40.14,0.41,4.42,,27.63,,
3904,499,2,15.00,30.00,15.00,19.28,96.40,36.60,0.37,6.09,,34.70,,
3905,499,3,30.00,50.00,20.00,19.28,96.40,34.96,0.36,4.77,,34.66,,
3906,499,4,50.00,90.00,40.00,19.28,96.40,48.82,0.50,4.07,,82.64,,
3907,499,5,90.00,180.00,90.00,19.28,96.40,41.57,0.43,1.92,,74.88,,
3908,500,1,0.00,15.00,15.00,19.28,96.40,44.23,0.45,3.86,,26.58,,
3909,500,2,15.00,30.00,15.00,19.28,96.40,50.30,0.52,4.31,,33.75,,
3910,500,3,30.00,50.00,20.00,19.28,96.40,36.23,0.37,4.84,,36.39,,
3911,500,4,50.00,90.00,40.00,19.28,96.40,33.45,0.34,5.03,,69.90,,
3912,500,5,90.00,190.00,100.00,19.28,96.40,40.65,0.42,4.07,,171.98,,
3913,501,1,0.00,15.00,15.00,19.28,96.40,54.58,0.56,4.26,,36.25,,
3914,501,2,15.00,30.00,15.00,19.28,96.40,45.78,0.47,4.55,,32.47,,
3915,501,3,30.00,50.00,20.00,19.28,96.40,35.48,0.36,7.60,,55.99,,
3916,501,4,50.00,90.00,40.00,19.28,96.40,37.53,0.38,6.35,,98.89,,
3917,501,5,90.00,180.00,90.00,19.28,96.40,36.42,0.37,2.32,,79.19,,
3918,502,1,0.00,15.00,15.00,19.28,96.40,48.50,0.50,3.88,,29.30,,
3919,502,2,15.00,30.00,15.00,19.28,96.40,49.49,0.51,5.65,,43.55,,
3920,502,3,30.00,50.00,20.00,19.28,96.40,44.82,0.46,6.31,,58.75,,
3921,502,4,50.00,90.00,40.00,19.28,96.40,35.31,0.36,8.05,,118.07,,
3922,502,5,90.00,180.00,90.00,19.28,96.40,45.19,0.46,2.36,,99.68,,
3923,503,1,0.00,15.00,15.00,19.28,96.40,25.01,0.25,13.65,,53.16,,
3924,503,2,15.00,30.00,15.00,19.28,96.40,26.28,0.27,8.19,,33.50,,
3925,503,3,30.00,50.00,20.00,19.28,96.40,34.68,0.35,6.66,,47.95,,
3926,503,4,50.00,82.00,32.00,19.28,96.40,53.67,0.55,2.32,,41.47,,
3927,503,5,82.00,145.00,63.00,19.28,96.40,75.52,0.78,1.01,,49.93,,
3928,504,1,0.00,15.00,15.00,19.28,96.40,22.62,0.23,16.58,,58.37,,
3929,504,2,15.00,30.00,15.00,19.28,96.40,27.97,0.29,10.47,,45.61,,
3930,504,3,30.00,50.00,20.00,19.28,96.40,50.83,0.52,2.83,,29.92,,
3931,504,4,50.00,92.00,42.00,19.28,96.40,60.92,0.63,1.92,,50.97,,
3932,504,5,92.00,143.00,51.00,19.28,96.40,67.66,0.70,1.27,,45.70,,
3933,505,1,0.00,15.00,15.00,19.28,96.40,27.44,0.28,11.17,,47.70,,
3934,505,2,15.00,30.00,15.00,19.28,115.68,34.94,0.30,8.56,,38.79,,
3935,505,3,30.00,50.00,20.00,19.28,96.40,40.19,0.41,4.71,,39.28,,
3936,505,4,50.00,84.00,34.00,19.28,96.40,51.22,0.53,2.15,,38.90,,
3937,505,5,84.00,161.00,77.00,19.28,96.40,73.26,0.76,1.16,,68.20,,
3938,506,1,0.00,15.00,15.00,19.28,96.40,57.44,0.59,2.33,,20.86,,
3939,506,2,15.00,30.00,15.00,19.28,96.40,52.45,0.54,2.14,,17.51,,
3940,506,3,30.00,50.00,20.00,19.28,96.40,53.43,0.55,2.41,,26.77,,
3941,506,4,50.00,93.00,43.00,19.28,96.40,43.54,0.45,2.74,,53.39,,
3942,506,5,93.00,181.00,88.00,19.28,96.40,49.35,0.51,2.26,,101.93,,
3943,507,1,0.00,15.00,15.00,19.28,96.40,49.08,0.50,3.63,,27.78,,
3944,507,2,15.00,30.00,15.00,19.28,96.40,49.57,0.51,3.46,,26.70,,
3945,507,3,30.00,50.00,20.00,19.28,96.40,45.55,0.47,3.50,,33.09,,
3946,507,4,50.00,92.00,42.00,19.28,96.40,50.98,0.52,2.78,,61.79,,
3947,507,5,92.00,170.00,78.00,19.28,96.40,59.19,0.61,2.00,,96.13,,
