Saltmarsh_ID,Nation,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture,LOI_Perc,OC_Perc
Milburn (Avon),England,2019,50.30783,-3.853107,SX6814046963,268140,46963,Syringe,0_10,0.35,12.07,22.90,Not Sandy,22.90,12.07
Milburn (Avon),England,2019,50.30779,-3.853416,SX6811846959,268118,46959,Syringe,0_10,0.28,7.37,25.59,Not Sandy,25.59,7.37
Milburn (Avon),England,2019,50.30785,-3.853192,SX6813446965,268134,46965,Syringe,0_10,0.30,12.52,26.84,Not Sandy,26.84,12.52
Milburn (Avon),England,2019,50.30787,-3.853015,SX6814646967,268146,46967,Syringe,0_10,0.26,8.63,29.31,Not Sandy,29.31,8.63
Morston,England,2019,52.96465,0.98447378,TG0053144978,600531,344978,Syringe,0_10,1.05,4.64,12.71,Not Sandy,12.71,4.64
Morston,England,2019,52.96465,0.98447378,TG0053144978,600531,344978,Syringe,0_10,0.54,5.26,13.43,Not Sandy,13.43,5.26
Morston,England,2019,52.96465,0.98447378,TG0053144978,600531,344978,Syringe,0_10,0.65,5.04,14.23,Not Sandy,14.23,5.04
Morston,England,2019,52.96465,0.98447378,TG0053144978,600531,344978,Syringe,0_10,0.63,4.46,16.03,Not Sandy,16.03,4.46
Morston,England,2019,52.96465,0.98447378,TG0053144978,600531,344978,Syringe,0_10,0.43,11.27,16.88,Not Sandy,16.88,11.27
New Water Haugh,England,2019,55.76704,-2.036701944,NT9779652634,397796,652634,Syringe,0_10,0.75,5.84,14.57,Not Sandy,14.57,5.84
New Water Haugh,England,2019,55.76683,-2.036923333,NT9778252610,397782,652610,Syringe,0_10,0.52,7.60,21.48,Not Sandy,21.48,7.60
New Water Haugh,England,2019,55.76676,-2.037009444,NT9777652602,397776,652602,Syringe,0_10,0.46,8.44,23.96,Not Sandy,23.96,8.44
New Water Haugh,England,2019,55.76696,-2.036748889,NT9779352625,397793,652625,Syringe,0_10,0.37,9.16,27.29,Not Sandy,27.29,9.16
New Water Haugh,England,2019,55.76692,-2.036826389,NT9778852620,397788,652620,Syringe,0_10,0.29,10.06,29.18,Not Sandy,29.18,10.06
Newport Gwent,Wales,2019,51.54042,-2.9712693,ST3273782839,332737,182839,Syringe,0_10,0.96,3.78,6.07,Sandy ,6.07,3.78
Newport Gwent,Wales,2019,51.53967,-2.9722608,ST3266782756,332667,182756,Syringe,0_10,0.94,3.31,6.79,Sandy ,6.79,3.31
North Binness Island,England,2019,50.82763,-1.029358333,SU6845903570,468459,103570,Syringe,0_10,0.57,5.74,11.28,Not Sandy,11.28,5.74
North Binness Island,England,2019,50.82759,-1.029338889,SU6846103566,468461,103566,Syringe,0_10,0.77,4.67,11.52,Not Sandy,11.52,4.67
North Binness Island,England,2019,50.82757,-1.0294,SU6845603563,468456,103563,Syringe,0_10,0.70,4.84,12.60,Not Sandy,12.60,4.84
North Binness Island,England,2019,50.82759,-1.029341667,SU6846103566,468461,103566,Syringe,0_10,0.68,4.74,12.90,Not Sandy,12.90,4.74
North Binness Island,England,2019,50.82759,-1.029330556,SU6846103566,468461,103566,Syringe,0_10,0.59,7.02,13.16,Not Sandy,13.16,7.02
Northey Island,England,2019,51.71906,0.71601749,TL8770705750,587707,205750,Syringe,0_10,0.95,5.55,11.15,Not Sandy,11.15,5.55
Northey Island,England,2019,51.7193,0.71583966,TL8769405777,587694,205777,Syringe,0_10,0.55,9.72,14.10,Not Sandy,14.10,9.72
Northey Island,England,2019,51.71917,0.71592917,TL8770005762,587700,205762,Syringe,0_10,0.51,9.57,14.38,Not Sandy,14.38,9.57
Northey Island,England,2019,51.71956,0.71565304,TL8768005805,587680,205805,Syringe,0_10,0.69,6.90,16.18,Not Sandy,16.18,6.90
Parrog,Wales,2019,52.02206,-4.833574,SN0568039752,205680,239752,Syringe,0_10,1.50,0.88,1.83,Sandy ,1.83,0.88
Parrog,Wales,2019,52.02192,-4.8335,SN0568439736,205684,239736,Syringe,0_10,1.30,1.45,3.07,Sandy ,3.07,1.45
Parrog,Wales,2019,52.02164,-4.83349,SN0568339705,205683,239705,Syringe,0_10,1.03,3.74,5.84,Sandy ,5.84,3.74
Penhill,England,2019,51.08278,-4.098333333,SS5312233591,253122,133591,Syringe,0_10,0.77,4.36,8.14,Not Sandy,8.14,4.36
Penhill,England,2019,51.0825,-4.098611111,SS5310233560,253102,133560,Syringe,0_10,0.66,6.26,11.92,Not Sandy,11.92,6.26
