"[ID, identification; gwater/gwet, grams of water per grams of wet sediment; g/cm3, grams per cubic centimeter; cm3voids/cm3wet, cubic centimeters of voids per cubic centimeter of wet sediment; gOM/gdry, grams of organic matter per gram of dry sediment; QA, quality assurance; J, failed QA criteria; BB, reported concentration is below or equal to detection limit; D, there was insufficient material for analysis; 0, passed QA inspection; nem, not enough material]",,,,,,
Sample ID*,"Water Content (gwater/gwet)","Dry Bulk Density (g/cm3)","Porosity (cm3voids/cm3wet)","Loss On Ignition (gOM/gdry)",QA Physical Parameters,QA Loss On Ignition
15BIM09-DA136G,nem,nem,nem,nem,D,D
15BIM09-DA137GfrDA136,nem,nem,nem,nem,D,D
15BIM09-DA138G,0.71,0.33,0.86,0.1038,0,0
15BIM09-DA139G,0.63,0.44,0.81,0.1052,0,0
15BIM09-DA140G,0.39,0.96,0.62,0.0440,0,0
15BIM09-DA141G,0.18,1.46,0.35,0.0042,0,0
15BIM09-DA142G,nem,nem,nem,nem,D,D
15BIM09-DA143G,0.33,1.53,0.55,0.0217,J,0
15BIM09-DA144G,nem,nem,nem,nem,D,D
15BIM09-DA145G,0.18,1.41,0.36,0.0021,0,0
15BIM09-DA146G,0.18,1.57,0.35,0.0035,0,0
15BIM09-DA147G,0.18,1.41,0.36,0.0046,0,0
15BIM09-DA148GfrDA147,0.19,1.50,0.38,0.0049,0,0
15BIM09-DA149G,0.19,1.55,0.37,0.0056,0,0
15BIM09-DA150G,0.18,1.47,0.35,0.0041,0,0
15BIM09-DA151G,0.18,1.49,0.35,0.0043,0,0
15BIM09-DA152G,nem,nem,nem,nem,D,D
15BIM09-DA154G,0.70,0.33,0.86,0.1203,0,0
15BIM09-DA155G,0.21,1.48,0.39,0.0094,0,0
15BIM09-DA156G,0.72,0.30,0.87,0.1230,0,0
15BIM09-DA157G,0.27,1.28,0.48,0.0179,0,0
15BIM09-DA158S,0.15,1.75,0.30,0.0033,BB,BB
15BIM09-DA159S,0.00,1.61,0.01,0.0008,BB,BB
15BIM09-DA160S,0.04,1.51,0.08,0.0004,BB,BB
15BIM09-DA161G,0.25,1.37,0.46,0.0158,0,0
15BIM09-DA162G,0.71,0.27,0.86,0.1276,0,0
15BIM09-DA163G,0.19,1.37,0.37,0.0038,0,0
15BIM09-DA164G,0.19,1.40,0.36,0.0047,0,0
15BIM09-DA165G,0.20,1.42,0.38,0.0091,0,0
15BIM09-DA166G,0.19,1.51,0.38,0.0040,0,0
15BIM09-DA169G,0.19,1.40,0.38,0.0052,0,0
15BIM09-DA170GfrDA169,0.20,1.38,0.38,0.0042,0,0
15BIM09-DA172G,0.20,1.41,0.38,0.0055,0,0
15BIM09-DA174G,0.22,1.46,0.41,0.0123,0,0
15BIM09-DA176G,0.56,0.54,0.76,0.0714,0,0
15BIM09-DA177G,0.31,1.15,0.53,0.0338,0,0
15BIM09-DA178G,0.19,1.35,0.37,0.0033,0,0
15BIM09-DA179G,0.20,1.46,0.38,0.0043,0,0
15BIM09-DA180S,0.12,1.64,0.25,0.0032,BB,BB
15BIM09-DA181SfrDA180,0.11,1.38,0.24,0.0034,BB,BB
 15BIM09-DA182S ,0.17,1.42,0.34,0.0007,BB,BB
15BIM09-DA183G,0.21,1.46,0.39,0.0055,0,0
15BIM09-DA184G,0.19,0.77,0.38,0.0058,J,0
15BIM09-DA185G,0.21,1.45,0.39,0.0080,0,0
15BIM09-DA186G,0.26,1.31,0.46,0.0132,0,0
15BIM09-DA187G,0.58,0.52,0.78,0.0911,0,0
15BIM09-DA188G,0.60,0.49,0.79,0.0772,0,0
15BIM09-DA189G,0.73,0.30,0.87,0.1127,0,0
15BIM09-DA190G,0.18,1.50,0.36,0.0054,0,0
15BIM09-DA191G,0.20,1.55,0.38,0.0090,0,0
15BIM09-DA192GfrDA191,0.19,1.52,0.37,0.0100,0,0
15BIM09-DA193G,0.18,1.64,0.36,0.0099,0,0
15BIM09-DA194G,0.71,0.32,0.86,0.1235,0,0
15BIM09-DA195G,0.32,1.12,0.54,0.0201,0,0
15BIM09-DA196G,0.73,0.29,0.87,0.1159,0,0
15BIM09-DA197S,0.18,1.50,0.36,0.0022,BB,BB
15BIM09-DA198S,0.05,1.32,0.11,0.0004,BB,BB
15BIM09-DA199S,0.05,1.28,0.11,0.0009,BB,BB
15BIM09-DA200S,0.08,1.34,0.19,0.0017,BB,BB
15BIM09-DA201S,0.18,1.41,0.36,0.0030,BB,BB
15BIM09-DA202G,0.19,1.40,0.37,0.0046,0,0
15BIM09-DA203GfrDA202,0.19,1.40,0.37,0.0047,0,0
15BIM09-DA204G,0.24,1.36,0.45,0.0244,0,0
15BIM09-DA205G,0.19,1.53,0.36,0.0014,0,0
15BIM09-DA206G,0.17,1.51,0.34,0.0058,0,0
15BIM09-DA207G,0.17,1.54,0.33,0.0081,0,0
15BIM09-DA208G,0.22,1.47,0.41,0.0074,0,0
15BIM09-DA209G,0.18,1.55,0.35,0.0058,0,0
15BIM09-DA210G,0.17,1.49,0.34,0.0050,0,0
15BIM09-DA211G,0.16,1.53,0.32,0.0055,0,0
15BIM09-DA212G,0.20,1.52,0.38,0.0748,J,0
15BIM09-DA213G,0.16,1.54,0.33,0.0055,0,0
15BIM09-DA214GfrDA213,0.16,1.51,0.33,0.0052,0,0
15BIM09-DA215G,0.17,1.58,0.34,0.0051,0,0
15BIM09-DA216G,0.17,1.48,0.34,0.0046,0,0
15BIM09-DA217S,0.02,1.43,0.06,0.0024,BB,BB
15BIM09-DA218S,0.05,0.66,0.12,0.0487,BB,BB
15BIM09-DA219S,0.03,1.40,0.08,0.0058,BB,BB
15BIM09-DA220S,0.00,0.93,0.01,0.0004,BB,BB
15BIM09-DA221G,0.19,1.39,0.38,0.0062,0,0
15BIM09-DA222G,0.21,1.44,0.40,0.0063,0,0
15BIM09-DA223G,0.54,0.58,0.75,0.0963,0,0
15BIM09-DA224GfrDA225(L)&( R),0.67,0.37,0.84,0.0870,0,0
15BIM09-DA225G(L)frDA225( R),0.53,0.60,0.74,0.0734,0,0
15BIM09-DA225G( R),0.53,0.62,0.74,0.0096,0,J
15BIM09-DA226G,0.66,0.39,0.83,0.0984,0,0
15BIM09-DA227G,0.64,0.42,0.82,0.0879,0,0
15BIM09-DA228G,0.53,0.61,0.74,0.0676,0,0
15BIM09-DA229G,0.19,1.48,0.37,0.0082,0,0
15BIM09-DA230G,0.32,1.13,0.54,0.0248,0,0
15BIM09-DA231G,0.16,1.51,0.33,0.0033,0,0
15BIM09-DA232S,0.13,0.82,0.27,0.0017,BB,BB
15BIM09-DA233S,0.04,0.89,0.10,0.0164,BB,BB
15BIM09-DA234S,0.01,0.93,0.01,0.0003,BB,BB
15BIM09-DA235S,0.12,0.83,0.25,0.0022,BB,BB
15BIM09-DA236SfrDA235,0.13,0.83,0.26,0.0023,BB,BB
15BIM09-DA237G,0.19,1.43,0.37,0.0067,0,0
15BIM09-DA238G,0.19,1.53,0.36,0.0130,0,0
15BIM09-DA239G,0.41,0.90,0.63,0.0610,0,0
15BIM09-DA240G,0.69,0.36,0.85,0.1039,0,0
15BIM09-DA241G,0.61,0.47,0.80,0.0953,0,0
15BIM09-DA242G,0.57,0.53,0.77,0.0878,0,0
15BIM09-DA243G,0.55,0.57,0.75,0.0786,0,0
15BIM09-DA244G,0.22,1.46,0.41,0.0180,0,0
15BIM09-DA245G,0.18,1.43,0.36,0.0032,0,0
15BIM09-DA246S,0.18,0.78,0.35,0.0018,BB,BB
15BIM09-DA247S,0.04,0.90,0.09,0.0008,BB,BB
15BIM09-DA248S,0.11,0.84,0.23,0.0009,BB,BB
15BIM09-DA249S,0.17,0.78,0.35,0.0019,BB,BB
15BIM09-DA251G,0.21,1.41,0.39,0.0141,0,0
15BIM09-DA252G,0.29,1.18,0.51,0.0318,0,0
15BIM09-DA253G,0.45,0.79,0.67,0.0543,0,0
15BIM09-DA254G,0.62,0.45,0.80,0.0845,0,0
15BIM09-DA255G,0.27,1.29,0.49,0.0311,0,0
15BIM09-DA257G,0.31,1.17,0.52,0.0222,0,0
15BIM09-DA258GfrDA257,0.29,1.23,0.50,0.0250,0,0
15BIM09-DA259G,0.20,1.43,0.39,0.0066,0,0
15BIM09-DA260G,0.72,0.31,0.86,0.1146,0,0
15BIM09-DA261G,0.66,0.39,0.83,0.0989,0,0
15BIM09-DA262G,0.55,0.60,0.75,0.0775,0,0
15BIM09-DA263G,0.59,0.50,0.78,0.0932,0,0
15BIM09-DA264G,0.18,1.51,0.35,0.0037,0,0
15BIM09-DA266G,0.35,1.05,0.57,0.0332,0,0
15BIM09-DA267G,0.20,1.40,0.38,0.0085,0,0
15BIM09-DA268G,0.20,1.48,0.39,0.0156,0,0
15BIM09-DA269GfrDA268,0.45,0.79,0.67,0.0506,0,0
15BIM09-DA270G,0.64,0.41,0.82,0.1031,0,0
15BIM09-DA271G,0.47,0.74,0.69,0.0662,0,0
15BIM09-DA272G,0.40,0.92,0.62,0.0447,0,0
15BIM09-DA273G,0.18,1.53,0.36,0.0038,0,0
15BIM09-DA274G,0.18,1.46,0.36,0.0039,0,0
15BIM09-DA275G,0.26,1.32,0.47,0.0296,0,0
15BIM09-DA276G,0.33,1.09,0.55,0.0355,0,0
15BIM09-DA277G,0.34,1.08,0.56,0.0390,0,0
15BIM09-DA278G,0.35,1.05,0.57,0.0342,0,0
15BIM09-DA279G,0.56,0.57,0.76,0.0694,0,0
15BIM09-DA280GfrDA279,0.59,0.53,0.78,0.0727,0,0
15BIM09-DA281G,0.18,1.51,0.36,0.0066,0,0
15BIM09-DA282G,0.66,0.40,0.83,0.0978,0,0
15BIM09-DA283G,0.56,0.57,0.76,0.0524,0,0
15BIM09-DA284G,0.20,1.53,0.38,0.0109,0,0
15BIM09-DA285G,0.18,1.51,0.36,0.0044,0,0
15BIM09-DA286G,0.18,1.54,0.35,0.0028,0,0
15BIM09-DA287G,0.24,1.34,0.45,0.0194,0,0
15BIM09-DA288G,0.65,0.42,0.82,0.0885,0,0
15BIM09-DA289G,0.68,0.37,0.84,0.1045,0,0
15BIM09-DA290G,0.18,1.53,0.35,0.0116,0,0
15BIM09-DA291GfrDA290,0.28,1.27,0.49,0.0200,0,0
15BIM09-DA292G,0.48,0.72,0.69,0.0418,0,0
15BIM09-DA293G,0.21,1.43,0.40,0.0164,0,0
15BIM09-DA294G,0.52,0.64,0.73,0.0552,0,0
15BIM09-DA295G,0.25,1.37,0.45,0.0207,0,0
15BIM09-DA296G,0.23,1.42,0.43,0.0211,0,0
15BIM09-DA297G,0.60,0.50,0.79,0.0774,0,0
15BIM09-DA298G,0.62,0.48,0.80,0.0651,0,0
15BIM09-DA299G,0.47,0.79,0.69,0.0367,0,0
15BIM09-DA300G,0.18,1.51,0.36,0.0047,0,0
15BIM09-DA301G,0.19,1.44,0.37,0.0042,0,0
15BIM09-DA302GfrDA301,0.20,1.33,0.38,0.0049,0,0
15BIM09-DA303G,0.23,1.42,0.43,0.0145,0,0
15BIM09-DA304G,0.56,0.58,0.76,0.0672,0,0
15BIM09-DA305G,0.16,1.68,0.32,0.0126,0,0
15BIM09-DA306G,0.30,1.19,0.52,0.0251,0,0
15BIM09-DA307G,0.41,0.89,0.64,0.0388,0,0
15BIM09-DA308G,0.44,0.83,0.66,0.0359,0,0
15BIM09-DA309G,0.24,1.38,0.44,0.0168,0,0
15BIM09-DA310G,0.17,1.54,0.34,0.0210,0,0
15BIM09-DA311G,0.18,1.41,0.36,0.0046,0,0
15BIM09-DA312G,0.19,1.47,0.38,0.0093,0,0
15BIM09-DA313GfrDA312,0.20,1.35,0.39,0.0098,0,0
15BIM09-DA314G,0.17,1.61,0.33,0.0127,0,0
15BIM09-DA315G,0.52,0.66,0.73,0.0766,0,0
15BIM09-DA316G,0.35,1.06,0.57,0.0255,0,0
15BIM09-DA317G,0.51,0.67,0.73,0.0556,0,0
15BIM09-DA318G,0.49,0.72,0.71,0.0555,0,0
15BIM09-DA319G,0.19,1.45,0.37,0.0050,0,0
15BIM09-DA320G,0.18,1.52,0.35,0.0028,0,0
15BIM09-DA321G,0.19,1.44,0.36,0.0040,0,0
15BIM09-DA322G,0.18,1.49,0.35,0.0043,0,0
15BIM09-DA323G,0.18,1.42,0.35,0.0038,0,0
15BIM09-DA324GfrDA323,0.18,1.49,0.36,0.0035,0,0
15BIM09-DA325G,0.18,1.59,0.35,0.0044,0,0
15BIM09-DA326G,0.20,1.48,0.39,0.0044,0,0
15BIM09-DA327G,0.61,0.47,0.80,0.0531,0,0
15BIM09-DA328G,0.69,0.36,0.85,0.1046,0,0
15BIM09-DA329G,0.73,0.29,0.87,0.1147,0,0
15BIM09-DA330G,0.19,1.57,0.37,0.0033,0,0
15BIM09-DA331G,0.18,1.46,0.36,0.0031,0,0
15BIM09-DA332G,0.19,1.50,0.37,0.0035,0,0
15BIM09-DA333G,0.18,1.48,0.35,0.0029,0,0
15BIM09-DA334GfrDA333,0.18,1.47,0.36,0.0030,0,0
15BIM09-DA335G,0.18,1.48,0.36,0.0062,0,0
15BIM09-DA336G,0.17,1.52,0.34,0.0066,0,0
15BIM09-DA337G,0.30,1.20,0.51,0.0280,0,0
15BIM09-DA338G,0.55,0.60,0.75,0.0619,0,0
15BIM09-DA339G,0.18,1.59,0.35,0.0090,0,0
15BIM09-DA340G,0.18,1.44,0.36,0.0054,0,0
15BIM09-DA341G,0.18,1.49,0.35,0.0037,0,0
15BIM09-DA342G,0.18,1.49,0.36,0.0052,0,0
15BIM09-DA343G,0.21,1.46,0.40,0.0198,0,0
15BIM09-DA344G,0.18,1.50,0.36,0.0036,0,0
15BIM09-DA345G,0.18,1.55,0.36,0.0089,0,0
15BIM09-DA346GfrDA345,0.21,1.48,0.39,0.0113,0,0
15BIM09-DA347G,0.74,0.27,0.88,0.1166,0,0
15BIM09-DA348G,0.68,0.37,0.84,0.0887,0,0
15BIM09-DA349G,0.61,0.47,0.80,0.0798,0,0
15BIM09-DA350G,0.18,1.49,0.35,0.0084,0,0
15BIM09-DA351G,0.29,1.23,0.50,0.0145,0,0
15BIM09-DA352G,0.37,1.01,0.59,0.0243,0,0
15BIM09-DA353G,0.50,0.68,0.72,0.0415,0,0
15BIM09-DA354G,0.70,0.34,0.85,0.1022,0,0
15BIM09-DA355G,0.65,0.42,0.82,0.1004,0,0
15BIM09-DA356G,0.68,0.36,0.84,0.0984,0,0
15BIM09-DA357GfrDA356,0.68,0.36,0.84,0.1022,0,0
15BIM09-DA358G,0.58,0.53,0.78,0.0846,0,0
15BIM09-DA359G,0.61,0.48,0.80,0.0892,0,0
15BIM09-DA360G,0.73,0.30,0.87,0.1114,0,0
15BIM09-DA361G,0.61,0.47,0.80,0.0921,0,0
15BIM09-DA362G,0.66,0.40,0.83,0.0967,0,0
15BIM09-DA363G,0.48,0.72,0.70,0.0371,0,0
15BIM09-DA364GfrDA379 & DA380,0.70,0.34,0.85,0.0982,0,0
15BIM09-DA365G,0.32,1.16,0.53,0.0279,0,0
15BIM09-DA366GfrDA365,0.20,0.76,0.38,0.0073,J,0
15BIM09-DA367S,0.11,0.84,0.23,0.0017,BB,BB
15BIM09-DA368S,0.06,0.88,0.14,0.0011,BB,BB
15BIM09-DA369S,0.03,0.91,0.07,0.0002,BB,BB
15BIM09-DA370S,0.18,0.71,0.35,0.0155,BB,BB
15BIM09-DA375S,0.03,0.90,0.08,0.0007,BB,BB
15BIM09-DA376S,0.06,0.89,0.14,0.0019,BB,BB
15BIM09-DA377G,0.12,0.83,0.26,0.0021,BB,BB
15BIM09-DA378S,0.19,1.42,0.36,0.0033,0,0
15BIM09-DA379GfrDA380,0.68,0.36,0.84,0.1013,0,0
15BIM09-DA380G,0.63,0.44,0.81,0.0988,0,0
15BIM09-DA33Sr,,,,0.0436,,0
15BIM09-DA42Sr,,,,0.1364,,0
15BIM09-DA58Gr,,,,0.0022,,0
15BIM09-DA64Gr,,,,0.0160,,0
15BIM09-DA72Gr,,,,0.0080,,0
15BIM09-DA82Gr,,,,0.0053,,0
15BIM09-DA95Gr,,,,0.0056,,0
15BIM09-DA100Gr,,,,0.0085,,0
15BIM09-DA110Gr,,,,0.0037,,0
15BIM09-DA124Sr,,,,0.0001,,0
15BIM09-DA125Sr,,,,0.0017,,0
15BIM09-DA126Sr,,,,0.0018,,0
15BIM09-DA127Gr,,,,0.0121,,0
15BIM09-DA154Gr,,,,0.1200,,0
15BIM09-DA165Gr,,,,0.0093,,0
15BIM09-DA172Gr,,,,0.0053,,0
15BIM09-DA181Sr,,,,0.0024,,0
15BIM09-DA187Gr,,,,0.0920,,0
15BIM09-DA191Gr,,,,0.0091,,0
15BIM09-DA195Gr,,,,0.0204,,0
15BIM09-DA197Sr,,,,0.0016,,0
15BIM09-DA198Sr,,,,0.0000,,0
15BIM09-DA199Sr,,,,0.0007,,0
15BIM09-DA205Gr,,,,0.0048,,0
15BIM09-DA212Gr,,,,0.0104,,0
15BIM09-DA227Gr,,,,0.0880,,0
15BIM09-DA228Gr,,,,0.0671,,0
15BIM09-DA243Gr,,,,0.0784,,0
15BIM09-DA254Gr,,,,0.0858,,0
15BIM09-DA264Gr,,,,0.0036,,0
15BIM09-DA266Gr,,,,0.0332,,0
15BIM09-DA269Gr,,,,0.0515,,0
15BIM09-DA286Gr,,,,0.0029,,0
15BIM09-DA288Gr,,,,0.0880,,0
15BIM09-DA297Gr,,,,0.0776,,0
15BIM09-DA307Gr,,,,0.0391,,0
15BIM09-DA310Gr,,,,0.0030,,0
15BIM09-DA321Gr,,,,0.0038,,0
15BIM09-DA326Gr,,,,0.0043,,0
15BIM09-DA327Gr,,,,0.0955,,0
15BIM09-DA334Gr,,,,0.0031,,0
15BIM09-DA342Gr,,,,0.0052,,0
15BIM09-DA349Gr,,,,0.0803,,0
15BIM09-DA351Gr,,,,0.0150,,0
15BIM09-DA358Gr,,,,0.0847,,0
15BIM09-DA363Gr,,,,0.0309,,0
15BIM09-DA364Gr,,,,0.0982,,0
15BIM09-DA379Gr,,,,0.0963,,0
*G = PONAR or miniSEABOSS Grab sample; S = Land Surface Sample; frDAXXX =  field replicate of site specified; r = lab replicate,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
