"[ID, identification; WGS84, World Geodectic System of 1984; m, meters; NAVD88 G12A, North American Datum of 1988 Geoid 12A; NaN, not a number]",,,,,,,,,,,,,,,,,,
Sample ID*,Date Collected,Arrival Time,Departure Time,Latitude (WGS84),Longitude -(WGS84),Elevation (NAVD88 G12A) (m),Elevation Flag,Garmin or Direct Measurement Water Depth (m),Environment Type,Vegetation Type,Sampling Equipment,,,,,,,
15BIM09-DA76G,8/12/15,17:21,17:30,30.2568,-88.05743,,,3.4,Open bay,,miniSEABOSS,,,,,,,
15BIM09-DA77G,8/12/15,17:34,NaN,30.24479,-88.05782,,,2.4,Open bay,,miniSEABOSS,,,,,,,
15BIM09-DA78G,8/13/15,17:51,17:58,30.23399,-88.05946,,,3,Gulf pass,,miniSEABOSS,,,,,,,
15BIM09-DA80G,8/13/15,17:39,17:42,30.22212,-88.06195,,,2.5,Gulf pass,,miniSEABOSS,,,,,,,
15BIM09-DA81G,8/13/15,17:21,17:33,30.21455,-88.06316,,,3.2,Gulf pass,,miniSEABOSS,,,,,,,
15BIM09-DA82G,8/13/15,16:57,NaN,30.20649,-88.06358,,,3.8,Gulf pass,,miniSEABOSS,,,,,,,
15BIM09-DA83GfrDA82,8/13/15,17:06,17:15,30.2065,-88.06359,,,3.9,Gulf pass,,miniSEABOSS,,,,,,,
15BIM09-DA86G,8/13/15,16:42,16:49,30.19801,-88.06771,,,3.1,Gulf pass,,miniSEABOSS,,,,,,,
15BIM09-DA88G,8/13/15,16:27,16:36,30.18897,-88.07204,,,6,Gulf pass,,miniSEABOSS,,,,,,,
15BIM09-DA90G,8/13/15,16:12,16:21,30.17951,-88.07336,,,7.7,Offshore pass,,miniSEABOSS,,,,,,,
15BIM09-DA91G,8/14/15,9:30,9:45,30.24447,-88.07393,,,2.1,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA92G,8/14/15,9:48,9:57,30.23709,-88.07594,,,2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA93G,8/14/15,10:00,NaN,30.23099,-88.07763,,,4.5,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA94GfrDA93,8/14/15,10:13,10:21,30.23097,-88.07767,,,4.5,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA95G,8/14/15,10:25,10:33,30.22416,-88.07949,,,3.7,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA96G,8/14/15,10:39,10:48,30.21202,-88.08396,,,1.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA97G,8/14/15,10:48,10:58,30.21013,-88.08495,,,1.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA98G,8/14/15,11:00,11:07,30.20642,-88.0868,,,1.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA100G,8/14/15,11:10,11:22,30.20021,-88.08952,,,6.6,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA102G,8/14/15,11:22,11:36,30.19241,-88.0934,,,9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA103G,8/14/15,11:36,11:51,30.1858,-88.09654,,,9.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA105G,8/12/15,16:34,16:51,30.22302,-88.05188,,,1.9,Open bay,,miniSEABOSS,,,,,,,
15BIM09-DA110G,8/17/15,12:09,NaN,30.21491,-88.09079,,,2.4,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA117G,8/14/15,17:12,17:25,30.26569,-88.07249,,,4.7,Pass,,Petite Ponar,,,,,,,
15BIM09-DA118G,8/14/15,17:03,17:10,30.26427,-88.07462,,,3.9,Pass,,Petite Ponar,,,,,,,
15BIM09-DA119G,8/14/15,16:55,16:58,30.2618,-88.07713,,,2.7,Pass,,Petite Ponar,,,,,,,
15BIM09-DA120G,8/14/15,16:45,16:51,30.25821,-88.08228,,,1.3,Pass,,Petite Ponar,,,,,,,
15BIM09-DA123S,8/15/15,18:06,NaN,30.24674,-88.07902,2.1758,0,NaN,Land,,,,,,,,,
15BIM09-DA124S,8/15/15,17:55,18:00,30.24657,-88.07902,1.4993,0,NaN,Land,,,,,,,,,
15BIM09-DA125S,8/15/15,17:48,17:54,30.24645,-88.07902,0.619,0,NaN,Land,,,,,,,,,
15BIM09-DA126SfrDA125,8/15/15,17:48,17:54,30.24645,-88.07902,0.619,0,NaN,Land,,,,,,,,,
15BIM09-DA127G,8/14/15,16:07,NaN,30.24462,-88.07796,,,2.4,Gulf,,Petite Ponar,,,,,,,
15BIM09-DA128GfrDA127,8/14/15,16:07,NaN,30.24462,-88.07796,,,2.4,Gulf,,Petite Ponar,,,,,,,
15BIM09-DA129G,8/14/15,16:24,16:27,30.24148,-88.07697,,,2.1,Gulf,,Petite Ponar,,,,,,,
15BIM09-DA130G,8/17/15,12:03,12:09,30.27575,-88.09211,,,4,Bay,,Petite Ponar,,,,,,,
15BIM09-DA131G,8/17/15,11:54,11:58,30.27218,-88.0966,,,1.9,Bay,,Petite Ponar,,,,,,,
15BIM09-DA132G,8/17/15,13:07,NaN,30.27048,-88.0997,,,1.5,Bay,,Petite Ponar,,,,,,,
15BIM09-DA133G,8/12/15,14:36,14:51,30.26685,-88.10447,,,1,Sound,,Petite Ponar,,,,,,,
15BIM09-DA134G,8/12/15,14:19,14:30,30.26552,-88.10633,,,1.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA135G,8/12/15,14:09,14:15,30.26432,-88.10789,,,1.5,Sound,,Petite Ponar,,,,,,,
15BIM09-DA136G,8/12/15,13:52,14:01,30.26282,-88.1095,,,1.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA137GfrDA136,8/12/15,13:52,14:01,30.26282,-88.1095,,,1.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA138G,8/17/15,12:15,12:24,30.28403,-88.09497,,,3.9,Bay,,Petite Ponar,,,,,,,
15BIM09-DA139G,8/17/15,12:31,12:37,30.28107,-88.09967,,,3.7,Bay,,Petite Ponar,,,,,,,
15BIM09-DA140G,8/17/15,12:45,12:51,30.27837,-88.10359,,,3.7,Bay,,Petite Ponar,,,,,,,
15BIM09-DA141G,8/17/15,12:57,NaN,30.27532,-88.10754,,,1.6,Bay,,Petite Ponar,,,,,,,
15BIM09-DA142G,8/12/15,13:30,NaN,30.27146,-88.11288,,,0.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA143G,8/12/15,13:13,13:25,30.27024,-88.1145,,,1,Sound,,Petite Ponar,,,,,,,
15BIM09-DA144G,8/12/15,13:00,13:09,30.26877,-88.11648,,,2.1,Sound,,Petite Ponar,,,,,,,
15BIM09-DA145G,8/12/15,11:30,11:46,30.24905,-88.06995,,,2.9,Open bay,,miniSEABOSS,,,,,,,
15BIM09-DA146G,8/14/15,16:36,16:37,30.25475,-88.07769,,,1.9,Pass,,Petite Ponar,,,,,,,
15BIM09-DA147G,8/16/15,9:30,9:48,30.26291,-88.08676,,,1.4,Bay,,Petite Ponar,,,,,,,
15BIM09-DA148GfrDA147,8/16/15,9:30,9:48,30.26291,-88.08676,,,1.4,Bay,,Petite Ponar,,,,,,,
15BIM09-DA149G,8/16/15,9:54,10:01,30.26679,-88.09378,,,2,Bay,,Petite Ponar,,,,,,,
15BIM09-DA150G,8/16/15,10:07,10:12,30.27407,-88.10323,,,1.9,Bay,,Petite Ponar,,,,,,,
15BIM09-DA151G,8/16/15,10:36,10:39,30.27764,-88.11146,,,1.8,Bay,,Petite Ponar,,,,,,,
15BIM09-DA152G,8/16/15,10:21,10:27,30.28328,-88.12031,,,1.5,Bay,,Petite Ponar,,,,,,,
15BIM09-DA154G,8/14/15,15:37,NaN,30.24046,-88.09529,,,3.6,Gulf,,Petite Ponar,,,,,,,
15BIM09-DA155G,8/14/15,15:09,15:30,30.23942,-88.10041,,,3.6,Gulf,,Petite Ponar,,,,,,,
15BIM09-DA156G,8/14/15,11:00,11:24,30.23881,-88.11107,,,4.7,Sound,,Petite Ponar,,,,,,,
15BIM09-DA157G,8/14/15,10:32,10:55,30.24137,-88.11731,,,3.9,Sound,,Petite Ponar,,,,,,,
15BIM09-DA158S,8/15/15,16:00,16:10,30.2421382,-88.105185,0.369,0,NaN,Land,,,,,,,,,
15BIM09-DA159S,8/15/15,16:10,16:20,30.2422303,-88.1051858,1.0843,J,NaN,Land,,,,,,,,,
15BIM09-DA160S,8/15/15,16:23,NaN,30.2425336,-88.1051763,1.0261,J,NaN,Land,,,,,,,,,
15BIM09-DA161G,8/14/15,13:42,NaN,30.24181,-88.10482,,,2.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA162G,8/14/15,13:24,13:37,30.23977,-88.10438,,,4.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA163G,8/14/15,12:51,13:01,30.2318,-88.10266,,,1.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA164G,8/14/15,12:39,12:46,30.22719,-88.10261,,,2.4,Sound,,Petite Ponar,,,,,,,
15BIM09-DA165G,8/17/15,11:36,NaN,30.22828,-88.08965,,,4,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA166G,8/17/15,11:46,NaN,30.22588,-88.09335,,,2.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA169G,8/13/15,11:24,NaN,30.2213,-88.1006,,,2.1,Gulf nearshore Pelican Island,,miniSEABOSS,,,,,,,
15BIM09-DA170GfrDA169,8/13/15,11:34,11:42,30.22118,-88.10072,,,2.1,Gulf nearshore Pelican Island,,miniSEABOSS,,,,,,,
15BIM09-DA172G,8/13/15,11:01,11:18,30.21735,-88.10437,,,4,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA174G,8/13/15,10:45,10:55,30.21431,-88.1094,,,7.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA176G,8/13/15,10:22,10:36,30.20912,-88.11622,,,9.3,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA177G,8/14/15,13:10,NaN,30.2354,-88.10526,,,4.5,Sound,,Petite Ponar,,,,,,,
15BIM09-DA178G,8/14/15,11:57,12:33,30.23345,-88.10718,,,1.5,Sound,,Petite Ponar,,,,,,,
15BIM09-DA179G,8/14/15,11:30,NaN,30.23191,-88.11004,,,2.1,Sound,,Petite Ponar,,,,,,,
15BIM09-DA180S,8/16/15,16:41,16:54,30.2300512,-88.1138529,0.6727,0,NaN,Land,,,,,,,,,
15BIM09-DA181SfrDA180,8/16/15,16:41,16:54,30.2300512,-88.1138529,0.6727,0,NaN,Land,,,,,,,,,
 15BIM09-DA182S ,8/16/15,16:55,17:05,30.2298501,-88.1141496,0.5342,0,NaN,Land,,,,,,,,,
15BIM09-DA183G,8/13/15,14:15,NaN,30.22786,-88.11542,,,2.1,Gulf nearshore Pelican Island,,miniSEABOSS,,,,,,,
15BIM09-DA184G,8/13/15,14:03,14:12,30.22616,-88.11759,,,4.5,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA185G,8/13/15,13:40,NaN,30.22528,-88.11864,,,5.6,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA186G,8/13/15,13:25,13:36,30.22478,-88.11938,,,6.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA187G,8/13/15,13:00,13:16,30.22319,-88.12176,,,7.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA188G,8/13/15,12:45,NaN,30.2183,-88.12724,,,8.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA189G,8/12/15,12:21,12:36,30.26546,-88.12135,,,2.2,Sound,,Petite Ponar,,,,,,,
15BIM09-DA190G,8/12/15,12:10,12:16,30.26297,-88.12074,,,1.5,Sound,,Petite Ponar,,,,,,,
15BIM09-DA191G,8/12/15,11:54,12:01,30.26064,-88.12029,,,1.7,Sound,,Petite Ponar,,,,,,,
15BIM09-DA192GfrDA191,8/12/15,11:54,12:01,30.26064,-88.12029,,,1.7,Sound,,Petite Ponar,,,,,,,
15BIM09-DA193G,8/12/15,11:39,11:46,30.25875,-88.11982,,,1.5,Sound,,Petite Ponar,,,,,,,
15BIM09-DA194G,8/14/15,8:43,9:28,30.24384,-88.11894,,,4.4,Sound,,Petite Ponar,,,,,,,
15BIM09-DA195G,8/14/15,9:33,NaN,30.24293,-88.12025,,,4.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA196G,8/14/15,10:03,10:24,30.24199,-88.1216,,,4.8,Sound,,Petite Ponar,,,,,,,
15BIM09-DA197S,8/16/15,14:48,15:01,30.2414134,-88.1223026,0.5952,J,NaN,Land,,,,,,,,,
15BIM09-DA198S,8/16/15,15:04,15:13,30.2414334,-88.1224236,1.1293,0,NaN,Land,,,,,,,,,
15BIM09-DA199S,8/16/15,15:18,15:29,30.24129,-88.12286,2.3359,J,NaN,Land,,,,,,,,,
15BIM09-DA200S,8/16/15,15:31,15:33,30.2408909,-88.1234449,0.706,0,NaN,Land,,,,,,,,,
15BIM09-DA201S,8/16/15,15:35,NaN,30.2408711,-88.1234731,0.4089,0,NaN,Land,,,,,,,,,
15BIM09-DA202G,8/13/15,15:15,15:22,30.23914,-88.12569,,,1.5,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA203GfrDA202,8/13/15,15:25,15:33,30.23917,-88.12564,,,1.7,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA204G,8/13/15,14:48,NaN,30.23785,-88.12721,,,5.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA205G,8/12/15,11:18,11:25,30.26434,-88.13474,,,2.2,Sound,,Petite Ponar,,,,,,,
15BIM09-DA206G,8/12/15,11:03,11:09,30.25879,-88.12992,,,1.2,Sound,,Petite Ponar,,,,,,,
15BIM09-DA207G,8/12/15,10:48,10:57,30.25553,-88.12804,,,1.2,Sound,,Petite Ponar,,,,,,,
15BIM09-DA208G,8/12/15,9:48,9:58,30.26361,-88.14411,,,3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA209G,8/12/15,10:07,10:13,30.26154,-88.1395,,,2.1,Sound,,Petite Ponar,,,,,,,
15BIM09-DA210G,8/12/15,10:21,10:27,30.25907,-88.13441,,,1.7,Sound,,Petite Ponar,,,,,,,
15BIM09-DA211G,8/12/15,10:33,10:40,30.25522,-88.13438,,,1.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA212G,8/18/15,16:07,16:18,30.25303,-88.1302,,,0.7,Sound,,Petite Ponar,,,,,,,
15BIM09-DA213G,8/12/15,15:30,15:42,30.26147,-88.14737,,,2.4,Sound,,Petite Ponar,,,,,,,
15BIM09-DA214GfrDA213,8/12/15,15:30,15:42,30.26147,-88.14737,,,2.4,Sound,,Petite Ponar,,,,,,,
15BIM09-DA215G,8/12/15,15:48,15:57,30.25815,-88.14639,,,1.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA216G,8/12/15,16:03,16:12,30.25558,-88.14614,,,0.9,Sound,,Petite Ponar,,,,,,,
15BIM09-DA217S,8/15/15,14:48,15:00,30.2551567,-88.1440773,1.2871,0,NaN,Land,,,,,,,,,
15BIM09-DA218S,8/15/15,14:25,14:35,30.2533481,-88.1449341,0.958,0,NaN,Land,,,,,,,,,
15BIM09-DA219S,8/15/15,14:00,14:11,30.2518645,-88.1451393,1.3117,0,NaN,Land,,,,,,,,,
15BIM09-DA220S,8/15/15,13:43,13:55,30.2504999,-88.1447242,3.5697,0,NaN,Land,,,,,,,,,
15BIM09-DA221G,8/14/15,14:03,14:15,30.2492,-88.14499,,,2.3,Gulf near beach,,miniSEABOSS,,,,,,,
15BIM09-DA222G,8/14/15,13:55,14:06,30.24801,-88.14471,,,8.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA223G,8/14/15,13:42,13:54,30.24359,-88.14425,,,5.6,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA224GfrDA225(L)&( R),8/14/15,12:49,NaN,30.23264,-88.14191,,,7.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA225G(L)frDA225( R),8/14/15,13:01,13:09,30.23263,-88.14187,,,7.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA225G( R),8/14/15,13:01,13:09,30.23263,-88.14187,,,7.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA226G,8/14/15,12:33,12:46,30.22728,-88.14072,,,8.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA227G,8/14/15,12:16,12:30,30.22386,-88.14028,,,9.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA228G,8/12/15,17:10,17:18,30.26051,-88.1694,,,3.8,Sound,,Petite Ponar,,,,,,,
15BIM09-DA229G,8/12/15,16:58,17:04,30.25748,-88.16892,,,2.9,Sound,,Petite Ponar,,,,,,,
15BIM09-DA230G,8/12/15,16:43,16:51,30.25559,-88.16843,,,3.1,Sound,,Petite Ponar,,,,,,,
15BIM09-DA231G,8/12/15,16:30,16:40,30.25365,-88.16816,,,1.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA232S,8/15/15,12:10,12:21,30.2526249,-88.1682092,0.5526,0,NaN,Land,,,,,,,,,
15BIM09-DA233S,8/15/15,11:58,12:08,30.2519104,-88.1681491,0.8695,0,NaN,Land,,,,,,,,,
15BIM09-DA234S,8/15/15,11:39,11:50,30.2503439,-88.167772,4.2659,0,NaN,Land,,,,,,,,,
15BIM09-DA235S,8/15/15,11:24,11:37,30.2496035,-88.1677599,1.1227,0,NaN,Land,,,,,,,,,
15BIM09-DA236SfrDA235,8/15/15,11:24,11:37,30.2496035,-88.1677599,1.1227,0,NaN,Land,,,,,,,,,
15BIM09-DA237G,8/14/15,15:30,15:42,30.24859,-88.16724,,,2.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA238G,8/14/15,15:15,15:31,30.24739,-88.16708,,,4.4,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA239G,8/14/15,15:03,15:15,30.24382,-88.16609,,,5.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA240G,8/14/15,14:45,14:57,30.23536,-88.16443,,,7.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA241G,8/14/15,14:33,14:45,30.22923,-88.16348,,,9.1,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA242G,8/13/15,17:48,17:55,30.2585,-88.19363,,,4.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA243G,8/13/15,18:21,18:25,30.25508,-88.19299,,,3.9,Sound,,Petite Ponar,,,,,,,
15BIM09-DA244G,8/13/15,18:15,NaN,30.25311,-88.19245,,,3.2,Sound,,Petite Ponar,,,,,,,
15BIM09-DA245G,8/13/15,18:09,18:12,30.25148,-88.19241,,,0.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA246S,8/15/15,10:48,11:00,30.2504247,-88.1915642,0.3994,J,NaN,Land,,,,,,,,,
15BIM09-DA247S,8/15/15,10:25,10:44,30.2490459,-88.1918052,0.978,J,NaN,Land,,,,,,,,,
15BIM09-DA248S,8/15/15,10:10,NaN,30.24866,-88.19172,,,NaN,Land,,,,,,,,,
15BIM09-DA249S,8/15/15,9:40,10:10,30.2483799,-88.1918318,0.6885,0,NaN,Land,,,,,,,,,
15BIM09-DA251G,8/19/15,16:39,NaN,30.24649,-88.19096,,,4.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA252G,8/19/15,16:28,NaN,30.24526,-88.19064,,,5.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA253G,8/19/15,16:18,NaN,30.24269,-88.19025,,,6.6,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA254G,8/15/15,10:15,NaN,30.23642,-88.18938,,,8.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA255G,8/15/15,10:00,10:12,30.23138,-88.18851,,,9.1,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA257G,8/13/15,11:51,11:58,30.219,-88.11528,,,7.7,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA258GfrDA257,8/13/15,12:13,12:24,30.21887,-88.11545,,,7.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA259G,8/13/15,14:36,14:45,30.23173,-88.12314,,,5.1,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA260G,8/14/15,13:27,13:40,30.24052,-88.13405,,,5.9,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA261G,8/14/15,14:15,14:25,30.24479,-88.15472,,,5.5,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA262G,8/15/15,9:34,9:54,30.24358,-88.17808,,,6.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA263G,8/13/15,17:37,17:43,30.25817,-88.20188,,,4.1,Sound,,Petite Ponar,,,,,,,
15BIM09-DA264G,8/19/15,15:03,NaN,30.24557,-88.2037,,,3.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA266G,8/19/15,15:57,NaN,30.23686,-88.20016,,,8.6,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA267G,8/19/15,14:49,NaN,30.24471,-88.20731,,,3.8,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA268G,8/19/15,15:25,NaN,30.23603,-88.20582,,,8.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA269GfrDA268,8/19/15,15:42,NaN,30.23613,-88.20573,,,8.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA270G,8/13/15,16:33,16:42,30.25887,-88.20926,,,4.5,Sound,,Petite Ponar,,,,,,,
15BIM09-DA271G,8/13/15,16:45,16:52,30.25615,-88.20941,,,4.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA272G,8/13/15,17:16,17:21,30.25304,-88.2097,,,4.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA273G,8/13/15,17:27,17:33,30.24968,-88.20992,,,1.3,Sound,,Petite Ponar,,,,,,,
15BIM09-DA274G,8/19/15,14:34,NaN,30.24438,-88.21029,,,2.2,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA275G,8/19/15,14:21,NaN,30.2429,-88.21011,,,6.1,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA276G,8/19/15,11:39,NaN,30.24114,-88.21062,,,6.5,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA277G,8/19/15,11:19,NaN,30.23499,-88.2107,,,8.3,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA278G,8/19/15,11:06,NaN,30.23036,-88.21093,,,9.3,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA279G,8/13/15,16:57,17:10,30.25552,-88.21311,,,4.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA280GfrDA279,8/13/15,16:57,17:10,30.25552,-88.21311,,,4.6,Sound,,Petite Ponar,,,,,,,
15BIM09-DA281G,8/19/15,10:42,NaN,30.24328,-88.21362,,,3.7,Gulf,,miniSEABOSS,,,,,,,
15BIM09-DA282G,8/13/15,15:51,16:00,30.25856,-88.21584,,,4.4,Sound,,Petite Ponar,,,,,,,
15BIM09-DA283G,8/13/15,15:39,15:45,30.25481,-88.21602,,,4.7,Sound,,Petite Ponar,,,,,,,
15BIM09-DA284G,8/13/15,15:30,15:34,30.25182,-88.21588,,,3.4,Sound,,Petite Ponar,,,,,,,
15BIM09-DA285G,8/13/15,15:24,15:28,30.24874,-88.2159,,,2.3,Sound,,Petite Ponar,,,,,,,
