Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.119,0.130,CHN,,1.268321851,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.130,0.141,CHN,3.9,0.920629143,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.141,0.152,CHN,,1.204055635,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.152,0.163,CHN,,0.923176914,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.163,0.173,CHN,3.2,0.927414533,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.173,0.184,CHN,,1.17244248,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.184,0.195,CHN,,0.917275445,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.195,0.206,CHN,2.8,1.106642402,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.206,0.217,CHN,,0.687768101,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.217,0.228,CHN,,0.908800208,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.228,0.239,CHN,3.1,1.179877811,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.239,0.249,CHN,,1.074743273,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.249,0.260,CHN,,1.364851163,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.260,0.271,CHN,1.4,1.316911478,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.271,0.282,CHN,,1.332042116,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.282,0.293,CHN,,0.997400234,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.293,0.304,CHN,0.9,1.261276485,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.304,0.314,CHN,,0.983361497,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.314,0.325,CHN,,1.476355128,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.325,0.336,CHN,1.0,1.38099571,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.336,0.347,CHN,,1.388119069,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.347,0.358,CHN,,1.143611075,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.358,0.369,CHN,,1.462576368,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.369,0.379,CHN,,1.39155076,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.000,0.011,CHN,8.6,0.515612115,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.011,0.022,CHN,,0.617392955,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.022,0.034,CHN,,0.535500325,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.034,0.045,CHN,12.9,0.457975302,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.045,0.056,CHN,,0.524191343,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.056,0.067,CHN,,0.500819446,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.067,0.078,CHN,9.1,0.370701157,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.078,0.089,CHN,,0.416950994,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.089,0.101,CHN,,0.518367867,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.101,0.112,CHN,7.0,0.449656051,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.112,0.123,CHN,,0.587157676,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.123,0.134,CHN,,0.54199974,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.134,0.145,CHN,3.8,0.567685428,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.145,0.157,CHN,,0.617652931,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.157,0.168,CHN,,0.605460029,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.168,0.179,CHN,4.4,0.734408423,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.179,0.190,CHN,,0.632185623,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.190,0.201,CHN,,0.835045366,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.201,0.213,CHN,3.7,0.72666112,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.213,0.224,CHN,,0.749929026,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.224,0.235,CHN,,0.963863772,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.235,0.246,CHN,2.3,1.309190693,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.246,0.257,CHN,,1.420434681,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.257,0.268,CHN,,1.367399454,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.268,0.280,CHN,0.9,1.494138048,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.280,0.291,CHN,,1.359340179,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.291,0.302,CHN,,1.237489146,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.302,0.313,CHN,0.6,1.67422384,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.313,0.324,CHN,,1.693150136,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.324,0.336,CHN,,1.435799298,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.336,0.347,CHN,0.2,1.824438321,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.347,0.358,CHN,,1.842532692,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.358,0.369,CHN,,1.586923697,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.369,0.380,CHN,0.2,2.042012739,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.380,0.392,CHN,,2.124295333,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.392,0.403,CHN,,1.627431564,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M3,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.403,0.414,CHN,0.1,1.864440104,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.000,0.011,CHN,6.4,0.856233459,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.011,0.022,CHN,,0.347043286,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.022,0.033,CHN,,0.381412193,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.033,0.045,CHN,15.2,0.406655921,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.045,0.056,CHN,,0.532978552,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.056,0.067,CHN,,0.983518003,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.067,0.078,CHN,2.6,1.001196412,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.078,0.089,CHN,,0.988977512,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.089,0.100,CHN,,1.307708826,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.100,0.112,CHN,3.4,1.218640842,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.112,0.123,CHN,,1.325829195,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.123,0.134,CHN,,1.249214091,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.134,0.145,CHN,1.8,1.318393865,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.145,0.156,CHN,,1.394696997,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.156,0.167,CHN,,1.42199454,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.167,0.178,CHN,4.8,1.462368907,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.178,0.190,CHN,,1.158950214,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.190,0.201,CHN,,1.543923567,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.201,0.212,CHN,1.2,1.414195242,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.212,0.223,CHN,,1.135474327,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.223,0.234,CHN,,1.529234889,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.234,0.245,CHN,1.0,1.238919017,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.245,0.257,CHN,,1.471144454,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.257,0.268,CHN,,1.550957271,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.268,0.279,CHN,0.9,1.147785556,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.279,0.290,CHN,,1.385326178,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.290,0.301,CHN,,1.330445117,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.301,0.312,CHN,1.2,1.143339957,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.312,0.323,CHN,,1.494568346,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.323,0.335,CHN,,1.383584335,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.335,0.346,CHN,0.9,1.617355295,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.346,0.357,CHN,,1.150645299,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.357,0.368,CHN,,1.387509981,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M3,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.368,0.379,CHN,,1.015384425,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.000,0.023,CHN,14.3,0.264771429,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.023,0.046,CHN,,0.284902787,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.046,0.069,CHN,,0.272553899,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.069,0.091,CHN,,0.22775993,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.091,0.114,CHN,15.9,0.19431394,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.114,0.137,CHN,,0.259789048,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.137,0.160,CHN,,0.304271044,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.160,0.183,CHN,,0.439055914,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.183,0.206,CHN,6.7,0.43965386,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.206,0.229,CHN,,0.586059683,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.229,0.252,CHN,,0.808183692,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.252,0.274,CHN,,0.758034205,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.274,0.297,CHN,2.6,0.98976435,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.297,0.320,CHN,,1.28732057,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.320,0.343,CHN,,1.416450948,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.343,0.366,CHN,,1.411849362,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.366,0.389,CHN,0.1,1.251274814,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.389,0.412,CHN,,1.344840393,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.412,0.434,CHN,,1.782939964,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,N_M2,Saltmarsh, 43.382817° ,-4.318047°,direct from dataset,Spain,2018,0.434,0.457,CHN,,1.603517112,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.000,0.023,CHN,8.3,0.650628051,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.023,0.046,CHN,,0.36633329,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.046,0.068,CHN,,0.499857273,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.068,0.091,CHN,,0.750162745,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.091,0.114,CHN,2.5,1.001014169,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.114,0.137,CHN,,1.156974132,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.137,0.159,CHN,,1.108059535,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.159,0.182,CHN,,1.318198622,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.182,0.205,CHN,1.3,1.435981022,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.205,0.228,CHN,,1.266509443,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.228,0.251,CHN,,1.260451988,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.251,0.273,CHN,,1.368173293,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.273,0.296,CHN,0.9,1.270812055,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.296,0.319,CHN,,1.010406492,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.319,0.342,CHN,,1.136215001,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.342,0.365,CHN,,1.23555206,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,R_M2,Saltmarsh, 43.373796° ,-4.315541°,direct from dataset,Spain,2018,0.365,0.387,CHN,,1.282350396,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A1_M1,Saltmarsh, 43.385830°,-4.324631°,direct from dataset,Spain,2018,0.000,0.010,CHN,15.4,0.466109739,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A1_M1,Saltmarsh, 43.385830°,-4.324631°,direct from dataset,Spain,2018,0.010,0.020,CHN,,0.360484076,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A1_M1,Saltmarsh, 43.385830°,-4.324631°,direct from dataset,Spain,2018,0.020,0.030,CHN,,1.022072533,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A1_M1,Saltmarsh, 43.385830°,-4.324631°,direct from dataset,Spain,2018,0.030,0.040,CHN,1.4,1.46655453,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A1_M1,Saltmarsh, 43.385830°,-4.324631°,direct from dataset,Spain,2018,0.040,0.050,CHN,,1.44266268,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A1_M1,Saltmarsh, 43.385830°,-4.324631°,direct from dataset,Spain,2018,0.050,0.060,CHN,,1.199064604,NA,NA
