study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon_modeled,fraction_carbonate,fraction_nitrogen,fraction_carbon_measured,fraction_hydrogen,fraction_sulfur,porewater_salinity
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2017,15,30,SJR_5_2017_x_b,0.692,0.1556662515566625,0.05932865856400887,NA,NA,NA,NA,NA,16
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2017,15,30,SJR_5_2017_y_b,0.719,0.151923076923077,0.05766758136094677,NA,NA,NA,NA,NA,16
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2017,15,30,SJR_5_2017_z_b,0.691,0.15049614112458662,0.05703490796196193,NA,NA,NA,NA,NA,16
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2017,0,15,SJR_6_2017_x_a,0.751,0.16190476190476188,0.06210167800453514,NA,0.0015,0.0405,0.0034899999999999996,0.005410000000000001,7
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2017,0,15,SJR_6_2017_y_a,0.633,0.2297794117647059,0.09264422713019033,NA,0.0014000000000000002,0.0398,0.00295,0.0049499999999999995,7
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2017,0,15,SJR_6_2017_z_a,0.586,0.3170731707317072,0.13292742415229025,NA,0.0011,0.0384,0.00271,0.00458,7
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2017,15,30,SJR_6_2017_x_b,0.7389,0.16569428238039674,0.06378893292795007,NA,NA,NA,NA,NA,7
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2017,15,30,SJR_6_2017_y_b,0.831,0.12538604076590493,0.045950925944648204,NA,NA,NA,NA,NA,7
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2017,15,30,SJR_6_2017_z_b,0.973,0.08616904500548848,0.028826625666780334,NA,NA,NA,NA,NA,7
StLaurent_et_al_2020,St Jones Reserve,SJR_7_2017,0,15,SJR_7_2017_x_a,0.775,0.12868801004394229,0.04740313691925087,NA,NA,NA,NA,NA,11
StLaurent_et_al_2020,St Jones Reserve,SJR_7_2017,0,15,SJR_7_2017_y_a,0.685,0.19140625000000003,0.07529312133789062,NA,NA,NA,NA,NA,11
StLaurent_et_al_2020,St Jones Reserve,SJR_7_2017,0,15,SJR_7_2017_z_a,NA,0.4272173324306026,0.18536458098883857,NA,NA,NA,NA,NA,11
StLaurent_et_al_2020,St Jones Reserve,SJR_7_2017,15,30,SJR_7_2017_x_b,0.827,0.10771219302024988,0.03820537508439233,NA,NA,NA,NA,NA,11
StLaurent_et_al_2020,St Jones Reserve,SJR_7_2017,15,30,SJR_7_2017_y_b,NA,0.12571726656233703,0.046096526725024914,NA,NA,NA,NA,NA,11
StLaurent_et_al_2020,St Jones Reserve,SJR_7_2017,15,30,SJR_7_2017_z_b,0.776705,0.1425891181988743,0.05353456135225229,NA,NA,NA,NA,NA,11
StLaurent_et_al_2020,St Jones Reserve,SJR_8_2017,0,15,SJR_8_2017_x_a,NA,0.415141430948419,0.17952788059833705,NA,NA,NA,NA,NA,12
StLaurent_et_al_2020,St Jones Reserve,SJR_8_2017,0,15,SJR_8_2017_y_a,NA,0.35570469798657717,0.1511145894329084,NA,NA,NA,NA,NA,12
StLaurent_et_al_2020,St Jones Reserve,SJR_8_2017,0,15,SJR_8_2017_z_a,NA,0.39059674502712477,0.16773110013112758,NA,NA,NA,NA,NA,12
StLaurent_et_al_2020,St Jones Reserve,SJR_8_2017,15,30,SJR_8_2017_x_b,NA,0.34833204034134985,0.1476265945480075,NA,NA,NA,NA,NA,12
StLaurent_et_al_2020,St Jones Reserve,SJR_8_2017,15,30,SJR_8_2017_y_b,NA,0.3365253077975376,0.14205760150909214,NA,NA,NA,NA,NA,12
StLaurent_et_al_2020,St Jones Reserve,SJR_8_2017,15,30,SJR_8_2017_z_b,NA,0.40810621942697417,0.17613746916754444,NA,NA,NA,NA,NA,12
StLaurent_et_al_2020,St Jones Reserve,SJR_9_2017,0,15,SJR_9_2017_x_a,0.684,0.16764548852108915,0.06465852139416767,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_9_2017,0,15,SJR_9_2017_y_a,0.690873,0.16279069767441862,0.06249594375338021,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_9_2017,0,15,SJR_9_2017_z_a,0.681,0.16214233308877482,0.06220739230765506,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_9_2017,15,30,SJR_9_2017_x_b,0.72,0.14367450731087095,0.05401450251765226,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_9_2017,15,30,SJR_9_2017_y_b,0.776,0.14116251482799524,0.052904006056435735,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_9_2017,15,30,SJR_9_2017_z_b,0.676124,0.1660899653979239,0.06396523030136134,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_10_2017,0,15,SJR_10_2017_x_a,NA,NA,NA,NA,NA,NA,NA,NA,23
StLaurent_et_al_2020,St Jones Reserve,SJR_10_2017,0,15,SJR_10_2017_y_a,0.746842,0.13662604233482994,0.050900897805825226,NA,NA,NA,NA,NA,23
StLaurent_et_al_2020,St Jones Reserve,SJR_10_2017,0,15,SJR_10_2017_y_a,0.721483,0.13204325554923163,0.04888043176509345,NA,NA,NA,NA,NA,23
StLaurent_et_al_2020,St Jones Reserve,SJR_10_2017,0,15,SJR_10_2017_z_a,0.797062,0.12364760432766614,0.0451870074460893,NA,NA,NA,NA,NA,23
StLaurent_et_al_2020,St Jones Reserve,SJR_10_2017,15,30,SJR_10_2017_x_b,0.777,0.11074561403508769,0.039531483244844554,NA,NA,NA,NA,NA,23
StLaurent_et_al_2020,St Jones Reserve,SJR_10_2017,15,30,SJR_10_2017_y_b,0.762,0.1468277945619336,0.055409823203512225,NA,NA,NA,NA,NA,23
StLaurent_et_al_2020,St Jones Reserve,SJR_10_2017,15,30,SJR_10_2017_z_b,0.759777,0.12966601178781922,0.047833573284030845,NA,NA,NA,NA,NA,23
StLaurent_et_al_2020,St Jones Reserve,SJR_11_2017,0,15,SJR_11_2017_x_a,0.747071,0.13556116015132413,0.05043113370618386,NA,0.0039000000000000003,0.0623,0.00942,0.00491,21
StLaurent_et_al_2020,St Jones Reserve,SJR_11_2017,0,15,SJR_11_2017_y_a,NA,0.14229471316085496,0.05340441035984114,NA,0.0038,0.0599,0.00954,0.00453,21
StLaurent_et_al_2020,St Jones Reserve,SJR_11_2017,0,15,SJR_11_2017_z_a,NA,0.1373276776246023,0.051210510217048304,NA,0.0037,0.0567,0.00919,0.0042699999999999995,21
StLaurent_et_al_2020,St Jones Reserve,SJR_11_2017,15,30,SJR_11_2017_x_b,NA,0.1280623608017817,0.0471278515483554,NA,NA,NA,NA,NA,21
StLaurent_et_al_2020,St Jones Reserve,SJR_11_2017,15,30,SJR_11_2017_y_b,0.751,0.13107692307692312,0.04845479043786984,NA,NA,NA,NA,NA,21
StLaurent_et_al_2020,St Jones Reserve,SJR_11_2017,15,30,SJR_11_2017_z_b,NA,0.12987843889955206,0.047927085034644275,NA,NA,NA,NA,NA,21
StLaurent_et_al_2020,St Jones Reserve,SJR_12_2017,0,15,SJR_12_2017_x_a,0.725617,0.13742191936399772,0.051252102062447735,NA,0.0034000000000000002,0.051699999999999996,0.00884,0.0072,17
StLaurent_et_al_2020,St Jones Reserve,SJR_12_2017,0,15,SJR_12_2017_y_a,0.723,0.1450083658672616,0.054604551566807664,NA,0.0033,0.051,0.00853,0.00713,17
StLaurent_et_al_2020,St Jones Reserve,SJR_12_2017,0,15,SJR_12_2017_z_a,0.654499,0.14662379421221863,0.05531950910350388,NA,0.0034999999999999996,0.051,0.0087,0.00752,17
StLaurent_et_al_2020,St Jones Reserve,SJR_12_2017,15,30,SJR_12_2017_x_b,0.696,0.13989962358845676,0.0523460624770745,NA,NA,NA,NA,NA,17
StLaurent_et_al_2020,St Jones Reserve,SJR_12_2017,15,30,SJR_12_2017_y_b,0.814,0.1428571428571429,0.05365306122448981,NA,NA,NA,NA,NA,17
StLaurent_et_al_2020,St Jones Reserve,SJR_12_2017,15,30,SJR_12_2017_z_b,0.705,0.15317011927181418,0.05822074053582666,NA,NA,NA,NA,NA,17
StLaurent_et_al_2020,St Jones Reserve,SJR_13_2017,0,15,SJR_13_2017_x_a,0.623,0.25146962769431747,0.10254824930960883,NA,NA,NA,NA,NA,14
StLaurent_et_al_2020,St Jones Reserve,SJR_13_2017,0,15,SJR_13_2017_y_a,0.590877,0.1952983725135624,0.07704308244688679,NA,NA,NA,NA,NA,14
StLaurent_et_al_2020,St Jones Reserve,SJR_13_2017,0,15,SJR_13_2017_z_a,NA,0.21197846567967693,0.08456811442462535,NA,NA,NA,NA,NA,14
StLaurent_et_al_2020,St Jones Reserve,SJR_13_2017,15,30,SJR_13_2017_x_b,0.623,0.18412274849899934,0.07202436492017583,NA,NA,NA,NA,NA,14
StLaurent_et_al_2020,St Jones Reserve,SJR_13_2017,15,30,SJR_13_2017_y_b,0.637108,0.19348268839103877,0.07622644256494707,NA,NA,NA,NA,NA,14
StLaurent_et_al_2020,St Jones Reserve,SJR_13_2017,15,30,SJR_13_2017_z_b,NA,0.21605744125326368,0.08641456329377113,NA,NA,NA,NA,NA,14
StLaurent_et_al_2020,St Jones Reserve,SJR_14_2017,0,15,SJR_14_2017_x_a,0.715,0.19813208805870589,0.07831857707228437,NA,0.004,0.0575,0.01023,0.01027,30
StLaurent_et_al_2020,St Jones Reserve,SJR_14_2017,0,15,SJR_14_2017_y_a,0.69,0.18815716657443268,0.07383399795850176,NA,0.0038,0.0575,0.010069999999999999,0.010620000000000001,30
StLaurent_et_al_2020,St Jones Reserve,SJR_14_2017,0,15,SJR_14_2017_z_a,0.69377200000000006,0.18496158068057078,0.07240042365478158,NA,0.0039000000000000003,0.0574,0.01027,0.00932,30
StLaurent_et_al_2020,St Jones Reserve,SJR_14_2017,15,30,SJR_14_2017_x_b,0.71,0.17084282460136677,0.06608468719029065,NA,NA,NA,NA,NA,30
StLaurent_et_al_2020,St Jones Reserve,SJR_14_2017,15,30,SJR_14_2017_y_b,NA,0.16491841491841489,0.06344331086551364,NA,NA,NA,NA,NA,30
StLaurent_et_al_2020,St Jones Reserve,SJR_14_2017,15,30,SJR_14_2017_z_b,NA,0.1801909307875894,0.07026307095539439,NA,NA,NA,NA,NA,30
StLaurent_et_al_2020,St Jones Reserve,SJR_15_2017,0,15,SJR_15_2017_x_a,NA,0.19031830238726782,0.07480436346558406,NA,NA,NA,NA,NA,35
StLaurent_et_al_2020,St Jones Reserve,SJR_15_2017,0,15,SJR_15_2017_y_a,NA,0.18886198547215488,0.07415039075095706,NA,NA,NA,NA,NA,35
StLaurent_et_al_2020,St Jones Reserve,SJR_15_2017,0,15,SJR_15_2017_z_a,NA,0.18657635467980305,0.07312463979349174,NA,NA,NA,NA,NA,35
StLaurent_et_al_2020,St Jones Reserve,SJR_15_2017,15,30,SJR_15_2017_x_b,NA,0.1824817518248175,0.07128898715967819,NA,NA,NA,NA,NA,35
StLaurent_et_al_2020,St Jones Reserve,SJR_15_2017,15,30,SJR_15_2017_y_b,0.66977,0.17768301350390903,0.06914082142844513,NA,NA,NA,NA,NA,35
StLaurent_et_al_2020,St Jones Reserve,SJR_15_2017,15,30,SJR_15_2017_z_b,0.686352,0.15859564164648912,0.060630055871817266,NA,NA,NA,NA,NA,35
StLaurent_et_al_2020,St Jones Reserve,SJR_16_2017,0,15,SJR_16_2017_x_a,0.711865,0.1499743194658449,0.056803618436064705,NA,NA,NA,NA,NA,26
StLaurent_et_al_2020,St Jones Reserve,SJR_16_2017,0,15,SJR_16_2017_y_a,0.709488,0.14903047091412738,0.05638537426815323,NA,NA,NA,NA,NA,26
StLaurent_et_al_2020,St Jones Reserve,SJR_16_2017,0,15,SJR_16_2017_z_a,0.776,0.15099519560741245,0.05725614398386317,NA,NA,NA,NA,NA,26
StLaurent_et_al_2020,St Jones Reserve,SJR_16_2017,15,30,SJR_16_2017_x_b,0.701182,0.14971428571428572,0.056688377469387756,NA,NA,NA,NA,NA,26
StLaurent_et_al_2020,St Jones Reserve,SJR_16_2017,15,30,SJR_16_2017_y_b,0.70109,0.14200119832234878,0.053274665677757585,NA,NA,NA,NA,NA,26
StLaurent_et_al_2020,St Jones Reserve,SJR_16_2017,15,30,SJR_16_2017_z_b,0.678,0.145877378435518,0.05498911182725532,NA,NA,NA,NA,NA,26
StLaurent_et_al_2020,St Jones Reserve,SJR_17_2017,0,15,SJR_17_2017_x_a,0.76,0.13992004568817812,0.05235508305444123,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_17_2017,0,15,SJR_17_2017_y_a,0.695868,0.1400576368876081,0.05241585961182305,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_17_2017,0,15,SJR_17_2017_z_a,0.758324,0.13859020310633213,0.05176781159314785,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_17_2017,15,30,SJR_17_2017_x_b,0.756,0.1427738927738927,0.053616253307686844,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_17_2017,15,30,SJR_17_2017_y_b,0.741202,0.14021479713603813,0.05248528360512868,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_17_2017,15,30,SJR_17_2017_z_b,0.681573,0.1257290991574854,0.046101728417047856,NA,NA,NA,NA,NA,19
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2018,0,32,SJR_1_2018_0-32_RZ,0.58314,0.1370749008971427,0.051098958383438225,NA,0.0032,0.0546,0.00662,0.022029999999999998,25
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2018,0,32,SJR_1_2018_0-32_RZ,NA,0.13469827586206834,0.05005060242642659,NA,0.0032,0.0526,0.00599,0.025019999999999997,25
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2018,0,32,SJR_1_2018_0-32_RZ,NA,0.13413294268448978,0.04980135069734704,NA,0.0031,0.0482,0.0047599999999999995,0.02403,25
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2018,32,42,SJR_1_2018_32-42_TZ,0.6414499999999999,0.12909025530384768,0.047580155239986405,NA,NA,NA,NA,NA,25
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2018,32,42,SJR_1_2018_32-42_TZ,NA,0.12824168968897628,0.047206750251156004,NA,NA,NA,NA,NA,25
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2018,32,42,SJR_1_2018_32-42_TZ,NA,0.1271990341497075,0.046748083354384636,NA,NA,NA,NA,NA,25
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2018,0,32,SJR_2_2018_0-32_RZ,0.5746999999999998,0.13983092022155308,0.05231571619577431,NA,0.0036,0.0542,0.00641,0.02619,30
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2018,0,32,SJR_2_2018_0-32_RZ,NA,0.1395044413277237,0.052171519996083535,NA,0.0037,0.054400000000000004,0.006059999999999999,0.027149999999999997,30
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2018,0,32,SJR_2_2018_0-32_RZ,NA,0.14008710078805436,0.05242887472150387,NA,0.0037,0.054000000000000006,0.0060999999999999995,0.02699,30
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2018,0,32,SJR_3_2018_0-32_RZ,0.6867199999999999,0.10211946050096352,0.035763993302668225,0.027260339999999997,0.0028000000000000004,0.0384,0.00307,0.0184,17
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2018,0,32,SJR_3_2018_0-32_RZ,NA,0.10222994497538393,0.03581217799671221,0.017873100983018603,0.0029,0.0387,0.0034300000000000003,0.01833,17
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2018,0,32,SJR_3_2018_0-32_RZ,NA,0.10331202789076192,0.036284193499921485,NA,0.0029,0.0388,0.003,0.01824,17
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2018,0,32,SJR_4_2018_0-32_RZ,0.62368,0.1244444444444452,0.045537106172839834,0.03142501555693695,0.0034999999999999996,0.045700000000000005,0.00503,0.01965,10
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2018,0,32,SJR_4_2018_0-32_RZ,NA,0.1260197509660807,0.0462295075016029,0.03291139240506527,0.0036,0.047599999999999996,0.00545,0.02025,10
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2018,0,32,SJR_4_2018_0-32_RZ,NA,0.12600340549744596,0.04622232122099932,NA,0.0036,0.047599999999999996,0.0055000000000000005,0.01968,10
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2018,0,32,SJR_5_2018_0-32_RZ,0.6006199999999999,0.14512253724171056,0.05465506893910505,NA,0.004,0.059500000000000004,0.007019999999999999,0.0254,18
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2018,0,32,SJR_5_2018_0-32_RZ,NA,0.14783864644588882,0.055857433792057674,NA,0.0039000000000000003,0.0581,0.0067,0.024489999999999998,18
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2018,0,32,SJR_5_2018_0-32_RZ,NA,0.14843568945538796,0.05612187864962146,NA,0.004,0.0601,0.00714,0.025230000000000002,18
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2018,0,32,SJR_6_2018_0-32_RZ,0.6588199999999999,0.1438141092736039,0.054076244858123096,NA,0.0042,0.055999999999999994,0.010029999999999999,0.01653,26
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2018,0,32,SJR_6_2018_0-32_RZ,NA,0.14555921052631615,0.05484830143048839,NA,0.0040999999999999995,0.0541,0.00957,0.01582,26
StLaurent_et_al_2020,St Jones Reserve,SJR_6_2018,0,32,SJR_6_2018_0-32_RZ,NA,0.14504213921548245,0.054619495048685164,NA,0.0040999999999999995,0.0547,0.0092,0.01643,26
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,0,7.5,SJR_1_2019_x_1,0.3276,0.4620607028753973,0.2023265628030285,NA,0.0146,0.1902,0.03714,0.01361,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,0,7.5,SJR_1_2019_y_1,0.3264,0.4792013311148055,0.210736670164256,NA,0.015,0.19390000000000002,0.03887,0.013009999999999999,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,0,7.5,SJR_1_2019_z_1,0.3268,0.47014925373134475,0.2062898195589225,NA,0.0144,0.19190000000000002,0.03713,0.01272,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,0,7.5,SJR_1_2019_x_1,0.3276,0.508733624454157,0.22532878854331959,0.034934497816589485,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,0,7.5,SJR_1_2019_y_1,0.3264,0.5174129353233867,0.22964184054850306,0.02487562189054829,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,0,7.5,SJR_1_2019_z_1,0.3268,0.5106382978723509,0.22627433227705362,0.023936170212757225,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,22.5,30,SJR_1_2019_x_4,0.4827,0.31515957446808285,0.1320322720971017,0.03457446808510848,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,22.5,30,SJR_1_2019_y_4,0.4993,0.3143438453713114,0.13165085083241096,0.035096642929806215,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,22.5,30,SJR_1_2019_z_4,0.4911,0.31276213301378075,0.13091154923550408,0.03475134811264113,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,22.5,30,SJR_1_2019_x_4,0.4827,0.3136423841059607,0.13132293804657708,NA,0.0091,0.1318,0.03025,0.01558,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,22.5,30,SJR_1_2019_y_4,0.4993,0.3094972067039108,0.12938667457320313,NA,0.0092,0.12990000000000002,0.03092,0.01464,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2019_20,22.5,30,SJR_1_2019_z_4,0.4911,0.3088737201365189,0.12909565632680645,NA,0.009399999999999999,0.1351,0.030899999999999997,0.01459,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,0,7.5,SJR_2_2019_x_1,0.6209,0.23265124555160038,0.09395154292942037,NA,0.0064,0.08900000000000001,0.025230000000000002,0.012729999999999998,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,0,7.5,SJR_2_2019_y_1,0.6226,0.2325819672131144,0.09391999168570259,NA,0.0062,0.08689999999999999,0.023700000000000002,0.01262,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,0,7.5,SJR_2_2019_z_1,0.6224,0.23200943767204177,0.09365927331842797,NA,0.0063,0.0873,0.02375,0.012589999999999999,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,0,7.5,SJR_2_2019_x_1,0.6209,0.23468634686346657,0.09487870045342425,0.04059040590406291,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,0,7.5,SJR_2_2019_y_1,0.6226,0.23297491039426252,0.09409895813260243,0.047789725209085206,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,0,7.5,SJR_2_2019_z_1,0.6224,0.2342733188720203,0.09469048235233357,0.034707158351406135,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,22.5,30,SJR_2_2019_x_4,0.604,0.22796934865899987,0.09182087755611161,0.041187739463599105,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,22.5,30,SJR_2_2019_y_4,0.5605,0.22687224669603306,0.09132207106677692,0.050660792951540794,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,22.5,30,SJR_2_2019_z_4,0.586,0.25839416058394793,0.10572473973040944,0.04963503649635122,NA,NA,NA,NA,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,22.5,30,SJR_2_2019_x_4,0.604,0.22936233316855806,0.09245446617482575,NA,0.005600000000000001,0.0862,0.01822,0.01584,NA
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2019_35,22.5,30,SJR_2_2019_y_4,0.5605,0.23715228665723675,0.09600296200563661,NA,0.0054,0.08439999999999999,0.019030000000000002,0.01548,NA
